POA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
POA2030,38,203,43,12,11,455,245,41,414,61,38,26,828,17,5,50,14,11,3,91,12,0,47,16,34,4,123,52,7,174,31,33,18,312,1163,226,2892,587,483,171,5520
POA2031,144,673,129,86,27,1846,657,135,1350,227,144,73,2587,71,14,191,44,52,10,381,54,16,163,48,125,16,429,116,15,303,79,81,62,663,3637,706,7806,1639,1919,416,16128
POA2032,48,269,55,36,6,797,214,54,414,98,72,29,880,14,3,45,20,23,6,112,24,0,54,22,56,5,158,52,3,74,26,30,20,210,1371,189,2327,681,757,167,5501
POA2033,27,225,34,31,9,608,172,38,346,77,54,9,701,19,0,58,22,30,0,124,9,0,61,24,39,3,137,44,5,68,19,25,33,184,1094,180,2195,566,609,128,4771
POA2034,69,396,65,55,10,965,370,72,713,166,85,22,1433,29,4,127,32,27,10,227,31,10,90,35,93,4,263,49,3,204,53,52,48,408,2108,436,4678,1104,1258,242,9823
POA2035,112,644,126,92,28,1578,446,117,852,270,225,53,1964,42,7,102,32,33,4,221,58,8,145,54,160,14,431,110,11,260,88,98,51,619,2766,523,5734,1800,2309,435,13576
POA2036,68,538,146,141,24,1362,288,87,664,271,269,62,1639,33,6,77,35,52,5,201,30,8,92,71,243,16,454,63,11,167,82,107,63,485,1903,374,4098,1865,2994,403,11635
POA2037,62,329,64,31,5,989,307,60,394,85,61,15,920,63,11,125,30,16,7,257,40,3,67,33,45,3,194,72,9,152,37,34,23,328,2161,377,3558,773,672,132,7685
POA2038,38,186,34,24,5,528,218,50,310,54,43,19,694,30,5,81,17,12,3,149,29,4,49,17,30,4,135,25,9,92,19,21,7,158,1105,227,2241,485,483,71,4612
POA2039,35,150,22,24,4,354,146,37,207,51,19,12,475,18,8,49,7,13,4,98,25,5,40,21,28,4,117,32,0,73,26,16,17,158,954,248,1958,525,432,98,4212
POA2040,132,477,88,63,5,1210,421,93,591,155,103,24,1383,47,16,132,36,39,8,271,41,14,93,43,84,7,287,44,16,155,45,32,30,324,2245,629,4690,1329,1341,180,10404
POA2041,55,251,42,27,7,661,263,53,371,79,38,17,822,38,9,90,11,17,0,174,31,8,65,21,37,3,163,57,4,111,24,26,23,244,1839,402,3464,743,651,133,7229
POA2042,78,425,52,50,12,1145,360,81,610,118,76,22,1262,81,10,202,31,22,5,349,52,19,153,47,67,8,348,60,12,168,35,49,34,357,2287,503,4918,1041,1038,192,9972
POA2043,42,213,36,19,9,598,200,43,283,48,31,9,617,37,8,105,36,6,0,192,25,7,48,10,35,3,132,49,8,109,28,27,13,231,1505,298,2985,591,512,100,5994
POA2044,32,181,21,27,3,440,103,37,227,52,53,8,475,20,7,63,19,12,4,126,14,8,46,18,49,6,139,18,4,65,21,19,11,140,736,179,1841,499,630,80,3971
POA2045,21,128,26,27,0,319,101,16,113,39,44,3,314,14,7,32,11,8,0,60,14,0,21,8,29,0,74,16,0,38,14,24,4,100,483,122,1056,351,420,50,2483
POA2046,107,577,115,92,14,1246,369,79,658,172,155,28,1466,31,13,66,32,32,0,177,33,10,89,58,186,7,384,73,14,153,66,101,35,448,1943,495,4678,1676,2034,263,11089
POA2047,42,223,43,28,9,485,201,34,322,67,40,19,690,16,8,45,13,16,8,108,11,0,43,27,43,3,138,36,3,73,30,33,20,198,1024,255,2444,722,771,131,5344
POA2048,40,207,30,14,3,495,133,30,263,59,38,13,540,31,11,46,10,14,0,110,26,10,46,21,33,0,134,30,0,48,19,23,10,125,874,209,1902,442,428,59,3910
POA2049,65,323,39,31,7,758,245,39,338,80,75,18,792,42,9,104,29,27,0,217,22,7,71,30,35,0,174,28,7,82,25,33,20,195,1320,345,2834,646,721,96,5969
POA2050,32,215,32,23,8,607,264,48,388,56,27,14,792,23,8,84,18,12,6,151,22,7,69,12,32,0,154,47,3,82,21,21,14,190,1288,222,2373,467,416,87,4854
POA2060,57,258,38,26,8,638,292,56,386,88,42,18,880,20,8,69,13,17,3,126,36,0,58,27,39,0,159,89,9,164,36,29,21,335,2222,398,3938,730,600,161,8044
POA2061,17,89,12,0,3,229,110,25,166,15,15,9,338,10,0,21,8,8,0,47,10,0,16,7,13,0,52,29,7,66,19,12,11,140,869,163,1557,261,214,69,3140
POA2062,29,141,21,19,4,311,123,28,195,40,21,12,425,11,0,33,10,6,0,61,11,3,33,14,25,0,93,18,3,75,13,8,4,132,771,205,1723,380,316,68,3458
POA2063,16,79,18,9,4,190,99,18,140,26,16,4,300,11,0,17,0,4,0,28,12,5,23,6,6,0,49,32,3,62,7,6,4,109,607,137,1241,246,167,34,2433
POA2064,32,144,18,16,4,362,186,38,257,47,33,11,574,11,7,23,4,3,0,50,13,5,36,18,29,0,101,34,5,82,21,8,18,161,1184,217,1977,415,331,98,4223
POA2065,106,562,74,61,21,1300,665,131,1091,199,133,46,2258,54,21,115,33,29,3,255,69,15,146,70,98,6,403,158,21,330,55,40,34,646,4381,859,8549,1674,1271,347,17086
POA2066,115,658,96,58,14,1427,594,157,1084,218,159,35,2245,40,18,116,48,36,5,254,74,15,133,59,146,8,440,147,16,250,63,55,49,591,3779,793,7616,1709,1580,342,15814
POA2067,49,281,63,40,10,759,376,86,700,143,107,36,1446,24,8,68,12,14,6,122,48,3,89,46,82,8,287,143,14,207,55,37,60,518,3094,410,5138,1144,884,331,11002
POA2068,28,238,41,30,7,547,232,60,415,98,55,25,895,17,0,57,15,16,0,108,26,6,59,24,55,4,168,47,4,121,28,28,21,247,1579,353,3463,794,682,170,7041
POA2069,34,242,48,18,9,530,228,47,387,78,39,20,811,15,10,36,14,13,0,84,19,6,53,18,39,0,136,46,4,110,20,15,17,213,1555,296,2891,582,447,127,5899
POA2070,56,230,42,18,6,536,253,56,383,69,41,21,831,11,4,35,6,3,0,72,19,4,55,13,22,5,121,64,8,103,15,20,13,226,1670,296,2783,520,393,103,5768
POA2071,35,212,27,26,8,473,259,28,426,56,32,11,827,5,0,28,3,0,3,43,27,8,48,15,21,3,124,54,0,92,21,17,18,204,1489,225,2547,488,340,124,5217
POA2072,23,146,38,18,3,369,154,20,251,44,35,15,523,11,0,12,5,8,0,40,20,5,30,9,9,0,80,46,9,83,17,7,26,189,1114,155,1749,364,265,95,3743
POA2073,69,319,40,29,11,684,317,82,506,75,60,24,1072,21,9,33,7,16,0,79,28,11,63,15,30,0,144,89,12,118,29,18,26,286,1983,411,3390,644,525,143,7097
POA2074,88,455,82,41,11,1006,365,86,632,155,82,28,1343,22,0,49,19,14,5,113,29,15,80,31,47,3,200,97,12,149,43,29,11,345,2358,488,4220,993,792,157,9014
POA2075,62,344,77,37,18,796,309,65,544,139,75,26,1161,20,4,47,11,11,0,90,36,7,72,43,63,12,229,108,3,151,39,35,33,371,2198,339,3657,992,768,232,8189
POA2076,109,455,100,65,6,1076,399,93,783,185,137,44,1638,18,6,55,12,22,4,123,41,0,93,36,72,4,250,95,16,148,32,37,32,355,2442,521,4415,1101,1001,188,9664
POA2077,155,768,169,173,18,1842,585,156,1482,495,427,83,3233,28,5,86,32,39,0,191,64,17,132,83,219,15,532,185,11,258,86,92,93,736,4235,738,7726,2337,2605,490,18124
POA2079,53,189,58,44,8,442,84,42,237,73,95,19,555,5,7,23,8,7,3,46,5,4,27,19,57,0,116,19,5,44,17,29,11,113,508,167,1228,507,783,87,3283
POA2080,9,29,7,12,0,77,26,13,47,23,25,4,138,0,0,0,9,4,0,14,0,0,10,6,16,0,29,6,0,3,6,3,0,19,116,39,228,126,175,24,720
POA2081,25,121,41,41,3,296,48,31,142,61,84,6,378,6,0,20,0,9,3,36,11,3,16,14,45,0,84,12,0,18,5,25,9,69,315,104,813,357,615,45,2253
POA2082,27,147,37,47,3,314,55,25,151,63,55,7,355,4,0,9,9,7,0,32,4,3,13,13,37,4,77,12,6,27,16,23,12,82,285,109,779,348,623,53,2200
POA2083,10,33,6,5,0,87,21,8,17,17,13,6,90,6,0,3,3,3,0,18,0,0,3,4,18,0,35,4,0,10,5,13,7,39,115,35,188,93,207,27,662
POA2084,14,74,15,15,9,160,28,12,64,35,31,0,175,3,0,10,5,0,5,19,3,0,15,12,43,0,75,3,0,21,6,16,7,56,150,74,473,246,397,38,1372
POA2085,55,223,67,45,13,503,100,38,209,118,70,15,543,6,5,26,10,15,0,57,11,0,31,31,101,3,180,18,4,74,25,36,13,172,560,202,1630,766,869,112,4141
POA2086,61,270,62,58,10,613,125,48,338,113,111,12,750,7,5,29,16,21,0,77,15,0,49,33,116,4,215,38,3,100,43,49,16,254,816,253,2254,860,1190,133,5508
POA2087,44,245,59,41,10,544,131,31,270,79,87,16,618,14,4,25,12,19,0,61,16,11,40,35,68,3,172,38,3,79,27,26,16,192,917,224,2125,692,761,126,4841
POA2088,65,391,68,44,12,886,411,71,620,148,88,38,1369,47,11,105,22,27,13,225,35,12,97,45,59,3,246,96,19,241,61,28,42,499,2889,563,5920,1345,943,291,11950
POA2089,30,204,36,15,4,452,200,39,322,78,46,15,704,25,3,60,13,10,0,110,13,3,39,37,32,4,134,42,5,104,34,17,16,216,1349,287,2936,719,539,145,5977
POA2090,45,223,51,25,9,544,208,41,386,77,50,16,792,21,3,52,14,15,0,111,24,9,46,34,45,3,158,46,11,139,26,22,18,255,1520,333,3253,794,567,140,6608
POA2092,23,113,29,20,4,244,75,14,142,36,26,8,304,3,3,23,0,10,0,39,8,3,24,13,24,0,65,16,6,54,19,21,17,134,545,113,1352,368,358,86,2824
POA2093,92,418,92,57,13,900,217,77,513,160,120,38,1124,32,6,77,32,23,0,182,22,8,93,40,88,10,265,76,10,159,54,55,33,392,1759,514,4641,1337,1374,257,9891
POA2094,22,116,21,9,4,245,94,27,155,35,20,3,344,9,5,24,10,7,0,58,0,3,27,13,12,0,51,24,3,58,23,11,3,112,605,155,1408,369,328,60,2918
POA2095,41,250,44,23,12,580,195,45,420,69,56,20,813,20,6,83,16,16,0,132,19,5,74,28,52,11,184,76,11,221,41,21,34,411,1804,317,4178,818,767,225,8112
POA2096,58,312,63,49,9,638,160,54,357,123,79,23,799,19,5,73,20,19,3,139,22,0,67,48,78,4,217,56,14,143,53,51,38,347,1168,302,3329,960,1222,186,7177
POA2097,65,287,80,76,4,636,105,48,340,162,142,20,810,15,0,56,21,27,5,125,11,6,51,44,125,8,251,26,3,104,54,53,25,269,694,262,2357,1162,1712,174,6370
POA2099,126,714,193,178,28,1554,390,145,1092,468,571,76,2747,29,12,113,63,51,5,270,34,11,140,114,326,18,649,103,18,301,134,189,77,815,2300,645,6707,3069,4401,567,17689
POA2100,72,400,109,98,15,848,172,68,453,224,193,40,1151,11,3,64,21,37,0,140,17,14,80,62,175,9,353,50,9,144,65,76,38,375,1130,354,3378,1463,2079,261,8661
POA2101,78,395,97,92,19,828,141,79,385,193,191,32,1017,12,4,52,27,40,3,142,10,11,69,62,171,11,333,28,5,98,54,88,23,296,811,322,2695,1356,2239,241,7657
POA2102,39,178,39,49,3,388,59,25,190,89,73,11,444,3,0,19,14,9,0,42,4,0,24,22,67,3,130,17,0,42,21,32,12,131,370,120,1086,590,872,81,3118
POA2103,42,211,73,51,7,460,85,18,206,108,75,26,516,4,0,30,14,14,0,64,12,4,25,28,92,4,167,18,0,62,29,41,23,170,424,126,1422,737,1130,131,3978
POA2104,10,49,5,10,0,89,29,11,53,30,14,5,146,0,7,14,4,8,0,27,0,0,9,10,14,0,34,5,0,16,21,12,6,51,138,42,457,191,239,33,1105
POA2105,5,26,7,3,0,61,20,9,44,16,12,0,90,0,0,8,3,3,0,16,4,0,5,0,4,0,20,9,0,17,7,6,0,49,132,29,312,111,151,21,753
POA2106,37,198,50,40,4,423,76,30,199,84,72,15,480,0,0,22,12,16,0,59,5,0,30,22,74,6,142,22,6,83,42,44,16,212,480,148,1528,721,980,114,3966
POA2107,54,246,74,53,9,584,131,42,292,122,100,18,700,15,5,49,27,22,4,113,7,6,30,27,81,13,165,34,7,108,55,35,27,271,780,249,2102,1003,1336,177,5643
POA2108,0,24,8,8,0,52,15,0,21,11,4,4,56,0,0,6,4,0,0,9,0,0,0,3,4,0,14,4,0,26,0,7,8,50,103,21,265,91,110,33,618
POA2110,22,113,31,13,4,306,182,25,283,52,27,17,590,14,0,35,0,12,0,67,13,7,25,17,28,0,88,33,5,63,15,17,7,143,813,170,1665,408,388,94,3536
POA2111,42,348,61,53,11,700,207,81,407,123,76,27,915,19,3,57,14,29,0,128,22,8,50,28,81,5,200,37,6,121,36,37,20,263,1200,304,3009,977,1045,167,6702
POA2112,86,627,147,122,20,1418,474,114,1040,279,245,63,2215,25,11,83,28,39,6,190,62,18,115,71,219,10,496,166,17,256,75,96,70,679,3429,512,6778,2015,2430,424,15579
POA2113,57,386,73,67,12,1033,352,74,721,155,150,38,1490,25,4,69,19,16,0,130,60,6,97,49,104,10,326,138,17,224,50,65,49,542,3412,417,5544,1277,1312,288,12249
POA2114,83,459,76,77,15,1055,355,83,726,212,183,30,1587,26,3,63,16,30,3,141,61,4,100,56,75,4,292,116,8,157,58,62,53,459,2648,410,4937,1362,1375,301,11032
POA2115,35,171,35,31,9,382,110,35,292,102,102,23,669,6,0,20,18,14,0,55,14,0,45,20,91,9,172,25,5,68,35,35,20,189,695,140,1669,716,959,153,4333
POA2116,18,109,27,24,3,241,69,21,155,49,69,6,370,0,0,7,4,9,4,20,13,0,23,16,37,3,97,13,3,35,17,19,20,103,389,81,1005,389,540,80,2483
POA2117,62,305,53,81,14,735,204,64,558,176,176,32,1208,8,0,29,19,27,3,82,45,11,67,37,109,3,277,67,8,144,48,81,45,390,1377,267,3082,1054,1444,222,7444
POA2118,54,420,90,67,15,957,353,94,763,200,185,38,1625,17,3,39,15,15,0,94,47,11,78,51,109,7,302,116,18,176,64,58,60,494,2441,383,4424,1234,1232,257,9971
POA2119,59,230,50,29,6,604,251,38,384,82,41,22,811,4,4,29,5,4,0,49,23,0,36,18,24,3,116,40,6,64,23,24,13,166,1352,221,2241,506,483,109,4910
POA2120,118,505,82,87,19,1201,310,86,650,193,161,25,1421,19,4,41,26,14,0,100,37,17,73,40,87,7,257,79,10,141,51,47,24,348,1995,452,3710,1102,1215,177,8653
POA2121,97,563,107,76,13,1416,552,114,1008,236,160,25,2103,23,3,51,21,20,0,119,63,20,144,40,81,4,349,171,14,244,48,50,48,575,4379,597,6484,1381,1148,304,14295
POA2122,100,474,98,67,16,1257,436,106,820,190,173,41,1768,14,6,60,19,21,3,127,56,7,105,53,104,13,331,164,6,252,61,61,66,614,3295,471,5138,1353,1321,288,11866
POA2125,57,341,56,43,8,691,254,59,459,134,88,18,1013,10,4,19,11,14,0,53,32,6,54,23,52,4,179,50,9,114,33,31,28,260,1503,321,2988,770,892,148,6613
POA2126,50,366,90,50,16,793,268,57,497,122,115,19,1072,13,4,29,10,13,0,74,33,8,53,42,65,4,201,77,8,143,23,31,21,300,1992,340,3381,892,887,152,7643
POA2127,65,384,55,49,10,912,385,73,641,121,78,18,1315,24,8,56,38,19,4,142,45,9,87,63,68,7,275,163,12,240,70,49,63,603,3075,404,4851,1345,1156,266,11096
POA2128,4,29,3,4,0,60,17,6,56,19,12,3,122,0,0,3,0,0,0,10,3,4,16,5,13,0,41,6,5,19,9,8,13,50,129,33,312,140,152,34,802
POA2130,43,215,29,22,3,499,161,33,239,47,46,5,518,26,4,40,20,6,0,104,22,5,30,17,30,0,94,22,13,46,19,12,12,125,849,220,1776,384,405,61,3694
POA2131,82,411,94,58,12,1087,392,86,725,237,191,32,1667,37,10,91,27,41,4,208,45,5,103,46,50,5,258,70,12,158,53,58,74,414,2205,441,4384,1316,1195,275,9813
POA2132,38,195,34,41,8,514,106,31,259,74,74,19,573,8,0,34,3,8,4,58,13,0,41,16,33,0,113,27,6,62,24,25,16,161,890,181,1782,489,567,118,4022
POA2133,36,235,45,46,8,518,98,30,253,100,80,6,570,8,4,23,8,7,0,48,7,6,39,19,66,9,148,14,3,28,28,30,21,124,573,136,1444,613,804,125,3702
POA2134,29,189,36,31,4,458,220,39,478,154,111,28,1026,17,0,32,23,10,0,82,28,3,42,28,28,3,131,93,6,134,58,29,77,388,1665,190,2930,993,636,249,6661
POA2135,59,314,80,38,3,729,553,90,1113,256,151,81,2246,8,0,50,15,17,4,89,33,6,69,35,49,5,198,98,14,200,89,44,88,531,2270,362,5011,1616,965,396,10626
POA2136,33,139,25,25,5,313,96,24,199,64,45,14,442,4,0,19,3,8,0,36,15,3,25,15,39,0,103,23,0,56,19,24,15,137,538,99,1156,397,513,81,2784
POA2137,79,476,129,115,15,1120,388,87,730,210,158,33,1609,25,7,72,31,27,7,168,39,7,81,57,175,11,371,51,17,149,67,79,56,425,1999,455,4470,1724,2052,298,11007
POA2138,42,278,42,38,7,661,326,61,539,119,73,18,1129,23,4,43,13,11,4,92,37,6,56,26,70,11,195,151,3,188,50,29,44,463,2599,316,4108,894,872,210,9009
POA2140,40,255,44,33,12,569,278,47,638,167,121,27,1282,17,0,34,19,8,4,85,39,5,74,32,39,6,198,131,12,204,69,46,83,553,2481,244,4142,1130,845,287,9137
POA2141,46,327,63,78,14,715,306,71,846,257,203,63,1759,14,3,47,32,20,5,117,37,5,97,62,71,6,276,81,5,259,115,89,141,690,1732,249,4547,1723,1458,475,10192
POA2142,36,222,60,52,10,553,281,57,612,262,206,43,1459,9,0,31,23,28,5,94,25,5,41,38,88,5,196,73,9,149,77,86,75,460,1719,208,3091,1322,1231,312,7872
POA2143,15,95,27,16,9,216,55,23,184,71,61,16,398,0,0,11,0,5,0,23,8,0,20,19,38,3,91,11,5,46,28,29,30,151,317,74,1012,389,482,95,2372
POA2144,35,217,70,33,19,524,363,66,725,368,240,52,1816,11,0,29,12,12,4,67,25,3,52,46,52,3,190,110,15,177,148,101,157,715,1820,206,3374,1777,1207,483,8857
POA2145,144,969,249,212,45,2344,1143,233,2154,690,697,148,5059,32,10,80,19,53,8,203,92,22,168,120,316,22,740,338,20,527,181,226,191,1486,7395,1002,12000,3851,4864,1022,30130
POA2146,54,222,63,61,11,556,221,63,464,176,200,41,1173,9,4,17,13,17,0,62,23,3,45,34,72,7,185,76,9,101,47,46,49,328,1525,233,2469,1003,1324,238,6802
POA2147,85,499,148,167,22,1230,301,103,786,330,436,60,2012,10,6,35,26,39,3,109,27,6,87,69,242,8,427,57,11,151,81,175,58,530,1771,397,4004,1891,3415,389,11875
POA2148,124,643,200,214,29,1610,570,147,1487,604,756,121,3686,14,0,69,32,44,0,160,62,3,121,106,361,18,675,166,10,343,155,304,173,1153,3301,563,7169,3485,5291,842,20645
POA2150,51,367,68,61,12,925,579,75,869,296,200,61,2083,40,0,61,33,11,3,151,46,3,97,30,67,11,254,247,15,306,70,63,96,802,4818,455,7254,1615,1195,548,15886
POA2151,71,395,95,82,5,924,290,85,544,183,156,26,1287,18,0,37,15,17,0,87,38,3,79,41,93,7,268,69,8,113,36,62,25,316,1634,343,3258,1125,1407,189,7956
POA2152,48,223,43,40,13,497,179,53,335,94,120,17,800,8,5,13,6,15,0,47,9,4,31,29,58,4,135,31,4,50,19,29,18,147,743,172,1643,601,901,111,4174
POA2153,223,1129,237,221,41,2497,848,214,1659,504,476,108,3806,15,8,101,35,43,11,212,73,15,179,134,297,18,709,220,13,330,130,206,87,982,5155,948,9702,3388,4435,634,24268
POA2154,131,759,168,111,24,1656,524,134,1013,317,219,44,2246,19,4,70,28,23,0,155,69,13,114,73,156,8,428,142,14,230,88,103,63,651,3533,667,6527,2101,2329,384,15539
POA2155,212,1443,307,282,53,3082,910,246,1920,692,566,126,4458,29,8,92,67,68,8,278,101,11,213,199,419,17,965,268,32,424,174,258,148,1304,5984,1129,12308,4806,5776,839,30841
POA2156,51,247,64,64,5,542,107,36,268,95,73,14,591,7,0,24,10,10,0,53,8,0,46,43,125,7,230,17,9,67,37,62,20,209,583,191,1675,818,1405,110,4776
POA2157,19,61,25,15,4,151,16,13,70,33,25,5,165,0,0,0,5,3,0,13,4,0,9,13,46,0,65,8,4,18,8,26,6,68,120,49,443,259,530,47,1442
POA2158,19,156,42,39,4,340,77,21,173,92,58,13,433,0,0,12,10,14,0,38,15,5,27,22,56,4,136,16,0,38,20,36,11,127,497,106,1187,526,753,96,3159
POA2159,17,87,30,36,5,219,36,15,90,53,33,5,231,6,0,12,6,9,0,32,3,5,9,15,56,3,84,8,3,32,13,33,4,89,216,65,578,325,600,49,1824
POA2160,46,286,95,82,20,691,228,65,554,295,289,56,1490,9,3,18,12,26,0,73,23,10,65,49,134,0,279,54,10,163,89,118,93,537,1274,246,3223,1621,2010,384,8765
POA2161,40,204,80,72,15,546,142,50,423,237,217,27,1094,7,0,17,15,13,3,54,13,5,51,39,117,8,233,42,0,116,77,108,89,430,752,146,2060,1205,1613,269,6047
POA2162,27,157,40,50,9,382,78,18,247,108,127,22,600,3,0,14,6,10,0,32,13,4,20,16,89,6,145,17,0,58,35,58,48,217,411,94,1360,648,1027,181,3719
POA2163,11,60,13,10,4,136,22,9,121,62,73,6,301,0,0,6,4,3,0,10,3,3,8,11,25,0,53,9,3,42,22,34,19,122,156,33,527,291,423,78,1510
POA2164,29,168,49,68,8,404,62,28,224,120,175,24,634,3,4,14,5,11,0,39,4,0,22,37,106,0,171,8,0,49,33,89,29,207,289,92,1254,741,1364,160,3899
POA2165,24,215,68,75,15,517,88,46,443,237,286,43,1142,6,0,17,4,12,3,42,11,3,51,41,144,15,271,29,5,104,74,110,85,397,480,143,2331,1233,1914,331,6442
POA2166,35,285,67,90,21,605,130,32,583,227,322,51,1337,4,4,27,19,18,0,79,13,4,92,69,165,13,350,23,3,144,90,156,139,559,590,148,3411,1555,2241,454,8394
POA2167,24,117,33,25,3,293,137,20,308,121,140,28,752,4,0,9,9,10,0,36,6,0,13,11,27,4,56,32,4,51,37,34,20,177,756,105,1350,522,747,116,3594
