POA_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
POA2066,106,93,52,30,82,96,27,48,10,544,34,67,67,33,127,178,31,96,71,707,1338,2105,1687,1018,3329,4592,1266,2931,151,18412
POA2067,102,59,37,17,55,45,8,21,6,350,46,75,50,28,129,128,27,43,108,641,1095,1705,1330,665,2639,3260,629,1378,204,12907
POA2068,39,51,27,13,39,30,13,12,0,225,18,35,23,20,42,78,22,55,28,317,619,1158,883,543,1131,1936,575,1618,72,8535
POA2069,20,44,24,10,16,38,8,19,0,180,17,40,27,11,44,48,13,35,34,265,545,1101,704,431,939,1566,429,1269,69,7049
POA2070,35,27,17,15,19,31,8,14,0,161,18,33,26,15,32,61,13,44,42,277,546,1061,677,355,1046,1603,392,1130,63,6872
POA2071,29,20,20,5,34,27,8,11,0,147,17,35,26,16,32,67,13,36,34,256,501,967,655,333,989,1461,372,863,59,6198
POA2072,20,19,3,6,25,14,3,12,0,106,10,24,26,9,34,43,10,24,33,209,297,680,417,226,843,1030,236,560,58,4353
POA2073,26,34,25,19,24,30,10,16,6,182,20,34,34,17,52,79,11,64,48,353,646,1269,856,549,1227,1969,516,1362,93,8496
POA2074,38,50,30,23,30,45,15,19,0,253,25,59,26,27,46,103,31,62,38,415,814,1697,1151,620,1552,2516,669,1767,87,10874
POA2075,47,53,47,15,33,39,15,21,0,274,23,66,34,12,71,100,17,62,70,444,747,1526,989,530,1486,2353,583,1526,119,9854
POA2076,44,64,24,19,59,50,11,37,4,306,14,50,45,19,73,114,25,71,39,445,937,1766,1160,736,1894,2664,756,1744,92,11759
POA2077,129,105,64,45,117,99,28,45,6,642,46,96,78,47,209,203,29,70,164,938,1649,2709,2268,1346,5183,5574,1027,1740,289,21785
POA2079,29,35,13,10,29,28,3,8,0,150,13,21,9,13,28,24,9,19,7,144,361,580,416,301,850,1009,235,436,32,4216
POA2080,11,5,7,0,9,4,0,5,0,40,0,0,6,4,5,5,0,4,0,18,79,135,102,56,153,206,53,96,6,890
POA2081,20,14,5,7,10,21,4,16,0,111,7,10,5,11,14,16,6,11,10,89,294,409,295,206,514,633,158,340,20,2876
POA2082,17,22,0,7,18,9,3,7,0,100,5,7,8,7,24,28,5,7,6,104,252,410,323,212,492,592,172,322,17,2793
POA2083,11,4,3,0,4,11,0,0,0,33,7,10,5,0,0,8,0,4,10,43,107,146,94,74,122,156,48,87,10,843
POA2084,18,14,15,5,11,16,3,11,0,95,8,8,10,5,7,16,3,8,8,75,171,312,192,136,227,381,93,271,21,1802
POA2085,24,53,23,11,35,41,11,18,3,220,16,36,17,14,32,47,22,33,23,235,549,817,603,371,787,1184,347,735,61,5450
POA2086,57,43,21,8,44,51,9,22,3,271,23,37,25,22,53,69,14,47,34,328,675,1068,786,461,1134,1533,387,1072,63,7178
POA2087,45,31,25,20,25,45,5,17,0,214,15,30,31,12,46,61,12,36,23,274,513,985,740,416,893,1327,384,900,54,6214
POA2088,48,76,39,18,31,54,15,32,11,328,39,72,64,34,80,121,21,94,76,602,950,1845,1354,817,1900,3157,937,3007,178,14153
POA2089,39,30,14,13,24,20,6,12,0,162,14,20,17,14,47,80,13,36,26,265,435,669,541,341,1268,1838,576,1160,70,6908
POA2090,20,42,15,12,30,33,11,17,0,185,11,34,26,11,47,78,14,41,33,298,479,901,647,373,1270,1903,629,1408,79,7678
POA2092,12,20,13,8,13,13,0,10,0,88,4,18,15,9,28,35,9,27,19,163,258,535,339,221,429,746,245,673,40,3484
POA2093,65,57,42,22,43,50,15,23,0,318,24,51,65,32,57,137,30,72,58,532,952,1700,1320,804,1638,2775,791,2061,129,12173
POA2094,13,10,14,7,10,13,0,12,0,74,6,19,7,8,18,38,5,27,7,141,237,424,352,230,509,846,240,590,20,3444
POA2095,36,40,24,15,31,46,15,28,0,222,16,52,40,19,78,122,34,71,55,481,577,1078,820,464,1417,2556,756,1690,89,9451
POA2096,68,49,27,16,28,46,15,24,0,272,19,50,37,14,81,105,21,67,48,448,698,1002,874,506,1381,2225,535,1370,91,8688
POA2097,66,61,36,16,30,50,11,21,0,301,18,43,39,22,60,106,14,37,52,389,768,1356,896,559,1291,1920,523,1063,89,8471
POA2099,225,131,74,49,126,108,45,55,9,815,72,123,121,67,214,262,66,108,145,1181,2098,3236,2670,1538,4484,5029,1349,2496,322,23226
POA2100,94,78,53,28,76,75,22,26,4,456,26,61,43,29,109,131,30,53,57,526,995,1678,1226,743,1988,2552,684,1461,119,11455
POA2101,73,72,46,26,63,81,14,51,0,423,31,59,38,23,62,90,18,53,43,426,907,1597,1133,697,1537,2170,554,1294,104,9996
POA2102,37,21,19,0,24,34,8,15,0,162,12,35,12,10,29,46,6,18,17,184,380,642,445,294,665,933,226,520,35,4136
POA2103,38,46,27,10,29,40,11,26,0,222,13,38,35,13,37,49,14,28,35,257,479,859,659,396,749,1164,283,681,66,5337
POA2104,8,11,0,0,3,8,0,9,0,40,6,13,10,7,11,15,4,5,4,77,130,260,178,101,181,275,80,235,8,1449
POA2105,5,3,5,0,0,4,0,5,0,24,0,8,4,9,3,13,0,8,8,52,69,190,115,72,118,208,38,131,17,956
POA2106,43,24,27,7,17,27,8,17,0,174,11,31,32,22,31,72,14,44,19,274,456,873,629,321,677,1131,276,748,55,5166
POA2107,48,38,21,13,26,32,7,29,5,219,23,42,41,17,37,68,24,53,45,354,667,1405,954,497,768,1475,408,1080,94,7359
POA2108,4,0,4,0,0,3,0,0,0,15,4,9,5,6,3,12,0,10,10,64,67,157,108,39,67,151,30,142,21,775
POA2110,22,16,18,5,24,18,4,6,0,109,9,31,26,14,33,37,13,34,20,206,382,649,509,272,526,847,253,887,46,4375
POA2111,46,48,21,7,47,46,13,27,0,264,17,39,29,14,58,92,15,38,38,336,692,973,785,437,1503,1971,545,1236,97,8232
POA2112,102,112,83,28,97,102,24,42,13,601,66,71,72,42,161,217,34,51,159,875,1814,2435,1875,1097,4203,4654,966,1882,312,19244
POA2113,84,68,44,20,77,69,16,31,0,414,29,67,57,25,134,151,30,39,123,651,1268,1827,1316,706,3457,3781,753,1331,230,14674
POA2114,66,53,39,22,81,65,12,30,4,371,43,58,51,23,139,125,16,31,104,591,1169,1581,1285,701,3156,3253,652,1202,179,13181
POA2115,63,23,8,13,37,51,7,14,8,223,27,27,22,8,49,56,7,20,49,262,830,659,530,303,1209,1279,283,493,110,5689
POA2116,23,20,12,3,29,23,0,8,0,122,16,19,13,5,41,25,5,3,27,150,456,409,327,194,753,731,123,275,49,3314
POA2117,71,62,40,13,60,61,10,29,4,356,49,71,48,23,108,107,14,27,83,531,1234,1363,1013,513,2079,2096,413,834,146,9687
POA2118,70,64,33,20,74,65,12,23,0,367,62,75,50,18,128,140,20,31,119,637,1390,1723,1221,624,2754,2855,513,938,205,12221
POA2119,20,34,17,5,20,28,4,14,0,137,12,25,21,9,34,53,8,19,25,212,440,901,592,357,1005,1351,340,869,51,5907
POA2120,53,60,24,29,41,46,23,30,3,314,23,49,22,27,78,100,25,54,50,428,818,1535,1056,671,1895,2508,669,1286,93,10521
POA2121,81,62,39,23,81,77,17,29,3,409,45,72,64,26,144,184,21,60,110,725,1560,2247,1533,845,3803,4303,766,1449,201,16718
POA2122,92,85,49,24,68,56,6,29,8,413,66,77,69,25,157,162,37,41,135,771,1404,2039,1570,790,3359,3179,636,1139,247,14373
POA2125,44,30,26,7,31,41,13,25,0,223,17,56,31,14,49,64,17,30,51,327,676,1245,817,458,1423,1906,459,1139,94,8216
POA2126,46,48,25,15,42,49,16,22,0,256,21,40,27,20,92,82,13,23,46,354,680,1248,877,526,1896,2454,492,986,83,9248
POA2127,76,45,33,15,64,62,13,26,7,330,76,51,51,25,155,178,23,43,139,746,1398,1316,1014,582,3317,3391,614,1173,236,13048
POA2128,10,7,0,9,4,10,0,0,0,52,5,4,3,6,16,4,4,7,24,72,135,149,93,79,243,219,38,70,34,1060
POA2130,20,13,13,9,26,23,4,8,0,111,7,11,16,12,36,29,9,19,19,150,312,446,390,296,931,1015,334,552,38,4318
POA2131,56,46,42,23,68,55,11,17,0,323,48,55,58,34,102,105,13,29,100,545,1140,1508,1470,757,2792,2481,563,1012,205,11925
POA2132,24,30,18,9,36,19,3,16,5,150,18,27,29,11,36,48,10,12,39,227,502,655,517,289,1012,1075,267,596,87,4995
POA2133,36,50,18,11,27,21,3,13,0,183,19,16,18,8,33,30,0,14,33,173,634,696,489,300,969,1052,235,519,75,4961
POA2134,54,25,30,8,22,25,6,6,0,180,64,70,84,23,91,95,6,16,152,595,974,1330,1210,482,1742,1671,287,521,243,8467
POA2135,61,35,27,13,56,39,9,19,0,266,56,89,117,36,124,106,16,35,160,734,1145,2096,2117,837,2421,2773,533,1101,315,13347
POA2136,26,16,15,12,28,23,6,7,0,131,19,24,17,8,38,34,13,9,38,200,414,476,374,213,791,760,177,344,68,3610
POA2137,89,75,40,23,88,77,14,38,0,448,46,71,43,32,95,106,23,55,105,575,1231,1873,1431,829,2590,3117,786,1862,202,13924
POA2138,55,30,13,17,63,35,5,14,3,244,44,57,46,19,134,125,13,33,91,565,995,1192,939,508,2584,2732,501,926,178,10556
POA2140,48,35,25,13,53,39,12,13,4,247,46,72,87,36,142,144,12,17,172,737,977,1320,1345,678,2787,2606,409,631,284,11034
POA2141,101,55,40,25,70,57,9,13,4,375,142,130,132,39,194,171,20,46,293,1164,2024,1861,1656,793,3231,2703,443,885,464,14060
POA2142,74,27,41,14,61,37,9,9,0,280,62,76,81,54,144,98,14,29,195,745,1300,1324,1585,669,2600,1930,356,548,371,10685
POA2143,39,18,14,5,19,22,3,5,0,129,29,36,20,16,55,45,5,13,56,263,531,436,363,195,846,655,121,203,113,3470
POA2144,62,60,42,14,57,55,14,11,3,312,174,140,187,65,202,136,25,28,380,1335,1770,2021,2239,940,2821,2005,368,515,622,13300
POA2145,199,147,90,44,198,169,36,61,7,957,159,169,214,102,481,431,56,76,408,2098,4000,4149,3714,2050,9783,9653,1538,2452,849,38193
POA2146,47,31,25,13,47,52,18,7,4,249,47,48,38,13,133,95,12,17,105,504,1029,1049,868,536,2293,2020,360,548,185,8895
POA2147,141,76,56,25,111,79,25,46,8,567,95,76,58,39,187,167,22,60,122,824,2308,1973,1564,1021,3902,3493,751,1264,272,16542
POA2148,185,105,99,45,207,156,44,51,8,891,147,180,172,77,469,337,45,87,375,1891,3622,3432,3316,1814,7452,5743,1156,1944,735,29215
POA2150,57,43,37,16,88,50,16,19,0,334,70,76,93,48,213,216,23,37,215,997,1466,1925,1883,933,4783,5441,643,946,452,18480
POA2151,60,47,22,15,64,63,12,26,0,317,45,33,35,30,102,76,13,28,57,427,1168,1170,906,503,2359,2263,446,937,131,9886
POA2152,42,29,15,5,29,25,5,14,0,161,14,25,13,18,42,40,8,13,36,207,627,651,438,303,1149,1175,311,554,82,5295
POA2153,178,162,90,50,161,129,35,79,4,892,83,130,88,67,255,293,54,119,188,1272,2859,3984,2844,1720,6378,7365,1615,3199,378,30336
POA2154,107,106,44,25,80,94,17,42,8,526,65,91,61,30,156,213,39,81,102,843,1709,2729,1913,1045,3747,4790,1033,2158,226,19349
POA2155,286,185,121,61,191,210,48,114,6,1234,110,177,122,66,363,434,80,172,242,1770,3671,4725,3544,2076,8621,10124,2027,4269,524,39587
POA2156,60,52,31,13,38,43,20,41,4,293,30,38,37,14,28,71,15,36,39,300,657,1091,729,399,873,1325,400,966,84,6521
POA2157,25,16,7,5,7,16,5,7,0,91,14,13,3,7,11,20,9,16,13,105,212,365,225,132,267,409,127,291,30,2058
POA2158,33,26,20,9,25,33,6,22,0,178,10,31,20,7,25,37,4,26,30,191,336,666,440,261,660,927,215,591,70,4173
POA2159,25,21,8,3,13,15,6,13,0,103,10,14,14,10,11,31,7,21,14,121,220,415,272,162,338,521,130,386,24,2461
POA2160,87,57,40,19,73,56,13,18,9,367,123,107,71,52,177,109,20,37,239,929,1867,1715,1474,770,3037,2308,479,748,468,12855
POA2161,91,49,23,17,74,51,12,31,7,346,102,86,56,31,130,104,23,34,215,773,1509,1222,1041,574,2140,1696,322,578,411,9497
POA2162,66,38,26,18,30,21,8,6,0,214,53,57,36,20,88,51,10,10,109,447,1032,811,638,377,1405,1066,173,337,199,6033
POA2163,30,10,14,0,18,14,3,5,0,92,43,23,20,12,61,39,0,11,42,258,429,327,294,156,609,430,99,135,79,2551
POA2164,64,39,30,8,38,47,13,12,8,256,56,45,29,21,98,70,9,15,68,413,1133,816,645,398,1443,1176,278,405,151,6443
POA2165,149,50,56,16,80,50,12,18,3,444,103,108,86,44,229,114,22,30,192,938,1937,1562,1172,684,2827,1892,415,615,355,11460
POA2166,290,69,80,20,101,68,12,16,17,678,212,176,153,94,427,192,32,54,284,1615,2870,2211,1818,958,4470,2677,516,924,519,16957
POA2167,22,7,6,8,27,17,0,4,0,80,21,24,19,11,63,44,10,9,47,251,484,499,429,295,1323,1057,182,273,113,4659
POA2168,144,57,45,22,87,84,19,11,5,474,153,113,74,50,222,134,29,44,199,1022,2274,1785,1360,906,3393,2367,492,797,417,13789
POA2170,397,160,115,62,272,215,61,88,25,1388,305,231,187,119,563,380,71,116,504,2475,6125,5113,4134,2477,10197,8000,1622,2841,1020,41534
POA2171,143,82,54,27,111,97,20,26,10,574,97,88,65,33,180,151,18,40,152,827,2534,2155,1613,1009,3859,3355,651,1258,351,16775
POA2172,10,0,3,0,14,10,4,9,4,62,12,9,6,5,11,9,8,3,15,65,228,160,121,104,318,336,85,213,22,1596
POA2173,44,24,14,14,37,48,8,14,3,205,35,23,14,7,69,64,13,25,50,298,995,780,601,400,1791,1873,462,691,107,7690
POA2174,25,13,6,4,20,16,6,6,0,93,32,27,32,16,57,53,0,22,62,295,621,567,510,305,1534,1290,223,368,131,5564
POA2175,13,11,0,0,10,8,0,3,0,42,14,4,4,5,3,10,0,4,15,54,135,108,70,37,133,106,28,82,26,727
POA2176,197,87,68,14,109,109,31,37,17,660,136,100,82,42,245,176,29,53,176,1022,2849,2114,1654,975,3896,3050,669,1247,415,16870
POA2177,74,22,26,15,45,39,6,13,0,247,33,51,30,18,107,66,11,4,67,391,935,729,538,328,1483,1047,182,365,147,5751
POA2178,30,12,8,8,12,10,3,8,0,95,7,17,10,4,13,12,0,4,16,87,281,264,211,82,325,315,70,185,51,1785
POA2179,54,30,23,14,43,42,9,21,4,221,39,38,25,13,96,68,8,14,67,379,967,818,693,406,1835,1539,267,528,146,7206
POA2190,109,52,32,21,49,49,17,21,4,356,83,46,51,23,81,59,6,14,145,512,1400,1211,934,469,1597,1490,258,524,271,8149
POA2191,37,26,8,4,19,21,3,10,0,127,20,10,6,5,23,14,0,4,26,109,452,362,269,166,475,470,108,220,54,2575
POA2192,63,29,17,17,29,31,6,7,0,202,44,38,32,16,45,44,11,11,64,314,929,639,545,353,1099,927,192,313,158,5155
POA2193,71,30,27,15,63,36,16,20,0,287,62,52,32,17,60,57,13,29,70,393,1324,970,904,527,1808,1706,449,794,138,8623
POA2194,123,40,38,14,51,47,9,11,10,351,129,84,78,28,106,78,7,23,136,667,2038,1261,1289,574,2178,1578,311,494,277,9993
POA2195,65,35,39,15,37,34,4,8,0,234,72,73,52,23,100,72,8,11,157,577,1205,1277,1080,489,1700,1165,236,317,329,7805
POA2196,145,71,42,19,81,62,16,19,10,468,92,91,61,35,125,119,20,39,175,759,1978,1601,1206,640,2414,1970,406,618,355,11184
POA2197,41,21,7,3,14,20,3,15,4,130,30,17,19,7,36,21,4,15,47,197,515,421,305,182,614,512,86,216,99,2951
POA2198,41,26,17,3,21,27,11,7,4,153,26,22,10,14,29,28,0,19,49,196,564,475,352,201,658,618,118,267,81,3338
POA2199,94,25,25,9,28,38,3,3,8,227,60,36,38,23,78,58,14,16,96,417,1099,876,612,352,1404,1105,195,349,206,6191
POA2200,255,95,82,24,94,83,9,26,14,684,188,108,115,45,233,166,21,41,249,1154,2694,2108,1722,863,3664,2703,518,856,480,15604
POA2203,40,46,28,14,60,36,12,19,0,259,13,20,21,13,57,72,20,24,29,267,648,823,746,472,1701,1854,532,928,69,7789
POA2204,87,57,66,33,113,81,25,35,8,497,34,64,61,38,104,150,28,49,99,623,1257,1589,1312,928,3118,3430,895,1679,194,14408
POA2205,94,46,45,17,66,58,10,12,0,336,47,87,88,22,145,126,17,36,145,725,1328,1608,1559,687,3140,2854,604,1037,291,13108
POA2206,96,63,41,18,62,54,12,21,7,371,64,36,30,23,65,68,11,24,73,395,1362,1035,858,515,1622,1732,458,941,159,8680
POA2207,88,63,36,27,77,70,18,26,5,408,46,65,51,33,126,88,10,44,98,569,1349,1595,1329,810,2640,2603,554,1072,223,12168
POA2208,42,37,19,11,32,27,6,12,5,196,34,37,17,14,57,56,5,14,66,297,783,730,565,338,1113,1089,229,457,117,5417
POA2209,50,24,21,9,57,37,26,17,4,247,41,44,36,16,67,52,9,16,58,340,1002,790,677,359,1449,1342,293,498,124,6543
POA2210,118,76,37,30,88,92,34,56,3,530,98,77,62,28,153,107,21,47,121,706,2074,1798,1417,808,2863,2751,582,1235,248,13777
POA2211,83,34,29,15,37,41,10,15,5,277,47,39,27,9,67,73,4,26,80,369,1238,926,730,449,1675,1563,331,627,139,7688
POA2212,65,24,12,14,59,53,6,16,4,253,44,29,30,14,82,61,18,24,64,362,1084,859,661,415,1626,1546,295,555,144,7182
POA2213,88,40,18,18,60,54,15,22,0,312,63,54,39,18,105,117,9,24,72,502,1687,1293,999,588,2260,2118,507,977,142,10572
POA2214,28,16,8,0,9,17,5,0,0,81,13,5,7,7,13,8,4,5,11,74,332,240,174,101,365,358,77,163,19,1831
POA2216,98,72,46,16,104,67,10,19,5,445,42,89,92,45,141,104,20,37,166,724,1242,1801,1845,872,3058,2691,538,991,324,13352
POA2217,98,49,36,18,81,66,10,34,5,403,46,63,87,24,127,133,18,35,125,658,1461,1692,1632,900,3022,3020,552,1152,261,13692
POA2218,61,42,31,15,32,25,5,15,0,222,40,35,45,22,65,69,11,21,82,385,931,984,943,518,1839,1501,314,505,142,7686
POA2219,41,35,30,14,37,41,7,16,5,219,28,28,26,15,58,47,11,15,53,283,674,835,641,389,1209,1300,325,712,104,6183
POA2220,111,70,61,27,65,44,16,16,7,419,89,97,108,45,175,144,20,26,247,960,2057,2207,2331,1051,3605,2670,491,859,419,15690
POA2221,62,29,18,10,47,40,11,24,0,242,38,34,29,16,61,72,11,28,54,347,1055,1084,802,492,1357,1606,332,850,141,7713
POA2222,46,29,14,9,40,29,8,12,0,182,25,29,18,14,69,51,4,16,43,271,829,717,691,394,1404,1163,274,466,112,6055
POA2223,63,58,36,22,57,55,14,31,5,348,34,42,34,12,79,100,16,30,70,415,1281,1318,1148,660,2095,2225,550,1128,127,10538
POA2224,63,42,30,23,35,43,9,16,4,265,19,58,30,10,45,43,7,30,67,307,687,1079,775,421,1073,1339,330,741,118,6548
POA2225,17,14,7,6,16,10,0,14,0,82,9,15,10,0,15,23,5,13,12,103,272,433,278,179,394,645,165,429,24,2823
POA2226,41,21,16,18,39,36,11,18,0,206,8,31,14,11,28,49,12,20,20,194,632,882,679,440,1176,1482,441,804,46,6566
POA2227,62,43,26,16,35,53,9,25,5,281,26,37,23,15,35,59,21,34,32,288,812,1170,827,490,1332,1748,496,1002,88,7969
POA2228,80,59,41,15,56,55,15,31,3,360,27,46,32,20,79,113,18,32,50,420,1097,1387,1055,662,1963,2205,563,1113,141,10193
POA2229,142,77,55,27,71,106,21,52,6,557,63,92,64,29,102,138,32,62,72,652,1572,2249,1679,1007,2515,3402,911,1976,153,15470
POA2230,143,102,67,28,85,96,22,38,10,590,47,93,60,38,102,164,27,92,64,682,1641,2479,1731,1019,2762,3755,956,2164,191,16707
POA2231,11,18,3,0,8,8,5,0,0,62,9,11,10,0,9,7,0,3,9,58,145,191,133,81,202,260,61,116,23,1207
