LGA_CODE_2021,C21_1500_1999_R100_149,C21_1500_1999_R150_199,C21_1500_1999_R200_224,C21_1500_1999_R225_274,C21_1500_1999_R275_349,C21_1500_1999_R350_449,C21_1500_1999_R450_549,C21_1500_1999_R550_649,C21_1500_1999_R650more,C21_1500_1999_R_NS,C21_1500_1999_R_Tot,C21_2000_2499_R1_74,C21_2000_2499_R75_99,C21_2000_2499_R100_149,C21_2000_2499_R150_199,C21_2000_2499_R200_224,C21_2000_2499_R225_274,C21_2000_2499_R275_349,C21_2000_2499_R350_449,C21_2000_2499_R450_549,C21_2000_2499_R550_649,C21_2000_2499_R650more,C21_2000_2499_R_NS,C21_2000_2499_R_Tot,C21_2500_2999_R1_74,C21_2500_2999_R75_99,C21_2500_2999_R100_149,C21_2500_2999_R150_199,C21_2500_2999_R200_224,C21_2500_2999_R225_274,C21_2500_2999_R275_349,C21_2500_2999_R350_449,C21_2500_2999_R450_549,C21_2500_2999_R550_649,C21_2500_2999_R650more,C21_2500_2999_R_NS,C21_2500_2999_R_Tot,C21_3000_3999_R1_74,C21_3000_3999_R75_99,C21_3000_3999_R100_149,C21_3000_3999_R150_199,C21_3000_3999_R200_224,C21_3000_3999_R225_274,C21_3000_3999_R275_349,C21_3000_3999_R350_449,C21_3000_3999_R450_549,C21_3000_3999_R550_649,C21_3000_3999_R650more,C21_3000_3999_R_NS,C21_3000_3999_R_Tot,C21_4000more_R1_74,C21_4000more_R75_99,C21_4000more_R100_149,C21_4000more_R150_199,C21_4000more_R200_224,C21_4000more_R225_274,C21_4000more_R275_349,C21_4000more_R350_449,C21_4000more_R450_549,C21_4000more_R550_649,C21_4000more_R650more,C21_4000more_R_NS,C21_4000more_R_Tot,C21_PI_S_R1_74,C21_PI_S_R75_99,C21_PI_S_R100_149,C21_PI_S_R150_199,C21_PI_S_R200_224,C21_PI_S_R225_274,C21_PI_S_R275_349,C21_PI_S_R350_449,C21_PI_S_R450_549,C21_PI_S_R550_649,C21_PI_S_R650more,C21_PI_S_R_NS,C21_PI_S_R_Tot,C21_AI_NS_R1_74,C21_AI_NS_R75_99,C21_AI_NS_R100_149,C21_AI_NS_R150_199,C21_AI_NS_R200_224,C21_AI_NS_R225_274,C21_AI_NS_R275_349,C21_AI_NS_R350_449,C21_AI_NS_R450_549,C21_AI_NS_R550_649,C21_AI_NS_R650more,C21_AI_NS_R_NS,C21_AI_NS_R_Tot,C21_Tot_R1_74,C21_Tot_R75_99,C21_Tot_R100_149,C21_Tot_R150_199,C21_Tot_R200_224,C21_Tot_R225_274,C21_Tot_R275_349,C21_Tot_R350_449,C21_Tot_R450_549,C21_Tot_R550_649,C21_Tot_R650more,C21_Tot_R_NS,C21_Tot_R_Tot
LGA10800,6,6,8,6,11,0,0,0,0,12,62,4,0,15,3,0,11,11,3,0,0,0,3,56,0,0,0,6,0,0,3,0,0,0,0,0,13,0,0,3,4,3,7,5,9,0,0,4,4,45,0,0,3,0,0,9,4,4,4,0,0,0,27,0,0,3,5,0,11,5,0,0,0,0,3,31,4,0,5,0,3,0,0,0,0,0,0,0,13,27,11,71,76,38,71,62,26,7,0,4,41,434
LGA10850,8,11,6,9,19,18,5,0,0,0,73,0,0,0,5,0,8,24,17,0,0,0,0,65,0,0,0,0,0,8,9,17,0,0,0,0,42,0,0,0,0,0,4,7,12,4,0,0,3,26,0,0,5,0,0,4,3,8,5,0,0,7,22,0,0,0,0,3,6,11,3,0,0,0,0,32,0,0,5,0,3,0,0,0,0,0,0,0,18,15,9,52,65,63,114,146,96,21,6,3,36,614
LGA10900,0,15,14,25,71,264,225,69,23,15,718,5,0,6,7,8,19,45,212,234,69,27,20,653,0,0,0,3,0,12,14,97,140,39,20,4,327,0,0,0,0,0,6,11,67,143,54,38,14,332,0,0,0,0,0,7,3,32,61,54,67,9,238,0,0,3,5,3,8,15,62,44,20,13,16,191,0,0,4,12,3,8,8,12,7,0,0,25,75,12,26,80,316,146,344,700,1765,1291,378,226,195,5487
LGA10950,0,4,0,7,3,4,0,0,0,5,26,6,3,8,0,4,0,3,5,0,0,3,3,37,0,0,4,0,4,4,5,0,0,0,0,0,17,3,4,3,0,0,3,4,0,0,0,0,0,21,0,9,4,4,0,3,9,0,0,0,0,8,26,0,0,4,3,0,6,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,5,20,9,47,43,30,41,34,12,6,0,3,23,270
LGA11150,0,7,3,14,0,0,0,0,0,7,33,14,3,4,0,0,4,0,3,0,0,3,3,46,0,0,0,0,0,4,0,0,0,0,0,0,10,7,3,0,4,4,0,3,0,0,0,0,0,26,8,0,3,0,5,3,0,3,0,0,0,6,33,3,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,3,0,0,0,0,0,0,0,5,8,43,19,34,46,24,54,18,11,4,0,3,38,290
LGA11200,4,9,0,3,0,0,0,0,0,0,16,0,0,0,13,0,4,0,0,0,0,0,5,24,0,0,0,3,0,0,0,0,0,0,0,5,9,4,0,3,0,0,0,0,0,0,0,0,0,12,6,0,0,0,0,0,0,3,0,0,0,0,15,3,0,5,3,0,0,0,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,0,0,0,8,27,16,47,90,13,16,3,7,0,0,0,31,249
LGA11250,6,27,28,49,33,21,0,0,0,15,197,17,7,3,16,20,31,32,25,3,5,0,6,166,4,5,7,5,14,19,28,9,0,0,3,3,101,0,4,3,14,7,17,26,20,3,0,0,13,98,6,11,0,5,9,9,9,10,6,0,0,12,76,0,7,3,13,8,18,15,8,0,0,0,3,72,5,4,3,9,0,4,0,5,0,0,0,6,38,57,59,137,380,297,382,244,129,21,9,14,110,1842
LGA11300,6,7,7,22,59,170,241,168,97,19,798,0,4,6,13,5,17,35,162,339,185,119,23,911,0,0,5,3,7,9,14,83,168,139,82,15,525,0,0,3,11,3,14,19,72,219,203,144,17,708,0,3,3,6,4,6,9,35,121,174,215,20,600,0,0,9,10,3,7,6,48,69,57,72,29,317,0,0,0,4,0,4,3,4,10,9,9,14,58,19,15,236,150,135,234,402,1062,1837,1407,969,245,6718
LGA11350,0,7,9,5,19,61,113,89,162,18,483,0,0,4,4,3,6,12,63,101,103,169,18,467,0,0,0,4,3,3,3,16,47,59,146,8,292,0,0,0,0,0,3,3,21,26,52,192,9,308,0,0,0,4,0,7,0,3,11,22,266,12,329,0,0,0,6,4,4,4,15,36,39,123,16,253,0,0,6,7,4,0,4,4,8,0,10,20,56,19,11,60,175,128,197,274,523,607,586,1308,200,4087
LGA11400,9,5,12,6,31,11,0,0,0,3,88,6,0,3,6,11,16,11,14,5,0,5,5,76,0,0,0,3,0,7,13,7,3,0,0,12,51,0,0,0,5,3,9,6,12,0,0,3,11,41,4,7,0,0,0,3,10,8,0,6,4,0,31,0,0,0,7,0,7,6,10,0,0,0,3,38,0,0,0,0,0,5,0,4,0,0,0,0,15,33,18,65,104,89,151,147,83,14,7,12,66,779
LGA11450,5,5,8,30,68,268,594,263,40,31,1321,0,0,4,9,4,9,59,204,704,361,69,24,1444,0,0,0,5,5,6,13,100,497,286,55,14,983,0,0,0,4,0,21,17,59,486,348,89,13,1043,0,0,4,5,6,6,10,27,265,315,122,19,772,0,0,3,5,0,7,7,44,162,117,26,35,411,0,0,9,5,0,0,0,13,16,6,4,39,91,22,19,162,141,87,220,517,1436,3709,2109,494,337,9255
LGA11500,31,49,28,69,327,1271,511,131,31,60,2516,0,0,11,26,26,55,192,1056,590,165,36,42,2199,0,0,8,15,4,19,74,540,371,155,37,22,1252,0,0,10,9,3,26,53,432,396,211,56,20,1227,5,0,13,11,3,9,30,163,202,169,77,22,706,0,10,23,35,22,36,61,278,186,81,24,89,842,11,7,62,21,10,9,25,53,24,10,5,120,347,125,223,1464,1065,587,948,2409,7272,3198,1169,339,765,19568
LGA11520,10,11,13,21,41,221,470,300,251,41,1374,0,0,9,7,7,25,43,201,614,447,453,34,1847,0,0,6,3,10,14,11,82,284,313,343,18,1081,0,0,3,12,0,24,19,100,410,555,716,30,1868,0,0,4,9,4,16,32,55,305,538,1599,38,2588,0,4,13,5,7,15,15,13,67,101,191,44,479,0,0,17,5,0,5,6,10,17,13,11,45,132,38,44,412,219,127,211,334,1317,3073,2821,4121,438,13167
LGA11570,55,72,57,151,575,1707,1382,652,454,139,5270,3,5,26,32,34,94,401,1294,1320,691,478,100,4486,0,0,15,15,20,43,183,619,758,467,420,64,2611,9,0,17,19,16,33,133,479,765,581,675,60,2789,0,3,14,18,14,26,74,228,400,442,760,64,2038,4,9,42,54,33,65,153,393,416,246,250,207,1878,16,8,124,50,25,27,45,94,57,34,32,258,762,292,571,3183,2121,1238,1966,4824,11094,8983,4703,4018,1921,44914
LGA11600,7,0,3,10,13,0,0,0,0,12,42,0,0,0,11,6,5,14,0,0,0,0,7,50,0,0,3,3,3,3,4,0,0,0,0,5,23,0,0,4,0,3,5,0,3,0,0,0,6,22,3,0,0,3,0,3,4,0,0,0,0,9,18,0,0,0,0,4,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,4,22,7,27,48,40,46,45,9,0,3,4,49,297
LGA11650,32,51,42,107,466,2058,1260,370,181,93,4685,4,7,13,26,36,70,265,1500,1331,454,207,80,4000,4,4,9,12,12,29,115,679,720,346,206,31,2163,0,0,4,10,9,24,90,476,736,422,326,43,2145,0,0,7,6,10,20,45,209,360,304,520,32,1520,3,0,24,44,27,47,128,439,394,170,124,91,1496,12,7,102,62,25,53,83,94,31,9,14,188,679,185,240,1649,1504,1048,1852,4717,12117,7348,2715,1889,1218,36489
LGA11700,0,5,0,4,0,0,0,0,0,5,31,6,3,5,3,0,0,7,0,0,0,0,7,30,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,17,8,0,3,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,9,48,14,38,55,26,19,16,3,0,0,0,40,257
LGA11720,4,14,12,39,223,341,99,14,4,14,776,5,0,0,7,12,19,137,296,131,9,6,9,632,0,0,5,0,7,10,54,139,71,4,3,4,301,0,0,0,4,0,8,35,131,85,7,6,10,286,0,0,0,3,4,7,24,53,54,14,22,8,182,4,0,3,8,5,14,63,103,31,3,10,14,256,0,0,6,14,9,14,18,18,4,0,0,30,117,17,20,144,327,254,605,1720,2128,621,73,64,220,6193
LGA11730,11,13,11,48,134,224,96,25,14,31,607,0,0,3,11,4,34,105,149,52,18,12,8,399,3,0,0,6,4,10,34,70,36,5,9,11,178,0,0,0,0,6,17,20,48,35,10,10,8,155,6,0,0,6,7,9,12,24,29,15,19,10,128,0,0,5,7,13,23,39,72,32,12,4,8,215,0,0,18,14,10,20,22,18,0,0,4,34,129,35,29,244,413,330,689,1219,1345,435,118,119,239,5209
LGA11750,3,14,3,10,10,0,0,0,0,10,65,5,7,19,20,8,10,14,0,0,0,0,8,89,0,0,0,3,5,8,8,0,0,0,0,3,27,4,4,8,11,6,7,12,3,0,0,0,0,60,3,3,12,11,0,0,8,4,0,0,0,3,47,0,3,4,7,0,6,6,0,0,0,0,3,28,0,0,0,3,4,0,0,0,0,0,0,7,19,38,28,72,90,58,76,73,14,3,0,6,51,500
LGA11800,18,13,15,54,160,439,293,87,30,22,1133,0,0,10,17,11,29,87,305,262,78,34,17,851,0,0,3,5,7,14,35,105,174,72,36,14,456,0,0,3,8,4,7,28,85,134,98,49,17,430,5,0,10,4,3,8,17,39,57,75,68,16,307,0,0,3,12,8,19,56,114,94,55,19,22,405,0,0,5,32,4,18,24,23,3,0,4,60,183,41,35,259,585,294,716,1545,2591,1639,601,328,357,8992
LGA12000,3,0,4,9,3,0,0,0,0,0,21,0,0,0,0,3,3,6,8,0,0,0,0,24,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,3,0,0,0,0,9,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,3,0,0,0,0,0,15,0,0,5,0,0,0,0,0,0,0,0,0,8,10,7,46,34,36,35,43,31,6,0,0,17,268
LGA12150,0,14,3,10,4,0,0,0,0,0,45,11,8,9,6,3,11,0,0,0,0,0,6,49,0,0,3,0,3,3,0,0,0,0,0,0,14,0,0,0,0,5,0,6,0,0,0,0,0,16,0,0,0,4,3,3,0,0,0,0,0,0,16,0,0,0,4,3,7,0,0,0,0,0,0,21,0,0,3,6,0,3,3,0,0,0,0,0,16,31,20,32,115,65,80,26,3,0,0,3,27,404
LGA12160,4,24,9,22,29,10,0,0,4,11,111,0,0,0,15,3,12,11,8,0,0,0,3,73,0,0,0,5,0,11,10,4,4,0,0,0,36,3,0,3,0,4,5,8,11,0,0,0,0,40,0,0,5,0,6,0,12,10,0,0,0,4,38,3,0,7,6,3,5,11,5,0,0,0,0,37,0,0,3,4,4,7,9,0,0,0,0,0,30,24,13,121,208,120,186,188,64,5,0,9,65,1004
LGA12350,7,22,15,42,46,6,0,0,0,9,147,0,0,0,11,9,13,25,15,0,0,0,7,89,0,0,0,3,5,9,14,4,0,0,0,0,37,5,0,4,0,3,8,7,6,0,0,0,4,39,0,0,0,3,0,6,3,3,0,0,0,5,22,0,0,5,3,6,15,16,4,0,0,0,3,52,0,0,3,12,9,8,0,3,0,0,0,3,41,21,21,125,251,166,308,234,85,9,0,4,76,1305
LGA12380,32,51,46,109,420,1395,1070,348,203,82,3764,0,3,26,29,46,48,323,1351,1188,401,188,79,3674,3,0,11,22,15,23,134,676,686,291,181,48,2086,3,0,15,16,18,28,117,746,989,427,255,59,2670,4,4,29,12,18,24,47,399,634,406,345,75,1992,3,6,25,33,20,30,99,340,393,206,134,188,1478,11,3,61,39,8,15,37,66,54,12,5,178,486,187,370,1769,1278,755,1120,2939,9136,7547,3030,1722,1375,31228
LGA12390,7,44,56,127,274,240,51,6,3,32,851,3,6,16,17,36,85,205,277,55,5,3,14,730,0,0,5,7,6,29,99,140,35,7,6,11,343,0,0,4,9,14,32,54,152,65,7,4,8,353,0,4,10,4,10,19,31,89,47,20,13,25,261,0,3,9,25,20,29,73,108,32,7,8,22,329,4,0,26,16,9,16,6,14,4,0,0,45,139,43,55,368,553,450,894,1526,1569,352,69,51,287,6206
LGA12700,0,4,6,7,15,27,3,0,0,4,65,0,0,0,0,0,3,10,30,0,4,0,0,56,0,0,0,0,0,0,9,11,6,0,0,5,39,0,0,0,0,6,0,0,8,8,0,0,0,22,0,0,5,5,0,4,4,3,0,0,0,0,18,0,0,0,4,4,3,6,16,3,3,0,0,41,0,0,0,0,3,0,0,0,0,0,0,4,14,7,9,19,48,38,85,118,146,35,12,7,32,541
LGA12730,9,17,10,21,16,5,0,0,0,4,77,0,6,3,6,5,14,19,8,0,0,0,11,79,0,0,0,0,0,3,9,4,0,0,0,5,27,0,0,0,0,5,0,3,7,0,0,0,3,15,0,0,0,0,0,3,0,3,5,0,0,0,20,0,0,3,3,0,11,13,4,0,0,0,0,35,3,0,3,4,0,3,0,3,0,0,0,12,29,18,17,113,182,81,180,150,49,6,0,6,57,847
LGA12750,5,21,9,29,92,166,70,19,8,29,452,0,0,5,3,11,15,55,161,79,17,8,17,373,0,0,4,0,3,6,16,67,46,14,0,5,163,0,0,0,4,5,4,10,67,36,16,3,9,149,0,0,0,5,0,4,10,29,22,13,19,13,108,0,0,0,7,8,6,22,70,21,9,0,8,155,5,0,14,7,6,14,18,9,0,0,0,22,100,20,17,195,282,243,447,756,1134,402,123,68,224,3929
LGA12850,31,35,46,101,340,778,828,266,116,72,2627,4,3,11,23,26,50,222,536,573,255,95,54,1848,0,0,8,12,12,30,94,263,354,150,91,33,1052,3,0,10,12,4,21,58,276,332,194,121,28,1049,0,0,7,12,8,12,42,126,182,96,107,27,619,0,3,21,27,29,22,106,217,213,77,51,91,851,4,7,44,19,9,27,40,72,40,17,10,119,394,120,216,1362,1294,773,1386,3404,6154,5096,1706,811,980,23316
LGA12870,5,13,10,26,40,24,0,0,0,5,125,3,0,3,4,7,18,39,21,0,0,5,3,106,3,0,0,3,4,4,11,9,0,0,0,0,34,3,0,5,0,0,4,9,9,0,0,0,6,45,0,0,3,3,0,0,9,5,0,0,0,0,18,0,0,0,6,4,7,9,3,0,0,0,7,47,0,0,6,10,4,4,4,4,0,0,0,0,37,27,17,96,198,110,212,262,97,10,6,5,51,1092
LGA12900,0,10,7,27,22,10,4,0,0,11,95,0,0,3,5,6,17,25,20,0,0,0,9,85,0,0,0,0,0,0,14,8,0,0,0,7,36,0,0,0,0,4,0,5,8,4,0,0,3,30,0,0,4,7,4,3,10,4,0,0,0,4,37,0,0,6,10,4,6,3,6,0,0,0,0,38,4,0,14,10,3,9,3,5,0,0,0,5,37,25,18,115,150,113,206,172,92,12,5,7,77,983
LGA12930,16,27,15,44,163,779,717,311,156,58,2287,6,3,16,13,17,37,130,698,823,411,245,50,2454,0,0,4,7,14,28,49,348,542,302,189,21,1511,0,0,8,13,10,40,46,314,660,453,360,38,1947,0,5,3,7,5,24,25,120,362,314,502,35,1412,0,0,7,11,9,18,43,143,208,135,87,76,749,0,0,43,12,3,5,14,25,15,17,8,58,198,60,76,696,432,267,474,1211,4485,4798,2585,1849,609,17546
LGA12950,6,11,4,8,0,3,3,0,0,3,35,0,0,3,9,5,16,3,0,0,0,0,0,34,0,0,0,4,0,0,0,0,0,0,0,0,11,0,0,0,0,0,9,0,0,0,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0,0,14,0,0,0,0,5,3,3,0,0,0,0,6,22,4,0,3,0,3,5,0,0,0,0,0,6,16,15,7,47,103,56,94,32,6,4,0,0,32,391
LGA13010,4,12,7,21,36,5,0,0,0,7,90,0,0,0,9,6,14,9,3,4,0,0,5,50,0,0,0,6,0,3,5,0,0,0,0,5,25,3,0,0,4,0,9,6,0,0,0,0,4,16,0,0,0,0,4,0,0,0,0,0,0,5,14,0,0,0,4,0,9,8,0,0,0,0,3,31,0,0,3,12,7,5,0,0,0,0,0,3,34,19,7,81,203,131,240,140,26,9,0,3,45,913
LGA13310,6,7,17,32,132,183,36,6,3,7,429,0,0,0,3,14,33,107,173,52,9,3,17,410,0,0,4,0,4,7,25,89,27,3,0,3,172,0,0,3,6,0,6,26,88,32,3,0,3,176,0,0,0,3,0,3,11,35,24,7,8,3,101,0,4,4,6,0,9,27,58,14,3,0,9,140,0,0,18,19,0,5,16,0,4,0,3,31,93,20,53,273,287,177,350,837,1042,261,42,29,156,3532
LGA13340,4,11,10,14,20,3,0,0,0,7,73,0,0,5,6,7,9,7,9,0,0,0,8,56,0,0,0,0,3,5,6,6,0,0,0,4,25,0,0,0,6,4,10,11,7,0,0,0,0,36,0,0,0,3,0,4,8,5,0,0,0,4,20,0,0,4,0,7,9,3,0,0,0,0,0,32,0,0,6,8,0,0,0,0,0,0,0,3,14,6,5,75,131,72,123,104,44,9,3,0,37,618
LGA13450,9,24,33,76,137,117,19,6,4,13,438,0,0,5,20,27,57,96,140,27,3,0,7,387,0,0,0,11,15,28,40,74,21,3,0,8,192,0,0,7,9,10,29,57,77,27,0,0,6,224,0,0,8,8,6,13,23,61,21,8,3,3,142,3,0,5,10,0,25,41,43,10,0,0,16,151,3,0,9,10,3,5,4,3,0,0,0,15,67,27,25,168,329,265,482,681,739,143,25,14,151,3057
LGA13550,5,7,7,18,49,53,20,0,5,3,162,0,0,3,3,9,20,41,49,18,3,0,7,155,0,0,0,0,0,4,13,30,14,3,0,0,64,0,0,0,5,5,7,16,27,17,3,0,7,94,0,0,0,3,5,7,5,30,20,7,10,3,84,0,0,0,4,3,7,18,14,9,0,0,5,65,0,0,3,12,3,6,3,3,0,0,0,12,46,19,15,54,132,122,216,311,285,108,26,19,77,1381
LGA13660,0,8,8,16,0,0,0,0,5,7,46,0,0,4,4,3,6,4,0,0,0,0,4,27,0,0,0,0,0,6,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,4,10,0,0,0,0,0,3,4,0,0,0,0,6,11,4,0,0,0,3,10,3,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,3,7,18,6,51,44,52,90,32,8,0,0,4,42,353
LGA13800,0,7,14,44,71,308,187,65,29,20,750,3,0,0,9,4,33,62,271,207,73,50,12,728,0,0,0,6,0,13,31,127,129,47,35,13,397,0,0,3,3,6,15,22,99,131,71,66,14,429,0,0,0,0,5,11,17,35,44,53,80,14,257,0,0,0,3,6,9,15,72,62,29,25,17,243,0,0,6,21,4,7,8,11,5,0,0,29,89,18,29,142,294,162,342,687,1800,1104,426,347,224,5573
