LGA_CODE_2021,Ot_ty_Ed_Ins_Ft_st_C11_P,Ot_ty_Ed_Ins_Ft_st_C16_M,Ot_ty_Ed_Ins_Ft_st_C16_F,Ot_ty_Ed_Ins_Ft_st_C16_P,Ot_ty_Ed_Ins_Ft_st_C21_M,Ot_ty_Ed_Ins_Ft_st_C21_F,Ot_ty_Ed_Ins_Ft_st_C21_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,Ot_ty_Ed_Ins_Pt_st_C16_M,Ot_ty_Ed_Ins_Pt_st_C16_F,Ot_ty_Ed_Ins_Pt_st_C16_P,Ot_ty_Ed_Ins_Pt_st_C21_M,Ot_ty_Ed_Ins_Pt_st_C21_F,Ot_ty_Ed_Ins_Pt_st_C21_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,O_t_E_I_F_P_s_s_ns_C16_M,O_t_E_I_F_P_s_s_ns_C16_F,O_t_E_I_F_P_s_s_ns_C16_P,O_t_E_I_F_P_s_s_ns_C21_M,O_t_E_I_F_P_s_s_ns_C21_F,O_t_E_I_F_P_s_s_ns_C21_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Oth_ty_Edu_Ins_Tot_C16_M,Oth_ty_Edu_Ins_Tot_C16_F,Oth_ty_Edu_Ins_Tot_C16_P,Oth_ty_Edu_Ins_Tot_C21_M,Oth_ty_Edu_Ins_Tot_C21_F,Oth_ty_Edu_Ins_Tot_C21_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,Type_Educ_Insti_ns_C16_M,Type_Educ_Insti_ns_C16_F,Type_Educ_Insti_ns_C16_P,Type_Educ_Insti_ns_C21_M,Type_Educ_Insti_ns_C21_F,Type_Educ_Insti_ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
LGA11200,10,0,0,0,0,0,0,0,0,7,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,4,4,5,0,0,0,63,61,130,122,77,197,102,110,218,231,269,501,280,258,539,240,233,472
LGA11250,24,6,12,21,11,15,23,22,47,68,24,46,67,20,39,55,0,4,4,0,0,8,0,0,5,33,64,95,37,61,97,30,54,82,898,930,1831,823,809,1633,779,811,1591,2637,2794,5429,2372,2548,4914,2337,2581,4914
LGA11300,265,177,195,376,269,326,597,87,146,231,136,177,316,260,295,553,4,5,11,5,10,6,3,0,3,243,267,509,322,378,698,538,619,1153,1208,1074,2286,1022,1080,2099,1143,1174,2316,5493,5598,11096,6165,6663,12827,6723,7208,13934
LGA11350,64,17,37,55,29,42,71,56,137,192,60,127,192,94,189,287,3,0,0,0,5,5,0,0,0,84,176,260,82,168,249,122,232,354,1124,1022,2148,2054,2084,4133,1796,1858,3656,4317,4591,8913,4945,5345,10289,5158,5872,11031
LGA11400,3,0,7,9,5,9,17,18,19,40,3,31,32,7,29,38,0,0,0,0,0,0,0,0,0,17,27,39,7,34,42,15,42,59,283,316,600,565,562,1129,521,525,1047,1731,1893,3624,2040,2209,4250,2091,2170,4251
LGA11450,69,36,73,110,134,148,280,64,179,236,82,233,311,225,355,574,3,7,10,0,0,6,3,4,8,92,227,322,121,304,431,357,507,860,1477,1398,2871,1900,2044,3952,1987,2087,4071,8905,9231,18143,11896,12623,24521,18256,19441,37694
LGA11500,250,199,305,503,264,341,602,215,427,644,225,542,763,340,538,877,6,14,20,6,14,20,6,5,10,335,579,916,431,859,1290,607,883,1490,5358,5596,10950,4956,5614,10567,5198,5440,10633,23056,24043,47096,23978,25344,49327,27430,28875,56302
LGA11520,183,169,188,358,177,162,345,134,282,413,212,338,551,297,414,715,0,7,9,3,6,8,4,3,9,202,403,604,388,532,918,473,586,1060,2818,2618,5434,2525,2752,5273,1815,1958,3777,11038,11272,22311,12545,13307,25852,12209,13033,25246
LGA11570,1222,810,1049,1858,1208,901,2107,638,1033,1673,701,1398,2093,1054,1366,2415,35,37,72,35,46,78,38,27,62,1275,1695,2966,1539,2493,4036,2295,2286,4579,13968,13069,27043,11905,11759,23667,13667,12758,26421,53022,51704,104731,56821,56622,113443,63042,61327,124370
LGA11600,0,0,0,0,0,0,0,0,0,0,0,9,10,5,10,18,0,0,0,0,0,0,0,0,0,0,7,7,0,9,13,8,13,18,71,67,131,140,126,264,183,159,346,327,347,671,368,401,773,442,459,897
LGA11650,370,211,319,532,261,315,572,430,974,1404,434,958,1389,494,816,1321,13,18,33,4,24,27,13,10,17,601,1209,1808,656,1296,1949,762,1145,1908,10291,10973,21261,10228,11299,21524,8904,9881,18787,44608,47838,92445,45482,48879,94368,47474,50795,98266
LGA11700,6,5,3,12,0,5,5,0,0,0,0,3,3,0,10,6,0,0,0,0,0,0,0,0,0,6,7,3,5,11,16,0,9,10,123,58,183,183,148,332,195,185,378,294,275,573,305,293,600,294,313,607
LGA11720,57,29,41,71,66,57,126,70,118,190,43,154,192,95,141,234,3,7,12,3,10,11,0,0,0,101,156,257,76,200,276,158,200,361,2197,1746,3940,2931,2286,5221,3096,1552,4648,7599,7356,14951,8511,8334,16847,9985,9099,19086
LGA11730,50,36,41,75,29,32,68,69,119,180,35,93,133,54,105,155,0,0,5,5,0,5,0,5,6,94,142,237,75,132,207,88,138,228,1747,1560,3308,2408,2140,4551,2857,1977,4835,6684,6949,13635,6971,6976,13946,7647,7087,14737
LGA11750,0,8,0,7,0,0,4,0,11,15,3,14,12,0,10,8,0,0,0,0,5,4,0,0,0,0,11,17,9,17,24,7,10,13,233,212,444,309,267,575,315,303,614,699,676,1367,729,753,1484,681,709,1386
LGA11800,109,65,78,140,62,69,133,92,204,294,107,217,320,95,191,291,0,3,4,3,6,13,9,4,13,130,280,410,174,296,469,165,271,435,2199,2291,4487,2819,3057,5877,2397,2536,4937,9753,10664,20414,10287,11397,21689,10734,11747,22480
LGA12000,11,0,0,0,7,9,16,3,8,10,0,4,5,3,7,13,0,0,0,0,0,0,0,0,0,10,11,20,0,7,3,17,19,29,144,147,293,253,247,502,141,144,284,594,664,1262,717,726,1437,614,666,1288
LGA12150,0,0,0,0,0,0,0,6,6,13,3,0,3,3,4,4,0,0,0,0,0,0,0,0,0,6,8,9,3,0,3,5,4,8,200,174,372,334,331,666,242,279,518,560,617,1176,646,690,1335,569,604,1178
LGA12160,10,9,12,25,3,9,10,9,12,20,3,10,15,6,13,26,0,0,0,0,0,0,0,0,0,12,18,33,14,25,35,12,20,35,407,400,807,479,456,934,478,436,916,1517,1581,3091,1521,1538,3060,1530,1515,3042
LGA12350,9,7,8,17,7,6,6,8,27,40,17,22,33,11,13,28,0,0,0,0,0,0,0,0,0,17,33,45,19,28,53,18,23,37,561,501,1066,582,601,1180,548,525,1069,1794,1840,3632,1669,1835,3501,1691,1743,3433
LGA12380,1100,743,781,1524,1271,934,2203,501,689,1189,623,936,1558,1010,1007,2015,38,38,81,24,16,43,34,16,54,1120,1262,2375,1381,1739,3123,2313,1960,4274,9065,8150,17210,7363,7105,14468,9778,8229,18006,33281,31990,65268,35751,34782,70541,41792,39956,81748
LGA12390,45,30,41,71,66,55,123,45,119,168,54,104,161,93,119,209,10,3,15,0,0,0,0,4,9,74,151,224,83,151,234,163,177,341,2057,1642,3701,2707,2278,4988,3172,2421,5593,7314,7306,14614,7998,7970,15973,9043,8885,17929
LGA12700,8,0,4,9,0,8,8,14,18,29,6,22,27,8,19,31,0,0,0,0,0,0,0,0,0,14,26,38,3,29,29,8,27,34,261,260,521,381,367,748,201,224,423,1132,1192,2320,1300,1335,2639,1181,1272,2453
LGA12730,0,0,5,3,0,4,5,11,12,23,4,21,28,6,18,28,0,0,0,0,0,0,3,0,3,11,18,28,9,28,33,8,22,37,332,326,659,479,486,960,406,389,795,1170,1303,2476,1247,1344,2597,1168,1233,2404
LGA12750,38,17,20,36,17,20,37,49,110,160,29,85,116,38,91,132,8,5,9,4,3,9,0,0,0,66,138,205,47,109,155,56,105,164,1348,1309,2654,1723,1768,3492,1585,1587,3167,4510,4744,9252,4610,4850,9466,4763,4989,9748
LGA12850,850,590,831,1418,471,598,1071,284,606,887,431,931,1366,580,993,1567,31,33,64,22,34,59,35,27,60,656,1143,1797,1043,1794,2841,1081,1615,2700,7126,7040,14170,6005,6162,12170,6804,6722,13526,30084,30723,60808,30884,32123,63010,32622,33580,66206
LGA12870,12,4,10,9,11,11,20,14,27,32,5,19,25,8,22,35,0,0,0,0,0,0,0,0,0,18,29,52,4,27,35,22,29,52,384,389,771,610,607,1217,503,443,942,1528,1650,3185,1655,1797,3454,1570,1644,3215
LGA12900,6,0,3,3,9,5,15,8,19,23,0,20,21,13,26,32,0,0,0,0,0,0,0,5,5,6,23,30,7,18,28,15,36,50,287,306,597,489,460,946,407,389,805,1297,1332,2624,1456,1531,2990,1336,1479,2813
LGA12930,429,347,396,746,543,477,1017,251,486,736,378,604,980,452,572,1026,9,14,16,4,10,15,11,15,27,475,712,1186,731,1005,1735,1004,1064,2070,3682,3820,7499,3519,3646,7168,3316,3640,6954,20252,20459,40717,22490,22687,45178,23071,23219,46291
LGA12950,4,5,0,0,0,0,0,6,7,10,4,4,8,5,6,3,0,0,0,0,0,0,0,0,0,3,10,13,6,4,13,3,6,8,159,178,340,209,202,417,255,248,500,580,673,1257,592,613,1205,619,662,1281
LGA13010,3,0,4,6,4,7,8,14,21,33,5,15,23,5,17,26,0,0,0,0,0,0,0,0,0,11,25,39,10,19,32,4,22,28,407,282,687,629,525,1159,589,483,1072,1240,1226,2465,1354,1344,2702,1272,1314,2587
LGA13310,42,35,20,54,49,33,80,50,59,109,32,87,126,50,74,122,0,0,5,0,0,0,0,0,0,75,81,151,71,109,175,91,106,202,1381,869,2248,1694,1188,2888,1513,1006,2515,4355,3850,8202,4695,4244,8937,4846,4469,9312
LGA13340,11,3,8,9,13,6,18,7,29,34,14,21,35,4,23,30,3,0,8,0,0,0,0,0,0,13,33,45,20,25,47,14,30,48,324,307,629,381,428,811,489,460,949,1468,1538,3000,1600,1683,3280,1755,1756,3505
LGA13450,46,16,25,44,37,28,66,30,60,84,39,66,99,30,74,108,0,0,4,0,3,7,5,0,9,51,82,131,52,96,147,73,107,178,1110,952,2060,1367,1394,2761,1147,1071,2216,3844,3742,7587,4026,4091,8117,4048,4071,8119
LGA13550,6,5,8,10,9,6,15,9,23,38,14,27,35,7,29,36,0,0,0,0,0,0,0,0,0,14,28,46,18,34,48,14,36,56,481,484,963,537,578,1117,591,564,1158,1708,1806,3510,1717,1879,3600,2008,2097,4108
LGA13660,0,0,0,0,4,6,9,4,11,15,5,17,17,7,7,12,0,0,0,0,0,0,0,0,0,4,15,13,4,17,16,10,16,22,128,114,245,311,268,577,238,231,465,597,585,1188,751,723,1476,675,709,1386
LGA13800,65,35,53,88,69,72,137,79,184,264,69,169,234,82,157,240,0,5,5,0,5,8,0,3,4,107,228,339,101,225,331,145,232,378,2038,1915,3955,2041,2078,4116,1592,1475,3068,9656,9881,19537,9463,10011,19472,9392,9760,19149
LGA13850,3,0,0,0,0,3,3,3,7,10,0,8,8,0,5,5,0,0,0,0,0,0,0,0,0,5,6,16,0,8,8,0,5,7,108,82,188,188,191,379,192,170,365,409,422,832,437,460,904,406,422,833
LGA13910,5,11,10,21,14,18,32,13,26,42,13,31,39,9,28,39,0,0,0,0,0,6,0,0,0,21,32,49,21,44,57,23,47,72,576,640,1212,727,779,1509,745,730,1479,2506,2648,5151,2554,2804,5358,2637,2810,5450
LGA14000,215,106,143,250,186,190,376,265,443,706,238,421,656,327,452,781,9,9,20,0,11,15,5,8,14,368,570,945,339,569,914,522,650,1166,2607,2688,5292,2650,2975,5625,2103,2378,4482,21468,22008,43477,22061,22875,44942,23672,24131,47808
LGA14100,5,10,10,20,15,13,27,18,46,64,20,43,63,33,27,61,0,0,0,0,0,0,0,0,0,26,44,68,33,53,80,43,46,86,338,361,706,387,379,765,356,471,825,2385,1960,4341,2615,2100,4716,2299,2199,4500
LGA14170,572,351,402,749,322,299,623,405,704,1112,484,741,1221,498,715,1216,13,17,28,3,11,16,8,9,14,719,992,1707,839,1148,1987,829,1023,1854,6605,6007,12614,6976,6824,13797,4141,3761,7902,24030,25133,49166,26824,28235,55065,25115,26280,51397
LGA14220,11,37,28,67,6,16,25,6,32,36,11,40,51,12,38,56,0,0,3,5,0,5,0,0,0,13,40,48,49,72,124,23,51,77,574,617,1186,795,849,1644,907,860,1773,2455,2585,5043,2556,2703,5258,2581,2766,5349
LGA14300,7,0,0,9,4,9,15,3,12,20,4,14,14,8,10,17,0,0,0,0,0,0,0,0,0,3,18,23,3,19,26,13,16,28,938,170,1113,1154,284,1438,1009,187,1195,1529,768,2297,1682,883,2562,1573,811,2379
LGA14350,24,11,12,18,10,16,24,23,66,90,23,64,80,23,61,81,0,4,4,0,6,9,5,0,4,22,91,121,29,77,111,29,76,107,1477,1079,2551,1925,1601,3525,1958,1307,3268,4217,4032,8248,4436,4304,8744,4523,4296,8823
LGA14400,24,16,14,29,22,18,37,29,61,90,32,62,96,37,47,89,0,0,0,0,4,4,4,6,7,34,79,114,44,80,125,62,71,137,464,438,906,717,770,1488,528,553,1077,2834,2829,5667,3035,3092,6125,3023,3165,6185
LGA14500,136,71,85,157,104,126,229,164,368,531,218,407,624,257,366,622,9,0,9,0,4,4,3,4,7,240,430,672,290,492,785,366,493,856,2282,2462,4743,2258,2634,4897,1360,1542,2905,18531,19277,37806,19943,20518,40459,20184,20626,40810
LGA14550,13,4,9,7,4,8,14,12,15,26,8,17,27,3,18,22,0,0,0,0,0,0,4,0,3,19,26,43,12,22,35,15,24,38,341,315,658,473,424,898,481,485,967,1250,1353,2604,1254,1312,2562,1222,1382,2608
LGA14600,0,0,4,4,5,0,5,0,6,9,0,11,16,0,4,3,0,0,0,0,0,0,0,0,0,4,3,8,0,20,15,4,4,9,235,213,450,406,384,793,357,371,729,866,912,1774,958,1014,1976,947,1006,1950
LGA14650,191,101,143,244,159,155,318,241,444,688,243,506,746,334,531,868,10,7,19,9,10,16,6,5,18,318,572,895,350,660,1008,502,696,1199,4923,5032,9950,4910,5382,10288,4283,4361,8641,25968,26783,52757,26394,27955,54347,28644,29840,58484
LGA14700,47,41,45,83,58,42,101,71,138,211,72,146,220,122,168,290,0,3,3,3,3,9,4,0,0,98,157,262,114,193,310,184,213,392,685,746,1431,860,853,1718,612,711,1324,4805,4811,9620,5644,5335,10979,5882,5870,11755
LGA14750,15,4,3,8,8,6,10,3,17,21,8,12,24,11,15,31,0,0,0,0,3,4,0,0,0,13,21,34,12,22,37,17,25,41,437,499,938,568,581,1150,492,499,992,1866,1973,3840,1779,1930,3710,1790,1933,3725
LGA14850,57,34,26,62,43,44,86,62,123,191,47,106,156,69,107,178,4,5,7,5,3,3,0,0,4,93,161,256,84,133,216,119,154,268,1231,1153,2384,1810,1871,3677,1673,1663,3335,6493,6971,13467,6567,7156,13727,6486,6759,13248
LGA14870,12,11,15,23,12,14,24,20,48,63,24,41,67,17,31,41,0,0,0,0,0,4,0,0,4,25,55,79,39,56,91,26,45,71,1086,744,1834,1571,1178,2743,1081,714,1794,3080,2767,5846,3442,3176,6613,2997,2772,5770
LGA14900,456,367,455,826,435,496,926,229,485,715,358,663,1022,512,731,1242,23,18,37,22,14,40,10,17,32,444,761,1206,750,1134,1880,959,1242,2200,7548,7548,15096,7878,7937,15816,7448,7260,14711,30659,31338,61998,34406,35640,70043,39085,40231,79315
LGA14920,7,0,0,3,4,0,11,5,16,20,7,12,12,3,7,9,0,0,0,0,0,0,0,0,0,6,17,25,8,11,19,6,12,22,303,270,574,385,423,812,451,406,859,1032,1060,2092,1083,1160,2247,1124,1127,2252
LGA14950,0,4,3,4,0,6,10,3,14,14,0,9,9,3,9,7,0,0,0,0,0,0,0,0,0,6,14,17,3,6,13,7,14,18,90,82,172,130,172,297,131,125,256,404,438,850,398,507,902,461,521,980
LGA15050,84,54,75,122,102,98,203,77,177,256,109,210,322,155,256,406,0,3,3,5,5,4,12,3,14,122,221,339,167,286,454,266,353,622,1986,1950,3937,2219,2202,4421,1822,1809,3631,10052,10445,20494,11438,11897,23338,13055,14019,27078
LGA15240,68,34,56,87,46,59,100,77,178,249,61,199,262,73,142,214,7,0,5,3,10,14,6,7,11,105,223,328,99,260,366,114,205,324,3027,3111,6141,3564,3882,7441,3586,3795,7387,10929,11565,22494,11104,12187,23287,11293,12361,23654
LGA15270,29,5,19,24,15,19,31,21,51,73,33,41,64,33,78,111,3,4,8,0,0,0,0,0,0,39,70,105,32,54,90,53,98,148,991,767,1751,1344,1305,2650,1013,949,1962,3263,3190,6450,3677,3738,7414,3741,3821,7560
LGA15300,16,3,3,8,3,6,6,11,26,39,9,14,21,14,13,30,0,0,0,0,0,3,0,0,0,14,38,56,9,23,30,18,23,39,737,664,1407,908,854,1762,1339,1328,2671,2114,2089,4209,2120,2188,4310,2416,2542,4957
LGA15350,49,28,27,52,16,22,34,59,108,168,53,112,164,56,110,157,0,0,3,0,0,0,0,0,0,87,140,227,79,138,218,69,129,197,1075,1088,2166,978,1090,2071,443,510,950,4203,4417,8618,4196,4673,8873,3833,4158,7985
LGA15520,7,4,6,4,0,7,7,8,27,30,16,24,42,9,23,34,0,0,0,0,0,0,0,0,0,12,31,41,19,34,47,9,31,35,432,368,798,510,553,1061,540,504,1043,1418,1398,2812,1463,1677,3139,1655,1750,3403
LGA15560,0,0,0,0,0,0,0,3,5,6,0,4,9,8,5,13,0,0,0,0,0,0,0,5,3,3,3,4,3,6,6,7,10,19,158,153,312,255,219,474,178,150,330,586,488,1077,684,577,1260,477,479,948
LGA15650,9,3,9,9,9,10,18,19,39,57,14,33,51,21,41,65,0,0,0,0,0,0,0,0,0,24,42,63,17,44,65,31,53,88,919,618,1536,861,586,1449,814,504,1316,2606,2364,4976,2627,2405,5039,2734,2482,5210
LGA15700,31,5,7,16,15,18,29,17,35,56,14,41,55,15,26,40,0,0,3,0,0,0,0,0,4,31,56,87,26,47,74,28,43,67,604,660,1264,857,909,1762,838,860,1704,2434,2596,5035,2546,2756,5304,2574,2774,5343
LGA15750,0,4,10,8,6,22,23,5,35,36,10,26,37,13,22,37,0,0,0,0,0,0,0,0,0,5,33,38,21,31,52,19,41,58,512,495,1009,754,809,1565,730,645,1377,1789,1927,3720,1995,2139,4133,1982,2076,4057
LGA15800,3,4,0,4,10,0,11,10,16,24,4,7,14,4,7,9,0,0,0,0,0,0,0,0,0,13,19,26,3,7,12,16,12,26,257,278,530,335,371,704,285,261,550,839,928,1758,863,963,1824,831,905,1732
LGA15850,5,3,3,4,9,6,12,5,19,24,0,8,11,4,5,7,0,0,0,0,6,6,0,0,0,12,20,29,4,9,13,12,10,20,204,237,444,363,359,720,443,436,876,926,1002,1929,1006,1024,2037,1067,1081,2151
LGA15900,218,86,129,220,177,188,358,209,389,598,225,398,623,307,489,800,3,4,9,4,20,26,0,4,9,313,517,825,316,547,865,482,682,1163,4725,4511,9239,4506,4845,9351,4045,3962,8008,22636,23098,45742,24275,25152,49423,25411,26793,52205
LGA15950,155,60,107,168,76,107,179,192,325,512,142,287,435,205,331,530,3,5,10,0,0,0,0,5,5,260,421,679,206,401,605,274,434,710,2763,2737,5502,2541,2725,5269,1361,1529,2892,7823,8485,16309,8052,9183,17234,7854,8845,16700
LGA15990,405,202,244,452,222,259,483,458,908,1372,522,944,1463,574,823,1399,7,25,30,8,7,19,6,0,8,648,1153,1804,730,1195,1932,796,1087,1884,6552,6467,13020,6655,7425,14079,4325,4695,9018,34770,35165,69934,37842,39058,76898,38681,39611,78289
LGA16100,3,0,0,0,8,8,14,3,9,11,8,10,16,0,4,9,0,0,0,0,0,0,0,0,0,3,14,18,7,12,14,9,14,22,270,153,424,437,297,729,433,305,741,802,668,1469,911,783,1697,904,812,1716
LGA16150,33,22,24,48,31,45,78,49,84,138,48,105,157,48,95,146,3,0,8,0,3,8,0,3,3,72,109,182,77,126,202,86,145,226,1398,1309,2710,1448,1490,2939,1232,1261,2491,5758,6022,11778,6148,6441,12587,6654,6941,13598
LGA16200,15,5,3,4,8,12,21,4,23,25,12,37,49,14,16,29,0,3,3,0,0,0,0,0,0,18,30,46,12,44,58,26,26,51,644,635,1280,705,800,1506,569,536,1103,2224,2336,4558,2190,2438,4630,2091,2127,4218
LGA16260,772,481,494,971,1006,820,1823,452,737,1195,492,902,1398,895,1079,1973,12,23,38,13,8,20,17,13,25,815,1187,2004,990,1401,2389,1906,1912,3817,7683,6023,13708,8303,7021,15328,7073,5856,12926,31527,29566,61093,36065,34777,70845,41261,40445,81709
LGA16350,261,156,233,394,266,258,521,247,535,779,237,597,834,386,578,969,4,9,13,12,18,25,9,7,19,348,711,1059,404,838,1250,659,841,1505,5926,5755,11675,6578,6480,13061,6735,6595,13329,27218,28095,55313,29551,30789,60334,33211,34754,67969
LGA16380,75,38,65,102,60,65,124,84,195,282,92,206,303,107,225,331,3,5,9,3,3,11,5,0,9,111,253,367,133,276,415,170,290,461,2200,2243,4447,2787,2974,5761,2149,2172,4323,9423,10089,19512,10344,11346,21687,10882,11935,22825
LGA16400,74,30,45,77,52,55,106,68,200,265,75,180,256,68,133,206,0,11,11,9,3,9,5,3,11,101,251,352,116,230,341,126,193,321,2244,2241,4486,2788,2867,5653,2051,2082,4131,9101,9540,18639,9734,10178,19914,9815,10277,20093
LGA16490,64,41,43,83,104,76,183,89,180,275,95,190,285,172,245,419,0,0,5,3,3,8,0,3,4,122,215,336,140,239,383,281,323,605,1808,1514,3317,2203,2112,4319,1597,1490,3088,7965,8049,16018,8743,8834,17577,9411,9360,18770
