LGA_CODE_2021,C21_SH_Tot_NPFH_6_mor,C21_SH_Tot_Tot,C21_SDRTHT_0b_s_a_b_NPFH_2,C21_SDRTHT_0b_s_a_b_NPFH_3,C21_SDRTHT_0b_s_a_b_NPFH_4,C21_SDRTHT_0b_s_a_b_NPFH_5,C21_SDRTHT_0b_s_a_b_NPFH_6mor,C21_SDRTHT_0b_s_a_b_Tot,C21_SDRTHT_1b_NPFH_2,C21_SDRTHT_1b_NPFH_3,C21_SDRTHT_1b_NPFH_4,C21_SDRTHT_1b_NPFH_5,C21_SDRTHT_1b_NPFH_6_mor,C21_SDRTHT_1b_Tot,C21_SDRTHT_2b_NPFH_2,C21_SDRTHT_2b_NPFH_3,C21_SDRTHT_2b_NPFH_4,C21_SDRTHT_2b_NPFH_5,C21_SDRTHT_2b_NPFH_6_mor,C21_SDRTHT_2b_Tot,C21_SDRTHT_3b_NPFH_2,C21_SDRTHT_3b_NPFH_3,C21_SDRTHT_3b_NPFH_4,C21_SDRTHT_3b_NPFH_5,C21_SDRTHT_3b_NPFH_6_mor,C21_SDRTHT_3b_Tot,C21_SDRTHT_4mb_NPFH_2,C21_SDRTHT_4mb_NPFH_3,C21_SDRTHT_4mb_NPFH_4,C21_SDRTHT_4mb_NPFH_5,C21_SDRTHT_4mb_NPFH_6_mor,C21_SDRTHT_4mb_Tot,C21_SDRTHT_NB_NS_NPFH_2,C21_SDRTHT_NB_NS_NPFH_3,C21_SDRTHT_NB_NS_NPFH_4,C21_SDRTHT_NB_NS_NPFH_5,C21_SDRTHT_NB_NS_NPFH_6_mor,C21_SDRTHT_NB_NS_Tot,C21_SDRTHT_Tot_NPFH_2,C21_SDRTHT_Tot_NPFH_3,C21_SDRTHT_Tot_NPFH_4,C21_SDRTHT_Tot_NPFH_5,C21_SDRTHT_Tot_NPFH_6_mor,C21_SDRTHT_Tot_Tot,C21_F_a_0b_s_a_b_NPFH_2,C21_F_a_0b_s_a_b_NPFH_3,C21_F_a_0b_s_a_b_NPFH_4,C21_F_a_0b_s_a_b_NPFH_5,C21_F_a_0b_s_a_b_NPFH_6_mor,C21_F_a_0b_s_a_b_Total,C21_F_a_1b_NPFH_2,C21_F_a_1b_NPFH_3,C21_F_a_1b_NPFH_4,C21_F_a_1b_NPFH_5,C21_F_a_1b_NPFH_6_mor,C21_F_a_1b_Tot,C21_F_a_2b_NPFH_2,C21_F_a_2b_NPFH_3,C21_F_a_2b_NPFH_4,C21_F_a_2b_NPFH_5,C21_F_a_2b_NPFH_6_mor,C21_F_a_2b_Tot,C21_F_a_3b_NPFH_2,C21_F_a_3b_NPFH_3,C21_F_a_3b_NPFH_4,C21_F_a_3b_NPFH_5,C21_F_a_3b_NPFH_6_mor,C21_F_a_3b_Tot,C21_F_a_4mb_NPFH_2,C21_F_a_4mb_NPFH_3,C21_F_a_4mb_NPFH_4,C21_F_a_4mb_NPFH_5,C21_F_a_4mb_NPFH_6_mor,C21_F_a_4mb_Tot,C21_F_a_NB_NS_NPFH_2,C21_F_a_NB_NS_NPFH_3,C21_F_a_NB_NS_NPFH_4,C21_F_a_NB_NS_NPFH_5,C21_F_a_NB_NS_NPFH_6_mor,C21_F_a_NB_NS_Tot,C21_F_a_Tot_NPFH_2,C21_F_a_Tot_NPFH_3,C21_F_a_Tot_NPFH_4,C21_F_a_Tot_NPFH_5,C21_F_a_Tot_NPFH_6_mor,C21_F_a_Tot_Tot,C21_OD_0b_s_a_b_NPFH_2,C21_OD_0b_s_a_b_NPFH_3,C21_OD_0b_s_a_b_NPFH_4,C21_OD_0b_s_a_b_NPFH_5,C21_OD_0b_s_a_b_NPFH_6_mor,C21_OD_0b_s_a_b_Tot,C21_OD_1b_NPFH_2,C21_OD_1b_NPFH_3,C21_OD_1b_NPFH_4,C21_OD_1b_NPFH_5,C21_OD_1b_NPFH_6_mor,C21_OD_1b_Tot,C21_OD_2b_NPFH_2,C21_OD_2b_NPFH_3,C21_OD_2b_NPFH_4,C21_OD_2b_NPFH_5,C21_OD_2b_NPFH_6_mor,C21_OD_2b_Tot,C21_OD_3b_NPFH_2,C21_OD_3b_NPFH_3,C21_OD_3b_NPFH_4,C21_OD_3b_NPFH_5,C21_OD_3b_NPFH_6_mor,C21_OD_3b_Tot,C21_OD_4mb_NPFH_2,C21_OD_4mb_NPFH_3,C21_OD_4mb_NPFH_4,C21_OD_4mb_NPFH_5,C21_OD_4mb_NPFH_6_mor,C21_OD_4mb_Tot,C21_OD_NB_NS_NPFH_2,C21_OD_NB_NS_NPFH_3,C21_OD_NB_NS_NPFH_4,C21_OD_NB_NS_NPFH_5,C21_OD_NB_NS_NPFH_6_mor,C21_OD_NB_NS_Tot,C21_OD_Tot_NPFH_2,C21_OD_Tot_NPFH_3,C21_OD_Tot_NPFH_4,C21_OD_Tot_NPFH_5,C21_OD_Tot_NPFH_6_mor,C21_OD_Tot_Tot,C21_DS_NS_NPFH_2,C21_DS_NS_NPFH_3,C21_DS_NS_NPFH_4,C21_DS_NS_NPFH_5,C21_DS_NS_NPFH_6_mor,C21_DS_NS_Tot,C21_Tot_NPFH_2,C21_Tot_NPFH_3,C21_Tot_NPFH_4,C21_Tot_NPFH_5,C21_Tot_NPFH_6_mor,C21_Tot_Tot
LGA10800,64,1368,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,11,10,0,0,0,0,9,3,0,0,0,0,4,0,0,0,0,0,0,25,0,0,4,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,8,5,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,6,5,0,0,0,0,4,0,0,0,0,0,0,8,3,0,0,0,13,3,6,4,0,0,14,745,277,221,130,65,1436
LGA10850,97,1959,0,0,0,0,0,0,3,0,0,0,0,3,10,0,0,0,0,7,3,4,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,17,5,5,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,4,0,0,7,0,0,0,0,0,0,7,0,4,0,0,10,0,0,0,0,0,8,968,404,342,202,97,2011
LGA10900,723,20771,0,0,0,0,0,3,10,0,0,0,0,10,116,20,3,0,0,149,193,72,37,3,3,309,18,13,11,5,8,61,5,0,0,0,0,7,341,118,57,10,8,532,0,0,0,0,0,0,32,4,0,0,0,36,109,28,7,0,0,148,32,15,12,5,0,69,12,10,11,0,3,35,0,0,0,0,0,0,189,51,31,10,8,286,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,3,5,0,0,0,8,5,0,0,0,0,5,0,0,0,0,0,0,16,5,0,0,0,16,11,0,3,0,0,17,10399,4386,4308,1800,737,21637
LGA10950,35,602,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,8,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,3,9,296,121,110,62,38,624
LGA11150,35,493,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,9,0,0,0,16,214,118,85,56,35,513
LGA11200,22,257,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,140,48,43,21,30,282
LGA11250,134,4335,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,20,10,4,4,0,0,20,4,0,4,0,0,3,0,0,0,0,0,0,34,6,6,0,0,51,0,0,0,0,0,0,9,0,0,0,0,9,8,7,0,0,0,18,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,21,7,5,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,10,0,0,0,0,9,2368,921,731,279,134,4429
LGA11300,338,3863,0,0,0,0,0,0,8,3,0,0,6,17,177,100,66,8,3,348,181,166,178,53,17,594,157,143,163,83,81,616,6,3,5,0,0,16,527,421,405,139,96,1592,37,0,0,0,0,40,491,67,13,0,0,568,1140,870,493,107,20,2630,158,158,128,67,37,558,3,10,10,9,6,41,14,8,12,4,0,44,1848,1119,656,187,66,3879,6,0,0,0,0,3,8,3,0,0,0,14,0,0,0,0,0,4,6,0,0,0,0,15,0,0,0,0,0,3,0,0,0,0,0,0,27,9,0,5,0,38,23,5,0,0,0,33,3668,2384,2049,797,508,9402
LGA11350,315,7139,0,0,0,0,0,0,26,3,0,0,0,35,137,43,15,0,0,190,183,118,91,17,3,416,24,15,17,5,0,61,3,0,0,0,0,3,374,180,122,25,8,708,9,0,0,0,0,12,54,0,0,0,0,56,69,28,19,0,0,114,46,29,13,0,0,91,7,6,11,3,0,27,4,0,0,0,0,3,187,67,39,5,6,304,12,3,0,0,0,20,32,0,0,0,0,38,33,3,3,0,0,42,8,10,0,0,0,15,4,0,0,5,0,5,5,0,0,0,0,7,89,19,6,9,0,124,14,9,4,0,0,29,3754,1902,1645,662,329,8297
LGA11400,181,3475,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,12,7,0,0,0,0,7,3,0,8,0,3,16,0,0,0,0,0,0,15,0,6,0,3,32,0,0,0,0,0,0,4,0,0,0,0,4,8,0,0,0,0,8,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,15,0,0,0,0,0,0,3,0,0,0,0,6,7,0,0,0,0,7,22,6,5,0,0,36,30,13,16,13,4,78,0,0,0,0,0,0,66,22,27,15,4,132,6,0,0,0,0,8,1778,666,621,396,190,3654
LGA11450,1998,29888,0,0,0,0,0,0,41,8,0,0,0,45,164,27,9,3,0,206,222,145,82,15,6,470,133,148,151,77,49,560,8,0,4,0,0,10,564,326,244,93,58,1290,0,0,0,0,0,0,10,0,0,0,0,15,54,14,5,0,0,67,8,6,4,0,0,21,13,8,15,12,7,55,0,0,0,0,0,5,93,31,21,11,7,161,0,0,0,0,0,0,9,4,0,0,0,14,23,4,0,0,0,32,3,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,43,7,0,0,0,54,18,8,8,0,6,34,9511,7010,8633,4195,2070,31422
LGA11500,3242,37290,3,0,0,0,0,3,42,4,0,0,0,48,882,404,224,58,16,1581,1174,831,650,233,130,3025,102,150,222,135,113,716,35,14,5,6,5,70,2241,1400,1110,432,263,5446,3,0,0,0,0,9,64,7,4,0,0,74,794,297,119,18,4,1226,215,118,87,48,16,486,14,10,13,14,10,61,9,4,3,0,0,18,1098,435,229,83,31,1872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,9,4,5,0,26,14966,10783,10464,4884,3537,44638
LGA11520,479,10573,0,0,0,0,0,0,28,0,0,0,0,31,388,170,94,10,0,662,553,361,380,74,17,1384,85,83,149,57,15,389,6,5,3,0,0,14,1060,615,635,145,31,2490,13,0,0,0,0,13,1017,113,24,5,0,1152,3921,1782,770,105,18,6606,1480,792,637,164,43,3105,62,47,45,20,5,187,52,27,4,4,0,86,6543,2758,1486,297,62,11148,0,0,0,0,0,0,24,0,0,0,0,23,69,30,18,3,0,114,27,18,16,4,0,67,5,0,0,0,0,5,0,0,0,0,0,3,117,52,30,9,4,216,4,4,4,6,0,17,11244,5651,5196,1773,583,24450
LGA11570,6627,52929,4,0,4,0,0,7,168,10,0,0,0,177,1113,551,360,117,39,2179,1879,1519,1657,742,414,6213,939,1031,1484,998,785,5240,69,29,34,15,21,172,4175,3139,3536,1869,1261,13985,39,0,5,0,0,48,1056,198,64,7,0,1333,6541,4471,3123,1089,355,15577,644,725,753,444,254,2822,68,71,104,80,108,421,143,81,44,29,12,305,8479,5552,4087,1654,727,20496,0,0,0,0,0,0,8,3,0,0,0,19,87,51,30,8,6,185,19,24,25,14,9,93,10,12,7,0,4,37,3,0,0,0,0,9,132,86,73,19,17,335,53,28,22,21,9,136,28381,19858,20060,10933,8649,87885
LGA11600,25,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,5,4,0,0,11,312,127,126,73,25,656
LGA11650,3734,78751,0,0,0,0,0,0,94,12,0,0,0,106,1917,259,84,12,5,2272,2672,1067,595,191,46,4572,200,128,114,60,47,546,63,17,6,0,0,92,4950,1477,804,260,99,7588,12,0,0,0,0,11,184,13,0,0,0,194,2014,463,173,24,8,2672,1101,494,263,80,23,1962,119,52,61,39,15,291,35,12,4,4,3,56,3459,1035,498,143,54,5191,12,0,0,0,0,11,43,0,0,0,0,41,128,30,4,0,0,159,61,20,10,7,0,95,5,10,13,3,0,33,9,0,0,0,0,10,251,59,30,15,4,353,58,25,17,8,9,117,41981,19184,18913,8031,3896,92003
LGA11700,33,298,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,15,7,0,4,0,28,172,61,49,24,33,337
LGA11720,834,15607,0,0,0,0,0,0,17,0,0,0,0,20,237,43,14,4,0,296,194,112,49,25,6,390,8,10,11,0,5,36,10,0,0,0,0,6,462,170,80,30,13,752,0,0,0,0,0,0,7,0,0,0,0,9,41,9,0,0,0,48,10,13,3,0,0,24,4,0,5,0,4,14,0,0,0,0,0,0,65,16,6,3,4,97,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,14,14,8,9,4,3,27,7120,3628,3326,1568,847,16496
LGA11730,562,13035,0,0,0,0,0,0,8,3,0,0,0,12,180,41,16,0,0,235,160,61,25,7,4,263,10,3,14,7,8,44,4,0,0,0,0,7,364,113,57,14,11,562,0,0,0,0,0,0,15,3,0,0,0,18,119,23,12,0,0,146,68,22,19,5,0,112,14,5,0,3,3,22,0,0,0,0,0,0,211,48,30,14,3,297,12,0,0,0,0,17,51,0,0,0,0,52,49,8,3,0,0,58,34,14,12,5,4,66,23,7,11,9,0,49,5,0,0,0,0,8,176,31,25,8,5,247,23,3,8,0,3,42,7846,2610,2149,1001,585,14188
