LGA_CODE_2021,C21_OTT_DS_F_a,C21_OTT_DS_OD,C21_OTT_DS_NS,C21_OTT_Tot,C21_TT_NS_DS_Sep_house,C21_TT_NS_DS_SemiDRTHT,C21_TT_NS_DS_F_a,C21_TT_NS_DS_OD,C21_TT_NS_DS_NS,C21_TT_NS_Tot,C21_Tot_DS_Sep_house,C21_Tot_DS_SemiDRTHT,C21_Tot_DS_F_a,C21_Tot_DS_OD,C21_Tot_DS_NS,C21_Tot_Tot
LGA11600,0,3,6,114,131,0,10,13,0,158,1046,0,27,54,21,1155
LGA11650,544,34,15,3399,4670,1290,994,187,45,7178,107480,16745,12438,1200,313,138174
LGA11700,3,4,25,74,135,5,9,11,8,170,630,30,13,45,102,822
LGA11720,9,4,0,322,931,162,36,22,7,1160,21311,1861,335,87,60,23659
LGA11730,33,19,14,381,1144,150,106,137,17,1545,19147,1506,1070,998,137,22849
LGA11750,6,0,0,61,234,11,20,17,0,293,1524,67,105,60,15,1779
LGA11800,78,25,7,624,1123,287,297,165,21,1885,23607,3783,3379,926,176,31859
LGA12000,0,3,0,66,108,3,0,0,0,111,1689,24,13,12,6,1748
LGA12150,7,0,0,75,223,4,12,27,0,261,1429,28,57,29,15,1560
LGA12160,3,5,0,176,328,27,8,24,6,385,4460,238,100,62,14,4876
LGA12350,3,0,0,133,382,20,20,18,0,442,5028,308,109,52,19,5509
LGA12380,358,6,4,1161,2993,903,2245,31,46,6217,39614,11504,25021,208,276,76629
LGA12390,59,7,5,474,1373,205,184,44,40,1851,17750,1681,1344,178,117,21070
LGA12700,0,4,0,91,186,0,0,4,0,195,3654,54,8,47,21,3788
LGA12730,0,3,0,104,283,63,4,21,18,392,3269,335,22,36,43,3707
LGA12750,30,9,5,446,999,139,86,112,8,1342,15101,1513,1093,515,78,18305
LGA12850,150,6,8,973,2587,516,898,60,39,4102,45944,8000,9725,224,217,64125
LGA12870,0,0,0,147,351,47,0,11,0,413,4929,586,30,70,23,5626
LGA12900,7,3,0,127,281,18,41,18,5,358,3456,181,198,69,17,3915
LGA12930,335,11,5,846,866,285,1143,39,16,2341,27702,6211,19944,352,98,54316
LGA12950,0,0,0,104,176,6,13,36,10,236,1627,42,63,60,11,1802
LGA13010,0,3,0,110,348,29,7,15,5,399,3664,189,85,63,15,4015
LGA13310,3,3,3,232,673,88,37,25,11,839,11185,1120,401,132,34,12865
LGA13340,0,0,4,154,384,14,0,3,0,401,4160,86,4,16,16,4284
LGA13450,24,6,8,273,632,55,108,46,10,852,8334,475,1030,154,44,10042
LGA13550,0,3,0,163,364,77,16,35,0,491,4570,437,100,69,13,5185
LGA13660,0,0,4,134,165,0,8,18,6,196,1973,28,11,52,31,2093
LGA13800,47,5,10,429,825,138,64,76,4,1109,20724,2327,717,210,70,24048
LGA13850,0,0,0,61,134,14,3,0,3,161,1154,92,12,11,16,1291
LGA13910,4,4,6,291,577,69,10,11,9,670,7243,506,144,77,38,8010
LGA14000,482,0,5,1333,699,149,528,9,11,1401,36475,4401,11767,142,71,52852
LGA14100,57,0,3,109,87,23,54,3,3,172,2972,756,1086,9,10,4839
LGA14170,495,10,7,984,567,629,1710,124,22,3057,21840,20674,33076,1200,173,76964
LGA14220,5,3,0,199,621,88,9,41,3,759,6576,534,68,105,47,7326
LGA14300,0,0,0,51,123,6,29,6,0,165,2081,42,90,20,5,2241
LGA14350,7,25,0,201,774,30,90,90,6,1000,10972,316,793,366,53,12510
LGA14400,133,0,0,292,230,73,54,11,10,374,6852,1294,807,86,25,9064
LGA14500,452,0,9,863,514,39,368,15,0,934,29141,1660,11695,138,43,42683
LGA14550,6,6,0,153,333,0,9,19,4,370,3889,11,106,97,23,4125
LGA14600,0,0,3,120,244,24,16,11,0,292,2323,69,74,28,21,2514
LGA14650,222,10,11,1729,2255,483,290,85,23,3138,70738,8205,3837,522,133,83435
LGA14700,150,0,5,241,91,29,406,0,3,523,5929,830,9141,15,19,15930
LGA14750,3,0,8,83,314,18,38,19,0,401,3746,134,366,74,28,4347
LGA14850,9,8,8,373,985,154,90,62,17,1313,15237,1843,912,336,63,18390
LGA14870,6,0,0,196,521,77,16,10,4,630,7977,695,154,77,37,8946
LGA14900,218,6,9,979,2842,569,1422,13,18,4861,52836,7584,12566,52,233,73273
LGA14920,0,5,0,128,348,39,3,14,3,413,3044,99,41,31,11,3222
LGA14950,0,0,0,48,91,0,0,0,8,103,1237,10,16,5,21,1293
LGA15050,14,5,4,684,909,200,75,21,4,1203,29276,3300,811,227,58,33667
LGA15240,198,19,16,1275,2155,253,277,173,53,2909,34771,3720,3070,892,183,42636
LGA15270,0,4,6,228,691,67,7,101,4,873,9506,678,92,195,30,10502
LGA15300,3,13,9,261,889,151,43,29,13,1127,4310,600,118,164,97,5288
LGA15350,147,0,0,212,78,43,239,16,14,386,4114,1428,6236,114,33,11921
LGA15520,3,3,4,226,358,38,3,14,8,428,4653,448,38,116,48,5304
LGA15560,0,0,3,114,141,3,9,11,0,163,1332,25,56,24,8,1446
LGA15650,0,0,4,172,311,92,9,4,0,415,5626,704,65,59,38,6498
LGA15700,6,13,4,162,526,73,60,108,3,770,7619,580,454,372,77,9103
LGA15750,0,8,6,219,492,68,9,21,0,592,4611,467,38,112,22,5243
LGA15800,0,0,0,73,200,6,11,0,3,226,2199,52,62,26,15,2353
LGA15850,0,0,0,70,268,18,7,4,4,306,2321,100,51,31,15,2523
LGA15900,135,5,6,1048,1363,610,850,51,23,2901,46814,11248,10297,305,154,68811
LGA15950,397,0,6,512,102,120,1038,5,8,1270,3703,4250,25672,84,87,33794
LGA15990,1016,10,8,2320,1375,399,1381,65,17,3233,55334,8623,32767,459,191,97369
LGA16100,0,0,0,67,248,17,3,8,0,276,2192,98,33,18,7,2350
LGA16150,29,3,9,254,688,160,95,12,12,969,14662,1733,658,71,61,17181
LGA16200,35,5,0,164,375,19,55,10,3,463,5219,205,340,65,52,5889
LGA16260,936,21,14,1591,1239,608,2792,25,26,4693,36867,12751,46139,228,257,96232
LGA16350,117,4,3,904,2800,783,757,17,12,4373,59806,9628,7432,198,123,77183
LGA16380,182,13,11,980,1198,436,231,141,32,2036,27395,4904,3613,567,149,36631
LGA16400,36,9,9,612,1042,264,62,123,8,1507,24390,4155,1135,614,110,30415
LGA16490,32,5,9,275,782,195,203,24,13,1213,17849,3444,2857,101,57,24311
LGA16550,598,12,0,901,423,365,1792,34,22,2637,14129,8920,30214,478,87,53835
LGA16610,0,9,0,186,710,105,65,47,0,930,8101,921,380,367,47,9820
LGA16700,521,0,3,908,561,292,1061,22,16,1953,20472,7203,22872,138,112,50800
LGA16900,71,10,5,380,821,211,102,65,8,1199,22630,4099,1381,372,45,28517
LGA16950,38,27,32,1063,2034,313,100,206,84,2737,39765,3761,972,1103,302,45896
LGA17000,8,3,3,145,410,66,31,37,0,529,7892,679,265,143,19,8998
LGA17040,24,10,15,307,529,28,72,26,28,680,7791,482,839,129,167,9417
LGA17080,0,5,14,164,402,33,18,24,8,491,5604,404,77,83,52,6228
LGA17100,171,6,0,296,206,34,662,5,18,920,5537,861,9947,97,84,16521
LGA17150,755,3,5,1330,1104,514,1024,43,22,2706,51517,11967,21610,332,123,85555
LGA17200,1090,17,12,1381,107,887,5823,114,92,7021,2188,18809,82612,654,524,104787
LGA17310,8,11,24,564,1407,279,66,98,25,1876,22047,2422,487,257,133,25341
LGA17350,0,0,4,75,117,16,0,3,4,137,2305,159,13,42,12,2527
LGA17400,5,10,5,128,290,10,21,13,0,337,3007,35,84,85,19,3233
LGA17420,285,0,0,989,1089,160,284,0,6,1545,49368,5425,6094,16,121,61028
LGA17550,279,31,15,939,1539,437,469,305,15,2762,26302,7507,5378,1322,174,40683
LGA17620,6,0,8,318,336,31,0,11,0,386,5324,424,42,80,21,5899
LGA17640,0,3,3,152,282,10,3,3,3,296,3457,69,18,32,18,3595
LGA17650,0,0,0,103,153,3,0,13,0,173,2324,59,19,37,4,2450
LGA17750,71,5,8,569,1018,134,206,36,36,1431,22125,1322,2472,156,82,26149
LGA17850,0,0,0,101,113,0,0,5,4,120,1238,3,47,12,5,1310
LGA17900,4,42,14,176,480,28,12,72,5,602,1758,96,37,406,120,2421
LGA17950,0,0,0,77,97,0,3,0,6,97,949,49,17,6,14,1037
LGA18020,7,3,7,155,536,11,11,17,0,584,3743,57,74,75,39,3990
LGA18050,316,8,0,448,167,191,1295,66,10,1722,4537,5129,18814,501,65,29041
LGA18100,3,0,0,64,102,5,5,0,0,118,1497,44,53,8,3,1611
LGA18200,0,0,0,91,322,33,20,52,10,438,2650,136,48,101,23,2952
LGA18250,368,3,0,612,244,61,559,6,7,883,12565,2203,13571,85,47,28465
LGA18350,26,3,0,499,820,70,34,28,3,956,19253,1344,497,185,40,21320
LGA18400,11,4,3,479,733,42,5,14,3,796,17026,646,172,120,43,18010
LGA18450,487,16,9,1334,1925,634,1060,61,31,3710,56782,10376,15889,639,183,83868
LGA18500,428,3,10,587,179,141,637,20,24,992,5051,4741,12822,209,67,22894
LGA18710,7,3,5,166,266,17,17,5,14,320,5894,219,98,27,46,6277
LGA19399,0,3,4,38,37,6,0,7,3,58,342,32,10,29,54,467
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
