CED_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
CED111,6,7,14,103,72,80,240,139,74,733,0,3,6,16,21,70,155,173,125,563,0,12,23,66,23,43,18,7,0,185,24,78,343,1185,142,93,62,55,14,1985,0,17,40,98,50,25,28,9,5,258,0,9,22,166,28,36,17,5,3,287,4,55,64,127,46,50,25,10,0,380,0,26,27,95,85,54,52,38,20,407,0,9,18,84,67,240,513,544,446,1923,3,9,23,75,36,16,18,5,0,191,0,16,26,142,41,36,9,0,4,267,3,16,11,82,87,106,73,39,13,419,7,18,49,98,45,49,32,19,0,315,0,0,0,11,10,34,60,59,32,205,0,0,0,4,4,7,5,5,0,34,0,11,15,113,34,18,17,11,3,227,0,0,54,238,10,6,0,0,0,304,5,10,10,46,39,49,160,165,65,551,6,74,151,526,350,350,219,100,37,1811,6,4,16,143,249,478,649,459,146,2137
CED112,0,5,14,57,37,60,122,134,42,459,0,0,3,6,10,19,50,48,19,153,0,0,13,35,16,32,26,6,3,136,8,74,85,692,137,78,47,43,10,1170,0,9,20,95,51,27,27,16,3,246,0,6,4,35,11,17,5,10,0,87,0,0,0,6,11,6,0,3,0,25,0,41,13,91,70,73,113,97,20,531,0,3,3,27,22,64,143,111,57,425,5,14,13,34,35,12,14,9,0,123,0,16,24,128,68,52,40,13,4,340,0,0,5,15,28,45,20,14,3,123,0,0,22,63,38,50,45,13,0,233,0,0,4,9,12,37,139,112,22,333,0,0,0,15,12,16,30,8,13,87,0,0,0,3,4,3,0,0,0,18,0,5,27,162,12,0,0,0,0,197,0,3,3,22,24,50,115,111,53,388,14,83,135,629,581,548,405,173,43,2608,0,0,0,5,4,10,8,4,0,23
CED113,0,3,11,90,89,148,277,201,76,898,0,3,0,8,10,33,38,56,31,177,0,13,6,27,22,19,19,6,0,104,23,91,107,1187,114,78,44,20,14,1685,0,8,15,60,25,17,22,3,0,162,0,4,6,45,22,14,7,0,0,91,0,0,3,6,9,0,3,0,0,25,0,17,7,71,31,48,47,35,8,277,0,3,3,45,39,90,146,148,93,576,0,6,7,29,18,8,8,0,0,80,0,6,4,71,23,11,4,6,0,124,0,0,0,15,12,21,12,6,0,72,0,10,7,81,62,60,22,10,7,262,0,0,0,0,3,23,51,46,12,136,0,0,4,13,5,0,10,0,0,30,0,0,0,13,0,11,3,0,0,33,3,14,59,528,3,0,5,0,0,616,0,3,9,40,50,56,179,119,38,498,4,41,126,484,425,462,351,121,18,2039,0,5,13,114,94,140,138,60,21,586
CED114,3,5,15,47,27,70,185,123,41,510,0,0,0,7,6,10,17,28,13,83,0,5,3,30,11,9,4,0,0,69,37,146,225,2236,383,274,123,29,14,3463,0,6,12,69,28,9,8,0,0,130,0,0,0,18,3,11,0,0,0,39,0,0,0,14,8,4,0,0,0,28,0,3,11,70,18,24,22,22,8,166,0,6,8,71,25,110,378,401,269,1270,0,11,5,26,11,0,0,0,0,47,0,4,13,90,3,3,0,0,0,113,0,0,0,7,14,4,11,0,0,38,7,27,66,363,81,47,5,4,0,608,0,0,0,4,3,5,25,22,0,63,0,0,5,17,5,5,3,0,0,31,0,0,0,18,3,0,0,0,0,23,0,51,119,217,19,10,0,0,0,415,0,0,0,27,30,44,167,126,32,430,14,119,153,520,258,314,245,97,15,1740,0,0,0,0,0,0,0,3,0,10
CED115,0,8,17,47,28,13,108,110,51,378,0,8,35,40,20,62,106,148,44,469,0,4,12,182,50,51,68,10,8,383,23,147,243,1330,286,157,132,54,13,2376,0,18,32,221,89,59,64,27,7,518,0,36,71,357,134,169,101,75,27,974,23,1274,1891,5160,2504,2098,1254,608,212,15022,0,0,6,20,15,12,29,18,3,102,4,7,14,50,80,273,579,707,479,2198,4,5,8,32,16,5,8,0,4,75,0,7,12,78,27,14,7,8,0,155,44,102,90,535,463,429,298,91,38,2084,5,29,74,355,98,87,80,21,7,754,0,0,0,8,6,80,183,118,43,431,0,0,16,51,14,39,48,13,6,183,0,3,22,120,50,40,26,4,6,261,4,7,119,380,22,11,7,0,0,557,0,3,4,0,0,3,29,14,8,75,19,201,436,844,218,162,95,30,4,2006,0,6,19,158,108,189,237,104,29,847
CED116,0,3,11,65,53,138,299,233,83,890,0,0,0,7,7,26,68,88,31,234,0,16,7,15,12,20,17,4,0,94,11,70,35,399,54,50,49,29,9,706,0,10,3,56,15,13,23,15,8,138,0,0,0,35,3,3,0,10,3,64,0,0,0,17,3,10,5,0,0,30,0,15,9,52,47,77,88,65,13,354,0,6,3,22,25,84,176,124,42,482,0,10,6,32,16,12,17,4,0,98,0,5,8,70,10,7,6,0,0,103,0,0,4,15,6,14,15,4,0,61,0,0,6,38,29,50,21,5,6,150,0,0,0,7,9,44,121,74,33,289,0,0,0,7,3,15,21,17,3,74,0,0,0,4,0,0,4,0,0,14,0,0,14,164,5,8,0,0,0,197,0,0,11,21,28,56,240,173,56,584,4,44,85,366,385,448,494,225,38,2091,0,0,0,4,8,18,35,21,0,88
CED117,0,21,22,263,142,90,94,71,16,727,0,0,15,58,72,152,307,768,385,1770,10,37,66,359,112,98,86,14,14,801,15,87,79,991,142,98,63,48,10,1531,3,6,51,337,107,55,77,23,3,664,0,4,16,184,27,34,17,6,0,282,0,4,4,36,9,17,10,0,0,86,0,20,27,572,275,159,80,37,21,1185,3,17,31,397,146,239,448,578,468,2320,4,20,33,236,135,77,19,13,4,530,0,15,42,315,114,55,34,41,53,665,0,3,3,89,88,135,160,160,68,698,0,10,56,408,167,92,106,37,10,895,0,0,0,4,8,25,59,58,34,197,0,0,4,40,9,23,9,8,4,111,0,0,7,35,22,15,15,7,0,100,0,20,567,985,35,16,10,3,0,1645,0,14,22,97,53,29,43,27,7,297,6,40,148,1204,779,618,359,93,19,3269,0,0,7,46,25,29,43,27,15,191
CED118,0,12,26,69,54,50,97,76,33,411,0,9,4,20,15,57,106,109,34,357,5,28,57,242,121,207,122,19,3,807,271,2662,2903,19292,3768,1692,1116,362,82,32161,0,23,75,420,255,129,112,45,10,1071,3,58,108,775,242,225,102,37,11,1564,0,17,35,140,82,62,25,15,6,378,0,22,28,143,49,54,44,39,5,393,0,10,6,66,45,113,206,184,85,703,5,12,16,37,23,9,8,5,3,120,0,42,121,503,357,227,134,57,12,1468,0,18,23,224,198,242,198,76,14,997,3,66,93,363,189,181,208,65,11,1195,0,0,0,20,36,147,423,323,89,1039,0,5,12,81,51,77,73,34,14,350,0,10,24,160,127,75,67,31,4,499,4,60,253,1593,197,73,36,8,0,2219,0,7,0,30,17,31,64,54,30,227,40,316,636,1164,582,390,206,50,8,3396,0,0,0,15,17,10,23,7,3,76
CED119,0,16,8,96,82,69,122,114,43,553,0,8,15,43,59,127,189,170,58,663,0,11,16,140,48,123,113,10,5,479,4,91,114,760,402,351,163,84,36,2005,0,16,30,225,77,82,76,21,12,542,0,7,9,77,14,15,7,0,0,127,0,11,4,90,22,25,13,4,0,169,3,31,22,205,127,91,45,34,16,570,0,9,4,78,55,126,194,136,105,710,0,6,15,66,58,24,5,0,0,186,0,9,10,97,44,27,18,5,0,221,10,7,8,187,163,208,157,60,15,809,0,15,29,107,73,113,96,20,11,468,0,0,0,5,14,30,79,74,24,223,0,0,0,22,28,68,56,23,17,211,0,0,0,21,5,11,13,0,0,51,0,6,44,239,37,5,3,0,0,343,0,3,6,41,26,36,56,54,36,269,14,71,156,583,471,396,186,88,16,1972,0,0,0,82,85,146,151,57,13,530
CED120,0,7,7,80,51,82,206,112,37,581,0,0,6,12,15,49,67,44,18,216,0,12,4,23,24,18,11,4,0,98,4,61,55,511,98,69,59,27,11,895,0,3,8,57,32,24,19,9,4,159,0,5,3,52,23,10,13,6,0,108,0,10,32,112,50,30,26,4,0,267,4,16,14,133,72,89,69,46,9,456,0,4,6,31,49,132,211,137,71,642,0,0,5,15,11,8,7,0,0,44,0,0,16,59,14,6,5,0,0,109,0,4,6,70,97,81,49,16,4,331,0,0,13,46,29,42,33,16,0,179,0,0,6,25,22,88,212,107,15,473,0,0,3,27,17,39,27,10,3,127,0,0,0,14,4,12,5,0,0,38,0,5,27,186,12,5,0,0,0,231,0,0,4,34,21,56,153,81,27,375,9,55,123,492,409,362,289,109,13,1866,0,0,0,19,16,32,20,5,0,89
CED121,5,5,8,31,40,59,188,143,44,516,0,0,0,6,3,7,26,15,6,64,0,12,4,36,10,25,16,4,0,114,0,52,62,465,78,42,47,32,19,798,0,4,6,43,19,7,16,7,0,101,0,0,5,32,6,7,6,0,0,65,0,3,3,19,8,0,5,0,0,36,0,20,16,84,35,37,54,29,7,287,0,3,5,16,14,34,65,44,29,210,0,0,4,22,12,3,6,7,4,55,0,4,6,79,17,9,10,5,0,123,0,0,0,11,27,17,11,7,0,72,0,8,12,62,32,38,27,12,3,192,0,0,0,3,0,13,50,30,7,107,0,0,5,8,9,14,10,9,6,52,0,0,0,7,3,6,0,0,0,29,0,4,20,135,5,6,0,0,0,172,0,6,0,24,23,56,152,103,33,401,7,94,143,588,458,514,358,205,50,2436,0,0,0,7,3,3,6,4,3,37
CED122,8,26,62,363,146,69,76,91,39,871,0,8,22,77,74,181,453,854,470,2138,10,55,287,581,233,349,267,69,25,1880,20,95,382,1438,227,154,138,109,39,2602,12,64,967,2336,662,495,387,154,34,5119,0,9,21,354,60,65,31,8,3,557,0,24,36,164,127,126,78,27,10,590,16,30,175,3516,340,177,93,61,22,4426,0,16,42,512,125,121,246,262,161,1481,0,27,44,280,139,85,24,18,0,615,3,16,72,342,126,75,28,17,6,685,3,8,3,102,82,128,111,79,34,558,3,20,331,753,240,294,352,134,29,2149,0,0,3,6,10,38,136,133,55,379,0,0,8,73,21,45,33,17,0,193,0,0,36,49,11,11,12,5,0,130,3,7,100,200,11,0,0,0,0,323,3,14,14,125,47,35,32,27,13,308,21,78,276,1271,662,566,337,112,35,3359,0,0,6,41,17,17,28,12,6,132
