CED_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
CED111,5,24,78,147,68,71,46,20,6,459,0,4,4,17,19,36,34,17,3,134,0,4,4,25,10,9,8,0,0,56,19,161,208,745,383,387,400,310,185,2799,132,353,478,880,334,332,328,297,182,3329,4240,9101,11091,20946,10403,10070,8121,5338,2798,82109,0,3,9,15,8,6,3,0,0,40,8295,16613,18797,30528,14993,13498,9390,5234,2331,119693,0,5,32,140,0,4,3,0,0,193,0,0,0,79,30,65,37,31,11,259,0,11,12,113,25,9,5,0,0,181,0,4,6,12,6,8,0,0,0,26,10,34,36,202,88,52,29,9,0,457,0,0,12,55,96,62,86,66,14,388,5,56,220,864,207,197,106,44,24,1723,0,0,0,90,74,127,132,148,57,641,7,15,9,24,14,16,32,13,16,143,10,205,269,851,849,1282,1085,819,296,5662,0,0,9,64,31,32,26,16,7,186,0,3,13,63,26,29,20,12,8,182
CED112,0,7,10,61,23,12,9,0,0,125,0,6,0,23,18,16,20,23,4,115,0,4,9,35,16,13,3,7,0,87,4,32,47,299,203,205,237,174,66,1263,202,470,430,956,469,436,492,474,385,4321,4765,10279,9341,20043,10622,10472,9392,6007,3055,83974,0,0,0,11,0,0,0,0,0,14,9290,19542,17175,31204,15912,14965,12712,7255,3246,131304,0,4,0,51,3,5,0,0,0,63,0,0,0,6,3,4,3,3,0,28,0,4,4,96,17,6,3,4,0,131,0,3,0,20,8,3,3,0,0,40,0,17,17,100,35,41,26,13,0,246,0,0,5,16,34,33,36,30,0,155,0,18,26,191,125,157,134,36,7,696,0,0,0,8,20,31,36,29,9,136,0,6,4,19,11,26,41,34,18,159,17,151,244,845,845,1291,1295,1054,407,6144,0,4,14,83,47,43,26,6,0,223,0,0,5,42,23,29,15,12,5,125
CED113,0,4,5,36,25,10,3,4,0,87,0,0,0,6,9,22,15,12,4,66,0,6,6,25,14,19,12,0,0,77,6,28,42,365,189,228,240,154,80,1339,220,488,432,1175,645,759,671,416,227,5025,4422,9391,7747,19485,11208,11771,9670,4968,2059,80724,0,0,3,9,4,0,0,0,0,19,8282,17928,14295,29315,17386,17843,14084,6541,2225,127896,0,13,11,154,12,3,4,0,0,194,0,0,0,17,4,13,7,6,3,53,0,0,4,61,16,4,4,4,0,88,0,0,0,15,7,0,6,6,0,30,4,18,21,100,66,57,64,18,3,348,0,0,0,25,22,18,20,14,0,106,3,13,22,193,87,55,33,14,4,412,0,0,6,12,15,64,74,79,19,274,0,12,0,38,11,7,16,8,0,92,15,101,146,546,712,1283,1350,816,233,5198,3,0,22,109,50,24,29,5,0,239,0,10,15,54,25,38,23,12,4,179
CED114,0,5,11,42,16,10,5,0,0,79,0,0,5,8,9,7,15,8,3,49,0,6,9,26,17,13,4,0,0,68,6,60,84,405,174,163,109,111,32,1151,330,778,680,1547,802,963,850,671,302,6921,4999,10636,9414,20219,10668,11837,10314,6419,2840,87339,0,10,14,17,18,8,0,0,0,69,9414,19282,16461,29500,16737,18689,16393,9025,3449,138948,0,7,0,71,18,0,3,0,0,103,0,0,0,0,0,4,7,3,0,11,0,4,0,28,3,3,0,0,0,40,0,3,3,11,5,0,0,0,0,20,3,5,8,37,26,31,13,5,0,123,0,3,3,24,5,11,8,0,0,54,4,15,19,173,98,53,28,7,4,398,0,0,0,0,6,12,18,22,5,68,0,3,0,20,0,3,6,9,0,47,4,39,94,275,304,631,648,528,156,2675,5,20,40,124,78,62,28,8,0,364,0,0,5,32,10,8,9,5,0,69
CED115,39,321,923,4595,3629,3023,1861,605,333,15328,0,0,0,4,0,0,6,0,0,16,0,0,12,29,8,5,0,0,0,61,47,329,440,1617,1029,1158,1109,585,247,6557,320,686,664,1650,629,561,428,233,120,5289,4692,10234,11729,23897,11419,11205,8327,4171,2157,87839,9,14,47,189,33,22,9,0,0,326,8712,16111,15383,15503,4207,3920,2362,1112,482,67784,6,17,22,379,41,33,21,4,0,514,0,6,19,281,168,287,188,89,31,1071,0,0,5,26,3,11,10,0,0,50,12,86,278,1496,1190,1297,850,352,146,5708,0,9,9,28,9,10,8,0,0,68,0,3,20,141,190,210,267,157,36,1036,8,50,118,833,509,769,551,295,328,3464,0,0,5,260,206,359,507,386,178,1893,9,37,41,158,49,78,87,70,29,554,4,30,18,78,86,197,183,114,57,771,5,51,82,653,294,351,184,81,27,1723,0,0,6,23,16,11,10,7,4,74
CED116,0,3,5,46,30,3,10,0,0,99,0,0,0,10,14,23,38,35,16,135,0,0,4,11,5,12,7,3,0,40,6,31,37,210,153,213,270,198,66,1191,211,533,453,1085,597,781,772,588,303,5319,3797,8660,7180,16224,9742,13064,13508,7629,3249,83053,0,0,0,3,0,0,0,0,0,4,7373,16082,13468,26237,15106,19214,19478,9955,3694,130609,0,3,0,28,4,4,0,0,0,42,0,0,0,4,4,8,3,5,0,23,0,0,0,53,8,11,6,3,0,76,0,0,3,14,4,0,4,0,0,26,4,14,11,101,50,59,54,25,0,311,0,0,0,28,20,26,38,15,8,133,0,17,23,120,87,68,54,19,11,404,0,0,0,11,15,42,102,92,33,290,0,0,0,10,4,18,37,17,3,100,13,102,132,532,703,1692,2123,1666,532,7499,0,3,4,36,20,25,17,11,4,123,4,4,5,27,13,38,23,19,8,141
CED117,5,25,95,428,219,226,181,43,35,1246,0,0,0,33,15,19,13,9,0,91,0,0,6,8,17,11,5,3,0,50,17,65,121,1292,482,420,464,335,144,3344,122,195,345,1169,367,266,240,159,123,2989,3758,7196,7651,28129,11119,8206,6183,3361,1612,77216,0,0,0,17,3,7,0,0,0,26,7224,12920,11739,33090,13025,8940,5699,2136,696,95463,0,13,20,143,27,13,5,0,0,226,0,0,0,43,11,26,15,4,3,105,6,12,43,425,43,33,12,0,0,580,0,4,3,32,15,14,20,10,0,85,5,28,25,289,128,68,45,12,0,596,0,3,3,124,68,30,39,22,8,306,7,76,237,1463,449,682,396,172,101,3583,4,0,0,25,35,42,38,46,19,214,0,0,4,38,13,28,58,39,20,207,46,328,331,2571,1717,1217,778,326,87,7404,0,0,9,129,75,66,68,23,8,379,5,8,31,316,69,48,30,11,0,516
CED118,0,11,16,156,70,51,39,8,0,357,0,0,0,12,4,5,7,0,0,30,0,11,28,60,28,15,0,0,0,145,23,267,319,1163,538,482,350,207,75,3438,245,512,462,1379,425,330,266,182,87,3887,7133,14846,11728,33687,12170,9269,6909,3205,1214,100159,0,23,65,575,187,186,105,31,3,1169,13519,23836,16145,23156,10191,6796,4611,2159,744,101159,0,71,85,699,228,169,73,10,0,1347,0,4,3,58,36,68,40,12,8,233,0,6,5,96,14,21,3,0,0,149,0,0,3,21,17,13,8,4,0,67,10,17,32,78,33,12,15,4,0,202,0,8,7,66,80,53,65,36,7,319,19,98,184,1909,651,821,521,199,56,4459,0,0,3,49,52,92,111,87,31,426,0,71,86,271,80,115,149,89,21,879,15,171,176,593,479,540,465,314,102,2854,4,41,122,858,528,489,295,129,25,2487,0,7,3,37,14,25,15,10,4,115
CED119,5,10,27,191,139,82,45,9,4,508,0,0,3,19,17,16,17,10,0,82,0,0,4,23,7,7,0,0,0,53,14,77,105,723,412,374,263,193,64,2225,90,179,157,480,200,150,194,195,138,1786,4583,10168,8713,19467,10865,9197,7110,4182,1965,76248,0,0,0,3,0,0,0,0,0,9,8955,19390,16511,27445,14854,11614,8901,4895,1978,114535,0,4,16,143,76,61,19,6,0,325,0,0,0,46,25,43,13,7,6,142,3,8,8,194,37,22,6,4,0,289,0,0,6,31,15,15,3,9,0,84,4,19,11,109,58,38,21,11,0,272,0,3,7,62,62,54,44,33,4,268,0,56,60,828,327,422,287,98,38,2114,0,0,0,28,26,61,50,63,16,236,0,57,67,270,158,199,157,81,20,1008,16,210,216,988,887,972,725,621,219,4851,0,21,19,238,166,141,104,43,8,737,3,11,5,78,33,24,13,9,0,179
CED120,0,5,5,59,35,16,15,0,0,135,0,0,0,13,19,19,16,6,5,86,0,0,11,41,15,17,8,0,0,97,4,31,62,389,268,256,241,124,47,1426,186,475,383,986,458,498,491,362,243,4088,5721,11682,9891,22172,11358,10609,8722,4576,1927,86665,0,0,0,43,13,3,6,0,0,65,11397,22567,18677,35861,17800,15529,11823,5901,2052,141604,0,9,15,78,21,7,7,0,0,141,0,0,0,43,15,15,10,0,0,90,0,3,0,61,3,4,0,0,0,71,0,0,0,49,20,4,10,3,0,97,4,12,15,55,46,26,17,12,0,196,0,0,6,59,51,78,45,20,0,265,3,21,39,225,121,99,56,24,0,590,0,0,0,32,16,86,87,43,14,280,0,3,9,37,19,24,39,28,0,166,4,84,115,595,798,1285,1304,888,250,5319,0,6,21,186,105,40,30,10,0,407,0,0,10,19,26,14,25,8,0,104
CED121,0,4,10,78,23,0,0,0,0,117,0,0,3,14,8,16,12,16,7,78,0,0,9,40,10,14,8,0,0,86,0,23,45,207,126,129,132,112,40,818,192,425,410,941,447,463,498,389,223,3997,5127,10951,9659,21554,10845,10935,9803,5792,2715,87384,0,3,3,11,0,0,0,0,0,22,10085,21071,18535,36815,18013,17762,15105,8278,3396,149063,0,5,5,66,5,0,0,0,0,88,0,0,0,13,3,9,7,0,0,39,0,0,5,25,4,3,4,0,0,38,0,0,0,26,12,12,9,6,0,64,3,8,11,60,36,26,33,11,3,188,0,0,0,16,5,9,7,6,0,53,0,10,25,166,89,49,35,23,4,403,0,0,5,3,7,10,27,15,6,77,0,0,3,14,0,11,23,5,4,64,7,65,98,430,518,883,937,737,229,3912,0,0,8,66,44,32,29,11,0,190,0,0,3,20,11,15,10,11,5,76
