CED_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
CED115,174,1286,346,429,84,2995,722,186,2414,1080,1408,213,6025,21,7,120,68,102,17,333,70,19,216,247,714,49,1318,119,17,461,328,585,363,1887,3157,736,12119,6283,9860,1606,33760
CED116,635,2073,615,906,84,5195,932,493,2766,1602,2765,254,8813,45,26,189,77,264,17,617,59,21,175,311,1271,36,1880,71,21,239,185,754,223,1488,3389,1858,10452,7360,20999,1612,45669
CED117,705,3296,529,397,61,8214,2680,629,4213,1044,773,156,9496,421,91,1036,251,224,32,2053,349,90,751,312,540,41,2077,420,87,1127,319,330,233,2522,15571,3896,33284,8516,8602,1346,71213
CED118,444,2758,656,730,101,6501,2087,548,5031,1867,1942,356,11829,74,16,192,99,177,14,570,184,45,451,371,1105,41,2193,584,68,1137,464,770,407,3435,14239,2420,27783,10830,15468,2359,73093
CED119,611,3169,872,902,104,7235,1243,514,3164,1440,1505,228,8094,55,16,250,164,262,28,776,112,39,342,342,1322,51,2201,161,39,500,319,681,193,1893,6502,2251,18392,10324,18046,1497,57010
CED120,565,2811,877,1229,94,6902,803,508,2651,1746,2501,228,8436,42,6,123,102,235,15,522,60,20,206,362,1892,55,2593,76,18,284,307,1159,279,2126,3672,1803,11926,9730,26933,1835,55893
CED121,334,2019,652,1095,69,4843,614,408,2555,1808,3642,301,9315,17,9,105,86,225,18,454,50,28,188,299,1968,40,2578,63,11,198,183,994,268,1718,2530,1316,9594,7956,28177,1715,51283
CED122,531,3133,700,539,124,8141,2316,546,4906,1351,1084,281,10479,207,47,638,220,274,46,1439,241,45,665,338,946,65,2292,536,52,1253,441,521,381,3186,15024,2688,31512,10152,12893,2279,74553
CED123,397,2282,831,1067,83,6144,1043,492,3333,1811,2694,306,9674,25,16,160,117,260,10,588,79,21,246,315,1608,43,2318,163,29,408,312,1085,288,2284,5298,1620,14187,9667,24522,1893,57189
CED124,412,2059,680,1047,76,4835,622,382,2413,1708,3394,377,8893,18,14,89,71,206,15,410,41,21,138,249,1425,46,1923,46,23,149,180,749,239,1393,2009,1272,8195,6526,20827,1739,40566
CED125,452,2395,797,993,104,6325,1351,498,4072,2022,2631,330,10898,45,12,176,115,193,17,561,73,34,299,333,1466,55,2257,196,27,532,425,1087,409,2666,6640,1751,16974,10644,21888,2118,60005
CED126,557,2839,747,649,118,6167,1232,494,3278,1472,1387,224,8091,96,36,392,197,212,34,968,120,53,477,413,1189,68,2316,312,43,987,479,586,249,2648,7407,2394,22270,10436,15039,1799,59338
CED127,717,3076,838,988,99,7763,1197,597,2830,1469,1934,170,8199,114,47,260,142,297,21,888,128,43,268,338,1463,39,2280,95,26,309,272,784,212,1691,5719,2244,13294,8356,19441,1335,50383
CED128,224,1479,491,587,76,3675,687,290,2321,1233,1540,204,6268,32,6,114,68,120,10,352,68,15,249,253,975,35,1602,146,14,530,355,687,338,2068,3848,981,12303,7164,12901,1538,38749
CED129,609,3548,795,663,116,7748,2443,623,4920,1580,1384,293,11245,63,19,281,139,155,16,676,242,44,526,437,950,54,2244,641,60,1036,415,588,302,3041,15191,2900,29942,10834,13568,1959,74401
CED130,589,2718,849,1229,103,6713,823,437,2594,1529,2784,256,8414,23,15,98,69,217,16,443,51,20,164,221,1399,56,1914,54,10,162,136,676,275,1314,3358,1635,10398,6647,21032,1874,44940
CED131,593,3659,704,870,101,7960,2319,828,6385,2045,3028,316,14930,56,29,278,113,231,11,723,118,52,370,329,1217,38,2124,166,36,470,218,666,225,1772,7820,2661,22082,8809,19220,1518,62114
CED132,507,2712,451,283,86,6361,2922,640,4801,953,635,218,10161,217,60,582,156,141,17,1173,312,67,621,309,525,37,1871,714,89,1448,321,261,227,3061,19531,3875,37940,8173,6747,1727,77990
CED133,622,2592,779,1129,85,5926,895,515,3159,1942,3628,340,10477,26,13,148,81,224,21,516,71,25,201,274,1429,48,2043,69,34,236,187,803,275,1602,2710,1778,10938,7097,21852,1834,46207
CED134,455,2511,667,1136,133,5489,724,390,2495,1528,2522,254,7918,26,11,85,64,248,14,449,27,16,139,189,1396,65,1836,57,16,168,130,692,301,1357,2418,1381,9912,6268,20374,1909,42258
CED135,389,2287,507,472,94,5574,2648,575,5069,1683,1512,320,11799,101,12,247,127,139,19,658,265,56,518,287,642,51,1820,863,74,1327,424,503,488,3677,17787,2395,30290,9335,9988,2408,72196
CED136,383,1948,682,1069,59,4789,644,446,2657,1946,4011,290,9995,20,14,83,78,234,17,450,39,27,166,372,1869,55,2533,52,18,188,232,965,253,1710,2526,1422,9670,8597,27367,1616,51207
CED137,534,3040,614,471,86,6991,2998,582,5769,1494,1048,306,12193,167,49,450,211,163,27,1069,306,53,628,375,738,64,2165,883,95,1543,582,479,561,4144,18974,3046,36713,11569,10640,2468,83408
CED138,627,2794,760,940,123,6202,1286,606,3741,1897,2654,334,10518,84,28,334,174,277,33,928,69,45,312,377,1246,62,2103,127,34,637,360,758,302,2222,4081,2012,15173,8624,19505,1929,51329
CED139,524,2699,724,1179,110,6030,730,495,2858,1679,2854,303,8920,17,7,77,43,134,14,291,43,25,193,268,1556,43,2133,45,18,175,146,831,294,1503,2604,1623,11037,6889,22704,1967,46823
CED140,432,2370,655,750,73,5224,1228,576,3757,1799,2569,301,10231,50,18,216,154,214,20,667,92,34,258,332,1128,50,1893,135,25,444,257,658,206,1716,4506,1794,14260,8586,17803,1542,48495
CED141,411,2618,703,958,79,5686,1037,512,3538,1928,3381,299,10698,19,13,124,84,217,20,476,53,28,216,287,1378,48,1996,51,20,250,207,707,190,1429,3410,1617,12453,7754,21090,1357,47685
CED142,574,3098,529,352,100,8503,3131,635,4876,966,684,203,10496,489,95,1384,421,302,54,2740,380,92,971,409,686,75,2609,931,94,2078,584,465,476,4625,24975,4283,49933,12079,9955,2525,103749
CED143,484,2552,560,377,83,5621,1781,467,3488,1041,808,204,7784,188,46,566,180,176,26,1181,163,53,550,330,629,40,1760,496,81,1327,398,336,248,2887,12823,3000,30941,8678,9049,1699,66193
CED144,356,2065,531,466,101,4964,1373,332,3267,1309,1261,244,7790,100,19,260,86,113,13,591,156,34,419,310,840,46,1808,306,36,769,377,512,381,2383,7938,1496,18768,7950,9632,1859,47643
CED145,400,2174,429,241,91,5111,2357,423,3857,670,437,220,7964,270,52,858,221,154,36,1593,212,54,630,269,483,56,1711,651,85,1739,356,267,328,3425,14860,2798,35632,7048,6270,1931,68541
CED146,307,1997,601,677,76,4985,1214,334,3515,1742,1806,298,8915,32,9,128,72,115,13,366,72,18,259,296,1054,53,1753,209,32,646,378,730,385,2382,5863,1257,16731,9027,14437,1988,49299
CED147,554,2180,782,1027,84,5645,953,492,2953,2107,3630,308,10438,42,15,150,113,205,24,551,71,33,192,294,1602,43,2233,86,18,260,231,844,238,1675,3669,1670,11395,8908,24143,1627,51408
CED194,9,38,16,16,6,117,45,7,74,37,64,11,235,6,3,31,6,14,4,60,8,6,11,8,23,0,57,9,0,22,12,28,35,106,190,56,542,232,586,108,1714
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
