CED_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
CED120,2932,1725,1704,1834,1786,1558,1185,744,412,13880,35979,20490,21582,21855,22428,20748,17034,8874,3108,172094
CED121,3075,2052,2209,2073,1937,1715,1274,869,472,15683,33124,20370,22251,21046,21516,21629,19128,10968,4383,174420
CED122,1846,1816,2984,2209,1785,1407,1058,640,350,14093,27403,23141,36721,27612,22576,18246,13670,8778,3791,181933
CED123,3655,2310,2876,2576,2094,1451,1090,755,511,17315,40140,24394,28860,27817,23115,19113,14685,7278,2446,187851
CED124,2592,1434,1168,1383,1558,1802,1874,1241,586,13633,24773,14330,12603,14663,18632,24506,26639,15676,5529,157347
CED125,4046,2115,2340,2335,1812,1465,929,529,209,15776,47876,25538,32135,31773,23413,20815,15452,6723,1764,205501
CED126,1644,1117,920,1175,1421,1242,893,698,454,9557,28262,18095,14602,19477,23204,19874,15853,11157,4854,155387
CED127,1955,1240,1142,1225,1380,1235,935,632,383,10123,26483,16725,15957,17502,20142,19851,16878,8817,2981,145330
CED128,3467,2040,2321,2199,1861,1567,1095,672,403,15631,35686,23063,24808,23745,21659,20657,15028,7987,3016,175649
CED129,1706,1096,983,1285,1217,919,681,440,343,8660,40687,23182,19730,31629,26366,19508,15586,8628,2888,188212
CED130,3529,2528,2024,1891,2075,2067,1715,1181,598,17597,29557,18783,18332,17346,18887,20989,19028,11547,4170,158649
CED131,1900,2203,1880,1514,1501,1325,929,645,588,12492,27154,23914,26362,21715,20481,19021,14886,8421,4195,166162
CED132,1346,892,1548,1587,1267,978,834,638,666,9771,27693,16383,26637,28485,22770,18016,14675,8564,3978,167209
CED133,3292,2025,2185,2213,2212,2362,1843,990,478,17595,28815,16992,16948,18220,21285,25491,23867,12398,4765,168784
CED134,4991,2704,2864,2638,2658,2777,2065,1352,648,22705,31349,16724,20378,17408,18177,20522,16652,9984,3784,154967
CED135,3184,2082,3498,2910,1751,1518,949,562,326,16779,38450,23953,41351,35876,21774,18912,13183,7022,2750,203278
CED136,2977,1628,1722,1587,1547,1477,1277,898,438,13553,34139,20136,22578,20994,21056,21520,20148,11427,3585,175578
CED137,1716,1880,3451,2271,1522,1312,953,609,568,14279,29170,25379,44942,31446,22985,20547,14966,8357,4033,201820
CED138,2954,1700,1857,2159,2198,2179,1855,1145,721,16767,27361,15437,16911,20279,21616,23944,23116,12984,5793,167436
CED139,3087,2222,1986,1909,1923,1895,1472,1049,462,16006,31224,19773,19302,17955,18668,20494,18454,10999,4472,161349
CED140,2017,1242,1200,1292,1405,1446,1225,847,510,11188,26005,16251,15546,18415,19900,20601,18589,11769,4904,151973
CED141,2172,1292,1220,1247,1358,1261,1082,767,395,10796,27159,16782,16592,18037,19352,19836,18216,11649,4300,151922
CED142,1142,2371,5389,3095,1995,1568,1021,551,211,17346,15752,26526,66085,38113,21905,17105,11536,5460,1726,204215
CED143,1356,929,1144,1202,1340,1096,733,532,345,8668,26993,16035,19905,22047,22937,17994,12869,8447,3588,150819
CED144,3229,2152,2741,2378,1965,1674,1049,711,429,16332,34760,23454,29658,25802,22568,20243,14172,8469,4030,183154
CED145,1349,1070,2338,1656,1295,1005,825,755,785,11077,21845,13756,29509,22889,19184,14854,12206,7953,3903,146102
CED146,4090,2289,2158,2308,1958,1611,996,597,388,16394,44959,28544,27054,28678,25218,22144,13772,6466,2331,199172
CED147,2634,1590,1388,1441,1563,1433,1212,982,743,12993,31311,19562,19618,19998,21099,21244,19079,12146,4497,168545
CED194,555,462,763,794,661,469,210,54,14,3980,1260,1357,2187,1859,1678,1648,1055,277,49,11371
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
