CED_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
CED111,549,733,310,548,472,129,78,103,34,2948,845,930,711,1268,988,325,158,234,73,5531,1566,846,5608,2100,1834,855,1297,1204,236,15556,72,54,67,173,229,103,60,132,8,900,158,144,101,226,424,121,92,105,18,1390,43,111,34,38,68,19,16,31,14,368,95,151,70,155,128,76,54,86,116,933,7734,19800,7905,6679,6478,2517,2179,2444,751,56497
CED112,465,650,233,538,452,176,76,115,32,2739,919,897,489,1490,957,385,148,224,72,5573,2011,1032,6467,3038,2399,1203,1340,1705,304,19494,96,60,108,170,248,186,93,167,11,1135,176,151,141,300,386,183,124,180,25,1676,53,76,49,58,89,35,20,39,7,421,104,154,108,175,155,96,88,114,135,1125,6030,11640,8092,7133,5961,2676,2058,2820,715,47137
CED113,805,679,268,475,516,131,75,138,63,3150,1140,984,521,1144,1072,285,109,260,84,5598,2705,1025,6327,2305,2234,937,1312,1685,326,18860,143,70,102,157,280,128,73,172,22,1135,247,139,119,240,340,134,93,152,29,1489,65,90,48,42,57,32,14,33,16,392,194,157,108,123,191,110,127,169,170,1347,10475,14053,8265,6261,6916,2408,2036,3198,1043,54662
CED114,651,524,255,488,409,129,84,150,40,2737,920,692,465,1334,762,287,178,337,79,5052,3156,810,6641,2646,2287,1106,1677,2137,344,20811,200,43,103,186,288,160,81,206,12,1283,265,80,84,249,346,147,100,213,19,1512,68,55,37,50,43,25,32,62,9,377,247,135,166,181,148,116,150,338,196,1674,8325,11229,8271,6407,5576,2350,2554,4138,838,49689
CED115,268,330,257,282,377,145,188,157,32,2040,455,503,460,865,871,360,339,248,83,4186,606,379,2391,1221,1048,493,907,776,160,7981,46,35,65,103,154,71,96,108,13,693,113,96,114,190,259,101,149,146,17,1187,49,87,40,44,63,27,41,40,5,403,75,147,98,133,153,82,145,172,217,1203,3330,9408,4295,4106,5104,2088,2463,2185,786,33760
CED116,509,698,242,516,399,145,52,115,35,2711,760,717,490,1274,735,261,86,218,58,4597,2156,907,6477,2806,1888,1136,1105,1721,275,18476,127,50,86,147,251,170,58,174,9,1067,180,98,114,300,303,172,67,197,21,1450,54,58,43,41,69,43,12,31,10,364,147,142,132,184,159,139,75,164,108,1245,6463,11857,8127,6573,4940,2527,1539,2949,684,45669
CED117,741,1066,322,341,493,257,77,138,38,3459,986,1190,559,707,812,398,103,186,54,4998,998,694,2243,799,889,440,317,396,84,6860,95,89,37,68,127,76,27,52,11,573,189,229,82,137,295,122,36,65,19,1166,98,197,55,36,58,31,10,27,21,535,102,191,66,64,99,59,22,61,143,812,14410,33301,5032,4350,7503,3137,979,1604,888,71213
CED118,607,776,436,497,698,235,350,200,57,3848,1020,1071,685,1297,1288,488,553,375,118,6897,1489,743,4225,1650,1802,764,1170,898,200,12938,109,54,80,100,245,105,91,85,14,893,206,177,143,212,431,157,149,141,21,1638,114,255,69,80,140,64,89,72,25,907,139,273,98,145,195,103,116,129,244,1451,10396,25196,7826,6864,10652,3645,4170,3042,1295,73093
CED119,726,972,342,575,810,200,82,108,53,3875,1211,1156,599,1187,1421,437,150,167,66,6390,2076,952,5917,1632,2028,833,823,927,198,15384,103,68,77,100,279,125,35,45,10,853,275,196,142,217,589,161,77,131,16,1809,82,143,45,33,119,39,12,32,8,510,122,165,67,126,211,76,43,54,120,987,9806,18641,8012,5528,8337,2705,1466,1789,725,57010
CED120,695,706,252,626,511,168,92,121,29,3207,1167,879,602,1585,1218,426,188,271,114,6448,3011,1084,8450,2649,2755,1313,2217,1917,385,23794,159,56,100,138,330,170,108,147,14,1219,269,119,159,298,490,222,155,185,21,1920,65,90,50,42,96,30,23,30,9,437,186,145,150,152,204,105,123,139,190,1399,8758,12557,10366,7048,7123,2871,3117,3126,933,55893
CED121,498,584,303,452,407,135,94,82,24,2588,776,805,593,1395,879,309,272,217,66,5325,2113,1148,8928,3407,2682,1269,3309,1937,387,25175,116,65,138,212,271,191,161,246,14,1420,138,94,143,273,410,157,176,173,28,1582,46,67,39,41,53,32,27,48,11,362,126,140,120,217,175,100,161,152,167,1355,5860,10728,10818,7089,5930,2574,4371,3105,815,51283
CED122,789,950,465,507,711,332,141,225,67,4188,1000,1018,683,970,1078,503,225,316,82,5888,1298,598,4288,1181,1143,568,580,833,184,10677,84,67,53,109,145,92,29,64,6,660,222,173,141,204,409,171,76,126,20,1545,129,252,87,75,139,65,27,63,19,857,144,250,127,148,185,97,72,126,269,1418,12940,29145,7669,5887,8737,4087,1959,2869,1266,74553
CED123,506,617,252,507,535,162,163,126,39,2907,1017,995,586,1493,1426,435,391,260,96,6696,2190,1113,6951,2699,3035,1205,2213,1710,389,21491,111,78,97,163,376,136,145,139,20,1267,206,121,148,272,497,139,185,171,15,1762,83,100,49,56,116,47,47,45,7,554,124,144,116,170,192,103,153,141,191,1338,7178,13887,9107,7260,8597,3021,4033,3105,993,57189
CED124,443,639,216,432,377,125,56,82,25,2395,594,690,372,1151,671,268,81,189,53,4080,2137,908,5835,2994,1841,1140,1374,1774,293,18290,110,36,96,203,237,167,76,159,10,1102,193,97,116,286,334,143,84,161,17,1433,60,61,28,45,63,24,12,37,7,327,153,142,141,260,137,124,114,196,143,1410,5482,9597,7141,6271,4473,2248,1893,2799,674,40566
CED125,472,674,335,529,597,200,262,158,48,3270,1058,1024,687,1601,1417,553,443,383,120,7275,1834,973,6035,2491,2545,1150,1914,1527,343,18812,118,60,86,157,326,145,138,135,20,1187,199,146,159,291,453,197,225,191,27,1881,61,129,73,64,114,59,51,66,15,631,128,162,132,193,210,96,160,156,245,1483,7235,15729,8698,7644,8645,3555,4015,3314,1171,60005
CED126,1076,1252,362,526,793,361,114,155,52,4690,1226,1138,585,851,1064,441,152,177,62,5700,1916,848,4966,1240,1309,707,515,765,160,12419,105,89,69,88,204,99,27,66,10,749,343,257,140,228,482,205,69,106,26,1863,134,157,63,58,114,46,21,22,7,625,177,224,103,111,194,98,51,78,155,1181,13041,19710,7372,4940,6915,3309,1300,1887,871,59338
CED127,632,792,246,525,562,162,71,87,35,3106,848,902,549,1162,991,316,161,219,67,5220,2085,895,6377,1966,2047,872,1304,1315,251,17106,89,56,82,114,241,125,64,124,7,911,193,161,131,200,372,138,73,129,22,1421,53,87,43,36,88,23,27,25,6,385,108,144,93,88,147,77,87,78,134,956,7599,15175,8311,5771,6150,2274,2005,2358,738,50383
CED128,333,390,263,286,455,147,164,130,32,2206,694,661,533,964,1023,394,293,257,91,4908,974,517,3643,1284,1530,598,1091,929,215,10773,63,45,53,78,223,90,100,87,11,742,133,99,128,211,390,132,133,136,16,1383,31,92,44,33,96,25,39,36,7,411,106,135,90,115,186,63,120,101,214,1134,4646,10078,5663,4312,6338,2181,2512,2178,843,38749
CED129,981,1118,365,503,871,305,130,146,46,4466,1241,1287,609,947,1308,547,150,169,74,6331,1785,814,3662,1117,1512,780,548,630,145,11003,106,67,57,94,236,129,29,65,6,788,320,218,136,195,518,203,65,104,16,1781,127,280,59,57,143,55,21,22,14,777,184,261,78,101,192,87,41,43,204,1188,14690,29022,6697,5198,10394,3921,1554,1837,1085,74401
CED130,617,564,160,437,336,100,69,124,22,2421,743,635,308,1078,735,224,112,276,68,4181,2543,831,5382,2502,1986,1126,1623,1982,230,18207,168,57,112,205,259,184,73,261,14,1333,284,102,93,233,324,159,102,186,15,1497,68,71,35,41,48,28,19,55,7,373,259,114,138,167,152,119,114,274,161,1502,7221,11093,6749,5922,4938,2257,2264,3861,639,44940
CED131,541,830,309,450,500,167,63,95,31,2987,878,1084,651,1320,1003,361,169,245,63,5780,1643,1048,5695,2729,2146,1008,1214,1180,217,16883,101,64,82,201,224,152,84,121,15,1032,127,144,106,238,332,136,86,120,12,1300,42,130,32,74,69,36,22,37,12,452,118,177,114,125,150,71,53,103,155,1070,7993,23937,8046,7207,6958,2762,2032,2413,764,62114
CED132,895,1046,271,348,612,289,63,113,50,3686,981,1042,414,516,784,401,74,158,58,4438,881,558,1555,632,687,415,136,212,70,5141,82,57,27,44,111,56,10,20,4,418,232,221,90,107,312,131,41,43,7,1187,151,269,58,40,107,50,15,24,22,733,186,229,49,70,144,69,26,33,183,993,17886,37179,3997,3718,8451,3703,689,1164,1210,77990
CED133,463,576,183,507,387,121,60,133,30,2447,693,721,361,1303,758,267,119,308,58,4596,2182,845,5603,3250,2153,1171,1300,2238,268,19018,114,49,99,201,264,191,77,240,23,1260,199,109,101,336,326,161,81,225,25,1576,63,71,24,47,58,31,15,59,11,378,178,153,111,209,151,119,91,256,178,1456,6143,11482,7025,7233,5359,2394,1871,3986,724,46207
CED134,592,473,128,479,279,71,76,65,24,2183,785,611,273,1116,708,201,124,167,57,4041,2579,752,5314,2473,2010,874,1895,1611,280,17794,167,61,85,183,254,134,91,180,12,1176,285,81,85,238,273,140,126,153,21,1406,47,56,42,38,56,15,29,36,15,334,257,149,143,184,160,116,168,213,181,1571,7127,9778,6486,5971,4697,1926,2704,2858,711,42258
CED135,470,549,418,408,593,241,262,285,46,3283,760,809,692,1167,991,494,463,501,94,5970,762,532,2500,1198,1067,494,704,675,153,8089,64,43,56,94,166,80,62,77,12,659,123,118,141,183,327,113,97,105,26,1241,105,325,73,104,110,73,88,75,34,984,110,224,122,132,165,85,106,152,323,1425,8660,27741,6537,6577,9479,4097,3706,3847,1549,72196
CED136,434,694,315,456,398,112,64,103,31,2611,848,877,665,1533,1066,367,214,270,82,5930,2116,1130,8390,3790,2965,1401,2432,1819,373,24409,114,49,150,226,281,216,141,214,5,1396,171,95,158,314,340,155,133,179,17,1559,30,68,35,44,64,33,27,39,9,357,101,117,104,197,170,94,134,175,161,1261,5742,10908,10350,7803,6437,2751,3318,3091,807,51207
CED137,890,803,512,499,756,412,161,435,61,4539,1121,1055,875,1140,1150,639,251,590,123,6948,1207,612,2741,1004,1073,581,427,598,157,8392,95,65,56,92,189,77,26,66,12,679,271,166,129,160,422,218,77,102,35,1576,134,288,89,76,127,66,52,86,28,935,165,248,122,109,181,110,52,160,373,1528,14132,33095,6882,6085,10546,5128,2054,3844,1646,83408
CED138,563,850,294,564,421,208,51,159,44,3152,866,807,585,1453,757,431,113,320,58,5403,2000,784,6092,2439,1659,1119,938,1689,258,16976,129,53,88,171,163,149,37,155,7,957,229,151,128,295,308,184,71,175,34,1578,64,106,51,71,58,41,14,42,16,454,172,219,148,216,134,111,75,188,206,1477,7446,14808,8228,7101,5085,2900,1496,3362,909,51329
CED139,587,543,160,480,314,84,57,108,28,2360,809,634,381,1321,727,254,106,185,55,4482,3050,958,5967,2839,2180,1112,1674,1804,268,19863,195,79,98,201,237,165,95,226,7,1314,300,73,104,251,336,157,99,201,20,1527,61,74,33,54,65,39,18,43,12,404,281,141,134,178,166,121,113,254,175,1566,7811,11428,7481,6537,5086,2296,2301,3202,682,46823
CED140,618,862,255,502,599,196,71,116,33,3259,867,1021,498,1115,1003,368,111,215,70,5261,1843,1008,5260,2147,1894,936,830,1257,238,15405,94,73,85,123,196,105,46,115,12,845,217,169,138,267,370,144,79,139,23,1545,65,119,41,46,111,40,24,30,12,480,110,158,101,128,181,88,75,98,128,1060,7291,15280,7052,5742,6188,2498,1414,2313,719,48495
CED141,461,753,233,448,443,120,72,79,25,2645,722,898,546,1302,959,277,136,159,63,5066,1763,955,6667,2811,2356,1048,1416,1436,222,18674,76,49,88,151,242,148,56,142,13,966,157,108,120,267,410,150,106,130,8,1454,37,94,25,51,73,31,15,34,8,363,99,122,93,169,146,72,61,113,120,990,5905,13836,8328,6404,6040,2255,2009,2324,583,47685
CED142,910,1190,634,548,530,398,113,351,71,4744,1383,1471,925,1128,911,623,187,507,110,7244,1203,848,2490,976,909,545,239,570,136,7910,110,96,62,105,119,80,27,72,9,682,231,245,146,180,251,152,47,96,19,1360,132,321,93,100,111,62,30,70,25,946,226,309,114,132,144,112,73,138,323,1574,19787,47567,7281,6789,10201,5307,1579,3477,1760,103749
CED143,938,1145,294,355,664,317,79,109,47,3946,996,1084,448,647,782,436,82,142,69,4691,1191,587,2647,753,750,451,270,377,89,7129,80,71,49,76,143,61,15,32,12,544,267,234,96,139,363,153,50,59,21,1382,164,190,57,50,105,53,9,20,16,669,184,237,68,78,144,72,39,44,171,1030,16442,27509,4786,3989,6822,3483,877,1225,1058,66193
CED144,421,482,338,421,550,280,198,208,44,2949,613,607,614,995,865,480,306,381,81,4942,780,429,2548,1078,954,499,614,611,154,7675,55,42,47,94,159,95,37,68,8,607,143,108,115,219,356,139,107,130,20,1353,65,146,45,65,119,48,61,56,18,623,120,171,120,126,166,98,84,127,226,1236,5964,14992,5287,5338,6594,3289,2454,2702,1011,47643
CED145,815,986,185,309,483,268,41,88,63,3249,849,896,379,477,565,356,62,99,62,3749,841,421,1687,543,463,358,122,269,90,4789,68,55,25,45,81,45,11,21,6,361,260,208,87,120,208,136,28,54,18,1123,152,276,41,54,92,48,15,27,23,717,208,331,59,100,120,92,23,59,212,1211,16120,32459,3617,3373,6124,3723,583,1105,1434,68541
CED146,410,568,413,366,639,188,261,191,41,3073,827,782,595,1258,1197,430,392,305,103,5887,1106,615,3859,1595,1610,676,1325,984,207,11984,70,27,66,120,227,112,108,107,12,853,146,109,126,256,413,131,206,184,28,1596,69,121,67,59,113,37,60,41,12,581,129,192,119,147,224,82,150,142,223,1400,5915,14190,6382,5675,7588,2725,3267,2568,988,49299
CED147,521,674,298,574,449,178,96,126,32,2947,825,939,693,1582,1008,357,161,257,81,5902,1969,1036,7499,2991,2467,1180,1934,1795,317,21193,85,60,105,187,288,158,83,189,14,1170,218,151,154,316,419,176,117,193,30,1782,51,77,43,50,70,30,28,37,11,399,117,139,123,161,170,106,119,152,146,1226,6361,12472,9560,7325,6378,2721,2713,3081,797,51408
CED194,12,21,7,15,10,3,3,3,0,87,14,23,18,31,23,11,7,23,3,145,40,19,139,75,38,34,58,76,5,502,0,3,5,8,9,9,0,9,0,37,4,9,5,4,3,0,8,12,0,47,5,7,0,3,3,0,0,0,0,16,6,12,4,13,9,9,8,14,16,94,186,453,205,217,159,95,124,224,44,1714
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
