CED_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
CED121,452,593,1039,180,220,402,189,520,711,222,1173,1398,795,3249,4049,949,2040,2993,3111,1168,4278,2718,1428,4143,3118,1489,4600,3468,976,4438,2533,843,3371,2733,625,3362,6049,1138,7185,4698,113,4807,3744,242,3995,2322,43,2365,5197,306,5503,3046,186,3229,580,696,1275,46098,17043,63147
CED122,555,1101,1658,167,336,500,184,716,905,203,1467,1670,571,2527,3104,566,1379,1943,1517,1163,2680,1456,1474,2932,1829,1833,3658,2211,1647,3853,1731,1543,3271,2016,1405,3424,4987,2901,7888,4178,571,4749,4063,954,5013,3043,309,3351,13095,1683,14780,2293,808,3103,433,620,1053,45094,24440,69536
CED123,461,588,1048,125,174,297,167,464,627,206,1069,1274,637,2263,2898,824,1437,2263,2236,1051,3286,2125,1477,3609,2593,1718,4315,3293,1460,4748,2824,1161,3981,2981,905,3885,6874,1294,8159,5420,155,5576,4402,212,4617,2939,44,2986,6547,243,6786,2494,185,2680,514,545,1060,47669,16428,64098
CED124,567,604,1164,297,263,565,249,663,905,286,1497,1785,1032,4452,5483,1026,2803,3832,4653,1498,6152,3517,1666,5175,3934,1472,5404,4363,893,5259,2538,654,3192,2600,444,3040,4717,577,5296,3152,70,3220,2298,120,2418,1372,19,1389,3134,246,3379,2826,173,2998,779,990,1768,43332,19090,62418
CED125,567,557,1125,149,131,284,207,396,605,297,929,1228,740,2080,2819,1009,1173,2182,2581,816,3399,2410,1174,3581,3101,1317,4415,3679,1067,4742,3221,827,4049,3312,633,3944,7588,905,8495,5874,132,6006,4662,162,4827,3100,45,3144,6701,204,6903,2683,158,2837,555,461,1015,52430,13178,65604
CED126,322,518,836,147,215,366,130,364,493,104,638,743,395,1653,2045,377,1234,1612,1230,981,2207,1087,1092,2181,1689,1197,2885,2066,887,2946,1653,833,2481,1824,673,2506,4213,1137,5349,3572,150,3719,3540,344,3885,2689,77,2768,13907,682,14590,2288,145,2432,329,449,783,41555,13263,54824
CED127,326,502,825,142,208,352,153,449,598,158,836,995,520,2487,3011,574,1596,2165,1800,1111,2909,1710,1245,2954,2285,1312,3595,2781,993,3774,2079,758,2839,2319,646,2968,5119,1032,6150,4132,105,4243,3557,221,3781,2412,36,2446,6675,297,6969,2103,144,2243,345,436,781,39187,14403,53591
CED128,906,713,1618,192,146,334,267,422,697,297,1067,1361,893,1998,2887,967,1063,2033,2831,681,3516,2521,926,3455,3032,947,3977,3285,736,4022,2461,527,2991,2482,385,2866,5150,608,5756,3946,122,4066,3117,127,3251,2095,41,2135,4898,182,5079,2180,133,2322,624,413,1046,42158,11250,53405
CED129,515,385,899,203,145,347,153,261,415,145,404,553,487,1155,1647,495,786,1277,1409,597,2008,1422,637,2060,1835,742,2577,2269,620,2889,1871,630,2502,2197,489,2687,5369,993,6362,4755,106,4861,5019,243,5260,3889,51,3937,15969,379,16350,2425,120,2548,376,225,606,50821,8969,59786
CED130,505,588,1098,224,272,497,235,804,1040,253,1524,1779,961,3952,4909,963,2240,3198,3444,1451,4893,2691,1855,4547,3065,1731,4795,3575,1154,4721,2396,841,3241,2655,661,3315,5179,943,6120,3363,144,3508,2544,202,2750,1486,37,1523,3252,326,3578,2719,242,2953,642,952,1591,40151,19903,60053
CED131,320,607,930,113,253,363,133,669,806,150,1467,1618,483,3414,3892,650,2041,2689,1943,1366,3312,1906,1829,3734,2314,1947,4263,2737,1676,4415,2143,1400,3547,2277,1204,3485,5320,2059,7377,4292,498,4789,3916,589,4510,2619,199,2826,7320,766,8086,2424,804,3227,345,571,920,41430,23361,64787
CED132,498,758,1259,160,241,398,152,437,591,132,809,938,386,1445,1830,392,1226,1617,801,1106,1904,881,1303,2183,1266,1731,2996,1626,1696,3315,1379,1753,3130,1595,1596,3192,4041,3772,7814,3204,340,3547,3466,1268,4732,2699,223,2926,19529,2715,22242,2063,356,2420,298,377,667,44574,23145,67719
CED133,416,538,949,241,259,492,198,736,931,317,1616,1935,936,4481,5420,1107,2918,4029,3903,1628,5537,3361,1923,5291,3891,1731,5619,4238,1052,5290,2834,810,3639,2953,531,3483,5490,792,6279,3626,133,3756,2451,120,2568,1391,41,1428,2946,237,3181,2973,266,3238,639,834,1473,43903,20639,64545
CED134,513,592,1109,182,236,416,176,649,825,208,1318,1531,800,3593,4391,870,1717,2589,2673,1138,3816,2197,1615,3813,2615,1529,4138,2848,1126,3976,2077,899,2980,2251,730,2978,4743,1161,5903,3374,146,3520,2538,257,2796,1608,57,1658,3532,406,3935,3171,205,3378,865,1052,1919,37236,18441,55677
CED135,723,836,1558,188,209,392,259,678,941,311,1431,1740,845,2258,3099,896,1198,2100,2144,992,3138,2073,1406,3484,2750,1769,4517,3313,1616,4930,2848,1384,4228,2985,1097,4082,7106,2096,9199,5050,478,5535,4488,536,5027,2999,213,3211,7753,815,8568,2350,529,2874,545,543,1089,49624,20085,69717
CED136,423,593,1016,177,208,391,177,550,727,249,1192,1440,802,3472,4271,950,2337,3284,3501,1245,4741,3013,1611,4626,3465,1645,5109,3903,1170,5069,2893,941,3835,2983,667,3649,6565,960,7527,4747,122,4868,3586,168,3758,2145,34,2183,4459,208,4672,3184,201,3383,570,723,1296,47788,18062,65852
CED137,865,1177,2040,214,263,479,243,458,696,289,1037,1323,619,1832,2449,743,1264,2006,1763,1176,2942,1702,1517,3221,2418,1991,4405,3055,1838,4897,2405,1711,4115,2565,1485,4047,6297,3055,9350,4987,564,5554,4546,1014,5562,3223,323,3549,13392,1546,14943,2430,625,3056,412,443,859,52164,23328,75494
CED138,410,653,1062,206,280,490,183,629,818,227,1339,1558,779,3789,4568,867,3079,3942,3154,1663,4811,2772,1912,4686,3306,1736,5040,3796,1155,4948,2558,883,3449,2672,654,3326,5373,984,6352,3742,230,3975,2892,272,3167,1716,78,1796,4513,482,4997,2971,475,3444,611,898,1513,42756,21179,63929
CED139,415,561,975,191,261,448,204,680,888,231,1446,1683,882,3904,4786,945,2068,3016,3060,1471,4535,2512,1860,4370,3058,1798,4860,3449,1171,4619,2370,910,3279,2707,686,3395,5243,992,6241,3799,158,3955,2879,208,3084,1645,44,1688,3603,323,3920,3069,225,3298,715,984,1697,40979,19766,60743
CED140,404,632,1032,168,253,424,147,582,726,186,1196,1386,621,3315,3931,692,2481,3177,2475,1417,3894,2166,1565,3733,2653,1473,4132,3140,1120,4255,2200,916,3114,2362,735,3097,5014,1031,6042,3867,153,4021,3404,279,3682,2150,50,2203,6363,437,6800,2201,182,2384,422,748,1169,40637,18560,59198
CED141,404,537,952,161,211,371,167,531,701,198,1142,1346,689,3516,4203,725,2333,3056,2931,1140,4075,2461,1458,3918,2848,1409,4256,3245,968,4215,2348,767,3108,2314,580,2892,5269,935,6204,4130,118,4247,3520,191,3710,2231,44,2279,5256,249,5512,2398,166,2562,458,651,1108,41758,16954,58712
CED142,750,2312,3061,172,432,605,182,1146,1333,193,2126,2315,472,2865,3334,488,1928,2417,1047,1783,2827,1109,2417,3528,1386,3261,4647,1852,3198,5046,1556,3207,4762,1817,3119,4933,4876,7490,12368,4066,1144,5208,4073,2759,6837,3235,743,3976,15621,5942,21569,1826,1667,3492,313,832,1146,45043,48352,93398
CED143,332,519,846,98,209,306,86,362,443,102,563,664,245,1275,1522,301,1137,1432,684,956,1637,800,1116,1918,1120,1361,2485,1437,1216,2649,1258,1209,2468,1400,1134,2532,3508,2468,5972,3008,260,3266,3043,879,3919,2363,153,2525,17957,2061,20020,2126,314,2444,300,372,671,40171,17559,57730
CED144,901,874,1783,187,201,386,281,590,867,364,1352,1714,931,2311,3237,1062,1251,2316,2811,965,3776,2512,1161,3670,3107,1283,4392,3516,1040,4562,2568,844,3407,2604,649,3248,5148,1109,6254,3619,277,3896,2830,298,3135,2001,88,2083,5427,406,5837,2304,355,2659,595,487,1082,42775,15532,58304
CED145,363,751,1113,93,203,300,88,394,480,83,657,741,211,1314,1532,233,1211,1449,569,1087,1660,586,1394,1984,919,1711,2628,1101,1621,2730,907,1613,2522,1193,1584,2782,2822,3433,6251,2339,445,2781,2577,1420,3995,2038,371,2405,17072,4018,21096,2042,766,2807,384,497,883,35629,24488,60119
CED146,683,491,1175,163,132,294,268,456,720,324,916,1239,885,1692,2578,1004,665,1667,2574,526,3096,2382,782,3164,2923,754,3680,3456,546,4005,2784,425,3210,2885,377,3262,6198,470,6663,4914,56,4971,3862,93,3949,2646,17,2665,6463,125,6587,2590,86,2677,637,396,1034,47644,9006,56648
CED147,504,557,1061,184,192,378,198,588,781,223,1158,1377,813,3247,4063,875,1915,2792,3119,1165,4279,2720,1390,4107,3032,1372,4407,3573,911,4481,2572,767,3341,2810,586,3396,5933,865,6801,4727,99,4827,3837,167,4002,2330,37,2367,5497,264,5764,2581,141,2719,540,645,1192,46080,16067,62141
CED194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
