CED_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
CED119,20,10,44,80,134,274,612,679,431,2284,8,7,29,64,58,74,119,121,73,553,229,238,542,607,506,466,544,707,752,4585,3995,8691,16826,21060,20999,17918,13778,7883,3178,114318
CED120,52,35,166,212,322,748,1365,1034,544,4477,4,5,43,61,65,85,94,90,53,507,465,470,1189,1171,1100,1122,1145,991,707,8365,5101,9563,21568,21840,22417,20739,17029,8869,3108,130230
CED121,82,68,225,290,403,970,1606,1205,822,5676,7,11,47,50,66,110,105,71,43,514,516,673,1657,1469,1291,1161,1304,1272,832,10185,5151,9934,22247,21038,21507,21627,19116,10965,4384,135966
CED122,15,17,120,116,205,432,1013,1307,760,3996,0,29,138,102,111,185,255,336,238,1392,382,970,2571,1759,1263,1060,1044,969,721,10737,3872,14378,36686,27602,22552,18221,13641,8759,3783,149487
CED123,51,44,221,278,475,975,1602,1091,450,5189,12,19,91,130,166,173,204,184,85,1060,633,892,2225,1947,1425,1078,1037,949,672,10854,5461,12872,28835,27803,23100,19098,14670,7277,2446,141548
CED124,59,40,154,233,341,915,1843,1595,1021,6204,6,10,22,17,37,48,63,67,53,324,493,407,887,1008,1099,1450,1881,1694,954,9881,3956,5980,12599,14660,18623,24494,26629,15671,5523,128141
CED125,40,42,245,386,585,1102,1519,978,380,5282,10,23,156,177,236,394,386,249,112,1747,626,738,1693,1697,1192,1031,983,770,288,9024,5724,12910,32091,31729,23380,20786,15430,6715,1763,150522
CED126,15,18,38,103,110,208,461,599,407,1952,5,8,34,73,121,104,94,99,87,621,261,268,608,681,715,656,698,918,838,5642,3573,8245,14594,19471,23188,19869,15845,11146,4852,120791
CED127,31,24,124,113,210,452,827,662,444,2887,7,15,41,40,39,48,72,67,42,370,321,287,685,701,742,739,754,775,505,5502,3892,7664,15959,17492,20134,19846,16874,8811,2981,113648
CED128,50,141,712,1094,1329,1704,2215,1819,812,9881,19,127,726,838,1084,1406,1248,939,517,6913,648,752,1819,1715,1333,1215,1103,846,529,9954,5046,11466,24731,23690,21609,20611,14998,7976,3011,133143
CED129,14,15,36,73,128,275,717,683,407,2349,6,20,57,93,109,143,156,114,115,807,226,256,648,819,571,475,546,508,396,4447,4586,10765,19717,31622,26344,19481,15564,8623,2891,139582
CED130,70,73,246,281,419,971,1736,1595,875,6260,12,37,97,80,83,102,115,99,36,660,980,914,1695,1491,1625,1668,1690,1485,777,12326,4865,8553,18319,17335,18881,20979,19023,11544,4168,123670
CED131,32,58,159,190,260,526,869,890,771,3763,4,16,66,100,100,130,104,99,91,705,510,815,1267,952,868,874,897,952,954,8087,4679,14217,26348,21696,20474,19014,14884,8420,4196,133917
CED132,9,3,40,58,75,148,347,421,328,1425,0,4,63,71,65,82,116,118,102,625,213,276,1231,1160,786,646,740,702,743,6489,2645,8379,26617,28479,22758,18008,14656,8555,3969,134061
CED133,58,45,181,269,425,866,1592,1590,1077,6099,10,18,56,59,64,77,83,54,58,479,676,759,1835,1766,1690,1877,1774,1315,788,12477,4303,7696,16938,18216,21278,25486,23861,12387,4766,134923
CED134,77,68,200,252,511,1177,2035,1586,782,6697,7,13,40,35,66,89,136,114,38,536,1040,1066,2464,2271,2246,2451,2156,1619,857,16168,4431,8091,20368,17393,18158,20517,16647,9984,3782,119365
CED135,15,50,316,431,626,860,1261,1013,505,5073,9,74,414,417,371,563,577,446,221,3101,551,1167,3258,2457,1368,1257,959,699,488,12210,3932,14733,41307,35824,21727,18862,13136,7005,2743,159279
CED136,76,72,228,236,445,938,1680,1234,699,5600,5,18,61,49,74,94,83,53,39,478,408,454,1095,950,916,1004,1280,1209,632,7941,4834,9929,22570,20982,21041,21507,20139,11416,3580,136002
CED137,9,36,171,186,286,529,1104,1468,948,4735,6,81,415,241,215,309,379,427,354,2431,302,1172,3178,1934,1049,890,843,702,701,10775,3330,16993,44873,31422,22946,20502,14919,8337,4033,167353
CED138,28,26,125,179,250,562,1128,1301,930,4521,8,6,31,37,41,67,67,59,48,373,564,586,1521,1660,1599,1688,1679,1419,1217,11937,3672,6929,16903,20270,21609,23934,23109,12976,5789,135191
CED139,71,66,222,328,447,895,1724,1462,954,6170,6,18,114,124,102,107,103,75,45,702,688,829,1563,1466,1427,1544,1527,1288,728,11069,4893,9669,19294,17947,18660,20492,18447,10997,4472,124875
CED140,32,21,86,114,232,519,896,911,593,3399,7,18,43,50,59,80,60,67,51,436,312,360,841,833,884,955,1161,1198,970,7518,3617,7732,15542,18412,19888,20592,18587,11752,4895,121015
CED141,52,41,141,152,259,640,1183,1081,708,4264,12,6,26,36,50,66,66,60,43,362,303,331,751,726,728,794,961,1062,605,6249,3902,8063,16592,18038,19341,19831,18209,11634,4295,119898
CED142,10,46,216,183,199,386,576,485,232,2338,6,72,361,234,133,178,192,154,118,1443,359,1675,4775,2592,1572,1328,1089,724,306,14426,3300,21274,66016,38091,21898,17092,11525,5451,1720,186368
CED143,7,10,36,53,64,143,257,363,294,1227,0,3,33,45,57,41,53,69,62,372,205,236,789,748,674,580,530,595,532,4899,2833,7489,19897,22038,22925,17989,12857,8446,3588,118071
CED144,19,45,365,519,864,1373,2155,2111,1025,8474,11,57,426,379,530,860,1053,925,568,4817,593,946,2455,1956,1527,1333,1086,911,754,11554,4604,12872,29582,25727,22471,20176,14123,8446,4020,142025
CED145,5,12,55,56,51,89,190,341,288,1076,0,10,44,29,30,34,39,65,60,308,285,412,1858,1224,859,695,719,949,1194,8197,2137,7388,29503,22882,19180,14846,12199,7944,3898,119979
CED146,39,68,347,707,1043,1708,2139,1427,567,8038,24,82,331,505,808,1339,1070,654,321,5130,757,694,1634,1738,1335,1320,1017,829,558,9872,6324,13885,26984,28621,25142,22095,13739,6461,2327,145580
CED147,53,40,144,227,331,863,1768,1464,790,5677,7,14,42,62,94,115,189,206,131,868,406,408,899,922,889,897,1047,1235,938,7643,4612,9281,19608,19990,21087,21231,19059,12132,4493,131488
CED194,12,7,37,52,60,50,73,33,0,318,0,3,9,15,7,14,10,5,4,75,176,272,752,787,651,467,208,66,18,3408,409,824,2186,1856,1677,1649,1055,277,49,9981
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
