UCL_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
UCL112003,11,245,1763,5021,2577,545,126,187,10485,12,88,106,99,8,4,0,12,326,0,14,69,114,3,0,0,6,203,12,108,173,211,8,6,0,15,533,11,141,148,42,5,0,0,21,368,0,19,53,14,0,0,0,4,95,0,0,9,0,0,0,0,0,9,0,3,0,0,0,0,0,0,6,13,165,215,54,5,0,0,27,483,0,9,6,10,3,0,0,0,28,0,5,10,14,6,5,6,7,60,38,530,2165,5306,2602,557,137,250,11578
UCL112004,3,86,695,2855,2664,614,124,144,7179,0,21,288,124,15,0,0,14,468,0,0,87,144,18,0,0,3,258,0,22,373,271,37,4,0,16,726,4,54,110,25,5,0,0,14,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,49,110,26,5,0,0,11,210,13,14,7,6,3,0,0,0,51,0,0,16,17,9,0,4,3,52,22,179,1206,3169,2719,617,127,181,8225
UCL112005,4,81,988,3418,1657,219,33,155,6558,3,64,405,241,4,3,0,67,777,0,50,31,21,6,0,0,7,102,3,112,431,256,9,3,0,72,887,0,66,44,17,0,0,0,7,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,46,17,0,0,0,7,135,0,3,10,7,0,0,0,3,22,0,5,13,8,0,0,0,3,27,13,270,1487,3705,1667,219,33,240,7631
UCL112006,19,100,936,6083,4108,745,139,212,12339,10,91,945,548,51,4,0,77,1727,4,77,380,575,85,7,0,36,1169,11,168,1327,1117,137,10,3,117,2889,23,276,1213,390,31,4,0,86,2017,3,41,193,38,0,0,0,12,291,3,50,139,87,10,3,0,6,301,0,3,0,0,0,0,0,3,5,28,369,1540,519,42,4,0,110,2614,26,114,112,25,13,0,0,26,313,6,23,60,62,16,5,3,31,210,94,771,3977,7808,4312,770,145,492,18365
UCL112007,9,44,645,4488,4065,528,79,223,10074,0,57,600,184,37,0,0,22,908,0,3,28,16,0,0,0,4,55,0,64,630,202,39,0,0,30,962,15,234,757,88,14,0,0,51,1157,0,4,4,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,238,766,88,14,0,0,51,1172,7,11,15,14,29,6,0,4,88,0,6,20,14,4,0,5,4,55,32,376,2065,4803,4150,535,79,315,12359
UCL112008,14,69,845,3504,2140,286,78,161,7095,3,97,311,244,30,9,0,37,729,0,0,70,40,9,3,3,4,124,3,102,377,283,36,9,3,40,852,0,75,180,15,3,0,0,11,283,0,26,37,0,0,0,0,4,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,104,218,14,10,0,0,9,353,12,28,24,11,3,0,0,12,87,0,6,6,7,4,0,3,3,37,28,307,1469,3824,2188,296,79,231,8421
UCL112009,11,60,818,4347,2163,431,88,191,8097,9,121,632,247,21,0,0,36,1071,7,39,205,169,10,3,0,19,459,17,162,836,413,29,5,3,52,1525,22,124,314,104,15,3,6,45,630,0,20,67,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,144,385,104,14,3,6,49,724,25,78,46,11,0,0,0,14,171,0,8,16,16,7,0,0,6,49,75,450,2091,4890,2216,445,100,310,10572
UCL112010,0,7,47,373,202,36,3,19,689,0,0,6,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,12,0,12,33,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,33,0,0,0,0,0,48,0,0,0,3,0,0,0,3,7,0,0,3,0,0,0,0,0,3,0,21,90,378,206,36,4,19,755
UCL112011,5,86,730,4364,3414,497,84,214,9398,5,133,641,249,24,4,0,43,1093,3,71,76,34,0,0,0,10,192,5,208,709,284,22,4,0,56,1287,0,74,164,71,10,3,0,19,337,0,3,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,82,172,72,10,3,0,19,350,9,37,88,9,7,0,0,8,163,6,27,40,17,3,0,0,10,103,32,439,1744,4736,3458,499,85,303,11298
UCL112012,15,77,963,5537,4051,584,85,272,11591,9,144,726,262,11,0,0,46,1208,0,76,59,45,6,0,0,3,198,12,223,788,305,19,0,0,53,1402,6,152,253,45,5,0,4,23,488,0,4,33,0,0,0,0,0,39,0,0,11,7,0,0,0,0,17,0,0,0,0,0,0,0,0,3,6,153,300,56,5,0,4,26,545,7,6,7,5,0,0,0,6,33,0,13,32,15,12,0,5,58,121,35,472,2080,5914,4093,593,98,412,13690
UCL112013,14,57,981,5649,3974,721,118,212,11728,4,100,1121,869,49,5,3,92,2246,3,51,284,436,72,8,0,24,879,3,149,1407,1313,121,16,3,122,3125,9,387,634,264,7,0,4,80,1391,0,38,391,67,3,0,0,26,524,0,91,593,253,8,0,0,34,973,0,0,0,0,0,0,0,0,0,11,510,1611,586,19,0,4,141,2881,14,63,123,41,3,0,0,20,259,3,11,21,23,7,0,3,7,82,44,794,4133,7607,4119,737,127,504,18070
UCL112014,6,79,904,5251,3151,456,85,286,10220,13,180,851,211,17,0,0,103,1368,0,72,192,55,5,0,0,12,345,12,255,1045,265,20,0,0,119,1715,6,88,172,30,3,0,0,19,319,0,0,19,0,0,0,0,0,24,0,0,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,6,86,209,30,3,3,0,19,357,0,15,30,203,41,4,0,14,308,0,10,15,29,9,0,3,7,78,26,448,2194,5785,3224,464,91,446,12685
UCL112015,17,55,1217,7112,5205,922,144,340,15023,3,55,436,92,9,0,0,29,623,0,3,98,63,3,0,0,0,178,3,60,536,160,10,0,0,28,801,21,249,1450,170,11,0,3,83,1993,0,24,39,12,0,0,0,4,81,3,11,13,6,0,0,0,0,35,0,0,3,3,3,0,0,0,7,24,290,1505,190,13,0,3,87,2115,0,9,26,44,49,4,3,11,151,0,0,7,17,6,0,0,0,35,41,414,3296,7529,5285,933,151,474,18116
UCL113001,3,18,410,1994,1041,151,32,102,3747,3,63,674,501,32,4,3,60,1337,0,108,470,449,36,3,0,44,1106,0,173,1149,946,64,5,3,102,2448,3,60,189,60,8,0,0,18,336,0,3,104,42,0,0,0,3,149,0,0,26,28,0,0,0,0,55,0,0,0,0,0,0,0,0,3,3,61,320,131,5,0,0,19,546,8,103,208,38,5,0,0,23,389,0,3,3,10,4,0,0,4,29,17,361,2098,3116,1122,161,35,247,7156
UCL113002,6,32,329,1596,1012,184,34,90,3299,4,11,130,147,4,0,0,17,309,0,36,102,104,13,3,0,7,266,3,42,233,251,17,3,0,22,571,3,65,316,129,14,3,3,27,559,0,0,15,0,0,0,0,3,21,0,0,15,4,0,0,0,0,28,0,0,0,0,0,0,0,0,4,3,62,357,138,17,3,3,25,609,3,21,26,6,0,0,0,8,68,0,0,8,5,3,0,0,3,24,19,165,957,1996,1054,194,42,145,4573
UCL113003,7,139,1295,3787,1119,161,39,204,6760,3,27,73,33,7,0,0,7,152,0,0,5,5,0,0,0,0,16,7,28,74,34,5,0,0,6,164,3,85,67,5,3,0,0,12,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,85,67,5,3,0,0,12,183,0,9,0,0,0,0,0,4,18,0,0,9,7,3,0,0,8,23,19,258,1445,3841,1134,171,41,237,7142
UCL113004,3,6,204,891,572,56,12,37,1778,0,6,92,10,0,0,0,8,121,0,0,0,0,0,0,0,0,4,0,6,96,10,0,0,0,8,126,0,4,139,17,0,0,0,6,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,139,17,0,0,0,6,169,3,6,16,15,6,0,0,4,53,0,0,4,3,0,0,0,0,6,3,23,456,937,578,56,12,52,2125
UCL113005,3,46,559,2786,1503,261,35,148,5335,4,87,564,755,16,3,0,59,1488,0,33,90,81,10,0,0,3,218,4,121,649,837,28,3,0,61,1710,15,136,310,93,3,0,0,41,600,3,20,228,39,0,0,0,18,304,0,23,266,91,7,0,0,14,405,0,0,0,0,0,0,0,0,0,20,174,804,224,10,4,0,73,1304,8,34,72,17,3,3,0,16,154,0,7,40,22,5,0,3,7,73,31,385,2117,3882,1543,269,38,304,8577
UCL113006,3,62,716,2743,1247,233,54,141,5189,10,102,143,95,0,0,0,12,357,0,21,79,96,13,3,0,3,226,9,122,223,189,16,4,0,17,584,0,93,297,82,7,3,0,29,518,0,10,15,0,0,0,0,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,314,82,7,3,0,32,543,9,40,21,13,3,0,0,5,88,0,9,3,10,4,3,0,6,28,22,331,1271,3032,1277,237,61,200,6436
UCL113007,9,36,388,2444,1798,192,31,144,5052,0,55,141,150,0,3,0,20,375,0,0,10,3,0,0,0,0,13,0,61,152,153,0,3,0,20,389,6,107,455,157,4,0,0,55,783,0,4,7,5,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,7,6,110,464,161,4,3,0,53,805,17,16,10,18,7,0,0,8,76,0,6,4,10,7,0,0,0,32,28,229,1018,2791,1822,193,30,232,6348
UCL113008,3,45,510,1762,664,81,28,101,3193,8,35,92,5,0,0,0,12,146,0,5,25,3,0,0,0,0,36,8,40,117,9,0,0,0,13,185,7,60,80,15,0,0,0,10,164,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,7,69,81,15,0,0,0,10,179,10,21,7,3,0,0,0,3,46,0,3,5,17,3,0,0,10,32,23,168,724,1801,663,89,28,141,3640
UCL113009,0,20,221,1554,1444,328,55,44,3664,0,0,75,104,7,0,0,0,190,0,9,183,354,39,3,0,7,603,0,15,261,458,46,8,0,7,790,4,17,143,53,13,0,3,6,240,0,3,40,25,0,0,0,7,73,6,65,90,25,0,0,0,10,191,0,0,0,0,0,0,0,0,0,9,84,272,99,11,0,3,17,500,4,5,10,14,3,0,0,0,36,0,8,3,7,0,0,0,4,17,19,125,770,2124,1503,334,57,74,5013
UCL113010,6,75,846,2843,1301,184,28,134,5418,0,42,205,113,6,0,0,13,386,0,20,57,25,0,0,0,0,104,0,63,263,135,9,0,0,17,485,0,48,51,12,0,0,0,9,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,51,12,0,0,0,9,120,0,0,4,4,3,0,0,0,11,0,7,5,8,4,0,0,3,20,8,188,1166,3005,1317,186,30,160,6054
UCL113011,7,50,848,2083,792,114,32,102,4029,10,57,212,120,3,0,0,28,423,4,22,26,25,0,0,0,8,84,11,80,245,144,3,0,0,28,511,5,26,49,15,0,0,0,10,108,0,7,10,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31,65,15,0,0,0,10,126,7,12,4,10,4,0,3,0,31,3,3,0,7,3,0,0,7,12,26,171,1152,2254,808,116,35,147,4715
UCL113012,9,134,851,2432,2159,381,80,132,6172,0,48,318,195,5,3,0,18,583,0,0,28,30,3,0,3,3,59,0,48,344,218,5,3,4,26,649,3,14,50,20,3,0,0,3,96,0,0,5,0,0,0,0,0,5,0,0,6,0,0,0,0,0,12,0,6,0,0,0,0,0,0,6,3,23,68,21,3,0,0,7,122,0,0,0,5,3,0,0,0,9,0,3,0,4,4,0,0,9,22,10,203,1263,2683,2176,382,88,172,6974
UCL113013,3,30,325,1597,1205,176,27,82,3444,0,39,128,79,3,0,0,22,268,0,4,6,5,3,0,0,0,17,0,46,132,77,9,0,0,20,290,3,29,89,45,3,0,0,12,181,0,4,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33,89,45,3,0,0,14,187,4,18,18,4,0,0,0,9,60,0,0,5,5,0,0,0,4,19,11,125,571,1731,1217,180,27,133,4001
UCL113014,5,16,231,1595,1248,181,30,72,3385,0,77,128,114,9,3,0,16,351,0,28,53,40,4,0,0,0,124,0,106,180,156,14,3,0,19,477,0,0,17,8,0,0,0,0,23,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,0,0,0,0,28,0,0,0,0,0,0,0,0,3,0,3,3,7,0,0,0,6,18,10,122,433,1771,1268,183,30,100,3920
UCL113015,3,26,214,1393,1411,246,38,67,3395,0,31,192,232,18,0,0,27,491,0,12,88,582,182,9,0,14,884,0,45,276,810,194,9,0,33,1376,0,59,75,39,10,3,0,4,185,0,8,45,37,0,0,0,0,98,0,4,173,81,8,3,0,7,278,0,0,0,0,0,0,0,0,0,0,74,298,157,15,7,0,17,565,4,3,0,6,0,0,0,0,18,0,5,8,11,7,0,0,3,39,5,150,798,2383,1630,258,42,117,5391
UCL113016,7,20,239,2131,1241,154,29,81,3894,3,30,390,117,17,0,0,17,582,0,27,72,33,24,0,0,3,161,3,63,468,146,39,4,0,29,745,0,15,7,0,0,0,0,26,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,11,0,0,0,0,26,54,0,4,10,3,3,0,0,108,134,0,3,3,9,0,0,0,8,21,6,106,724,2295,1290,160,30,242,4853
UCL113017,8,15,257,1842,1544,216,41,69,3991,3,21,112,157,8,3,0,11,314,0,20,98,52,5,0,0,3,178,3,35,218,202,21,3,0,18,490,4,48,137,50,3,0,0,12,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,48,137,50,5,0,0,12,254,11,29,4,4,0,0,0,3,54,0,7,10,5,0,0,0,5,30,24,131,626,2110,1571,216,42,99,4819
UCL113018,7,52,433,1927,1040,159,23,99,3730,0,6,77,42,7,0,0,7,140,0,0,17,5,0,0,0,0,22,0,6,92,45,7,3,0,7,160,0,0,14,19,3,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,19,3,0,0,0,44,3,21,15,6,0,0,0,3,49,0,0,0,3,0,0,0,0,3,6,77,554,2006,1047,163,23,118,3993
