UCL_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
UCL114006,12,0,39,10,11,6,4,16,0,103,0,0,0,0,0,0,0,0,0,0,4,3,3,11,3,0,0,0,0,24,14,3,9,12,10,11,5,15,11,77,223,411,289,232,203,117,76,126,29,1698
UCL114007,5,0,34,14,10,4,3,15,0,84,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,8,0,17,6,0,5,0,8,9,3,6,3,44,117,256,214,184,144,75,68,126,12,1201
UCL114008,14,0,36,24,11,7,0,28,0,116,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,3,5,0,13,8,5,14,6,0,3,15,15,0,70,155,238,254,170,111,73,74,181,17,1286
UCL114009,5,3,42,24,6,10,6,16,0,119,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,3,0,13,9,11,14,12,5,10,7,17,10,96,177,383,312,272,169,134,70,160,30,1707
UCL114010,3,0,36,20,11,14,4,20,0,111,0,0,0,0,0,0,0,4,0,8,0,3,3,3,5,0,0,4,0,16,7,3,13,13,9,14,13,23,7,101,189,391,294,253,184,98,98,188,29,1706
UCL114011,7,0,31,20,6,6,4,11,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,12,13,10,7,7,12,8,79,191,391,308,197,180,112,88,122,31,1627
UCL114012,11,0,27,18,0,11,3,14,0,76,0,0,0,0,0,0,0,0,0,4,3,3,3,0,0,0,0,0,0,12,3,8,6,7,4,4,6,11,6,51,112,219,165,164,129,70,52,98,21,1038
UCL114013,6,3,32,19,4,10,22,9,0,115,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,3,0,18,15,5,22,10,3,16,20,17,9,114,239,420,370,237,198,119,235,115,34,1970
UCL114014,11,3,34,16,19,11,5,6,3,107,0,0,0,0,0,0,0,0,0,3,4,6,3,0,7,4,6,0,0,23,0,6,14,7,10,3,4,6,4,57,281,623,459,269,313,133,114,106,32,2328
UCL114015,18,0,50,23,7,8,4,18,0,126,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,4,4,3,0,22,13,6,24,18,9,6,14,41,21,161,203,459,393,322,177,138,86,263,38,2073
UCL114016,13,0,39,21,11,7,5,24,0,117,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,3,6,0,19,14,8,12,13,6,9,12,19,5,100,214,385,350,166,202,74,97,204,37,1730
UCL114017,16,0,49,33,13,16,3,9,0,135,0,0,0,0,0,0,0,0,0,0,0,6,4,6,4,0,0,0,0,21,0,3,9,6,9,3,0,3,14,49,308,859,312,267,222,135,39,97,35,2268
UCL114018,17,8,39,36,22,19,6,14,3,155,0,0,0,0,0,0,0,0,0,3,8,8,9,10,5,3,3,0,0,35,4,8,22,9,9,12,8,12,7,92,328,576,668,391,393,149,162,143,45,2862
UCL114019,32,3,67,17,16,23,8,18,0,186,0,0,0,0,0,0,0,0,0,0,4,3,7,3,3,0,0,3,0,25,7,4,11,10,3,4,0,5,4,58,260,422,358,256,200,172,41,138,26,1883
UCL114020,15,4,38,28,9,6,9,10,0,116,0,0,0,0,0,0,0,0,0,3,3,0,3,0,3,0,0,3,0,17,10,10,16,11,12,5,9,7,12,93,220,446,337,245,187,101,78,101,28,1734
UCL114021,19,4,74,25,14,9,3,17,0,164,0,0,0,3,0,0,0,0,0,3,3,5,3,0,4,0,3,4,0,28,7,0,11,9,6,8,5,16,11,78,250,505,469,299,260,139,133,168,35,2267
UCL114022,20,0,56,15,11,19,11,13,4,143,0,0,0,0,0,0,0,0,0,3,3,3,0,0,4,0,6,5,0,25,4,8,18,20,5,13,12,10,6,96,211,479,405,309,259,149,118,183,29,2146
UCL114023,6,3,28,13,9,7,0,13,0,82,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,11,5,0,5,15,3,6,4,17,11,65,108,218,182,187,97,65,39,102,31,1031
UCL114024,9,0,31,17,3,0,3,8,0,74,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,15,6,4,7,0,4,17,16,20,9,90,174,375,293,179,147,73,97,106,30,1464
UCL114025,14,3,55,27,18,13,7,13,0,148,0,0,0,0,3,0,0,0,0,3,4,3,5,0,0,0,12,4,0,35,5,10,11,15,4,20,17,14,14,116,279,539,469,308,282,152,208,133,48,2416
UCL114026,11,9,58,28,23,12,3,12,0,148,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,12,3,3,10,4,3,3,0,4,6,39,185,489,365,261,229,97,54,116,25,1813
UCL114027,11,5,48,27,7,9,3,9,0,122,0,0,0,0,0,0,0,0,0,3,0,4,6,4,0,0,3,0,3,17,0,3,13,3,0,0,0,14,0,36,169,273,268,164,148,86,50,73,20,1246
UCL114028,13,0,38,15,7,6,0,10,0,92,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,8,3,3,8,9,0,7,0,4,0,40,129,216,190,151,120,72,42,96,19,1032
UCL114029,11,3,35,15,13,16,3,14,3,110,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,3,0,0,17,3,0,4,3,9,0,4,7,4,37,135,233,333,210,163,99,96,120,24,1413
UCL114030,11,3,29,12,7,3,10,14,0,89,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,7,3,0,19,6,3,8,8,9,6,10,11,5,72,145,310,320,171,170,67,124,112,11,1423
UCL114031,12,0,38,28,8,13,0,15,0,124,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,6,0,0,6,3,3,10,9,6,3,13,18,10,77,129,240,303,241,197,125,99,134,28,1483
UCL114032,11,0,51,11,7,7,0,16,0,113,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,4,3,9,7,4,13,0,7,8,52,157,349,224,157,140,109,38,87,23,1281
UCL114033,11,0,14,6,3,6,0,7,0,41,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,4,6,7,3,0,3,12,0,33,70,79,119,69,36,22,24,44,6,476
UCL114034,14,3,36,11,15,3,0,11,0,94,0,0,0,0,0,0,0,0,0,0,3,6,0,3,3,0,0,0,0,22,0,3,10,10,3,3,9,3,8,55,203,383,255,233,206,67,65,79,34,1524
UCL114035,14,3,38,14,7,16,9,15,0,113,0,0,0,0,0,0,0,3,0,5,4,3,5,0,3,0,0,3,0,14,4,4,11,9,8,8,5,14,0,69,176,316,271,217,161,119,74,165,16,1512
UCL115001,0,0,7,3,0,8,4,3,0,29,0,0,0,0,0,3,3,0,0,5,0,0,0,0,0,0,0,0,0,3,3,0,9,3,3,3,3,4,0,33,32,49,145,45,44,20,70,41,4,450
UCL115002,4,0,10,0,3,5,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,55,85,119,50,54,24,42,25,8,472
UCL115003,3,0,3,6,4,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,8,50,123,57,47,29,21,9,42,3,378
UCL115004,4,0,5,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,3,0,0,7,4,0,14,27,41,44,40,17,10,18,27,3,224
UCL115005,3,0,13,9,3,3,7,4,0,35,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,14,5,0,0,3,3,0,0,3,0,16,96,226,64,55,53,38,16,27,7,582
UCL115006,3,3,20,5,9,5,3,7,0,50,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,3,8,3,3,0,0,9,0,26,123,167,219,111,113,54,71,66,14,944
UCL115007,5,0,6,0,0,6,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,3,0,12,31,63,35,25,12,18,4,26,4,224
UCL115008,11,0,15,3,3,4,0,8,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,3,0,3,0,7,6,0,22,71,80,76,59,35,25,20,47,10,403
UCL115009,0,0,3,7,0,0,0,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,0,8,16,41,26,30,16,8,7,17,0,162
UCL115010,3,4,10,4,0,0,0,3,0,29,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,11,36,73,76,59,40,24,20,24,5,364
UCL115011,0,0,3,6,0,3,0,6,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,4,6,3,21,19,33,34,39,22,13,23,47,6,230
UCL115012,6,0,22,13,4,9,0,20,0,72,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,3,0,7,0,4,5,0,7,5,0,13,4,45,76,212,154,130,103,67,28,146,11,935
UCL115013,0,0,25,3,9,4,0,3,0,43,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,0,0,0,0,14,4,5,3,3,3,3,0,3,0,19,104,305,121,121,67,52,23,35,14,847
UCL115014,8,0,10,6,0,3,0,4,0,30,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,6,39,64,71,44,25,37,5,26,3,313
UCL115015,7,0,12,4,3,0,3,4,0,38,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,8,0,0,3,3,0,0,0,4,0,13,91,183,84,40,53,24,8,18,6,516
UCL115016,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,13,33,37,29,26,18,8,4,15,0,174
UCL115017,11,0,32,13,12,7,3,5,0,81,0,0,0,0,0,0,0,0,0,0,3,6,0,0,5,0,0,0,0,11,4,3,0,3,5,4,3,3,0,27,170,492,185,150,147,73,50,84,12,1361
UCL115018,10,0,18,10,3,9,5,7,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,6,0,3,4,6,6,5,0,0,29,64,109,138,101,74,44,73,61,12,676
UCL115019,4,0,7,4,3,0,0,3,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,6,0,9,3,0,22,50,54,41,35,29,7,41,22,6,290
UCL115020,9,6,17,8,5,8,0,3,0,62,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,0,0,3,3,0,3,3,3,21,95,246,145,107,79,53,24,49,11,811
UCL115021,0,0,8,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,3,4,0,20,42,45,60,44,29,14,15,27,4,276
UCL115022,4,0,9,3,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,6,0,3,0,5,0,0,0,3,4,16,46,116,47,105,40,21,19,21,3,418
UCL115023,3,0,12,3,0,3,4,3,0,34,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,9,0,0,3,0,0,0,3,3,0,10,53,130,119,73,69,33,22,35,5,530
UCL115024,3,0,7,0,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,9,0,0,3,0,0,0,3,3,0,13,56,101,57,40,35,15,16,23,12,352
UCL115025,11,0,28,10,9,3,6,3,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,3,0,0,9,3,0,19,79,122,210,76,93,38,111,52,11,800
UCL115026,0,0,16,6,6,9,0,3,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,3,0,13,83,200,120,82,63,36,14,32,6,629
UCL115027,6,0,17,4,3,3,4,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,3,8,0,3,0,3,0,20,57,112,82,73,42,30,10,36,9,449
UCL115028,0,0,13,5,0,0,0,3,0,20,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,3,0,3,0,4,0,15,14,29,40,35,28,13,23,16,4,202
UCL115029,5,0,15,5,6,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,9,0,3,4,5,3,0,0,3,0,20,93,182,122,88,97,35,24,31,8,682
UCL115030,3,0,11,3,3,0,0,3,0,24,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,15,0,4,3,3,0,0,3,0,3,15,99,247,117,76,67,26,14,41,9,699
UCL115031,5,3,19,4,12,4,0,0,0,59,0,0,0,0,0,0,0,0,0,0,5,3,8,0,4,0,0,0,0,19,3,5,6,8,8,3,3,0,3,41,276,331,217,110,209,50,32,32,19,1279
UCL115032,0,0,11,3,6,8,5,3,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,10,3,3,4,0,27,53,75,127,67,67,34,48,45,4,515
UCL115033,5,0,16,11,8,8,3,3,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,7,0,0,0,3,3,3,16,83,275,169,125,117,43,43,54,8,917
UCL115034,3,0,12,8,3,3,0,11,0,36,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,10,0,3,5,3,3,3,0,5,3,25,87,177,141,125,73,54,24,64,8,757
UCL115035,0,0,6,6,0,7,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,7,0,3,0,0,0,15,64,157,48,54,61,24,10,14,3,440
UCL115036,3,0,0,3,0,3,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,10,40,70,52,53,30,17,18,26,9,312
