UCL_CODE_2016,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
UCL115022,4,23,3,10,3,0,0,0,0,43,11,35,0,6,0,0,0,0,0,51,9,4,0,6,13,3,0,7,0,50,3,11,0,31,5,3,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,12,22,82,3,59,32,12,0,13,0,226,0,8,0,4,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,9,6,0,18,4,3,0,7,0,0,41,4,0,11,0,0,0,3,3,0,21,7,3,0,0,0,3,0,3,0,18,3,27,3,9,4,0,3,0,0,53,11,47,0,11,0,0,0,3,0,68,13,10,3,10,19,9,3,7,0,69,3,14,0,52,5,3,0,3,0,82,0,0,0,0,0,3,0,0,0,10
UCL115023,0,17,0,12,3,3,0,0,0,43,4,29,0,10,0,0,0,0,0,41,3,7,0,7,27,6,0,0,0,57,5,7,0,14,8,4,0,3,0,47,3,0,0,3,0,3,0,0,0,12,0,0,8,3,0,3,0,3,0,22,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,6,16,77,12,51,51,20,0,11,0,240,3,9,3,0,0,0,0,0,0,13,0,7,5,3,0,0,0,0,0,10,7,10,56,3,5,3,9,9,0,97,6,7,31,3,4,0,0,9,0,56,0,4,5,0,3,0,4,4,0,18,0,21,0,19,3,3,0,0,0,51,4,42,0,7,0,0,0,0,0,59,20,13,0,9,39,9,0,3,0,90,9,14,0,26,6,4,0,3,0,64,7,5,3,3,0,3,0,0,0,22
UCL115024,3,10,0,6,0,0,0,0,0,25,3,23,0,0,0,0,0,0,0,27,8,3,0,0,17,5,0,0,3,39,5,18,0,7,3,4,5,0,0,41,3,13,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,9,27,70,7,25,35,11,3,3,3,181,0,5,0,4,0,0,0,0,0,8,3,0,0,0,3,0,0,0,0,7,12,3,16,0,0,0,10,0,0,50,5,3,9,0,0,0,4,3,3,23,3,3,3,3,0,0,0,5,0,20,3,12,0,12,5,0,0,0,0,36,3,29,3,0,0,0,0,0,0,41,10,4,3,0,19,5,0,3,3,48,5,17,3,17,3,4,5,0,0,56,9,10,5,0,0,0,0,0,0,24
UCL115025,0,25,3,13,9,4,3,0,0,61,7,36,0,6,0,0,0,0,0,48,13,8,0,10,50,19,5,6,0,118,0,11,0,16,7,0,0,0,0,44,0,0,0,0,4,0,0,0,0,8,5,0,19,5,10,3,3,3,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,7,31,86,34,58,85,31,17,22,3,359,0,8,0,0,0,0,0,4,0,15,0,3,0,0,0,0,0,3,0,7,21,11,145,5,3,0,52,18,9,272,6,0,12,0,0,0,12,7,0,37,3,4,7,0,3,0,7,0,0,21,0,28,3,16,9,4,8,3,0,68,6,40,0,6,0,0,3,0,0,65,32,13,0,10,55,27,9,12,0,159,0,15,8,27,10,0,0,3,0,57,0,0,0,0,4,0,0,0,0,9
UCL115026,6,43,3,11,8,0,0,0,0,68,0,46,0,10,4,0,0,0,0,65,18,6,0,9,28,14,0,3,0,79,3,12,0,18,9,3,0,0,0,53,0,4,0,0,3,0,0,0,0,9,0,0,3,7,6,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,27,123,12,55,62,24,0,10,3,326,3,4,0,0,7,0,0,0,0,12,3,7,0,0,0,0,0,0,0,6,8,9,33,3,0,0,10,4,4,74,18,3,46,3,3,3,0,5,0,89,3,5,9,3,3,0,0,0,0,21,4,57,3,14,8,0,0,0,0,87,3,69,0,7,4,0,0,0,0,95,30,17,3,12,28,19,0,3,0,104,5,20,4,33,12,3,0,4,0,83,3,8,4,0,3,0,0,0,0,12
UCL115027,4,18,0,15,3,3,0,3,0,47,4,15,3,4,5,4,0,0,0,38,12,5,0,5,14,5,0,4,0,44,6,12,0,6,11,0,0,0,0,39,3,12,4,3,3,0,0,3,0,25,3,0,7,4,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,3,0,8,33,63,16,52,35,17,0,14,6,236,0,4,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,5,3,20,0,0,4,3,3,0,47,3,0,18,0,0,4,0,4,0,35,0,0,3,4,0,0,0,3,0,9,4,28,0,17,4,3,0,4,0,67,3,29,3,4,5,4,0,0,0,50,18,5,3,8,12,5,0,3,0,64,11,15,3,15,11,3,0,6,0,64,0,14,5,3,9,0,0,7,0,35
UCL115028,0,8,0,6,0,0,0,0,0,22,0,6,0,0,0,0,0,0,0,10,3,0,0,0,11,6,0,0,0,26,0,0,0,11,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,5,9,19,4,24,20,14,0,9,0,98,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,4,19,0,3,0,12,5,4,48,0,0,5,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,7,0,12,0,10,0,0,0,0,0,28,0,12,0,0,0,0,0,0,0,12,4,0,0,0,11,5,3,0,0,30,0,0,0,13,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,3
UCL115029,4,43,3,6,5,4,0,0,0,70,6,26,0,4,3,0,0,0,0,48,8,9,3,9,37,14,3,4,0,81,3,21,0,19,21,3,0,0,0,62,0,10,0,4,7,0,0,0,0,14,3,0,4,3,6,0,0,3,0,17,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,8,0,3,0,3,3,0,0,0,0,12,34,111,15,51,85,27,6,14,0,336,0,6,0,0,0,0,0,0,0,14,4,7,0,0,0,0,0,0,0,8,14,7,50,3,5,3,9,9,0,100,7,0,31,0,3,0,3,0,0,48,4,4,8,3,0,3,3,5,3,33,11,58,3,9,5,4,0,0,0,90,4,32,0,8,3,0,0,0,0,56,23,18,9,6,41,13,4,4,3,129,7,38,0,34,22,3,0,0,0,107,3,8,0,3,7,0,0,3,0,28
UCL115030,3,31,3,14,3,0,0,0,0,54,3,39,0,4,3,0,0,0,0,48,13,9,0,3,26,8,0,0,0,63,9,30,0,21,3,0,0,3,0,66,7,23,0,4,4,3,0,0,0,37,0,0,5,4,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,6,34,146,22,57,47,16,0,9,3,331,0,11,3,0,0,0,0,3,0,22,0,10,0,0,0,0,0,0,0,15,8,12,47,4,6,3,8,5,0,101,15,10,36,3,3,0,0,11,0,81,0,3,12,0,0,0,0,3,0,18,4,43,4,17,3,0,0,0,0,69,7,51,0,6,3,3,0,0,0,68,29,26,0,5,33,8,0,9,0,113,10,43,0,28,6,3,3,3,0,100,11,30,3,4,4,3,0,3,0,58
UCL115031,12,43,0,8,7,0,0,3,0,69,10,58,0,7,10,0,0,0,0,85,49,22,4,12,74,15,0,0,0,181,21,33,0,30,30,8,0,0,4,123,3,10,0,0,9,0,0,0,0,19,3,0,11,4,12,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,7,7,3,0,0,3,17,122,181,28,71,148,33,3,5,10,605,18,19,4,0,5,3,0,0,0,53,8,25,3,4,5,4,0,4,0,53,27,26,83,4,20,4,13,4,0,191,13,5,66,0,4,0,3,4,0,100,9,9,13,0,3,0,4,8,0,47,19,47,0,6,5,0,0,3,0,85,11,76,6,10,7,0,0,0,0,109,97,37,5,14,91,18,0,3,7,280,47,64,0,49,38,8,3,0,7,219,4,12,3,0,10,0,0,3,0,31
UCL115032,3,18,0,11,0,3,0,0,0,41,0,15,0,8,6,0,0,0,0,31,10,7,0,3,27,10,0,0,0,56,8,9,0,26,9,7,0,3,0,58,0,0,0,0,0,0,0,0,0,3,0,0,4,3,6,8,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,11,24,56,11,59,55,27,0,12,3,243,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,12,5,60,0,7,4,20,15,0,126,3,0,36,0,0,0,9,4,0,54,0,3,4,0,0,0,0,4,0,20,3,18,0,12,0,3,0,3,0,44,0,26,3,8,6,0,0,0,0,38,21,7,3,3,27,12,7,7,0,79,8,14,0,34,7,4,0,3,0,74,0,0,0,0,0,0,0,0,0,5
UCL115033,0,47,0,19,0,3,0,3,0,78,0,64,0,16,4,3,0,0,0,86,12,11,0,6,70,13,0,3,0,120,3,19,0,40,14,4,0,3,0,89,3,6,0,0,3,0,0,0,0,8,0,0,10,12,5,4,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,5,30,167,22,94,95,35,7,13,4,453,0,9,7,4,0,0,0,3,0,18,0,0,3,0,3,3,0,0,0,12,12,21,89,4,4,0,33,11,3,178,10,0,30,0,0,0,0,6,0,49,3,3,7,0,3,0,0,4,0,23,5,72,0,25,0,4,0,3,0,111,6,92,3,16,4,3,0,0,0,122,25,29,0,16,77,19,0,3,0,174,10,39,4,56,12,3,0,4,0,136,5,5,0,0,3,0,0,0,0,10
UCL115034,6,35,3,18,0,8,0,0,0,67,4,32,0,12,0,0,0,0,0,50,13,14,0,7,43,16,0,6,0,100,8,16,0,37,13,3,0,0,0,75,3,0,0,0,0,3,0,0,0,15,3,0,9,3,3,3,0,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,3,0,0,0,0,9,36,116,12,86,66,34,0,20,0,371,3,7,0,0,0,0,0,0,0,17,3,3,0,0,0,0,0,0,0,7,17,23,65,13,4,7,9,20,3,150,15,4,39,0,3,0,0,4,0,67,0,0,11,0,0,3,0,3,0,18,10,42,3,21,0,5,3,0,0,88,7,43,0,12,3,0,0,0,0,73,17,21,0,10,47,20,3,7,0,135,6,21,0,51,13,3,0,3,0,107,3,10,0,3,0,3,0,0,0,19
UCL115035,0,33,3,3,0,0,0,0,0,39,7,32,0,4,0,0,0,0,0,44,7,4,0,4,33,3,0,0,0,52,3,11,0,16,6,0,0,0,0,33,0,0,0,3,0,3,0,0,0,8,0,0,0,3,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,6,20,83,3,38,47,13,0,3,0,209,7,4,0,3,0,0,0,0,0,18,0,0,0,0,3,0,0,0,0,10,17,17,30,5,4,3,6,3,0,79,6,0,7,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,3,0,46,4,7,0,0,0,0,0,57,5,56,0,6,4,0,0,0,0,73,12,13,0,5,38,8,0,7,0,82,5,18,0,15,10,0,0,0,0,45,0,9,0,3,0,0,0,0,0,15
UCL115036,0,22,0,12,4,5,0,0,0,44,0,17,0,5,3,0,0,0,0,24,7,3,0,3,14,4,0,3,0,38,0,3,0,11,3,3,0,5,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,57,3,39,24,9,0,13,0,161,0,4,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,4,0,0,23,0,0,0,7,5,3,46,8,0,12,0,0,3,3,4,0,30,7,0,0,3,0,0,0,5,0,18,0,25,0,15,4,5,0,0,0,50,4,18,0,9,3,0,0,0,0,34,11,8,4,8,14,6,4,3,0,54,3,9,3,18,4,4,0,5,0,41,0,3,0,0,0,0,0,0,0,3
UCL115037,3,27,0,23,8,3,0,0,0,74,5,43,0,10,5,0,0,0,0,65,14,12,8,12,49,15,3,3,0,111,6,11,0,33,8,0,0,3,0,49,0,3,0,0,3,0,0,0,0,9,0,0,11,4,5,3,3,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,4,0,3,3,0,0,4,0,13,36,109,33,91,78,24,10,20,0,400,3,18,0,0,0,0,0,0,0,24,0,3,0,0,0,0,0,0,0,6,29,43,200,7,3,4,54,16,4,356,6,0,6,0,0,0,8,3,0,36,3,0,3,0,3,4,14,3,0,34,7,38,0,27,8,3,3,0,0,94,6,66,6,8,5,0,4,0,0,97,29,17,12,15,48,15,8,3,0,145,3,15,0,36,7,0,6,3,0,67,0,3,0,0,3,0,0,0,0,7
UCL115038,4,20,5,8,3,0,0,0,0,41,0,12,0,8,0,3,0,3,0,31,7,6,0,4,20,10,0,5,0,54,4,9,0,22,7,3,0,3,0,47,0,0,0,3,4,0,0,0,0,7,4,0,3,0,4,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,21,64,9,53,49,19,0,13,3,217,0,0,0,3,3,0,0,0,0,8,0,0,0,0,3,0,0,0,0,3,6,4,41,5,3,3,11,8,0,92,3,0,26,0,0,0,0,0,0,37,0,0,4,0,3,0,6,5,0,23,4,24,5,8,3,0,0,0,0,42,3,20,0,8,4,3,0,3,0,42,17,12,4,6,23,13,0,4,0,74,4,13,3,24,7,5,0,5,0,64,0,3,0,3,4,3,0,0,0,14
UCL115039,6,13,0,15,0,4,0,0,0,37,5,51,0,10,3,3,0,0,0,75,6,3,0,7,24,8,0,4,7,55,5,9,0,31,4,7,0,0,0,57,0,0,0,3,0,0,0,0,0,3,3,0,4,9,3,4,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,5,4,19,20,91,12,79,40,29,6,15,7,297,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,18,3,62,4,5,4,31,13,0,133,5,0,12,4,0,0,0,3,0,26,9,3,11,0,0,0,4,3,0,36,6,26,0,11,0,4,0,0,0,43,8,60,0,10,4,3,0,0,0,86,15,7,4,7,24,20,0,9,6,88,7,15,0,38,4,7,0,3,0,73,0,0,0,3,0,0,0,0,0,3
UCL115040,3,19,3,12,0,3,0,4,0,42,3,32,0,10,0,0,0,0,0,52,4,0,0,0,19,9,0,0,0,37,3,11,0,15,5,3,0,0,0,42,0,0,0,3,0,0,0,0,0,4,0,0,4,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,3,13,18,71,10,46,34,16,0,11,0,211,0,0,4,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,4,5,10,39,7,5,3,12,14,0,85,3,0,8,0,0,0,0,0,0,24,5,3,7,0,0,0,3,7,0,28,3,21,3,11,0,3,0,4,0,44,3,47,0,6,0,0,0,0,0,63,6,5,0,3,22,8,3,3,0,56,8,12,0,31,3,6,0,0,3,58,0,0,0,3,0,0,0,3,0,8
UCL115041,5,33,3,19,3,3,0,0,0,67,4,37,0,12,0,0,0,0,0,53,3,8,3,4,21,7,0,0,0,46,0,9,0,21,4,0,0,0,0,45,0,0,0,0,0,0,0,0,0,3,0,0,3,4,4,0,0,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,6,0,14,16,95,15,67,45,12,0,14,0,257,0,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,5,4,32,0,9,3,8,12,0,85,0,0,10,0,3,3,3,8,0,21,11,3,4,0,0,3,6,4,0,38,7,41,3,15,3,3,0,0,0,72,8,46,0,10,0,3,0,0,0,70,7,8,4,12,22,15,3,3,0,71,3,20,0,30,4,0,0,0,0,59,0,0,0,0,0,0,0,0,0,4
UCL115042,3,23,0,11,3,0,0,0,0,47,9,27,0,8,0,0,0,0,0,49,3,3,0,4,24,10,0,0,0,47,0,5,0,26,4,3,0,0,0,49,0,0,0,0,0,0,0,0,0,3,3,0,3,3,4,0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,4,0,0,3,3,0,3,0,21,20,71,7,62,48,15,0,14,0,242,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6,3,37,0,0,4,8,6,3,65,8,0,21,0,0,0,0,4,0,32,7,5,5,4,0,3,0,4,0,23,3,35,0,16,8,0,0,0,0,62,9,36,0,10,0,0,0,0,0,55,9,3,4,4,24,15,4,0,0,61,3,8,0,28,4,4,0,7,0,62,0,0,0,0,0,0,0,0,0,3
UCL115043,0,20,0,7,3,0,0,4,0,35,3,23,0,6,4,0,0,0,0,43,0,4,0,6,18,6,0,0,0,38,3,10,0,21,7,0,0,0,0,38,0,0,0,5,0,0,0,0,0,8,0,0,3,3,0,0,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,11,61,13,47,33,15,0,12,4,201,0,3,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,3,7,36,0,3,3,4,9,0,74,0,0,20,0,0,0,3,9,0,39,11,3,4,0,0,0,0,0,0,20,0,23,0,13,4,0,0,4,0,43,3,32,0,4,4,0,0,0,0,51,8,13,0,4,22,9,0,3,0,55,9,14,0,25,10,0,0,0,0,53,0,3,0,3,0,0,0,3,0,12
UCL115044,4,23,3,15,3,3,0,3,0,55,3,23,0,3,0,0,0,0,0,37,3,3,0,3,22,7,0,0,0,45,3,8,4,25,9,0,0,3,0,46,0,4,0,0,0,0,0,0,0,7,0,0,12,3,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,7,19,65,22,61,37,23,3,12,3,238,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,10,3,42,3,3,4,13,13,0,83,8,0,34,0,5,0,3,4,3,64,10,3,10,3,0,4,3,6,0,36,4,33,3,23,3,3,0,4,0,68,7,31,3,4,0,0,0,0,0,51,11,13,0,3,24,16,3,0,0,64,0,10,4,36,9,0,0,3,0,62,0,4,3,0,0,0,0,0,0,5
UCL115045,0,40,4,14,7,0,0,3,0,72,3,36,0,15,7,0,0,0,0,58,14,6,0,6,35,18,0,12,0,98,3,21,3,25,6,0,0,3,0,66,0,6,0,3,3,3,0,0,0,17,0,0,4,4,0,0,0,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,3,3,3,0,3,0,13,26,123,22,81,67,28,7,23,3,365,0,5,0,0,0,0,0,0,0,13,3,0,0,0,4,0,0,0,0,9,16,16,75,9,7,3,15,16,7,161,13,4,60,5,0,0,4,3,3,89,0,3,7,3,0,0,0,7,0,21,0,53,9,18,7,0,0,3,0,94,3,57,0,14,7,0,0,0,0,83,21,18,7,6,36,25,3,11,3,134,7,23,8,42,8,0,0,4,0,89,0,13,0,3,3,3,0,0,0,25
UCL115046,4,6,0,11,3,0,0,0,0,27,3,17,0,3,0,0,0,0,0,21,4,3,0,3,9,0,0,3,0,24,0,0,0,9,0,3,0,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,33,6,30,19,4,3,9,0,113,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,7,3,26,3,0,3,7,3,0,49,3,0,9,0,0,0,0,0,0,16,3,4,3,0,0,0,0,4,0,21,4,8,0,11,3,0,0,0,0,29,3,21,0,3,0,0,0,0,0,30,3,4,0,3,9,0,0,3,0,32,0,3,0,14,0,5,0,7,0,26,0,0,0,0,0,0,0,0,0,4
UCL115047,0,24,5,7,0,0,0,0,0,40,0,18,0,7,3,0,0,3,0,34,5,9,0,4,21,12,0,0,0,44,0,8,0,20,0,0,0,0,0,33,0,0,0,0,3,0,0,0,0,4,3,3,12,3,0,6,0,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,10,63,20,51,29,15,0,13,0,207,0,4,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,3,5,4,26,0,4,0,11,7,0,54,3,0,19,0,0,0,0,6,0,34,5,3,5,0,0,3,0,3,0,22,0,30,5,11,0,0,0,3,0,46,5,27,0,7,3,0,0,3,0,48,12,9,3,4,19,12,0,3,0,65,0,14,0,25,5,0,0,3,0,53,0,0,0,0,3,0,0,0,0,7
