UCL_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
UCL112003,..,8,360,757,978,1093,974,408,75,4657,..,68,221,283,287,206,136,32,4,1231,..,0,13,25,71,66,21,8,13,215,2359,..,..,..,..,..,..,..,..,2359,..,603,..,..,..,..,..,..,..,603,..,439,252,124,63,27,5,0,0,908,..,36,26,22,17,24,19,13,14,167,..,41,25,20,28,15,11,0,0,133,..,69,88,74,87,109,73,18,3,524,..,43,73,178,250,405,346,152,45,1502,45,64,45,42,52,50,31,4,3,333,2403,1373,1103,1514,1842,1983,1617,641,154,12628,..,20,480,902,1040,1139,828,266,38,4707,..,88,267,324,279,225,99,12,0,1292,..,32,125,274,334,188,87,55,40,1126,2264,..,..,..,..,..,..,..,..,2264,..,612,..,..,..,..,..,..,..,612,..,326,157,54,38,28,10,0,0,608,..,29,8,16,18,50,62,40,25,240,..,31,16,9,15,7,3,0,0,73
UCL112004,..,9,259,573,727,800,1053,683,158,4262,..,35,121,123,116,100,76,28,4,601,..,0,4,20,31,17,15,13,11,109,1630,..,..,..,..,..,..,..,..,1630,..,381,..,..,..,..,..,..,..,381,..,341,150,82,65,35,11,0,0,678,..,35,13,8,17,6,20,8,12,122,..,10,36,3,5,6,6,3,0,74,..,28,39,20,23,30,38,9,3,183,..,11,50,66,117,146,190,130,53,759,25,33,26,26,26,30,29,9,0,208,1659,895,702,918,1126,1160,1430,887,241,9016,..,26,350,657,815,892,1034,501,69,4347,..,57,126,132,122,75,55,17,0,586,..,17,54,141,211,103,52,58,41,676,1523,..,..,..,..,..,..,..,..,1523,..,435,..,..,..,..,..,..,..,435,..,247,89,28,37,27,8,0,0,439,..,19,12,12,13,26,32,27,21,171,..,19,21,9,0,3,0,0,0,48
UCL112005,..,25,336,530,561,671,605,303,47,3077,..,123,269,144,129,77,32,12,4,781,..,13,23,49,65,47,14,11,5,223,2001,..,..,..,..,..,..,..,..,2001,..,358,..,..,..,..,..,..,..,358,..,452,195,98,63,35,3,0,0,849,..,63,45,23,16,30,24,10,6,213,..,46,34,24,12,9,4,0,0,133,..,49,49,33,50,39,38,6,0,269,..,32,113,130,161,214,175,88,39,942,49,62,56,40,38,23,19,11,0,293,2048,1227,1114,1068,1091,1141,901,445,105,9137,..,39,455,585,607,684,511,223,26,3128,..,183,254,133,117,63,23,3,3,790,..,118,288,273,261,98,54,45,19,1150,1956,..,..,..,..,..,..,..,..,1956,..,360,..,..,..,..,..,..,..,360,..,326,105,30,22,19,0,0,0,506,..,50,16,9,39,49,46,29,19,254,..,47,20,9,10,3,3,0,0,88
UCL112006,..,34,700,1232,1387,1577,1566,897,260,7656,..,176,497,352,299,225,137,42,3,1722,..,14,41,99,148,92,40,22,19,467,4080,..,..,..,..,..,..,..,..,4080,..,905,..,..,..,..,..,..,..,905,..,814,348,149,135,86,14,0,0,1545,..,144,49,30,34,45,33,21,17,371,..,101,96,40,38,32,8,3,0,330,..,195,183,89,99,135,79,39,11,828,..,67,214,247,369,521,435,254,107,2219,101,113,111,79,81,74,57,19,15,662,4187,2567,2245,2314,2594,2788,2371,1291,428,20782,..,71,956,1368,1532,1628,1406,712,110,7788,..,285,507,332,317,223,83,24,3,1780,..,89,356,616,556,267,118,108,81,2192,3984,..,..,..,..,..,..,..,..,3984,..,904,..,..,..,..,..,..,..,904,..,515,205,85,62,60,15,3,0,948,..,92,44,14,46,92,82,62,46,476,..,102,45,17,24,14,6,3,0,210
UCL112007,..,48,798,1020,958,961,761,452,118,5114,..,220,431,236,211,108,56,13,3,1275,..,14,29,70,97,65,20,13,4,316,3438,..,..,..,..,..,..,..,..,3438,..,559,..,..,..,..,..,..,..,559,..,590,248,108,59,30,9,0,0,1033,..,134,70,28,33,38,15,14,7,336,..,83,67,37,27,11,9,0,0,237,..,136,164,36,52,37,27,9,10,464,..,85,227,155,275,253,211,134,61,1404,84,89,88,58,36,26,24,13,10,428,3518,1952,2120,1744,1735,1530,1128,654,206,14596,..,86,1019,1038,1015,1007,676,341,59,5229,..,288,465,234,178,126,44,6,0,1348,..,124,355,418,339,160,55,71,32,1549,3277,..,..,..,..,..,..,..,..,3277,..,613,..,..,..,..,..,..,..,613,..,431,116,35,43,28,6,0,0,672,..,111,43,27,42,74,60,42,18,413,..,80,49,11,7,7,3,0,0,163
UCL112008,..,22,417,611,674,701,588,328,91,3438,..,100,251,163,127,85,47,7,3,790,..,3,21,46,62,38,20,11,12,214,1967,..,..,..,..,..,..,..,..,1967,..,387,..,..,..,..,..,..,..,387,..,480,180,69,63,36,6,0,0,827,..,60,14,18,13,20,27,7,4,173,..,33,37,19,16,8,0,0,0,110,..,77,81,21,34,33,20,17,8,289,..,47,134,146,221,241,222,125,44,1188,57,65,47,40,25,18,23,11,3,282,2025,1272,1183,1137,1248,1179,950,503,164,9663,..,52,538,669,718,693,519,243,46,3475,..,147,283,141,129,89,31,11,0,835,..,64,186,225,228,92,61,44,37,939,1805,..,..,..,..,..,..,..,..,1805,..,361,..,..,..,..,..,..,..,361,..,304,94,24,34,16,4,0,0,488,..,46,18,9,17,40,47,28,13,214,..,33,18,5,0,4,3,0,0,68
UCL112009,..,32,396,638,679,770,647,381,126,3665,..,148,290,218,176,134,50,11,0,1026,..,3,31,65,98,65,35,9,6,320,2354,..,..,..,..,..,..,..,..,2354,..,506,..,..,..,..,..,..,..,506,..,424,215,118,105,42,11,0,0,909,..,69,45,19,26,38,24,12,8,243,..,81,43,39,33,26,5,0,0,234,..,175,159,78,87,81,45,10,5,640,..,52,127,174,290,367,242,140,59,1458,48,84,87,37,43,47,23,3,8,375,2402,1568,1389,1390,1542,1574,1076,576,210,11719,..,59,547,656,721,796,581,308,54,3716,..,200,294,223,187,118,34,11,0,1058,..,51,255,386,382,152,70,65,53,1412,2227,..,..,..,..,..,..,..,..,2227,..,547,..,..,..,..,..,..,..,547,..,323,115,45,48,19,6,0,0,557,..,71,22,9,35,45,51,28,18,278,..,63,43,11,16,10,3,0,0,155
UCL112010,..,3,35,84,70,81,71,35,8,382,..,5,30,16,15,4,0,0,0,78,..,0,0,0,11,3,0,0,0,14,244,..,..,..,..,..,..,..,..,244,..,42,..,..,..,..,..,..,..,42,..,40,17,3,3,0,0,0,0,64,..,5,6,0,3,0,0,0,0,9,..,3,3,0,0,3,0,0,0,9,..,3,7,0,3,3,0,0,0,14,..,3,16,10,24,14,15,3,0,91,3,10,5,0,4,4,3,0,0,33,244,113,121,116,142,113,94,40,8,984,..,0,59,89,83,77,60,24,4,402,..,17,28,29,9,4,0,0,0,87,..,0,18,17,18,4,4,0,0,61,221,..,..,..,..,..,..,..,..,221,..,35,..,..,..,..,..,..,..,35,..,26,6,3,0,0,0,0,0,42,..,3,3,0,3,0,3,3,0,15,..,0,0,0,0,0,0,0,0,0
UCL112011,..,46,567,723,786,871,939,516,124,4575,..,174,363,209,161,110,63,17,3,1104,..,10,32,63,108,53,36,12,5,314,2781,..,..,..,..,..,..,..,..,2781,..,504,..,..,..,..,..,..,..,504,..,575,253,126,58,25,0,0,0,1032,..,99,46,18,17,52,18,14,7,277,..,59,52,29,30,19,8,3,0,203,..,63,88,38,61,64,44,14,3,376,..,57,158,172,272,354,264,192,62,1542,57,85,96,55,35,55,32,16,3,439,2835,1674,1651,1433,1529,1596,1415,797,216,13141,..,88,741,782,800,973,835,387,55,4664,..,282,372,191,157,102,48,18,3,1171,..,91,283,387,352,172,73,37,32,1418,2741,..,..,..,..,..,..,..,..,2741,..,514,..,..,..,..,..,..,..,514,..,376,120,49,29,31,0,0,0,601,..,64,24,16,25,66,57,28,24,306,..,54,22,11,13,7,7,0,0,115
UCL112012,..,48,856,1217,1094,1086,859,522,124,5803,..,192,449,275,220,112,56,6,4,1318,..,5,28,77,79,61,29,17,10,305,3818,..,..,..,..,..,..,..,..,3818,..,600,..,..,..,..,..,..,..,600,..,620,243,98,75,50,3,0,0,1097,..,82,52,28,24,36,21,11,10,253,..,54,45,25,28,15,3,3,0,160,..,166,169,51,54,60,29,15,0,539,..,77,242,251,291,322,257,174,74,1703,76,90,96,69,53,39,33,16,3,483,3900,1933,2186,2089,1914,1787,1287,768,218,16084,..,95,1088,1248,1162,1067,799,393,59,5903,..,283,477,256,193,101,53,5,0,1363,..,124,311,415,366,134,64,71,55,1537,3524,..,..,..,..,..,..,..,..,3524,..,691,..,..,..,..,..,..,..,691,..,404,146,48,28,38,10,0,0,674,..,62,21,9,36,62,45,39,17,299,..,44,22,8,10,4,4,3,0,101
