UCL_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
UCL112003,10485,24804,326,514,203,341,533,859,368,548,95,137,9,9,6,10,483,704,3,3,3,5,0,5,25,39,28,48,60,105,11578,26520,2249,..,13826,26520
UCL112004,7179,17633,468,722,258,435,726,1160,211,326,0,0,0,0,0,6,210,338,35,45,0,0,3,7,18,33,51,84,52,105,8225,19319,1050,..,9277,19319
UCL112005,6558,17216,777,1361,102,164,887,1527,134,199,0,0,0,0,0,3,135,206,3,0,0,0,3,5,14,31,22,38,27,61,7631,19041,772,..,8399,19041
UCL112006,12339,32830,1727,3145,1169,2379,2889,5518,2017,3555,291,524,301,493,5,12,2614,4587,104,144,178,269,3,3,30,60,313,480,210,420,18365,43841,1925,..,20288,43841
UCL112007,10074,27095,908,1588,55,90,962,1673,1157,1810,17,20,0,0,0,0,1172,1828,26,79,3,4,4,3,56,176,88,263,55,110,12359,30965,1447,..,13798,30965
UCL112008,7095,17714,729,1178,124,236,852,1412,283,437,71,91,0,0,3,3,353,530,27,34,21,34,0,3,33,59,87,130,37,75,8421,19850,1022,..,9442,19850
UCL112009,8097,20774,1071,1683,459,778,1525,2467,630,1046,86,130,0,0,0,0,724,1179,127,162,34,58,0,3,14,22,171,246,49,95,10572,24749,896,..,11471,24749
UCL112010,689,1893,12,16,0,0,12,16,48,66,0,0,0,0,0,0,48,66,0,0,4,5,0,3,0,7,7,18,3,5,755,1996,102,..,858,1996
UCL112011,9398,24350,1093,1740,192,277,1287,2015,337,561,6,15,0,0,7,5,350,577,57,99,98,131,0,3,12,18,163,253,103,178,11298,27370,1120,..,12420,27370
UCL112012,11591,30244,1208,1908,198,331,1402,2236,488,718,39,55,17,24,3,4,545,799,14,25,3,5,0,0,9,22,33,53,121,213,13690,33550,1604,..,15298,33550
UCL112013,11728,30364,2246,3866,879,1724,3125,5586,1391,2095,524,838,973,1625,0,0,2881,4557,25,46,200,298,5,6,21,46,259,392,82,165,18070,41063,2109,..,20178,41063
UCL112014,10220,26100,1368,2095,345,556,1715,2654,319,516,24,32,13,26,0,0,357,575,9,11,25,47,0,6,274,746,308,809,78,215,12685,30361,1541,..,14229,30361
UCL112015,15023,39280,623,1004,178,308,801,1310,1993,3152,81,104,35,40,7,23,2115,3316,10,9,7,14,3,4,136,365,151,385,35,84,18116,44376,2084,..,20202,44376
UCL113001,3747,8995,1337,2401,1106,1988,2448,4388,336,552,149,260,55,91,3,3,546,906,120,173,253,375,0,0,16,26,389,570,29,51,7156,14905,717,..,7874,14905
UCL113002,3299,7872,309,476,266,452,571,929,559,898,21,31,28,37,4,5,609,969,25,32,37,60,3,3,3,11,68,103,24,49,4573,9924,2002,..,6572,9924
UCL113003,6760,15105,152,239,16,30,164,268,183,229,0,0,0,0,0,0,183,229,10,16,3,8,0,3,3,5,18,34,23,45,7142,15677,1846,..,8990,15677
UCL113004,1778,4386,121,185,4,9,126,191,169,279,0,0,0,0,0,0,169,279,3,4,36,50,0,0,15,33,53,92,6,18,2125,4957,313,..,2437,4957
UCL113005,5335,12358,1488,2485,218,420,1710,2902,600,945,304,483,405,703,0,0,1304,2132,41,59,74,115,0,0,41,75,154,255,73,124,8577,17773,2204,..,10783,17773
UCL113006,5189,13092,357,519,226,417,584,937,518,762,26,40,0,0,0,0,543,800,44,66,24,25,10,13,18,43,88,150,28,56,6436,15040,722,..,7159,15040
UCL113007,5052,14175,375,676,13,31,389,711,783,1673,20,23,0,0,7,17,805,1713,33,57,10,19,6,23,23,58,76,156,32,90,6348,16847,682,..,7032,16847
UCL113008,3193,8222,146,215,36,66,185,285,164,234,0,0,13,17,0,0,179,252,24,30,3,6,0,8,14,34,46,74,32,65,3640,8891,299,..,3934,8891
UCL113009,3664,9981,190,368,603,1222,790,1589,240,402,73,114,191,257,0,0,500,779,16,31,0,5,0,0,22,51,36,87,17,39,5013,12470,937,..,5947,12470
UCL113010,5418,14609,386,630,104,172,485,800,120,179,0,0,0,0,0,0,120,179,3,9,3,7,0,6,5,11,11,34,20,64,6054,15677,495,..,6551,15677
UCL113011,4029,9337,423,663,84,135,511,790,108,167,20,18,0,0,0,0,126,183,11,22,7,12,0,0,18,31,31,66,12,29,4715,10412,606,..,5321,10412
UCL113012,6172,15838,583,909,59,153,649,1059,96,204,5,5,12,20,6,3,122,238,3,5,0,4,3,4,3,3,9,19,22,36,6974,17196,1027,..,7998,17196
UCL113013,3444,8860,268,444,17,29,290,474,181,281,10,9,0,0,0,0,187,288,24,31,31,39,0,0,4,6,60,81,19,43,4001,9738,525,..,4526,9738
UCL113014,3385,8804,351,596,124,208,477,804,23,38,4,14,0,0,0,0,28,52,3,3,0,0,0,0,0,12,3,9,18,26,3920,9687,704,..,4621,9687
UCL113015,3395,8559,491,856,884,1989,1376,2849,185,285,98,160,278,471,0,0,565,920,9,15,8,11,0,3,6,7,18,33,39,71,5391,12427,2721,..,8113,12427
UCL113016,3894,10604,582,977,161,289,745,1262,55,68,0,0,0,0,3,7,54,72,68,95,53,79,0,8,11,27,134,204,21,41,4853,12183,369,..,5223,12183
UCL113017,3991,10768,314,598,178,296,490,897,247,386,0,3,0,0,0,0,254,391,40,52,5,7,10,15,3,3,54,80,30,55,4819,12179,546,..,5361,12179
UCL113018,3730,8869,140,250,22,34,160,287,44,79,0,0,0,0,0,0,44,79,18,29,26,30,3,3,0,4,49,73,3,14,3993,9325,1399,..,5389,9325
UCL113019,5675,14364,705,1033,43,83,751,1113,591,842,36,41,0,0,0,0,629,884,29,36,4,7,0,4,13,40,51,95,44,87,7155,16548,624,..,7780,16548
UCL113020,4599,10732,232,351,237,400,464,750,138,226,4,3,0,0,4,5,145,235,15,28,121,195,0,0,8,15,138,229,19,42,5370,11996,2049,..,7422,11996
UCL114001,1598,3901,378,603,53,83,427,685,36,55,0,0,0,0,0,0,36,55,7,10,0,0,0,0,0,3,9,12,10,24,2081,4679,154,..,2234,4679
UCL114002,1472,3803,71,170,133,341,207,507,3,4,0,0,0,0,0,0,4,8,9,12,81,121,0,3,5,4,92,147,23,33,1801,4495,449,..,2246,4495
UCL114003,2061,5388,296,624,233,547,532,1173,315,552,22,52,0,0,5,13,342,615,62,83,43,71,8,14,17,34,137,205,66,115,3137,7500,815,..,3949,7500
UCL114004,2343,5211,501,758,58,98,560,849,203,325,10,10,0,0,0,0,212,337,218,306,39,45,6,3,19,37,276,401,22,41,3419,6850,483,..,3899,6850
UCL114005,3227,8095,63,97,8,15,71,109,497,783,0,0,0,0,0,4,495,791,49,66,16,20,0,0,19,37,80,127,12,19,3891,9138,296,..,4186,9138
UCL114006,2253,5125,90,131,18,23,112,153,158,207,7,3,0,0,0,0,163,214,0,7,11,17,0,0,17,31,30,51,42,61,2589,5606,390,..,2983,5606
UCL114007,2143,4770,102,138,15,19,119,159,67,90,0,0,0,0,0,0,67,90,3,10,0,0,0,0,12,22,17,32,9,11,2352,5061,307,..,2664,5061
UCL114008,1884,4349,117,167,0,0,118,163,133,203,0,0,0,0,0,0,130,199,4,12,21,34,0,0,9,9,29,57,11,29,2177,4801,375,..,2548,4801
UCL114009,2863,6822,122,175,3,8,128,188,218,293,7,11,0,0,0,0,224,301,4,4,0,0,0,0,3,14,12,25,17,34,3242,7365,339,..,3576,7365
UCL114010,2344,5413,57,89,5,11,57,105,232,319,0,0,0,0,0,0,232,319,17,20,3,6,0,0,13,15,28,43,33,68,2700,5945,298,..,2996,5945
UCL114011,2354,5731,113,163,6,9,115,172,135,173,4,3,0,0,0,0,139,175,15,20,4,14,7,17,23,51,48,100,10,25,2675,6194,345,..,3015,6194
UCL114012,1866,4162,34,44,3,4,31,41,115,166,0,0,0,0,0,0,115,166,8,5,4,4,0,0,3,5,12,15,40,94,2064,4480,314,..,2377,4480
UCL114013,2635,6545,127,208,32,42,157,247,187,261,18,31,38,49,0,0,241,344,5,7,3,3,0,0,9,26,17,34,22,49,3075,7218,356,..,3435,7218
UCL114014,1627,5052,25,49,44,127,73,175,199,470,43,73,0,0,0,0,246,548,0,0,3,3,0,0,10,19,8,25,3,7,1958,5802,114,..,2071,5802
UCL114015,3134,7745,141,243,26,34,164,279,350,506,0,0,0,0,0,0,351,510,23,29,11,22,0,0,11,18,39,70,49,93,3739,8695,337,..,4082,8695
UCL114016,2137,5411,163,272,21,29,183,293,189,315,7,11,0,0,0,0,194,320,3,8,4,6,0,0,8,14,22,31,22,38,2556,6101,335,..,2889,6101
UCL114017,1465,4075,280,628,289,678,570,1309,86,206,3,5,0,0,0,0,89,209,6,25,0,0,0,0,5,6,10,26,19,30,2152,5651,365,..,2520,5651
UCL114018,2780,8174,34,64,0,0,34,64,5,20,0,0,0,0,3,3,11,23,0,0,0,3,0,3,6,11,5,16,8,21,2839,8300,148,..,2981,8300
UCL114019,2112,4899,327,514,345,601,671,1115,257,412,18,32,0,4,0,0,282,445,3,9,3,4,8,10,16,22,28,47,32,70,3129,6566,915,..,4037,6566
UCL114020,2073,5389,89,180,14,32,108,207,429,642,0,0,0,0,3,4,432,651,26,43,6,15,0,0,29,69,58,125,15,23,2677,6402,379,..,3055,6402
UCL114021,2519,6420,274,411,31,76,302,485,78,125,0,0,0,0,0,0,79,125,43,57,0,0,0,0,11,19,51,78,28,53,2993,7158,318,..,3312,7158
UCL114022,2770,7374,178,300,58,103,237,407,375,527,24,27,0,0,0,0,397,549,30,41,0,3,0,0,4,6,33,50,21,53,3457,8429,256,..,3715,8429
UCL114023,1956,4395,157,218,27,67,188,291,313,509,48,82,24,34,0,0,382,631,54,88,183,250,0,0,17,33,250,372,11,16,2790,5700,387,..,3178,5700
UCL114024,1814,4679,81,133,25,38,102,171,207,290,0,0,0,0,0,0,207,290,10,15,3,5,0,0,4,16,18,41,12,17,2154,5195,312,..,2462,5195
UCL114025,3195,8105,120,218,13,18,138,233,265,366,8,12,0,0,0,3,273,382,6,11,3,7,6,8,9,17,23,48,31,67,3666,8830,518,..,4181,8830
UCL114026,1720,4955,211,437,211,466,422,901,56,104,32,53,0,0,0,0,83,156,34,63,3,6,0,0,0,3,43,77,16,44,2283,6131,267,..,2550,6131
UCL114027,1280,3275,406,651,251,540,654,1196,75,106,65,106,45,79,0,0,186,287,3,4,24,35,0,0,0,3,29,41,15,27,2170,4822,698,..,2860,4822
UCL114028,1739,3935,163,238,16,27,181,264,161,293,29,42,0,0,0,0,186,337,23,41,0,0,0,0,3,6,27,46,13,33,2150,4611,568,..,2717,4611
UCL114029,2104,5358,15,29,9,22,26,53,24,40,0,0,0,0,0,0,24,40,0,0,3,5,12,26,0,0,16,28,0,0,2167,5475,485,..,2654,5475
UCL114030,2095,5082,79,101,24,36,106,134,113,155,0,0,0,0,0,0,113,155,0,9,0,0,0,0,0,0,3,5,15,21,2323,5403,265,..,2595,5403
UCL114031,2176,5672,227,428,13,22,238,450,119,161,0,0,0,0,0,0,119,161,0,3,3,4,0,0,14,36,22,45,3,9,2558,6335,159,..,2720,6335
UCL114032,1956,4367,193,321,79,150,274,474,208,345,51,84,10,9,0,0,273,445,19,35,75,108,0,3,15,20,107,171,12,25,2618,5473,645,..,3265,5473
UCL114033,653,1491,42,65,0,4,43,70,100,145,0,0,0,0,0,0,100,145,4,4,8,7,0,0,3,11,9,19,4,7,815,1737,326,..,1134,1737
UCL114034,1766,4553,196,290,9,14,203,307,20,38,0,0,0,0,0,0,20,38,6,0,4,4,0,0,9,13,9,17,7,10,2007,4925,213,..,2228,4925
UCL114035,2325,5760,199,298,3,7,202,304,257,380,0,0,0,0,0,0,257,380,3,9,0,0,0,0,0,0,7,8,8,11,2792,6464,359,..,3152,6464
UCL115001,605,1569,8,11,0,0,8,11,44,72,0,0,0,0,0,0,44,72,0,0,42,56,0,0,3,0,40,59,3,6,706,1718,96,..,800,1718
UCL115002,429,1363,5,5,3,8,5,14,4,5,0,0,0,0,0,0,9,9,0,0,0,0,0,4,3,5,3,10,0,0,449,1392,30,..,480,1392
UCL115003,553,1333,5,17,5,16,12,32,5,25,0,0,0,0,0,0,5,25,22,37,35,68,16,33,4,11,78,143,0,4,655,1534,100,..,755,1534
UCL115004,402,956,13,19,0,0,13,19,25,39,0,0,0,0,0,0,25,39,4,14,0,0,0,0,3,6,10,22,0,0,450,1035,108,..,560,1035
UCL115005,558,1457,16,28,0,0,18,30,7,12,3,5,0,0,0,0,11,11,0,0,0,3,0,0,3,3,3,5,4,7,589,1511,67,..,656,1511
UCL115006,946,2803,137,221,0,0,137,221,0,3,0,0,0,0,0,0,0,3,33,40,0,0,3,0,0,0,35,46,0,8,1122,3076,38,..,1160,3076
UCL115007,397,838,39,53,0,0,44,53,37,42,0,0,0,0,0,0,37,42,10,13,0,0,0,0,4,16,15,30,3,3,501,965,106,..,599,965
UCL115008,534,1324,31,50,0,0,31,50,33,38,0,0,0,0,0,0,33,38,6,6,13,22,0,0,9,20,25,51,0,0,614,1461,110,..,722,1461
UCL115009,469,918,3,7,0,0,9,5,18,20,0,0,0,0,0,0,18,20,0,0,0,0,0,0,3,5,7,8,6,11,506,967,114,..,616,967
UCL115010,509,1325,14,22,0,5,18,29,34,33,0,0,0,0,0,0,34,33,0,0,0,3,0,0,0,0,0,3,0,0,564,1393,161,..,722,1393
UCL115011,382,836,7,14,0,0,7,14,4,13,0,0,0,0,0,0,4,13,0,4,0,7,0,0,0,4,8,15,3,11,407,880,62,..,473,880
UCL115012,1416,3410,154,198,22,30,171,227,32,40,0,0,0,0,0,0,32,40,3,0,0,0,0,0,0,0,3,0,16,34,1632,3707,173,..,1806,3707
UCL115013,1098,2699,38,64,9,27,50,86,15,25,0,0,0,0,0,0,15,25,0,0,0,0,0,0,0,4,3,6,5,13,1170,2822,114,..,1282,2822
UCL115014,501,1105,39,65,43,74,87,137,29,35,0,0,0,0,0,0,29,35,4,5,0,0,0,3,10,18,13,25,7,11,633,1318,382,..,1016,1318
UCL115015,646,1490,92,144,4,8,100,147,54,86,0,0,0,0,0,0,54,86,0,0,0,0,0,0,5,7,9,12,19,45,826,1784,108,..,929,1784
UCL115016,432,865,15,14,0,0,15,14,10,16,0,0,0,0,0,0,10,16,7,15,0,0,0,0,0,0,11,20,0,0,466,908,63,..,527,908
UCL115017,1790,3726,30,55,8,12,40,72,17,18,0,0,0,0,0,0,17,21,0,7,0,0,5,11,0,10,7,24,13,22,1862,3862,700,..,2566,3862
UCL115018,994,2534,24,42,0,0,24,42,52,61,0,0,0,0,0,0,52,61,0,0,3,3,3,3,3,21,11,25,27,23,1106,2687,113,..,1218,2687
UCL115019,435,1002,9,8,0,0,10,11,13,17,0,0,0,0,0,0,13,17,4,3,0,0,0,0,3,3,5,6,4,18,473,1056,96,..,565,1056
UCL115020,946,2440,13,26,10,15,19,39,3,8,0,0,0,0,0,3,4,6,62,96,0,4,0,0,3,6,62,106,0,0,1036,2592,129,..,1166,2592
UCL115021,457,1063,0,0,0,0,0,0,46,58,0,0,0,0,0,0,46,58,0,0,0,0,0,0,0,10,6,6,3,3,508,1132,86,..,594,1132
UCL115022,518,1367,16,22,0,0,16,22,30,43,0,0,0,0,0,0,30,43,4,5,0,0,0,0,8,16,8,16,10,29,582,1474,129,..,716,1474
UCL115023,469,1383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,475,1397,33,..,504,1397
UCL115024,448,1045,18,43,4,3,26,45,4,7,0,0,0,0,0,0,4,7,0,0,0,0,0,3,0,0,0,0,7,12,494,1114,78,..,571,1114
UCL115025,871,2372,79,155,10,27,92,177,22,37,0,0,0,0,0,0,22,37,0,0,0,0,0,0,0,3,0,3,3,4,989,2588,64,..,1057,2588
UCL115026,657,1583,160,248,21,30,173,283,29,54,0,0,0,0,0,0,29,54,0,8,3,0,0,0,0,0,3,8,11,13,872,1944,701,..,1573,1944
UCL115027,379,913,38,68,28,54,60,118,149,222,5,10,0,0,0,4,154,228,40,67,13,21,0,0,22,35,74,131,11,12,679,1408,119,..,800,1408
UCL115028,400,926,10,20,0,0,10,20,11,20,0,0,0,0,0,0,9,23,4,4,15,30,0,0,7,12,23,47,0,0,445,1015,50,..,494,1015
UCL115029,992,2185,15,29,0,0,15,29,9,15,0,0,0,0,0,3,11,16,0,3,0,0,0,0,4,7,3,6,4,5,1033,2241,199,..,1227,2241
UCL115030,685,1765,3,6,0,0,3,6,3,6,0,0,0,0,0,0,3,6,0,0,0,0,0,0,6,12,8,11,5,7,710,1800,189,..,893,1800
UCL115031,1027,3039,9,13,9,14,15,31,7,4,0,0,0,0,0,0,4,9,0,0,0,0,0,0,4,12,4,12,0,4,1055,3096,69,..,1126,3096
UCL115032,521,1605,3,6,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529,1610,33,..,559,1610
UCL115033,1001,2721,33,56,0,3,35,61,3,5,0,0,0,0,0,0,3,5,0,0,0,0,0,3,0,3,0,3,3,3,1043,2800,72,..,1121,2800
UCL115034,1109,2700,11,20,31,68,39,84,0,4,0,0,0,0,0,0,0,4,3,6,9,8,0,0,0,0,14,15,3,5,1166,2807,1066,..,2232,2807
UCL115035,378,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,379,1139,30,..,407,1139
UCL115036,560,1237,9,10,0,0,9,10,28,38,0,0,0,0,0,0,28,38,0,0,0,0,3,0,9,30,13,31,0,4,611,1316,93,..,709,1316
UCL115037,1191,2972,22,40,0,0,22,40,100,133,0,0,0,0,0,0,99,131,8,13,0,0,0,0,14,34,21,53,3,3,1344,3197,377,..,1721,3197
UCL115038,449,1306,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,6,457,1323,31,..,488,1323
UCL115039,976,2393,7,10,0,0,8,8,40,51,0,0,0,0,0,0,40,52,0,3,0,0,0,0,13,17,12,18,0,3,1036,2477,142,..,1175,2477
UCL115040,555,1447,3,4,0,3,5,8,21,26,0,0,0,0,0,0,21,26,0,3,0,0,0,0,0,0,0,3,4,17,591,1492,66,..,655,1492
UCL115041,869,1956,35,39,5,14,45,52,38,66,4,3,0,0,0,0,44,71,5,16,4,8,0,0,9,12,16,33,16,31,981,2149,111,..,1095,2149
UCL115042,764,1877,3,6,0,0,3,6,55,70,0,0,0,0,0,0,57,71,4,3,0,0,0,0,3,6,6,14,5,5,830,1967,163,..,992,1967
UCL115043,505,1427,0,0,6,8,7,9,4,9,0,0,0,0,0,0,4,9,4,8,0,0,3,3,0,0,5,13,3,3,524,1466,67,..,595,1466
UCL115044,807,1788,52,68,4,7,59,73,3,6,0,0,0,0,0,0,3,6,0,0,0,0,0,0,4,19,7,18,0,0,880,1886,123,..,1003,1886
UCL115045,1272,2892,60,85,18,33,71,115,30,35,0,0,0,0,0,0,30,35,0,4,0,0,0,0,8,15,12,26,6,11,1385,3080,1012,..,2399,3080
UCL115046,401,967,6,17,0,0,6,17,4,10,0,0,0,0,0,0,4,10,3,5,0,0,0,0,3,18,12,22,0,0,423,1011,76,..,499,1011
UCL115047,686,1523,32,65,7,20,41,83,12,20,0,0,0,0,0,0,12,20,0,0,0,0,0,0,0,0,0,0,8,7,753,1641,276,..,1028,1641
UCL115048,447,1090,53,71,0,6,49,76,30,35,0,0,0,0,0,0,30,35,0,0,0,0,0,0,0,3,0,3,4,8,529,1207,79,..,608,1207
UCL115049,433,902,7,14,0,0,7,14,13,17,0,0,0,0,0,0,13,17,3,3,0,0,0,0,0,0,5,0,9,14,464,947,77,..,545,947
UCL115050,326,976,3,7,0,3,3,6,12,24,0,0,0,0,0,0,12,24,0,0,0,0,0,0,5,7,5,7,0,0,341,1018,14,..,356,1018
UCL115051,825,1836,19,25,0,0,19,25,32,44,0,0,0,0,0,0,32,44,3,6,0,0,0,0,0,0,3,7,3,14,880,1924,101,..,975,1924
UCL115052,967,2254,75,130,20,38,96,163,96,138,3,3,0,0,0,0,94,143,3,9,33,54,0,0,0,3,47,67,8,20,1215,2643,199,..,1413,2643
UCL115053,906,2652,108,162,3,4,114,164,10,20,0,0,0,0,0,0,10,20,0,0,0,0,0,0,0,0,0,0,9,17,1028,2851,83,..,1117,2851
UCL115054,646,1608,255,430,137,282,387,710,128,213,0,0,0,0,0,0,128,213,48,86,3,5,0,0,7,18,57,106,4,3,1224,2644,250,..,1473,2644
UCL115055,339,773,188,338,71,168,264,506,9,12,0,3,0,0,0,0,12,17,3,4,17,30,0,0,0,3,17,39,3,11,637,1343,423,..,1057,1343
UCL115056,677,1472,52,57,0,0,52,57,30,44,0,0,0,0,0,0,30,44,7,7,0,0,0,0,5,19,14,24,0,0,767,1601,141,..,911,1601
UCL115057,597,1707,0,0,0,0,0,0,70,124,0,0,0,0,0,0,70,124,5,7,12,20,0,0,0,0,20,26,3,18,686,1877,67,..,757,1877
UCL115058,336,904,0,0,0,0,0,0,28,60,0,0,0,0,0,0,28,60,0,0,0,0,0,0,0,4,0,4,0,5,363,967,19,..,388,967
UCL115059,433,1259,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,436,1271,15,..,453,1271
UCL115060,337,1013,0,0,26,49,26,49,27,47,0,0,0,0,3,8,29,57,0,0,0,0,0,0,0,0,0,0,0,0,393,1122,17,..,412,1122
UCL115061,1283,3498,39,73,39,75,73,147,119,169,12,16,0,5,0,0,131,193,0,0,0,4,0,0,0,0,0,4,3,20,1494,3865,306,..,1805,3865
UCL115062,924,2168,4,7,0,0,4,7,43,62,0,0,0,0,0,0,43,62,0,8,0,0,0,0,0,0,4,7,9,20,981,2257,136,..,1116,2257
UCL115063,783,2414,0,0,0,7,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,788,2422,46,..,837,2422
UCL115064,916,2009,25,28,0,0,25,28,59,82,0,0,0,0,0,0,59,82,0,5,14,18,0,0,16,33,35,56,3,3,1032,2174,166,..,1195,2174
UCL115065,447,1424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,451,1427,46,..,494,1427
UCL115066,474,1021,0,0,3,3,3,5,19,27,0,0,0,0,0,0,17,24,0,3,31,48,0,0,0,0,35,54,3,7,535,1105,168,..,708,1105
UCL115067,816,1694,36,48,0,0,41,46,8,9,0,0,0,0,0,0,8,9,4,4,0,0,0,0,7,12,10,17,3,5,875,1771,122,..,999,1771
UCL115068,924,2611,9,27,0,0,9,27,3,13,0,0,0,0,0,0,3,13,3,16,0,0,0,0,0,0,3,16,3,3,945,2667,63,..,1014,2667
