UCL_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
UCL112003,3118,6145,43,257,304,1407,73,341,1589,6139,2009,8142,133,528,272,886,557,1742,965,3158,2973,11302,14,57,83,292,62,202,512,1361,671,1921,45,149,157,337,471,973,675,1459,1341,3380,79,166,7521,20996
UCL112004,2903,5722,35,219,215,953,55,249,1107,4371,1416,5792,103,387,198,618,419,1307,719,2317,2132,8112,13,52,67,243,34,117,235,627,348,1043,34,101,78,169,330,697,439,965,786,2008,56,117,5877,15964
UCL112005,1960,3914,48,276,175,778,78,342,1063,4223,1358,5620,103,413,104,343,437,1400,646,2156,2007,7780,17,72,74,288,76,272,670,1931,841,2565,39,118,84,180,416,894,534,1199,1373,3763,95,191,5434,15647
UCL112006,5243,10391,66,365,440,2068,135,619,2439,9673,3084,12725,197,792,332,1066,838,2566,1367,4426,4451,17146,28,144,221,805,109,379,1091,2984,1449,4320,85,280,229,491,898,1896,1209,2666,2658,6981,140,288,12488,34815
UCL112007,3252,6433,63,322,316,1498,83,375,2048,8071,2507,10259,137,547,220,660,569,1769,927,2977,3439,13238,22,113,129,465,77,310,907,2642,1140,3530,58,192,146,310,523,1113,726,1612,1865,5149,165,341,8718,25164
UCL112008,2189,4359,37,224,198,920,87,395,1183,4631,1507,6168,97,398,123,406,446,1425,674,2229,2174,8397,12,72,74,252,50,205,471,1296,612,1822,31,85,110,226,405,839,543,1149,1151,2971,91,190,5611,15910
UCL112009,2491,4949,29,167,232,1131,66,298,1288,5149,1621,6742,96,385,163,521,465,1452,720,2364,2339,9115,25,110,118,433,56,188,747,2021,942,2756,71,232,183,399,535,1115,789,1749,1730,4498,126,259,6686,18826
UCL112010,224,438,3,34,21,100,7,34,166,656,201,820,15,52,13,45,38,119,70,214,268,1034,0,3,5,23,3,7,37,104,41,138,3,7,4,11,26,55,31,70,74,209,5,12,573,1698
UCL112011,3090,6123,57,309,250,1186,95,432,1643,6464,2039,8391,89,383,174,558,515,1622,777,2566,2823,10954,24,113,116,423,86,314,777,2182,1000,3034,54,164,132,286,551,1196,732,1642,1732,4680,124,258,7775,22013
UCL112012,3498,6930,69,396,342,1582,110,503,2374,9438,2895,11915,148,597,258,807,571,1785,973,3188,3869,15101,28,126,142,518,75,280,838,2310,1080,3234,55,159,151,333,560,1180,764,1673,1840,4908,114,244,9322,27187
UCL112013,5847,11608,56,307,476,2179,100,439,2250,8903,2881,11822,132,538,335,1085,653,1995,1130,3615,4007,15436,14,71,151,527,53,189,894,2358,1116,3146,56,182,225,491,695,1464,976,2132,2092,5277,131,273,12082,32593
UCL112014,3308,6568,48,278,302,1422,95,456,1703,6714,2147,8865,105,418,177,537,550,1658,825,2614,2978,11477,25,118,116,462,77,316,976,2794,1201,3699,64,193,133,282,601,1310,798,1783,2001,5484,158,326,8437,23857
UCL112015,4786,9417,101,567,567,2678,171,805,2845,11326,3680,15378,177,714,352,1121,799,2476,1322,4314,5003,19689,33,154,189,686,102,395,1035,2894,1362,4124,74,226,198,423,744,1585,1015,2233,2376,6355,226,464,12388,35934
UCL113001,2188,4346,11,61,108,480,33,137,640,2448,789,3122,38,150,105,324,244,752,382,1228,1177,4347,4,25,54,178,36,122,334,852,425,1173,28,82,84,189,328,670,444,941,871,2113,70,145,4298,10958
UCL113002,1518,3013,12,62,60,289,40,197,404,1624,511,2165,18,73,49,169,182,553,251,795,766,2956,11,39,45,162,23,95,255,734,331,1032,21,67,34,76,226,484,282,622,618,1648,37,85,2935,7704
UCL113003,1909,3762,38,189,120,520,67,296,755,2875,974,3884,46,194,73,228,365,1130,487,1548,1465,5431,16,90,77,265,41,142,478,1290,603,1787,23,77,60,135,361,768,450,985,1052,2773,75,158,4501,12121
UCL113004,768,1521,8,53,66,285,10,56,344,1338,427,1733,29,105,33,101,73,222,128,420,554,2160,3,14,14,54,3,4,70,176,92,249,7,17,14,38,56,122,78,179,174,429,8,20,1511,4122
UCL113005,3010,5980,25,123,147,701,41,199,636,2462,855,3490,39,147,115,384,284,863,439,1389,1296,4876,6,42,69,256,34,128,391,1074,502,1500,27,79,79,172,409,840,514,1088,1015,2591,77,151,5394,13606
UCL113006,1620,3237,30,158,172,810,66,334,726,2958,997,4253,47,184,93,295,284,881,423,1365,1418,5615,13,54,63,221,51,198,499,1383,628,1856,34,104,66,151,321,675,425,929,1052,2782,80,161,4171,11793
UCL113007,1691,3367,49,293,210,979,76,357,1194,4781,1534,6406,80,319,113,351,387,1269,577,1937,2107,8344,10,58,48,168,42,157,312,906,410,1287,21,60,44,98,258,577,327,729,737,2013,77,175,4615,13895
UCL113008,862,1742,13,89,80,369,32,155,373,1479,489,2089,26,124,47,144,141,453,214,715,708,2812,18,94,56,238,43,164,371,1144,489,1644,28,95,40,76,242,536,308,706,802,2346,47,107,2424,7003
UCL113009,1759,3468,22,133,173,766,45,202,761,2976,1002,4074,90,373,162,535,338,1060,598,1969,1598,6045,4,22,30,109,12,31,158,404,206,563,27,86,62,127,177,370,265,585,471,1146,31,66,3861,10727
UCL113010,1542,3091,50,282,172,814,90,406,917,3601,1222,5098,100,405,95,304,403,1285,595,2001,1818,7099,22,106,67,249,46,162,434,1264,567,1778,28,83,59,135,351,761,433,982,1003,2762,77,157,4444,13108
UCL113011,1165,2318,15,99,88,412,26,127,537,2095,672,2734,36,132,68,233,251,791,351,1159,1025,3896,11,48,46,154,27,95,285,768,358,1069,15,51,52,103,240,511,309,669,673,1735,44,90,2900,8034
UCL113012,2308,4587,36,224,174,810,78,351,953,3736,1246,5129,105,432,154,516,394,1232,656,2184,1898,7312,9,54,60,215,28,100,354,961,450,1331,27,95,80,180,320,712,435,982,885,2310,67,133,5162,14335
UCL113013,1017,2017,10,59,91,405,38,186,778,3087,921,3737,27,105,57,184,173,527,259,815,1181,4548,8,33,32,99,23,74,238,651,301,859,14,43,39,75,142,301,191,418,493,1278,42,88,2736,7929
UCL113014,971,1914,11,82,113,503,36,166,661,2617,819,3367,45,174,61,198,175,540,283,914,1103,4279,12,42,33,124,24,91,314,879,379,1139,16,42,34,83,153,315,198,440,582,1584,33,65,2682,7831
UCL113015,1926,3797,16,108,146,659,40,161,666,2554,864,3473,67,276,98,316,260,772,417,1369,1288,4840,8,23,48,170,18,72,234,648,311,915,22,56,53,101,198,425,269,586,577,1503,31,60,3817,10197
UCL113016,1165,2325,36,214,123,626,60,257,677,2626,895,3729,56,225,78,263,296,926,424,1407,1320,5135,13,72,53,212,44,149,416,1161,527,1600,29,93,58,120,318,676,405,882,931,2485,53,106,3466,10051
UCL113017,1171,2290,20,115,160,711,44,213,867,3409,1097,4450,91,353,103,330,309,975,498,1662,1595,6108,12,49,41,156,27,100,275,774,356,1078,24,80,53,121,189,396,266,601,620,1675,50,113,3442,10186
UCL113018,1361,2705,28,138,94,430,47,219,440,1725,606,2510,28,130,49,148,181,550,260,823,860,3338,9,34,33,124,28,94,221,649,293,906,11,30,50,112,210,445,273,588,562,1495,33,63,2819,7603
UCL113019,1952,3887,33,194,155,710,69,315,759,3057,1013,4277,64,248,107,336,296,902,459,1492,1474,5767,16,86,78,296,53,200,501,1455,649,2041,28,92,94,206,345,744,464,1042,1117,3084,91,195,4631,12931
UCL113020,1949,3846,23,124,88,394,48,232,584,2321,744,3070,51,199,84,267,234,719,368,1180,1109,4257,7,34,38,139,26,81,226,597,293,853,12,40,56,125,218,448,290,605,588,1460,40,80,3684,9646
UCL114001,620,1234,4,36,44,188,10,57,269,1068,325,1347,16,74,34,121,90,278,146,467,476,1815,0,7,31,94,11,34,94,230,130,359,12,34,28,63,81,170,125,266,260,631,18,37,1372,3720
UCL114002,561,1103,12,60,66,292,21,106,259,1002,358,1465,27,123,55,160,124,379,201,661,559,2126,6,19,16,41,13,33,74,197,103,298,12,38,19,40,81,161,107,246,212,544,11,30,1348,3796
UCL114003,800,1551,7,46,58,238,16,79,444,1648,523,2009,21,91,55,165,95,290,175,545,702,2554,7,18,19,59,6,11,151,348,180,438,10,31,43,88,137,277,187,399,369,836,37,81,1905,5029
UCL114004,1387,2750,6,17,44,208,15,65,202,810,272,1102,20,71,32,99,120,378,171,543,439,1643,3,15,21,81,9,28,107,312,144,436,11,37,33,68,112,229,161,330,300,769,14,27,2145,5191
UCL114005,943,1878,12,55,81,410,42,192,448,1827,580,2480,27,133,44,158,177,557,251,843,836,3327,12,73,46,170,29,123,280,856,373,1212,13,48,38,87,212,465,264,591,635,1805,59,122,2472,7135
UCL114006,713,1389,13,69,38,167,11,65,274,1099,338,1405,27,109,51,154,119,361,190,623,534,2024,4,17,17,68,13,46,135,368,171,492,8,27,36,73,119,250,167,352,336,848,20,38,1598,4296
UCL114007,791,1567,8,44,46,217,16,84,238,964,311,1306,19,63,27,73,79,247,124,391,437,1694,3,13,20,64,8,28,114,340,143,441,0,10,12,32,82,177,99,220,247,660,24,45,1490,3962
UCL114008,722,1445,8,61,45,209,14,59,251,1001,324,1339,25,95,36,107,87,256,141,460,463,1796,5,12,17,58,3,23,96,266,124,355,12,38,15,27,73,138,94,204,221,562,18,41,1431,3841
UCL114009,917,1827,10,78,61,322,25,124,378,1516,481,2033,29,125,43,129,164,509,234,763,719,2799,6,25,30,94,17,59,189,543,240,727,15,41,32,74,125,271,174,378,410,1103,50,102,2097,5833
UCL114010,773,1530,5,36,60,285,21,105,319,1247,406,1675,25,94,35,103,90,277,147,476,555,2154,3,21,23,89,12,42,136,368,177,520,13,41,29,67,107,226,155,331,332,857,23,47,1689,4583
UCL114011,749,1496,9,63,75,343,25,112,323,1330,431,1845,21,76,31,107,114,353,171,535,604,2384,7,30,26,105,7,20,159,479,198,631,11,37,25,52,123,259,160,345,354,975,27,64,1741,4919
UCL114012,562,1116,8,31,30,149,13,53,236,952,290,1187,12,49,32,101,59,164,100,313,389,1499,7,23,22,68,16,57,136,390,174,538,3,14,20,43,71,150,100,209,273,742,19,40,1245,3402
UCL114013,813,1611,13,70,58,267,21,98,466,1842,554,2277,27,107,47,146,151,481,228,732,786,3009,3,13,23,84,23,78,193,561,241,740,8,26,28,60,117,251,149,337,397,1075,36,69,2024,5766
UCL114014,467,912,19,88,82,349,28,120,554,2165,678,2721,66,263,73,256,189,613,323,1132,999,3853,0,8,16,59,6,17,69,186,93,271,16,47,17,35,95,199,118,280,214,553,9,16,1693,5340
UCL114015,977,1941,13,85,73,330,41,171,464,1831,585,2418,21,87,62,198,139,445,221,725,808,3135,9,48,51,201,26,101,303,875,397,1229,14,31,40,79,171,362,222,470,619,1701,39,80,2442,6859
UCL114016,721,1427,17,99,67,307,25,120,361,1447,462,1968,33,124,40,133,127,389,196,641,660,2615,3,22,25,97,15,59,146,415,190,596,6,18,21,51,96,197,125,266,314,855,26,64,1719,4961
UCL114017,654,1294,7,50,90,407,6,32,449,1698,558,2187,22,91,81,262,118,354,223,703,779,2888,3,10,19,60,4,25,98,255,130,346,14,41,25,65,82,157,126,268,251,609,5,13,1696,4812
UCL114018,880,1751,29,133,126,563,38,171,727,2834,912,3707,73,306,76,272,201,627,352,1202,1261,4910,7,13,24,91,13,46,141,371,187,523,20,60,23,53,103,226,150,338,332,860,15,35,2499,7560
UCL114019,1227,2422,7,30,57,259,16,63,294,1106,363,1458,16,73,50,162,125,378,195,615,564,2068,3,15,16,58,7,27,111,290,140,384,11,23,29,57,94,193,130,272,267,658,10,24,2067,5181
UCL114020,650,1280,5,43,39,186,22,108,383,1461,452,1802,15,62,32,99,106,332,158,495,611,2295,5,20,21,85,35,137,239,708,301,945,12,39,17,35,140,311,171,385,468,1336,57,115,1779,5033
UCL114021,883,1740,18,108,74,337,30,132,442,1762,559,2334,33,132,46,150,146,471,225,750,786,3091,3,10,38,140,19,69,126,343,183,563,14,47,45,100,122,265,181,410,365,970,16,31,2046,5835
UCL114022,900,1800,8,63,93,454,36,142,458,1840,597,2499,41,170,57,200,162,513,258,879,857,3378,7,36,64,218,20,85,215,599,305,934,12,30,46,104,203,429,264,572,571,1503,34,69,2365,6743
UCL114023,836,1665,11,46,32,168,15,69,169,672,226,949,12,46,25,85,96,299,136,429,363,1374,3,7,30,117,14,46,171,483,211,658,7,28,28,56,139,304,178,388,386,1044,40,77,1624,4158
UCL114024,591,1173,10,39,57,263,25,98,324,1308,415,1706,22,74,36,110,93,290,149,477,565,2185,5,13,16,55,13,55,129,406,167,526,7,16,28,56,91,203,126,273,293,796,18,44,1463,4199
UCL114025,964,1897,28,140,90,437,38,176,525,2135,680,2892,45,199,56,182,177,541,281,922,955,3811,8,47,44,164,17,66,238,672,312,949,9,31,36,91,170,358,222,483,532,1431,26,55,2479,7192
UCL114026,735,1462,11,60,76,332,25,108,535,2086,646,2589,29,112,49,154,90,270,162,543,809,3129,5,11,24,95,6,37,134,370,179,524,7,32,19,49,62,134,94,222,272,744,14,28,1828,5361
UCL114027,785,1551,5,33,50,234,14,79,226,927,302,1273,20,71,34,115,93,304,147,481,455,1758,0,4,7,18,11,29,80,225,96,272,9,23,10,28,84,180,105,228,201,500,19,40,1463,3844
UCL114028,823,1641,11,45,36,154,19,77,177,691,236,970,10,38,32,100,84,259,125,404,364,1370,0,6,14,57,9,31,93,258,119,357,0,0,16,32,87,175,102,215,223,569,14,24,1418,3601
UCL114029,725,1438,16,73,58,261,35,158,339,1300,444,1788,27,126,35,118,133,409,195,649,641,2438,7,16,18,62,9,32,111,315,141,421,20,55,15,36,91,204,127,301,275,723,17,42,1655,4641
UCL114030,682,1339,9,53,59,241,22,93,330,1326,416,1715,17,84,41,127,95,304,154,512,576,2221,7,35,17,70,11,47,123,341,161,494,11,34,21,44,109,230,141,301,303,797,27,55,1580,4413
UCL114031,757,1511,11,74,81,399,14,62,341,1381,451,1916,25,98,22,80,109,345,162,529,608,2445,4,10,37,134,23,79,193,558,247,777,17,43,25,62,139,286,177,397,426,1175,25,47,1816,5183
UCL114032,997,1954,14,63,33,144,8,21,227,882,277,1114,14,63,29,84,85,266,132,414,409,1532,0,14,22,75,7,30,103,271,131,390,6,31,24,44,96,208,125,282,260,667,19,40,1690,4197
UCL114033,318,625,4,14,13,74,10,29,80,339,110,462,7,34,4,21,27,75,43,128,152,591,0,5,3,6,0,7,33,81,32,101,0,5,9,16,28,54,34,74,66,174,0,0,534,1391
UCL114034,541,1058,11,59,48,219,21,90,361,1426,438,1803,18,66,35,104,117,376,168,552,602,2349,0,4,20,81,9,45,92,254,123,378,8,16,19,39,76,159,100,225,231,603,20,40,1385,4046
UCL114035,675,1348,10,82,57,262,25,102,366,1491,459,1944,18,64,23,71,96,309,137,448,594,2387,3,15,42,148,25,86,209,610,275,860,14,52,38,91,106,216,164,358,431,1218,28,67,1735,5024
UCL115001,191,377,3,17,29,140,9,27,119,470,158,652,8,18,15,51,38,119,59,191,218,847,0,5,8,19,3,11,32,95,43,131,0,5,4,17,31,62,36,78,77,211,9,11,499,1445
UCL115002,124,239,9,41,23,110,10,54,101,432,150,647,3,22,17,52,37,131,61,202,205,845,0,7,0,10,0,3,20,79,26,96,3,4,9,19,32,63,42,94,67,188,5,6,402,1276
UCL115003,260,512,0,5,16,74,7,21,60,224,78,320,4,15,15,37,34,101,54,158,128,478,0,11,5,20,3,14,28,81,40,129,3,8,4,8,23,52,32,68,75,193,3,10,462,1185
UCL115004,130,260,4,25,13,58,0,9,49,220,72,308,7,22,9,15,19,61,31,102,100,408,0,0,6,15,3,4,20,64,23,81,0,0,3,9,27,50,28,56,52,137,7,11,299,825
UCL115005,136,267,3,12,21,82,5,28,135,516,168,637,11,44,7,27,30,86,47,159,214,793,3,5,4,15,3,7,43,98,49,124,3,9,10,25,17,27,30,64,76,186,4,8,427,1253
UCL115006,351,702,8,67,39,200,23,115,197,796,276,1174,15,59,25,81,110,343,148,482,418,1656,4,12,14,43,6,19,54,154,75,228,0,3,8,20,42,83,48,105,124,334,11,20,900,2715
UCL115007,166,327,3,14,9,33,0,7,43,181,55,233,3,6,4,11,13,45,23,64,73,290,0,0,4,11,3,10,14,45,22,57,0,0,0,3,11,20,9,26,30,84,0,8,279,708
UCL115008,210,412,3,10,20,78,6,21,89,385,113,493,3,26,13,40,30,82,47,146,160,645,0,0,8,13,3,4,28,61,29,86,0,3,6,17,12,28,21,48,56,134,7,11,430,1195
UCL115009,143,290,0,8,3,21,0,8,40,163,51,195,0,3,5,31,12,40,24,72,68,268,0,0,0,10,3,13,20,52,23,77,0,0,3,7,12,30,17,37,44,114,3,10,262,683
UCL115010,178,359,0,0,13,59,14,54,79,315,101,429,6,28,4,16,30,101,42,149,144,577,0,3,4,17,3,4,38,106,44,137,3,7,4,11,24,49,29,64,73,201,3,4,398,1141
UCL115011,130,254,0,5,10,28,3,22,35,156,49,208,4,13,3,8,12,50,17,65,73,281,0,0,3,9,4,14,17,40,23,67,0,3,3,4,18,44,20,48,49,115,3,9,255,660
UCL115012,412,823,7,21,38,176,12,53,210,835,266,1089,10,54,26,72,68,211,111,336,370,1431,3,15,17,61,6,27,118,318,143,417,6,23,27,48,69,146,103,219,249,635,11,23,1046,2913
UCL115013,279,547,4,8,32,150,10,36,189,746,231,936,10,34,20,60,38,106,62,200,298,1141,3,14,27,105,9,28,94,251,138,398,5,21,29,49,39,88,74,158,214,557,11,19,793,2261
UCL115014,232,470,0,18,3,29,0,8,63,260,73,313,0,14,12,29,23,57,30,96,108,406,0,0,3,12,3,17,24,58,33,94,3,6,3,13,12,29,18,47,52,140,4,9,403,1019
UCL115015,330,653,0,0,13,51,4,14,114,438,126,502,9,34,9,33,34,113,54,176,182,682,0,0,0,0,3,8,25,68,25,75,0,4,4,9,19,45,30,60,53,134,5,7,569,1469
UCL115016,157,310,0,0,7,29,3,9,29,117,37,154,6,12,3,7,16,49,23,60,60,214,0,7,3,7,3,9,15,47,26,64,0,3,0,3,22,49,28,55,50,120,7,9,265,657
UCL115017,564,1089,3,10,27,107,3,15,222,854,255,991,13,38,30,89,65,204,100,334,357,1320,0,9,21,59,5,15,91,228,117,307,5,13,21,38,79,151,94,200,211,507,12,27,1149,2944
UCL115018,270,546,9,34,37,159,7,35,158,627,202,859,16,75,14,51,57,185,89,311,300,1168,0,9,10,43,7,28,81,215,96,286,5,17,24,47,52,106,76,170,170,454,10,24,755,2189
UCL115019,128,251,3,10,15,49,3,6,71,289,89,361,3,7,5,31,20,55,26,88,117,449,0,0,0,7,0,0,21,61,19,65,0,3,0,4,24,54,27,57,50,123,8,11,297,835
UCL115020,369,730,6,26,49,219,15,64,145,580,213,890,14,58,28,92,56,171,97,325,314,1218,0,3,13,37,7,18,39,94,54,152,9,26,11,17,47,93,64,135,116,285,8,18,808,2244
UCL115021,142,277,0,11,13,59,3,19,54,223,73,314,0,12,11,37,19,62,36,117,114,427,0,7,6,34,7,20,20,50,37,112,0,0,0,6,30,57,31,60,66,167,4,8,320,878
UCL115022,139,269,0,0,17,71,6,29,88,362,113,460,6,25,9,14,19,57,32,104,144,566,0,3,6,20,10,32,53,177,66,228,3,5,4,5,36,87,45,101,110,324,12,17,394,1176
UCL115023,120,237,5,27,25,117,13,40,119,465,155,643,12,51,12,36,37,109,58,205,220,845,3,9,4,26,3,9,23,54,32,98,0,9,5,14,21,42,29,65,58,158,0,5,396,1248
UCL115024,140,277,0,5,6,41,4,36,72,281,88,359,3,16,3,20,17,65,31,103,117,464,0,0,4,8,4,7,40,97,42,115,0,0,3,4,11,30,13,28,59,144,4,7,323,886
UCL115025,282,546,3,27,26,141,6,29,212,860,253,1048,12,43,13,53,45,142,73,245,331,1294,0,5,13,50,6,12,64,176,86,246,5,9,11,18,36,86,51,108,136,360,5,22,751,2222
UCL115026,288,564,0,3,33,156,3,11,100,385,139,561,9,43,18,56,32,94,63,194,199,760,0,17,10,32,0,6,46,120,64,172,5,12,7,17,29,57,43,89,105,260,6,11,596,1588
UCL115027,152,308,0,13,7,28,3,10,61,225,71,276,0,4,16,44,22,67,36,118,109,392,0,16,8,22,0,5,48,104,59,143,3,9,16,38,34,71,53,120,115,266,8,13,383,980
UCL115028,139,276,0,0,12,45,3,15,37,141,45,194,4,10,10,42,25,79,42,137,93,330,0,3,7,18,0,7,34,88,40,114,0,0,3,5,27,54,26,57,65,176,4,7,303,787
UCL115029,406,801,0,7,28,132,7,25,108,417,140,578,12,43,13,47,35,100,54,194,197,765,0,6,17,50,4,14,37,98,53,160,3,10,11,24,28,65,48,96,101,260,7,16,705,1843
UCL115030,235,474,7,31,23,112,4,16,117,466,154,624,10,40,20,64,48,151,74,259,229,885,3,7,3,10,3,9,29,74,33,99,3,12,5,11,27,69,40,86,75,180,5,17,548,1554
UCL115031,313,610,3,32,53,249,16,60,312,1208,384,1549,20,85,43,142,65,227,131,450,516,1996,0,3,11,34,0,4,36,90,48,132,3,15,8,18,28,55,41,90,86,220,9,11,920,2837
UCL115032,128,253,8,35,16,87,22,95,141,565,190,780,15,53,12,35,44,151,70,237,253,1020,0,0,4,17,4,21,28,82,44,121,0,6,10,15,23,47,33,67,74,194,8,12,459,1481
UCL115033,309,617,4,38,33,155,16,62,209,826,263,1081,5,23,24,78,63,186,96,290,362,1362,5,10,14,49,5,16,69,193,85,268,6,16,14,23,33,72,50,113,138,385,7,18,813,2380
UCL115034,432,850,3,27,36,180,7,46,127,491,176,748,9,46,23,81,79,250,116,381,292,1127,0,13,11,37,6,30,48,141,71,221,14,34,6,19,36,79,55,127,126,348,11,19,854,2343
UCL115035,116,227,5,26,26,124,7,29,86,347,121,531,10,51,21,63,32,89,63,197,185,726,3,5,3,16,0,3,13,26,21,51,4,11,6,16,12,25,20,49,38,101,0,3,340,1055
