UCL_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
UCL115020,41,7,49,438,179,17,635,1483,147,2259
UCL115021,38,12,46,157,71,7,228,688,99,1022
UCL115022,18,8,32,211,82,11,306,798,282,1387
UCL115023,9,0,9,300,86,12,408,644,71,1119
UCL115024,33,13,43,195,81,3,286,607,120,1022
UCL115025,28,8,39,556,203,25,791,1126,177,2094
UCL115026,115,10,131,321,112,22,454,1281,149,1886
UCL115027,38,11,52,200,80,24,303,880,170,1352
UCL115028,49,7,62,124,65,3,192,684,91,961
UCL115029,53,53,112,304,165,19,489,1488,205,2183
UCL115030,32,3,41,332,156,13,495,1004,72,1574
UCL115031,24,3,21,644,159,44,847,1466,189,2504
UCL115032,11,0,11,353,107,15,468,709,98,1270
UCL115033,31,0,29,542,214,29,782,1340,150,2270
UCL115034,56,12,69,376,194,15,582,1788,218,2595
UCL115035,11,0,11,233,101,15,348,524,45,918
UCL115036,41,3,48,188,88,11,282,755,93,1130
UCL115037,52,12,72,622,173,27,822,1669,433,2924
UCL115038,6,3,12,242,93,18,351,689,72,1115
UCL115039,69,24,93,383,141,15,541,1382,296,2224
UCL115040,28,30,62,267,108,9,379,771,189,1334
UCL115041,111,19,133,279,148,18,444,1372,276,2087
UCL115042,58,9,75,271,117,8,391,1123,393,1907
UCL115043,4,0,6,300,83,19,399,704,83,1189
UCL115044,81,16,96,286,153,8,450,1153,167,1770
UCL115045,146,13,161,374,245,25,641,2050,323,3015
UCL115046,34,5,41,167,83,12,262,557,77,891
UCL115047,137,40,180,204,102,13,316,1163,162,1651
UCL115048,44,7,52,223,80,8,307,635,95,1034
UCL115049,44,7,57,137,64,7,204,608,81,886
UCL115050,9,0,9,188,99,13,297,489,62,845
UCL115051,65,34,99,289,180,21,489,1080,217,1787
UCL115052,92,32,126,365,178,28,573,1709,274,2554
UCL115053,88,16,98,553,184,23,755,1932,128,2818
UCL115054,88,20,109,345,190,14,551,1614,240,2408
UCL115055,74,46,123,141,120,11,266,911,261,1439
UCL115056,86,14,101,214,107,9,338,1036,197,1575
UCL115057,11,0,11,434,91,15,547,1046,119,1715
UCL115058,85,5,89,139,65,12,209,627,80,918
UCL115059,11,0,13,241,111,10,362,618,78,1054
UCL115060,15,0,15,251,80,14,346,505,24,871
UCL115061,152,41,195,675,350,40,1064,2193,329,3587
UCL115062,90,29,116,331,155,12,498,1351,244,2098
UCL115063,4,0,4,530,159,27,709,1080,123,1906
UCL115064,103,19,124,268,145,15,437,1389,161,1990
UCL115065,0,0,0,404,55,6,468,522,77,1065
UCL115066,35,6,46,120,75,0,193,797,100,1084
UCL115067,92,18,114,228,116,8,354,1171,169,1690
UCL115068,16,0,20,557,170,14,743,1164,142,2051
UCL115069,48,6,49,288,92,7,393,949,201,1534
UCL115070,7,0,11,226,76,15,319,882,84,1284
UCL115071,63,12,78,236,142,9,394,1019,173,1587
UCL115072,61,8,72,278,90,3,370,1039,168,1574
UCL115073,62,31,90,245,97,14,355,1096,187,1636
UCL115074,74,17,97,235,147,12,402,1996,213,2604
UCL115075,37,22,57,280,116,9,408,1228,297,1930
UCL115076,12,4,12,427,128,17,576,943,115,1637
UCL115077,37,11,45,156,51,6,209,587,109,909
UCL115078,46,29,73,160,72,9,242,674,140,1056
UCL115079,72,17,84,323,126,15,464,1291,237,1991
UCL115080,59,11,67,152,63,0,220,1135,174,1524
UCL115081,10,4,16,245,88,5,336,1008,182,1529
UCL115082,21,7,24,257,85,9,354,484,87,920
UCL115083,33,15,42,181,112,11,299,688,68,1065
UCL115084,80,18,99,521,247,27,795,1940,1243,3977
UCL115085,26,12,31,146,47,11,202,696,175,1071
UCL115086,17,4,22,117,80,5,205,721,130,1055
UCL115087,56,29,83,282,89,7,385,799,145,1326
UCL115088,38,3,39,163,84,10,254,606,53,917
UCL115089,100,46,149,338,163,21,522,1440,325,2290
UCL115090,32,4,38,157,66,7,232,591,163,985
UCL115091,45,16,65,424,179,17,622,1637,153,2415
UCL115092,38,6,45,330,163,21,518,1456,208,2185
UCL115093,13,3,18,141,66,3,218,774,202,1195
UCL115094,122,55,176,355,155,11,519,1454,310,2285
UCL115095,172,22,189,241,165,15,414,1619,272,2305
UCL115096,44,3,45,258,108,14,379,1329,189,1894
UCL115097,60,20,83,242,94,15,354,1116,277,1744
UCL115098,40,89,130,158,75,5,241,628,238,1107
UCL115099,57,7,66,285,103,15,401,796,107,1314
UCL115100,75,10,87,295,143,4,446,1441,228,2114
UCL115101,114,16,133,569,207,44,814,1493,332,2636
UCL115102,5,0,5,372,89,25,488,721,63,1273
UCL115103,101,37,132,318,164,24,509,2083,360,2949
UCL115104,128,28,157,493,207,21,728,1887,441,3052
UCL115105,93,22,109,486,228,20,732,1670,351,2750
UCL115106,37,10,52,286,109,9,397,981,199,1578
UCL115107,65,15,80,339,138,16,492,1229,284,2007
UCL115108,81,23,108,648,271,34,954,2220,408,3579
UCL115109,92,65,155,547,221,30,799,2003,321,3122
UCL115110,104,25,124,177,99,10,289,888,131,1311
UCL115111,78,8,84,219,96,7,322,875,116,1317
UCL115112,40,7,47,631,240,18,899,1661,194,2759
UCL115113,21,0,21,569,151,23,747,1023,80,1849
UCL115114,37,12,44,234,128,13,377,993,249,1622
UCL115115,90,6,99,362,136,10,509,1476,214,2198
UCL115116,45,14,60,661,271,35,967,1957,177,3101
UCL115117,7,0,10,231,71,12,315,628,88,1041
UCL115118,37,7,44,630,200,27,860,1791,183,2834
UCL115119,140,41,182,774,275,33,1076,2496,411,3983
UCL115120,98,29,128,370,226,24,624,1757,281,2660
UCL115121,27,4,31,860,269,27,1162,2174,190,3522
UCL115122,16,0,17,172,66,9,246,610,60,916
UCL115123,16,3,19,196,80,12,281,616,78,973
UCL115124,15,3,18,396,109,16,526,919,138,1585
UCL115125,39,6,43,256,109,16,386,692,51,1125
UCL115126,175,30,202,288,175,11,477,2266,271,3014
UCL115127,48,12,65,787,270,36,1096,2126,313,3535
UCL115128,84,25,111,551,250,35,835,2155,297,3295
UCL115129,36,12,50,200,115,0,311,900,130,1334
UCL115130,116,13,127,180,155,4,342,1658,171,2172
UCL115131,169,17,191,526,232,23,785,2296,262,3342
UCL115132,60,58,122,299,142,8,449,1614,396,2458
UCL115133,12,3,21,313,117,10,438,763,76,1273
UCL115134,55,38,88,529,200,17,748,1409,221,2383
UCL115135,76,27,102,263,126,7,401,1349,236,1982
UCL115136,23,10,29,110,47,6,163,599,121,877
UCL115137,44,17,65,212,88,11,310,747,143,1202
UCL115138,59,14,74,201,100,3,308,1571,145,2024
UCL115139,59,4,70,357,142,14,509,1280,174,1962
UCL115140,62,28,88,273,165,23,462,1551,254,2268
UCL115141,12,6,19,187,79,4,270,747,84,1104
UCL115142,87,25,123,335,204,18,555,1604,200,2365
UCL115143,44,38,82,164,66,9,234,802,193,1235
UCL115144,15,0,15,182,55,8,248,688,207,1147
UCL115145,12,0,14,161,77,9,246,560,84,891
UCL115146,25,7,30,323,129,9,457,937,215,1609
UCL115147,37,15,56,134,65,6,210,649,122,983
UCL115148,39,14,53,156,86,6,246,790,197,1238
UCL115149,14,20,29,250,91,9,353,707,186,1250
UCL115150,127,33,170,538,260,29,827,2292,504,3630
UCL115151,72,3,79,109,73,5,182,754,128,1067
UCL115152,31,13,43,166,85,9,260,764,178,1197
UCL115153,89,52,149,367,173,17,558,1319,341,2216
UCL115154,22,5,27,353,144,14,518,960,124,1603
UCL115155,0,0,3,322,79,10,414,523,33,975
UCL115156,138,48,192,575,282,27,885,2500,341,3731
UCL115157,32,5,41,347,109,11,466,1165,80,1708
UCL115158,158,30,192,622,285,34,948,2744,497,4189
UCL115159,20,4,25,262,102,11,369,779,91,1242
UCL115160,9,5,13,183,71,9,263,643,60,965
UCL115161,11,6,22,172,70,11,258,471,90,814
UCL121001,14,0,18,144,47,3,191,430,52,674
UCL121002,17,5,30,75,35,0,111,358,53,525
UCL121003,4,0,6,87,65,0,145,394,39,584
UCL121004,9,0,9,102,65,0,168,273,41,476
UCL121005,8,0,8,93,54,0,143,283,32,458
UCL121006,13,4,21,74,43,3,116,358,30,499
UCL121007,17,3,18,168,50,10,230,469,71,766
UCL121008,50,7,56,89,50,10,145,544,118,811
UCL121009,3,0,3,32,27,3,59,330,41,431
UCL121010,19,8,28,114,46,5,167,423,91,681
UCL121011,18,3,24,134,52,14,198,441,69,715
UCL121012,3,0,3,135,100,0,232,450,32,715
UCL121013,13,0,16,93,40,0,132,433,101,665
UCL121014,13,0,15,101,48,12,166,416,56,635
UCL121015,8,0,8,81,38,3,121,275,37,434
UCL121016,5,6,13,152,63,4,222,433,69,719
UCL121017,3,0,3,109,66,8,181,323,21,525
UCL121018,0,0,3,96,31,5,129,245,27,407
UCL121019,23,3,24,86,41,3,134,329,61,521
UCL121020,18,3,24,99,33,0,132,431,94,659
UCL121021,5,0,5,30,23,3,53,329,85,463
UCL121022,40,0,38,129,57,7,189,583,116,890
UCL121023,8,0,8,103,36,4,148,219,41,407
UCL121024,6,3,9,114,37,12,161,288,29,484
UCL121025,21,5,26,106,56,3,162,528,92,780
UCL121026,11,0,10,88,36,8,131,266,17,419
UCL121027,4,0,4,196,65,10,266,405,45,717
UCL121028,9,0,10,64,55,3,120,362,50,533
UCL121029,3,0,3,83,38,4,125,321,41,479
UCL121030,4,7,13,34,42,0,79,275,55,416
UCL121031,9,0,9,135,36,4,174,493,82,745
UCL121032,13,5,16,113,71,5,193,476,58,730
UCL121033,34,4,36,76,55,0,130,414,74,623
UCL121034,8,0,10,122,26,3,152,294,29,475
UCL121035,10,0,8,160,67,7,229,423,60,713
UCL121036,4,0,8,167,62,4,234,497,33,761
UCL121037,11,0,11,98,57,3,157,452,40,652
UCL121038,21,0,21,51,24,3,77,318,48,445
UCL121039,5,0,5,77,14,0,93,209,82,386
UCL121040,0,0,0,96,17,0,117,269,71,454
UCL121041,0,0,0,96,24,7,127,264,29,424
UCL121042,14,0,16,86,30,3,120,299,60,481
UCL121043,14,0,18,65,49,0,111,379,68,563
UCL121044,7,0,7,156,24,3,188,277,40,509
UCL121045,9,0,6,70,32,3,104,325,27,454
UCL121046,3,3,6,86,30,4,122,269,38,429
UCL121047,29,5,36,93,75,3,175,615,65,857
UCL121048,9,0,9,117,30,3,152,289,32,475
UCL121049,25,8,38,46,66,0,108,423,78,611
UCL121050,71,7,81,125,70,0,199,782,96,1081
UCL121051,40,9,55,120,76,5,198,481,57,743
UCL121052,26,6,32,70,66,0,132,515,78,720
UCL121053,16,3,20,126,87,16,229,516,63,810
UCL121054,18,3,27,101,42,7,147,435,96,668
UCL121055,4,0,4,159,51,0,210,355,32,604
UCL121056,5,4,10,115,35,12,164,307,63,536
UCL121057,6,4,8,131,55,16,199,409,71,681
UCL121058,0,0,3,106,47,10,170,357,14,541
UCL121059,13,0,11,270,88,9,368,788,99,1256
UCL121060,13,0,16,81,39,3,126,312,14,456
UCL121061,6,0,6,140,69,10,220,465,61,751
UCL121062,11,0,10,163,52,5,218,501,54,777
UCL121063,11,3,15,93,40,3,142,357,35,530
UCL121064,14,4,15,81,45,3,130,505,88,727
UCL121065,36,9,53,109,50,3,158,454,76,687
UCL121066,10,6,15,199,87,6,292,883,108,1285
UCL121067,3,0,3,109,32,4,151,226,10,383
UCL121068,0,0,0,88,37,5,136,264,11,419
UCL121069,9,0,9,108,44,8,160,314,38,518
UCL121070,14,0,17,83,43,3,130,373,58,555
UCL121071,9,0,6,73,46,4,127,365,32,525
UCL121072,75,3,75,54,25,0,80,448,34,566
UCL121073,38,8,45,135,58,8,207,496,89,790
UCL121074,5,0,5,134,48,7,186,322,75,579
UCL121075,3,0,3,149,40,10,200,284,66,550
UCL121076,6,0,9,153,51,8,216,328,14,559
UCL121077,5,0,11,93,36,4,130,255,48,431
UCL121078,10,0,10,153,42,4,200,411,43,652
UCL121079,6,0,6,101,39,4,147,221,26,400
UCL121080,8,0,9,124,72,7,204,556,60,826
UCL121081,13,3,16,144,63,3,207,512,92,811
UCL121082,8,0,6,154,41,4,201,339,15,556
UCL121083,7,0,9,199,88,15,300,387,27,708
UCL121084,27,16,39,109,45,3,160,479,104,743
UCL121085,8,6,12,114,33,0,150,310,37,494
UCL121086,7,0,7,101,34,5,141,271,45,454
UCL121087,16,3,15,154,92,3,246,424,42,712
UCL121088,0,0,0,132,50,4,184,218,33,439
UCL121089,12,0,12,163,64,8,238,427,50,718
UCL121090,9,0,11,100,74,8,183,327,33,545
UCL121091,7,0,10,214,67,11,289,459,60,809
UCL121092,12,0,16,176,47,10,230,397,65,688
UCL121093,22,4,21,77,29,0,106,425,74,599
UCL121094,12,0,15,82,36,7,129,287,41,454
UCL121095,5,0,8,74,33,3,115,276,33,425
UCL121096,6,0,6,107,44,5,162,326,31,522
UCL121097,14,0,13,126,65,7,197,442,45,689
UCL121098,14,0,19,91,30,8,123,346,52,524
UCL121099,16,0,21,139,76,5,220,516,36,769
UCL121100,9,7,18,169,74,15,250,585,92,926
UCL121101,13,0,13,120,45,3,171,530,47,748
UCL121102,21,9,28,138,60,3,204,471,86,757
UCL121103,30,5,32,116,42,4,167,367,39,570
UCL121104,23,4,24,62,33,6,99,442,52,595
UCL121105,7,0,8,92,36,0,129,447,26,609
UCL121106,32,4,36,127,63,5,194,451,78,726
UCL121107,4,0,4,112,64,5,178,379,55,612
UCL121108,8,0,8,87,33,0,125,246,36,401
UCL121109,8,7,22,148,42,7,199,438,73,708
UCL121110,25,16,42,75,43,3,116,439,97,658
UCL121111,4,3,5,130,43,11,186,338,62,587
UCL121112,6,3,16,90,25,4,121,288,37,445
UCL121113,3,0,4,130,49,12,189,309,19,515
UCL121114,7,0,11,50,27,0,82,419,47,547
UCL121115,6,0,7,200,69,7,282,403,45,730
UCL121116,5,0,7,103,39,3,136,308,85,529
UCL121117,15,0,15,152,66,9,229,434,38,702
UCL121118,8,0,8,47,19,0,72,289,67,433
UCL121119,0,0,0,117,50,6,176,227,36,437
UCL121120,8,9,18,109,31,0,136,285,68,490
UCL121121,14,8,22,77,36,4,109,517,96,731
UCL121122,4,0,3,103,52,3,158,276,26,464
UCL121123,9,6,14,80,38,6,124,252,51,421
UCL121124,10,3,16,67,30,4,105,256,57,414
UCL121125,3,0,3,115,32,4,157,296,58,513
UCL121126,6,0,7,210,62,5,278,542,51,867
UCL122001,0,0,0,55,7,3,67,95,52,220
UCL122002,3,0,4,19,0,0,20,153,8,184
UCL122003,0,0,0,53,24,3,86,166,13,267
UCL122004,5,0,5,21,27,3,47,122,18,194
UCL122005,14,4,15,32,10,0,50,227,71,345
UCL122006,7,0,12,34,19,3,54,139,15,208
UCL122007,14,3,17,47,25,0,67,269,45,378
UCL122008,0,0,0,58,17,3,78,113,20,213
UCL122009,3,0,3,52,25,0,75,163,22,260
UCL122010,5,0,5,61,29,3,98,154,8,260
UCL122011,0,0,0,55,27,4,90,165,17,267
UCL122012,12,3,15,36,25,0,69,157,38,263
UCL122013,0,0,0,31,4,0,40,121,15,181
UCL122014,0,0,0,62,21,0,83,148,33,264
UCL122015,3,0,3,47,13,4,64,167,29,257
UCL122016,3,3,3,27,9,0,37,130,13,179
UCL122017,4,0,4,43,17,0,55,130,9,198
UCL122018,5,3,5,58,18,0,77,172,17,264
UCL122019,13,5,17,42,15,0,59,267,48,373
UCL122020,0,0,3,33,23,3,59,161,21,235
UCL122021,8,6,13,18,15,3,32,195,44,270
UCL122022,0,0,0,31,14,0,41,105,13,165
UCL122023,6,0,10,63,36,0,97,244,23,363
UCL122024,5,0,5,55,39,6,95,215,15,322
UCL122025,4,0,4,70,40,6,112,248,36,396
UCL122026,3,0,3,38,19,0,58,150,28,237
UCL122027,0,0,0,73,17,3,87,263,41,394
UCL122028,3,0,3,42,18,3,68,93,14,176
UCL122029,8,0,11,17,12,0,29,152,18,194
UCL122030,17,0,15,52,16,3,67,212,51,332
UCL122031,4,0,4,34,11,0,47,104,10,164
UCL122032,0,0,0,54,26,3,86,162,37,283
UCL122033,0,0,0,81,18,5,97,108,10,215
UCL122034,4,3,5,80,20,6,110,202,33,345
UCL122035,11,3,12,16,12,0,28,129,13,177
UCL122036,0,0,4,47,21,0,60,118,19,201
UCL122037,3,0,3,28,18,3,47,107,10,166
UCL122038,5,0,7,52,17,0,75,202,46,321
UCL122039,9,0,9,41,17,0,63,245,28,332
UCL122040,3,7,11,47,14,0,57,198,25,281
UCL122041,3,0,3,59,18,3,84,195,24,299
UCL122042,3,0,4,60,26,4,88,203,40,321
UCL122043,0,0,0,50,25,0,78,145,15,243
UCL122044,5,0,5,53,12,4,75,158,25,252
UCL122045,4,0,4,23,8,0,32,88,56,180
UCL122046,4,0,10,32,13,3,48,146,22,219
UCL122047,15,0,20,29,33,3,66,294,59,416
UCL122048,0,0,0,46,18,4,67,146,26,245
UCL122049,8,0,9,20,13,3,35,217,31,274
UCL122050,6,8,15,20,10,3,38,169,34,238
UCL122051,3,0,0,37,30,0,71,123,37,229
UCL122052,3,0,3,72,21,4,99,211,23,332
UCL122053,4,4,9,27,28,0,53,106,18,183
UCL122054,5,3,9,26,11,5,42,208,41,291
UCL122055,9,3,11,57,37,3,94,227,17,338
UCL122056,11,0,11,49,24,4,79,137,13,232
UCL122057,0,0,0,40,28,0,65,130,47,247
UCL122058,9,0,6,63,25,0,95,236,68,394
UCL122059,3,0,3,69,41,7,116,225,38,374
UCL122060,3,3,8,56,20,0,80,215,42,334
UCL122061,5,0,8,69,25,5,100,240,37,382
UCL122062,0,0,0,14,9,0,19,102,13,137
UCL122063,3,0,3,49,20,0,62,150,16,226
UCL122064,3,3,6,52,21,3,74,148,17,234
UCL122065,5,11,12,33,18,0,48,196,67,310
UCL122066,0,0,0,111,33,3,144,158,41,339
UCL122067,8,0,8,55,23,0,85,237,16,336
UCL122068,14,0,14,32,23,0,61,194,18,272
UCL122069,9,0,9,62,32,3,97,155,23,282
UCL122070,7,0,9,56,9,0,70,260,26,356
UCL122071,0,0,0,15,0,3,21,73,77,167
UCL122072,3,0,5,45,32,3,79,166,25,271
UCL122073,10,0,10,70,22,0,97,224,19,335
UCL122074,7,0,11,34,7,0,40,131,30,201
UCL122075,5,0,8,18,19,0,37,172,21,236
UCL122076,5,0,5,73,31,3,106,164,21,290
UCL122077,3,0,5,22,7,3,30,175,36,240
UCL122078,0,0,0,51,22,5,74,130,5,211
UCL122079,0,0,0,31,20,3,57,99,13,166
UCL122080,11,5,21,23,37,3,64,273,32,374
UCL122081,0,0,0,51,9,0,59,91,19,168
UCL122082,3,0,3,49,31,0,77,186,20,286
UCL122083,17,0,18,18,19,5,39,187,22,253
UCL122084,0,0,0,51,21,3,77,150,19,246
UCL122085,8,0,8,72,45,9,119,241,26,384
UCL122086,12,0,10,54,17,5,78,211,38,327
UCL122087,3,0,3,93,25,3,113,212,26,352
UCL122088,8,0,8,36,18,3,58,146,21,221
UCL122089,7,0,12,49,18,0,65,221,30,313
UCL122090,7,3,11,72,25,0,96,248,53,393
UCL122091,8,0,13,13,9,3,19,172,36,225
UCL122092,0,0,0,51,30,3,76,146,25,243
UCL122093,3,0,6,29,14,3,43,116,17,179
UCL122094,3,0,3,32,14,3,41,152,19,210
UCL122095,4,0,6,40,20,0,57,225,60,339
UCL122096,4,0,10,23,6,0,32,121,21,177
UCL122097,0,0,3,30,26,0,54,120,23,198
UCL122098,3,5,10,56,28,3,86,170,31,288
UCL122099,3,0,3,49,31,4,89,240,6,340
UCL122100,8,0,15,39,19,5,61,149,31,245
UCL122101,3,0,7,50,29,0,87,173,22,285
UCL122102,4,0,6,59,23,3,81,199,44,322
UCL122103,9,0,10,54,21,0,78,210,16,301
UCL122104,0,0,0,42,6,4,51,107,8,165
UCL122105,3,0,9,12,21,3,33,143,12,185
UCL122106,0,3,3,35,9,3,42,119,20,178
UCL122107,6,11,16,53,23,5,72,214,90,374
UCL122108,3,0,3,26,20,3,48,117,21,181
UCL122109,8,3,16,37,46,4,86,237,31,358
UCL122110,5,0,5,66,20,0,90,169,41,303
UCL122111,4,4,11,44,13,0,56,171,30,250
UCL122112,0,0,0,24,14,3,37,136,14,189
UCL122113,3,0,3,62,38,3,103,230,10,344
UCL122114,0,0,0,66,15,5,90,133,8,225
UCL122115,3,0,3,33,24,4,56,139,30,229
UCL122116,3,0,3,48,34,5,83,176,15,276
UCL122117,9,0,9,9,33,0,43,134,10,186
UCL122118,0,0,0,14,3,0,18,53,21,92
UCL122119,5,0,7,78,22,0,107,188,37,332
UCL122120,0,0,0,64,33,0,94,164,9,273
UCL122121,0,0,3,37,17,0,48,171,34,256
UCL122122,3,0,3,34,17,6,51,125,0,179
UCL122123,3,0,3,28,18,0,50,190,19,254
UCL122124,3,0,3,35,13,0,48,168,46,264
UCL122125,7,3,8,50,45,3,94,197,32,331
UCL122126,0,0,0,62,35,4,108,199,19,321
UCL122127,0,0,0,66,18,6,90,112,14,222
UCL122128,0,0,5,40,24,0,68,175,49,290
UCL122129,0,0,0,77,25,3,108,232,32,373
UCL122130,3,0,3,64,19,0,78,114,15,205
UCL122131,7,0,7,96,39,4,136,208,17,355
UCL122132,0,0,3,21,6,0,28,120,16,166
UCL122133,0,0,0,45,18,0,65,106,18,188
UCL122134,3,0,4,22,11,0,25,128,37,191
UCL122135,3,0,3,40,27,3,65,187,12,265
UCL122136,14,0,14,38,27,3,63,167,46,275
UCL122137,4,0,3,32,12,0,44,108,21,174
UCL122138,4,0,4,41,20,0,54,172,14,244
