LGA_CODE_2016,C16_P_35_39_Tot_LF,C16_P_35_39_Notin_LF,C16_P_35_39_LF_NS,C16_P_35_39_Tot,C16_P_40_44_Em_FT,C16_P_40_44_Em_PT,C16_P_40_44_Em_AFW,C16_P_40_44_Em_Hrs_NS,C16_P_40_44_Em_Tot,C16_P_40_44_Unem_Look_FT,C16_P_40_44_Unem_Look_PT,C16_P_40_44_Unem_Tot,C16_P_40_44_Tot_LF,C16_P_40_44_Notin_LF,C16_P_40_44_LF_NS,C16_P_40_44_Tot,C16_P_45_49_Em_FT,C16_P_45_49_Em_PT,C16_P_45_49_Em_AFW,C16_P_45_49_Em_Hrs_NS,C16_P_45_49_Em_Tot,C16_P_45_49_Unem_Look_FT,C16_P_45_49_Unem_Look_PT,C16_P_45_49_Unem_Tot,C16_P_45_49_Tot_LF,C16_P_45_49_Notin_LF,C16_P_45_49_LF_NS,C16_P_45_49_Tot,C16_P_50_54_Em_FT,C16_P_50_54_Em_PT,C16_P_50_54_Em_AFW,C16_P_50_54_Em_Hrs_NS,C16_P_50_54_Em_Tot,C16_P_50_54_Unem_Look_FT,C16_P_50_54_Unem_Look_PT,C16_P_50_54_Unem_Tot,C16_P_50_54_Tot_LF,C16_P_50_54_Notin_LF,C16_P_50_54_LF_NS,C16_P_50_54_Tot,C16_P_55_59_Em_FT,C16_P_55_59_Em_PT,C16_P_55_59_Em_AFW,C16_P_55_59_Em_Hrs_NS,C16_P_55_59_Em_Tot,C16_P_55_59_Unem_Look_FT,C16_P_55_59_Unem_Look_PT,C16_P_55_59_Unem_Tot,C16_P_55_59_Tot_LF,C16_P_55_59_Notin_LF,C16_P_55_59_LF_NS,C16_P_55_59_Tot,C16_P_60_64_Em_FT,C16_P_60_64_Em_PT,C16_P_60_64_Em_AFW,C16_P_60_64_Em_Hrs_NS,C16_P_60_64_Em_Tot,C16_P_60_64_Unem_Look_FT,C16_P_60_64_Unem_Look_PT,C16_P_60_64_Unem_Tot,C16_P_60_64_Tot_LF,C16_P_60_64_Notin_LF,C16_P_60_64_LF_NS,C16_P_60_64_Tot,C16_P_65_69_Em_FT,C16_P_65_69_Em_PT,C16_P_65_69_Em_AFW,C16_P_65_69_Em_Hrs_NS,C16_P_65_69_Em_Tot,C16_P_65_69_Unem_Look_FT,C16_P_65_69_Unem_Look_PT,C16_P_65_69_Unem_Tot,C16_P_65_69_Tot_LF,C16_P_65_69_Notin_LF,C16_P_65_69_LF_NS,C16_P_65_69_Tot,C16_P_70_74_Em_FT,C16_P_70_74_Em_PT,C16_P_70_74_Em_AFW,C16_P_70_74_Em_Hrs_NS,C16_P_70_74_Em_Tot,C16_P_70_74_Unem_Look_FT,C16_P_70_74_Unem_Look_PT,C16_P_70_74_Unem_Tot,C16_P_70_74_Tot_LF,C16_P_70_74_Notin_LF,C16_P_70_74_LF_NS,C16_P_70_74_Tot,C16_P_75over_Emp_Wor_ft,C16_P_75ov_Em_Work_pt,C16_P_75ov_Em_Aw_fr_w,C16_P_75ov_Emp_Hou_w_ns,C16_P_75andOver_Em_Tot,C16_P_75over_Unem_Lo_ft_w,C16_P_75over_Unem_Lo_pt_w,C16_P_75over_Unemp_Tot,C16_P_75over_Tot_lab_for,C16_P_75over_N_lab_forc,C16_P_75over_LF_NS,C16_P_75over_Tot,C16_P_Tot_Em_FT,C16_P_Tot_Em_PT,C16_P_Tot_Em_AFW,C16_P_Tot_Em_Hrs_NS,C16_P_Tot_Em_Tot,C16_P_Tot_Unem_Look_FT,C16_P_Tot_Unem_Look_PT,C16_P_Tot_Unem_Tot,C16_P_T_T_labo_for,C16_P_Tot_Notin_LF,C16_P_Tot_LF_NS,C16_P_T_T
LGA12900,374,70,36,477,254,103,14,9,382,11,3,13,396,65,41,503,286,118,8,7,415,18,0,21,438,87,54,579,315,112,9,9,453,18,10,25,476,118,66,661,283,101,13,10,402,12,6,23,429,136,50,606,204,99,13,5,322,3,7,17,339,227,50,614,85,57,0,3,150,0,0,0,154,409,62,630,28,44,0,8,80,0,0,0,78,359,57,497,36,21,6,12,86,0,0,0,86,762,115,965,2493,1177,159,115,3944,158,74,225,4169,2764,706,7636
LGA12930,7928,1413,411,9746,5090,2000,171,124,7385,205,141,355,7737,1395,364,9491,5162,1994,130,135,7429,212,149,361,7784,1350,372,9506,5130,1901,137,141,7306,230,153,384,7688,1673,384,9745,3979,1744,149,99,5972,183,157,338,6310,2335,359,8996,2100,1409,118,58,3686,138,131,274,3960,3401,310,7677,793,810,81,42,1719,23,29,47,1768,4521,300,6587,174,352,26,15,569,3,10,9,579,4174,241,4989,67,177,18,13,271,3,5,7,277,9874,791,10944,43243,22916,1905,1474,69537,2370,2478,4844,74380,42408,5430,122216
LGA12950,147,42,15,204,104,45,8,3,161,9,3,14,175,36,16,225,138,44,6,5,189,9,0,10,203,37,19,260,135,64,6,6,212,11,3,11,225,54,20,292,133,68,5,10,218,6,6,10,228,59,25,307,103,53,14,0,170,3,8,14,180,89,24,297,54,29,3,6,90,0,3,3,91,160,24,276,31,19,0,4,50,0,0,0,50,163,20,231,33,20,3,3,59,0,0,0,59,363,73,489,1109,554,69,49,1783,63,43,110,1893,1257,295,3440
LGA13010,296,97,37,435,194,94,5,6,305,25,8,30,332,120,38,495,208,119,17,4,352,12,0,13,362,112,31,508,232,113,13,5,362,20,7,27,391,133,36,560,250,148,13,3,419,24,12,31,447,222,52,721,136,115,14,5,274,12,14,24,293,307,49,654,91,61,12,7,173,0,3,3,173,454,73,703,50,44,7,5,103,0,0,0,106,420,68,596,31,29,8,6,79,5,0,4,82,746,156,988,1845,1166,135,87,3224,190,87,283,3509,3134,683,7322
LGA13310,1246,333,81,1663,922,355,41,26,1340,51,22,74,1413,341,107,1860,969,375,47,16,1412,63,17,79,1495,357,132,1984,1003,432,39,21,1492,47,24,69,1568,378,112,2060,870,375,77,19,1337,35,23,64,1401,508,120,2025,514,359,37,12,918,34,21,52,969,839,114,1923,190,196,26,4,410,4,10,14,422,1243,151,1812,60,94,8,7,173,0,3,3,175,1130,131,1437,35,54,6,7,97,3,0,3,101,1941,453,2498,7861,4121,494,243,12722,526,326,851,13569,8848,1820,24238
LGA13340,385,75,32,490,302,138,13,4,462,13,7,20,481,79,29,591,339,169,9,10,529,11,8,19,544,84,37,666,401,187,21,3,614,14,13,26,637,89,32,757,346,175,37,13,574,18,3,26,603,166,61,827,238,146,14,16,420,15,4,15,441,268,51,750,121,81,16,6,227,0,0,0,227,432,61,715,56,47,7,9,118,0,0,0,118,365,38,531,37,37,11,11,94,0,0,0,92,605,122,819,2729,1572,202,106,4614,128,90,223,4835,2695,589,8116
LGA13450,1159,229,135,1519,794,320,24,14,1156,38,14,49,1204,231,142,1578,880,325,26,24,1257,36,10,44,1299,209,141,1650,872,326,33,25,1256,32,16,50,1307,232,142,1675,739,308,24,21,1099,27,21,46,1139,305,154,1603,491,251,29,21,790,10,10,19,805,478,150,1434,188,158,37,7,399,0,8,7,403,638,135,1181,54,87,11,10,161,0,0,3,164,602,108,871,27,55,9,6,100,0,0,3,96,1554,433,2089,7579,3493,389,255,11713,370,217,586,12303,5853,2129,20274
LGA13510,423,83,30,541,270,155,15,5,451,16,7,20,470,103,56,631,325,137,9,9,483,13,7,21,501,99,42,643,346,167,17,8,538,19,12,27,568,118,45,738,322,161,14,8,503,16,7,18,526,234,57,815,220,137,23,10,381,10,9,16,402,365,57,821,79,73,6,11,175,0,3,3,175,612,60,846,35,47,3,8,93,0,0,0,90,523,51,667,29,32,4,12,80,3,0,4,79,1124,153,1357,2622,1489,155,117,4382,169,83,254,4633,3816,677,9126
LGA13550,537,87,59,683,365,132,12,9,516,19,13,31,544,97,48,697,351,168,20,15,558,21,5,30,580,122,58,765,402,146,11,8,575,19,12,25,597,110,61,772,381,149,11,19,560,21,5,31,589,190,56,842,272,141,15,9,436,12,11,18,453,235,44,731,98,79,8,0,184,0,0,3,186,424,51,662,36,39,5,5,78,0,0,0,78,401,50,539,31,25,6,8,71,0,0,0,73,914,140,1125,3474,1586,202,118,5381,205,110,314,5694,3211,778,9686
LGA13660,171,45,17,235,139,58,9,3,209,5,0,5,220,42,24,287,168,74,6,0,250,9,0,12,255,54,40,353,188,62,9,3,267,8,0,12,275,82,23,381,159,59,16,3,236,3,6,12,243,92,49,384,106,54,14,3,174,8,5,19,195,121,40,356,61,47,10,3,120,0,0,0,115,266,38,421,40,26,0,4,77,0,0,0,77,245,26,353,28,20,7,4,56,0,0,0,60,447,93,594,1327,618,90,44,2083,60,45,106,2187,1651,444,4280
LGA13800,3055,481,198,3742,2431,975,70,60,3542,67,32,106,3641,512,221,4375,2773,985,81,60,3904,74,48,119,4017,553,302,4869,2644,901,78,38,3665,63,28,92,3751,643,285,4680,2155,829,85,46,3122,55,39,90,3209,869,234,4310,1175,639,82,41,1939,49,25,70,2011,1312,200,3520,440,447,51,18,949,6,10,20,971,2008,221,3204,118,181,15,11,327,3,4,9,332,1852,176,2367,59,87,6,17,167,0,3,3,171,3114,360,3649,21093,9645,953,634,32329,808,636,1446,33768,14817,3134,51718
LGA13850,90,23,13,127,67,42,3,0,113,0,0,3,121,19,11,154,98,34,0,3,134,6,0,6,147,24,18,185,133,54,5,9,196,3,0,3,199,43,32,276,108,47,7,9,166,3,0,3,174,44,17,231,64,28,12,7,107,0,0,3,107,63,18,192,32,19,6,3,66,0,0,0,66,106,26,190,10,15,3,0,22,0,0,0,23,117,27,162,11,11,0,0,24,0,0,3,25,203,60,286,807,391,55,40,1296,32,29,62,1358,772,306,2431
LGA13910,744,158,58,959,497,256,23,13,784,37,18,51,837,169,56,1058,539,262,25,16,833,25,11,37,873,194,85,1153,604,276,32,28,937,20,7,26,963,245,84,1294,490,284,36,12,828,23,10,38,866,326,90,1278,346,224,36,9,620,19,13,25,647,531,79,1249,197,147,22,11,368,0,3,3,376,905,101,1384,76,54,13,8,147,0,0,0,148,763,102,1013,58,55,4,9,126,3,0,3,134,1409,233,1770,4551,2549,270,187,7563,294,149,441,8002,5739,1140,14883
LGA14000,8044,1287,317,9644,6432,2400,157,109,9094,214,141,354,9450,1252,346,11046,6338,2361,130,88,8924,228,108,332,9256,1239,300,10803,6022,2134,159,110,8435,182,102,287,8715,1263,302,10278,4940,1930,163,73,7098,150,106,259,7361,1742,263,9366,2607,1689,134,52,4477,112,88,200,4676,2916,234,7829,992,1121,96,28,2244,25,41,63,2302,4361,238,6903,279,524,35,12,853,6,14,23,876,4148,237,5262,109,248,19,18,400,11,13,16,416,9157,1345,10918,44920,22889,2006,977,70798,1768,1799,3572,74365,35842,4586,114796
LGA14100,591,92,44,722,574,183,16,11,788,9,13,23,810,126,41,976,617,203,19,14,849,11,12,20,868,130,46,1044,533,164,10,8,721,17,7,23,750,154,53,957,429,177,21,4,639,12,3,14,648,167,43,863,261,156,18,3,439,12,11,24,457,278,43,780,142,160,14,7,327,0,3,3,333,430,44,806,63,81,10,3,155,0,3,3,156,422,39,616,26,56,7,4,93,0,0,0,92,1424,87,1603,3968,1964,213,92,6240,106,119,222,6465,4289,596,11350
LGA14170,13553,1555,1272,16376,9007,2834,295,154,12292,302,149,449,12739,1527,1115,15380,7919,2376,190,122,10603,314,156,467,11073,1473,904,13449,6523,2012,204,93,8836,300,147,443,9278,1645,860,11786,4796,1733,156,90,6773,226,147,367,7141,2097,736,9980,2824,1592,153,68,4638,145,128,276,4907,3018,609,8537,1053,950,86,36,2121,23,46,70,2191,4417,488,7092,257,417,22,5,707,13,25,32,740,3965,398,5097,100,167,10,24,295,3,15,20,313,8851,840,10009,67813,27388,2877,1494,99575,2702,2317,5021,104599,37764,11773,154128
LGA14200,590,134,63,793,408,212,19,19,655,46,19,61,720,165,72,958,483,187,22,28,719,28,8,41,762,183,60,1009,468,225,21,15,728,26,15,37,768,208,81,1059,448,225,26,15,716,20,17,35,750,297,93,1138,281,169,14,6,467,20,15,32,497,456,101,1059,128,104,9,4,237,0,5,5,242,696,97,1035,52,61,4,9,128,0,0,0,131,669,88,881,48,46,9,18,120,0,0,0,124,1290,166,1573,3796,2186,227,190,6393,326,177,509,6900,5161,1095,13158
LGA14300,204,179,31,408,162,69,6,0,233,8,3,12,245,169,27,440,204,50,3,3,266,6,0,8,272,131,27,428,179,64,8,5,255,6,0,5,260,110,41,414,174,86,10,3,274,8,4,10,282,138,46,464,108,63,7,0,182,3,3,7,186,167,46,399,58,40,7,3,100,0,0,0,104,222,32,361,20,14,3,0,36,0,0,0,42,196,26,268,10,17,3,4,31,0,0,0,31,306,54,395,1491,687,91,44,2318,84,29,116,2436,2309,426,5173
LGA14350,873,349,106,1324,590,325,27,26,967,53,23,72,1036,408,122,1562,634,368,39,26,1065,51,29,77,1142,407,152,1703,689,449,41,34,1218,46,27,71,1290,565,161,2018,644,487,69,29,1231,49,39,87,1323,829,205,2356,385,364,58,21,830,38,43,76,903,1267,200,2372,160,217,29,16,426,8,7,12,438,1725,200,2365,60,62,3,14,135,0,0,0,131,1394,157,1682,35,40,6,14,92,0,3,3,94,2328,446,2867,4873,3815,451,322,9463,562,328,883,10348,11406,2168,23915
LGA14400,874,133,49,1057,659,341,30,15,1052,18,13,37,1083,135,70,1291,675,334,44,18,1077,25,9,34,1115,140,73,1326,764,372,47,12,1197,25,9,27,1226,181,92,1500,712,400,56,12,1186,26,13,35,1220,383,87,1690,382,368,45,13,807,14,19,32,844,843,95,1780,111,159,14,3,291,0,9,7,297,1145,92,1537,33,81,14,0,122,3,3,3,130,1085,101,1311,20,37,3,3,62,0,0,0,63,1874,260,2196,5384,3545,416,132,9488,220,222,436,9925,6788,1140,17852
LGA14500,5603,990,194,6789,4759,1714,108,56,6644,136,121,254,6894,1144,250,8293,5454,1991,89,79,7614,165,110,274,7886,1318,297,9500,5155,1765,111,74,7114,198,105,301,7412,1318,284,9015,3895,1544,111,61,5598,114,77,190,5793,1436,216,7447,2038,1306,97,42,3481,81,67,148,3625,2278,188,6091,944,1100,80,27,2151,30,28,58,2208,3279,201,5685,326,660,54,9,1045,8,22,22,1069,3536,229,4830,130,468,34,16,649,3,12,13,656,9331,954,10944,34304,18484,1439,696,54920,1236,1469,2704,57631,32843,3717,94189
LGA14550,254,95,27,376,173,100,20,11,292,30,5,36,327,104,47,478,211,127,14,10,357,16,8,23,381,147,66,596,265,178,4,7,454,25,9,37,494,195,77,763,282,193,23,9,497,24,18,38,538,261,73,882,194,149,16,8,362,19,16,34,398,383,82,864,87,78,6,3,172,0,0,0,173,495,55,730,28,33,3,0,68,0,0,3,70,370,47,486,37,28,0,10,78,0,0,0,76,656,105,833,1773,1263,119,83,3239,205,107,310,3546,3245,685,7473
LGA14600,237,47,33,312,155,62,3,10,228,18,3,20,248,45,42,339,152,57,15,3,226,10,3,16,240,43,37,321,163,80,12,3,254,11,9,14,272,69,48,384,192,69,7,6,281,4,3,3,282,103,50,428,129,72,17,3,220,3,3,11,232,119,34,383,80,42,0,4,126,0,0,0,130,195,43,362,27,22,3,0,54,0,0,0,54,183,44,283,34,25,3,3,69,0,0,0,67,468,84,619,1563,710,104,91,2472,115,60,179,2644,1647,548,4846
LGA14650,9109,1664,396,11168,6288,3062,252,134,9739,307,161,463,10204,1809,449,12461,6759,3019,216,133,10124,322,150,472,10596,1891,530,13021,6351,2887,289,123,9654,308,162,468,10125,2461,481,13065,5573,2758,377,102,8817,254,155,408,9227,3663,560,13453,2835,2217,258,69,5382,208,151,357,5743,6379,534,12654,785,1108,106,31,2035,27,35,62,2098,9589,623,12317,177,469,30,25,699,7,12,15,720,8702,550,9970,66,188,19,34,306,3,10,9,312,16079,1914,18311,50244,30476,3228,1318,85264,3624,2674,6295,91558,62065,7633,161262
LGA14700,2623,317,165,3101,1699,481,56,23,2250,59,38,90,2343,301,124,2771,1466,486,37,14,2000,59,16,81,2078,283,89,2451,1322,423,25,18,1785,50,33,84,1865,257,94,2221,1070,387,29,17,1503,31,23,58,1564,350,98,2007,615,372,29,7,1025,20,16,37,1066,532,76,1671,286,288,25,8,605,6,12,21,625,831,62,1519,93,158,12,4,266,0,7,7,273,859,59,1189,31,91,9,3,134,0,3,3,135,1977,120,2229,13289,5208,549,245,19292,446,441,885,20174,7782,1415,29376
LGA14750,411,85,41,540,364,144,17,0,529,17,0,16,546,84,59,686,393,138,15,13,558,6,8,19,571,99,54,719,401,135,19,14,560,8,0,10,575,103,80,757,380,137,28,8,553,15,8,19,572,155,69,794,211,102,25,7,344,10,5,16,356,197,64,618,79,53,6,4,151,3,0,4,150,351,70,573,23,29,3,3,61,0,0,0,64,373,64,503,20,28,0,4,55,0,0,0,55,771,123,944,3112,1294,179,115,4705,155,101,259,4964,3068,834,8868
LGA14850,1838,444,163,2450,1114,692,38,32,1882,76,47,124,2006,467,206,2677,1287,728,45,37,2095,85,38,123,2223,477,193,2894,1393,734,62,31,2219,74,49,125,2343,644,237,3232,1296,803,79,24,2197,71,59,127,2328,850,270,3447,801,649,65,13,1526,56,56,114,1637,1333,273,3250,268,378,44,14,708,0,15,15,726,1719,201,2643,90,133,8,7,235,0,7,7,237,1399,147,1790,55,62,9,19,147,0,0,0,150,2882,383,3416,9896,7331,595,341,18168,828,698,1534,19700,12824,2906,35430
LGA14870,705,247,91,1043,557,253,24,7,846,50,14,59,911,281,111,1298,569,270,22,16,884,49,16,63,947,257,111,1310,659,284,27,9,983,37,29,60,1044,358,151,1551,622,312,40,16,988,39,11,49,1043,454,128,1626,268,236,39,10,551,22,14,41,588,728,152,1463,100,115,10,4,229,3,3,4,234,1107,173,1509,48,67,7,0,124,0,7,7,127,978,134,1238,21,39,3,5,68,0,0,5,71,1601,227,1900,4627,2678,326,167,7798,450,201,651,8455,7354,1687,17496
LGA14900,10501,3397,1080,14980,7093,2619,194,237,10150,372,226,595,10741,3049,926,14712,6889,2243,159,225,9512,313,191,506,10020,2877,885,13783,6339,2011,215,205,8761,293,182,474,9237,3272,847,13352,4800,1615,177,155,6738,248,164,406,7145,3669,768,11584,2557,1074,134,94,3859,156,142,305,4161,4305,626,9099,881,555,43,44,1522,12,26,46,1562,5205,590,7361,213,212,16,9,461,3,12,12,469,4334,442,5251,62,81,7,14,167,7,0,5,172,7663,882,8717,55763,23557,2296,2289,83905,3759,3011,6764,90669,56232,11124,158031
LGA14920,290,63,26,381,189,87,8,10,296,24,5,26,325,87,31,440,237,94,10,6,352,6,7,10,363,79,40,485,231,104,14,5,354,12,3,13,369,106,43,516,223,115,14,9,363,19,14,33,391,142,58,593,183,90,15,11,296,18,10,23,320,212,60,591,82,61,12,4,155,0,0,0,159,316,43,524,37,30,3,3,78,0,0,0,78,325,44,454,25,23,0,3,53,0,0,0,53,593,90,734,1872,942,113,83,3013,161,81,241,3257,2415,580,6243
LGA14950,112,23,6,139,82,41,0,0,125,0,3,3,136,23,10,166,101,51,3,0,154,4,0,4,159,22,17,195,117,49,4,4,175,3,0,3,176,40,18,227,109,51,7,3,168,6,0,6,171,58,23,252,60,51,7,3,118,5,3,9,127,84,19,230,44,31,0,0,78,0,0,0,78,120,19,210,25,11,4,0,43,0,0,0,43,110,9,165,13,8,3,4,25,0,0,0,25,254,48,326,809,406,52,24,1294,35,18,54,1346,920,215,2477
LGA15050,4023,745,234,5006,2658,1108,111,61,3936,146,87,235,4171,757,252,5175,2670,1081,105,63,3912,162,67,227,4138,751,242,5129,2457,994,93,48,3595,118,65,182,3781,836,230,4847,2023,911,139,34,3103,100,50,148,3254,1214,220,4687,1018,687,92,25,1821,75,56,127,1943,2004,201,4155,312,348,37,12,707,9,12,21,730,2863,195,3786,63,130,10,4,221,0,3,3,222,2356,190,2766,30,61,8,17,121,0,3,3,123,3965,441,4531,21447,11458,1235,551,34692,1610,1132,2741,37431,19852,3120,60404
LGA15240,2614,840,196,3656,1785,1115,113,58,3068,163,85,248,3318,997,290,4605,2116,1250,130,82,3571,197,81,276,3844,1097,332,5280,2250,1430,149,74,3895,190,99,285,4189,1498,397,6081,2168,1501,210,67,3947,189,131,317,4266,2311,464,7033,1358,1287,174,60,2877,159,101,255,3139,3953,482,7578,475,759,72,37,1341,8,16,27,1363,6482,576,8415,161,302,30,34,523,3,13,15,538,5927,529,6990,97,143,26,46,308,3,7,14,313,10112,1362,11787,15609,12299,1400,722,30032,1871,1106,2975,33007,37807,5551,76370
LGA15270,982,215,135,1330,648,344,31,20,1042,38,20,54,1101,211,117,1428,742,384,30,12,1177,46,15,60,1240,305,154,1699,720,378,39,16,1158,53,19,70,1228,318,171,1717,620,344,44,14,1019,37,20,54,1078,426,176,1676,362,258,30,9,657,20,24,46,701,624,158,1485,162,168,17,4,349,0,4,5,359,999,170,1529,77,106,3,9,199,0,0,0,199,929,158,1290,70,52,7,3,133,0,0,3,135,1553,228,1917,5847,3281,382,181,9689,444,242,678,10371,6850,1956,19175
LGA15300,577,141,101,819,396,138,23,13,572,18,16,35,607,113,98,824,437,135,22,7,605,30,10,45,649,150,115,911,474,130,8,20,629,27,9,32,668,141,106,913,381,155,13,18,569,12,5,22,584,176,97,867,279,119,21,10,423,12,6,16,443,214,89,740,138,82,9,6,240,3,0,3,242,364,92,697,55,46,8,7,107,0,0,0,111,344,79,532,41,26,13,0,82,0,0,0,82,611,117,807,3765,1388,212,155,5521,270,108,376,5902,3093,1285,10270
LGA15350,1584,218,128,1926,1255,353,26,30,1662,45,18,66,1722,277,162,2163,1232,370,32,18,1646,31,20,51,1703,340,144,2187,1129,394,30,18,1576,45,20,70,1646,316,117,2080,933,352,27,9,1323,41,13,56,1379,352,123,1858,504,362,30,14,909,26,21,45,952,474,108,1534,282,362,13,17,673,3,6,12,688,814,110,1603,119,203,19,6,344,7,7,13,354,961,79,1396,55,140,10,3,206,0,0,4,210,1978,260,2447,9297,4124,393,188,13999,318,257,567,14575,7192,1698,23465
LGA15520,386,72,31,495,351,139,13,18,515,9,4,13,528,54,39,625,409,161,23,8,601,9,0,17,614,77,42,735,392,150,22,10,572,16,8,22,597,108,57,765,375,191,28,20,609,19,11,27,645,176,79,896,267,158,30,14,465,18,9,27,486,359,86,929,113,80,10,13,213,3,0,3,216,653,69,935,58,50,8,9,129,0,0,0,129,653,65,847,38,34,8,3,86,0,0,0,86,1068,182,1340,3080,1582,213,119,4994,120,76,194,5189,3678,813,9683
LGA15560,159,31,22,209,123,43,4,8,174,3,0,3,182,24,34,241,130,42,4,6,180,6,0,4,188,40,26,248,140,58,16,8,218,0,3,3,223,37,25,292,152,50,7,4,218,3,0,6,218,44,37,300,86,45,12,0,143,5,0,4,149,67,15,231,40,23,4,3,68,0,0,0,69,125,19,223,14,13,5,0,31,0,0,0,31,100,17,154,13,11,0,3,31,0,0,0,31,230,26,289,1104,480,82,49,1716,54,24,80,1797,929,323,3051
LGA15650,749,240,60,1057,510,205,22,13,748,29,16,44,790,163,66,1024,524,197,29,16,767,42,30,72,842,201,80,1121,542,198,28,14,788,28,16,45,837,237,72,1146,398,158,31,11,590,20,13,31,621,290,58,977,247,124,21,6,397,18,3,21,416,345,66,831,73,58,10,10,146,3,3,3,154,508,52,712,37,33,5,0,74,0,0,0,79,421,49,552,11,26,3,3,45,0,0,0,45,687,91,819,4344,1954,292,141,6732,398,202,603,7337,4270,856,12458
LGA15700,532,178,50,759,381,241,18,13,658,34,15,56,710,224,49,983,390,260,18,11,676,35,24,58,734,227,82,1044,441,319,34,15,813,45,23,68,880,397,125,1408,413,395,31,12,851,50,28,75,929,622,97,1646,271,330,33,13,641,36,21,53,700,859,108,1670,119,111,16,9,256,0,6,7,260,1301,121,1680,31,52,6,7,96,0,3,3,101,1114,124,1337,40,25,6,3,77,3,0,3,79,1838,371,2286,3129,2670,279,152,6229,417,233,645,6878,7822,1340,16040
LGA15750,565,119,76,758,398,147,21,7,574,14,13,24,604,103,69,771,415,142,16,11,578,19,12,35,612,100,82,792,474,188,16,9,682,22,12,36,720,144,111,969,419,162,32,14,628,11,8,25,646,230,107,982,272,139,32,7,443,20,6,28,473,251,85,804,130,91,21,4,249,0,3,3,248,405,77,736,44,40,3,7,99,0,0,0,99,414,51,571,35,17,7,13,72,0,0,0,73,721,203,994,3646,1645,228,135,5657,240,118,359,6013,3127,1157,10296
LGA15800,219,50,38,311,158,77,4,5,242,10,6,8,256,52,32,336,167,62,8,4,246,10,3,14,257,56,29,338,201,65,15,5,282,5,3,6,288,57,41,393,215,80,11,5,311,7,4,17,322,88,43,456,128,37,9,10,186,9,3,9,201,149,47,401,61,41,12,3,113,3,0,3,119,222,47,391,17,13,4,0,33,0,0,0,33,239,39,313,20,18,4,10,39,0,0,0,41,469,80,589,1488,667,105,69,2325,107,39,150,2472,1708,511,4697
LGA15850,233,49,24,311,185,73,5,4,269,11,0,15,277,43,30,358,193,75,5,11,284,6,8,13,298,48,37,384,207,70,10,4,285,9,3,14,299,70,45,412,207,70,5,3,293,13,4,15,313,109,48,470,160,66,5,6,241,10,3,12,253,119,52,425,70,51,10,4,138,0,0,0,140,241,29,406,27,25,4,7,57,0,0,0,57,259,42,356,15,22,3,6,51,0,0,0,55,464,81,598,1697,738,89,67,2592,138,65,206,2792,1767,514,5069
LGA15900,8101,1451,401,9955,5072,2440,190,105,7806,287,144,432,8236,1418,432,10085,4996,2180,195,95,7472,286,130,413,7887,1524,486,9899,4752,2085,203,92,7133,249,97,346,7479,1838,540,9853,4002,1994,225,60,6280,220,116,339,6620,2556,547,9728,2104,1520,153,32,3810,136,117,252,4057,3957,453,8471,578,721,76,21,1401,10,30,43,1440,5383,410,7236,122,317,28,19,490,0,14,11,503,4739,427,5675,66,164,13,26,263,11,6,13,282,9547,1985,11809,43399,25820,2663,1156,73034,3126,2704,5829,78864,42642,7703,129212
LGA15950,5915,520,520,6952,3425,765,92,47,4323,130,40,174,4497,494,383,5369,2798,621,72,37,3520,112,42,157,3682,441,323,4444,2280,559,52,32,2927,109,34,135,3061,440,269,3774,1873,689,63,28,2657,96,40,136,2794,633,295,3717,1189,764,56,9,2020,72,54,128,2146,1044,266,3461,615,753,48,18,1431,15,30,47,1478,1678,242,3400,180,412,24,9,632,3,18,23,657,1668,203,2522,102,216,17,12,337,5,9,10,351,3116,358,3830,29933,8877,1170,458,40445,957,603,1565,42001,12445,4663,59115
LGA15990,15161,1841,888,17883,11689,4635,361,213,16899,266,185,458,17355,1999,961,20311,11434,4434,285,201,16354,306,189,491,16848,1863,828,19537,10110,4076,284,190,14662,281,147,423,15083,1950,815,17854,7537,3631,318,139,11634,198,129,327,11958,2630,756,15348,4236,3276,225,113,7845,151,154,310,8155,4280,643,13072,1673,2356,175,57,4254,41,86,119,4378,7137,671,12184,535,1171,71,34,1814,7,30,36,1851,7794,611,10256,215,601,39,44,900,11,19,22,926,16972,2125,20020,81286,42657,3831,1908,129685,2204,2441,4642,134320,57546,11157,203023
LGA16100,202,39,33,270,147,56,0,10,210,11,3,9,225,36,28,291,212,60,3,3,282,6,3,7,288,56,42,393,188,66,11,6,263,12,4,12,279,53,33,366,136,73,13,0,224,5,3,9,235,76,22,334,138,65,4,0,213,7,6,10,222,133,32,391,76,53,10,3,140,0,0,3,141,249,49,437,29,36,0,4,76,0,0,0,76,215,42,333,14,15,4,3,34,0,0,0,39,312,60,405,1419,694,72,58,2241,88,45,137,2381,1545,457,4375
LGA16150,1984,375,143,2509,1408,511,45,30,1989,76,30,103,2092,331,176,2601,1366,476,49,31,1928,63,30,88,2016,374,177,2561,1247,453,53,33,1785,67,23,92,1871,403,150,2427,1131,488,66,8,1695,66,29,88,1789,532,146,2465,615,396,44,15,1074,37,9,44,1122,925,137,2180,224,240,31,16,512,11,6,17,526,1389,133,2058,70,116,16,11,213,0,3,8,214,1251,107,1571,31,63,8,7,116,0,0,3,112,2712,296,3126,11352,5484,667,312,17805,747,450,1200,19008,10690,2103,31801
