LGA_CODE_2016,C11_Aus_Mo_O_B_OS,C11_Aus_BP_B_Aus,C11_Aus_Bplace_NS,C11_Aus_Tot_resp,C11_Aus_Ab_BP_B_OS,C11_Aus_Ab_Fa_O_B_OS,C11_Aus_Ab_Mo_O_B_OS,C11_Aus_Ab_BP_B_Aus,C11_Aus_Abor_Bplace_NS,C11_Aus_Abor_Tot_respons,C11_Chi_BP_B_OS,C11_Chi_Fa_O_B_OS,C11_Chi_Mo_O_B_OS,C11_Chi_BP_B_Aus,C11_Chi_Bplace_NS,C11_Chi_Tot_resp,C11_Cro_BP_B_OS,C11_Cro_Fa_O_B_OS,C11_Cro_Mo_O_B_OS,C11_Cro_BP_B_Aus,C11_Cro_Bplace_NS,C11_Cro_Tot_resp,C11_Dut_BP_B_OS,C11_Dut_Fa_O_B_OS,C11_Dut_Mo_O_B_OS,C11_Dut_BP_B_Aus,C11_Dut_Bplace_NS,C11_Dut_Tot_resp,C11_Eng_BP_B_OS,C11_Eng_Fa_O_B_OS,C11_Eng_Mo_O_B_OS,C11_Eng_BP_B_Aus,C11_Eng_Bplace_NS,C11_Eng_Tot_resp,C11_Fil_BP_B_OS,C11_Fil_Fa_O_B_OS,C11_Fil_Mo_O_B_OS,C11_Fil_BP_B_Aus,C11_Fil_Bplace_NS,C11_Fil_Tot_resp,C11_Fre_BP_B_OS,C11_Fre_Fa_O_B_OS,C11_Fre_Mo_O_B_OS,C11_Fre_BP_B_Aus,C11_Fre_Bplace_NS,C11_Fre_Tot_resp,C11_Ger_BP_B_OS,C11_Ger_Fa_O_B_OS,C11_Ger_Mo_O_B_OS,C11_Ger_BP_B_Aus,C11_Ger_Bplace_NS,C11_Ger_Tot_resp,C11_Gre_BP_B_OS,C11_Gre_Fa_O_B_OS,C11_Gre_Mo_O_B_OS,C11_Gre_BP_B_Aus,C11_Gre_Bplace_NS,C11_Gre_Tot_resp,C11_Hun_BP_B_OS,C11_Hun_Fa_O_B_OS,C11_Hun_Mo_O_B_OS,C11_Hun_BP_B_Aus,C11_Hun_Bplace_NS,C11_Hun_Tot_resp,C11_Ind_BP_B_OS,C11_Ind_Fa_O_B_OS,C11_Ind_Mo_O_B_OS,C11_Ind_BP_B_Aus,C11_Ind_Bplace_NS,C11_Ind_Tot_resp,C11_Iri_BP_B_OS,C11_Iri_Fa_O_B_OS,C11_Iri_Mo_O_B_OS,C11_Iri_BP_B_Aus,C11_Iri_Bplace_NS,C11_Iri_Tot_resp,C11_Ita_BP_B_OS,C11_Ita_Fa_O_B_OS,C11_Ita_Mo_O_B_OS,C11_Ita_BP_B_Aus,C11_Ita_Bplace_NS,C11_Ita_Tot_resp,C11_Kor_BP_B_OS,C11_Kor_Fa_O_B_OS,C11_Kor_Mo_O_B_OS,C11_Kor_BP_B_Aus,C11_Kor_Bplace_NS,C11_Kor_Tot_resp,C11_Leb_BP_B_OS,C11_Leb_Fa_O_B_OS,C11_Leb_Mo_O_B_OS,C11_Leb_BP_B_Aus,C11_Leb_Bplace_NS,C11_Leb_Tot_resp,C11_Mac_BP_B_OS,C11_Mac_Fa_O_B_OS,C11_Mac_Mo_O_B_OS,C11_Mac_BP_B_Aus,C11_Mac_Bplace_NS,C11_Mac_Tot_resp,C11_Mal_BP_B_OS,C11_Mal_Fa_O_B_OS,C11_Mal_Mo_O_B_OS,C11_Mal_BP_B_Aus,C11_Mal_Bplace_NS,C11_Mal_Tot_resp,C11_Mao_BP_B_OS,C11_Mao_Fa_O_B_OS,C11_Mao_Mo_O_B_OS,C11_Mao_BP_B_Aus,C11_Mao_Bplace_NS,C11_Mao_Tot_resp,C11_NZ_BP_B_OS,C11_NZ_Fa_O_B_OS,C11_NZ_Mo_O_B_OS,C11_NZ_BP_B_Aus,C11_NZ_Bplace_NS,C11_NZ_Tot_resp,C11_Pol_BP_B_OS,C11_Pol_Fa_O_B_OS,C11_Pol_Mo_O_B_OS,C11_Pol_BP_B_Aus,C11_Pol_Bplace_NS,C11_Pol_Tot_resp,C11_Rus_BP_B_OS,C11_Rus_Fa_O_B_OS,C11_Rus_Mo_O_B_OS,C11_Rus_BP_B_Aus,C11_Rus_Birthplac_ns,C11_Rus_Tot_resp,C11_Sco_BP_B_OS,C11_Sco_Fa_O_B_OS,C11_Sco_Mo_O_B_OS,C11_Sco_BP_B_Aus,C11_Sco_Birthplac_ns,C11_Sco_Tot_resp,C11_Ser_BP_B_OS,C11_Ser_Fa_O_B_OS,C11_Ser_Mo_O_B_OS,C11_Ser_BP_B_Aus,C11_Ser_Bplace_NS,C11_Ser_Tot_resp,C11_SAf_BP_B_OS,C11_SAf_Fa_O_B_OS,C11_SAf_Mo_O_B_OS,C11_SAf_BP_B_Aus,C11_SAf_Bplace_NS,C11_SAf_Tot_resp,C11_Span_BP_B_OS,C11_Span_Fa_O_B_OS,C11_Span_Mo_O_B_OS,C11_Span_BP_B_Aus,C11_Span_Bplace_NS,C11_Span_Tot_resp,C11_SriL_BP_B_OS,C11_SriL_Fa_O_B_OS,C11_SriL_Mo_O_B_OS,C11_SriL_BP_B_Aus,C11_SriL_Bplace_NS,C11_SriL_Tot_resp,C11_Turk_BP_B_OS,C11_Turk_Fa_O_B_OS,C11_Turk_Mo_O_B_OS,C11_Turk_BP_B_Aus,C11_Turk_Bplace_NS,C11_Turk_Tot_resp,C11_Viet_BP_B_OS,C11_Viet_Fa_O_B_OS,C11_Viet_Mo_O_B_OS,C11_Viet_BP_B_Aus,C11_Viet_Bplace_NS,C11_Viet_Tot_resp,C11_Wel_BP_B_OS,C11_Wel_Fa_O_B_OS,C11_Wel_Mo_O_B_OS,C11_Wel_BP_B_Aus,C11_Wel_Bplace_NS,C11_Wel_Tot_resp,C11_Oth_BP_B_OS,C11_Oth_Fa_O_B_OS,C11_Oth_Mo_O_B_OS,C11_Oth_BP_B_Aus,C11_Oth_Bplace_NS,C11_Oth_Tot_resp,C11_Anc_ns_BP_B_OS,C11_Anc_ns_Fa_O_B_OS,C11_Anc_ns_Mo_O_B_OS,C11_Anc_ns_BP_B_Aus,C11_Anc_ns_Bplace_NS,C11_Anc_NS_T_resp,C11_T_P_BP_B_OS,C11_T_P_Fa_only_bor_os,C11_T_P_Mo_O_B_OS,C11_T_P_BP_B_Aus,C11_T_P_Bplace_NS,C11_T_P_Tot_resp,C16_Aus_BP_B_OS,C16_Aus_Fa_O_B_OS,C16_Aus_Mo_O_B_OS,C16_Aus_BP_B_Aus
LGA10850,120,2869,78,3230,0,0,0,32,3,35,10,3,5,18,0,31,4,4,0,5,0,10,39,14,8,22,0,92,235,180,113,2338,80,2950,15,0,0,0,0,15,5,3,0,23,0,37,31,16,14,154,3,216,3,4,0,3,0,15,0,4,0,0,0,6,6,0,4,0,0,6,38,45,19,898,25,1025,17,15,12,50,3,90,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,10,0,0,0,0,8,10,5,3,3,0,18,17,15,3,6,3,51,14,6,0,3,0,22,0,0,0,3,0,6,50,52,32,528,23,687,0,0,0,0,0,0,5,0,0,3,0,8,6,0,0,4,0,9,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,20,0,34,62,16,18,63,10,159,6,0,6,159,295,462,513,336,218,5457,473,6985,13,181,114,3085
LGA10900,2598,22979,714,30653,0,14,3,157,7,181,457,76,71,155,12,763,167,67,20,61,7,327,815,278,176,375,22,1669,6975,3579,2451,18529,594,32134,211,11,42,19,7,285,236,58,47,223,18,578,1066,357,247,1701,62,3429,288,73,48,180,15,608,303,55,28,65,5,454,219,44,23,32,3,322,1540,882,562,7699,215,10895,555,266,126,743,23,1720,54,6,9,3,0,72,75,28,21,56,5,188,13,7,0,3,0,22,257,131,58,171,12,628,99,33,23,17,8,187,360,195,117,49,21,745,437,102,49,137,11,729,187,48,27,86,3,346,1726,901,564,5525,145,8868,53,11,5,9,3,86,152,32,25,15,3,225,194,33,9,57,8,303,68,11,12,3,0,91,21,12,3,0,0,36,71,0,8,6,0,82,296,106,60,269,10,741,2600,758,469,866,126,4817,169,76,86,764,3361,4459,16192,7174,4707,42967,4902,75941,401,3927,2622,22338
LGA10950,33,1344,22,1448,0,0,0,25,3,25,8,0,0,13,0,20,0,0,0,12,0,12,3,0,0,0,0,5,40,42,26,987,32,1125,6,0,4,0,0,9,0,0,0,0,0,0,4,3,3,61,3,71,7,0,0,0,0,5,0,0,0,0,0,3,6,0,0,0,0,4,14,14,6,333,6,379,4,0,0,11,0,18,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,5,0,9,7,0,0,0,0,6,3,8,0,0,0,12,8,0,0,4,0,7,0,0,0,0,0,3,12,8,8,175,3,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,43,0,0,10,0,61,3,0,3,79,184,264,142,77,53,2385,243,2900,4,28,33,1280
LGA11100,813,5459,209,8061,0,10,0,82,3,90,3609,35,72,84,62,3854,343,31,23,51,14,459,128,30,22,35,0,211,1972,696,453,3657,228,7000,943,12,66,8,15,1041,135,21,6,32,4,209,261,61,41,317,11,691,1840,238,92,479,69,2711,134,15,13,17,4,188,851,11,5,11,13,895,570,222,169,1784,67,2803,931,158,77,382,45,1593,161,0,3,0,3,171,359,33,28,71,10,493,116,8,9,22,3,154,391,72,32,81,11,592,301,34,28,14,10,384,223,64,33,14,4,333,189,25,8,22,11,247,342,17,13,7,0,376,500,148,94,997,45,1784,253,19,7,17,0,294,145,14,11,4,3,180,499,20,22,38,7,584,81,0,0,0,0,87,716,74,38,25,17,873,199,3,3,0,4,217,49,12,18,58,3,144,7089,360,284,289,209,8232,581,42,43,268,2050,2995,22107,2205,1575,10533,2941,39354,678,1211,933,5653
LGA11150,36,1239,53,1369,0,0,0,134,12,144,8,0,0,11,0,18,0,0,0,0,0,0,6,3,4,3,0,10,45,30,22,731,15,851,5,0,0,0,0,3,3,0,0,4,0,12,7,5,4,65,0,81,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,13,4,13,237,4,278,3,0,0,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,3,0,3,13,8,8,160,0,181,0,0,0,0,0,0,7,0,0,5,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,25,10,11,19,3,66,3,0,0,76,424,508,128,72,55,2114,503,2867,4,56,25,1158
LGA11200,9,570,18,623,0,4,3,645,4,655,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,18,9,287,5,332,0,0,0,0,0,0,0,0,0,7,0,7,6,4,3,24,0,36,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,118,0,129,4,3,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,5,0,0,3,0,0,6,4,0,0,0,0,3,0,0,0,0,0,0,5,8,0,76,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,18,8,3,15,0,40,0,0,0,38,107,138,55,42,18,1516,125,1766,4,13,8,544
LGA11250,202,7764,238,8617,0,0,0,91,13,106,27,3,0,21,3,57,34,3,0,16,0,50,38,15,12,23,0,84,319,324,170,6124,240,7181,48,3,17,9,3,75,3,7,0,30,0,45,62,34,16,730,13,858,34,12,3,45,10,105,7,0,0,5,0,12,48,4,3,12,4,71,52,68,17,1458,34,1636,144,77,11,240,6,480,0,0,0,0,0,3,8,3,0,16,0,33,3,0,0,0,0,3,73,45,23,130,4,271,18,3,0,5,3,29,23,13,12,5,0,45,11,4,6,37,0,57,4,5,0,6,0,15,102,69,48,1185,33,1439,0,0,0,0,0,0,6,0,4,0,0,14,7,0,0,11,0,21,6,0,0,5,3,14,0,0,0,0,0,0,0,0,0,0,0,3,11,10,0,50,5,75,158,62,28,142,9,386,35,6,11,527,1112,1689,1120,733,372,14664,1633,18519,31,375,216,7591
LGA11300,373,2586,114,3903,0,4,0,17,0,22,7722,66,119,71,208,8175,323,18,12,50,3,405,58,18,5,34,0,117,1060,377,278,1872,108,3700,376,14,12,7,10,422,89,12,17,19,3,140,165,39,21,168,10,409,824,116,38,245,41,1268,57,3,9,12,0,84,1623,17,18,7,26,1689,390,168,88,1043,38,1718,1963,291,129,588,45,3021,1445,10,9,6,36,1504,1127,178,92,170,35,1594,52,4,4,11,0,70,90,19,19,44,0,174,65,10,5,3,0,87,95,12,20,5,0,128,194,14,16,33,3,254,187,11,12,32,7,249,236,105,74,633,21,1068,67,3,3,4,0,75,35,7,3,0,0,45,169,16,6,15,10,211,181,9,4,5,7,199,99,0,0,4,0,105,408,4,14,0,12,439,22,3,6,27,0,53,3413,194,111,164,92,3981,376,18,37,113,1628,2176,21805,1523,1005,5731,2357,32424,340,596,404,2406
LGA11350,902,7753,274,10445,0,4,7,65,0,74,80,26,4,50,0,170,43,12,0,17,3,74,310,87,51,95,8,551,2692,1211,836,7031,294,12074,56,3,22,9,3,99,179,41,19,98,8,344,581,166,108,724,41,1619,83,43,8,72,4,209,59,25,7,12,0,102,86,15,17,12,0,139,567,318,245,3288,115,4533,255,102,38,294,20,705,19,0,3,0,4,24,28,15,5,26,0,75,10,6,0,3,0,14,41,15,17,46,0,118,54,22,12,5,13,101,179,60,39,16,5,300,123,24,19,59,3,232,88,10,14,32,3,141,576,298,225,2178,71,3349,11,3,0,3,0,20,85,28,17,3,0,133,81,4,3,24,3,121,16,9,0,3,0,32,8,12,0,3,0,24,15,0,5,0,0,25,85,20,12,88,4,213,1364,346,260,358,58,2379,92,52,34,398,1526,2095,6294,2614,1734,16361,2210,29207,196,1416,1003,7900
LGA11400,229,5432,130,6115,0,0,0,26,7,25,12,4,0,17,3,42,15,3,3,0,0,21,53,21,16,61,5,158,427,238,234,4378,122,5400,15,0,5,4,0,22,8,7,7,32,0,56,71,34,22,328,11,471,0,3,0,10,0,21,7,3,3,3,0,17,16,3,0,0,0,18,83,84,53,1511,22,1760,51,24,8,110,5,199,0,0,0,0,0,3,5,5,0,8,0,20,3,0,0,0,0,3,11,5,0,23,0,47,21,8,3,9,0,51,29,8,10,14,0,61,19,8,9,15,0,49,12,3,3,10,0,25,95,62,53,1066,17,1298,5,0,0,0,0,5,20,3,0,0,0,22,10,3,4,7,0,18,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,5,9,3,0,42,3,72,118,49,30,89,12,287,21,16,9,266,351,657,965,575,428,10231,626,12823,9,291,270,5751
LGA11450,1625,18463,409,23302,0,8,4,90,3,107,583,48,39,67,41,767,321,70,36,143,9,580,332,121,79,174,11,726,3757,2049,1415,12771,385,20388,307,29,58,3,7,402,106,34,15,99,0,259,517,176,127,1020,27,1875,240,86,36,194,17,578,128,37,13,35,0,220,444,23,10,12,14,510,850,401,248,3769,92,5358,1379,505,165,1301,64,3420,19,3,3,0,0,24,349,91,34,94,15,578,86,33,5,32,11,169,640,168,94,445,29,1374,126,28,14,19,3,191,202,101,56,37,9,401,277,44,56,118,6,499,115,15,11,36,3,179,992,470,331,2713,76,4574,192,45,20,40,10,304,171,33,31,12,0,250,229,40,34,51,9,358,56,11,3,3,0,69,46,10,0,6,9,66,81,8,8,5,0,98,124,36,22,111,3,294,2696,497,237,498,67,3997,266,80,63,687,1753,2850,13764,4808,3002,32337,2802,56719,642,3356,2187,22545
LGA11500,3351,35426,1309,46631,10,51,20,518,40,636,2895,71,114,174,85,3345,764,101,60,156,26,1107,587,240,100,317,23,1262,8552,3792,2692,24756,1254,41045,4376,104,303,49,114,4939,393,53,31,214,28,720,1401,365,242,1955,92,4054,829,202,104,369,61,1567,357,60,43,71,8,539,5144,95,65,44,114,5461,1673,760,551,7800,246,11025,1614,509,233,1305,79,3742,125,4,13,0,3,151,1791,332,107,309,91,2623,348,33,24,36,19,455,742,240,136,551,38,1703,1206,131,85,70,80,1574,620,200,127,88,40,1081,940,107,66,229,24,1365,379,37,26,76,6,518,2091,879,627,5417,202,9222,423,41,16,37,14,532,818,70,49,33,31,995,1228,94,71,88,45,1522,412,17,11,8,7,457,130,36,3,8,12,186,848,14,34,11,25,931,262,68,34,177,18,565,20110,1514,828,1163,816,24440,1795,207,182,1552,6812,10545,57232,9447,6399,62099,10792,145969,2671,5115,3579,32590
LGA11520,1503,11024,304,15519,0,3,4,38,0,47,7909,173,212,223,133,8656,404,50,42,103,8,605,299,106,53,108,8,577,3860,1610,1135,8855,243,15704,633,18,63,9,17,736,247,35,24,108,9,414,563,142,103,772,18,1608,1875,287,121,775,50,3109,213,23,21,40,4,299,1677,58,32,33,28,1830,1318,548,323,4823,94,7118,7513,1252,518,2629,249,12165,2426,12,20,9,49,2509,1007,192,86,285,37,1616,103,18,7,16,10,143,393,98,43,160,7,704,167,25,15,3,3,205,422,110,71,25,9,642,372,42,61,86,13,589,278,35,25,56,3,393,998,442,272,2739,58,4514,227,17,25,28,6,303,218,35,25,12,8,297,484,51,31,55,7,629,282,17,7,6,6,322,362,22,15,17,8,428,490,5,23,3,10,534,123,44,24,154,3,346,5202,574,451,538,108,6876,556,84,64,460,4267,5431,37296,5264,3351,24308,5539,75762,734,2391,1674,10510
LGA11570,3599,30746,1475,47890,0,24,15,348,16,402,30020,271,368,357,733,31752,1303,123,70,207,46,1741,520,155,92,223,10,1004,10479,3911,2454,22488,1507,40835,3868,74,277,29,130,4381,612,75,61,203,15,966,1602,375,208,1750,108,4047,15531,1717,771,4095,497,22610,536,79,32,47,17,710,6067,95,82,33,135,6424,1888,1063,586,9313,312,13164,8432,1522,619,3012,317,13905,4152,19,56,17,97,4347,35069,5021,1915,3388,1568,46960,3396,350,141,406,100,4392,1165,278,123,384,36,1986,1500,138,101,46,83,1863,765,195,151,85,31,1229,1355,134,74,180,36,1781,563,39,34,79,14,731,1719,869,563,5345,172,8669,728,52,37,48,21,877,347,45,28,22,5,458,1414,93,69,114,41,1734,504,23,30,18,8,587,1189,122,30,74,46,1471,19224,95,183,94,543,20137,198,66,42,247,8,564,48224,2799,1522,1784,1516,55845,6520,498,400,1605,17643,26660,200158,18557,10069,64964,26064,319807,8172,7336,4395,28312
LGA11600,46,1094,19,1210,0,0,0,19,0,19,3,0,0,9,0,12,0,0,0,0,0,0,9,0,4,6,0,23,66,47,44,829,33,1017,22,0,0,0,0,21,0,0,0,9,0,8,13,4,3,85,3,106,5,0,0,0,0,3,0,0,0,4,0,4,15,3,0,0,0,19,20,8,11,270,12,328,22,11,6,37,0,69,9,0,0,0,3,7,4,0,0,8,0,13,0,0,0,3,0,3,5,0,0,0,0,5,21,0,0,0,0,21,9,7,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,16,17,8,226,4,273,0,0,0,0,0,0,7,0,0,0,0,11,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,24,8,3,24,3,63,7,3,3,63,72,147,240,101,79,2022,143,2585,9,54,41,1117
LGA11650,8892,106706,3447,133150,4,61,21,842,28,952,1854,153,187,613,53,2863,535,129,47,175,15,901,2200,675,398,1220,64,4555,23569,11563,8036,84948,3417,131530,1271,82,327,53,30,1757,559,128,103,773,39,1604,2343,776,555,5907,176,9763,909,277,105,694,48,2032,478,114,46,129,11,768,979,128,95,106,40,1346,4364,2523,1483,27559,776,36705,2345,947,335,3216,153,6991,349,11,20,18,6,394,331,117,42,225,31,751,75,18,8,23,3,126,1321,413,173,912,71,2894,1216,324,190,174,47,1955,1387,719,508,234,74,2926,769,164,100,361,23,1422,521,81,69,165,13,848,5417,2743,1874,19629,543,30203,240,36,9,55,12,352,865,142,94,62,8,1171,765,66,75,298,39,1236,137,49,18,32,0,235,141,37,19,17,0,207,166,18,20,6,4,213,794,297,168,818,35,2109,7697,2217,1336,2703,429,14374,1038,446,327,5067,13797,20670,54864,23281,15683,196969,21387,312182,1684,13931,9672,109393
LGA11700,13,717,27,786,0,0,0,460,0,462,3,0,0,0,0,8,0,0,0,0,0,0,4,0,0,3,0,16,41,15,19,415,14,501,0,0,3,0,0,3,0,0,0,3,0,3,14,3,0,46,0,59,4,0,0,10,0,12,0,0,0,0,0,0,0,0,0,3,0,5,9,7,3,128,0,143,7,6,0,17,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,7,0,0,0,0,5,3,7,0,4,0,13,3,0,0,0,0,3,0,0,0,0,0,4,12,3,8,97,0,129,0,0,0,0,0,0,5,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,32,3,0,16,0,57,3,3,0,26,120,154,134,57,35,1606,156,1992,0,20,26,553
LGA11720,949,20517,579,23492,0,3,0,155,4,159,119,10,5,71,5,216,22,7,0,20,3,53,176,78,53,180,11,492,1808,1320,924,16771,558,21373,122,11,47,11,7,195,37,10,8,96,0,154,316,115,87,1407,30,1956,27,27,5,71,3,134,37,10,7,9,0,63,71,3,4,9,0,86,297,199,126,3990,96,4707,113,68,18,352,6,560,7,4,0,0,0,11,26,4,3,28,0,62,7,3,3,3,0,23,55,12,7,31,3,110,108,43,16,48,7,228,121,75,38,44,12,285,156,35,18,131,8,356,22,10,6,33,0,67,595,455,304,4117,75,5550,9,0,3,3,0,12,35,5,9,9,0,59,39,8,7,47,0,102,4,3,0,0,0,7,7,0,0,0,0,3,6,0,4,0,0,13,68,50,21,258,9,399,590,170,102,415,20,1294,82,52,47,1306,2723,4207,4283,2557,1738,38421,3842,50840,153,1542,1057,22981
LGA11730,981,19834,540,22739,0,4,0,490,12,505,93,8,8,112,4,222,12,3,0,9,0,26,302,91,53,138,7,590,2127,1258,937,16130,536,20979,107,8,45,7,6,173,48,16,12,117,3,199,276,94,71,1754,32,2222,39,29,5,57,3,124,33,8,0,16,3,53,64,10,7,35,0,120,335,252,167,5037,133,5921,104,84,16,408,9,623,10,0,0,0,0,12,4,0,0,14,0,20,0,3,0,0,0,6,51,18,15,55,0,136,69,26,11,30,0,140,103,58,66,21,3,247,59,26,10,38,0,135,20,13,4,14,0,48,493,377,211,4272,97,5447,3,5,0,3,0,13,47,11,5,8,0,79,36,5,5,39,3,86,13,0,0,8,0,21,6,4,0,3,0,9,14,0,0,0,0,15,66,15,16,139,0,246,543,204,153,415,20,1333,78,53,29,1032,2048,3248,4372,2414,1760,37939,3180,49666,147,1318,940,19918
LGA11750,86,1987,54,2210,0,0,0,107,0,107,14,0,0,12,3,28,3,3,3,3,0,11,20,9,9,14,0,55,103,55,70,1405,33,1669,20,0,3,0,0,21,0,0,0,7,0,7,24,9,3,164,7,203,4,0,3,7,0,19,0,0,0,0,0,0,6,0,0,3,0,15,47,17,17,485,9,575,14,5,7,31,3,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,21,0,0,0,0,23,16,5,4,0,0,22,3,4,0,8,0,13,0,0,0,0,0,0,39,26,18,322,6,410,3,0,0,0,0,3,11,0,0,0,0,14,4,0,0,8,0,5,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,3,3,4,25,0,30,98,6,8,37,5,151,6,0,0,121,327,459,389,132,135,3630,420,4713,9,103,91,2133
LGA11800,1623,23945,721,28787,0,13,4,316,15,348,333,35,40,160,12,574,71,14,0,23,4,117,495,176,89,252,18,1026,4083,2171,1543,19925,768,28482,198,4,64,10,8,275,125,35,20,207,8,394,657,187,130,1910,83,2968,83,55,12,92,5,252,90,22,9,34,3,153,713,44,71,28,31,886,721,453,270,6607,178,8230,424,164,65,727,56,1438,23,0,0,4,0,25,29,11,3,44,4,90,14,0,0,11,0,24,104,37,29,110,5,288,90,38,30,23,3,178,250,126,83,47,12,517,149,40,24,83,4,302,59,27,12,47,3,134,914,548,379,5035,121,7007,20,3,0,3,0,30,160,16,15,12,6,207,68,10,16,74,11,177,20,5,0,8,0,26,15,4,0,0,3,22,26,0,3,0,0,37,146,36,16,176,4,383,2086,408,293,627,82,3498,230,80,44,1121,2906,4377,10687,4269,3052,45820,4589,68414,371,2417,1740,24334
LGA12000,60,1699,46,1870,0,0,0,14,0,14,3,3,0,11,0,16,0,0,0,0,0,0,13,8,4,3,0,34,106,84,70,1396,24,1685,0,0,0,0,0,0,3,0,0,13,0,13,4,6,9,133,4,157,3,0,0,3,0,3,0,0,0,0,0,0,3,0,0,7,0,12,20,22,14,549,5,607,3,8,3,33,0,53,0,0,0,0,0,0,3,0,0,11,0,12,0,0,0,0,0,0,3,0,0,0,0,3,3,0,4,0,0,10,5,0,3,3,0,9,4,4,0,8,0,17,0,0,0,0,0,0,31,26,9,370,5,444,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,7,0,0,4,0,11,41,15,3,35,0,96,8,0,0,90,173,266,225,146,115,3369,249,4100,13,82,57,1759
LGA12150,35,2055,58,2169,0,3,0,64,3,74,5,0,3,15,0,20,0,0,0,0,0,0,9,0,0,8,0,21,43,27,25,1296,64,1461,3,0,0,0,0,3,0,0,0,12,0,12,18,0,3,108,0,128,9,0,0,0,0,11,0,0,0,4,0,3,0,0,0,0,0,0,7,11,8,389,10,419,10,4,0,25,0,37,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,4,4,0,8,3,0,9,7,0,0,5,0,16,0,0,0,0,0,3,10,11,12,282,13,326,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,6,0,6,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,4,0,11,24,4,4,19,0,46,0,3,3,135,194,336,133,61,58,3465,315,4031,7,35,38,1913
LGA12350,206,4853,153,5462,0,3,0,125,3,131,22,4,0,15,3,44,9,4,0,8,0,25,51,16,16,18,0,98,357,287,193,4041,120,4998,12,0,3,0,0,16,8,3,0,32,3,48,72,26,21,233,4,351,21,5,0,21,0,50,10,0,0,6,0,18,6,0,0,0,0,10,75,47,28,1334,25,1510,40,24,10,92,3,166,4,0,0,0,0,4,3,3,0,4,0,10,3,0,0,0,0,4,37,12,6,37,0,87,12,4,8,15,3,41,15,8,17,6,0,48,29,3,3,11,0,44,9,0,0,4,0,10,100,68,38,899,8,1116,10,0,3,0,0,9,15,0,0,7,0,20,5,0,0,11,0,19,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,4,14,3,3,26,0,44,155,40,21,118,12,359,16,12,3,333,690,1049,938,494,364,9385,968,12146,27,256,199,5307
