LGA_CODE_2016,C11_85o_No_need_assist_M,C11_85o_No_need_assist_F,C11_85o_Need_assist_ns_M,C11_85o_Need_assist_ns_F,C11_85o_T_M,C11_85o_T_F,C11_85o_T_P,C11_Total_Need_assist_M,C11_Total_Need_assist_F,C11_Total_No_need_assist_M,C11_Total_No_need_assist_F,C11_Total_Need_assist_ns_M,C11_Total_Need_assist_ns_F,C11_Total_T_M,C11_Total_T_F,C11_Total_T_P,C16_0_4_Need_assist_M,C16_0_4_Need_assist_F,C16_0_4_No_need_assist_M,C16_0_4_No_need_assist_F,C16_0_4_Need_assist_ns_M,C16_0_4_Need_assist_ns_F,C16_0_4_T_M,C16_0_4_T_F,C16_0_4_T_P,C16_5_14_Need_assist_M,C16_5_14_Need_assist_F,C16_5_14_No_need_assist_M,C16_5_14_No_need_assist_F,C16_5_14_Need_assist_ns_M,C16_5_14_Need_assist_ns_F,C16_5_14_T_M,C16_5_14_T_F,C16_5_14_T_P,C16_15_19_Need_assist_M,C16_15_19_Need_assist_F,C16_15_19_No_need_assist_M,C16_15_19_No_need_assist_F,C16_15_19_Need_assist_ns_M,C16_15_19_Need_assist_ns_F,C16_15_19_T_M,C16_15_19_T_F,C16_15_19_T_P,C16_20_24_Need_assist_M,C16_20_24_Need_assist_F,C16_20_24_No_need_assist_M,C16_20_24_No_need_assist_F,C16_20_24_Need_assist_ns_M,C16_20_24_Need_assist_ns_F,C16_20_24_T_M,C16_20_24_T_F,C16_20_24_T_P,C16_25_34_Need_assist_M,C16_25_34_Need_assist_F,C16_25_34_No_need_assist_M,C16_25_34_No_need_assist_F,C16_25_34_Need_assist_ns_M,C16_25_34_Need_assist_ns_F,C16_25_34_T_M,C16_25_34_T_F,C16_25_34_T_P,C16_35_44_Need_assist_M,C16_35_44_Need_assist_F,C16_35_44_No_need_assist_M,C16_35_44_No_need_assist_F,C16_35_44_Need_assist_ns_M,C16_35_44_Need_assist_ns_F,C16_35_44_T_M,C16_35_44_T_F,C16_35_44_T_P,C16_45_54_Need_assist_M,C16_45_54_Need_assist_F,C16_45_54_No_need_assist_M,C16_45_54_No_need_assist_F,C16_45_54_Need_assist_ns_M,C16_45_54_Need_assist_ns_F,C16_45_54_T_M,C16_45_54_T_F,C16_45_54_T_P,C16_55_64_Need_assist_M,C16_55_64_Need_assist_F,C16_55_64_No_need_assist_M,C16_55_64_No_need_assist_F,C16_55_64_Need_assist_ns_M,C16_55_64_Need_assist_ns_F,C16_55_64_T_M,C16_55_64_T_F,C16_55_64_T_P,C16_65_74_Need_assist_M,C16_65_74_Need_assist_F,C16_65_74_No_need_assist_M,C16_65_74_No_need_assist_F,C16_65_74_Need_assist_ns_M,C16_65_74_Need_assist_ns_F,C16_65_74_T_M,C16_65_74_T_F,C16_65_74_T_P,C16_75_84_Need_assist_M,C16_75_84_Need_assist_F,C16_75_84_No_need_assist_M,C16_75_84_No_need_assist_F,C16_75_84_Need_assist_ns_M,C16_75_84_Need_assist_ns_F,C16_75_84_T_M,C16_75_84_T_F,C16_75_84_T_P,C16_85o_Need_assist_M,C16_85o_Need_assist_F,C16_85o_No_need_assist_M,C16_85o_No_need_assist_F,C16_85o_Need_assist_ns_M,C16_85o_Need_assist_ns_F,C16_85o_T_M,C16_85o_T_F,C16_85o_T_P,C16_Total_Need_assist_M,C16_Total_Need_assist_F,C16_Total_No_need_assist_M,C16_Total_No_need_assist_F,C16_Total_Need_assist_ns_M,C16_Total_Need_assist_ns_F,C16_Total_T_M,C16_Total_T_F,C16_Total_T_P
LGA10850,17,21,0,4,33,66,101,158,189,3137,3133,198,176,3488,3497,6985,3,0,222,198,13,18,235,212,451,23,13,492,469,27,34,540,520,1058,13,9,202,205,20,11,231,227,457,4,3,138,145,15,16,156,166,324,4,14,298,341,32,19,331,378,707,7,9,358,412,31,46,396,466,861,13,12,459,458,53,37,521,508,1029,32,21,447,431,46,35,526,488,1014,28,28,337,318,34,26,393,371,759,35,48,152,156,23,16,210,216,426,19,42,41,49,11,4,67,96,165,166,200,3148,3185,293,268,3613,3647,7257
LGA10900,248,436,44,105,481,1069,1557,1520,1871,33140,35446,2051,1913,36711,39232,75941,45,19,2017,1952,97,96,2167,2067,4232,325,135,4530,4457,198,188,5056,4782,9837,100,71,2263,2141,96,103,2453,2313,4769,52,42,1742,1628,84,80,1876,1754,3631,100,89,3127,3334,174,173,3393,3592,6985,109,114,4261,4695,256,247,4621,5059,9687,160,179,4777,5290,276,293,5215,5767,10982,281,288,4952,5584,312,339,5547,6209,11758,286,326,3819,4255,283,310,4392,4891,9280,266,420,1454,1676,123,169,1846,2261,4107,246,563,272,437,37,74,554,1079,1630,1969,2260,33211,35455,1943,2066,37119,39782,76904
LGA10950,8,16,0,0,17,34,47,59,51,1315,1267,105,108,1478,1422,2900,0,0,74,92,19,21,91,115,207,7,5,159,142,19,20,182,161,344,0,0,65,77,13,5,80,84,167,5,0,67,63,9,6,80,74,155,3,0,136,131,29,17,165,149,317,0,0,125,135,16,20,149,150,296,3,3,182,157,30,22,213,180,394,5,3,124,115,14,21,145,137,280,7,15,114,120,15,13,132,152,284,15,11,66,75,7,11,94,93,187,9,12,15,25,3,3,22,39,65,50,55,1131,1134,169,153,1355,1334,2692
LGA11100,98,168,21,40,212,458,673,848,1108,17350,17482,1294,1274,19495,19863,39354,15,10,1378,1296,101,95,1495,1405,2895,90,36,2340,2242,156,162,2586,2434,5024,36,16,1276,1166,75,82,1385,1270,2651,31,12,1740,1731,151,129,1920,1874,3793,39,30,4063,3957,343,343,4437,4328,8770,57,46,3225,3305,271,256,3546,3609,7156,101,107,2651,2616,207,170,2957,2895,5846,117,156,1931,1924,146,161,2190,2241,4430,171,225,1234,1436,98,111,1500,1770,3269,220,342,656,675,68,80,953,1101,2052,133,299,119,164,17,32,265,497,765,999,1291,20600,20511,1634,1625,23229,23420,46654
LGA11150,3,5,0,4,7,14,19,48,47,1158,1138,257,218,1459,1412,2867,0,0,79,87,29,20,109,109,222,8,3,151,161,42,34,202,195,395,0,0,43,58,11,8,52,68,121,0,0,60,64,14,15,81,81,159,7,0,129,158,45,36,181,192,369,3,3,101,135,31,30,132,161,294,10,5,153,149,40,44,201,199,401,3,12,128,102,49,25,179,132,309,7,13,76,70,20,23,111,96,209,11,4,29,36,11,16,48,58,110,5,12,7,8,3,5,11,27,40,48,49,957,1029,292,253,1301,1329,2634
LGA11200,4,7,3,0,11,14,19,30,43,784,767,69,71,884,882,1766,0,0,64,47,6,5,69,53,124,3,3,109,109,21,14,131,125,255,3,0,32,49,5,3,41,51,95,0,0,35,53,25,7,62,55,123,0,0,88,98,27,8,118,111,231,0,0,68,74,6,5,81,81,155,8,5,112,107,23,13,145,131,270,6,10,100,87,9,8,113,106,216,7,7,44,41,5,3,56,51,110,7,0,17,16,0,0,26,23,45,3,10,4,7,0,0,10,15,21,38,33,679,696,128,74,849,802,1651
LGA11250,68,91,20,37,155,336,491,636,754,7702,8066,680,675,9016,9498,18519,7,3,450,434,34,39,496,478,974,64,21,862,894,63,68,985,981,1972,20,14,457,406,32,21,510,437,949,21,7,414,430,51,50,479,486,962,31,19,874,975,118,101,1020,1097,2114,40,35,773,823,101,94,906,948,1861,65,59,996,1027,128,79,1190,1167,2356,115,109,1103,1126,99,106,1320,1344,2663,123,114,793,831,94,94,1011,1038,2049,109,162,346,489,49,66,504,716,1219,65,214,114,139,18,45,194,398,593,664,765,7185,7558,768,768,8615,9091,17708
LGA11300,116,164,26,51,289,522,809,750,928,14118,14740,1038,839,15909,16512,32424,9,0,787,769,57,52,850,818,1670,36,11,1462,1487,71,65,1565,1567,3129,10,12,952,1084,50,48,1014,1140,2156,17,10,2036,2078,148,111,2200,2200,4403,28,24,3652,3672,227,246,3909,3948,7860,27,21,1994,2068,141,137,2159,2229,4385,47,57,1901,2103,124,101,2076,2267,4337,82,109,1533,1698,84,105,1705,1913,3615,118,167,968,1090,74,67,1153,1326,2484,221,322,514,630,40,65,776,1019,1798,203,365,148,175,26,55,378,601,976,795,1103,15949,16864,1036,1055,17785,19028,36809
LGA11350,95,131,16,26,204,368,573,621,696,12681,13386,983,848,14286,14926,29207,7,5,671,683,95,84,772,775,1553,47,24,1604,1603,225,238,1877,1858,3739,17,12,721,673,101,88,834,775,1607,17,13,485,503,86,93,587,606,1194,35,30,1313,1521,256,244,1600,1789,3390,37,41,1688,2027,277,310,2005,2381,4381,73,64,1877,2226,315,325,2269,2614,4879,130,132,2202,2288,368,365,2697,2785,5482,108,80,1418,1327,229,209,1751,1615,3371,72,130,413,485,77,94,562,703,1270,83,221,110,155,35,72,237,450,687,638,749,12499,13493,2063,2119,15197,16361,31556
LGA11400,38,63,7,10,80,166,247,284,354,5916,5837,206,230,6404,6414,12823,3,0,393,372,36,38,427,402,831,24,14,957,933,67,60,1045,1012,2054,16,3,420,401,30,35,461,447,907,7,3,241,218,18,21,273,240,513,5,8,519,557,50,44,578,617,1193,15,17,676,729,61,64,753,809,1555,32,30,825,853,85,80,938,957,1887,30,39,819,765,68,61,921,868,1782,53,52,670,654,65,61,789,771,1559,48,76,322,290,30,35,394,401,792,44,101,68,78,11,18,113,188,306,274,340,5901,5832,519,519,6692,6699,13386
LGA11450,113,186,18,35,234,533,767,1031,1183,25688,26610,1160,1041,27880,28841,56719,61,34,3108,3025,163,159,3336,3221,6552,370,152,5574,5552,260,245,6205,5939,12151,98,58,2508,2466,113,109,2721,2634,5357,57,36,2241,2261,122,123,2419,2425,4846,75,72,5292,5804,325,334,5689,6209,11903,84,97,5468,5718,284,307,5836,6121,11954,104,144,4462,4635,266,234,4825,5015,9839,156,222,3191,3426,178,203,3529,3852,7377,238,245,2025,2170,146,156,2413,2571,4977,215,318,746,856,72,87,1034,1258,2292,145,355,145,209,43,83,327,652,980,1601,1727,34766,36113,1978,2040,38336,39884,78218
LGA11500,195,279,39,57,441,927,1367,3562,4158,63771,66482,4010,3987,71338,74627,145969,145,63,5426,5199,401,366,5974,5627,11605,750,347,9988,9798,681,692,11421,10833,22257,263,170,4881,4712,330,295,5481,5172,10656,196,126,5169,5245,381,339,5742,5705,11451,278,247,10177,11188,668,754,11120,12187,23307,312,348,9403,9706,652,673,10365,10735,21097,419,570,8369,9011,587,607,9376,10185,19566,621,852,7785,8190,521,585,8925,9630,18553,796,827,4669,4923,395,462,5860,6214,12079,437,752,1530,1592,198,269,2163,2609,4780,220,477,255,344,96,275,572,1096,1666,4428,4769,67657,69917,4921,5316,77002,79999,157006
LGA11520,236,388,41,83,514,995,1505,1190,1730,32945,34941,2671,2285,36804,38960,75762,25,12,2646,2484,156,152,2822,2642,5463,113,51,4146,4101,203,206,4468,4358,8822,26,29,1905,1840,117,94,2045,1963,4009,29,25,2841,2990,196,213,3062,3220,6281,49,56,7572,7811,611,593,8230,8453,16685,69,60,5990,6361,413,450,6471,6873,13340,84,115,4808,5551,307,368,5201,6029,11236,132,155,3922,4479,265,318,4313,4953,9267,203,274,2796,3140,218,240,3213,3651,6867,390,652,1291,1462,103,125,1782,2242,4023,366,774,327,419,48,87,738,1279,2020,1479,2195,38241,40627,2627,2849,42348,45666,88015
LGA11570,1055,1499,212,347,2234,3916,6153,8397,10124,138890,140714,11353,10333,158635,161168,319807,195,109,11700,11157,915,900,12810,12163,24976,839,368,21509,20490,1514,1334,23866,22197,46061,293,161,10260,9892,635,619,11189,10678,21865,249,162,11467,11040,796,776,12519,11979,24494,444,375,24212,24396,1928,1705,26579,26481,53063,591,593,21078,21499,1612,1481,23279,23574,46854,974,1209,19024,19733,1457,1414,21448,22350,43804,1554,1884,15499,15780,1116,1099,18174,18772,36941,1889,2016,9582,9729,825,855,12295,12599,24897,1999,3069,4727,4940,515,614,7239,8624,15862,1433,2707,1263,1513,226,345,2921,4568,7487,10456,12664,150332,150169,11541,11142,172327,173977,346302
LGA11600,0,9,0,3,10,27,36,46,49,1271,1125,46,41,1366,1223,2585,3,0,75,91,8,9,90,97,186,3,0,168,148,16,17,183,167,351,3,0,67,75,8,6,72,85,156,0,0,71,64,12,7,82,72,155,3,3,161,143,28,20,190,172,362,3,4,144,142,15,19,165,166,328,5,4,190,162,18,15,216,183,397,4,14,190,145,12,14,206,174,382,9,12,100,76,6,7,113,91,204,13,8,57,47,6,8,75,62,135,11,13,11,19,5,9,26,38,60,55,58,1230,1115,129,132,1421,1303,2719
LGA11650,1744,2437,282,600,3158,5808,8966,8240,9693,134348,143875,8108,7913,150704,161484,312182,243,91,9109,8695,535,502,9887,9299,19181,1272,533,18936,18426,1068,1007,21280,19967,41245,466,249,9112,9091,545,475,10117,9808,19930,339,218,8367,8124,558,566,9267,8908,18174,469,408,15696,16598,1080,1029,17244,18037,35278,554,551,17298,18586,1186,1204,19032,20343,39376,828,983,18905,20288,1323,1309,21054,22575,43630,1244,1320,17530,19631,1282,1360,20057,22308,42364,1649,1558,14442,16436,1155,1343,17251,19339,36591,1576,2300,7358,8672,785,1012,9718,11976,21691,1394,2835,2039,2737,438,837,3866,6407,10278,10037,11045,138773,147290,9951,10637,158768,168972,327736
LGA11700,4,3,0,0,5,11,11,42,26,896,871,108,46,1045,945,1992,0,0,59,47,21,11,75,58,136,0,0,79,91,19,27,97,119,211,3,0,46,46,4,16,58,61,123,0,0,45,40,10,11,53,57,108,0,0,83,97,48,27,126,127,249,0,0,86,71,23,20,110,88,201,6,0,92,97,31,15,134,112,249,8,9,121,92,20,17,147,121,268,7,5,88,55,21,10,125,72,197,4,4,27,28,6,3,38,34,73,0,3,3,8,0,3,5,19,23,43,25,719,675,213,163,973,859,1833
LGA11720,130,169,20,38,275,591,863,1603,1720,21829,22597,1824,1272,25257,25583,50840,37,15,1724,1719,147,146,1912,1884,3792,275,121,3348,3312,282,247,3902,3681,7587,96,53,1536,1545,124,109,1750,1701,3454,53,47,1450,1520,254,110,1758,1680,3443,86,92,2866,3235,567,303,3520,3631,7149,127,135,2903,2981,474,241,3507,3362,6867,192,225,2940,3019,361,252,3490,3493,6988,349,326,2910,3007,285,302,3542,3634,7177,332,304,2154,2208,264,255,2748,2770,5519,238,385,806,855,116,137,1160,1379,2538,138,377,166,239,42,93,343,706,1052,1928,2070,22800,23650,2897,2210,27633,27928,55560
LGA11730,204,305,28,41,431,820,1249,1909,1878,21269,22228,1337,1045,24514,25150,49666,29,10,1174,1048,106,95,1310,1160,2470,181,77,2664,2509,220,187,3068,2772,5837,86,35,1334,1285,121,104,1538,1424,2961,44,24,916,866,117,79,1081,966,2047,88,58,1709,1863,253,174,2053,2094,4148,122,108,2069,2348,278,222,2470,2676,5145,212,223,2730,2990,299,255,3234,3473,6710,374,297,3374,3626,352,324,4101,4247,8345,460,292,2980,3072,311,279,3748,3648,7399,338,403,1416,1490,167,174,1923,2061,3989,237,534,316,374,51,105,609,1014,1618,2173,2072,20686,21466,2280,1994,25140,25530,50671
LGA11750,10,17,0,7,19,42,61,78,74,2178,2010,204,170,2459,2247,4713,4,0,154,154,25,30,184,187,369,13,0,292,287,40,29,344,315,662,3,0,109,110,16,14,132,117,252,0,3,107,105,21,16,126,127,257,5,3,299,318,40,43,349,363,708,0,5,276,229,41,35,318,271,588,13,14,255,221,43,43,307,275,586,7,8,283,216,44,26,342,258,591,23,12,142,134,20,19,183,167,350,13,22,62,92,9,19,80,128,212,15,20,15,19,7,4,27,47,78,95,91,1993,1892,305,280,2394,2255,4647
LGA11800,297,435,60,142,609,1095,1707,1977,2063,29557,31472,1675,1679,33201,35212,68414,29,19,1875,1825,154,155,2058,1998,4055,252,107,4164,4186,294,295,4709,4584,9301,99,56,1983,1902,135,148,2224,2109,4331,74,42,1659,1621,154,141,1888,1806,3688,125,101,3257,3552,316,293,3701,3953,7649,134,143,3467,3887,294,296,3895,4326,8219,241,230,3891,4546,332,391,4461,5167,9633,336,319,4437,4767,443,386,5220,5473,10689,346,307,3512,3690,328,331,4187,4328,8512,314,480,1621,1829,253,298,2188,2601,4793,252,517,399,489,138,278,786,1284,2070,2220,2317,30270,32305,2833,3005,35319,37629,72944
LGA12000,22,31,4,4,31,68,102,115,107,1787,1895,110,99,2004,2092,4100,0,3,118,107,13,12,128,115,242,11,4,305,260,39,21,353,290,641,7,0,121,107,5,10,134,123,259,3,5,81,103,4,6,93,111,200,0,3,153,155,21,25,173,182,354,5,4,197,203,33,25,231,230,457,12,16,250,265,26,24,284,306,594,16,19,241,221,29,31,289,265,554,20,20,208,226,36,35,272,276,550,21,25,119,129,24,31,163,187,344,10,20,23,25,9,29,47,76,120,109,124,1810,1794,238,241,2160,2156,4315
LGA12150,15,29,0,3,24,50,71,127,134,1763,1752,141,116,2029,2000,4031,3,0,116,108,18,29,137,132,270,16,15,206,210,38,41,256,270,524,3,3,85,74,21,10,109,95,201,3,0,80,104,13,14,91,120,215,4,5,171,183,35,32,217,224,440,14,8,125,152,33,44,169,212,378,20,14,222,215,53,47,296,272,568,25,20,219,199,42,44,281,261,546,15,15,169,146,45,42,237,202,439,17,24,78,82,16,24,116,126,239,16,33,13,20,11,16,35,70,105,136,139,1482,1498,333,335,1947,1970,3918
LGA12350,57,107,4,12,113,213,328,375,423,5242,5290,430,373,6055,6092,12146,7,4,306,299,27,21,330,324,661,39,20,645,677,65,61,749,757,1505,12,14,332,310,40,33,378,359,739,17,13,284,271,32,38,335,325,655,24,4,461,474,48,53,531,535,1071,28,23,522,570,51,61,610,653,1261,49,44,693,733,66,74,805,852,1663,67,53,770,762,71,82,907,899,1812,73,66,718,697,58,65,855,824,1673,59,84,373,376,55,49,486,505,996,59,134,88,109,11,29,163,273,433,434,454,5191,5287,526,564,6157,6308,12460
LGA12380,420,671,75,231,940,1920,2862,4548,5756,84989,84027,7522,6379,97061,96168,193224,103,55,7935,7590,592,606,8630,8251,16880,452,202,12892,12383,731,831,14074,13413,27486,150,98,5996,5627,358,296,6509,6016,12528,151,91,8726,7097,557,527,9435,7718,17158,295,277,20690,18218,1451,1237,22430,19723,42160,400,429,14832,12943,1007,842,16237,14218,30455,643,726,10955,10860,763,763,12363,12349,24715,866,1109,8674,8656,642,633,10178,10401,20582,1064,1139,5176,5198,433,394,6668,6734,13403,955,1415,2185,2354,235,283,3377,4054,7431,610,1269,469,653,101,189,1169,2111,3282,5685,6820,98526,91576,6866,6604,111080,105000,216079
