CED_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
CED111,0,18,103,129,66,65,32,13,6,434,0,5,4,18,30,35,27,18,9,143,0,4,10,21,5,4,6,0,0,53,51,182,223,674,379,322,283,238,122,2475,196,322,551,1052,573,614,570,446,286,4601,4332,8906,10847,20015,10167,9477,7185,4902,2674,78513,0,4,9,6,9,0,6,0,0,34,8150,16139,17959,29082,13932,12001,7628,4343,2226,111463,3,3,27,54,4,3,0,0,0,96,0,3,13,70,45,52,27,25,9,231,0,0,3,12,0,3,0,0,0,17,3,30,34,146,69,34,19,9,5,339,0,0,3,75,94,54,106,32,7,371,18,62,1041,1350,162,138,55,38,18,2891,0,0,19,90,115,106,137,165,44,679,7,9,5,38,18,24,26,13,3,144,33,223,206,836,1153,1095,1096,647,301,5584,0,0,15,60,28,22,26,4,0,163,4,3,24,46,33,19,28,5,0,171,7,0,25,91,64,124,273,131,87,801
CED112,0,8,8,50,9,8,0,0,0,76,0,5,3,17,16,13,32,12,6,103,0,5,13,17,14,3,0,9,4,63,5,30,43,245,161,177,181,101,34,986,207,421,488,1066,710,717,699,592,479,5378,4602,9905,9269,18583,10390,10084,8421,5336,3050,79629,0,0,3,6,0,7,0,0,0,18,8894,18913,16786,29341,15180,14080,10850,6261,3248,123559,0,0,7,17,4,3,0,0,0,33,0,0,3,3,6,3,7,5,0,30,0,0,0,18,7,0,4,0,0,33,0,15,17,69,33,32,19,9,4,196,0,4,3,19,34,27,22,12,3,124,4,28,36,180,117,90,64,26,10,550,0,0,0,4,20,24,38,30,5,113,0,0,4,18,4,35,42,30,8,147,18,190,228,755,1131,1150,1307,927,359,6083,0,3,11,61,36,37,8,14,0,164,0,0,4,23,23,19,24,15,3,108,0,7,10,45,48,62,167,84,51,468
CED113,0,0,3,41,22,7,0,3,0,77,0,0,0,6,22,14,12,4,3,64,0,3,4,12,9,15,8,0,0,54,8,17,50,279,177,188,187,115,64,1088,207,568,551,1372,988,1029,797,482,328,6317,3861,8969,7662,17022,11129,11017,8031,4040,2029,73764,0,0,0,12,0,0,0,0,0,15,7550,16634,13628,26054,16631,16162,11121,5046,2038,114864,8,13,12,133,3,3,0,0,0,178,0,0,0,6,5,13,0,13,3,44,0,4,0,13,4,8,0,0,0,23,3,22,18,94,56,59,34,7,3,295,0,0,0,21,24,16,17,4,0,76,4,14,28,140,73,40,22,19,3,347,0,0,5,8,37,54,79,59,5,249,10,5,0,26,6,7,9,8,4,77,17,117,136,526,952,1152,1263,630,210,5000,0,6,18,83,33,19,9,4,0,183,0,12,4,34,26,25,11,9,3,136,0,6,15,60,112,155,334,168,71,920
CED114,0,0,0,20,0,4,3,0,0,26,0,0,0,4,6,12,11,3,0,36,0,8,8,19,8,7,3,0,0,62,11,50,72,301,162,117,97,71,21,902,368,765,712,1692,968,1239,1036,788,410,7988,4908,10521,9372,18777,10722,11166,8992,5613,2725,82797,0,15,22,81,30,10,4,0,0,159,9248,18871,16457,28569,16932,17729,13427,7556,3090,131888,3,11,7,82,11,0,0,0,0,106,0,0,0,3,0,3,0,4,0,8,0,0,0,7,0,0,0,0,0,9,0,12,7,40,21,11,9,0,3,101,0,0,3,7,8,4,3,0,0,27,3,15,23,127,57,25,23,3,4,275,0,0,0,0,4,19,26,22,9,79,0,3,3,20,5,3,14,3,3,49,8,55,78,289,443,527,655,410,137,2615,3,25,32,99,63,53,21,9,0,306,0,0,12,26,11,7,8,0,3,59,0,4,7,46,33,105,198,88,37,513
CED115,69,235,955,5073,3087,2558,992,498,244,13705,0,0,0,0,3,3,4,0,4,12,3,8,17,29,15,0,0,0,0,68,68,290,489,1578,1097,1070,741,413,207,5949,381,607,651,1738,748,736,458,268,134,5721,5105,10073,11695,23124,11143,10476,6198,3653,1831,83295,0,5,56,107,24,7,4,3,3,219,9133,16172,15313,13558,4122,3751,2026,1095,506,65670,7,9,20,206,24,15,8,0,0,285,0,5,68,357,234,243,113,93,20,1144,26,80,317,1785,1342,1079,585,230,121,5568,5,0,7,23,11,3,8,0,0,54,0,15,26,227,222,254,281,99,13,1136,19,60,204,916,659,688,401,322,311,3577,0,3,74,354,283,426,438,393,112,2082,5,35,32,127,64,95,85,70,15,521,12,39,22,104,156,219,226,120,59,954,8,47,126,712,313,325,109,59,12,1715,0,6,12,28,11,6,9,7,3,81,0,12,34,31,26,39,174,83,43,444
CED116,0,0,3,34,9,3,6,0,0,56,0,3,4,9,18,21,47,18,13,127,0,4,4,9,0,14,5,4,0,40,8,15,29,156,131,167,213,143,41,910,194,426,468,1079,808,987,1064,694,372,6104,3615,8150,7054,14382,9742,12422,11547,6426,2925,76266,0,0,3,4,0,0,0,0,0,4,6939,15399,13222,23524,14478,18223,15451,8053,3311,118585,0,4,0,25,0,0,0,0,0,31,0,0,0,0,4,10,3,8,0,34,0,0,0,6,3,0,3,0,0,15,0,9,16,63,29,51,45,9,3,223,0,0,4,10,16,26,30,9,5,100,0,16,22,117,74,42,46,11,11,340,0,0,4,11,31,35,109,87,5,276,3,0,0,14,3,19,36,9,7,89,9,129,126,464,1062,1421,2215,1314,452,7199,0,0,3,32,18,22,17,0,4,92,3,0,3,14,24,25,19,15,4,108,3,0,5,46,62,158,359,198,68,906
CED117,8,17,155,465,178,232,87,43,28,1215,0,0,0,45,24,14,4,5,0,97,0,0,0,35,12,5,5,0,0,59,19,54,212,1298,451,408,432,247,127,3246,268,360,599,2448,757,609,421,224,123,5812,4505,6800,7880,29317,10564,7911,5296,2925,1487,76684,0,0,3,12,3,3,0,0,0,15,8096,12100,10746,31205,11673,7809,4336,1513,812,88299,0,8,30,223,35,21,0,0,0,316,0,0,0,33,20,11,11,11,0,89,0,0,10,35,13,21,7,7,0,88,10,23,30,293,93,57,30,3,0,542,3,0,7,149,54,28,56,12,3,311,22,91,680,1572,693,592,258,203,66,4175,0,0,0,36,45,34,41,50,19,224,0,4,6,42,31,47,74,33,30,267,96,308,293,2913,1622,914,634,209,74,7059,0,0,8,159,79,88,55,13,8,412,3,12,44,286,57,36,22,11,3,474,3,18,20,261,135,86,106,43,16,695
CED118,0,4,8,105,42,54,12,3,0,231,0,0,0,8,6,13,9,3,0,37,0,8,26,51,24,8,3,0,0,116,37,159,342,1011,517,404,264,154,62,2941,261,476,413,1227,480,443,326,215,114,3952,6763,12006,10050,27912,10570,8356,5372,2567,1058,84650,3,13,146,519,174,150,62,11,3,1088,12595,20294,14065,23799,8983,6574,4013,1760,684,92773,13,53,58,570,164,107,29,3,0,1001,0,0,4,65,52,47,29,18,3,220,0,0,4,29,12,11,3,0,0,68,0,15,51,74,38,16,11,4,0,212,3,4,5,97,76,52,64,23,11,322,20,77,213,1347,583,538,268,119,44,3200,0,0,14,60,107,92,119,88,22,499,4,65,47,205,97,139,147,55,25,778,26,196,146,691,593,541,524,233,92,3042,0,51,165,990,499,412,189,76,14,2390,6,3,8,31,26,16,20,0,6,106,0,11,31,75,55,36,159,74,29,477
CED119,0,3,18,172,87,62,16,10,0,368,0,0,3,13,13,11,11,7,0,63,0,0,8,25,7,0,0,0,0,40,10,87,108,642,365,271,228,118,56,1884,139,245,248,669,337,343,269,191,124,2561,4840,9810,8683,19612,10300,8815,6288,3057,1805,73218,0,0,0,3,0,0,0,0,0,4,9441,18449,16007,27994,13607,11392,7882,3499,1921,110189,0,13,17,153,60,41,10,0,0,290,0,0,4,49,32,34,4,10,0,133,0,0,3,31,17,11,9,3,0,78,0,13,12,99,57,32,21,7,0,238,0,6,13,73,73,46,41,13,0,262,20,46,99,720,346,331,153,72,19,1808,0,0,4,24,48,50,67,43,12,244,3,50,56,216,168,180,116,48,29,864,39,212,201,931,1048,798,866,447,204,4740,0,17,31,279,144,140,66,23,0,703,0,9,8,43,33,13,6,0,0,129,3,14,15,93,92,78,152,93,31,561
CED120,3,4,0,40,16,5,0,0,0,73,0,0,3,15,21,14,17,8,5,83,0,4,14,24,13,11,3,0,0,68,7,34,49,291,209,175,143,82,54,1028,211,413,472,1109,685,688,540,376,168,4671,4858,10334,9032,19300,10604,9410,7059,3540,1735,75869,0,0,8,24,3,4,3,0,0,42,9547,19944,16785,31297,15859,13554,9486,4440,1897,122813,0,3,6,35,9,3,0,0,0,56,0,0,0,17,10,9,4,0,0,45,0,0,5,29,11,6,4,0,3,67,9,13,15,68,33,26,18,3,0,183,0,0,4,54,62,42,22,14,0,202,8,15,24,174,80,50,26,10,0,391,0,3,3,28,47,58,49,30,6,224,0,3,8,30,21,30,28,19,4,144,11,84,118,629,1110,1181,1313,637,189,5267,0,11,16,129,52,33,16,4,3,261,0,6,4,18,27,13,27,3,3,101,0,5,12,63,73,100,211,83,43,581
CED121,3,0,8,29,8,3,0,0,0,49,0,3,0,4,12,7,19,5,3,57,0,3,6,24,14,11,5,0,0,65,0,27,45,165,98,94,111,69,48,650,241,487,444,1165,729,733,739,420,268,5223,5019,10009,9148,19201,10238,10119,8216,4630,2487,79068,0,0,0,7,0,0,0,0,0,13,9726,18827,17373,32401,16620,16187,12082,6429,2896,132545,0,4,3,42,3,0,0,0,0,60,0,0,0,10,11,3,3,3,0,25,0,0,3,18,7,8,3,0,0,38,4,10,3,53,34,24,20,11,3,168,0,0,0,21,14,8,11,6,0,61,0,6,30,123,59,45,16,14,0,301,0,4,0,6,8,22,13,14,3,70,0,0,0,5,0,9,12,0,0,37,14,67,86,381,655,726,900,571,225,3626,0,3,5,53,27,25,15,3,0,141,0,4,3,12,14,10,11,4,3,63,0,0,5,31,42,65,249,75,37,514
