CED_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
CED132,63743,70382,134124,34823,25603,60425,7664,14775,22442,1389,2172,3562,1914,1952,3870,45801,44497,90297,14078,21775,35852,4.2,4.4,4.3,71.9,63.2,67.3,68.8,60.5,64.4,9792,9559,19351,1663,2673,4336,20329,22784,43114,5187,7526,12715,4820,2676,7493,228,490,718,849,1543,2396,5895,4705,10606,56699,61354,118056,14086,15031,29117,32427,36040,68467,35721,37920,73644
CED133,63841,67136,130979,20975,12280,33263,8617,15790,24408,1667,1902,3565,2996,2277,5282,34261,32252,66516,24473,29866,54335,8.7,7.1,7.9,53.7,48,50.8,49,44.6,46.8,1168,1290,2456,701,1283,1985,4925,7809,12737,3714,6424,10140,17172,8759,25936,710,1357,2068,1161,2182,3339,19038,12303,31342,60127,62111,122233,10056,10658,20718,42358,43335,85687,24880,26783,51658
CED134,60377,61996,122377,26705,15459,42164,5369,12932,18295,1952,2087,4038,2566,2001,4569,36592,32479,69070,17692,23579,41274,7,6.2,6.6,60.6,52.4,56.4,56.4,49.2,52.7,753,968,1718,406,958,1369,3372,6703,10071,2701,5038,7738,14589,7366,21950,618,1264,1882,873,1551,2418,16079,10180,26252,57634,58075,115710,9119,9880,18994,40863,40396,81265,22059,23858,45911
CED135,75881,74448,150329,35469,20613,56075,9965,13516,23486,2042,1998,4046,3819,3823,7643,51295,39952,91246,19370,29481,48847,7.4,9.6,8.4,67.6,53.7,60.7,62.6,48.5,55.6,8562,7632,16199,1069,1356,2425,15912,16613,32521,6216,7073,13283,8933,4362,13291,404,714,1120,1031,1444,2473,10370,6519,16889,68010,67667,135675,17352,15835,33186,39478,40526,80001,41312,38286,79599
CED136,60428,64233,124668,25446,13222,38666,6681,15510,22188,1675,1942,3622,2910,2577,5485,36715,33248,69959,19734,26953,46692,7.9,7.8,7.8,60.8,51.8,56.1,55.9,47.8,51.7,1011,1087,2094,451,877,1333,3620,6043,9668,4109,6153,10264,19230,9462,28692,615,1374,1994,1025,1952,2981,20868,12794,33664,58690,60490,119179,10666,11393,22060,38069,38859,76921,28024,30046,58075
CED137,75739,78308,154050,35252,24017,59266,10428,15874,26299,1919,2304,4219,3067,2841,5902,50664,45033,95699,20116,28388,48504,6.1,6.3,6.2,66.9,57.5,62.1,62.8,53.9,58.3,8494,8257,16751,1228,1870,3098,18140,20006,38148,6215,7697,13913,7730,3709,11436,359,561,915,1022,1666,2686,9106,5934,15037,62959,66488,129450,16980,16847,33833,36419,39490,75907,40513,41138,81652
CED138,60746,66735,127476,20063,11721,31784,9303,17170,26470,1693,1865,3564,2394,2046,4432,33454,32800,66251,21856,28028,49888,7.2,6.2,6.7,55.1,49.1,52,51.1,46.1,48.5,1594,1855,3450,809,1455,2268,6199,9303,15498,4351,7531,11881,16150,7325,23477,474,957,1438,1125,2095,3221,17750,10374,28124,54856,58522,113379,10795,12137,22937,35909,37918,73825,27161,30417,57574
CED139,61443,63652,125092,27227,14834,42063,6278,14894,21169,1840,2091,3929,2105,1877,3978,37452,33688,71142,19234,25136,44368,5.6,5.6,5.6,61,52.9,56.9,57.5,50,53.7,1046,1185,2231,508,1017,1522,4107,7500,11611,3153,5522,8676,16099,8117,24214,689,1345,2033,987,1871,2857,17765,11335,29102,58309,59741,118042,10252,11097,21350,40261,40756,81018,24872,26934,51809
CED140,56400,61599,117999,23930,13417,37347,6960,15278,22232,1517,1786,3299,2192,1981,4171,34591,32460,67052,18601,25536,44136,6.3,6.1,6.2,61.3,52.7,56.8,57.5,49.5,53.3,1937,1918,3853,710,1294,2002,6407,8661,15071,4742,7169,11909,15128,7351,22478,503,1020,1528,1127,2013,3137,16755,10384,27137,54009,57546,111558,9084,9836,18919,36011,38404,74408,24862,26935,51801
CED141,56937,61273,118216,23753,12625,36383,6648,15795,22450,1475,1775,3253,2563,2047,4608,34438,32249,66691,19820,26125,45950,7.4,6.3,6.9,60.5,52.6,56.4,56,49.3,52.5,1446,1473,2919,615,1131,1747,5194,7776,12968,4165,6136,10294,17843,7787,25626,502,1102,1606,1054,2045,3100,19398,10939,30334,56914,59715,116632,8184,8703,16889,40415,42195,82605,22316,24025,46346
CED142,96831,89643,186472,45144,32527,77673,13078,16699,29780,2318,2630,4941,3750,3528,7280,64288,55383,119672,19558,24048,43611,5.8,6.4,6.1,66.4,61.8,64.2,62.5,57.8,60.3,11589,11339,22925,1911,2276,4189,26812,27789,54601,7863,7895,15756,7152,3369,10525,427,481,904,1039,1179,2215,8614,5027,13642,60323,55199,115519,26919,27782,54700,27987,24932,52916,58250,56927,115176
CED143,56742,62578,119324,30780,20489,51269,7453,15391,22850,1407,1942,3349,1452,1468,2916,41097,39286,80383,11985,19308,31294,3.5,3.7,3.6,72.4,62.8,67.4,69.9,60.4,64.9,6583,6287,12870,1285,2188,3477,15974,18095,34064,5119,7663,12779,7202,3174,10383,273,524,800,977,1671,2651,8461,5374,13836,53551,57406,110954,10826,11848,22669,32943,35767,68711,29133,31361,60497
CED144,69464,70134,139594,27034,15612,42643,10902,13033,23929,2178,1806,3982,3626,2989,6616,43738,33438,77175,21513,32454,53963,8.3,8.9,8.6,63,47.7,55.3,57.7,43.4,50.5,4404,3779,8186,679,977,1659,10500,11657,22157,5280,6561,11840,9039,4361,13402,408,736,1145,995,1530,2534,10443,6635,17079,68322,68899,137218,11736,11064,22802,45106,46579,91684,30903,29477,60380
CED145,58467,65092,123563,31062,23381,54442,7462,13649,21107,1292,1948,3240,1525,1483,3011,41337,40465,81798,11054,17816,28865,3.7,3.7,3.7,70.7,62.2,66.2,68.1,59.9,63.8,7493,7555,15041,1339,1993,3333,18351,21129,39477,4335,6587,10923,4983,2344,7329,204,344,539,845,1332,2177,6028,4017,10050,48070,52097,100168,12741,14219,26959,27527,30237,57767,31297,34351,65649
CED146,64307,67510,131818,29045,17291,46339,7437,12571,20008,1933,1807,3741,3125,2876,6000,41539,34547,76082,18758,28761,47517,7.5,8.3,7.9,64.6,51.2,57.7,59.7,46.9,53.2,2006,2079,4085,389,609,995,6443,8517,14951,4813,6491,11300,11940,5915,17860,518,1038,1561,1056,1656,2709,13515,8612,22129,68183,70117,138299,8767,9064,17835,46765,48059,94821,26022,27183,53208
CED147,59060,64155,123212,25292,13034,38331,6677,15909,22581,1645,1832,3482,2273,2091,4363,35888,32877,68760,19841,27712,47553,6.3,6.4,6.3,60.8,51.2,55.8,56.9,48,52.3,1472,1561,3033,546,1113,1654,4480,6601,11082,4286,6640,10924,17587,8474,26059,518,1222,1736,1080,2256,3333,19182,11941,31123,58684,62397,121076,8973,9552,18532,40782,42890,83669,23978,26298,50279
CED194,6958,4590,11545,1322,653,1977,531,520,1047,189,116,301,583,358,941,2623,1646,4272,2178,1876,4062,22.2,21.7,22,37.7,35.9,37,29.3,28.1,28.8,193,177,365,51,67,120,574,673,1247,294,374,663,1063,351,1416,64,60,126,104,92,195,1231,504,1738,1571,849,2420,3356,2845,6200,1027,548,1571,3734,3027,6765
CED197,157,220,374,28,25,48,7,18,25,22,26,49,0,3,4,61,72,130,77,110,185,0,4.2,3.1,38.9,32.7,34.8,36.3,31.4,32.6,0,4,5,0,0,4,11,25,35,13,20,31,42,22,61,0,3,3,3,11,8,41,33,74,138,182,322,14,21,43,105,139,245,43,61,104
