CED_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
CED119,242,68,725,357,362,228,92,118,14,2209,3,6,3,0,10,3,3,11,3,50,77,135,52,76,108,38,51,23,14,577,96,110,130,82,150,85,54,67,191,971,8121,16367,8263,5184,7980,2996,1582,1786,790,53056
CED120,249,70,796,385,341,238,142,191,33,2452,7,9,4,3,10,3,5,8,0,45,86,64,65,51,58,25,74,34,34,494,170,114,261,157,182,121,165,193,162,1528,6735,10446,9097,5685,5974,2541,2762,2642,736,46617
CED121,241,57,916,421,248,267,257,273,29,2707,3,4,0,8,3,9,7,8,0,45,41,59,75,49,42,18,80,31,18,420,85,97,236,134,109,120,180,220,152,1329,4468,8645,9267,4952,4827,2292,3638,2754,654,41498
CED122,347,89,873,389,295,193,76,181,25,2469,6,4,10,19,8,13,6,14,5,86,170,257,80,109,116,63,56,43,35,935,130,177,123,147,135,101,96,117,240,1271,10062,24335,6791,5473,7993,3971,1628,2394,1030,63669
CED123,266,92,835,384,487,259,203,240,38,2806,11,8,3,10,17,8,10,12,0,74,94,66,67,60,84,40,89,55,29,581,87,97,198,130,191,115,214,185,214,1433,5393,10727,8730,5771,7398,2808,3265,2790,795,47672
CED124,212,48,824,342,179,259,103,270,23,2260,6,10,6,10,8,3,4,4,9,55,55,56,50,22,47,20,33,32,10,321,141,86,211,143,110,148,148,206,115,1315,4381,8037,6418,4410,3863,2261,1715,2579,463,34126
CED125,231,63,717,377,328,243,190,230,32,2407,3,3,10,3,10,6,15,9,4,62,56,76,84,63,96,41,111,67,19,612,102,89,192,147,166,151,244,191,198,1468,4749,9985,7864,5518,6587,2981,3340,2815,787,44628
CED126,365,127,852,347,345,236,88,139,18,2516,3,11,8,3,6,4,6,9,0,53,127,201,55,62,92,48,39,31,23,680,155,121,144,95,131,93,47,77,185,1041,10632,17345,7408,4706,6937,3466,1185,1813,809,54308
CED127,261,73,780,393,327,209,105,184,28,2358,7,15,3,6,3,6,0,12,0,55,90,166,69,76,89,36,47,31,23,635,102,115,177,115,144,69,114,143,175,1146,6431,13867,8379,5326,5928,2366,1871,2443,686,47298
CED128,190,63,612,319,317,220,142,174,26,2057,4,4,16,19,6,3,13,17,4,95,54,59,68,41,87,53,76,44,23,498,97,95,237,97,152,119,191,197,223,1401,4263,9159,7033,4303,6488,2534,2601,2457,827,39664
CED129,261,91,574,292,331,221,58,104,30,1968,9,3,3,6,13,3,7,4,3,49,143,182,63,69,132,71,37,25,12,732,123,126,115,67,123,89,44,54,204,931,10368,20958,6254,4078,8442,3457,1249,1604,975,57392
CED130,293,46,756,354,187,197,132,297,18,2280,7,10,7,9,3,6,3,17,0,58,80,71,48,36,52,30,57,55,13,446,238,153,260,167,151,128,171,352,170,1788,6490,9996,6627,4710,4531,2138,2005,3512,589,40598
CED131,242,79,973,387,258,228,106,179,33,2480,3,3,7,8,3,6,0,16,0,53,71,159,72,62,80,37,50,42,24,593,71,129,145,102,111,65,77,124,154,981,5746,18961,7402,5606,6115,2577,1701,2195,654,50946
CED132,337,108,644,264,227,167,30,85,19,1892,4,10,7,5,12,9,3,3,3,58,206,368,63,73,139,88,11,20,29,992,148,224,43,63,112,67,9,43,183,895,15040,33597,3923,3710,8236,3874,580,1134,1134,71228
CED133,238,57,951,400,192,207,89,337,23,2498,9,10,4,9,3,3,4,25,0,68,76,72,56,47,39,20,46,53,15,436,164,97,181,152,113,164,138,276,161,1447,4928,9837,6477,5514,4672,2325,1763,3361,585,39457
CED134,240,55,703,361,198,174,150,229,25,2134,6,7,3,3,3,4,5,11,3,53,61,52,39,46,37,19,40,50,18,370,304,135,237,192,176,168,230,319,211,1976,6749,8791,6378,4983,4262,1992,2292,2712,621,38777
CED135,235,61,825,314,259,215,212,216,36,2377,15,11,19,12,15,16,14,29,0,121,104,168,92,94,131,81,112,84,20,876,89,137,179,92,152,83,111,140,249,1231,7050,21949,7081,5446,8756,4017,2988,3522,1174,61984
CED136,223,60,1011,493,256,283,191,274,25,2820,3,6,4,3,5,7,6,13,4,62,58,62,89,50,59,31,71,35,28,476,92,77,227,133,95,106,141,196,134,1210,4245,8567,9178,5317,5033,2393,2794,2654,599,40783
CED137,358,98,1020,393,266,254,71,184,27,2680,8,11,22,16,7,21,5,22,9,125,141,235,53,76,154,85,36,51,52,885,147,173,149,101,143,106,53,140,272,1283,11149,26270,6231,4864,9060,4799,1444,2658,1303,67782
CED138,303,85,1122,501,263,281,108,273,30,2966,10,10,4,9,8,8,0,3,4,58,78,105,67,66,56,25,30,49,23,510,122,114,220,185,117,159,91,193,154,1360,5288,11399,7161,5745,4380,2647,1379,2912,647,41551
CED139,286,52,856,378,243,249,113,306,16,2502,6,8,3,7,3,6,3,20,0,72,79,75,60,64,59,22,51,55,15,481,253,119,215,164,124,176,151,269,137,1610,7060,9941,7252,5147,4636,2325,2032,3059,542,41990
CED140,260,74,854,414,263,268,77,197,17,2430,3,6,7,8,7,5,0,6,0,46,75,108,50,53,66,31,38,25,15,462,111,104,178,135,136,100,74,151,175,1159,5673,12548,7072,5114,5478,2656,1278,2227,663,42699
CED141,212,82,856,331,257,232,99,208,18,2302,0,3,0,4,8,5,4,8,0,35,53,65,62,51,60,21,45,31,12,400,69,74,161,119,104,97,100,143,128,1001,4650,11375,7896,4960,5351,2341,1841,2276,521,41213
CED142,569,159,1683,678,268,260,58,203,46,3921,20,17,32,60,7,25,10,48,9,226,324,579,99,156,189,115,35,66,50,1611,176,287,183,214,119,115,44,164,325,1631,15628,38514,7133,7501,9231,5580,972,3437,1474,89462
CED143,342,123,745,276,227,160,61,93,25,2045,5,3,4,10,7,6,4,7,0,51,198,285,42,69,132,90,21,13,32,890,141,173,94,75,115,78,31,53,154,913,13893,24679,5047,4160,6918,3684,728,1333,1017,61455
CED144,225,50,852,339,245,209,191,196,40,2350,4,9,27,29,12,8,13,37,9,150,75,120,73,90,106,57,74,79,34,701,93,116,190,137,146,131,151,200,271,1437,5020,12710,6314,5101,6175,3672,2853,3166,947,45961
CED145,357,105,788,318,200,132,25,68,16,1996,8,7,10,11,3,6,0,3,4,53,249,456,51,78,139,98,13,38,42,1167,172,211,67,92,109,89,22,64,170,989,13864,29512,3873,4089,6295,4004,524,1327,1080,64577
CED146,202,56,649,321,285,206,133,213,19,2086,3,9,14,10,9,12,17,17,7,88,72,77,96,72,93,40,86,61,28,625,107,106,219,116,187,140,195,199,250,1523,4429,10156,7090,4516,6694,2674,2943,2627,904,42033
CED147,259,66,1024,410,261,258,148,263,19,2703,4,4,0,4,0,3,4,13,4,40,52,61,53,38,65,15,53,45,21,405,92,100,243,135,126,134,131,223,166,1343,4730,9298,8663,5753,5236,2556,2389,2715,636,41985
CED194,14,3,42,33,7,13,5,23,0,135,0,3,0,3,0,0,0,4,0,8,0,7,3,4,8,0,3,7,0,36,6,10,17,11,7,8,9,17,26,101,200,562,348,285,168,119,144,278,58,2162
CED197,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,18,14,7,11,6,7,8,3,74
