SAL_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SAL10011,142,116,260,76,22,98,12,40,45,6,10,26,5,0,6,101,73,174,34,39,73,3,4,3.4,70.9,64.7,68.1,68.8,62.1,65.8,0,0,0,0,0,6,0,13,16,5,15,19,56,27,85,0,3,3,0,4,0,65,35,96,150,123,274,14,12,29,109,86,195,50,42,95
SAL10012,13,15,26,9,3,13,4,4,3,0,0,0,0,0,0,12,10,17,0,0,0,0,0,0,73.3,57.1,65.5,73.3,57.1,65.5,0,0,0,0,0,0,0,4,4,0,0,0,3,0,3,0,0,0,0,0,0,3,0,5,8,5,16,0,5,3,9,3,13,3,4,6
SAL10013,16,15,27,3,0,6,0,6,5,0,0,0,0,0,0,5,8,12,3,3,6,42.9,0,20,50,53.3,51.7,28.6,53.3,41.4,0,0,0,0,0,0,0,0,4,0,4,7,0,0,5,0,0,0,0,0,0,0,0,4,11,7,22,4,4,7,9,10,13,3,6,13
SAL10014,1390,1460,2856,686,552,1244,172,315,489,138,123,263,52,41,92,1051,1029,2080,324,418,737,4.8,4,4.4,75.6,70.4,73,72,67.6,69.8,134,156,293,22,41,61,317,387,700,146,156,301,255,127,386,7,23,33,23,35,58,292,184,476,1601,1621,3221,192,185,375,1101,1110,2205,592,588,1182
SAL10015,157,136,295,46,34,78,21,26,45,3,6,8,5,8,7,74,69,144,59,44,102,6.7,7,6.8,47.8,51.8,49.7,44.6,48.2,46.3,7,3,9,0,0,0,10,13,26,10,10,26,43,15,58,3,0,5,7,3,7,47,26,71,145,111,254,9,16,28,101,86,182,46,45,87
SAL10016,2525,2746,5264,1191,854,2049,405,814,1222,98,119,212,101,58,161,1799,1846,3643,623,794,1420,5.6,3.1,4.3,71.2,67.2,69.1,67.2,65.1,66.1,136,182,317,44,101,146,472,644,1109,192,300,495,609,339,950,28,29,58,34,52,85,676,421,1091,2361,2477,4837,549,618,1171,1469,1569,3034,1300,1411,2704
SAL10017,2163,2222,4387,1020,573,1593,337,716,1054,98,112,211,49,37,83,1510,1441,2947,624,744,1364,3.4,2.4,2.9,69.7,64.7,67.2,67.4,63.2,65.2,166,151,320,61,88,151,426,593,1021,242,239,476,506,209,714,13,41,56,43,66,109,564,315,879,2414,2401,4819,324,311,631,1728,1719,3447,846,855,1704
SAL10018,396,400,798,175,80,251,30,102,136,22,15,32,19,7,24,240,200,437,139,168,307,7.1,3.4,5.4,60.1,51,55.5,55.8,49.2,52.5,5,9,19,3,9,8,18,40,54,21,30,59,121,65,187,3,8,12,10,5,15,130,79,213,386,385,771,49,51,105,283,290,578,137,130,266
SAL10019,43,35,79,18,13,31,0,7,15,0,0,0,0,0,0,22,18,47,12,4,14,0,5,2.3,53.3,58.8,55.7,53.3,55.9,54.4,0,0,0,0,0,0,4,4,4,5,0,5,5,4,9,0,0,0,0,0,3,11,6,13,41,28,70,4,3,6,37,24,60,7,5,9
SAL10020,19,9,26,3,0,5,0,4,3,0,0,0,0,0,0,6,4,11,10,5,9,0,0,0,37.5,36.4,37,37.5,36.4,37,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,7,16,11,29,3,0,3,13,4,25,0,0,5
SAL10021,406,396,802,185,103,291,64,84,154,27,32,58,7,0,15,290,226,518,105,152,257,3.5,1.3,2.5,70.7,57.6,64.2,68.2,56.8,62.6,11,17,31,0,5,9,25,46,71,29,42,71,130,53,187,8,10,14,6,9,16,144,71,215,427,397,829,56,58,115,292,276,568,171,164,333
SAL10022,1055,1336,2387,194,135,333,91,157,253,85,60,138,60,55,115,424,415,842,485,736,1219,13.8,13.8,13.8,40.6,31,35.2,34.9,26.8,30.4,43,28,71,0,14,14,51,75,127,43,93,133,127,142,270,8,24,28,7,29,37,139,191,341,1073,1284,2360,195,224,422,624,759,1387,532,642,1175
SAL10023,74,64,139,12,7,22,13,12,21,3,0,9,5,4,4,29,23,54,40,36,75,13.3,8.3,11.1,40.5,38.1,39.4,35.1,34.9,35,6,3,11,0,3,3,3,7,15,0,5,3,17,12,26,0,0,0,0,3,4,22,14,36,59,59,128,18,10,25,43,41,83,25,23,49
SAL10024,33,33,68,20,15,32,0,8,9,0,0,0,0,0,0,18,20,41,12,9,16,0,0,0,61.8,63.3,62.5,61.8,63.3,62.5,0,0,0,0,0,0,4,3,6,0,9,9,7,9,11,0,0,0,0,0,0,9,7,12,31,31,63,0,0,3,25,31,53,3,4,7
SAL10025,5276,5688,10968,2447,1414,3861,718,1540,2261,352,463,811,130,101,229,3649,3516,7167,1425,1925,3345,3.6,2.8,3.2,69.1,61.8,65.3,66.7,60.1,63.3,101,143,241,45,131,178,368,657,1025,405,689,1090,1936,1061,3001,53,117,173,75,193,269,2071,1373,3441,5674,5857,11533,769,818,1590,3987,4152,8141,2080,2194,4275
SAL10026,2727,2983,5709,977,581,1563,345,653,993,177,201,380,87,71,159,1582,1508,3085,995,1341,2339,5.3,4.8,5.1,57.9,50.6,54.1,54.9,48.2,51.4,38,33,76,14,52,65,127,227,352,182,299,478,950,572,1526,21,63,86,54,122,174,1034,752,1784,2761,2944,5705,370,413,783,1919,2027,3942,1040,1162,2202
SAL10027,1976,2263,4235,875,633,1505,299,590,886,53,78,134,62,45,105,1288,1352,2635,574,826,1404,4.6,3.6,4.1,65.3,59.6,62.2,62.3,57.5,59.7,148,182,329,61,114,173,352,519,878,167,268,439,414,217,633,11,35,45,33,59,94,461,305,770,1819,2031,3845,417,437,852,1147,1300,2443,965,1085,2055
SAL10028,1015,325,1337,99,83,181,33,58,89,11,11,22,7,4,14,150,152,307,842,154,998,3.9,5.2,4.6,15,47.5,22.9,14.4,45.1,21.8,0,3,3,0,7,4,13,32,46,15,26,40,103,51,159,5,13,15,9,10,18,117,77,195,295,296,589,29,35,62,223,221,442,87,88,173
SAL10029,70,60,126,29,14,45,15,17,33,0,4,8,0,0,0,47,38,86,13,15,29,4.3,2.6,3.5,71.2,63.9,67.7,68.2,62.3,65.4,0,4,4,0,0,0,3,8,14,7,9,11,12,9,20,0,0,0,3,4,5,13,9,28,58,59,122,12,6,20,51,42,93,24,18,44
SAL10030,4464,4122,8587,2709,2200,4909,585,742,1324,231,276,501,128,99,224,3650,3314,6964,571,599,1168,3.5,3,3.2,81.7,80.5,81.1,78.9,78.1,78.5,682,739,1426,141,171,319,1579,1634,3214,389,399,796,420,185,606,23,27,52,48,54,105,492,267,756,3212,2897,6112,1487,1455,2941,1505,1377,2888,2986,2804,5786
SAL10031,1277,1320,2597,553,382,935,190,314,504,96,87,182,25,13,36,861,799,1664,396,505,900,2.8,1.9,2.3,67.4,60.7,64,65.5,59.6,62.5,69,68,138,21,36,59,240,260,497,126,183,308,313,144,462,12,12,20,37,59,99,366,217,581,1413,1431,2846,104,119,229,1129,1158,2287,322,342,667
SAL10032,35,34,65,20,11,35,3,16,22,0,0,7,0,0,0,24,32,57,3,8,9,0,0,0,87.5,82.9,85.1,87.5,82.9,85.1,0,0,0,0,3,3,5,6,12,0,3,5,11,8,17,0,0,0,0,0,3,12,11,22,39,40,78,0,0,0,24,33,63,14,6,22
SAL10033,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,4,0,7,0,0,0
SAL10034,34,40,74,17,6,22,5,8,14,0,0,0,0,3,3,21,16,40,12,23,36,0,11.1,5.1,63.6,45,53.4,63.6,40,50.7,0,0,0,0,0,0,4,0,3,0,10,11,13,5,14,0,0,0,0,0,0,13,5,14,32,37,71,3,9,13,22,28,53,11,16,29
SAL10035,42,48,88,14,7,23,8,11,17,0,0,5,4,0,5,29,21,51,10,20,32,7.4,8.7,8,64.3,52.3,58.1,59.5,47.7,53.5,3,4,6,3,0,3,7,8,18,0,8,9,12,4,14,0,0,0,0,0,0,9,6,19,39,42,87,4,3,8,26,27,55,12,23,37
SAL10036,2788,2963,5757,1291,781,2078,414,783,1195,120,210,327,69,52,122,1897,1827,3720,803,986,1790,3.6,2.8,3.2,68,61.5,64.6,65.5,59.8,62.6,239,224,459,62,111,177,615,707,1319,262,408,670,541,212,746,14,43,54,50,100,146,602,346,950,3130,3184,6318,371,393,763,2331,2373,4702,966,1051,2016
SAL10037,28,32,63,19,16,32,0,15,12,0,0,0,0,0,0,21,27,41,5,10,16,0,0,0,65.5,75.8,71,65.5,75.8,71,0,0,3,0,0,0,0,3,5,3,5,6,9,7,14,0,0,0,0,0,0,16,6,19,33,36,68,4,3,0,21,22,42,11,16,23
SAL10038,2272,2353,4629,791,623,1420,405,457,863,201,173,375,97,72,176,1501,1328,2823,675,922,1595,6.5,5.6,6.1,65.8,56.4,61.1,61.5,53.3,57.3,262,261,527,30,62,95,554,577,1129,266,297,560,229,150,384,16,25,41,27,53,80,277,227,504,1971,2065,4038,562,510,1075,1208,1307,2517,1199,1133,2335
SAL10039,23,23,47,14,4,18,0,10,8,0,0,4,0,0,0,18,16,35,7,4,11,5.9,5.9,5.9,70.8,81,75.6,66.7,76.2,71.1,0,3,3,0,0,0,0,3,4,0,0,9,9,6,12,0,0,0,0,0,0,7,6,6,30,21,50,5,3,3,20,17,40,9,7,12
SAL10040,61,61,122,18,15,36,7,21,29,3,0,6,5,6,3,29,42,68,27,19,45,9.7,7.9,8.7,50,63.3,56.6,45.2,58.3,51.6,0,0,0,0,0,0,4,8,12,5,10,13,18,13,33,3,3,9,0,0,0,23,20,45,59,64,124,3,0,3,46,47,97,21,15,33
SAL10041,88,63,157,43,9,55,3,18,25,3,0,3,0,0,0,50,31,83,30,34,58,1.9,0,1.2,58.9,45.5,53.2,57.8,45.5,52.6,0,0,0,0,0,0,0,3,3,5,7,6,29,14,39,4,0,6,0,3,3,31,12,42,92,71,163,4,0,8,69,51,122,21,18,40
SAL10042,23,19,50,3,4,10,4,11,12,0,0,0,0,0,0,14,10,28,13,11,23,7.1,0,3.7,51.9,61.9,56.3,48.1,61.9,54.2,0,0,5,0,0,0,11,7,17,3,3,5,5,0,7,0,0,0,0,0,0,5,3,8,26,22,44,5,5,11,17,11,30,10,8,15
SAL10043,25,20,46,10,3,17,3,7,11,0,0,0,0,0,0,15,9,29,5,0,3,0,0,0,61.5,65,63,61.5,65,63,0,0,0,0,0,0,4,4,6,0,3,3,5,0,10,0,0,0,0,0,3,7,4,10,22,18,46,0,0,3,21,20,36,0,4,4
SAL10044,65,57,123,25,15,35,16,21,31,0,0,0,0,0,3,44,35,81,19,22,41,4.7,2.8,3.8,69.4,62.1,65.8,66.1,60.3,63.3,4,5,8,4,5,6,11,11,24,15,5,17,12,7,23,0,0,0,3,4,7,17,15,27,63,58,117,11,7,19,42,46,85,28,19,49
SAL10045,199,179,372,72,39,119,41,60,98,7,9,17,10,0,10,136,108,239,54,57,120,4.5,0,2.5,66.3,61,63.8,63.3,61,62.2,5,13,19,0,11,11,31,42,70,32,25,59,49,15,71,0,4,4,6,4,11,53,27,80,191,178,372,25,15,45,148,133,278,66,56,118
SAL10046,2232,2737,4973,726,500,1229,377,674,1050,73,108,185,48,39,87,1227,1321,2548,903,1290,2198,3.8,3,3.4,54.8,48.2,51.2,52.7,46.8,49.5,77,115,195,40,78,119,322,474,804,198,329,521,600,351,953,21,47,69,42,93,132,661,490,1151,2245,2633,4878,317,389,708,1556,1783,3336,880,1135,2017
SAL10047,34,35,70,13,15,33,4,3,8,3,0,0,0,0,0,21,17,42,11,12,25,0,0,0,62.9,56.8,59.7,62.9,56.8,59.7,0,0,0,0,0,0,0,0,0,0,6,6,10,8,19,0,0,0,0,0,0,10,9,27,39,44,78,3,4,3,30,30,61,9,8,19
SAL10048,20,13,26,7,4,15,0,4,3,0,0,0,0,0,0,11,9,21,4,3,4,0,0,0,70.6,69.2,70,70.6,69.2,70,0,0,0,0,0,0,3,0,3,0,0,4,4,5,10,0,0,0,0,0,0,4,5,10,11,16,28,3,0,6,11,13,26,5,5,13
SAL10049,2726,2876,5605,847,577,1420,312,433,743,247,196,442,124,116,240,1532,1314,2844,992,1338,2328,8.2,8.7,8.5,56.1,45.7,50.8,51.5,41.8,46.5,69,64,134,15,43,59,198,287,487,179,269,445,646,431,1078,23,46,68,40,66,105,704,545,1259,2917,2962,5882,357,370,727,2020,2039,4058,1050,1078,2130
SAL10050,9,24,33,3,3,6,0,0,0,0,0,3,0,0,0,0,7,15,0,7,14,25,0,8.3,33.3,40,37.5,25,40,34.4,0,0,0,0,0,0,0,5,5,0,4,5,0,6,3,0,4,4,0,0,0,0,6,12,5,14,20,0,6,4,5,13,19,0,3,3
SAL10051,5,0,7,4,0,8,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,6,0,0,0,5,0,11,0,0,0
SAL10052,21,16,32,11,7,18,3,5,6,0,3,3,0,0,0,13,11,21,4,4,3,0,0,0,72.2,78.6,75,72.2,78.6,75,0,0,0,0,0,0,0,3,8,0,0,0,0,0,8,0,0,0,5,0,3,0,4,5,26,16,35,0,0,0,19,11,28,0,5,4
SAL10053,22,21,47,10,8,16,0,7,13,0,0,0,0,0,0,15,9,28,7,6,14,7.1,0,3.8,58.3,57.1,57.8,54.2,57.1,55.6,0,0,0,0,0,0,0,6,6,4,6,6,14,4,17,0,0,0,0,0,0,14,5,13,32,26,51,0,0,0,15,10,27,12,15,24
SAL10054,21,24,40,17,7,22,0,4,3,0,0,0,3,0,3,20,9,29,3,9,14,12.5,7.7,10.3,80,61.9,70.7,70,57.1,63.4,0,0,0,0,0,0,0,0,3,0,4,4,3,5,9,4,0,4,0,0,0,7,5,14,23,23,45,0,0,0,14,14,31,5,10,10
SAL10055,30,24,54,12,15,30,3,4,7,0,0,0,0,0,0,23,19,37,8,11,14,0,0,0,66.7,55.6,61.4,66.7,55.6,61.4,0,0,0,0,0,0,5,3,10,0,6,10,5,3,7,0,0,0,0,5,5,5,4,10,31,25,58,0,0,0,20,22,43,9,7,10
SAL10056,70,73,149,37,20,54,11,20,32,0,3,3,0,0,0,49,40,82,21,34,50,2.2,0,1.2,63,53.4,58.2,61.6,53.4,57.5,0,0,0,0,0,0,6,6,13,4,9,13,22,21,39,0,0,0,0,3,7,29,28,52,74,73,149,8,3,11,50,56,109,23,22,45
SAL10057,20,17,31,6,0,8,0,4,7,0,0,0,0,0,0,4,6,10,14,5,14,0,0,0,35,42.9,38.2,35,42.9,38.2,0,0,0,0,0,0,0,0,0,0,0,5,3,3,10,0,0,0,0,0,0,3,4,11,17,10,33,0,0,0,18,10,24,3,0,3
SAL10058,41,33,74,9,5,9,0,6,3,4,0,5,0,0,3,12,13,22,21,17,39,8.3,10,9.1,30,29.4,29.7,27.5,26.5,27,3,0,3,0,0,0,3,0,4,0,7,5,9,5,13,0,0,0,0,0,0,9,5,15,28,24,49,6,4,9,19,17,39,15,8,22
SAL10059,82,88,169,26,12,39,13,28,44,0,3,5,0,3,8,38,50,92,35,41,78,5,6,5.6,49.4,54.9,52.3,46.9,51.6,49.4,3,6,6,3,8,7,26,23,46,4,14,19,18,10,34,0,0,0,0,0,6,23,12,38,84,86,173,9,14,22,61,68,126,30,29,59
SAL10060,183,136,326,42,24,70,24,28,55,24,14,39,6,0,10,97,70,167,72,56,124,6.2,2.8,4.7,52.4,52.2,52.3,49.2,50.7,49.8,0,5,9,3,8,6,4,9,13,8,15,18,51,17,68,0,3,3,9,3,6,58,22,82,184,135,316,19,13,28,138,104,245,46,36,84
SAL10061,1744,1844,3589,558,261,819,187,457,642,73,92,169,49,27,80,876,838,1714,763,901,1663,5.7,3.6,4.7,50.1,45.4,47.7,47.2,43.8,45.5,30,38,71,11,31,44,123,177,304,155,228,378,618,304,926,15,35,48,31,71,101,665,401,1071,1667,1720,3387,252,300,549,1038,1055,2091,803,875,1679
SAL10062,3782,4189,7967,1862,1657,3513,550,885,1437,206,249,450,112,103,212,2726,2894,5618,792,1056,1852,4,3.6,3.8,72,69.1,70.5,69.1,66.6,67.8,605,757,1359,93,205,297,1215,1504,2720,325,350,674,345,187,533,19,32,53,60,68,122,428,280,704,3388,3679,7072,816,955,1765,2113,2340,4451,1890,2101,3989
SAL10063,640,606,1247,241,141,384,111,158,269,60,47,104,13,17,28,424,365,785,205,227,432,3.1,4.4,3.7,66,59.7,62.9,64,57.1,60.6,24,36,60,3,10,16,72,104,178,42,77,114,215,68,284,0,12,12,18,21,40,231,105,336,673,630,1302,59,56,118,528,497,1022,193,159,354
SAL10064,1152,1174,2328,563,345,909,144,300,450,112,97,206,27,16,42,845,759,1606,261,374,637,2.8,2.2,2.6,73.1,64.6,68.8,71,63.1,67,12,38,46,8,20,24,82,166,243,82,134,223,445,214,655,17,23,40,21,28,39,474,258,733,1409,1353,2767,150,143,293,923,883,1810,486,499,985
SAL10065,21,18,37,5,3,15,8,6,8,3,3,3,0,0,0,13,13,22,0,3,4,0,18.2,7.7,78.9,61.1,70.3,78.9,50,64.9,0,0,0,0,0,0,5,3,6,0,3,5,8,0,8,0,0,0,0,0,0,8,0,10,17,17,32,3,3,8,11,9,23,4,9,16
SAL10066,16,14,30,6,4,14,7,0,6,0,0,0,0,0,0,14,8,21,5,7,12,0,0,0,83.3,53.8,71,83.3,53.8,71,0,0,0,0,0,0,0,4,4,0,0,0,7,4,7,0,0,0,0,0,0,10,4,9,16,9,29,8,5,12,17,6,23,7,7,14
SAL10067,9,3,13,5,4,4,4,3,6,0,0,0,0,0,0,6,3,11,0,0,0,0,0,0,85.7,100,91.7,85.7,100,91.7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,11,3,14,0,0,0,5,0,10,0,3,6
SAL10068,41,50,95,12,13,23,4,13,17,5,5,10,0,0,0,22,33,53,16,21,35,4.3,6.7,5.7,53.5,56.6,55.2,51.2,52.8,52.1,0,0,0,0,4,4,5,8,12,0,3,8,9,7,17,0,0,0,0,3,3,10,13,16,43,55,94,6,4,12,35,37,74,11,13,28
SAL10069,6,3,13,5,4,6,0,0,0,0,0,0,0,0,0,5,0,8,0,3,3,0,33.3,11.1,75,50,64.3,75,33.3,57.1,0,0,0,0,0,0,0,0,0,0,3,3,5,0,5,0,0,0,0,0,0,5,0,5,10,10,18,0,0,0,10,3,12,3,3,7
SAL10070,205,197,403,51,32,83,24,44,70,0,12,13,7,5,14,88,94,180,109,99,208,8.1,3.2,5.6,42.4,47.5,44.9,38.9,46,42.4,10,13,17,10,4,12,28,43,71,24,30,55,63,26,93,0,4,0,0,6,11,65,40,104,182,180,361,35,29,59,128,130,255,82,76,157
SAL10071,100,83,180,41,15,51,7,28,32,3,3,6,5,0,0,56,42,100,35,40,76,5.4,2.3,4,56.6,53.7,55.2,53.5,52.4,53,4,3,8,0,10,10,7,12,18,11,10,23,34,12,48,0,0,0,0,0,7,33,14,48,90,76,170,13,15,27,69,51,118,36,32,70
SAL10072,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,100,50,66.7,100,50,66.7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
