SAL_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SAL10066,41,2800,669,345,1875,1.2,1812,3.5
SAL10067,33,2600,1274,285,3083,0.9,1375,2.6
SAL10068,47,1311,680,300,1875,0.7,1437,2.5
SAL10069,46,0,1583,350,3249,0.6,3125,2.4
SAL10070,59,1733,596,400,1513,0.7,1321,2.2
SAL10071,53,1105,656,225,1525,0.8,1042,2.1
SAL10072,54,0,1125,0,0,0.8,0,4
SAL10073,46,3300,920,485,2736,0.8,2659,3.2
SAL10074,45,1684,748,385,1855,0.8,1550,2.5
SAL10075,58,1300,575,100,1093,0.8,1041,2.1
SAL10076,53,2000,719,210,1474,0.7,1328,2.3
SAL10077,55,494,466,150,1042,0.7,786,2
SAL10078,44,1060,762,0,2250,0.8,1999,2.7
SAL10079,40,1517,616,350,1608,0.8,1318,2.3
SAL10080,52,1376,525,202,1196,0.8,1042,2.3
SAL10081,45,0,1312,0,2750,1,2750,3.5
SAL10082,51,780,601,160,1432,0.8,1010,2.3
SAL10083,47,2000,687,250,1542,0.8,1593,2.9
SAL10084,41,1517,1125,0,2249,0.9,1625,3.5
SAL10085,43,221,807,100,1875,0.8,1333,2.5
SAL10086,36,1500,730,290,1893,0.7,1432,2.3
SAL10087,34,2319,856,500,2205,1.1,2046,2.7
SAL10088,45,0,1208,530,2250,1.3,1375,1.3
SAL10089,66,659,506,200,930,0.8,718,1.9
SAL10090,47,1625,678,373,1792,0.8,1605,2.7
SAL10091,37,2772,1202,525,3052,1.1,2420,2.5
SAL10092,46,2000,949,0,2416,0.8,2166,2.8
SAL10093,35,4117,928,25,1906,0.9,1843,2.8
SAL10094,44,2817,892,600,2869,0.9,2571,2.9
SAL10095,61,1300,544,350,1333,0.7,1113,2
SAL10096,55,1300,504,310,1444,0.8,1233,2.4
SAL10097,57,3250,687,0,774,0.7,1024,2.3
SAL10098,32,1950,458,295,1316,1,1089,3.1
SAL10099,36,2210,890,440,2256,1,1888,2.3
SAL10100,54,658,461,185,1046,0.7,855,2.2
SAL10101,34,1257,955,280,2366,0.9,1899,2.7
SAL10102,36,1103,577,220,1253,0.7,994,2.3
SAL10103,39,1950,891,440,2354,0.7,2148,2.8
SAL10104,36,2400,1041,490,2603,1.1,2300,2.7
SAL10105,50,433,512,84,1656,0.9,1406,2.6
SAL10106,43,1284,757,300,1718,0.7,1428,2.5
SAL10107,31,2000,580,410,1440,1.2,1533,3.3
SAL10108,47,1820,788,335,1968,0.8,1812,2.8
SAL10109,42,2726,1080,550,2955,0.8,2586,2.8
SAL10110,31,2535,930,520,2224,0.8,2168,3.1
SAL10111,52,1350,638,260,1625,0.9,1375,2.7
SAL10112,46,3250,995,700,2891,0.8,2481,2.8
SAL10113,50,1571,674,380,1312,0.9,1124,2.4
SAL10114,54,2898,866,330,2416,0.7,2250,2.7
SAL10115,43,2508,927,530,2671,0.8,2358,2.8
SAL10116,0,0,0,0,0,0,0,0
SAL10117,40,1903,725,300,1931,0.8,1524,2.4
SAL10118,47,1733,928,500,2583,0.8,2250,2.7
SAL10119,40,1755,780,300,2178,0.9,1726,2.8
SAL10120,51,1842,780,430,2173,0.6,1825,2.3
SAL10121,47,1148,762,300,1875,0.7,1770,2.5
SAL10122,59,750,725,200,2249,0.6,1875,1.9
SAL10123,64,0,575,0,0,0.3,575,1
SAL10124,29,2167,1083,133,2166,0.9,2250,3.4
SAL10125,42,1133,449,0,1374,0.9,2250,3.6
SAL10126,62,1700,941,0,2125,0.8,1375,2.4
SAL10127,60,1200,450,380,1249,0.7,900,1.8
SAL10128,69,0,575,81,0,0.4,575,1
SAL10129,48,0,524,350,1062,1,1062,2.6
SAL10130,56,4768,632,252,1833,0.9,1374,2.9
SAL10131,46,1421,665,276,1958,0.8,1843,2.8
SAL10132,64,0,665,0,1624,0.8,900,1.9
SAL10133,40,1300,490,505,1312,0.8,1271,3
SAL10134,74,0,900,0,2124,0.4,1187,1.7
SAL10135,48,1603,474,245,1312,0.8,1208,2.5
SAL10136,41,1517,725,250,1437,0.8,1416,2.6
SAL10137,59,1365,687,275,1875,0.6,1437,2.3
SAL10138,37,2167,849,345,2125,0.9,2083,3.4
SAL10139,50,2730,735,450,2250,0.8,1749,2.4
SAL10140,52,2600,469,250,1562,0.9,1375,2.6
SAL10141,57,2366,416,100,699,0.9,366,1.5
SAL10142,59,0,833,0,1937,0.5,1937,2.3
SAL10143,49,1690,850,180,2124,0.7,1791,2.2
SAL10144,40,2000,840,500,2135,0.8,2023,2.9
SAL10145,56,1300,630,175,1875,0.7,1375,2.2
SAL10146,43,1733,704,390,1853,0.7,1525,2.5
SAL10147,34,580,630,300,1416,1,1416,3.1
SAL10148,44,1745,683,375,1768,0.8,1487,2.7
SAL10149,44,1249,680,205,1624,0.9,1375,2.7
SAL10150,25,1600,991,200,1249,0.9,1574,2.5
SAL10151,49,925,675,0,2050,0.8,1562,2.2
SAL10152,37,1300,840,171,1625,0.8,1625,3
SAL10153,43,500,675,225,630,0.9,1012,3
SAL10154,41,3250,1264,640,3462,0.9,2681,2.5
SAL10155,43,4878,1333,1320,4784,0.8,4687,3.3
SAL10156,42,2383,812,450,2321,0.8,1912,2.6
SAL10157,37,745,725,100,2249,1.1,2749,3.5
SAL10158,48,2100,537,150,1375,0.8,1350,2.8
SAL10159,52,2500,575,255,1374,0.7,1125,2.3
SAL10160,47,800,495,100,1724,0.8,1218,2.3
SAL10161,45,1930,700,400,1792,0.9,1483,2.9
SAL10162,43,1441,830,240,2062,0.8,1857,2.6
SAL10163,56,1733,615,360,1448,0.7,1013,2
SAL10164,54,0,725,0,0,0.3,725,1
SAL10165,42,3986,1577,625,4562,0.9,3039,2.2
SAL10166,46,4333,1550,617,4641,0.9,3020,2.2
SAL10167,45,1950,759,380,2083,0.8,1931,2.6
SAL10168,43,2167,905,415,2263,0.8,2147,3
SAL10169,47,893,687,200,1690,0.7,1197,2.3
SAL10170,53,3120,664,260,1375,0.9,949,2.8
SAL10171,0,0,0,0,0,0,0,0
SAL10172,51,2275,634,272,1541,1,1624,2.8
SAL10173,23,0,624,0,1625,1,1499,3.5
SAL10174,46,2167,851,450,2435,0.7,2181,2.9
SAL10175,40,2170,920,650,2300,0.9,2097,2.7
SAL10176,56,2492,825,0,2250,0.6,1562,2
SAL10177,43,2479,1031,650,3083,0.7,2625,2.6
SAL10178,43,2800,949,650,2843,0.8,2626,2.9
SAL10179,41,2500,763,500,2174,0.9,2018,2.8
SAL10180,33,3000,1353,620,2571,1.2,2225,2
SAL10181,34,1800,542,400,1436,1.2,1331,2.9
SAL10182,69,0,1125,225,2250,1.3,1999,2
SAL10183,52,2167,743,0,1812,0.8,1125,2.2
SAL10184,52,2334,1085,660,2374,0.7,2250,2.4
SAL10185,52,0,849,150,1624,0.6,1208,2
SAL10186,49,1871,629,440,1571,0.7,1268,2.4
SAL10187,56,1100,493,450,1624,0.8,1312,2.1
SAL10188,41,2700,1196,393,3619,0.8,2300,2.3
SAL10189,52,1500,674,300,2333,0.7,1125,1.7
SAL10190,51,2054,1075,280,1249,0.7,1125,1.8
SAL10191,50,650,519,157,1266,0.8,1034,2.2
SAL10192,40,8834,2167,1246,4807,1,4591,1.8
SAL10193,25,0,0,0,0,0,0,0
SAL10194,41,2641,1033,685,3145,0.8,3134,3.3
SAL10195,30,2600,990,550,2401,0.9,2417,3.5
SAL10196,42,2800,916,550,2709,0.9,2386,2.8
SAL10197,42,2600,793,550,2329,0.9,2099,2.9
SAL10198,48,744,670,200,1787,0.7,1262,2.2
SAL10199,41,2167,742,410,2032,0.8,1736,2.8
SAL10200,58,1148,571,185,1368,0.7,995,2.1
SAL10201,0,0,0,0,0,0,0,0
SAL10202,50,1219,443,260,1024,1.1,784,2.4
SAL10203,48,650,479,190,1125,0.7,864,2.4
SAL10204,0,0,0,0,0,0,0,0
SAL10205,39,1733,794,360,2020,0.8,1784,2.7
SAL10206,46,1387,719,260,1762,0.7,1375,2.3
SAL10207,58,758,470,195,1137,0.6,776,1.9
SAL10208,41,1863,618,380,1594,0.8,1340,2.5
SAL10209,48,2600,783,480,2510,0.8,1836,2.6
SAL10210,45,1733,468,310,1224,0.8,1149,2.6
SAL10211,63,1950,658,242,1416,0.8,1187,2.1
SAL10212,41,0,1312,0,3499,0.5,2249,1.8
SAL10213,0,0,0,0,0,0,0,0
SAL10214,50,2200,966,415,2749,0.8,2062,2.5
SAL10215,55,0,425,180,1249,1.1,749,3
SAL10216,52,1083,1375,300,2750,1.1,2624,2.6
SAL10217,55,1517,555,270,1382,0.7,1262,2.3
SAL10218,57,0,350,0,0,1,350,1
SAL10219,45,1465,756,250,2124,0.8,1437,2.4
SAL10220,26,0,0,0,0,0,0,0
SAL10221,46,1900,942,250,2607,0.7,1875,2.6
SAL10222,49,0,350,0,1024,0.9,725,3.4
SAL10223,48,1532,620,360,1555,0.7,1244,2.4
SAL10224,34,2383,534,450,1576,1,1411,3.3
SAL10225,22,0,725,0,0,0.8,0,4
SAL10226,51,2253,660,0,2150,0.8,2071,2.8
SAL10227,42,2058,719,400,2001,0.8,1475,2.5
SAL10228,54,1365,595,320,1408,0.7,1128,2
SAL10229,53,1300,539,285,1149,0.7,791,1.8
SAL10230,54,2300,1031,225,2374,0.6,1625,2.5
SAL10231,41,1517,753,300,1648,0.7,1209,1.9
SAL10232,49,867,602,180,1412,0.7,1064,2.2
SAL10233,39,2600,973,520,2748,0.9,2474,3
SAL10234,45,1950,937,405,2386,0.8,2178,2.8
SAL10235,56,1733,666,325,1646,0.7,1240,2.2
SAL10236,0,0,0,0,0,0,0,0
SAL10237,58,3691,876,850,3050,0.7,1885,2.3
SAL10238,41,3250,982,730,3028,0.9,2937,3.2
SAL10239,33,2990,1462,650,3510,1,3061,2.4
SAL10240,59,693,388,150,900,0.8,762,2.1
SAL10241,38,2167,575,700,1874,0.8,1437,3.1
SAL10242,63,2306,900,250,2062,0.7,1875,2.4
SAL10243,38,3000,1046,650,3274,0.8,3308,3.5
SAL10244,42,1708,695,105,1458,0.8,1125,2.7
SAL10245,49,2167,806,305,1718,0.6,1575,2.4
SAL10246,41,488,621,200,1374,0.8,1208,2.8
SAL10247,45,1,716,250,1821,0.7,1375,2.5
SAL10248,37,1955,715,368,1641,0.8,1516,2.8
SAL10249,43,3350,1076,590,3298,0.8,2962,3
SAL10250,66,1000,725,0,0,0.3,725,1
SAL10251,39,1300,832,250,2097,0.8,1786,2.6
SAL10252,38,1517,900,0,2750,1,2749,2.9
SAL10253,43,1408,660,320,1564,0.7,1196,2.3
SAL10254,31,0,1080,175,2374,0.7,2139,2.8
SAL10255,53,3150,1625,0,3249,0.7,2250,2.5
SAL10256,55,2167,519,300,1375,0.8,971,2.1
SAL10257,40,2500,672,460,2056,1,1727,2.9
SAL10258,44,2447,833,530,2583,0.9,2833,3.4
SAL10259,54,867,724,180,2250,0.6,575,1.4
SAL10260,42,3142,1166,129,2700,0.7,2083,2.6
SAL10261,39,2392,789,480,2216,0.8,2213,3.3
SAL10262,41,1589,450,0,2249,1,1149,2.4
SAL10263,40,3400,1081,740,3393,0.8,3518,3.4
SAL10264,38,1950,611,252,1547,0.8,1183,2.3
SAL10265,54,1688,583,250,1199,0.8,1149,2.2
SAL10266,45,680,737,180,1687,0.8,1284,2.4
SAL10267,62,3358,825,400,2583,0.6,2187,2.2
SAL10268,34,1600,643,323,1612,0.8,1427,2.7
SAL10269,40,1580,694,368,1758,0.8,1487,2.6
SAL10270,49,1000,470,200,1145,0.9,858,2.4
SAL10271,39,3900,1575,650,4509,0.9,3315,2.5
SAL10272,41,1733,787,350,1625,0.8,1187,2.3
SAL10273,44,1477,651,390,1535,0.8,1268,2.4
SAL10274,49,2500,1510,420,3374,0.7,2812,2.6
SAL10275,32,1000,1218,325,2999,1,2750,3.5
SAL10276,48,2058,697,340,1870,0.8,1280,2.2
SAL10277,40,1955,748,380,2089,0.8,1739,2.6
SAL10278,48,1835,643,273,1478,0.8,1239,2.3
SAL10279,38,2156,640,380,1737,1,1456,2.6
SAL10280,51,1300,589,230,1666,0.8,1292,2.5
SAL10281,57,2650,1149,0,2750,0.9,2750,2.9
SAL10282,50,0,900,0,1875,0.6,1499,1.5
SAL10283,46,3441,903,890,3114,0.8,2598,2.9
SAL10284,50,1138,538,245,1305,0.8,1015,2.3
SAL10285,55,2612,687,160,1874,0.8,1562,2.3
SAL10286,47,650,674,125,1687,0.7,1231,2.4
SAL10287,57,1205,585,230,1625,0.8,1025,2.1
SAL10288,55,2000,749,310,1699,0.7,1224,2.3
SAL10289,52,1083,542,300,1289,0.8,1021,2.3
SAL10290,56,1246,644,200,1416,0.7,1152,2.1
SAL10291,37,1896,662,325,1843,0.8,1625,2.8
SAL10292,43,1517,814,270,1906,0.8,1416,2.6
SAL10293,28,1270,1025,155,2624,0.8,2125,3
SAL10294,46,0,725,140,2250,0.8,1875,2.4
SAL10295,72,0,450,0,900,0.6,900,2
SAL10296,32,1950,891,240,1781,0.9,1843,3.4
SAL10297,42,2167,812,463,2408,0.8,2176,2.9
SAL10298,53,1500,580,250,1239,0.8,1212,2.6
SAL10299,37,2000,595,380,1620,1,1552,3
SAL10300,47,2383,870,200,2143,0.7,2035,2.6
SAL10301,39,1484,664,350,1587,0.8,1257,2.3
SAL10302,51,1733,725,600,1791,0.8,1541,2.7
SAL10303,40,1733,568,290,1541,0.8,1217,2.5
SAL10304,36,1950,790,420,2053,0.8,1791,2.7
SAL10305,37,2571,756,450,2194,0.8,2036,3.2
SAL10306,0,0,0,0,0,0,0,0
SAL10307,58,1517,602,310,1313,0.7,1022,2.1
SAL10308,41,2700,998,580,3052,0.8,2781,3
SAL10309,42,2500,974,580,2810,0.8,2468,2.9
SAL10310,56,2383,1097,575,2650,0.7,1812,2.1
SAL10311,46,1517,669,320,1447,0.7,1136,2.2
SAL10312,59,1684,657,335,1531,0.7,1269,2.2
SAL10313,51,1226,843,0,2124,0.7,1541,2.4
SAL10314,55,2383,695,0,2499,0.6,1406,2.2
SAL10315,45,1300,755,270,1947,0.8,1455,2.3
SAL10316,41,250,249,275,612,0.9,612,3.1
SAL10317,55,933,586,173,1276,0.7,980,2.2
SAL10318,51,3000,815,350,2643,0.8,2349,2.9
SAL10319,52,2243,925,490,2351,0.7,2100,2.5
SAL10320,49,2037,450,360,1024,0.7,900,2
SAL10321,57,2167,775,520,2050,0.7,1495,2.3
SAL10322,43,900,1111,200,2360,0.7,2156,2.6
SAL10323,65,6167,1281,660,2374,0.5,2250,1.9
SAL10324,61,2210,662,307,1437,0.7,1125,2.3
SAL10325,32,0,833,200,2374,0.8,2250,3.3
SAL10326,48,1712,703,410,1625,0.9,1583,2.6
SAL10327,57,813,519,113,1625,0.6,1016,1.9
SAL10328,55,1885,758,180,1374,0.5,1208,1.9
SAL10329,42,3000,859,540,2586,0.9,2242,2.9
SAL10330,40,2500,701,460,2108,0.9,1862,2.9
SAL10331,41,2167,662,450,1833,0.9,1774,2.5
SAL10332,44,2134,773,340,1862,0.9,1704,2.6
SAL10333,40,2351,735,470,2119,1,1870,2.9
SAL10334,42,2800,735,450,2329,0.9,1894,2.7
SAL10335,38,5042,1017,230,2150,0.7,2125,2.8
SAL10336,52,1300,739,195,1449,0.7,1357,2.3
SAL10337,38,759,725,108,1468,0.9,1300,2.5
SAL10338,54,500,900,0,2624,0.7,2250,2.4
SAL10339,30,1733,451,200,1045,0.9,899,2.8
SAL10340,56,1733,616,300,1542,0.8,1343,2.4
SAL10341,53,1777,933,550,2250,0.7,2333,2.6
SAL10342,44,2300,1100,225,2250,0.7,2124,2.4
SAL10343,59,0,949,0,1562,0.6,1666,2
SAL10344,49,1857,780,150,2083,0.8,1708,2.7
SAL10345,57,1192,575,215,1406,0.7,875,2
SAL10346,45,2167,643,340,1854,0.9,1385,2.8
SAL10347,44,1901,748,470,1865,0.8,1562,2.6
SAL10348,43,1403,925,280,2267,0.8,2025,2.7
SAL10349,54,3467,1557,1075,4600,0.7,4299,2.5
SAL10350,46,3315,1062,895,3003,0.8,2856,2.9
SAL10351,51,0,900,0,2249,0.6,1875,2.7
SAL10352,51,0,649,0,2399,0.6,2250,2.7
SAL10353,50,2000,833,220,1583,0.7,1375,2.2
SAL10354,43,2286,700,289,1562,1,1474,2.7
SAL10355,53,1229,437,225,1312,1,491,1.9
SAL10356,45,1850,928,200,2522,0.8,1843,2.7
SAL10357,48,2352,710,410,2164,0.8,1692,2.6
SAL10358,0,0,0,0,0,0,0,0
SAL10359,49,1472,671,130,1906,0.7,1781,2.6
SAL10360,43,1767,680,0,1625,1.1,1666,2.9
SAL10361,45,1300,821,280,2046,0.7,1433,2.3
SAL10362,45,1300,793,230,1781,0.8,1325,2.3
SAL10363,65,5200,612,120,1312,0.6,962,1.7
SAL10364,61,1062,479,200,1064,0.7,853,2
SAL10365,52,1143,574,0,1416,0.7,1333,2.4
SAL10366,61,1300,600,273,1406,0.8,1125,2.1
SAL10367,58,1300,450,450,1187,0.9,900,2.6
SAL10368,33,538,933,180,2100,0.8,1474,2.8
SAL10369,48,1700,928,425,2437,0.7,2042,2.6
SAL10370,39,3000,807,400,2250,0.9,2113,3
SAL10371,54,585,456,150,980,0.7,782,2
SAL10372,42,650,892,250,1978,0.9,1875,3.1
SAL10373,46,4000,1661,700,4706,0.9,3603,2.4
SAL10374,63,1150,425,250,1374,0.7,624,1.8
SAL10375,41,1886,630,100,1562,1,1600,2.9
SAL10376,28,1700,666,380,1753,0.9,1468,2.6
SAL10377,47,0,762,270,2125,0.7,1624,2.3
SAL10378,36,2033,548,440,1639,1,1575,3.2
SAL10379,43,2000,762,185,2139,0.8,1949,2.8
SAL10380,51,1550,746,350,1843,0.7,1625,2.6
SAL10381,59,2167,675,0,1312,0.7,1416,2.3
SAL10382,23,1733,850,0,1375,1.1,1375,3.8
SAL10383,65,1661,598,375,1357,0.7,1053,2
SAL10384,47,2665,903,586,2946,0.8,2980,3.2
SAL10385,56,1080,899,0,3250,0.5,1375,2
SAL10386,47,2000,766,225,1922,0.7,1768,2.6
SAL10387,42,1302,716,380,1850,0.9,1625,2.8
SAL10388,46,1300,840,200,2025,0.7,1774,2.5
SAL10389,43,1600,683,350,1831,0.8,1422,2.5
SAL10390,43,2000,707,420,1994,0.8,1604,2.6
SAL10391,31,1733,560,310,1386,0.9,1174,2.9
SAL10392,53,1733,740,380,1820,0.7,1332,2
SAL10393,38,2167,537,360,2125,1.2,2250,3.8
SAL10394,58,2089,580,260,1312,0.9,737,1.9
SAL10395,50,1733,636,390,1783,0.8,1252,2.3
SAL10396,34,2094,757,400,1935,1,1774,2.9
SAL10397,45,369,714,172,1625,0.7,1416,2.7
SAL10398,45,2024,732,390,1963,0.8,1449,2.2
SAL10399,37,2167,809,470,2388,0.8,2389,3.4
SAL10400,33,1997,763,385,1890,0.8,1792,3.1
SAL10401,47,2156,885,335,2156,0.7,1825,2.5
SAL10402,43,3208,901,600,2744,0.8,2474,3.1
SAL10403,39,2044,1089,350,2833,0.8,2374,2.6
SAL10404,29,1375,725,0,2166,0.8,1437,3.1
SAL10405,51,1300,846,200,2166,0.7,1449,2
SAL10406,41,2230,937,420,2524,0.8,2171,2.7
SAL10407,55,1733,488,275,1593,0.8,1531,2.8
SAL10408,39,2600,888,470,2723,0.9,2764,3.4
SAL10409,38,1380,696,265,1798,0.7,1383,2.5
SAL10410,32,2167,935,410,2250,0.8,2029,2.8
SAL10411,36,625,749,124,1781,0.8,1374,2.8
SAL10412,72,0,450,0,0,0,450,1
SAL10413,52,2167,731,380,1865,0.7,1323,2.1
SAL10414,33,1794,714,420,1743,0.8,1608,2.9
SAL10415,58,1300,464,250,862,0.9,739,1.9
SAL10416,69,0,1625,0,0,0.5,1625,1
SAL10417,50,0,900,0,1625,0.7,1624,2.5
SAL10418,38,2000,956,325,2250,0.7,2083,2.8
SAL10419,64,2000,641,255,2125,0.7,1275,2
SAL10420,47,1950,809,315,2206,0.8,2048,2.9
SAL10421,42,1619,706,410,1659,0.7,1407,2.5
SAL10422,36,2100,1399,330,2749,0.9,2312,2.9
SAL10423,38,1300,1312,590,2874,0.7,2374,2.9
SAL10424,47,2167,755,470,2037,0.7,1741,2.6
SAL10425,43,3000,1031,0,2249,0.6,1937,2.7
SAL10426,55,1450,474,216,1624,1,1083,2.3
SAL10427,46,1733,669,550,1531,0.7,1531,2.9
SAL10428,57,2019,551,196,1389,0.8,1211,2.3
SAL10429,44,1400,850,270,1874,0.7,900,2.4
SAL10430,35,3800,1292,0,2750,0.9,2499,3
SAL10431,51,1244,521,335,1428,0.9,1359,2.5
SAL10432,50,1000,612,150,1374,0.8,1375,2.6
SAL10433,53,1300,616,275,1430,0.8,1181,2.3
SAL10434,52,542,818,220,1812,0.7,1187,2.4
SAL10435,40,1842,1196,225,3249,0.8,2399,2.8
SAL10436,43,758,1036,0,3250,0.7,1166,2.8
SAL10437,40,1083,601,200,1312,0.7,1260,2.6
SAL10438,41,1898,761,460,1942,0.8,1595,2.6
SAL10439,52,1734,421,180,1281,0.7,933,2.1
SAL10440,36,867,486,155,1238,0.9,1105,2.9
SAL10441,43,1200,695,300,1893,0.7,1506,2.3
SAL10442,0,0,0,0,0,0,0,0
SAL10443,44,1549,864,200,2250,0.9,2125,2.8
SAL10444,52,1733,661,250,1625,0.7,1625,2.8
SAL10445,61,0,483,360,900,0.6,774,1.8
SAL10446,61,1400,575,140,1562,0.6,866,1.9
SAL10447,46,3055,606,335,1531,0.8,1625,2.6
SAL10448,43,1517,623,267,1438,0.8,1217,2.5
SAL10449,41,2000,946,440,2437,0.7,2217,2.8
SAL10450,36,2167,979,420,2723,0.8,2546,3.1
SAL10451,57,0,1625,280,0,0.5,1625,1
SAL10452,45,1584,612,310,1416,0.7,1119,2.2
SAL10453,49,3584,383,260,2249,0.7,2749,2.8
SAL10454,47,1083,725,215,1712,0.7,1277,2.1
SAL10455,49,2167,944,290,2166,0.9,2042,2.6
SAL10456,40,2644,1117,380,3227,0.7,2903,3
SAL10457,40,3250,949,610,2714,0.9,2594,2.9
SAL10458,51,1911,766,325,2115,0.7,1800,2.6
SAL10459,47,1788,1208,290,2349,0.8,2333,2.7
SAL10460,43,2059,1042,150,2999,0.7,1875,2.6
SAL10461,59,650,462,210,1010,0.7,668,1.8
SAL10462,34,3033,1386,656,3345,1,2546,2.1
SAL10463,33,3033,1583,675,3592,1.1,2795,2
SAL10464,53,0,549,0,0,0,0,0
SAL10465,35,3100,1307,660,3225,1.1,2379,2.1
SAL10466,42,1820,685,400,1729,0.7,1460,2.5
SAL10467,44,3000,1104,700,3169,0.8,3087,3
SAL10468,51,1820,677,445,1784,0.7,1421,2.5
SAL10469,37,1950,486,374,1463,1,1393,3.2
SAL10470,38,2038,568,450,1849,0.9,1930,3.6
SAL10471,51,650,556,200,1416,0.7,1042,2.5
SAL10472,44,2000,733,465,1968,0.8,1829,2.8
SAL10473,49,1478,679,245,1593,0.8,1458,2.6
SAL10474,40,1907,1105,150,2050,0.8,1843,3
SAL10475,54,2167,659,400,1810,0.7,1218,2.1
SAL10476,47,1287,776,250,1458,0.7,1375,2.6
SAL10477,0,0,0,0,0,0,0,0
SAL10478,0,0,0,0,0,0,0,0
SAL10479,53,1800,483,315,1275,0.7,1062,2.1
SAL10480,39,1907,768,400,2012,0.8,1504,2.4
SAL10481,29,0,1624,175,3249,0.7,3249,2.4
SAL10482,43,1400,833,150,2312,0.8,1812,2.5
SAL10483,0,0,0,0,0,0,0,0
SAL10484,33,1387,883,230,2100,0.9,2050,3.3
SAL10485,46,2032,757,350,1713,0.8,1454,2.3
SAL10486,39,2000,1089,200,2624,1.2,1687,3.3
