SSC_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SSC11428,585,703,1285,933,1068,1999,0,0,0,349,421,768,37,51,91,1691,1868,3566,32,31,64,81,102,180,5,7,9,19,11,27,32,32,63,38,36,68,114,133,251,135,152,288,680,832,1514,10,8,18,18,12,32,281,358,642,257,314,574,0,11,10,4707,5444,10149,775,737,1519,206,169,375,9,5,10,0,0,0,39,39,76,52,50,106,92,83,184,4469,4069,8540,43,24,60,10,13,25,4518,4109,8626,803,733,1538,11697,11992,23688
SSC11429,0,0,0,23,21,48,0,0,0,3,3,3,0,0,0,18,17,39,0,0,0,0,4,4,5,3,9,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,3,7,4,10,6,4,9,0,0,4,0,0,4,69,67,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,28,59,0,0,0,0,0,0,29,30,63,8,11,20,112,103,216
SSC11430,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,8,0,0,0,0,0,0,3,7,8,0,0,0,7,9,17
SSC11431,0,0,0,6,13,16,0,0,0,0,0,0,0,0,0,8,4,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,9,0,0,0,0,0,0,4,9,7,3,0,6,29,25,47
SSC11432,0,0,0,9,8,12,0,0,0,0,0,0,0,0,0,10,13,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,21,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,3,3,4,0,0,3,23,30,51
SSC11433,16,30,47,401,681,1073,0,0,0,49,50,97,0,0,0,501,661,1161,4,3,11,24,14,38,12,15,26,0,0,0,0,8,15,0,0,0,29,37,60,26,47,72,65,115,182,17,12,28,23,23,47,96,141,239,65,63,129,0,0,3,1306,1878,3184,5,3,9,10,12,20,3,8,7,0,0,0,3,3,4,4,10,10,6,12,18,511,512,1028,8,3,12,6,0,7,524,516,1043,181,265,443,2051,2726,4774
SSC11434,0,0,0,39,35,75,0,0,0,3,3,3,0,0,0,54,51,102,0,3,3,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,4,4,0,7,10,14,19,0,0,0,0,0,0,11,12,17,7,4,12,0,3,4,130,133,264,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,3,3,69,46,113,0,0,0,0,3,0,70,45,119,18,21,41,219,203,421
SSC11435,152,183,337,508,555,1063,0,0,0,66,77,146,37,41,78,1528,1631,3158,3,3,9,130,135,268,8,7,13,20,15,41,13,3,17,72,94,168,14,19,35,68,59,121,204,211,414,6,19,30,3,0,3,140,152,293,149,141,296,7,10,11,2978,3177,6153,128,126,246,250,259,514,8,11,14,0,0,0,16,20,35,32,32,65,44,48,98,1370,1200,2567,14,9,25,5,8,9,1386,1221,2607,409,365,778,5352,5386,10737
SSC11436,6,4,9,86,85,166,0,0,0,3,0,4,0,0,0,58,68,129,0,0,0,5,10,13,8,0,5,0,0,0,0,3,3,0,0,0,0,0,0,4,3,7,7,10,16,3,0,0,0,0,0,9,3,14,10,3,16,0,0,0,187,188,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,88,198,0,0,0,0,0,0,107,88,198,26,15,44,329,300,623
SSC11437,0,0,0,6,3,14,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,3,3,5,0,0,0,18,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,3,4,5,0,0,0,23,19,38
SSC11438,22,35,57,481,566,1046,4,0,5,28,22,50,0,4,3,1198,1310,2508,14,10,21,74,74,143,7,9,15,11,3,14,4,0,8,37,41,81,18,15,36,31,29,58,60,53,106,4,9,14,4,0,9,58,65,124,69,88,163,3,9,8,2113,2306,4417,49,54,109,102,87,194,0,0,0,0,0,0,15,16,30,4,3,9,18,23,39,686,538,1221,0,0,5,0,0,0,684,542,1227,207,183,391,3199,3238,6436
SSC11439,94,121,216,262,247,506,0,0,0,13,22,36,0,0,0,553,571,1127,0,0,4,70,62,131,0,0,0,7,3,6,7,14,17,0,0,3,8,19,27,8,11,14,35,28,66,0,4,3,0,3,4,47,40,89,35,38,72,0,3,0,1045,1067,2109,21,25,49,25,17,46,33,26,57,0,0,0,0,0,0,0,7,10,8,9,17,2278,2107,4388,54,45,99,10,11,25,2348,2162,4509,550,465,1013,4119,3894,8014
SSC11440,0,0,0,15,16,31,0,0,0,0,0,5,0,0,0,20,8,27,0,0,0,0,0,0,7,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,41,39,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,19,0,0,0,0,0,0,4,14,19,5,3,8,56,54,107
SSC11441,22,37,57,219,240,456,0,0,3,17,19,32,0,0,0,417,444,861,0,0,0,31,32,62,15,12,21,6,0,4,3,0,6,12,8,21,16,13,30,20,17,38,24,20,45,0,0,0,0,3,3,21,29,51,26,40,63,0,0,3,829,876,1710,16,14,29,44,44,92,0,0,3,0,0,0,3,3,3,0,0,0,3,3,4,282,250,534,0,3,5,0,4,4,285,259,543,77,67,145,1278,1310,2582
SSC11442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC11443,0,0,0,13,11,19,0,0,0,0,0,0,0,0,0,13,14,21,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,3,0,4,0,0,0,0,0,0,30,26,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,19,0,0,0,0,0,0,10,13,19,7,9,13,46,43,95
SSC11444,10,8,20,176,236,415,0,0,0,16,15,31,0,0,0,285,351,628,0,0,0,0,0,0,0,0,0,0,0,0,11,25,38,3,0,3,19,18,38,10,18,30,50,61,113,3,3,3,7,3,13,67,72,137,6,20,28,0,0,0,653,828,1478,14,10,21,19,28,45,0,0,0,0,0,0,6,3,12,0,0,0,6,4,13,259,251,509,3,0,3,4,0,4,260,254,515,72,100,170,1035,1236,2269
SSC11445,18,37,54,504,644,1155,0,0,0,21,31,51,0,0,0,580,648,1224,0,6,8,26,36,57,3,9,10,0,3,3,4,4,10,3,0,3,7,12,23,15,12,21,65,75,136,0,5,5,3,5,8,60,94,152,35,46,77,0,0,0,1314,1627,2948,7,7,14,12,10,15,0,0,3,0,0,0,3,0,3,8,14,17,6,14,17,699,623,1322,5,5,9,3,3,4,712,637,1344,198,200,397,2263,2525,4793
SSC11446,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,9,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,23,0,0,0,0,0,0,11,13,23,0,0,0,29,23,45
SSC11447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC11448,5,0,5,8,14,20,0,0,0,0,0,0,0,0,0,19,21,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,3,0,0,0,3,4,5,0,3,3,5,4,7,33,43,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,3,0,7,15,18,32,0,0,0,0,0,0,15,14,38,6,3,8,61,72,134
SSC11449,0,0,0,14,24,38,0,0,0,0,0,0,0,0,0,25,23,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,0,0,0,0,0,0,6,5,11,6,5,9,0,0,0,57,55,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,22,18,41,0,0,0,0,0,0,24,18,38,14,12,26,105,85,188
SSC11450,0,0,0,12,13,28,0,0,0,0,0,0,0,0,0,7,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,24,21,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,13,0,0,0,0,0,0,10,7,13,5,0,10,34,26,66
SSC11451,0,0,0,17,21,38,0,0,0,3,3,6,0,0,0,24,21,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,51,50,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,16,0,0,0,0,0,0,8,7,16,18,7,29,72,70,139
SSC11452,0,0,0,32,35,61,0,0,0,0,0,0,0,0,0,19,16,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,7,13,0,0,0,0,0,0,55,57,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,39,0,0,0,0,0,0,19,16,39,20,24,39,98,101,197
SSC11453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12
SSC11454,0,0,0,137,134,273,0,0,0,0,0,0,0,0,0,128,120,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,7,17,24,0,0,0,0,0,0,26,24,50,4,3,3,0,0,0,306,308,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,46,111,0,0,0,0,0,0,67,46,111,22,28,51,396,376,779
SSC11455,0,0,0,10,12,28,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,28,21,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,14,0,0,0,0,0,0,3,8,14,9,7,13,37,38,76
SSC11456,0,0,0,43,34,79,0,0,0,0,0,3,0,0,0,36,33,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,7,4,12,0,0,0,0,0,0,5,11,13,6,7,9,0,0,0,107,88,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,29,33,65,0,0,0,0,0,3,29,37,64,31,11,43,168,134,304
SSC11457,0,0,0,23,26,48,0,0,0,3,4,3,0,0,0,22,21,39,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,8,7,15,0,0,0,0,0,0,3,10,13,0,3,4,0,0,0,62,70,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7,26,0,0,0,0,0,0,18,7,26,10,12,15,81,87,169
SSC11458,3,4,7,47,33,74,0,0,0,0,0,0,0,0,0,31,25,53,0,0,0,0,0,0,11,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,8,16,0,0,0,7,4,16,5,5,14,7,12,23,0,0,0,113,110,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,67,151,0,0,0,0,0,0,85,67,151,23,17,35,226,193,423
SSC11459,3,0,4,25,20,52,0,0,0,0,0,0,0,0,0,17,16,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,3,3,3,5,0,6,11,4,3,4,3,3,7,0,0,0,61,61,116,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,35,74,0,0,0,0,0,0,46,35,74,16,10,21,119,103,227
SSC11460,0,0,3,28,24,45,0,0,0,5,0,6,0,0,0,25,21,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,24,0,0,0,3,3,4,3,3,5,4,3,8,0,0,0,75,60,139,37,18,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,30,68,0,0,0,5,8,7,37,36,73,28,32,59,188,153,338
SSC11461,3,5,7,23,15,44,0,0,0,0,3,7,0,0,0,26,21,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,8,16,0,0,0,0,0,0,7,16,21,10,9,20,0,0,0,66,78,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,6,7,77,65,140,3,4,4,0,3,6,83,71,154,17,21,36,171,180,343
SSC11462,0,0,0,11,4,16,0,0,0,0,0,3,0,0,0,8,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,19,15,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,20,17,38
SSC11463,0,0,0,10,17,26,0,0,0,0,0,0,0,0,0,6,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,18,26,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,30,0,0,0,0,0,0,17,15,30,7,10,16,48,48,92
SSC11464,0,0,0,50,46,94,0,0,0,3,0,3,0,0,0,47,43,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,12,0,0,0,5,3,6,14,15,30,0,0,0,0,0,0,124,119,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,38,74,0,0,0,0,0,0,41,38,74,21,16,33,180,170,352
SSC11465,0,0,0,5,6,9,0,0,0,0,0,0,0,0,0,13,9,25,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,22,23,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,15,0,0,0,0,0,0,12,7,15,8,11,17,42,39,77
SSC11466,0,0,0,23,27,46,0,0,0,0,0,0,0,0,0,24,18,42,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,47,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,16,0,0,0,0,0,0,10,10,18,0,3,3,60,59,120
SSC11467,0,3,3,25,15,45,0,0,0,3,0,3,0,0,0,22,22,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,58,52,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,37,0,0,0,0,0,3,22,16,42,6,9,13,81,80,164
SSC11468,3,11,13,42,26,68,0,0,0,0,0,0,0,0,0,153,155,308,0,0,0,0,0,0,0,3,3,0,0,0,7,5,8,0,0,0,0,3,5,5,3,14,7,8,12,0,0,0,0,0,0,17,30,51,13,14,30,0,0,0,240,251,491,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,91,195,0,0,0,0,0,0,106,91,192,77,61,138,425,418,839
SSC11469,10,10,19,309,313,623,0,0,0,8,8,16,0,0,0,276,319,601,0,0,0,0,3,3,3,6,6,0,0,0,3,4,11,0,0,0,4,0,3,9,9,17,121,111,236,8,7,16,0,0,0,61,61,118,14,15,29,0,0,0,809,866,1673,3,5,9,0,0,0,0,0,0,0,0,3,0,0,0,0,5,5,0,7,9,422,409,825,3,11,14,0,0,8,427,419,845,145,151,297,1392,1459,2847
SSC11470,0,0,0,14,10,18,0,0,0,0,0,0,0,0,0,31,24,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,14,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,49,48,96,0,0,0,3,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,14,33,0,0,0,0,0,3,24,11,38,15,12,22,92,69,164
SSC11471,24,33,56,11,14,26,0,0,0,3,3,6,0,0,0,58,76,135,0,0,0,3,8,8,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,9,9,0,0,0,0,0,0,6,12,22,6,8,16,0,0,0,96,132,229,0,0,0,0,0,0,3,0,4,0,3,3,3,0,3,0,0,0,3,6,9,114,128,245,0,3,3,0,0,0,116,129,246,60,68,131,296,371,663
SSC11472,3,0,4,7,12,24,0,0,0,0,0,3,0,0,0,27,21,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,3,6,0,0,0,7,7,9,0,0,0,46,56,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,32,64,0,0,0,0,0,0,31,32,64,8,15,23,94,100,194
SSC11473,0,0,0,9,3,11,0,0,0,0,0,0,0,0,0,5,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,29,0,0,0,0,0,0,12,11,25,7,0,6,45,23,67
SSC11474,16,10,32,44,47,89,0,0,0,0,0,0,0,0,0,58,49,109,0,0,0,0,4,8,6,3,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,9,7,16,0,0,0,0,7,4,13,16,31,8,3,10,0,0,0,146,136,286,0,0,0,0,0,0,3,4,7,0,0,0,0,0,0,0,5,3,0,5,3,154,166,313,0,3,5,0,5,7,155,174,323,88,85,173,412,417,825
SSC11475,4,8,14,115,141,260,0,0,0,7,4,7,0,0,0,96,100,200,0,0,0,12,5,16,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,16,25,43,0,0,0,0,0,0,10,19,25,12,15,31,0,0,0,268,320,594,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,140,130,268,0,3,4,0,0,4,145,133,279,36,26,57,457,494,949
SSC11476,0,0,0,74,75,149,3,0,3,6,10,17,0,0,0,61,60,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,23,0,0,0,0,0,0,20,15,38,5,8,15,0,0,0,181,180,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,51,110,0,0,0,0,0,0,65,51,113,23,20,45,273,249,516
SSC11477,994,1097,2090,249,280,531,661,654,1309,116,142,258,0,0,0,2741,2993,5735,0,0,0,276,302,576,29,33,63,60,78,136,4,0,6,92,106,199,30,38,67,78,90,169,30,24,52,3,3,8,25,23,51,62,55,117,468,534,997,8,7,17,4938,5359,10298,116,115,235,948,812,1758,0,0,0,0,0,0,22,19,44,177,198,369,199,213,414,1050,862,1914,9,10,14,10,9,22,1073,877,1947,709,636,1339,8968,9115,18081
SSC11478,505,560,1059,92,93,189,25,23,39,66,78,149,0,0,0,561,590,1155,0,0,0,60,54,115,11,4,13,14,10,21,0,3,3,14,8,19,11,10,20,13,28,40,19,16,33,0,4,8,13,3,16,22,31,55,58,62,114,0,0,3,985,1015,2000,13,19,36,513,429,945,0,0,0,0,0,0,3,0,3,13,20,29,19,20,33,367,299,667,0,3,4,0,5,5,370,304,670,261,263,520,2653,2616,5273
SSC11479,408,512,916,95,127,223,286,330,616,42,31,75,0,0,0,1272,1342,2610,0,0,0,148,142,291,4,13,17,7,8,16,5,0,9,34,42,77,6,17,22,35,34,65,10,20,28,0,4,5,7,17,24,25,33,58,231,238,475,6,3,11,2219,2389,4603,33,43,76,299,288,587,0,0,0,0,0,0,0,0,0,36,39,74,36,39,74,388,319,704,3,4,3,0,4,8,390,324,714,277,273,546,3658,3859,7517
SSC11480,833,1036,1871,254,296,550,284,291,574,54,60,111,3,0,4,1908,2045,3955,0,0,3,208,199,404,17,28,46,35,35,69,7,4,10,39,37,80,35,46,84,32,32,66,42,35,77,6,0,6,16,10,28,52,50,98,262,187,451,6,0,9,3246,3374,6623,30,36,67,341,334,673,0,0,0,0,0,0,0,3,4,41,39,81,45,45,85,753,643,1394,4,5,12,5,3,7,762,649,1415,421,426,840,5669,5899,11575
SSC11481,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,7,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,14,12,19
SSC11482,18,28,47,453,530,978,0,0,0,17,17,32,0,0,0,591,721,1314,0,0,0,27,25,50,0,4,7,0,0,0,10,21,28,3,0,3,6,14,23,16,16,30,66,83,143,0,0,0,5,0,5,62,59,117,30,47,74,0,4,5,1275,1533,2807,12,7,16,7,3,7,14,9,22,0,0,0,0,0,0,5,9,13,5,6,14,1180,1159,2343,11,6,23,3,10,11,1196,1174,2374,255,284,537,2787,3052,5840
SSC11483,0,3,9,52,50,104,0,0,0,0,0,3,0,0,0,72,64,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,14,8,18,0,6,7,0,0,0,10,16,17,5,5,14,0,0,0,156,146,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,26,58,0,0,0,0,0,0,25,26,58,10,11,22,192,192,385
SSC11484,64,79,144,396,488,883,0,0,0,44,55,99,7,5,14,980,1101,2085,3,4,6,102,98,198,12,17,30,3,4,9,5,12,15,3,4,14,11,13,18,20,31,51,64,79,145,11,9,22,4,3,9,100,116,213,73,81,148,3,3,3,1837,2122,3959,38,38,71,199,193,395,0,0,0,3,3,4,5,3,8,8,10,17,13,16,25,1174,949,2124,12,8,20,5,4,13,1186,968,2153,338,316,651,3672,3728,7405
SSC11485,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,0,0,0,0,0,0,5,3,7,0,4,4,18,14,27
