SA3_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
10501,4882,66,199,145,77,5370,2408,32,182,111,40,2768,353,0,25,36,18,441,7641,98,408,286,142,8581
10502,5239,96,74,19,29,5453,2005,72,105,12,5,2201,289,12,19,11,6,338,7530,185,197,37,42,7995
10503,16302,682,756,264,111,18117,4656,420,578,102,39,5799,601,30,77,31,18,754,21553,1135,1411,393,168,24663
10601,21754,1284,310,100,126,23576,4992,665,262,58,36,6020,655,112,26,7,25,827,27400,2059,601,171,189,30417
10602,19404,1650,346,64,156,21621,2917,678,228,31,119,3981,458,65,27,8,104,657,22775,2399,602,109,379,26258
10603,17422,2618,672,299,77,21095,2991,877,270,181,22,4337,520,117,65,132,23,861,20932,3610,1002,616,132,26292
10604,7523,409,148,57,78,8216,1967,231,128,34,12,2364,268,30,24,4,12,342,9758,666,300,100,95,10929
10701,18242,1377,786,76,57,20535,3997,687,704,23,15,5418,583,101,117,21,10,837,22823,2164,1604,114,83,26788
10702,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10703,21336,3091,986,200,130,25748,3120,948,534,172,28,4810,520,147,61,25,18,767,24973,4193,1583,407,173,31327
10704,24373,5281,8470,254,198,38585,3605,1499,2032,131,61,7323,580,202,351,11,120,1264,28556,6985,10849,395,384,47170
10801,7280,1048,825,191,66,9409,1816,640,445,120,24,3052,286,72,71,25,4,462,9381,1756,1344,343,98,12919
10802,11882,368,471,263,121,13102,3685,318,380,201,30,4606,505,35,47,29,21,635,16075,718,898,490,173,18344
10803,118,0,0,0,0,118,10,0,0,0,0,10,9,0,0,0,0,9,132,0,0,0,0,132
10804,18727,2741,2114,371,126,24080,3377,1132,1037,293,34,5876,543,152,144,43,22,910,22650,4026,3293,706,189,30864
10805,13899,920,498,217,106,15639,3720,535,406,127,28,4818,461,67,40,30,20,617,18079,1526,944,371,152,21079
10901,15606,2216,255,75,64,18224,3075,1011,123,35,21,4268,463,145,38,3,8,650,19140,3374,416,121,95,23140
10902,2895,35,99,59,30,3120,1018,40,98,38,8,1198,147,3,13,16,3,184,4057,79,208,108,43,4502
10903,10776,298,450,207,61,11797,3106,198,379,128,22,3841,441,33,60,18,12,564,14322,530,892,358,101,16202
11001,9101,667,380,58,88,10297,2096,229,176,22,18,2546,287,38,30,3,12,369,11492,930,589,78,117,13211
11002,9252,143,237,114,114,9863,3716,122,261,61,60,4227,464,15,41,14,19,547,13436,278,543,187,191,14635
11003,5421,239,314,88,36,6095,1903,142,306,49,11,2413,321,22,48,15,4,410,7647,402,665,148,48,8915
11004,19833,1116,376,276,128,21727,5511,751,357,189,32,6851,737,129,53,30,15,967,26085,1996,787,495,178,29544
11101,31433,3521,1325,177,59,36510,5141,1539,798,131,13,7626,710,175,97,13,17,1012,37280,5239,2221,318,87,45146
11102,20534,1157,357,140,45,22233,3326,599,162,141,9,4237,522,83,25,33,14,674,24387,1831,548,313,74,27146
11103,38161,7177,5380,151,194,51065,6534,1920,1979,44,41,10519,998,260,306,16,38,1626,45693,9358,7670,211,276,63212
11201,18589,3517,1216,583,176,24084,2661,1122,376,339,58,4554,588,187,61,62,44,951,21839,4827,1654,981,283,29589
11202,17620,1042,731,344,97,19826,4351,542,499,195,34,5618,620,61,99,32,9,825,22595,1644,1330,565,139,26275
11203,19181,4590,2806,680,207,27462,3184,1632,1169,461,47,6492,564,264,209,75,27,1131,22929,6489,4180,1211,282,35089
11301,10658,374,708,80,87,11913,3217,240,392,86,28,3974,446,33,88,18,12,590,14326,651,1184,180,127,16474
11302,3644,62,77,22,24,3820,1269,62,66,5,9,1411,133,10,14,4,4,167,5047,135,153,32,41,5403
11303,23291,705,1526,205,110,25839,5420,411,844,72,24,6761,842,44,118,20,9,1038,29552,1154,2488,293,143,33640
11401,26606,1617,609,534,180,29544,5773,851,284,404,70,7380,920,116,70,60,30,1206,33301,2585,963,1002,276,38127
11402,13837,769,203,68,99,14982,1953,258,98,49,13,2363,340,26,21,18,21,422,16123,1055,324,136,130,17770
11501,33794,5139,2486,13,69,41498,1463,552,494,3,12,2520,489,100,93,0,18,706,35745,5786,3075,22,96,44721
11502,6503,268,122,93,41,7035,510,48,72,33,5,663,138,7,4,12,10,170,7147,328,199,138,58,7867
11503,6584,20,18,30,51,6707,701,8,10,34,11,776,156,0,0,9,13,174,7443,26,29,75,80,7649
11504,7661,947,118,23,33,8789,471,70,20,22,5,596,147,20,3,8,8,192,8281,1033,146,59,55,9577
11601,28725,4563,2154,65,96,35594,4362,826,581,19,18,5805,1009,215,124,0,30,1387,34091,5605,2863,78,145,42788
11602,17117,6532,696,163,101,24607,1134,324,56,74,10,1594,386,86,13,57,23,568,18636,6945,763,293,136,26768
11603,21865,3079,1209,52,42,26252,3779,744,509,28,12,5073,799,133,89,0,14,1042,26445,3955,1807,79,72,32360
11701,4458,1757,7093,101,49,13458,869,347,1193,10,16,2442,155,69,287,8,9,518,5484,2176,8571,118,78,16424
11702,4939,5158,6860,332,109,17401,863,523,972,46,18,2427,171,143,240,23,46,618,5972,5822,8080,405,174,20447
11703,1504,16396,57868,413,354,76534,235,1636,6383,57,40,8360,85,587,2001,49,178,2905,1829,18621,66252,519,579,87796
11801,8164,9508,25067,447,198,43383,419,564,2639,46,21,3700,192,232,895,21,30,1371,8779,10310,28600,514,251,48449
11802,11601,7304,23656,395,125,43079,1427,793,3452,46,12,5730,283,206,1003,16,52,1567,13316,8306,28104,452,191,50373
11901,26913,8740,5799,202,136,41782,5239,1520,1896,39,33,8722,970,322,316,13,31,1654,33117,10573,8003,253,199,52154
11902,17072,3902,12453,174,112,33714,3563,754,2661,38,19,7038,664,182,602,16,33,1488,21308,4837,15708,226,163,42240
11903,19856,4410,11190,148,97,35698,2628,980,1928,33,12,5578,514,159,416,8,41,1137,23001,5547,13540,185,148,42420
11904,16677,4971,17369,317,120,39447,3150,880,2555,103,28,6709,570,177,644,20,28,1440,20399,6026,20564,436,170,47593
12001,10464,2594,13904,264,117,27344,1604,279,1321,37,19,3256,229,65,332,13,19,649,12290,2936,15560,306,151,31246
12002,3215,10652,5112,204,117,19305,315,684,737,12,14,1764,64,194,164,12,11,447,3595,11535,6022,226,142,21515
12003,16423,5345,22007,486,236,44505,2536,604,2733,66,29,5971,454,149,892,26,200,1723,19406,6103,25633,582,466,52190
12101,16509,2603,17809,73,104,37092,1026,181,1511,8,6,2740,271,48,432,5,11,775,17808,2836,19751,86,121,40605
12102,16924,1741,6087,35,64,24847,1078,214,722,5,12,2029,286,50,147,3,22,520,18292,2007,6957,44,98,27397
12103,26837,1346,7624,19,61,35894,1186,173,716,4,5,2084,354,36,175,0,11,587,28383,1560,8518,21,84,38566
12104,6825,5215,24408,111,90,36653,271,233,2198,12,10,2727,98,101,549,4,17,770,7198,5552,27156,122,120,40152
12201,5358,1999,6620,69,34,14080,313,124,710,4,11,1168,92,40,178,6,5,322,5760,2164,7509,76,50,15559
12202,13597,1787,2957,178,104,18619,754,234,427,20,21,1461,268,53,128,17,8,481,14622,2075,3516,216,135,20562
12203,27888,2751,14782,112,134,45666,1920,726,2233,25,20,4933,527,173,456,27,36,1214,30329,3650,17472,164,197,51814
12301,16300,965,109,28,20,17426,1326,326,63,10,11,1741,276,47,4,0,3,336,17903,1338,180,42,30,19497
12302,33695,6007,1601,71,152,41523,4858,1967,524,34,28,7414,975,300,88,8,17,1386,39535,8272,2212,110,199,50325
12303,10436,424,67,60,35,11028,1284,175,38,43,4,1552,280,30,0,3,4,320,11999,632,107,110,49,12900
12401,23566,964,376,39,69,25022,2402,395,177,4,20,2993,453,39,33,5,20,545,26418,1404,582,53,109,28560
12402,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3
12403,32781,4324,2090,105,115,39422,3695,1130,784,69,30,5708,764,259,107,24,19,1163,37241,5716,2989,197,162,46294
12404,7995,1476,277,24,79,9851,1249,521,121,6,13,1906,214,64,15,0,13,305,9455,2059,413,31,103,12063
12405,12163,1395,550,19,29,14154,1996,313,247,15,9,2572,411,69,38,0,8,525,14564,1774,831,29,51,17247
12501,9112,2775,10134,124,68,22216,1442,302,1198,33,12,2990,422,119,453,9,41,1045,10967,3192,11786,175,126,26251
12502,12064,4495,2262,44,67,18933,1270,508,566,3,5,2358,287,114,100,0,11,510,13629,5115,2924,47,83,21804
12503,23607,5284,6593,186,116,35778,4605,1339,1967,37,45,7993,934,263,366,17,24,1605,29146,6891,8925,233,185,45380
12504,16486,5742,18190,167,167,40750,2122,802,2314,19,20,5271,439,214,685,4,65,1412,19047,6750,21195,193,251,47432
12601,10309,1279,2676,13,22,14300,565,102,275,0,6,952,166,52,66,0,8,289,11037,1433,3014,16,34,15539
12602,20455,6691,13920,96,175,41332,2141,841,1817,20,19,4838,463,184,369,3,45,1063,23057,7710,16110,122,236,47236
12701,21799,1462,308,32,85,23684,2923,325,376,14,26,3668,738,80,58,8,65,944,25466,1865,742,52,174,28295
12702,31672,5327,4543,276,145,41966,6021,1390,1999,131,62,9602,1220,264,279,30,53,1849,38916,6979,6822,429,261,53414
12703,20207,3369,5174,51,70,28875,2706,831,1576,11,25,5151,661,192,294,6,8,1154,23572,4394,7043,68,103,35183
12801,19705,5076,9461,151,79,34479,1887,904,1822,44,8,4664,409,167,294,14,16,893,22002,6145,11573,208,106,40030
12802,24416,3608,4196,98,59,32375,1702,531,803,54,13,3093,398,86,146,10,24,666,26514,4226,5142,161,96,36132
19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
