region_id,C11_All_in_ns_1PF_1C,C11_All_in_ns_1PF_2C,C11_All_in_ns_1PF_3C,C11_All_in_ns_1_pa_fa_4m_c,C11_All_in_ns_1_pa_fa_w_To,C11_Tot_1PF_1C,C11_Tot_1PF_2C,C11_Tot_1PF_3C,C11_Tot_1_pa_fa_4mor_ch,C11_Tot_T
LGA13950,68,33,14,13,128,2590,1337,482,223,4632
LGA14000,48,31,5,0,84,2942,1609,443,103,5097
LGA14100,6,0,3,0,9,222,106,33,3,364
LGA14150,40,13,5,3,61,2014,968,246,80,3308
LGA14200,11,15,4,0,30,373,224,89,55,741
LGA14250,5,0,0,0,5,26,8,0,3,37
LGA14300,3,0,0,0,3,136,55,19,14,224
LGA14350,41,15,12,5,73,886,471,197,129,1683
LGA14400,13,0,4,0,17,417,210,66,30,723
LGA14450,29,12,4,0,45,1330,586,166,57,2139
LGA14500,28,11,5,0,44,1657,990,269,64,2980
LGA14550,8,5,0,0,13,264,119,50,22,455
LGA14600,9,7,4,0,20,153,66,46,14,279
LGA14650,158,61,23,12,254,5184,2717,946,354,9201
LGA14700,6,4,0,3,13,630,236,67,13,946
LGA14750,12,4,4,0,20,219,153,62,33,467
LGA14800,17,3,3,0,23,1182,406,76,26,1690
LGA14850,34,16,8,9,67,1390,641,243,103,2377
LGA14870,14,7,4,0,25,556,263,88,55,962
LGA14900,171,88,38,10,307,4191,2710,1078,499,8478
LGA14920,6,4,0,0,10,205,85,43,18,351
LGA14950,3,0,0,0,3,61,20,9,0,90
LGA15050,53,22,14,9,98,1687,994,343,172,3196
LGA15150,14,4,0,0,18,691,317,92,13,1113
LGA15200,42,18,5,0,65,1945,753,178,73,2949
LGA15270,22,10,3,0,35,536,235,95,39,905
LGA15300,21,13,4,11,49,335,185,71,59,650
LGA15350,4,0,0,0,4,490,205,65,9,769
LGA15500,0,6,0,4,10,116,71,22,8,217
LGA15550,4,0,0,0,4,52,31,13,8,104
LGA15650,10,8,3,4,25,353,179,80,50,662
LGA15700,17,8,3,3,31,524,279,117,74,994
LGA15750,13,11,3,3,30,270,151,70,36,527
LGA15800,9,3,3,0,15,151,59,36,19,265
LGA15850,11,8,0,0,19,176,88,53,33,350
LGA15900,131,34,20,7,192,4266,1967,576,214,7023
LGA15950,16,5,0,0,21,1072,367,52,7,1498
LGA16100,3,3,0,0,6,93,45,29,14,181
LGA16150,39,17,13,10,79,976,492,208,121,1797
LGA16180,7,5,0,0,12,198,114,33,18,363
LGA16200,19,4,0,4,27,384,193,78,42,697
LGA16250,116,47,20,9,192,3819,1812,635,311,6577
LGA16350,174,73,28,16,291,5022,2765,1044,462,9293
LGA16370,21,14,0,3,38,1105,580,166,34,1885
LGA16380,56,20,4,6,86,1895,1017,324,126,3362
LGA16400,53,22,13,3,91,1629,884,335,133,2981
LGA16470,28,12,8,3,51,936,475,158,59,1628
LGA16550,93,17,3,3,116,2970,1226,282,69,4547
LGA16610,29,6,6,5,46,596,360,141,73,1170
LGA16650,60,17,13,5,95,2459,1090,342,140,4031
LGA16700,42,19,4,0,65,2295,1002,232,47,3576
LGA16900,61,25,7,10,103,1785,1024,368,172,3349
LGA16950,88,30,8,8,134,2442,1303,464,202,4411
LGA17000,14,12,0,0,26,436,253,104,42,835
LGA17050,3,0,0,0,3,116,53,17,0,186
LGA17100,10,8,3,3,24,784,380,100,29,1293
LGA17150,90,41,8,6,145,4531,2392,714,187,7824
LGA17200,67,28,10,5,110,2661,865,197,69,3792
LGA17310,59,20,4,10,93,1548,793,315,180,2836
LGA17350,3,0,0,0,3,127,59,25,16,227
LGA17400,5,3,0,0,8,158,68,45,21,292
LGA17420,40,31,11,0,82,2686,1613,533,122,4954
LGA17450,0,3,0,0,3,52,36,13,3,104
LGA17500,9,3,0,3,15,243,124,47,22,436
LGA17550,63,37,6,6,112,2476,1261,419,167,4323
LGA17620,12,5,0,3,20,277,166,56,21,520
LGA17640,5,3,0,0,8,146,75,23,0,244
LGA17650,3,0,0,0,3,118,54,32,17,221
LGA17700,3,0,0,0,3,17,10,6,0,33
LGA17750,41,19,13,13,86,1419,756,305,162,2642
LGA17800,5,7,0,0,12,60,31,15,6,112
LGA17850,0,0,4,0,4,58,17,17,7,99
LGA17900,14,10,9,3,36,190,79,39,36,344
LGA17950,3,5,3,0,11,66,31,9,15,121
LGA18000,83,30,4,3,120,2864,1434,362,87,4747
LGA18020,16,7,0,0,23,206,111,45,26,388
LGA18050,16,14,4,0,34,1156,464,108,22,1750
LGA18100,0,0,0,0,0,85,39,12,6,142
LGA18150,17,3,0,0,20,229,126,45,38,438
LGA18200,9,0,4,0,13,146,62,37,9,254
LGA18250,21,5,3,0,29,1426,631,136,28,2221
LGA18350,26,14,5,0,45,1029,541,178,85,1833
LGA18400,30,11,8,3,52,833,483,202,96,1614
LGA18450,156,70,20,7,253,5032,2726,868,320,8946
LGA18500,15,4,4,0,23,929,399,102,15,1445
LGA18550,142,64,38,12,256,4686,2566,985,444,8681
LGA18710,5,0,0,0,5,253,123,44,16,436
LGA18750,14,4,0,0,18,304,147,77,30,558
LGA19399,3,0,0,0,3,16,12,0,0,28
