SUA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
1010,37135,74691,703,3880,3563,16464,1203,5634,19594,76706,25062,102680,1898,8017,2795,9551,7680,24813,12364,42381,37431,145060,263,1256,1187,4032,694,2544,6710,18146,8857,25977,689,2203,1488,3301,7070,15524,9249,21029,18103,47014,1220,2546,93891,269319
1011,8711,17487,117,655,700,3288,249,1147,3956,15715,5018,20813,258,1094,514,1676,1389,4382,2161,7154,7180,27966,47,202,253,881,162,578,1560,4175,2016,5839,103,338,309,676,1379,2966,1787,3983,3810,9824,261,555,19961,55827
1012,3943,7891,68,383,385,1816,121,559,2579,10091,3152,12849,140,567,224,704,652,2066,1016,3333,4171,16184,24,115,111,398,99,367,976,2794,1211,3673,45,156,121,270,610,1338,779,1754,1991,5429,175,362,10276,29864
1013,3338,6662,20,105,124,562,62,289,678,2658,889,3615,56,231,104,338,345,1083,508,1652,1394,5267,15,64,52,189,46,162,369,1044,482,1454,17,58,68,153,442,934,529,1134,1007,2595,77,166,5820,14687
1014,2559,5130,58,305,174,824,119,575,1312,5170,1662,6873,73,314,142,463,478,1534,692,2310,2350,9180,21,94,55,198,65,245,523,1457,667,1995,30,92,92,197,455,967,575,1251,1236,3249,92,199,6245,17755
1015,2063,4150,35,183,149,697,68,339,900,3569,1153,4788,47,201,72,254,296,943,427,1402,1579,6184,20,90,75,259,66,248,569,1607,734,2193,40,136,71,146,385,827,500,1105,1226,3306,104,214,4973,13850
1016,1997,4026,58,328,199,940,69,349,1304,5111,1632,6729,109,455,133,434,469,1563,704,2453,2336,9184,14,78,64,213,42,137,339,1005,457,1436,32,109,44,103,319,722,396,922,852,2358,84,193,5279,15760
1017,1503,3046,33,197,93,457,74,378,598,2395,794,3429,49,195,68,221,273,879,384,1292,1175,4720,25,114,55,229,57,242,443,1312,580,1899,28,95,65,145,335,770,433,1011,1015,2914,90,198,3785,10875
1018,2749,5526,52,287,236,1118,93,445,1359,5314,1740,7165,88,387,153,510,496,1611,744,2509,2477,9679,30,146,126,416,86,312,710,1823,955,2694,60,206,179,374,670,1475,913,2053,1868,4746,140,282,7238,20233
1019,1322,2638,24,140,93,434,39,187,524,2073,679,2840,40,173,68,212,231,748,337,1126,1020,3966,9,53,36,139,37,118,260,739,345,1054,24,65,34,77,291,616,347,753,693,1812,57,114,3089,8530
1020,1693,3417,41,238,191,889,73,346,1003,3998,1313,5467,80,332,115,396,380,1196,573,1930,1885,7391,8,42,47,187,28,103,252,724,341,1063,26,73,53,112,230,491,303,670,644,1734,34,64,4259,12604
1021,3355,6756,50,283,237,1118,121,562,1474,5773,1876,7740,161,691,205,702,682,2190,1053,3582,2936,11323,16,55,84,295,65,236,518,1406,670,1995,42,137,93,206,516,1145,653,1482,1329,3475,95,197,7713,21763
1022,1346,2702,28,169,117,558,45,202,852,3353,1043,4280,35,132,71,215,211,668,311,1020,1357,5303,5,17,34,113,39,131,265,727,340,991,9,33,28,58,189,410,224,498,566,1488,46,96,3319,9576
1023,1165,2315,28,141,125,586,60,291,716,2869,926,3886,52,217,84,264,202,624,336,1105,1266,4991,7,42,58,222,34,123,330,920,432,1312,18,50,30,67,181,401,230,513,663,1824,40,86,3129,9221
1024,4457,8879,45,247,248,1127,102,458,1178,4589,1573,6426,107,429,227,745,585,1842,918,3018,2488,9444,16,84,85,277,44,162,419,1127,568,1639,42,138,106,222,476,1006,625,1369,1187,3013,79,161,8208,21498
1025,53742,107698,904,5023,5125,23641,1716,7820,30800,119179,38550,155665,2643,11090,4173,14155,10747,34338,17561,59584,56110,215255,330,1542,1658,5726,1048,3814,9917,26339,12949,37419,883,2761,2147,4748,9308,20371,12338,27884,25283,65308,2166,4510,137303,392763
1026,4045,8133,77,430,359,1689,127,594,2065,8120,2621,10825,141,598,226,743,736,2358,1100,3698,3720,14526,29,140,131,477,86,319,844,2384,1089,3317,55,155,150,329,717,1577,922,2060,2011,5379,168,352,9950,28393
1027,4120,8210,80,492,447,2071,147,703,2726,10883,3401,14153,151,615,269,877,669,2107,1086,3598,4487,17748,33,166,145,549,102,410,876,2413,1162,3536,59,194,132,275,604,1310,796,1779,1957,5317,165,350,10728,31628
1028,6566,13130,62,369,536,2447,114,518,2555,9966,3273,13294,174,734,410,1383,776,2403,1367,4517,4640,17814,31,147,183,607,82,300,931,2466,1224,3522,66,211,210,430,872,1873,1150,2517,2376,6038,175,353,13754,37331
1029,1627,3235,44,229,196,898,72,333,1114,4414,1422,5880,86,365,96,328,395,1255,577,1943,1995,7820,13,90,33,121,35,153,355,964,446,1326,25,66,53,106,254,556,328,731,768,2056,57,128,4457,13247
1030,3016,6035,30,165,170,762,55,264,944,3610,1201,4803,58,235,95,300,342,1060,493,1599,1694,6401,18,63,52,203,43,164,354,982,461,1416,18,67,78,157,421,909,514,1135,981,2546,60,122,5746,15110
1031,437152,884524,9973,58926,60363,283495,12421,59398,334747,1296457,417515,1698276,35360,155068,56899,202041,112999,378273,205254,735381,622774,2433655,2685,13076,12367,43610,5278,19784,60482,161281,80801,237757,9116,30860,21482,49797,76833,174887,107435,255547,188234,493298,22147,47408,1270313,3858889
1032,4481,8966,66,384,396,1870,152,716,2414,9514,3028,12486,144,599,278,900,692,2177,1120,3675,4148,16162,38,178,153,584,104,390,1142,3280,1440,4430,70,211,170,379,732,1568,969,2157,2401,6584,204,430,11242,32143
1033,2913,5853,51,277,184,886,122,565,1062,4286,1411,6018,75,304,111,347,529,1654,712,2314,2124,8334,29,145,111,401,98,361,694,1986,930,2889,34,120,105,224,616,1342,759,1684,1689,4570,138,278,6858,19035
1034,2570,5143,14,89,133,619,52,238,791,3128,989,4069,56,241,107,361,307,974,474,1572,1468,5646,12,38,67,235,29,96,293,752,389,1124,20,61,67,142,317,674,399,878,787,2001,46,101,4881,12887
1035,5647,11220,154,938,608,2917,219,1019,3360,13364,4338,18234,248,1042,425,1413,988,3086,1653,5538,5998,23773,31,144,188,658,124,456,1234,3364,1570,4622,99,316,201,417,835,1808,1138,2539,2707,7165,234,489,14576,42640
1036,32137,64660,611,3397,3329,15348,997,4630,18477,72304,23409,95678,1984,8473,2696,9449,7624,24943,12302,42873,35709,138544,195,897,923,3161,538,1978,4934,13127,6594,19157,602,1922,1252,2751,5716,12627,7567,17301,14154,36457,1177,2455,83172,242121
