SUA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
1010,134395,147043,281435,48324,30012,78332,18925,33374,52299,7985,10433,18415,4173,3249,7416,79400,77066,156473,47496,61492,108988,5.3,4.2,4.7,59.1,52.4,55.6,56,50.2,53,4666,5266,9932,1589,3391,4975,14141,21140,35282,10626,16855,27480,37739,21321,59062,1391,2575,3968,2631,4413,7044,41763,28312,70073,133841,142268,276107,21597,22945,44546,88792,93982,182772,58224,63259,121482
1011,29035,32016,61051,10131,6828,16962,4596,8341,12937,934,1139,2073,1003,809,1813,16667,17123,33790,10509,12873,23382,6,4.7,5.4,57.4,53.5,55.3,54,50.9,52.4,870,1096,1961,428,868,1291,3144,4784,7928,2169,3713,5887,7797,4610,12411,325,572,903,549,880,1430,8675,6065,14740,27908,30085,57994,5171,5701,10867,17672,18948,36623,13719,15180,28896
1012,15128,16703,31834,7416,5224,12642,1757,3832,5588,496,669,1168,389,306,697,10058,10039,20093,3728,5318,9042,3.8,3.1,3.5,66.5,60.1,63.1,63.9,58.2,60.9,625,740,1366,184,413,599,1482,2632,4117,905,1536,2441,3888,2410,6299,148,307,452,205,400,605,4238,3123,7360,14452,15825,30275,3019,3234,6257,8635,9357,17985,7612,8463,16077
1013,8684,9875,18557,2023,1369,3397,1065,1991,3058,228,307,530,247,164,412,3565,3831,7395,4530,5262,9796,7,4.2,5.6,41.1,38.8,39.8,38.2,37.1,37.6,162,175,338,90,166,254,632,934,1559,591,940,1532,2529,1345,3877,88,203,292,174,315,493,2796,1864,4658,7759,8666,16422,1482,1651,3136,5211,5753,10966,3690,4227,7919
1014,9895,10178,20071,4062,2624,6688,1145,2296,3440,328,416,742,291,225,515,5831,5562,11386,3500,4051,7550,5,4,4.5,58.9,54.6,56.7,55.9,52.4,54.2,265,313,579,125,252,372,722,1166,1886,662,1113,1774,2625,1598,4223,86,172,261,149,296,441,2859,2065,4925,9037,9592,18625,1822,1905,3726,5818,6074,11893,4402,4843,9247
1015,7370,8256,15625,2417,1626,4038,927,1728,2658,238,261,496,318,221,540,3899,3832,7730,2923,3828,6754,8.2,5.7,6.9,52.9,46.4,49.5,48.6,43.8,46,123,128,252,64,139,208,422,777,1199,380,730,1110,1966,1410,3369,107,211,317,128,232,358,2192,1850,4045,7173,7788,14958,1269,1377,2646,4804,5042,9851,3087,3577,6665
1016,8167,8422,16593,4230,2508,6731,927,2112,3040,236,298,530,205,147,352,5592,5062,10655,1929,2734,4666,3.6,2.9,3.3,68.5,60.1,64.2,66,58.3,62.1,214,243,458,52,142,194,725,1074,1801,455,675,1127,1907,1005,2905,57,134,186,103,213,312,2063,1340,3401,8028,8230,16256,1283,1308,2585,5040,5227,10267,3703,3739,7439
1017,6426,6375,12802,1575,1097,2667,705,1292,1996,185,231,411,265,218,477,2729,2832,5558,3211,2987,6189,9.6,7.6,8.6,42.4,44.4,43.4,38.3,41.1,39.7,41,77,117,36,86,122,243,503,745,234,506,744,1579,1084,2668,79,132,209,83,192,276,1741,1418,3157,5533,6081,11614,884,915,1793,3757,4063,7822,2275,2570,4845
1018,11319,12543,23865,4115,2807,6921,1841,3183,5023,328,450,773,442,337,771,6721,6766,13489,3855,4962,8810,6.5,4.9,5.7,59.4,54,56.5,55.5,51.3,53.3,405,465,871,159,389,543,1222,1954,3176,729,1263,2001,2780,1884,4664,150,237,386,178,361,539,3113,2483,5592,10765,11652,22415,2006,2137,4141,6840,7449,14294,5292,5741,11028
1019,5185,5213,10392,1681,951,2632,514,1076,1590,186,240,424,199,119,321,2578,2386,4964,2226,2507,4737,7.7,5,6.4,49.8,45.7,47.8,46,43.4,44.7,89,102,185,42,110,155,292,494,778,288,458,745,1460,751,2212,64,113,178,77,131,206,1595,993,2593,4729,4937,9668,695,732,1428,3323,3472,6792,1833,1939,3768
1020,5951,5920,11876,2622,1351,3972,686,1654,2338,272,305,579,185,137,324,3766,3450,7211,1886,2227,4115,4.9,4,4.5,63.2,58.2,60.7,60.2,55.9,58,113,140,254,49,130,179,387,693,1078,513,670,1181,2091,1148,3240,62,135,199,70,165,237,2228,1448,3674,6079,5974,12052,1042,1078,2117,3833,3765,7599,2893,2917,5813
1021,11126,11958,23078,3910,2266,6172,1471,2650,4120,547,658,1208,369,284,653,6294,5857,12149,4338,5563,9896,5.8,4.8,5.4,56.6,49,52.6,53.3,46.6,49.8,415,396,811,122,264,389,904,1516,2422,833,1339,2172,3581,1893,5471,126,246,370,216,395,611,3922,2534,6456,10774,11364,22139,2031,2178,4205,6721,6966,13690,5394,5871,11260
1022,4777,5114,9889,2410,1212,3626,488,1407,1897,186,244,426,105,110,213,3192,2977,6167,1299,1857,3155,3.4,3.6,3.5,66.9,58.2,62.4,64.6,56.1,60.2,97,168,263,45,107,154,417,722,1139,287,516,799,1575,851,2431,57,93,156,73,140,221,1711,1087,2800,4653,4848,9500,1020,1099,2120,2635,2737,5376,2654,2854,5509
1023,4897,4681,9573,2193,1162,3351,464,1107,1568,181,193,371,191,148,341,3022,2613,5638,1538,1780,3318,6.2,5.8,6,61.8,55.8,58.9,58,52.6,55.3,60,70,128,28,74,99,204,395,603,244,369,607,1546,885,2427,63,98,163,64,112,172,1666,1095,2759,4555,4528,9083,990,981,1971,2800,2749,5547,2387,2440,4823
1024,11779,12823,24604,3482,1927,5406,1592,2915,4509,492,583,1072,299,239,537,5875,5660,11528,5262,6425,11683,5.1,4.2,4.7,49.8,44.1,46.9,47.3,42.3,44.7,405,399,800,162,307,469,1186,1572,2753,1125,1540,2664,3571,1767,5339,112,228,340,231,464,698,3920,2458,6375,10912,11714,22628,1923,2089,4015,6826,7290,14119,5565,6069,11632
1025,201522,213849,415368,85380,52178,137566,28062,57190,85253,7537,10163,17696,7060,5181,12238,128038,124712,252751,63813,79266,143082,5.5,4.2,4.8,63.5,58.3,60.8,60,55.9,57.9,8412,9543,17952,2654,5546,8197,23951,34851,58804,15226,22193,37420,56765,31705,88466,2107,3800,5910,3183,5574,8760,62057,41079,103136,197616,206062,403675,35785,38511,74297,128578,133077,261652,92126,99286,191410
1026,15583,15753,31332,5522,3251,8769,1985,3783,5761,489,605,1093,491,373,870,8482,8011,16496,6096,6732,12825,5.8,4.7,5.3,54.4,50.9,52.6,51.3,48.5,49.9,396,463,859,151,414,570,1159,1818,2978,1140,1625,2758,4285,2625,6914,189,338,524,217,475,690,4696,3433,8134,14285,14910,29198,2671,2853,5522,9194,9554,18742,6763,7282,14054
1027,15589,17251,32841,7393,5049,12446,1907,4149,6055,466,652,1113,394,334,728,10167,10183,20351,4463,6085,10550,3.9,3.3,3.6,65.2,59,62,62.7,57.1,59.7,685,764,1453,217,475,695,1845,2948,4791,1113,1817,2929,3964,2535,6498,173,313,481,223,493,711,4353,3333,7688,15722,16810,32538,3087,3276,6360,9360,10056,19417,8189,8915,17105
1028,19600,22531,42132,6705,4833,11532,2999,5439,8439,568,773,1339,592,476,1071,10859,11515,22378,7708,9864,17572,5.5,4.1,4.8,55.4,51.1,53.1,52.4,49,50.6,795,851,1645,317,565,883,2282,3399,5673,1634,2560,4192,5227,3216,8448,209,444,649,390,709,1096,5825,4368,10191,18527,20687,39217,3768,4214,7982,11199,12400,23600,10048,11580,21633
1029,6976,6477,13458,3696,1616,5316,707,1729,2435,264,325,584,197,162,365,4862,3839,8699,1609,2340,3953,4.1,4.3,4.2,69.7,59.3,64.7,66.8,56.7,62,126,128,251,44,107,145,444,664,1110,404,572,976,2326,1323,3650,102,144,241,76,197,279,2501,1660,4163,6498,6470,12968,1599,1266,2865,4004,3916,7921,3636,3385,7021
1030,8198,8861,17055,2430,1523,3949,978,1877,2855,294,334,624,233,181,417,3934,3909,7843,3748,4451,8197,5.9,4.7,5.3,47.9,44.1,46,45.1,42.1,43.5,228,267,494,93,214,303,582,999,1579,598,935,1536,2595,1364,3962,93,194,287,166,276,444,2847,1835,4681,7712,8220,15931,1297,1393,2691,4946,5221,10170,3657,4035,7694
1031,1932765,2007586,3940349,767869,559861,1327727,260927,387026,647956,140725,137537,278271,66572,54677,121249,1236097,1139108,2375205,590559,762574,1353133,5.4,4.8,5.1,64,56.7,60.3,60.5,54,57.2,193773,195006,388780,31651,53369,85024,411265,480232,891500,166202,214485,380690,289005,147109,436115,12222,22463,34692,29581,46196,75774,330807,215770,546576,1871579,1923991,3795566,368167,372280,740450,1185200,1234516,2419721,931169,945551,1876723
1032,16589,18241,34829,7329,5011,12338,2017,4049,6069,485,627,1109,552,491,1046,10382,10183,20564,4949,6683,11628,5.3,4.9,5.1,62.6,55.8,59,59.3,53.1,56.1,432,558,991,193,424,615,1381,2413,3789,972,1704,2681,4273,2822,7090,194,361,559,232,513,750,4703,3704,8400,15844,16910,32755,3536,3698,7231,9605,10302,19911,8503,9167,17677
1033,10275,11526,21798,2983,1972,4955,1295,2358,3655,310,333,639,448,363,807,5036,5018,10056,4368,5586,9959,8.8,7.2,8,49,43.6,46.1,44.7,40.4,42.4,150,205,359,78,164,243,530,967,1494,497,1021,1522,2693,1819,4515,151,236,383,153,304,461,2998,2364,5365,9753,10649,20399,1649,1847,3494,6457,7048,13506,4328,4819,9148
1034,6862,7552,14419,1974,1087,3057,1032,1883,2917,222,313,527,165,130,289,3394,3401,6801,3079,3710,6789,4.8,3.8,4.3,49.4,45.1,47.1,47.1,43.4,45.1,222,247,470,104,209,309,636,969,1609,447,842,1290,2203,997,3202,58,144,199,167,246,410,2426,1386,3812,6450,6990,13446,1174,1188,2362,4189,4516,8705,3062,3362,6427
1035,21607,23983,45591,10365,6675,17035,2891,6091,8981,629,875,1505,715,571,1281,14598,14211,28811,5823,8500,14328,4.9,4,4.5,67.6,59.3,63.2,64.3,56.9,60.4,839,936,1776,336,666,995,2292,3873,6160,1399,2342,3741,5841,3392,9232,257,436,698,307,602,909,6403,4434,10834,21190,22638,43829,4362,4998,9358,12952,13785,26734,11007,12324,23329
1036,121878,129047,250927,47332,28131,75471,16499,30507,47006,7211,9273,16480,3842,2981,6830,74883,70893,145784,41130,52080,93205,5.1,4.2,4.7,61.4,54.9,58.1,58.3,52.6,55.4,6675,7193,13869,1760,3678,5439,15285,20800,36089,9924,13931,23859,33483,17270,50756,1105,2227,3331,1980,3928,5905,36558,23430,59990,121767,125828,247592,19613,20816,40431,83174,86044,169212,50630,53480,104113
