SUA_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
1010,724,2757,3364,2984,3143,3393,3369,1936,576,22254,362,2686,4548,3715,3912,4110,2650,1173,377,23532,173,1939,5364,4503,4964,4704,2364,806,240,25058,64,992,4181,3981,3839,3267,1434,388,116,18250,13,404,3212,3559,3551,2593,966,340,118,14762,5,173,2220,3041,2959,2133,621,160,31,11343,15,128,2655,5228,5230,3332,797,194,41,17610,0,15,384,1119,1142,689,210,59,26,3654,3,30,370,1578,1943,1305,420,205,79,5938,1146,1048,2349,2305,2340,2236,2564,2847,2582,19420,20002,18281,37850,40975,43634,44328,40301,25537,10520,281435
1011,151,507,888,750,701,812,878,442,129,5255,87,494,1124,1031,966,977,683,270,73,5706,30,343,1092,1085,1161,1083,637,227,41,5702,5,154,746,800,766,620,307,83,33,3515,0,76,589,647,705,532,237,92,30,2908,0,22,347,481,579,428,138,33,8,2041,0,27,389,823,931,557,173,40,12,2949,0,8,47,138,170,117,42,16,3,546,3,7,68,213,278,187,83,35,24,893,295,252,682,589,578,558,575,645,549,4721,4245,3387,8340,8761,9115,9795,9620,5513,2277,61051
1012,130,330,532,340,253,285,263,158,57,2354,68,410,933,553,461,441,223,88,19,3185,32,339,1096,670,541,535,247,67,15,3537,18,194,716,469,427,387,166,37,8,2426,6,86,589,439,377,295,104,38,5,1936,4,35,346,324,344,212,74,19,9,1365,0,45,420,647,541,402,87,15,7,2165,0,3,57,95,104,81,15,3,0,350,3,8,76,123,132,86,38,30,10,503,250,238,642,469,418,350,329,327,210,3232,2327,2400,6620,4981,4442,4373,3507,2274,909,31834
1013,34,105,159,166,202,266,326,221,66,1547,17,106,195,239,253,317,235,138,43,1541,8,63,176,228,248,286,216,100,31,1347,0,34,145,130,173,165,107,56,15,823,0,11,83,119,125,120,78,47,15,606,0,5,68,88,98,98,40,10,0,403,0,0,49,109,138,130,62,19,3,519,0,0,18,21,21,32,14,7,0,114,4,5,10,39,53,56,37,18,11,222,76,55,115,109,135,191,296,352,348,1681,915,690,1493,1717,2149,3089,4185,2963,1355,18557
1014,69,199,280,227,169,232,226,113,39,1553,43,236,411,289,264,299,169,73,27,1807,19,170,487,348,324,330,180,50,9,1914,8,109,337,305,254,227,93,29,0,1360,0,56,280,237,223,219,60,29,8,1114,0,23,187,191,197,151,33,6,6,792,0,20,217,342,344,253,51,7,0,1240,0,0,24,37,45,31,17,3,0,156,0,0,23,43,61,61,29,11,0,231,98,142,381,283,284,200,180,150,99,1803,1294,1414,3394,2882,2907,3036,2721,1688,733,20071
1015,34,170,230,197,155,192,183,126,42,1325,19,172,293,240,234,217,135,78,22,1399,9,99,304,241,273,252,131,28,19,1352,7,51,177,166,147,153,55,17,3,770,0,23,123,148,140,126,40,27,3,634,0,10,82,78,110,80,20,0,0,383,0,6,84,172,166,109,21,4,0,571,0,3,4,22,22,20,3,0,0,79,5,0,16,17,51,32,13,11,0,146,97,100,196,175,171,154,174,159,169,1398,1089,1069,2156,2003,2176,2406,2342,1614,777,15625
1016,63,151,273,239,218,208,150,69,24,1394,50,247,593,399,356,299,128,56,23,2142,12,191,571,420,331,309,107,37,6,1983,3,83,329,260,224,175,70,20,6,1156,3,34,226,217,165,147,54,22,10,879,0,4,158,157,136,107,33,25,6,637,0,8,144,210,210,147,52,14,4,793,0,0,15,42,33,34,14,3,5,136,0,7,14,52,50,35,26,8,4,193,80,108,271,184,167,167,150,148,185,1461,1185,1204,3312,2701,2467,2305,1694,1125,603,16593
1017,36,123,159,133,143,161,137,76,21,993,22,120,211,167,183,170,106,41,13,1037,4,61,207,185,204,176,68,31,9,933,4,22,119,109,122,91,30,8,0,507,0,9,65,89,99,76,25,4,3,375,0,4,50,68,66,53,10,0,0,252,0,0,36,96,95,69,13,3,0,301,0,0,6,11,16,11,6,0,0,44,0,0,11,13,15,13,16,13,0,77,143,197,488,389,238,195,157,151,133,2087,1002,906,1841,1709,1783,2033,1933,1139,460,12802
1018,57,273,384,330,308,306,254,145,58,2121,44,251,502,425,427,474,215,83,30,2464,16,154,531,437,515,445,194,74,17,2387,3,57,321,305,330,273,103,19,8,1410,0,27,236,274,259,243,62,16,7,1117,0,8,127,204,183,126,45,16,4,709,0,10,116,208,256,185,53,18,3,839,0,0,13,33,32,46,13,0,0,136,0,5,19,49,46,47,15,16,3,199,170,163,306,259,226,219,186,170,131,1833,1768,1709,3541,3398,3609,3848,3261,1862,862,23865
1019,32,74,126,100,105,124,114,80,17,769,17,96,168,111,122,138,87,46,17,803,12,57,154,140,119,142,77,27,6,740,4,50,120,95,105,105,40,14,0,531,0,17,115,71,100,105,23,14,4,448,0,10,58,65,81,74,20,0,0,308,0,14,90,107,153,122,19,3,0,505,0,0,17,23,34,20,8,4,0,109,0,4,19,28,52,44,12,7,8,170,59,72,221,177,124,123,142,151,81,1148,639,627,1468,1276,1486,1748,1664,1100,388,10392
1020,37,104,142,128,129,114,141,75,11,873,21,111,151,166,168,185,116,38,3,960,20,84,240,219,240,202,109,21,0,1137,8,55,186,166,155,165,51,9,3,796,0,15,148,171,186,147,37,10,4,725,0,9,92,148,162,97,27,7,0,543,0,7,116,252,282,150,30,3,4,843,0,0,9,50,44,28,9,0,0,146,0,0,12,39,57,23,17,0,0,158,58,56,90,83,120,101,105,78,30,709,950,803,1573,1844,2020,1939,1724,863,166,11876
1021,76,212,285,231,242,275,266,206,70,1858,36,232,384,262,335,300,231,121,40,1940,24,191,435,348,382,327,230,86,17,2038,7,94,347,274,302,247,96,38,9,1405,3,42,237,245,261,216,72,45,19,1148,0,14,182,217,223,163,46,15,0,858,0,16,209,340,344,272,64,13,3,1259,0,0,31,53,72,46,16,4,0,223,0,4,30,51,88,88,16,15,3,304,88,96,166,161,144,154,225,309,351,1696,1503,1600,3079,2902,3191,3547,3521,2595,1138,23078
1022,44,91,144,124,96,117,102,60,21,787,30,108,179,132,148,132,63,28,9,832,5,73,213,150,147,129,61,28,7,822,6,44,142,98,121,98,44,17,4,582,0,34,130,109,94,75,35,18,3,497,0,24,111,82,107,60,18,5,0,414,0,36,242,268,175,120,22,6,3,877,0,4,56,69,47,29,7,4,0,219,0,4,49,86,89,40,18,10,0,298,37,44,111,98,87,84,94,85,61,697,710,642,1786,1560,1469,1379,1167,822,353,9889
1023,22,82,135,95,91,79,85,33,6,627,27,95,186,122,117,89,72,20,8,723,4,79,184,141,150,118,60,14,5,758,5,39,117,94,103,66,27,7,0,464,0,38,152,102,89,78,38,12,0,514,0,26,99,85,107,51,8,3,0,377,0,24,232,239,213,161,17,4,0,901,0,5,39,78,47,39,8,0,0,217,0,8,13,51,55,35,12,0,0,179,57,71,221,188,159,97,90,58,32,974,770,696,1860,1603,1528,1404,1026,517,179,9573
1024,45,172,224,207,266,391,466,310,64,2148,18,173,237,252,316,385,336,175,40,1946,13,115,306,275,386,440,334,139,23,2038,0,44,198,215,275,308,181,73,13,1303,0,22,141,195,282,243,149,66,18,1114,0,4,83,176,240,187,59,35,8,793,0,6,129,240,388,325,108,48,13,1259,0,0,21,56,62,74,23,12,0,249,0,0,19,72,163,131,69,32,11,496,88,78,118,117,161,228,291,363,257,1703,1471,1097,2069,2450,3381,4501,5085,3440,1104,24604
1025,1103,4487,5593,4199,3957,4125,4309,2187,633,30584,589,4926,7896,5565,5585,5240,3425,1445,434,35102,256,3680,9792,7393,7022,6315,3391,1044,200,39082,64,2024,7963,6202,5456,4390,1782,498,99,28474,31,905,6677,5763,5089,3906,1304,427,140,24241,9,394,4550,4906,4418,3096,807,208,54,18446,6,327,6163,9539,8562,5128,1126,227,56,31147,3,43,897,1898,1866,1114,287,80,21,6205,17,54,850,2574,3002,1947,615,219,69,9352,1584,2016,4017,3460,3079,2833,3054,2969,2567,25567,29785,33805,69849,64445,62634,60368,52045,30001,12437,415368
1026,82,327,474,370,332,338,335,222,86,2565,57,330,625,421,465,414,217,113,40,2677,21,244,659,481,492,443,232,77,19,2666,7,148,464,376,380,321,119,26,16,1867,4,76,406,364,304,246,82,31,17,1525,0,24,268,260,236,196,44,14,4,1048,0,13,252,402,414,260,65,22,5,1414,0,0,24,55,52,55,11,0,0,199,5,0,21,72,113,83,34,10,4,354,223,263,700,578,464,320,297,233,134,3217,2257,2296,5201,4520,4469,4643,4314,2581,1054,31332
1027,91,289,463,324,307,299,333,198,75,2377,66,340,619,461,446,433,293,110,36,2798,26,283,795,618,564,516,266,78,24,3167,4,170,684,515,424,347,145,46,11,2348,10,98,517,484,408,310,129,39,17,1994,0,57,403,382,379,239,85,24,11,1576,0,62,613,754,714,395,96,21,11,2664,0,4,113,156,124,87,16,16,6,524,4,6,77,208,206,142,55,22,9,719,168,178,362,322,298,283,289,223,190,2305,2567,2354,5732,5281,4902,4500,4040,2424,1045,32841
1028,94,365,468,441,458,512,639,436,145,3563,46,379,633,556,670,665,469,270,94,3774,24,256,679,656,709,691,467,247,73,3804,0,113,505,499,537,486,238,87,27,2490,0,41,394,437,484,361,156,78,42,1996,0,20,285,362,417,282,97,41,15,1510,0,16,284,609,727,431,119,42,10,2238,0,5,41,129,144,94,40,12,0,459,3,0,60,198,260,173,77,38,13,820,149,154,289,270,264,305,369,419,387,2600,2897,2511,4842,5337,6021,6462,6934,4966,2162,42132
1029,108,150,186,139,143,114,107,63,19,1019,90,224,229,142,170,147,90,32,9,1127,46,148,253,172,210,148,73,29,7,1083,13,85,211,133,155,91,52,10,0,759,11,49,216,125,137,110,34,10,0,692,0,22,184,127,138,93,25,3,0,601,0,44,353,365,355,207,23,3,0,1346,0,9,93,107,96,60,9,0,0,376,0,0,65,111,112,91,16,3,4,397,121,133,164,123,119,112,91,54,34,959,1243,1192,2513,2061,2163,1905,1364,713,306,13458
1030,33,122,166,154,187,257,265,160,45,1387,22,123,241,218,252,236,199,90,26,1413,8,73,238,249,277,261,186,70,23,1382,0,40,186,177,198,146,110,30,0,892,0,20,137,150,144,131,75,28,10,696,0,8,112,142,153,107,41,7,3,567,0,3,142,219,200,171,38,9,4,783,0,0,16,29,28,26,15,5,0,111,0,3,17,48,65,52,19,15,0,223,91,63,142,138,159,170,210,187,78,1229,958,815,1891,2061,2291,2885,3453,2043,656,17055
1031,7315,35730,51445,39029,34484,32924,26714,14922,4604,247166,4108,37266,71859,52107,46090,40538,24295,11019,3450,290737,1988,34717,95531,68327,56897,48541,25119,9006,2292,342416,603,21433,83475,59427,47182,36862,16634,5205,1385,272206,312,10271,73469,59043,46256,33780,13616,4296,1212,242252,152,4337,52668,50664,39381,27042,9626,2891,797,187567,130,3732,85789,115591,82436,49522,14609,4077,1107,356990,63,588,15395,32899,25032,13617,4242,1344,426,93598,87,675,19003,62010,64461,34376,10683,3600,1122,196015,14801,21441,53749,43356,32638,26792,22629,20824,20153,256387,270956,321649,766928,729672,615554,527399,393027,220855,94315,3940349
1032,110,308,547,395,352,361,363,251,77,2764,104,461,963,623,557,510,306,128,37,3686,42,332,1105,811,654,592,291,102,20,3956,5,167,620,488,439,399,145,42,8,2324,0,73,432,414,353,281,96,47,15,1705,0,31,285,300,276,221,56,24,3,1195,0,38,314,474,524,305,93,25,3,1779,0,0,42,90,90,68,21,7,3,326,0,4,54,92,117,107,24,19,9,434,265,238,510,447,383,314,330,349,269,3091,2899,2553,6226,5175,4827,4816,4250,2893,1193,34829
1033,47,187,348,252,273,323,250,182,58,1908,23,185,401,312,315,338,201,94,30,1911,15,124,356,315,351,339,170,61,14,1754,4,49,196,186,214,187,84,20,7,937,3,14,146,166,165,135,56,32,11,739,0,9,96,92,123,107,23,12,4,453,0,4,61,135,128,129,27,10,0,501,0,0,6,22,34,22,9,0,0,93,0,0,19,27,53,30,41,14,4,186,143,125,257,253,248,305,316,328,252,2231,1482,1301,2775,2593,2920,3624,3555,2458,1086,21798
1034,25,95,177,135,199,212,286,145,41,1322,15,93,191,190,232,242,211,103,23,1291,3,28,189,211,220,257,174,71,21,1181,0,22,146,152,150,154,103,39,4,779,0,15,85,125,112,122,47,33,11,562,0,0,72,87,107,87,44,14,0,407,0,0,55,132,144,117,45,6,7,503,0,6,8,28,17,17,15,4,0,94,4,0,18,54,40,53,19,13,3,206,73,36,98,121,125,165,157,132,71,975,819,558,1426,1719,1869,2596,3039,1741,644,14419
1035,214,566,723,518,363,463,440,271,80,3641,111,667,1051,737,569,602,438,171,66,4408,47,487,1169,918,775,739,395,129,28,4684,24,227,894,648,615,561,230,68,17,3282,0,124,766,622,572,496,185,66,38,2858,4,54,501,534,476,349,90,39,13,2061,4,27,536,816,876,551,158,23,20,3005,0,0,71,131,169,78,16,5,7,485,0,9,82,200,255,181,72,27,3,824,219,254,466,405,379,312,344,352,275,3009,3785,4233,8118,6850,6335,6286,5282,3211,1488,45591
1036,647,2767,3149,2540,2506,2551,2489,1441,398,18500,307,2752,4201,3112,3305,3055,2107,829,236,19900,139,2212,5161,4043,3897,3677,2052,599,113,21888,56,1143,4233,3374,3238,2750,1122,296,51,16270,13,539,3803,3254,3162,2475,828,277,74,14416,10,214,2627,2945,2709,1969,478,115,35,11096,7,188,3583,5689,5393,3340,742,147,20,19111,4,22,519,1164,1212,748,155,30,12,3872,11,29,490,1610,1846,1173,351,158,44,5710,1009,1163,2096,1830,1750,1601,1663,1703,1582,14388,18627,20968,39317,37753,38260,37926,31070,19040,7966,250927
