LGA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
LGA11300,3865,7906,32,197,377,1712,49,221,2018,7560,2476,9692,242,1061,499,1746,912,3049,1645,5860,4129,15552,12,48,80,278,31,113,362,925,486,1365,64,200,254,603,634,1456,953,2261,1441,3624,387,857,9816,27933
LGA11350,3609,7211,26,152,302,1318,91,403,1920,7363,2340,9241,95,377,251,780,582,1827,924,2987,3261,12229,3,22,129,401,57,181,632,1539,823,2139,44,126,176,362,537,1157,756,1635,1577,3775,94,195,8547,23414
LGA11400,1666,3325,41,246,184,860,37,172,833,3431,1096,4710,75,314,135,436,285,890,499,1636,1590,6347,4,18,27,103,19,65,172,468,223,655,12,26,32,76,164,351,210,453,433,1112,30,65,3721,10846
LGA11450,9378,19046,368,2124,1704,8060,607,2915,11016,43442,13691,56544,909,4021,1002,3550,2783,9443,4698,17013,18391,73560,94,427,342,1247,227,864,1931,5438,2602,7981,244,844,354,830,1488,3471,2090,5137,4695,13117,304,654,32776,106376
LGA11500,13328,27177,571,3522,2172,10531,763,3758,12363,48667,15871,66484,1199,5283,1536,5334,4660,15558,7389,26179,23262,92660,200,983,635,2420,475,1833,3524,10072,4835,15307,385,1338,686,1607,3623,8329,4695,11274,9528,26586,798,1705,46917,148131
LGA11520,10462,21059,87,488,937,4210,113,494,6297,23388,7432,28585,541,2335,1108,3945,1863,6151,3513,12434,10951,41014,27,110,178,566,44,136,931,2231,1172,3038,129,417,470,1035,1377,3027,1976,4481,3151,7515,484,1015,25052,70603
LGA11570,25833,52996,1170,7262,4888,24603,1173,5861,23085,93818,30317,131549,3023,13725,3806,13760,10310,35315,17141,62803,47462,194345,360,1821,1109,4278,521,2082,4917,14276,6903,22456,966,3450,1684,4097,7792,18133,10444,25678,17356,48129,1963,4308,92604,299784
LGA11600,280,562,3,24,35,157,9,47,165,656,215,888,10,41,15,33,41,126,66,196,285,1088,3,9,4,8,4,8,52,134,56,161,6,3,3,11,32,65,41,84,94,244,12,23,670,1917
LGA11650,37532,75501,723,3990,3613,16697,1228,5733,19782,77449,25338,103870,1929,8165,2842,9710,7792,25197,12566,43083,37902,146951,265,1266,1195,4075,698,2569,6746,18237,8906,26136,688,2222,1494,3314,7103,15609,9296,21136,18194,47270,1228,2557,94861,272280
LGA11700,158,313,0,0,7,22,6,32,54,235,66,289,0,0,6,10,23,68,23,74,95,364,4,11,0,13,11,41,43,147,58,214,5,13,0,3,34,87,43,99,97,309,9,20,358,1011
LGA11720,6372,12814,132,737,526,2484,323,1517,3679,14343,4665,19075,289,1236,340,1112,1433,4629,2063,6973,6727,26045,76,366,250,912,190,712,1672,4710,2181,6697,105,349,205,455,1281,2849,1596,3649,3775,10350,240,501,17108,49707
LGA11730,7172,14358,88,494,437,2011,200,953,2333,9267,3051,12734,153,627,281,921,1041,3217,1477,4767,4532,17494,27,135,153,559,126,441,1090,3089,1399,4228,79,246,163,342,970,2057,1207,2644,2604,6871,234,501,14550,39227
LGA11750,385,753,7,40,35,179,17,77,215,830,282,1127,7,34,16,49,64,215,94,294,373,1419,0,19,3,20,8,36,67,201,91,266,0,4,9,15,52,109,62,131,148,400,16,38,925,2610
LGA11800,9277,18605,124,716,758,3548,265,1245,4213,16751,5368,22264,281,1193,544,1781,1504,4751,2330,7728,7698,29992,46,206,265,914,170,594,1622,4341,2096,6059,107,348,315,691,1454,3136,1870,4169,3967,10227,271,578,21216,59402
LGA12000,565,1121,21,99,51,242,22,97,223,932,313,1371,32,123,24,72,85,249,136,452,444,1815,0,3,13,48,11,61,62,186,91,297,0,9,8,27,44,90,59,125,151,425,11,16,1170,3388
LGA12150,349,697,3,23,26,122,15,58,158,656,199,846,10,42,21,70,48,156,83,267,279,1112,5,14,8,48,18,68,106,329,139,454,0,5,6,12,72,172,85,184,222,639,15,34,868,2489
LGA12160,1520,3041,27,154,115,513,32,154,555,2233,732,3053,42,171,53,162,192,590,288,930,1021,3986,5,18,42,171,15,56,169,494,231,749,14,34,38,75,162,351,213,462,442,1210,40,83,3026,8320
LGA12350,1608,3189,42,218,129,565,58,253,529,2110,747,3143,41,147,89,279,251,772,378,1204,1129,4349,3,26,39,128,36,134,262,760,342,1046,9,26,37,78,195,424,242,530,584,1578,61,131,3376,9248
LGA12380,16062,33053,751,4678,2819,14236,698,3554,16319,64949,20586,87415,1688,7778,2110,7629,5707,19717,9507,35121,30097,122534,201,1077,554,2189,281,1158,2592,7398,3630,11815,475,1703,875,2118,4129,9751,5480,13566,9106,25383,1424,3163,56688,184126
LGA12390,5425,10867,102,535,539,2555,180,821,3258,12871,4073,16787,192,776,331,1048,927,2906,1449,4735,5527,21517,38,166,150,546,130,470,1236,3539,1552,4724,56,185,154,332,811,1785,1026,2296,2576,7026,225,469,13749,39876
LGA12700,1267,2519,20,112,89,425,39,185,592,2371,743,3093,42,178,52,171,281,881,375,1243,1119,4329,4,13,27,93,20,71,123,321,177,502,17,47,16,30,137,289,170,369,349,869,28,61,2759,7781
LGA12730,1055,2092,16,105,92,425,32,126,418,1666,551,2326,23,100,53,164,135,428,218,700,769,3028,6,20,25,73,22,67,113,316,161,474,6,22,18,42,112,242,140,310,297,784,35,69,2160,5969
LGA12750,6400,12780,52,286,290,1338,128,602,1544,6111,2023,8339,133,540,193,620,723,2250,1046,3414,3071,11750,28,140,127,465,75,291,667,1802,903,2700,47,145,114,240,667,1422,820,1808,1722,4510,120,251,11318,29288
LGA12850,13091,27261,842,5163,2809,14239,813,4118,10025,42046,14489,65561,2233,10325,2121,7819,7754,27281,12112,45422,26596,110990,251,1269,865,3383,408,1603,3086,9200,4610,15460,726,2645,1122,2839,5758,14174,7607,19663,12217,35122,1229,2738,53134,176104
LGA12870,1839,3663,19,101,133,592,49,213,590,2394,796,3300,45,179,63,209,237,725,349,1111,1143,4415,6,22,33,122,14,59,177,481,233,691,16,42,38,77,192,400,246,519,476,1206,30,61,3490,9345
LGA12900,1096,2173,26,122,89,400,34,145,487,2030,632,2695,32,133,53,165,146,451,233,753,861,3449,5,19,25,88,22,89,180,530,240,732,11,32,35,69,150,320,194,424,431,1156,31,66,2414,6839
LGA12930,14273,29204,234,1330,1745,8107,323,1502,9834,37772,12138,48718,1305,5684,2146,7676,4334,14384,7784,27746,19917,76462,52,261,332,1143,130,455,1615,4265,2132,6127,347,1169,769,1803,2803,6377,3922,9348,6053,15475,904,1979,41152,123123
LGA12950,512,1020,6,34,39,173,12,52,209,823,262,1082,15,59,23,74,62,188,101,317,364,1398,3,15,14,42,8,39,102,305,126,389,8,28,8,19,65,145,82,196,207,586,20,35,1102,3038
LGA13010,1179,2338,17,87,77,358,21,120,338,1337,453,1898,24,96,47,145,142,445,208,682,664,2580,3,27,21,90,15,50,177,485,216,654,9,25,32,55,143,308,177,397,403,1052,32,74,2271,6034
LGA13310,3552,7133,78,450,261,1234,161,765,1702,6703,2205,9148,109,467,195,653,650,2082,955,3202,3163,12349,24,111,63,227,80,293,604,1707,766,2329,37,115,106,237,537,1143,681,1498,1447,3829,107,222,8268,23538
LGA13340,1309,2589,35,221,139,722,38,180,600,2519,813,3633,52,230,87,272,236,755,378,1251,1190,4883,4,32,26,99,11,48,153,423,202,603,12,39,40,92,138,300,197,437,395,1037,18,40,2913,8557
LGA13450,2665,5360,82,472,285,1347,101,502,1666,6587,2134,8907,164,693,175,585,673,2257,1017,3537,3150,12442,18,100,71,247,42,151,417,1226,545,1719,43,132,55,121,401,895,495,1147,1041,2871,112,246,6964,20925
LGA13550,1306,2611,26,132,127,590,41,191,826,3352,1019,4266,39,172,71,230,238,735,353,1142,1371,5403,3,19,40,140,18,76,291,840,360,1069,6,27,19,41,195,417,214,480,573,1552,66,144,3323,9710
LGA13660,653,1301,7,43,45,216,7,47,242,997,311,1304,15,54,24,61,87,271,125,391,432,1697,0,3,17,53,7,29,67,201,88,278,4,10,15,31,85,185,105,228,200,511,19,28,1304,3533
LGA13800,6724,13621,160,932,731,3443,366,1728,4246,16933,5495,23033,566,2471,545,1872,2024,6768,3140,11113,8635,34148,50,223,182,601,102,366,1012,2712,1344,3904,117,386,239,541,1199,2656,1560,3579,2903,7477,188,398,18453,55651
LGA13850,355,705,3,14,21,88,10,22,138,529,163,662,16,56,16,50,55,164,86,274,249,935,3,9,8,20,4,16,48,124,53,165,5,17,6,17,58,114,71,143,124,305,10,20,742,1964
LGA13910,2294,4556,53,302,184,872,75,336,999,4079,1305,5595,72,294,119,358,353,1099,535,1755,1843,7353,13,66,55,201,36,131,344,994,455,1396,32,92,63,130,276,590,361,812,821,2205,73,159,5032,14276
LGA14000,14013,28224,232,1267,2558,11586,275,1216,12016,46330,15076,60404,1437,6145,2824,10041,4096,13384,8358,29569,23434,89973,43,173,351,1142,85,297,1394,3524,1873,5133,274,875,723,1679,1976,4351,2973,6896,4841,12029,424,900,42716,131126
LGA14100,1318,2623,32,165,242,1121,18,91,819,3252,1111,4624,140,594,267,984,282,899,689,2476,1800,7101,6,25,33,112,3,9,110,267,153,413,18,61,74,170,140,297,229,530,383,944,39,80,3540,10748
LGA14170,20331,40737,116,637,1644,7227,164,716,11950,44046,13874,52630,707,2983,1996,6869,2611,8450,5319,18298,19189,70923,31,137,392,1193,100,345,2107,4809,2633,6485,247,792,933,2050,2587,5666,3759,8515,6391,15006,981,2048,46892,128723
LGA14220,2075,4155,31,173,166,746,55,250,848,3374,1098,4540,62,235,102,327,313,957,477,1525,1574,6064,12,43,60,241,42,171,411,1180,525,1636,24,84,44,97,289,627,355,804,880,2437,81,165,4607,12823
LGA14300,655,1303,15,92,58,257,22,91,295,1184,386,1636,14,64,29,102,130,409,172,573,564,2201,0,5,12,47,14,39,117,343,150,438,7,20,15,32,73,161,100,215,247,654,22,42,1485,4203
LGA14350,3705,7458,60,330,203,973,119,601,1210,4806,1585,6707,93,392,128,430,597,1897,824,2719,2405,9428,28,151,96,373,91,345,675,1993,891,2856,58,172,113,256,630,1394,799,1826,1686,4681,152,327,7952,21901
LGA14400,3255,6493,40,198,242,1136,78,339,1350,5366,1711,7039,151,627,256,868,527,1663,926,3154,2635,10195,9,38,55,170,22,63,232,604,315,871,27,81,76,159,290,617,389,854,703,1727,68,147,6662,18552
LGA14500,11493,23013,137,762,2445,11011,165,701,9787,37805,12535,50284,1231,5289,3045,10869,2805,9000,7083,25154,19610,75438,25,104,369,1194,46,134,1179,2968,1617,4398,214,692,813,1852,1266,2744,2299,5285,3914,9688,304,641,35318,108773
LGA14550,1256,2485,20,104,64,323,33,156,359,1449,474,2034,27,102,60,182,161,505,242,789,719,2824,11,46,35,123,13,49,174,510,233,731,5,18,27,61,198,413,227,493,459,1217,36,78,2472,6609
LGA14600,637,1270,10,48,55,228,16,58,374,1487,448,1823,12,62,36,111,94,300,141,466,593,2291,4,18,15,40,9,40,104,326,129,425,0,10,18,38,85,196,109,246,239,665,30,72,1502,4300
LGA14650,24349,48896,415,2308,2179,9975,807,3614,12880,50197,16284,66088,1299,5435,1830,6202,5204,16691,8325,28333,24611,94416,122,582,671,2289,459,1638,3904,10383,5157,14891,411,1279,878,1934,4085,8947,5371,12166,10523,27055,769,1604,60257,171971
LGA14700,4352,8713,32,170,537,2402,31,130,3150,11758,3746,14462,228,970,606,2174,562,1793,1391,4941,5142,19402,11,31,80,231,14,42,470,1077,566,1387,51,162,186,402,397,850,629,1411,1198,2797,136,281,10827,31196
LGA14750,1167,2339,20,125,114,556,51,236,597,2419,787,3332,52,221,71,213,221,701,343,1138,1122,4470,5,28,28,101,25,92,230,649,288,873,20,54,21,50,160,346,205,449,488,1317,39,85,2819,8214
LGA14850,4668,9335,85,456,393,1862,149,719,2146,8484,2771,11519,152,629,295,980,891,2843,1342,4452,4109,15973,36,162,165,542,108,384,935,2420,1235,3515,82,278,239,492,909,1999,1233,2771,2472,6288,184,374,11434,31973
LGA14870,2382,4765,45,260,176,808,80,369,926,3717,1235,5150,78,318,132,414,451,1442,659,2174,1890,7321,16,84,66,225,49,180,382,1078,506,1563,30,91,62,139,432,936,524,1163,1037,2728,85,175,5397,14990
LGA14900,14346,29357,987,6032,3578,17676,992,4977,15934,64710,21489,93401,2275,10295,2453,8944,6952,24151,11683,43385,33171,136783,258,1296,796,3114,443,1692,3550,10569,5043,16672,611,2185,942,2298,4450,10644,6001,15119,11047,31787,908,1968,59471,199898
LGA14920,885,1756,16,95,54,261,20,89,351,1391,445,1838,37,135,58,179,136,428,223,741,672,2576,3,22,23,100,17,53,154,442,193,624,8,15,12,25,126,273,144,307,336,932,44,99,1936,5361
LGA14950,398,800,8,48,27,147,17,75,179,783,234,1047,10,56,23,73,54,165,91,292,325,1341,4,11,9,49,6,14,44,118,60,196,4,11,6,10,59,125,66,149,124,348,9,28,868,2512
LGA15050,9222,18490,189,1065,1045,4867,426,1974,6230,24112,7898,32019,502,2108,700,2343,2012,6456,3209,10911,11109,42931,72,337,335,1165,186,690,1971,5442,2559,7630,169,520,342,780,1490,3315,2001,4609,4562,12237,350,750,25244,74406
LGA15240,14434,28841,157,870,694,3261,372,1703,3653,14542,4873,20379,272,1098,489,1552,1899,5905,2657,8558,7531,28936,75,341,277,999,231,848,1780,4979,2369,7169,100,309,312,671,1853,3958,2263,4938,4633,12109,366,768,26965,70647
LGA15270,3000,5990,66,349,245,1151,95,446,1555,6188,1963,8139,87,353,157,502,482,1507,727,2357,2692,10492,5,36,54,200,58,220,451,1251,570,1710,22,60,60,128,374,799,456,983,1025,2692,86,181,6800,19357
LGA15300,1141,2267,16,85,95,383,35,161,610,2473,757,3103,32,120,77,223,195,604,297,949,1056,4059,9,47,32,112,43,184,251,757,332,1098,14,33,23,39,205,466,232,533,561,1627,62,146,2822,8102
LGA15350,3382,6738,17,91,429,1901,18,71,1812,6950,2280,9005,170,719,522,1805,407,1277,1106,3798,3388,12804,3,15,66,209,8,31,295,683,372,938,29,87,171,366,285,614,488,1068,862,2006,95,191,7723,21743
LGA15520,1828,3651,22,114,112,522,38,169,701,2824,874,3634,61,243,110,352,213,659,388,1259,1268,4886,3,29,26,108,21,76,150,405,205,621,9,36,27,54,121,264,157,350,370,977,31,53,3493,9567
LGA15560,422,834,9,44,29,116,8,48,158,648,207,853,16,53,28,82,56,182,105,318,312,1166,3,22,8,38,7,18,43,124,66,192,0,7,0,8,61,131,63,145,130,338,11,28,872,2368
LGA15650,1643,3277,31,187,175,809,77,384,947,3795,1238,5178,67,286,108,350,298,936,477,1574,1715,6751,10,59,65,257,41,148,369,1046,493,1507,21,67,43,85,253,543,315,696,803,2198,60,119,4222,12349
LGA15700,2638,5282,28,160,166,801,63,289,821,3301,1082,4548,66,279,104,335,393,1241,558,1858,1642,6405,19,99,72,261,42,172,392,1124,536,1656,30,83,68,162,405,871,496,1120,1037,2773,89,182,5401,14649
LGA15750,1391,2780,26,145,113,549,44,182,710,2863,894,3739,30,127,78,253,238,719,345,1096,1233,4843,3,25,27,124,18,65,220,656,278,861,11,31,38,75,198,419,241,527,524,1393,45,99,3196,9107
LGA15800,626,1235,12,70,50,227,22,93,280,1140,361,1531,16,67,35,111,85,249,140,432,493,1956,3,15,25,82,19,72,124,361,170,532,6,16,18,34,86,180,109,241,278,771,27,66,1422,4027
LGA15850,647,1296,16,97,53,238,26,119,317,1309,414,1757,23,92,41,130,111,335,174,556,586,2310,5,17,28,103,19,80,107,342,160,534,9,27,25,47,98,210,132,278,286,820,29,62,1551,4484
LGA15900,17347,34633,209,1145,1638,7555,332,1515,9800,37553,11975,47768,754,3132,1567,5346,2853,9008,5165,17487,17135,65254,70,303,468,1578,250,907,2795,6923,3586,9711,251,768,802,1765,2804,6073,3860,8606,7440,18316,871,1804,42799,120015
LGA15950,9878,19626,10,73,433,1893,28,121,4178,14881,4649,16977,133,539,688,2296,621,1913,1440,4751,6094,21725,3,13,138,390,15,42,833,1831,994,2274,61,180,399,872,610,1276,1073,2335,2061,4607,369,761,18403,46722
LGA15990,26993,54201,386,2060,3860,17403,524,2328,19437,75446,24211,97239,2199,9331,4027,14289,5714,18591,11941,42215,36150,139451,81,326,631,1940,166,555,2743,6584,3621,9406,458,1481,1208,2743,3296,7237,4963,11461,8589,20867,713,1485,72448,216008
LGA16100,705,1393,10,54,44,207,25,103,257,1046,335,1416,21,76,23,77,123,378,166,540,502,1954,0,13,14,50,9,31,93,240,117,332,3,5,12,23,93,188,106,225,219,556,9,16,1432,3919
LGA16150,4331,8633,87,506,465,2152,157,750,2836,11299,3540,14708,152,637,288,940,702,2216,1145,3790,4683,18503,34,163,146,558,105,409,897,2461,1185,3596,61,200,132,285,622,1344,818,1826,2004,5424,168,353,11184,32910
LGA16200,1524,3055,23,147,158,758,58,270,762,3054,1002,4234,48,204,77,243,257,803,386,1247,1390,5482,19,80,59,213,36,150,305,908,422,1362,11,27,46,94,228,499,281,616,704,1974,45,97,3668,10604
LGA16260,24427,49408,278,1602,2770,12653,425,1944,21182,78674,24657,94870,1543,6623,3129,11035,5065,16698,9745,34360,34399,129231,75,360,542,1796,165,579,2879,7358,3658,10095,414,1378,1226,2831,3641,7983,5277,12197,8935,22291,1368,2896,69127,203822
LGA16350,17948,36493,601,3575,2538,12140,1018,4899,14821,58282,18985,78900,1504,6600,1683,5896,5606,18743,8796,31239,27776,110138,182,946,707,2609,482,1817,4394,12217,5770,17581,412,1380,809,1833,4273,9667,5496,12883,11264,30463,905,1929,57893,179020
LGA16380,12061,24135,140,775,847,3896,253,1129,4212,16649,5449,22446,337,1392,681,2261,1595,4962,2612,8621,8061,31066,64,301,282,930,145,534,1532,4196,2018,5966,108,355,339,712,1500,3203,1945,4275,3965,10240,270,567,24361,66009
LGA16400,9863,19727,176,971,737,3448,322,1478,3859,15212,5088,21104,343,1428,565,1873,1685,5331,2592,8633,7674,29743,55,263,243,877,181,653,1329,3727,1812,5516,110,342,254,549,1336,2877,1701,3770,3507,9286,223,465,21270,59219
LGA16490,6601,13182,124,707,737,3370,207,941,4660,17889,5736,22907,401,1683,624,2138,1415,4517,2436,8326,8175,31237,30,124,147,463,80,268,980,2477,1229,3342,82,256,192,411,817,1764,1089,2428,2322,5768,222,452,17312,50635
LGA16550,13402,26868,109,581,1392,6200,164,712,8572,32308,10232,39801,691,2937,1626,5773,2314,7483,4632,16193,14865,55994,26,112,277,879,58,200,1536,3663,1899,4856,196,626,649,1457,1981,4281,2824,6369,4731,11225,704,1482,33700,95572
LGA16610,2770,5553,41,235,208,995,103,503,1047,4270,1393,6003,88,365,118,404,497,1571,707,2339,2102,8345,15,75,69,244,58,233,478,1372,627,1929,34,117,79,156,457,985,568,1260,1193,3185,96,208,6165,17296
LGA16700,13496,27174,116,638,1320,5941,156,686,9541,35592,11134,42857,809,3488,1700,6001,2791,9155,5306,18639,16439,61499,23,93,238,737,61,216,1341,3271,1661,4314,187,601,609,1372,1856,4130,2648,6100,4314,10417,744,1544,34985,100630
LGA16900,8097,16322,193,1046,803,3669,334,1563,4658,18243,5984,24520,520,2214,567,1983,2191,7178,3273,11372,9257,35886,58,256,256,908,180,685,1482,4013,1983,5873,170,549,300,656,1594,3534,2064,4736,4045,10603,289,596,21682,63408
LGA16950,15027,30074,174,953,923,4287,334,1547,5204,20387,6629,27171,372,1542,647,2118,2107,6652,3127,10310,9758,37481,67,308,309,1125,195,723,1873,5139,2450,7292,116,364,366,786,1943,4214,2429,5367,4877,12656,383,804,30043,81015
LGA17000,2480,4934,64,339,294,1374,105,488,1619,6470,2080,8667,130,549,188,628,647,2051,968,3228,3049,11894,19,95,47,165,39,173,439,1188,547,1619,20,71,67,139,333,725,423,937,962,2557,73,164,6568,19548
LGA17040,2546,5049,36,195,223,1000,56,263,1159,4563,1477,6017,78,320,149,474,368,1151,601,1948,2068,7965,5,44,45,143,17,61,272,727,346,971,23,75,74,162,274,579,372,811,719,1783,52,108,5391,14908
LGA17080,1839,3655,34,188,137,632,58,269,788,3138,1021,4221,62,240,94,296,277,857,430,1395,1451,5618,5,28,43,145,26,102,256,710,334,990,15,39,43,89,241,500,295,631,626,1621,48,90,3963,10989
LGA17100,4258,8753,60,342,477,2240,71,317,2968,11167,3573,14065,347,1561,554,1967,1055,3544,1953,7068,5528,21130,16,72,94,335,18,50,342,919,469,1378,73,245,216,497,644,1448,931,2194,1399,3570,360,805,11545,34259
