LGA_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
LGA11650,28924,34716,14186,922,78751,21660,2816,103225,2356,703,1003,96,4151,5217,259,9627,1461,893,1015,69,3444,2462,211,6113,3821,1593,2017,169,7588,7675,472,15743,1291,592,747,66,2690,3578,203,6473,356,143,183,14,695,737,86,1519,744,224,239,37,1249,1067,157,2473,188,56,54,7,308,250,34,600,117,63,65,3,252,156,14,423,2698,1073,1297,125,5191,5798,498,11486,70,13,20,0,105,224,16,345,83,24,60,0,168,293,25,487,6,0,3,0,6,5,0,8,29,20,18,0,72,60,12,148,191,53,103,8,353,577,50,983,54,36,25,0,117,154,5,280,35678,37474,17619,1225,92003,35866,3845,131713
LGA11700,126,75,86,5,298,171,11,480,4,0,0,0,7,16,0,20,0,0,0,0,0,0,0,0,4,0,0,0,6,16,0,21,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,0,6,3,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,7,10,10,4,0,28,41,0,73,140,93,91,8,337,236,15,591
LGA11720,5657,6453,3283,214,15607,4318,496,20413,242,128,260,16,649,771,46,1460,32,21,43,0,103,153,9,270,277,152,309,21,752,924,59,1731,30,13,23,6,63,173,3,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,11,0,30,16,0,50,42,14,37,4,97,195,7,300,6,0,0,0,3,32,0,33,0,0,0,0,0,4,0,7,0,0,0,0,3,5,0,6,7,0,0,0,8,10,0,21,8,0,3,0,14,42,0,59,17,11,0,0,27,23,3,50,5997,6632,3629,239,16496,5497,565,22556
LGA11730,6334,4279,2222,201,13035,4394,593,18018,165,44,91,10,317,512,22,851,104,54,85,12,248,223,23,497,270,101,171,15,562,739,46,1345,116,37,81,9,234,494,28,762,25,3,8,0,39,42,4,88,8,0,0,0,8,15,0,22,0,0,0,0,0,0,0,0,12,3,4,0,17,26,3,42,157,47,89,8,297,585,36,916,34,6,0,6,39,67,3,109,79,6,9,0,96,174,5,280,5,3,0,0,8,5,0,19,48,42,7,5,105,42,3,152,168,53,19,12,247,290,11,560,20,12,11,0,42,45,4,89,6946,4486,2524,237,14188,6054,693,20932
LGA11750,351,356,140,10,861,383,28,1270,13,0,4,0,14,25,0,39,0,0,0,0,0,0,0,3,13,5,4,0,14,27,0,44,7,6,0,0,17,55,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,17,55,0,68,5,0,0,0,5,8,0,8,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,7,3,0,0,0,4,12,0,20,3,0,0,0,7,4,0,9,377,364,144,20,905,472,33,1409
LGA11800,7275,6827,2941,188,17233,4604,707,22545,442,211,277,10,931,1013,85,2037,376,227,217,20,839,546,86,1472,818,438,494,30,1774,1561,174,3508,355,220,293,39,895,1224,111,2228,77,36,61,3,174,202,23,387,75,10,11,3,101,157,12,265,43,3,6,0,58,53,4,115,19,12,7,0,36,41,3,77,568,276,374,49,1258,1668,148,3078,49,9,8,3,68,78,15,163,83,12,12,0,109,213,9,330,0,0,0,0,0,5,0,5,5,6,0,0,13,8,0,23,140,26,22,6,192,299,23,521,36,17,14,0,64,59,4,127,8828,7590,3837,271,20524,8195,1050,29774
LGA12000,543,439,151,6,1138,417,40,1600,5,6,0,0,10,16,0,23,0,0,0,0,0,0,0,0,5,6,0,0,11,16,0,23,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,0,13,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,5,0,0,0,3,8,0,10,5,0,0,0,5,0,0,6,554,447,151,11,1160,450,44,1649
LGA12150,324,271,205,17,813,367,39,1216,7,0,4,0,11,8,0,22,0,0,0,0,0,0,0,0,7,0,8,0,12,8,0,23,4,0,0,0,7,36,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,36,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,10,338,281,212,16,837,420,42,1303
LGA12160,1434,1002,416,41,2897,1181,70,4150,30,0,8,0,39,149,11,194,6,0,0,0,10,11,0,25,33,0,13,0,48,162,8,214,11,8,3,0,19,46,4,73,0,0,0,0,0,11,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,3,0,18,59,6,83,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,6,9,4,22,6,3,0,0,6,16,7,31,4,3,0,0,5,9,0,17,1493,1018,437,36,2984,1419,89,4490
LGA12350,1511,1096,535,63,3210,1346,121,4678,33,15,14,0,65,176,6,245,3,0,0,0,9,24,0,29,41,16,14,0,72,203,5,278,6,5,6,0,11,63,0,80,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,5,6,0,20,73,0,90,0,0,0,0,0,8,0,13,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,6,3,4,4,0,7,13,0,24,3,3,0,0,8,8,0,11,1565,1121,561,61,3309,1641,131,5081
LGA12380,7197,17460,5018,639,30310,5503,1445,37257,437,1005,314,37,1789,1045,112,2945,1380,3687,1043,104,6217,1282,353,7847,1816,4695,1360,136,8008,2327,461,10796,863,1259,414,144,2678,1672,438,4789,1333,2069,767,191,4357,1961,683,7001,1995,2767,777,197,5737,1841,697,8276,769,641,163,90,1666,387,342,2395,124,279,80,10,497,163,65,731,5092,7015,2196,631,14933,6030,2223,23184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,25,57,22,4,107,41,28,178,26,61,22,4,114,45,28,189,45,61,23,5,129,91,24,242,14174,29287,8614,1426,53494,13989,4187,71666
LGA12390,4623,5164,2267,207,12261,3643,534,16444,325,148,121,13,609,777,47,1438,17,11,7,0,29,32,5,65,336,159,125,13,638,811,50,1502,201,122,56,0,377,696,49,1125,4,0,0,0,3,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,15,3,3,20,207,125,61,0,394,709,52,1159,8,0,0,0,10,22,0,31,3,0,0,0,4,4,0,7,6,0,0,0,6,5,0,7,12,14,8,0,32,16,0,52,28,14,7,0,46,50,4,100,9,11,8,0,25,33,7,70,5204,5467,2467,225,13367,5256,650,19279
LGA12700,1172,1094,322,25,2612,803,51,3469,7,5,7,0,16,38,0,55,0,0,0,0,0,0,0,0,7,5,7,0,16,38,0,55,3,0,0,0,3,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,8,0,8,6,0,0,0,6,5,0,12,6,6,0,0,5,5,0,8,0,0,0,0,4,0,0,4,3,0,0,0,6,4,0,11,15,3,4,0,17,12,0,32,3,6,4,0,11,3,0,16,1198,1106,335,24,2662,865,51,3578
LGA12730,988,744,280,33,2043,880,77,2998,36,13,14,7,70,196,11,273,3,0,0,0,3,6,0,13,43,13,14,7,68,204,11,281,8,4,0,0,9,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,9,5,0,16,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,5,4,0,0,0,3,7,0,10,7,5,0,0,7,10,0,18,1042,766,292,34,2138,1112,81,3331
LGA12750,5545,2880,1417,102,9952,3575,344,13873,208,42,75,0,330,462,17,802,164,47,63,3,277,284,9,577,368,90,135,11,604,749,25,1379,159,52,92,10,310,524,32,861,13,3,7,0,23,31,0,58,10,0,0,0,11,27,0,36,0,0,0,0,0,0,0,0,5,7,0,0,8,14,0,25,188,56,99,11,349,594,33,974,26,7,9,0,42,62,4,111,43,3,6,0,59,122,10,188,0,0,0,0,0,3,0,5,11,0,8,0,13,5,3,21,86,15,22,0,113,192,15,322,13,3,0,0,20,34,0,51,6206,3041,1678,125,11045,5135,420,16603
LGA12850,8253,20328,7906,835,37317,5831,837,43987,237,433,289,25,981,536,30,1551,830,2463,1448,130,4867,1036,149,6055,1066,2899,1739,154,5850,1569,180,7598,393,564,454,59,1462,1182,84,2734,517,622,486,78,1709,928,156,2789,370,519,377,64,1328,647,56,2024,109,152,97,13,373,165,16,554,142,323,138,19,626,197,40,864,1533,2181,1552,235,5491,3122,349,8970,3,3,0,0,10,48,4,64,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,22,18,13,0,53,39,10,99,29,23,14,0,71,93,12,173,32,64,20,6,122,63,5,191,10906,25486,11223,1233,48853,10680,1388,60918
LGA12870,1669,1119,428,29,3230,1267,107,4610,117,14,38,6,172,348,18,530,0,0,0,0,0,0,0,0,117,14,41,6,173,348,18,532,6,0,0,0,9,14,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,11,0,27,0,0,0,0,4,3,0,8,12,0,0,0,12,16,0,29,0,0,0,0,0,0,0,3,3,4,0,0,4,7,0,11,15,4,0,0,17,33,3,51,5,4,3,0,14,3,0,15,1804,1136,468,29,3440,1667,123,5231
LGA12900,1005,839,400,25,2269,848,74,3192,22,11,11,0,53,96,5,151,3,0,0,0,0,6,0,9,26,11,15,0,54,106,5,156,19,0,7,0,34,129,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,19,0,7,0,34,126,0,162,0,0,0,0,3,10,0,15,0,0,0,0,6,9,0,19,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,17,6,0,0,0,15,28,3,44,4,3,0,0,3,4,0,6,1063,856,424,27,2370,1115,82,3563
LGA12930,6421,12926,2934,358,22639,3828,591,27051,472,551,270,28,1315,820,53,2190,857,1572,496,37,2961,759,85,3811,1326,2123,762,65,4277,1579,149,5995,375,365,183,30,957,857,109,1922,1432,1373,726,135,3668,1651,343,5661,2132,1977,901,213,5222,2237,536,7997,1028,726,267,89,2111,675,289,3080,72,84,33,6,199,77,17,297,5042,4525,2112,474,12155,5497,1295,18946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,61,58,33,6,165,115,26,304,62,58,33,6,167,113,26,308,14,10,7,0,33,50,11,93,12862,19641,5847,909,39262,11070,2064,52401
LGA12950,477,356,202,17,1048,405,33,1482,12,0,0,0,12,23,0,42,0,0,0,0,0,0,0,0,12,0,0,0,12,23,0,42,3,3,0,0,15,32,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,15,36,0,51,0,0,0,0,7,11,0,10,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,6,4,0,0,0,10,13,0,22,0,0,0,0,0,0,0,5,499,360,205,17,1084,478,34,1598
LGA13010,1110,643,379,34,2161,1088,88,3347,21,11,4,0,35,117,3,155,0,0,0,0,0,6,0,9,21,12,4,0,37,118,3,158,12,0,3,0,11,61,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,11,61,0,76,3,0,0,0,10,10,0,17,0,0,0,0,6,4,0,7,0,0,0,0,0,0,0,4,0,5,0,0,9,0,0,7,15,3,8,0,19,14,0,34,6,0,0,0,6,9,0,11,1155,660,391,36,2243,1292,98,3628
LGA13310,3175,3008,1275,90,7548,2719,266,10534,145,77,81,9,305,526,28,867,33,17,21,0,74,86,7,170,178,96,99,7,383,614,37,1036,31,16,25,0,73,195,5,279,4,0,3,0,9,49,4,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,7,10,0,21,37,26,29,0,88,254,8,355,3,0,7,0,7,8,0,11,3,3,0,0,12,24,3,36,0,0,0,0,0,0,0,0,11,0,3,6,22,22,4,45,17,10,10,6,34,52,0,94,3,4,0,0,3,20,0,25,3415,3137,1409,108,8062,3665,318,12045
LGA13340,1257,1169,381,23,2831,921,72,3828,7,8,4,0,13,59,0,76,0,0,0,0,0,0,0,3,10,8,4,0,16,58,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,5,4,0,0,0,5,3,0,10,6,0,0,0,11,7,0,16,1274,1181,390,23,2858,1000,71,3936
LGA13450,2187,2828,873,85,5976,1623,189,7785,69,52,44,4,178,165,17,362,8,7,0,0,14,45,0,64,84,60,44,4,188,219,19,428,215,175,71,18,481,360,47,887,9,6,0,0,19,8,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,5,4,0,10,225,192,71,17,506,373,51,928,0,0,0,0,4,20,0,27,0,0,0,0,4,11,0,16,0,0,0,0,0,0,0,0,10,10,5,0,22,16,0,40,14,11,6,0,33,53,0,85,10,14,0,0,26,18,0,45,2521,3102,998,113,6725,2278,265,9266
LGA13550,1211,1332,516,66,3126,978,122,4224,47,20,33,3,101,206,14,318,0,8,3,0,8,29,4,45,47,26,33,3,113,230,16,356,4,0,7,0,6,65,3,75,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,4,7,0,10,73,3,83,0,0,0,0,0,7,0,15,3,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,6,0,0,0,6,14,0,22,3,0,0,0,8,6,0,7,1271,1362,559,69,3257,1301,143,4697
LGA13660,621,430,192,14,1256,529,45,1821,0,0,4,0,6,18,0,27,0,0,0,0,0,0,0,0,0,0,4,0,6,18,0,27,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,8,0,0,0,8,12,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,10,0,0,0,6,9,0,23,4,4,0,0,6,8,0,15,635,432,195,14,1280,573,45,1898
LGA13800,5539,8071,2346,151,16110,3524,374,20015,298,213,261,21,793,790,60,1644,97,109,113,6,324,212,19,555,395,320,374,25,1117,1002,79,2198,71,36,40,5,154,301,20,474,27,9,10,0,46,56,6,100,3,0,0,0,10,7,0,21,0,0,0,0,0,0,0,0,19,12,7,0,33,23,4,64,120,61,60,3,241,388,26,660,13,3,0,0,19,22,0,35,4,0,3,0,13,35,4,47,0,0,3,0,9,4,0,8,3,6,7,0,19,10,0,25,22,14,9,3,50,70,3,121,21,4,3,0,30,31,6,68,6102,8469,2793,191,17549,5019,493,23060
LGA13850,333,237,116,8,698,325,14,1037,8,10,9,0,26,45,0,80,0,0,0,0,0,0,0,0,8,10,9,0,26,45,0,80,0,0,0,0,5,4,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,3,0,0,0,0,0,8,0,5,347,247,119,10,728,380,25,1134
LGA13910,2141,1778,738,74,4729,1855,155,6742,54,36,44,0,136,288,11,435,0,7,0,0,9,8,3,14,55,38,44,0,144,292,7,448,18,8,5,0,27,96,8,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,8,4,0,32,94,8,137,0,5,0,0,3,15,0,16,7,0,0,0,7,9,0,19,0,0,0,0,0,0,0,0,3,3,0,0,10,11,0,19,11,11,0,0,23,35,0,56,8,5,0,0,14,13,0,31,2243,1828,792,74,4938,2290,175,7403
LGA14000,9111,18550,3159,234,31059,4303,509,35868,231,184,78,6,497,511,12,1019,667,1352,408,22,2454,781,38,3273,900,1532,488,29,2954,1293,44,4292,317,187,102,11,612,767,32,1410,734,638,351,60,1785,1274,142,3199,955,1314,347,45,2668,1106,93,3863,673,933,205,37,1855,641,103,2591,51,60,27,0,145,67,6,213,2724,3131,1036,159,7059,3854,374,11283,4,0,0,0,6,0,0,11,9,3,3,0,18,30,3,52,0,0,0,0,0,0,0,0,14,21,0,0,35,24,0,59,28,25,3,0,61,59,3,119,12,9,7,0,28,35,0,65,12779,23251,4696,421,41149,9546,936,51629
LGA14100,752,1491,222,20,2483,364,43,2891,30,26,9,0,64,26,0,96,227,165,65,5,467,167,7,639,255,193,67,5,532,197,7,731,87,35,28,7,157,223,13,393,49,33,25,5,108,105,8,224,112,39,27,5,187,220,8,412,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,249,106,88,13,452,547,30,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,3,5,0,7,0,0,0,0,3,11,0,10,1264,1792,377,38,3475,1126,73,4670
LGA14170,5380,8625,2280,287,16568,3533,1251,21357,3275,3491,998,151,7911,2537,861,11304,2466,2895,787,86,6238,1750,785,8774,5740,6386,1781,232,14148,4283,1643,20072,2170,1190,732,124,4214,4596,856,9668,2864,1363,802,184,5214,5238,863,11325,2774,1148,485,107,4520,3736,609,8864,478,174,59,12,720,425,100,1243,74,45,25,8,151,145,35,329,8363,3921,2101,429,14811,14144,2466,31418,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,245,122,85,26,479,416,185,1075,248,122,85,26,482,419,182,1084,34,20,7,5,64,73,14,152,19764,19079,6261,985,46078,22451,5558,74091
LGA14220,1947,1523,793,69,4329,1518,157,6007,51,26,33,10,125,267,12,402,10,3,12,0,25,45,4,72,59,34,46,10,148,320,15,476,7,0,5,0,10,46,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,3,0,7,14,0,5,0,12,45,0,63,0,0,0,0,0,10,3,22,0,0,0,0,0,5,0,7,4,0,0,0,7,0,0,5,5,3,0,0,8,5,3,12,13,3,3,0,21,27,6,50,5,0,0,0,3,20,4,33,2042,1556,843,82,4513,1934,181,6626
LGA14300,617,546,230,22,1416,500,60,1977,4,3,5,0,10,19,0,33,3,0,0,0,5,3,0,6,6,4,5,0,18,20,0,35,0,4,4,0,11,50,0,62,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,11,59,0,68,0,0,0,0,0,0,0,0,4,3,0,0,5,0,0,5,0,0,0,0,4,0,0,5,3,3,0,0,6,0,0,6,10,6,0,0,13,0,0,14,0,0,0,0,0,3,0,5,638,563,235,18,1452,585,62,2103
LGA14350,3355,2307,1490,140,7284,2623,309,10220,32,28,24,4,85,103,12,198,19,6,17,3,45,45,4,91,53,32,43,6,127,145,17,294,95,20,68,10,191,387,22,597,9,4,7,0,17,35,7,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,9,0,0,12,110,26,71,10,215,426,22,664,17,5,6,0,22,39,5,65,13,0,0,0,20,18,12,50,4,0,0,0,4,0,0,0,7,0,6,0,11,8,0,16,34,0,9,0,47,75,21,142,6,9,9,0,23,16,0,38,3559,2378,1617,151,7705,3282,371,11352
LGA14400,2427,2366,523,53,5371,1072,106,6555,119,47,32,3,195,189,5,393,302,139,76,4,519,283,29,838,419,184,106,9,720,471,39,1230,71,24,24,0,120,122,0,247,66,17,9,0,91,77,8,181,106,12,4,4,128,175,7,310,0,0,0,0,0,0,0,0,15,3,4,0,18,4,0,29,255,53,42,10,357,382,17,756,0,0,0,0,0,5,0,6,5,0,0,0,10,11,0,16,0,0,0,0,0,0,0,0,5,7,0,0,21,6,0,31,14,9,5,0,29,22,3,52,3,0,0,0,7,8,0,20,3123,2618,680,68,6490,1957,164,8612
LGA14500,6934,16139,2358,164,25592,2882,243,28718,68,36,18,3,125,81,6,207,451,414,145,10,1021,373,16,1414,527,450,163,10,1147,451,22,1624,468,210,129,8,817,771,37,1624,381,338,173,22,912,724,56,1695,1986,2049,894,79,5011,1929,180,7120,235,252,89,15,589,225,26,842,16,28,13,0,56,27,7,88,3091,2876,1291,130,7382,3674,306,11365,0,0,0,0,0,0,0,0,5,0,0,0,5,5,0,5,0,0,0,0,0,0,0,0,32,33,11,0,75,33,3,112,39,33,11,0,82,35,3,121,4,15,4,0,28,12,0,37,10588,19510,3830,300,34227,7065,569,41864
LGA14550,1181,695,429,36,2343,1091,124,3553,5,0,0,0,3,5,0,12,0,0,3,0,3,0,0,3,5,0,0,0,6,5,0,14,8,0,6,0,13,68,0,85,0,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,4,8,0,22,68,0,95,4,0,0,0,9,10,0,18,0,0,0,0,0,4,0,8,0,5,0,0,3,6,0,11,3,3,0,0,8,10,0,20,10,3,0,0,16,38,3,59,4,8,5,0,11,8,0,20,1209,708,447,35,2405,1208,129,3736
LGA14600,608,569,220,32,1433,596,32,2067,6,0,4,0,11,32,0,39,0,0,0,0,0,0,0,0,6,0,0,0,11,29,0,42,10,3,3,0,18,40,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,0,18,40,0,58,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,5,8,0,9,4,4,0,0,13,0,0,19,626,584,229,35,1475,674,35,2191
