LGA_CODE_2021,POL_CL_Oth_SEO,POL_CL_Oth_UOLSE_VWorW,POL_CL_Oth_UOLSE_NWorNAA,POL_CL_Oth_UOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_UOLSE_VWorW,POL_CL_Tot_UOLSE_NWorNAA,POL_CL_Tot_UOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_UOLSE_VWorW,POL_Croatian_UOLSE_NWorNAA,POL_Croatian_UOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_French_SEO,POL_French_UOLSE_VWorW,POL_French_UOLSE_NWorNAA,POL_French_UOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_UOLSE_VWorW,POL_German_UOLSE_NWorNAA,POL_German_UOLSE_Tot,POL_German_NS,POL_German_Tot,POL_Greek_SEO,POL_Greek_UOLSE_VWorW,POL_Greek_UOLSE_NWorNAA,POL_Greek_UOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_UOLSE_VWorW,POL_IAL_Bengali_UOLSE_NWorNAA,POL_IAL_Bengali_UOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Guj_SEO,POL_IAL_Guj_UOLSE_VWorW,POL_IAL_Guj_UOLSE_NWorNAA,POL_IAL_Guj_UOLSE_Tot,POL_IAL_Guj_NS,POL_IAL_Guj_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_UOLSE_VWorW,POL_IAL_Hindi_UOLSE_NWorNAA,POL_IAL_Hindi_UOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Nepali_SEO,POL_IAL_Nepali_UOLSE_VWorW,POL_IAL_Nepali_UOLSE_NWorNAA,POL_IAL_Nepali_UOLSE_Tot,POL_IAL_Nepali_NS,POL_IAL_Nepali_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_UOLSE_VWorW,POL_IAL_Punjabi_UOLSE_NWorNAA,POL_IAL_Punjabi_UOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhal_SEO,POL_IAL_Sinhal_UOLSE_VWorW,POL_IAL_Sinhal_UOLSE_NWorNAA,POL_IAL_Sinhal_UOLSE_Tot,POL_IAL_Sinhal_NS,POL_IAL_Sinhal_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_UOLSE_VWorW,POL_IAL_Urdu_UOLSE_NWorNAA,POL_IAL_Urdu_UOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_UOLSE_VWorW,POL_IAL_Oth_UOLSE_NWorNAA,POL_IAL_Oth_UOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_UOLSE_VWorW,POL_IAL_Tot_UOLSE_NWorNAA,POL_IAL_Tot_UOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_UOLSE_VWorW,POL_Italian_UOLSE_NWorNAA,POL_Italian_UOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japan_SEO,POL_Japan_UOLSE_VWorW,POL_Japan_UOLSE_NWorNAA,POL_Japan_UOLSE_Tot,POL_Japan_NS,POL_Japan_Tot,POL_Khmer_SEO,POL_Khmer_UOLSE_VWorW,POL_Khmer_UOLSE_NWorNAA,POL_Khmer_UOLSE_Tot,POL_Khmer_NS,POL_Khmer_Tot,POL_Korean_SEO,POL_Korean_UOLSE_VWorW,POL_Korean_UOLSE_NWorNAA,POL_Korean_UOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedon_SEO,POL_Macedon_UOLSE_VWorW,POL_Macedon_UOLSE_NWorNAA,POL_Macedon_UOLSE_Tot,POL_Macedon_NS,POL_Macedon_Tot,POL_Malayalam_SEO,POL_Malayalam_UOLSE_VWorW,POL_Malayalam_UOLSE_NWorNAA,POL_Malayalam_UOLSE_Tot,POL_Malayalam_NS,POL_Malayalam_Tot,POL_Persian_ED_SEO,POL_Persian_ED_UOLSE_VWorW,POL_Persian_ED_UOLSE_NWorNAA,POL_Persian_ED_UOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_UOLSE_VWorW,POL_Polish_UOLSE_NWorNAA,POL_Polish_UOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Portuguese_SEO,POL_Portuguese_UOLSE_VWorW,POL_Portuguese_UOLSE_NWorNAA,POL_Portuguese_UOLSE_Tot,POL_Portuguese_NS,POL_Portuguese_Tot,POL_Russian_SEO,POL_Russian_UOLSE_VWorW,POL_Russian_UOLSE_NWorNAA,POL_Russian_UOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_UOLSE_VWorW,POL_Samoan_UOLSE_NWorNAA,POL_Samoan_UOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_UOLSE_VWorW,POL_Serbian_UOLSE_NWorNAA,POL_Serbian_UOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipin_SEO,POL_SAL_Filipin_UOLSE_VWorW,POL_SAL_Filipin_UOLSE_NWorNAA,POL_SAL_Filipin_UOLSE_Tot,POL_SAL_Filipin_NS,POL_SAL_Filipin_Tot,POL_SAL_Indon_SEO,POL_SAL_Indon_UOLSE_VWorW,POL_SAL_Indon_UOLSE_NWorNAA,POL_SAL_Indon_UOLSE_Tot,POL_SAL_Indon_NS,POL_SAL_Indon_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_UOLSE_VWorW,POL_SAL_Tagalog_UOLSE_NWorNAA,POL_SAL_Tagalog_UOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_UOLSE_VWorW,POL_SAL_Oth_UOLSE_NWorNAA,POL_SAL_Oth_UOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_UOLSE_VWorW,POL_SAL_Tot_UOLSE_NWorNAA,POL_SAL_Tot_UOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_UOLSE_VWorW,POL_Spanish_UOLSE_NWorNAA,POL_Spanish_UOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_UOLSE_VWorW
LGA10800,..,0,0,0,0,0,..,10,9,20,0,17,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,4,0,6,0,6,..,9,0,9,0,9,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,22,0,22,0,22,..,0,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,6,..,9,0,9,0,9,..,3,0,3,0,3,..,17,0,16,0,16,..,0,0,0,0,0,..,27,0,30,0,30,..,0,0,0,0,0,..,0
LGA10850,..,0,0,0,0,0,..,8,3,15,0,15,..,3,0,3,0,3,..,4,0,4,0,4,..,11,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,13,0,9,0,9,..,0,0,0,0,0,..,16,3,11,0,11,..,3,0,3,0,3,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,3,0,3,0,10,..,3
LGA10900,..,20,0,20,0,20,..,348,57,408,11,414,..,57,3,63,0,63,..,230,12,236,0,242,..,374,11,379,0,383,..,165,8,177,0,175,..,11,0,11,0,16,..,12,0,12,0,12,..,92,3,97,0,100,..,34,4,35,0,35,..,38,4,40,0,40,..,23,0,22,0,22,..,16,0,16,0,16,..,16,0,16,0,16,..,237,7,248,4,248,..,181,17,200,3,202,..,155,11,162,3,167,..,37,12,54,0,54,..,59,17,78,0,78,..,13,0,13,0,13,..,19,0,22,0,22,..,25,6,26,0,26,..,189,9,198,0,196,..,72,5,78,0,78,..,160,13,172,0,172,..,16,0,20,0,20,..,40,4,41,0,41,..,84,0,84,0,84,..,53,6,55,0,57,..,108,4,114,0,114,..,41,0,41,0,39,..,286,3,289,4,299,..,455,25,481,13,489,..,21
LGA10950,..,0,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,14,0,14,0,14,..,0,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,28,0,28,0,28,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,4,0,4,..,4,0,4,0,4,..,0
LGA11150,..,0,0,0,0,0,..,4,3,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,15,0,15,0,15,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,24,0,24,0,24,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,0
LGA11200,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,7,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
LGA11250,..,0,0,0,0,0,..,27,3,28,0,28,..,6,3,4,0,4,..,9,0,9,0,6,..,17,0,17,0,17,..,11,3,16,0,16,..,7,0,8,0,8,..,17,0,23,0,24,..,3,0,3,0,3,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,47,4,51,0,48,..,44,6,52,0,52,..,8,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,28,3,35,0,32,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,64,3,70,0,70,..,3,0,3,0,3,..,59,4,66,0,66,..,14,3,18,0,18,..,145,10,156,0,156,..,5,4,7,0,7,..,7
LGA11300,..,232,114,345,3,348,..,7755,3798,11557,83,11638,..,199,35,232,0,238,..,83,6,83,0,86,..,42,0,43,4,47,..,672,158,833,0,839,..,122,0,123,0,123,..,56,5,56,0,56,..,385,16,400,0,406,..,2865,49,2921,19,2939,..,53,6,55,0,55,..,36,0,36,0,36,..,93,9,100,0,100,..,89,4,96,0,96,..,3697,88,3789,19,3805,..,1093,224,1320,4,1330,..,121,23,143,0,148,..,30,4,35,0,35,..,746,392,1137,4,1139,..,20,4,21,0,21,..,100,3,103,0,103,..,33,5,43,0,43,..,84,14,101,0,101,..,125,29,152,0,159,..,118,12,129,0,127,..,16,0,16,0,16,..,58,6,72,0,72,..,220,5,226,3,229,..,272,34,308,4,306,..,235,10,236,0,237,..,59,12,67,0,67,..,780,56,835,8,845,..,386,53,444,3,449,..,287
LGA11350,..,6,4,10,0,9,..,58,11,63,0,68,..,13,0,13,0,13,..,359,15,374,4,378,..,398,8,406,8,408,..,49,0,49,0,55,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,11,0,11,..,10,0,10,0,10,..,63,3,66,4,67,..,4,0,4,0,4,..,4,0,4,0,4,..,0,0,0,0,0,..,89,3,98,4,100,..,281,17,293,3,300,..,168,53,217,0,217,..,3,0,3,0,3,..,8,0,8,0,8,..,4,0,4,0,4,..,0,0,0,0,0,..,7,0,7,0,7,..,31,3,34,0,34,..,299,6,307,5,310,..,39,4,45,0,45,..,0,0,0,0,0,..,5,0,5,0,5,..,26,0,26,0,26,..,35,0,35,0,35,..,23,0,22,0,22,..,12,0,12,0,12,..,98,0,97,0,97,..,563,14,581,4,580,..,0
LGA11400,..,0,0,0,0,0,..,13,14,22,8,27,..,6,0,6,0,6,..,8,0,10,0,12,..,24,0,27,0,26,..,5,0,5,0,5,..,4,0,4,0,4,..,4,0,4,0,4,..,9,0,9,0,9,..,7,0,7,0,7,..,9,0,9,0,9,..,0,0,0,0,0,..,3,0,5,0,5,..,0,0,0,0,0,..,33,0,32,0,34,..,14,3,17,0,17,..,4,0,4,0,4,..,3,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,4,0,4,0,4,..,0,0,4,0,9,..,0,0,0,0,0,..,12,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,5,0,5,0,5,..,21,0,21,0,21,..,4,0,4,0,4,..,0
LGA11450,..,55,18,73,0,74,..,1085,464,1548,11,1569,..,574,50,626,11,634,..,163,15,179,0,179,..,147,7,154,0,153,..,578,43,623,4,625,..,762,45,806,9,817,..,170,16,183,0,186,..,1637,80,1721,21,1745,..,892,96,990,12,1001,..,1200,122,1318,19,1333,..,185,13,199,6,206,..,1025,35,1065,5,1068,..,233,8,244,0,250,..,6105,413,6520,76,6599,..,1193,111,1309,10,1315,..,38,3,41,0,41,..,162,46,217,0,214,..,64,21,89,0,89,..,323,31,356,4,359,..,529,30,553,7,563,..,185,15,200,0,202,..,236,22,255,0,259,..,213,19,234,6,239,..,153,13,168,0,168,..,580,48,627,4,629,..,671,84,758,8,762,..,388,9,394,7,399,..,207,28,232,3,234,..,699,11,713,9,720,..,112,4,115,0,121,..,1399,54,1453,15,1475,..,1658,175,1838,23,1859,..,272
LGA11500,..,148,40,190,0,193,..,2304,1130,3432,23,3456,..,473,72,543,3,554,..,335,11,350,5,358,..,196,3,197,4,209,..,814,97,915,11,929,..,6886,527,7407,64,7475,..,353,33,391,10,398,..,3579,166,3747,28,3772,..,3940,376,4315,75,4391,..,1746,199,1946,21,1961,..,408,14,421,4,425,..,2269,142,2411,18,2426,..,1300,74,1372,9,1385,..,20475,1535,22007,229,22237,..,552,60,611,9,626,..,102,7,108,0,113,..,438,184,623,3,625,..,180,52,227,3,230,..,348,34,379,6,384,..,1265,59,1322,9,1333,..,217,47,266,0,266,..,442,58,504,0,502,..,278,51,324,0,328,..,346,68,410,3,412,..,2845,323,3169,39,3208,..,486,84,576,4,581,..,1310,43,1360,11,1367,..,772,89,862,11,870,..,2621,105,2726,11,2745,..,365,27,390,4,399,..,5071,266,5342,36,5370,..,2267,369,2632,24,2650,..,824
LGA11520,..,225,60,289,4,290,..,8873,2491,11363,87,11454,..,277,22,301,0,301,..,262,11,269,4,276,..,207,4,215,3,217,..,1546,275,1821,11,1829,..,162,6,164,0,164,..,159,3,162,0,164,..,948,20,970,12,982,..,1046,19,1067,8,1077,..,140,7,148,0,151,..,109,5,116,0,115,..,210,17,227,0,229,..,128,6,133,4,135,..,2906,90,2990,31,3021,..,4567,728,5298,22,5315,..,231,29,262,3,260,..,34,3,36,0,36,..,2077,803,2880,17,2898,..,100,0,108,0,109,..,113,3,118,0,118,..,401,37,441,0,441,..,205,13,220,0,222,..,389,39,427,11,439,..,279,17,299,0,296,..,23,0,23,0,23,..,221,25,244,8,250,..,277,0,282,3,280,..,343,23,368,4,372,..,349,6,355,0,358,..,110,7,108,0,108,..,1076,37,1114,4,1121,..,1089,105,1193,10,1206,..,355
LGA11570,..,632,389,1022,4,1023,..,18845,14565,33414,256,33670,..,675,125,798,0,801,..,649,28,674,4,686,..,322,11,335,5,333,..,14050,3266,17314,78,17394,..,8169,971,9135,86,9223,..,282,21,305,4,307,..,2445,112,2553,18,2571,..,4114,243,4352,36,4389,..,1039,99,1139,7,1148,..,188,10,201,0,204,..,8482,705,9184,104,9289,..,474,29,503,4,507,..,25183,2190,27375,260,27636,..,4225,680,4911,28,4939,..,420,70,489,0,489,..,181,52,236,0,236,..,1991,1474,3465,19,3489,..,2811,556,3365,17,3385,..,322,12,332,0,338,..,372,97,468,5,468,..,522,73,591,6,600,..,2259,658,2920,19,2933,..,391,54,450,6,455,..,875,81,963,9,970,..,512,69,583,6,588,..,1277,26,1307,20,1323,..,3756,655,4418,48,4465,..,2458,97,2554,19,2576,..,809,161,974,11,987,..,8303,943,9252,97,9346,..,2746,408,3150,33,3185,..,587
LGA11600,..,0,0,0,0,0,..,9,3,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,22,0,25,0,25,..,3,0,3,0,3,..,0,0,0,0,0,..,24,6,29,3,36,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,50,8,61,3,64,..,4,0,4,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,10,12,21,0,21,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,4,..,18,0,18,0,18,..,17,15,29,0,29,..,43,15,53,0,53,..,28,0,31,0,31,..,3
LGA11650,..,56,10,65,0,65,..,2067,827,2895,21,2917,..,204,30,229,0,229,..,599,29,628,9,637,..,786,29,818,14,825,..,669,86,749,14,765,..,147,18,163,0,163,..,143,6,145,0,145,..,514,22,538,5,546,..,512,30,539,4,541,..,565,49,614,9,619,..,114,4,117,0,117,..,206,19,225,4,230,..,100,3,101,0,101,..,2296,151,2447,24,2470,..,914,87,1002,7,1012,..,441,41,482,0,481,..,60,17,79,0,82,..,612,267,880,3,881,..,42,3,47,0,47,..,747,70,816,15,828,..,178,16,196,0,201,..,350,32,376,3,379,..,567,50,614,13,627,..,623,73,695,8,696,..,118,14,129,0,129,..,198,28,222,0,229,..,595,12,609,10,620,..,340,35,369,5,373,..,894,37,930,4,932,..,221,21,236,6,247,..,2048,102,2148,23,2171,..,1663,154,1817,13,1831,..,191
LGA11700,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
LGA11720,..,0,5,4,0,4,..,106,43,148,0,150,..,15,0,15,0,15,..,40,3,42,0,41,..,59,0,63,0,65,..,20,0,20,0,24,..,11,0,11,0,11,..,23,0,28,0,28,..,38,0,40,0,40,..,37,0,37,0,37,..,47,8,60,0,60,..,20,0,20,0,20,..,20,4,27,0,24,..,4,0,4,0,3,..,199,17,215,4,218,..,44,3,46,0,50,..,11,4,17,0,16,..,0,0,0,0,0,..,16,0,14,0,14,..,5,0,5,0,5,..,45,0,46,0,48,..,3,0,3,0,3,..,28,0,28,0,28,..,13,0,12,0,12,..,10,0,16,0,16,..,22,0,20,0,20,..,13,0,12,0,12,..,72,0,77,0,76,..,18,0,18,0,18,..,91,4,100,0,100,..,22,0,20,0,20,..,205,14,215,0,211,..,84,11,90,0,90,..,12
LGA11730,..,0,0,0,0,0,..,93,42,135,5,139,..,0,0,0,0,0,..,49,0,49,0,49,..,102,6,102,0,103,..,17,0,20,3,22,..,10,0,10,0,10,..,0,0,0,0,0,..,24,0,27,0,27,..,19,0,18,0,18,..,102,14,116,0,116,..,7,0,7,0,7,..,10,3,17,0,17,..,0,0,4,0,4,..,171,17,198,0,198,..,45,0,45,4,48,..,33,0,33,0,33,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,24,0,24,0,24,..,4,3,5,0,5,..,16,3,17,0,17,..,24,0,24,0,28,..,12,3,15,0,15,..,5,0,5,5,8,..,8,0,8,0,8,..,39,3,34,0,34,..,20,0,20,0,26,..,73,11,81,0,81,..,18,0,18,0,18,..,155,12,164,0,160,..,65,3,65,0,64,..,3
LGA11750,..,0,0,0,0,0,..,18,4,17,0,17,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,6,0,6,0,6,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,5,0,5,0,5,..,17,0,17,0,14,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,33,0,33,0,35,..,5,0,5,0,5,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,3,0,3,..,10,0,11,0,11,..,0,0,0,0,0,..,18,0,21,0,21,..,11,0,11,0,11,..,0
LGA11800,..,24,4,23,0,23,..,308,171,481,10,490,..,7,10,14,0,14,..,157,8,163,0,160,..,262,8,277,7,281,..,50,5,53,0,53,..,11,0,6,0,6,..,17,0,17,0,17,..,78,0,82,0,82,..,82,9,90,0,92,..,1465,331,1795,23,1808,..,22,0,24,0,24,..,16,0,16,0,16,..,16,0,16,0,16,..,1699,339,2041,18,2063,..,154,5,154,0,161,..,128,22,149,0,149,..,4,0,4,0,4,..,33,19,51,0,56,..,6,0,6,0,6,..,52,5,56,3,60,..,13,0,11,0,11,..,41,0,43,0,43,..,43,0,42,0,42,..,32,5,36,0,37,..,10,0,10,0,14,..,4,0,5,0,5,..,82,3,92,0,87,..,39,4,45,0,43,..,127,8,134,0,134,..,100,33,138,4,144,..,350,51,401,6,410,..,216,29,242,0,245,..,21
LGA12000,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,6,0,6,0,6,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,10,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
LGA12150,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,18,0,18,0,18,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,14,0,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,11,0,11,0,11,..,0,0,0,0,0,..,0
LGA12160,..,0,8,8,0,8,..,45,54,94,0,94,..,7,0,7,0,7,..,4,0,4,0,4,..,10,6,14,0,14,..,9,0,9,0,9,..,7,0,7,0,7,..,0,0,0,0,0,..,4,0,4,0,4,..,17,0,17,0,17,..,15,3,16,0,16,..,3,0,3,0,3,..,6,0,6,0,6,..,0,0,0,0,0,..,41,3,44,0,44,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,20,0,17,0,17,..,3,0,3,0,3,..,18,0,18,0,18,..,0,0,0,0,0,..,43,0,47,0,47,..,8,0,8,0,3,..,0
LGA12350,..,0,0,0,0,0,..,22,9,30,0,30,..,3,0,4,0,4,..,8,0,8,0,8,..,9,0,9,0,9,..,20,8,22,0,22,..,0,0,3,0,3,..,4,0,4,0,4,..,12,0,12,0,12,..,8,0,8,0,8,..,16,0,17,4,18,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,42,8,41,4,47,..,15,0,17,0,17,..,5,0,5,0,5,..,8,0,12,0,12,..,3,0,3,0,3,..,0,0,0,0,0,..,17,0,19,0,19,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,3,0,3,..,3,0,3,0,3,..,7,0,7,0,7,..,0,0,0,0,0,..,21,0,21,0,21,..,0,0,0,0,0,..,17,0,16,0,16,..,0,0,0,0,0,..,36,0,41,0,41,..,6,3,9,0,9,..,0
