LGA_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
LGA12700,4761,4781,9541,260,257,509,636,622,1257,267,258,525,204,190,394,421,442,864,552,572,1120,599,648,1242,761,767,1529,643,610,1254,345,315,658,68,112,184,4573,4631,9206,187,147,338,333,317,647,17,10,23,11,5,17,355,332,690,4257,4237,8492,249,273,521,4517,4511,9027,38,52,91,4507,4522,9030,89,88,175,598,583,1182,177,163,340,47,59,107,74,156,225,1270,1636,2911,264,295,560,1538,1283,2819,364,326,692,200,135,335,14,9,16,4487,4537,9030,272,269,543
LGA12730,4170,4286,8456,240,206,444,554,483,1037,227,248,480,199,201,398,418,450,868,402,440,846,493,532,1022,603,653,1262,605,533,1136,306,365,676,115,175,286,3935,4092,8027,235,189,427,187,205,391,3,5,5,3,9,8,190,220,410,3483,3604,7093,230,253,486,3660,3769,7430,108,137,250,3659,3794,7453,64,54,117,479,430,909,136,184,321,31,49,74,59,128,188,1018,1425,2445,397,383,782,949,890,1838,375,308,687,249,204,450,20,10,35,3653,3788,7439,473,470,944
LGA12750,19892,20696,40593,850,797,1648,2038,1932,3971,1017,882,1898,714,629,1342,1539,1629,3172,1708,1837,3547,2279,2479,4767,3279,3652,6929,3925,3899,7823,1956,2043,4000,580,915,1498,18773,19704,38477,1120,996,2113,1192,1221,2410,11,6,22,14,22,35,1218,1249,2466,15541,16066,31607,2646,2935,5578,17630,18311,35935,742,873,1622,17808,18570,36377,249,233,478,1812,1738,3557,676,588,1266,142,150,291,296,681,981,6736,7657,14391,1368,1298,2666,5030,5184,10218,1434,1439,2867,811,735,1548,56,47,101,17912,18690,36603,2274,2334,4608
LGA12850,102874,105605,208475,5526,5331,10848,13666,12725,26395,7490,6950,14439,7501,7184,14686,13712,13336,27047,11803,13160,24959,13029,14164,27188,13804,14137,27942,9783,10596,20373,4810,5346,10159,1756,2690,4440,100653,103364,204021,2222,2234,4457,676,761,1439,29,22,51,19,16,33,729,799,1525,41662,38737,80400,55397,61262,116655,25690,23065,48753,70109,75184,145297,80619,82468,163081,1340,1221,2566,12350,11537,23890,5752,5833,11583,3074,3366,6447,3227,4824,8050,42090,42920,85008,4936,4223,9153,12810,11933,24744,4935,5222,10156,7374,9030,16403,5468,8066,13533,96918,99409,196328,5449,5649,11097
LGA12870,6429,6471,12899,303,288,599,746,679,1423,332,327,659,286,249,534,561,574,1135,550,604,1153,757,771,1525,966,985,1956,1100,1068,2169,614,670,1284,208,264,468,6037,6131,12168,390,339,727,143,131,281,4,4,9,5,6,11,156,147,300,5467,5463,10932,427,506,936,5805,5877,11684,145,151,294,5805,5865,11673,86,83,169,668,621,1291,206,242,450,41,68,104,65,196,262,1491,2028,3517,754,726,1483,1679,1437,3113,578,517,1094,351,309,656,27,15,38,5714,5823,11535,542,518,1060
LGA12900,4597,4716,9319,260,287,548,634,664,1302,283,260,539,257,221,482,472,523,1003,490,514,1003,516,556,1074,611,604,1217,586,541,1126,371,377,748,112,174,284,4344,4506,8849,260,216,469,571,622,1194,9,9,20,17,9,18,594,642,1236,4012,4057,8068,165,234,398,4132,4221,8358,87,113,200,4152,4249,8396,85,88,172,577,609,1184,176,169,346,35,61,96,50,166,214,1191,1526,2719,297,276,574,1193,1111,2307,356,294,651,266,171,435,19,9,30,4135,4278,8416,530,514,1039
LGA12930,75024,77250,152274,4018,3617,7632,8560,8073,16631,4141,3870,8009,6126,5462,11587,12136,11531,23667,10081,10599,20681,9026,10033,19057,8992,9656,18651,6578,7319,13895,3762,4469,8224,1616,2610,4229,73476,75582,149053,1547,1673,3218,465,522,989,8,10,24,12,17,30,482,554,1036,38551,37971,76519,33649,36444,70099,32531,31571,64097,39098,41928,81024,57635,59612,117251,1246,1089,2338,8127,7652,15775,3560,3441,6997,3370,3040,6414,3409,4329,7739,43406,44451,87855,2682,2488,5175,7980,8441,16426,2200,2524,4723,2085,2770,4857,768,1155,1925,71645,73358,145005,3185,3746,6926
LGA12950,2122,2174,4295,138,128,258,288,273,563,101,120,219,81,82,160,220,226,444,191,244,435,265,267,531,320,330,650,297,261,555,171,179,353,55,72,129,2015,2076,4094,98,103,204,316,293,610,0,0,3,3,4,6,317,300,621,1798,1821,3616,50,89,142,1838,1887,3727,27,37,66,1856,1899,3751,38,35,79,247,241,481,61,66,126,4,16,20,11,55,69,429,627,1058,113,123,236,562,516,1078,216,177,398,139,91,228,7,6,10,1815,1877,3697,336,312,648
LGA13010,4409,4518,8931,209,186,385,483,496,976,236,255,493,190,169,355,434,414,849,410,430,840,516,559,1074,710,699,1416,684,691,1375,425,433,855,109,188,303,4187,4297,8486,223,223,444,320,312,635,9,7,19,15,18,26,339,338,677,3602,3688,7287,327,342,670,3772,3949,7718,78,127,206,3775,3965,7743,48,48,100,414,416,829,143,155,301,20,37,61,58,166,218,1081,1396,2487,217,261,474,1230,1223,2453,336,300,637,274,224,500,21,13,32,3784,3985,7774,624,498,1124
LGA13310,16141,15909,32053,953,876,1829,2042,1910,3953,956,822,1775,940,762,1698,2104,1995,4097,1867,1870,3740,1990,1993,3987,2165,2115,4284,1804,1935,3744,1001,1114,2121,315,508,825,15483,15351,30833,657,556,1213,799,754,1549,28,28,57,10,7,12,833,787,1619,13234,13152,26387,1792,1718,3507,13630,13882,27516,1011,987,1995,13956,14268,28224,281,258,533,1863,1752,3612,611,578,1184,183,214,399,391,666,1057,4828,5637,10466,909,896,1812,4015,3833,7851,1148,1059,2204,697,597,1297,63,60,119,14245,14574,28814,2168,1486,3654
LGA13340,5657,5492,11157,330,325,653,845,751,1591,421,371,797,227,203,433,457,475,934,584,676,1253,664,709,1376,844,818,1669,784,698,1486,406,339,743,89,134,229,5385,5266,10656,276,224,500,186,172,359,4,4,8,4,4,9,194,183,376,4792,4650,9443,332,348,678,5078,4934,10014,116,119,236,5092,4930,10025,101,90,192,761,676,1445,281,276,556,40,64,111,72,184,254,1380,1886,3274,484,471,954,1411,1136,2543,463,325,789,296,163,457,7,5,13,5041,4935,9975,539,511,1052
LGA13450,13591,13494,27086,885,862,1746,1799,1712,3514,914,802,1709,821,744,1560,2023,1992,4019,1734,1665,3396,1701,1730,3433,1641,1577,3221,1155,1210,2369,667,768,1431,258,429,689,13126,13101,26228,468,390,856,675,716,1397,13,13,22,9,8,13,700,736,1434,9379,9471,18844,3091,2991,6080,9290,9379,18662,3190,3083,6278,10584,10796,21384,221,227,445,1627,1546,3174,603,559,1162,169,160,328,273,502,779,4184,4694,8877,812,767,1581,3233,2838,6074,743,750,1500,722,723,1442,150,167,316,12384,12414,24800,1363,1151,2512
LGA13550,6438,6495,12929,497,449,949,1000,944,1943,344,330,681,368,318,689,849,892,1747,720,783,1509,675,717,1394,798,773,1575,665,603,1264,374,475,851,133,207,332,6173,6272,12442,261,226,483,979,972,1952,17,12,28,22,25,42,1013,1008,2021,5530,5542,11069,309,371,681,5662,5734,11402,211,207,413,5722,5790,11508,153,127,285,913,841,1755,194,209,409,66,60,130,84,287,375,1571,2045,3613,330,377,706,1690,1514,3199,492,437,923,314,211,523,20,16,42,5852,5902,11755,688,607,1292
LGA13660,2447,2465,4910,103,120,225,339,303,638,92,123,211,96,71,169,199,196,393,250,246,501,291,324,616,387,373,758,376,369,742,240,233,477,66,105,173,2303,2344,4645,145,122,268,150,167,319,8,0,14,0,8,9,160,177,343,2116,2105,4216,84,118,203,2201,2218,4418,21,25,45,2201,2218,4412,33,37,75,301,267,570,63,85,149,13,19,34,28,65,94,571,741,1309,125,132,258,676,644,1321,219,176,393,189,138,324,11,8,23,2166,2205,4372,289,286,577
LGA13800,33461,33755,67207,2140,2008,4152,4528,4175,8699,2276,2117,4391,2223,2024,4245,4435,4402,8834,3895,4020,7916,4431,4746,9184,4318,4338,8650,3099,3261,6361,1667,1890,3560,454,766,1215,32449,32949,65393,1013,804,1820,1594,1566,3168,27,19,44,26,15,45,1653,1608,3252,27609,27726,55330,4327,4600,8927,29601,29797,59393,2295,2471,4765,30367,30675,61037,662,603,1266,4259,3938,8204,1633,1580,3213,587,730,1317,638,1407,2053,10419,13127,23538,2022,1922,3943,9404,8005,17415,2231,2023,4257,1098,909,2010,107,106,214,31563,31953,63519,1747,1772,3517
LGA13850,1448,1436,2882,77,86,167,156,143,298,64,80,139,90,81,168,172,139,314,123,138,259,171,161,333,264,261,522,166,162,331,112,143,255,45,45,90,1339,1372,2716,103,65,167,138,97,232,0,0,5,0,0,0,140,101,238,1142,1163,2307,99,97,197,1215,1211,2422,48,71,117,1218,1224,2445,20,31,52,134,119,249,31,52,81,10,19,27,18,44,60,372,465,840,110,116,223,314,297,614,140,101,239,93,68,160,7,5,17,1221,1244,2470,221,198,419
LGA13910,9469,9787,19254,604,529,1128,1287,1226,2512,566,556,1123,414,467,882,943,1022,1969,931,1050,1979,1113,1176,2293,1368,1373,2747,1281,1307,2587,746,757,1504,215,328,541,8966,9299,18264,498,490,988,470,484,955,3,8,10,7,11,11,482,496,974,7964,8243,16206,682,772,1451,8232,8609,16836,509,497,1010,8488,8776,17264,172,154,320,1173,1110,2287,362,387,748,59,110,171,115,325,441,2381,3135,5515,557,664,1224,2619,2401,5019,732,721,1455,521,360,880,39,43,76,8606,8932,17543,862,816,1679
LGA14000,74360,77455,151811,3932,3673,7607,11060,10188,21251,5084,4682,9774,4377,3971,8346,7024,7379,14405,10627,11612,22239,10659,11339,22004,9087,9646,18731,6751,7485,14233,4123,4785,8902,1628,2700,4327,72744,75784,148525,1616,1671,3286,441,381,823,8,13,24,12,11,23,459,401,859,43495,43225,86722,29181,32522,61700,46541,46409,92951,25613,28594,54202,63039,64543,127582,1413,1358,2767,10755,9901,20657,4529,4262,8792,2416,2322,4738,2445,3873,6320,43626,46160,89786,2857,2747,5606,7352,8311,15663,2086,2275,4359,982,1157,2135,362,454,813,71570,74095,145666,2234,2963,5196
LGA14100,6597,6962,13559,279,306,582,942,790,1738,568,456,1027,401,306,704,505,494,996,694,846,1537,977,1040,2017,824,891,1714,701,800,1498,474,538,1009,232,507,734,6176,6506,12687,419,459,874,42,26,69,0,0,3,0,0,0,38,30,71,4550,4694,9249,1800,2033,3837,5004,5046,10052,1236,1448,2685,5923,6258,12188,105,107,215,902,776,1680,524,429,952,244,187,429,155,238,392,3954,4118,8068,255,227,482,518,698,1217,170,192,360,114,132,248,15,16,31,5994,6295,12290,389,593,982
LGA14170,89169,93648,182818,4665,4479,9148,8984,8568,17556,3854,3568,7422,5430,5854,11284,17010,18230,35238,15084,15448,30530,12756,13352,26101,9778,10065,19845,6640,7579,14219,3587,4317,7906,1385,2192,3569,86060,90357,176419,3105,3286,6395,961,1078,2036,29,23,56,27,40,70,1021,1141,2162,55880,58486,114370,29390,31604,60994,62960,64555,127518,21991,25249,47236,74735,79225,153955,1478,1417,2896,8614,8251,16863,3303,3169,6469,2767,3078,5844,4780,6591,11373,56111,61003,117113,3172,2633,5802,7076,6990,14063,1887,1839,3728,2247,2933,5178,791,1171,1962,82390,87332,169724,5487,4909,10399
LGA14220,8780,9072,17853,529,497,1026,1213,1186,2399,560,557,1116,485,425,909,953,1013,1971,897,937,1832,1046,1125,2171,1153,1210,2366,1101,1073,2170,671,758,1424,173,295,471,8341,8690,17026,440,383,824,928,977,1906,11,23,34,21,21,38,956,1017,1975,7236,7511,14747,618,655,1268,7589,7922,15509,347,337,676,7674,7991,15660,133,138,270,1057,1029,2085,320,344,665,41,92,138,119,304,420,2152,2785,4936,523,521,1041,2224,2186,4411,746,706,1453,537,409,941,39,29,71,7758,8024,15778,1078,1041,2120
LGA14300,3664,2756,6415,166,162,331,370,352,721,178,138,322,240,132,371,585,303,890,542,289,840,495,347,844,461,408,868,371,352,719,207,187,391,48,81,125,3536,2667,6208,125,86,209,420,157,577,3,0,3,9,0,12,432,161,587,3069,2380,5454,354,193,544,2474,2475,4953,185,113,295,2469,2494,4961,49,60,106,337,318,656,108,95,202,25,39,63,44,114,158,711,885,1596,203,156,364,792,688,1478,263,223,489,128,122,246,13,9,20,2592,2545,5134,1127,205,1335
LGA14350,15426,15262,30688,817,732,1548,1743,1783,3528,890,809,1694,787,669,1447,1614,1448,3062,1528,1487,3017,1755,1818,3570,2320,2451,4773,2436,2307,4743,1203,1240,2444,342,525,863,14681,14605,29289,742,657,1396,1939,1878,3813,20,16,36,57,54,111,2013,1946,3959,12910,12681,25586,1166,1235,2404,13141,13574,26714,398,489,889,13272,13701,26968,219,227,444,1530,1568,3096,518,536,1050,94,154,250,206,502,713,3639,4340,7976,927,873,1799,4118,4137,8261,1435,1353,2794,830,739,1567,54,28,85,13355,13853,27208,2327,1736,4066
LGA14400,11220,11851,23074,608,547,1149,1381,1266,2647,636,639,1281,517,442,954,969,1026,1992,1173,1309,2485,1324,1444,2763,1625,1810,3436,1738,1857,3597,976,1012,1988,281,494,777,10617,11271,21888,604,577,1179,246,259,512,8,0,8,4,10,10,259,272,534,9191,9581,18766,1548,1802,3359,10244,10746,20993,466,569,1033,10300,10871,21171,241,180,414,1325,1213,2535,500,524,1018,192,227,419,249,469,718,4914,5511,10426,621,569,1194,2382,2575,4951,553,620,1171,256,235,492,16,17,33,10457,11034,21495,692,743,1436
LGA14500,59850,64222,124076,2917,2681,5602,9522,9027,18548,4692,4432,9124,3642,3324,6968,4521,4808,9330,7462,8974,16439,8846,9985,18833,7416,7814,15230,5472,6239,11713,3697,4454,8150,1663,2479,4138,58253,62575,120826,1599,1648,3248,128,132,264,21,10,30,6,3,10,153,144,299,33956,34627,68584,24646,28197,52848,39378,40090,79470,18983,22484,41469,51114,53562,104678,1151,1104,2255,9274,8820,18096,4354,4213,8568,2305,2177,4479,1716,2765,4482,38785,41490,80274,1942,2253,4190,3247,4595,7839,1313,1525,2834,603,711,1315,152,256,412,57680,61669,119346,1597,2248,3851
LGA14550,4648,4708,9359,203,198,402,536,545,1084,244,235,480,162,153,314,352,365,710,437,468,907,533,631,1167,929,879,1811,840,742,1588,328,344,675,88,140,228,4437,4527,8961,216,184,398,242,256,497,3,0,6,9,13,25,259,268,525,3706,3746,7453,443,498,939,4055,4084,8140,141,166,311,4092,4153,8249,55,55,110,460,463,927,146,165,314,21,36,50,61,172,237,1258,1540,2797,299,295,594,1314,1202,2519,371,357,728,248,165,412,14,7,26,4138,4220,8356,514,500,1017
LGA14600,3046,3048,6094,194,202,398,476,424,898,170,144,316,122,140,267,332,379,710,346,331,678,341,367,706,417,402,818,371,318,687,201,213,412,69,126,199,2861,2885,5749,188,161,344,517,586,1097,3,5,6,0,5,6,521,590,1118,2524,2489,5017,154,146,296,2579,2568,5149,114,104,218,2614,2600,5213,47,57,107,406,362,769,94,86,181,13,37,51,25,92,111,717,955,1667,134,195,334,793,650,1443,223,200,432,176,88,260,21,9,34,2662,2593,5253,419,426,846
LGA14650,104311,109529,213845,6133,5832,11966,13784,13007,26797,6355,5992,12340,6080,5571,11654,11790,12372,24165,12523,13276,25799,13119,13652,26769,13044,14240,27279,11928,13227,25149,7161,8460,15618,2390,3909,6305,100017,105804,205822,4293,3729,8020,5645,5721,11375,109,89,197,98,86,185,5859,5899,11759,89514,93319,182831,10890,12215,23111,95020,99284,194306,5191,6072,11259,96864,101704,198572,2078,2009,4091,13148,12409,25557,4560,4503,9058,1970,2113,4084,2577,4419,7000,35498,41005,76495,6770,5970,12733,27031,27526,54556,7326,8066,15391,3295,3339,6634,295,274,575,98613,103628,202247,4210,4936,9151
LGA14700,19305,20130,39438,1212,1193,2403,2499,2278,4777,1074,940,2017,1081,886,1963,3132,3307,6440,3354,3590,6953,2526,2709,5239,1897,2095,3990,1458,1655,3110,843,986,1824,236,489,725,18642,19447,38087,663,681,1349,70,66,143,0,4,4,0,0,0,80,69,152,11491,11410,22905,7227,8027,15248,13527,13269,26798,5113,6064,11175,16050,16367,32415,417,371,791,2419,2216,4637,1006,878,1891,635,500,1131,796,1185,1984,12856,13495,26355,596,585,1177,1027,1278,2304,308,324,638,168,179,344,49,72,118,18286,19066,37351,713,825,1534
LGA14750,5643,5808,11452,354,345,703,864,853,1715,453,458,909,312,308,618,676,688,1366,595,658,1258,706,680,1385,723,725,1447,539,520,1065,316,395,710,104,182,284,5419,5581,10998,228,228,456,377,415,787,14,11,22,5,8,13,390,432,823,4550,4674,9221,601,638,1234,4623,4750,9374,532,571,1107,4802,4954,9755,86,84,171,777,759,1534,310,324,632,52,77,129,72,189,264,1292,1670,2961,350,361,710,1568,1475,3040,454,407,860,309,213,518,33,38,70,4912,4984,9897,737,772,1506
LGA14850,21758,22573,44334,1086,1022,2106,2837,2637,5479,1393,1262,2657,1172,1107,2285,2326,2429,4751,2431,2765,5196,2898,3081,5986,3294,3347,6638,2739,2800,5537,1188,1432,2620,393,687,1081,20934,21807,42740,827,760,1592,1232,1211,2440,37,34,63,44,51,92,1307,1290,2600,17830,18418,36246,2183,2410,4591,19065,19689,38754,1061,1258,2318,19394,20206,39602,351,305,658,2540,2382,4928,944,872,1818,313,362,672,659,1167,1828,7802,8952,16749,1326,1317,2643,4991,5129,10118,1411,1269,2679,792,672,1463,50,62,115,19921,20706,40626,1980,2091,4071
LGA14870,10529,10313,20842,496,464,958,1257,1204,2461,600,502,1104,560,450,1010,1183,1091,2273,1104,1042,2144,1297,1320,2613,1573,1594,3171,1458,1451,2910,805,856,1666,189,339,534,10026,9915,19941,504,399,900,820,726,1540,26,22,43,18,13,31,861,761,1621,8638,8478,17115,1037,1061,2099,9044,9156,18199,441,455,903,9216,9270,18490,132,126,261,1133,1093,2230,363,353,713,103,111,213,179,371,551,2630,3289,5919,669,617,1285,3137,2705,5837,810,897,1704,461,421,887,33,17,48,9307,9531,18842,1283,792,2077
LGA14900,116163,117283,233446,8663,7999,16664,17921,16984,34907,8408,7810,16212,8508,7977,16481,16158,17300,33456,16653,17325,33975,14492,15111,29602,12640,12527,25169,7754,8230,15987,3802,4245,8048,1167,1770,2943,113757,115182,228942,2407,2095,4501,1770,1917,3676,28,38,72,44,45,84,1839,1999,3838,60539,58955,119494,48960,51941,100901,47130,45016,92144,61101,64455,125558,96656,97447,194101,2136,2029,4169,16416,15615,32031,6462,6383,12847,3134,3520,6656,3393,5326,8714,50667,53925,104593,5529,4832,10356,15704,14153,29851,4510,4436,8947,4394,5326,9719,2382,3283,5664,108680,110537,219216,7584,6866,14453
LGA14920,3789,3761,7551,208,179,385,508,442,949,225,218,446,162,163,330,348,358,703,382,410,786,470,493,961,576,561,1136,564,510,1073,285,316,600,72,112,189,3602,3625,7222,189,138,331,531,554,1082,3,4,7,12,23,33,543,580,1121,3155,3124,6276,163,193,356,3262,3241,6498,95,107,202,3303,3274,6571,49,53,102,417,395,818,137,141,271,28,27,55,47,110,151,846,1057,1908,221,246,459,1045,991,2039,331,273,607,232,146,382,11,6,18,3322,3339,6658,489,436,927
LGA14950,1649,1669,3319,100,103,204,242,237,482,92,103,199,73,67,136,119,145,265,142,167,309,200,194,389,264,261,527,239,195,433,124,128,248,47,70,125,1577,1609,3186,74,61,136,80,83,160,0,0,0,3,0,3,80,87,162,1425,1458,2884,76,78,157,1488,1514,3000,26,32,63,1486,1515,3005,19,27,51,218,222,444,55,69,125,20,27,43,12,48,63,364,522,889,103,113,221,489,386,874,110,113,227,97,60,154,4,5,11,1475,1502,2979,140,156,295
LGA15050,43917,46310,90226,3175,3039,6220,6703,6345,13049,2830,2739,5568,2720,2755,5471,6251,6687,12943,5852,6193,12042,5272,5717,10990,4713,5226,9936,3887,4292,8181,1984,2354,4334,525,962,1494,42279,44975,87258,1631,1336,2968,3088,3348,6437,71,73,144,81,83,160,3235,3507,6738,38212,40232,78446,3934,4360,8290,39812,41912,81723,2306,2661,4969,40738,42979,83714,995,974,1969,6339,6014,12352,1968,2018,3989,755,983,1737,1175,2214,3387,13786,16480,30263,3035,2740,5782,11155,11220,22375,2895,3275,6166,1374,1400,2778,135,109,242,41794,44361,86155,1699,1845,3537
LGA15240,47086,49495,96579,1945,1964,3907,5204,4960,10165,2417,2252,4668,1835,1618,3453,3601,3995,7601,3959,4429,8382,5259,5655,10914,7316,8103,15414,8806,8848,17646,5194,5341,10533,1554,2333,3884,44571,47342,91919,2513,2150,4665,3340,3441,6780,73,55,131,54,48,103,3462,3553,7016,38746,40611,79352,4663,5112,9773,42396,44410,86805,1388,1693,3078,42620,44784,87399,581,596,1181,4721,4449,9172,1500,1522,3027,288,429,717,610,1556,2171,12783,14752,27533,2817,2831,5651,13901,14574,28477,4417,4510,8925,2381,2035,4414,108,110,216,43068,45543,88606,4284,4514,8799
LGA15270,12945,12766,25713,775,752,1528,1859,1725,3588,783,655,1438,579,515,1092,1440,1502,2945,1477,1505,2981,1651,1677,3329,1764,1732,3497,1526,1411,2935,861,918,1782,227,370,598,12369,12284,24649,573,486,1058,858,844,1702,12,8,19,18,13,31,887,862,1751,10900,10668,21562,985,1103,2092,11517,11407,22921,421,437,856,11570,11453,23019,213,213,421,1683,1579,3258,482,459,940,116,122,238,236,498,738,3436,4442,7878,813,658,1476,3569,3054,6631,947,809,1755,567,439,1002,32,27,59,11816,11726,23540,1384,1125,2507
LGA15300,6376,6369,12751,458,361,815,904,903,1806,326,352,678,390,401,795,831,867,1699,717,787,1508,801,805,1607,879,846,1723,640,599,1238,353,337,690,83,111,199,6036,6093,12129,341,279,626,1171,1308,2481,15,9,29,14,17,26,1199,1338,2535,4671,4661,9335,352,362,712,4821,4836,9658,223,245,468,4874,4872,9748,107,100,205,695,674,1368,145,171,315,52,73,119,79,196,277,1504,1966,3472,319,348,669,1334,1159,2492,388,306,697,290,187,471,35,24,54,5034,5023,10051,1680,1549,3222
LGA15350,13033,15294,28329,612,610,1220,1718,1674,3391,823,800,1619,644,696,1346,1345,1591,2935,1630,2011,3649,1910,2332,4238,1727,2003,3727,1332,1744,3073,961,1259,2216,346,570,916,12411,14548,26959,620,740,1370,42,32,73,5,0,0,4,0,4,49,33,82,8083,9339,17429,4519,5491,10011,10527,12150,22671,2042,2634,4673,11085,12929,24019,216,205,420,1648,1616,3270,752,727,1480,375,403,779,389,687,1081,8824,10302,19123,411,585,996,685,1133,1819,240,285,525,101,112,211,18,28,51,12172,14293,26464,526,598,1131
LGA15520,6409,6441,12850,360,301,664,750,755,1504,340,305,643,232,210,449,582,610,1194,609,665,1277,753,783,1533,918,1006,1926,1064,969,2034,616,608,1223,172,229,401,6005,6076,12080,404,368,772,225,259,484,3,0,3,4,5,0,231,259,492,5376,5393,10774,449,507,948,5688,5770,11466,225,232,454,5697,5775,11472,95,92,190,694,700,1385,230,231,463,39,64,104,56,161,216,1602,2155,3763,884,871,1756,1301,1131,2427,587,438,1025,386,288,674,17,22,37,5672,5775,11448,603,545,1157
LGA15560,1751,1601,3353,103,86,186,204,173,383,89,79,168,89,85,171,230,177,406,181,173,353,200,215,418,288,260,545,229,209,436,103,102,214,38,44,76,1634,1510,3141,116,99,217,140,142,279,0,0,9,3,5,4,148,146,290,1443,1334,2776,111,106,216,1504,1389,2895,68,70,138,1532,1410,2941,30,33,68,173,158,335,52,57,107,11,18,33,19,56,75,409,542,948,138,131,266,477,358,839,137,104,239,107,59,169,9,0,9,1526,1413,2935,200,163,361
LGA15650,8397,7957,16357,553,480,1028,1280,1152,2430,560,490,1053,464,404,870,1177,1128,2309,1094,1018,2112,1074,1046,2116,1020,958,1977,726,727,1451,363,381,746,87,165,256,8090,7706,15800,309,250,558,982,873,1849,13,11,23,17,13,25,1007,892,1908,7105,6762,13871,705,682,1386,7288,7118,14400,309,355,664,7330,7176,14505,157,158,318,1170,1058,2230,360,333,692,84,98,181,133,334,467,1811,2308,4118,623,536,1161,2329,2086,4410,676,574,1245,371,342,713,22,16,38,7513,7379,14890,1075,597,1678
LGA15700,9937,10463,20407,481,500,978,1135,1093,2234,565,510,1071,376,328,705,800,880,1675,842,986,1828,1086,1226,2313,1645,1816,3461,1758,1708,3471,956,996,1953,291,429,713,9485,10051,19540,452,413,863,774,798,1573,16,13,32,9,16,29,803,828,1632,8090,8424,16517,923,1117,2033,8851,9306,18156,304,369,676,8896,9393,18292,142,136,271,1012,976,1988,356,332,690,68,86,150,148,388,535,2709,3312,6022,628,620,1243,2762,2850,5610,919,863,1780,485,425,915,31,23,52,9075,9570,18648,1040,1067,2110
