LGA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
LGA13010,29,95,31,45,0,225,30,8,108,59,135,12,352,3,0,11,4,10,0,21,5,0,7,10,78,0,103,4,0,7,5,45,17,83,86,73,432,308,1063,96,2065
LGA13310,91,376,135,180,10,914,161,98,525,374,609,42,1808,8,0,13,10,46,0,79,13,0,32,63,313,5,434,10,8,21,41,165,57,303,543,351,1785,1629,4724,337,9367
LGA13340,35,177,48,91,8,416,21,24,157,92,158,19,472,0,0,7,8,4,0,17,9,0,10,14,101,3,133,0,0,13,17,61,20,120,144,105,727,523,1612,130,3248
LGA13450,73,379,89,152,10,767,97,64,403,259,369,39,1225,3,0,14,10,27,6,55,3,0,27,52,277,10,369,10,0,54,36,155,79,340,443,215,1913,1196,3750,417,7931
LGA13550,42,207,46,106,9,455,23,21,124,116,214,18,508,0,0,3,0,12,0,13,0,0,20,22,163,4,205,0,0,14,17,61,21,111,153,99,766,493,2015,151,3675
LGA13660,9,77,19,31,0,146,4,8,44,38,79,13,172,0,0,0,0,6,0,10,0,0,5,3,27,0,33,0,0,4,3,16,11,38,38,27,268,197,570,64,1160
LGA13800,227,1033,358,493,34,2693,284,197,936,624,903,71,3016,8,9,60,57,149,6,291,35,14,87,181,940,19,1272,32,7,136,131,490,117,913,1518,693,4505,3901,11035,704,22358
LGA13850,14,39,14,14,4,97,4,4,18,15,32,3,80,0,0,0,0,0,0,7,0,0,0,3,21,0,29,0,0,0,4,28,7,40,16,26,132,116,384,46,714
LGA13910,44,270,59,116,6,569,52,32,215,175,296,38,806,0,0,4,3,17,0,29,4,0,13,31,161,6,214,9,6,24,17,93,36,174,247,119,1081,771,2558,228,4992
LGA14000,641,3038,702,639,85,7141,2033,566,4402,1408,1204,232,9839,106,24,312,134,146,7,735,240,61,473,289,742,45,1846,521,60,866,289,367,226,2331,13562,2759,25257,7995,9853,1438,60867
LGA14100,38,184,41,25,6,460,237,42,362,78,44,17,784,18,4,56,5,12,5,98,18,4,37,23,43,0,133,38,8,90,26,29,8,200,1132,240,2350,624,569,119,5032
LGA14170,821,3962,638,491,84,9914,3160,750,5122,1278,977,183,11474,495,100,1225,311,268,37,2445,403,95,905,362,657,52,2469,498,98,1328,374,426,307,3025,18445,4511,39587,10219,10471,1675,84910
LGA14220,52,265,75,136,9,583,33,36,169,153,386,35,809,0,0,4,0,12,4,17,3,0,5,26,182,6,227,0,4,11,10,86,35,148,140,129,857,644,2346,240,4349
LGA14300,13,52,22,40,0,148,11,15,70,50,105,6,262,0,0,0,0,8,0,7,3,0,3,0,37,3,46,0,0,0,3,20,10,43,51,49,295,215,842,70,1526
LGA14350,75,347,131,217,20,857,79,64,398,296,707,72,1620,0,0,18,16,27,0,64,8,3,21,36,208,0,275,3,0,14,27,146,71,262,239,198,1285,1019,3829,383,6955
LGA14400,151,510,128,143,16,1208,221,104,582,247,260,22,1431,3,3,45,18,39,4,115,9,7,33,53,141,3,244,14,6,58,28,86,22,211,875,409,2489,1324,2643,197,7935
LGA14500,405,2145,388,223,59,4831,2088,435,3517,710,425,184,7357,123,21,278,63,80,8,574,192,50,440,163,257,27,1134,564,56,867,195,167,156,2001,13395,2419,23129,5018,3923,1072,48965
LGA14550,42,100,49,66,5,284,23,13,140,100,160,17,461,0,0,6,5,11,3,19,0,0,10,12,62,0,84,0,0,10,11,46,22,98,97,90,477,362,1086,118,2232
LGA14600,26,118,30,49,10,246,14,10,56,40,57,9,186,0,0,0,0,3,0,3,0,0,3,10,41,0,52,6,6,6,5,25,16,54,66,47,306,211,704,87,1429
LGA14650,585,3608,1015,1338,104,8035,1518,742,5088,2796,4763,425,15321,25,17,173,118,282,26,644,90,38,322,413,2089,61,3006,83,35,358,292,1086,283,2127,5057,2305,17410,11149,30478,1939,68341
LGA14700,130,737,113,65,21,1632,752,165,1344,246,170,45,2732,57,18,137,51,37,3,316,86,18,155,70,165,10,508,183,21,310,74,64,55,707,4707,927,9128,1933,1750,405,18853
LGA14750,42,210,52,124,10,475,16,7,111,72,153,15,369,0,0,6,0,11,0,18,0,0,10,18,103,0,137,3,0,3,14,58,15,95,111,83,612,394,1625,127,2951
LGA14850,219,859,230,332,24,1982,376,214,1223,648,1072,89,3611,6,0,56,27,51,3,149,17,9,82,90,394,15,609,37,13,94,68,202,58,472,1062,651,3754,2074,5723,433,13703
LGA14870,49,187,68,137,10,522,53,54,224,148,328,28,837,4,0,20,10,32,3,70,3,0,21,24,171,7,232,0,0,17,27,100,32,174,266,170,941,820,3034,227,5455
LGA14900,364,2520,777,838,108,6154,1481,421,4123,2025,2071,338,10453,32,12,188,112,191,18,554,112,22,312,371,1287,65,2166,235,44,739,444,931,444,2828,6801,1548,19834,11217,17877,2384,59658
LGA14920,11,83,30,53,3,196,11,10,75,60,110,14,286,0,0,3,0,3,0,13,0,0,10,7,61,0,80,0,0,12,9,27,13,64,69,35,358,259,992,100,1806
LGA14950,8,36,17,20,3,95,6,7,42,32,79,3,170,0,0,0,0,0,0,0,0,0,0,4,25,0,31,0,0,4,0,13,9,25,28,29,164,158,499,40,920
LGA15050,252,1275,387,607,39,2986,451,285,1730,1090,2076,164,5789,7,7,48,43,104,9,208,24,16,97,212,1030,26,1405,32,11,108,130,495,125,910,1638,887,6164,4883,14768,817,29152
LGA15240,202,1098,378,550,43,2568,380,225,1390,1051,2160,253,5467,11,13,50,39,140,11,262,24,10,63,133,715,25,958,33,12,92,112,420,164,830,1115,675,4393,3640,11610,1106,22544
LGA15270,73,381,96,155,16,814,79,51,304,210,367,46,1058,0,0,22,8,37,0,70,3,6,22,39,268,5,347,10,0,18,18,127,39,224,356,195,1536,1133,4236,303,7760
LGA15300,35,195,57,65,11,394,29,25,115,81,120,12,387,3,0,3,0,6,0,21,0,0,12,23,132,0,169,4,3,11,8,51,28,109,112,105,802,537,1398,161,3118
LGA15350,65,391,68,44,12,886,411,71,620,148,88,38,1369,47,11,105,22,27,13,225,35,12,97,45,59,3,246,96,19,241,61,28,42,499,2889,563,5920,1345,943,291,11950
LGA15520,45,206,26,60,8,376,51,48,158,104,164,20,549,0,6,13,11,28,3,55,0,0,12,19,70,0,106,0,0,13,17,54,25,116,129,132,813,574,1661,174,3487
LGA15560,11,43,9,28,4,98,0,7,29,28,24,10,96,0,0,0,0,0,0,3,0,0,4,0,36,0,35,0,0,0,0,12,11,22,34,33,188,149,475,55,931
LGA15650,29,174,48,99,6,395,23,23,115,105,220,21,512,0,0,3,6,18,4,35,0,0,6,19,169,7,205,7,0,9,9,87,36,146,144,99,663,650,2829,207,4596
LGA15700,67,296,76,134,5,637,69,54,282,200,448,45,1086,4,0,9,5,17,0,42,6,0,15,32,133,8,196,6,5,21,19,107,43,197,212,180,989,722,2364,248,4715
LGA15750,26,183,51,57,12,372,16,28,121,109,211,13,501,4,0,16,0,18,0,37,4,0,12,15,121,9,164,6,0,16,11,68,30,128,148,99,727,480,1804,168,3421
LGA15800,18,100,21,39,3,193,14,7,59,48,75,12,210,0,0,0,0,4,0,12,3,0,3,8,46,5,64,0,0,8,5,20,10,32,48,43,300,206,691,74,1360
LGA15850,14,100,27,59,5,216,5,11,82,55,77,14,242,0,0,0,0,11,0,17,0,0,7,4,71,0,83,0,0,8,8,31,8,56,51,37,380,225,828,68,1593
LGA15900,583,3597,714,893,106,7854,2263,811,6307,2053,3135,323,14893,50,27,274,115,239,11,719,120,48,371,333,1249,42,2164,168,36,467,210,691,233,1798,7648,2617,21800,8827,19740,1554,62183
LGA15950,234,1215,197,122,42,2862,1267,261,1999,412,252,84,4277,109,19,293,70,72,11,581,133,31,276,152,199,12,799,299,42,724,150,113,91,1419,8952,1861,17915,3760,2909,758,36152
LGA15990,940,4753,1188,961,179,10348,2354,833,5728,2272,2053,376,13622,204,69,781,337,349,46,1785,231,87,873,659,1711,103,3670,670,98,1922,778,865,429,4757,15674,4477,43702,16908,22525,3062,106351
LGA16100,11,67,14,28,4,144,23,12,56,24,60,10,181,0,0,9,8,17,0,31,0,3,0,8,37,0,46,3,0,12,6,48,21,86,82,43,309,183,823,99,1538
LGA16150,150,794,214,294,37,1734,494,192,1259,584,968,77,3573,3,3,30,20,34,0,91,22,9,81,91,424,16,639,10,7,52,32,179,71,355,1306,556,3991,2165,5944,403,14360
LGA16200,33,241,47,97,8,471,49,36,162,111,240,19,619,0,0,5,7,10,0,22,0,0,15,19,141,3,184,0,0,10,10,76,23,114,182,112,829,552,2069,164,3903
LGA16260,642,3762,738,653,113,8812,3607,824,6992,2023,1752,381,15581,154,24,389,199,194,31,991,401,81,798,450,945,74,2749,1184,103,1797,558,603,560,4811,24915,3616,42922,12675,13613,2880,100609
LGA16350,438,2586,957,1264,95,6991,1142,560,3750,2069,3138,352,11003,31,20,185,144,293,11,682,87,26,289,367,1928,55,2761,175,29,477,374,1307,337,2702,5828,1811,16176,11210,28749,2218,65995
LGA16380,276,1415,432,611,52,3206,601,283,2011,1038,2088,181,6203,16,4,60,41,113,8,240,34,19,99,175,818,22,1168,25,5,83,87,348,128,678,1643,893,5958,4070,11472,847,24885
LGA16400,166,819,288,442,29,2019,246,163,951,764,1444,120,3684,12,6,47,40,117,11,236,21,13,85,143,746,31,1038,18,8,86,96,388,106,705,1096,599,3882,3621,10720,717,20626
LGA16490,216,914,252,321,29,2171,435,212,1013,474,567,67,2780,41,25,129,44,82,11,328,52,15,121,121,556,17,882,78,17,152,103,297,105,754,3670,1306,6792,4182,8003,674,24624
LGA16550,455,2532,495,394,94,6584,2007,457,4008,970,738,201,8386,202,33,560,159,206,35,1194,192,42,548,218,615,48,1662,401,36,1000,309,360,243,2347,11954,2239,24913,6817,8637,1574,56136
LGA16610,51,291,96,178,12,682,57,41,253,187,549,54,1137,0,3,8,0,30,4,59,5,4,11,29,195,3,246,6,4,20,16,125,36,198,184,147,985,732,3192,276,5505
LGA16700,338,2156,430,374,71,5144,1694,438,3479,888,786,184,7473,108,23,306,95,127,21,678,241,39,436,233,549,45,1544,589,45,938,261,298,251,2380,13149,1985,23819,6537,7100,1395,53991
LGA16900,235,983,400,493,35,2506,368,235,1266,1019,1918,138,4940,11,3,47,48,86,12,197,29,9,73,128,780,19,1037,19,8,101,89,378,114,696,1226,697,4660,4209,11909,716,23412
LGA16950,370,1229,385,610,52,3136,543,297,1680,1045,1956,180,5708,36,18,107,47,178,7,387,38,9,114,200,886,32,1274,45,13,144,124,505,143,969,1990,1107,6281,4707,14358,1066,29506
LGA17000,52,249,77,172,7,610,42,36,227,169,375,29,875,0,0,10,4,25,0,47,3,6,23,38,301,5,381,9,0,22,22,153,49,252,296,182,1334,1099,4670,272,7854
LGA17040,80,317,103,158,12,776,80,56,237,148,194,24,735,20,12,117,55,173,9,392,5,0,21,26,184,3,243,12,0,43,36,125,39,265,525,257,1868,1157,3395,282,7486
LGA17080,49,200,43,71,9,416,30,29,134,132,223,15,568,0,0,18,17,20,0,66,0,0,6,13,111,0,143,0,0,19,10,100,33,166,159,150,812,573,2159,156,4002
LGA17100,109,593,126,80,17,1345,734,121,1617,343,245,95,3155,26,5,82,30,25,3,167,72,13,142,67,125,15,422,205,27,358,136,100,143,973,4325,570,8523,2421,1969,612,18412
LGA17150,906,4813,1262,1219,176,10535,1879,748,4958,2218,2193,383,12387,105,31,449,247,414,44,1288,166,70,541,570,2033,63,3437,264,59,879,527,1068,263,3059,9574,3449,29216,16057,27575,2486,88354
LGA17200,583,3152,542,360,102,8656,3228,663,4992,1000,707,210,10805,511,103,1452,430,321,52,2860,377,91,999,438,724,80,2709,969,103,2189,605,471,487,4821,25897,4478,51950,12553,10239,2618,107731
LGA17310,214,1046,344,481,30,2381,415,227,1325,746,1314,115,4144,3,0,35,18,87,4,153,20,11,55,113,630,26,865,17,3,51,60,324,100,550,1100,669,4250,2869,9045,719,18651
LGA17350,15,104,27,45,8,216,8,15,69,62,85,11,248,0,0,4,0,6,0,17,0,0,4,10,68,0,89,0,0,4,6,29,10,43,44,49,350,224,897,77,1646
LGA17400,22,83,29,32,5,185,9,12,54,51,76,4,211,0,0,0,0,7,4,21,0,0,6,6,39,4,56,0,0,10,5,26,26,65,59,51,316,238,739,105,1516
LGA17420,596,3533,797,683,119,7716,2408,611,4892,1577,1302,276,11067,63,22,280,147,148,17,677,248,48,551,447,1036,55,2392,631,60,1087,431,634,320,3163,15269,2951,30382,11056,14359,1988,76002
LGA17550,342,1499,433,576,65,3360,583,324,1974,1122,1744,208,5961,29,8,139,95,167,15,453,35,20,150,213,770,40,1227,61,8,250,191,469,154,1134,1811,1034,7298,4766,11994,1056,27960
LGA17620,35,218,44,101,13,449,37,10,128,108,176,10,478,8,7,14,19,50,0,91,4,4,3,13,147,9,184,0,0,16,10,53,37,115,151,96,864,621,2325,198,4252
LGA17640,29,104,39,49,8,254,22,11,101,86,145,7,376,0,0,3,7,13,0,21,0,0,9,20,71,3,104,0,0,15,6,36,11,79,152,90,561,464,1220,115,2601
LGA17650,22,129,54,53,4,352,27,22,92,55,112,9,316,0,0,4,5,4,0,14,0,0,6,4,45,0,68,7,0,8,3,22,3,42,165,71,472,298,841,62,1908
LGA17750,280,1334,365,582,49,3100,534,303,1853,840,1311,125,4974,8,0,48,22,61,7,154,25,17,117,155,710,18,1042,26,8,100,76,390,122,721,1656,906,6018,3228,9774,746,22327
LGA17850,11,43,14,25,0,93,7,3,22,25,43,5,97,0,0,4,6,4,0,13,0,0,0,0,18,0,26,0,0,5,0,15,3,21,38,22,190,144,436,45,873
LGA17900,21,82,17,42,4,177,8,4,60,39,45,7,156,0,0,0,4,4,0,8,0,3,3,0,20,0,27,0,0,0,0,9,12,22,25,27,267,212,428,54,1014
LGA17950,16,31,14,16,3,85,4,6,15,16,11,3,58,0,0,0,0,0,0,0,0,0,0,0,17,0,21,0,0,0,3,10,4,17,26,32,161,119,266,47,641
LGA18020,27,152,50,73,8,344,20,10,95,66,104,7,301,0,0,7,5,8,0,24,3,0,8,4,45,0,66,4,0,5,10,25,19,67,87,65,462,337,1030,124,2107
LGA18050,204,1100,223,125,53,2439,931,196,1818,323,226,106,3593,120,25,368,114,61,16,702,105,34,334,131,269,29,901,294,37,899,172,141,185,1740,6597,1226,16937,3519,3340,992,32604
LGA18100,14,49,15,13,3,104,9,11,24,41,50,9,129,0,0,0,0,8,0,7,0,0,0,3,25,0,31,0,0,0,3,14,4,27,34,36,210,165,447,44,921
LGA18200,29,103,34,46,5,231,18,17,100,73,91,8,313,0,0,0,0,9,4,15,0,0,11,9,56,7,85,4,3,4,10,37,17,71,64,69,416,354,940,83,1917
LGA18250,179,992,196,104,31,2401,1124,261,1910,409,282,96,4079,73,25,200,47,39,11,399,113,21,268,135,226,15,774,314,32,597,135,100,119,1297,8103,1466,15190,3378,2663,779,31578
LGA18350,209,824,239,287,34,2051,409,162,1009,505,594,82,2765,34,10,89,58,74,13,280,40,10,76,126,468,11,739,64,15,135,102,244,72,628,1874,707,4806,2800,6514,593,17304
LGA18400,152,898,281,410,35,2210,203,148,715,507,743,75,2383,10,3,29,23,78,3,155,14,3,53,100,695,19,888,21,3,84,94,434,93,727,1005,473,3370,2969,9346,589,17755
LGA18450,940,4039,958,1257,113,9980,2180,761,5083,2432,3630,356,14444,98,45,339,160,291,28,952,172,37,441,403,1748,48,2851,218,35,521,290,954,271,2290,8900,2916,21277,11123,25685,1794,71697
LGA18500,122,685,139,61,28,1656,985,140,1334,229,114,76,2881,72,16,289,67,51,17,518,83,15,188,94,121,20,510,250,31,584,123,79,108,1177,5511,1016,12744,2291,1756,655,23965
LGA18710,60,309,85,111,12,709,83,52,255,109,206,23,733,16,10,29,14,34,3,99,23,8,26,29,146,3,232,16,3,38,25,76,21,174,759,358,1839,1058,2242,166,6416
LGA19399,0,3,0,0,0,16,0,0,10,3,8,0,21,0,0,4,0,7,0,12,0,0,0,0,0,0,3,0,0,5,0,6,3,9,14,10,73,51,166,13,324
LGA19499,9,38,16,16,6,117,45,7,74,37,64,11,235,6,3,31,6,14,4,60,8,6,11,8,23,0,57,9,0,22,12,28,35,106,190,56,542,232,586,108,1714
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
