LGA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
LGA10800,2232,2223,4458,1061,540,1607,210,558,772,93,78,168,47,27,77,1410,1215,2623,597,818,1410,3.2,2.5,2.9,63.1,54.5,58.8,61.1,53.2,57.2,17,31,46,16,38,54,113,248,363,97,191,288,609,322,930,19,59,77,21,49,75,649,428,1073,2201,2186,4391,242,262,504,1620,1546,3166,701,769,1469
LGA10850,2949,3030,5977,1363,814,2171,344,756,1098,122,107,226,89,69,159,1914,1743,3658,811,1084,1893,4.6,4,4.3,65,57.6,61.2,62,55.3,58.6,62,92,152,35,82,116,238,428,662,167,310,475,871,490,1367,35,72,116,52,81,136,964,647,1614,2956,3017,5974,450,463,916,2061,2070,4133,1145,1247,2392
LGA10900,30905,33588,64491,11582,7616,19204,4788,8028,12816,1896,2377,4272,863,592,1456,19133,18616,37749,10713,13814,24528,4.5,3.2,3.9,61.9,55.4,58.5,59.1,53.7,56.3,2539,3266,5806,849,1592,2438,5352,7475,12828,3119,4358,7471,7285,3666,10950,280,478,757,628,962,1587,8197,5101,13297,32110,34285,66388,4086,4265,8351,23092,24729,47827,11448,12165,23613
LGA10950,1008,980,1988,542,291,836,70,214,287,37,46,79,23,26,40,671,567,1241,243,324,566,3.3,3.9,3.5,66.6,57.9,62.3,64.4,55.7,60.1,14,21,33,6,15,23,51,119,169,38,63,103,251,128,380,6,14,18,11,26,42,272,162,439,960,943,1905,136,149,290,701,676,1379,343,349,699
LGA11150,898,921,1820,402,306,705,66,140,207,34,39,76,15,15,27,522,495,1016,206,265,473,2.7,2.6,2.7,58.3,53.5,55.9,56.8,52.1,54.4,18,21,34,4,12,20,56,126,180,51,76,127,154,89,248,12,9,18,10,13,23,177,113,290,799,775,1582,124,148,273,578,584,1157,277,279,558
LGA11200,528,551,1080,166,136,302,37,68,108,12,20,38,20,10,34,242,237,481,193,226,413,9.1,5.1,7.1,46,43.1,44.5,41.8,40.9,41.4,8,15,19,7,8,9,20,50,75,16,35,53,74,42,115,5,18,15,5,4,6,78,55,133,479,481,965,80,65,150,366,361,727,153,156,311
LGA11250,7073,7516,14592,2589,1832,4422,748,1433,2178,274,300,572,267,153,419,3870,3720,7586,2618,3161,5778,6.9,4,5.5,54.7,49.4,52,50.9,47.4,49.1,99,157,252,60,167,224,326,717,1042,338,552,893,1951,1041,2989,71,130,198,84,169,254,2106,1342,3446,6690,7005,13696,954,1060,2020,5029,5163,10186,2218,2534,4761
LGA11300,17309,18109,35414,5412,4318,9734,2868,3657,6533,1261,1238,2502,851,582,1433,10397,9800,20193,5801,7177,12977,8.2,5.9,7.1,60.1,54.1,57,55.2,50.9,53,1977,2140,4118,236,433,674,4073,4529,8604,1756,1981,3740,1541,923,2465,82,155,237,208,290,498,1835,1369,3198,14016,14957,28975,4430,4381,8812,8521,9350,17868,9256,9316,18573
LGA11350,14389,15912,30299,4225,2726,6949,3301,5152,8455,601,722,1328,457,447,901,8584,9049,17631,4298,5308,9606,5.3,5,5.1,59.7,56.9,58.2,56.5,54,55.2,762,1123,1881,272,542,814,2653,3840,6491,1259,2108,3359,2982,1410,4395,92,193,281,251,378,629,3329,1981,5306,12501,13307,25808,2902,3486,6383,7879,8158,16032,6773,7911,14689
LGA11400,5424,5551,10970,2606,1396,4002,641,1503,2151,169,208,379,93,78,174,3517,3184,6701,1500,1963,3462,2.7,2.4,2.6,64.8,57.4,61.1,63.1,56,59.5,148,204,354,51,130,185,494,872,1367,347,590,939,1509,749,2255,54,115,173,75,138,216,1638,1006,2644,5581,5693,11272,649,611,1265,4054,4023,8074,1878,1966,3836
LGA11450,43153,46073,89228,21162,13766,34924,6149,10758,16906,3437,4210,7650,1063,1099,2153,31806,29832,61637,9809,14555,24362,3.3,3.7,3.5,73.7,64.7,69.1,71.2,62.4,66.7,1971,2559,4527,478,1120,1601,5146,7974,13117,4012,5755,9771,12018,6162,18182,305,711,1016,795,1185,1984,13117,8062,21180,46845,48507,95352,8756,9199,17954,24255,24974,49231,26629,28274,54902
LGA11500,66824,70834,137653,24028,16795,40824,7992,12548,20533,6434,4998,11431,2576,2352,4936,41027,36689,77719,21720,29694,51411,6.3,6.4,6.3,61.4,51.8,56.5,57.5,48.5,52.9,3940,3858,7798,653,1155,1804,8182,10805,18991,5271,7048,12318,13671,8303,21977,579,1205,1789,1049,1719,2768,15302,11226,26534,70038,72729,142764,10366,10594,20957,44618,46082,90699,30386,32003,62388
LGA11520,35730,39347,75074,15980,12599,28579,5144,7815,12958,2175,2608,4778,1075,889,1965,24367,23909,48280,9721,13623,23338,4.4,3.7,4.1,68.2,60.8,64.3,65.2,58.5,61.7,4608,4988,9604,749,1326,2080,9400,11118,20519,3382,4494,7882,4715,2176,6892,209,343,554,621,989,1607,5550,3505,9053,33203,35987,69186,7494,7843,15336,21057,23391,44451,17534,18574,36104
LGA11570,148038,149488,297532,38774,28984,67758,17181,22501,39684,15117,11048,26160,6118,4226,10348,77183,66764,143939,59768,71878,131643,7.9,6.3,7.2,52.1,44.7,48.4,48,41.8,44.9,9252,8550,17800,1470,2505,3977,22614,25713,48326,11795,14957,26753,20781,10583,31364,995,1758,2749,2219,3353,5575,23992,15691,39687,148670,149673,298343,22278,21111,43387,100040,102939,202978,60382,58140,118526
LGA11600,1245,1052,2304,725,307,1029,90,252,343,46,48,94,22,23,41,881,635,1514,213,295,507,2.5,3.5,2.9,70.3,60.2,65.7,68.5,58.1,63.8,8,15,22,6,17,21,85,131,216,63,97,157,239,147,382,13,23,36,23,21,48,277,195,469,1082,996,2081,229,170,402,755,651,1403,476,424,903
LGA11650,135785,148463,284248,48927,30365,79291,19158,33766,52926,8078,10543,18623,4195,3268,7463,80361,77935,158296,47870,61981,109849,5.2,4.2,4.7,59.2,52.5,55.7,56.1,50.3,53.1,4720,5324,10042,1600,3425,5020,14300,21385,35685,10744,17041,27784,38179,21493,59670,1402,2610,4010,2649,4463,7110,42232,28560,70788,135314,143689,279003,21761,23126,44882,89860,95013,184867,58720,63770,122490
LGA11700,720,707,1420,209,157,368,40,76,113,14,10,27,24,15,40,283,263,544,285,289,577,8,5,6.6,40.1,36.9,38.5,36.9,35.1,36,10,12,22,3,12,20,28,54,78,28,41,67,101,63,165,11,10,24,4,9,17,113,93,205,587,572,1160,97,91,187,455,428,888,182,192,373
LGA11720,25444,25356,50801,9998,5429,15427,2831,6340,9174,1062,1456,2516,890,712,1595,14776,13935,28714,9379,10163,19546,6,5.1,5.6,58.1,55,56.5,54.6,52.2,53.4,322,435,748,128,391,517,1249,2360,3608,1295,2413,3712,8135,4920,13046,293,643,931,349,668,1017,8774,6227,15001,24300,25006,49308,4204,4601,8805,15336,15522,30854,11315,12342,23655
LGA11730,22587,22870,45462,6517,4090,10608,2732,5002,7734,704,732,1433,747,556,1302,10695,10379,21077,10282,10890,21170,7,5.4,6.2,47.4,45.4,46.4,44.1,42.9,43.5,392,435,826,230,465,697,1432,2417,3844,1273,2218,3489,6186,3613,9799,282,517,794,421,699,1118,6881,4828,11710,20634,21248,41886,3251,3479,6733,14223,14191,28416,8455,9368,17833
LGA11750,1648,1578,3227,811,451,1265,117,313,426,86,71,153,32,32,61,1043,859,1901,347,474,817,3,3.4,3.2,63.2,54.5,58.9,61.3,52.7,57.1,17,21,43,7,18,27,90,151,241,50,111,163,472,221,694,5,32,41,16,34,44,495,279,770,1435,1372,2808,272,292,566,968,928,1895,626,635,1255
LGA11800,30944,33851,64798,10821,7241,18067,4882,8875,13763,1014,1218,2227,1072,847,1911,17785,18181,35969,11130,13496,24626,6,4.6,5.3,57.5,53.7,55.5,54,51.2,52.6,918,1160,2076,440,910,1356,3304,5047,8352,2291,3923,6214,8436,4925,13360,348,606,960,576,926,1507,9362,6463,15825,29759,31824,61579,5433,5957,11391,19003,20173,39170,14388,15872,30265
LGA12000,1730,1793,3522,804,464,1267,172,437,610,47,61,110,41,31,71,1060,990,2052,551,700,1253,3.8,3.1,3.5,61.4,55.1,58.2,59.1,53.4,56.2,33,43,73,17,47,58,89,234,322,91,153,248,480,251,726,18,35,45,19,39,63,520,326,838,1739,1771,3506,267,291,559,1228,1252,2481,660,712,1371
LGA12150,1413,1502,2916,524,362,890,135,262,399,50,50,97,53,40,99,762,718,1487,461,566,1027,7.3,6,6.7,54,47.8,50.8,50,44.9,47.4,12,35,40,0,19,18,69,160,226,56,101,155,255,187,442,6,33,42,22,18,32,286,235,519,1352,1322,2674,212,237,452,993,943,1936,431,509,943
LGA12160,4632,4799,9429,1692,954,2646,481,1035,1513,176,165,344,109,84,189,2453,2235,4685,1792,2206,4004,4.4,3.6,4.1,53,46.6,49.7,50.6,44.9,47.7,66,78,146,37,78,113,260,500,758,271,462,728,1171,658,1824,57,93,149,85,135,221,1312,882,2193,4456,4562,9019,618,623,1243,3208,3242,6457,1623,1713,3337
LGA12350,5219,5344,10563,2011,1046,3060,534,1220,1764,152,190,340,140,138,277,2842,2593,5443,1914,2339,4255,5,5.3,5.1,54.5,48.6,51.5,51.8,46,48.8,69,82,155,34,107,143,302,524,825,257,526,781,1384,776,2159,69,118,184,72,131,204,1525,1020,2548,4969,5014,9980,700,759,1460,3531,3472,7001,1860,2042,3899
LGA12380,97436,91112,188553,26889,18881,45769,12070,14048,26119,8425,5716,14142,4664,3154,7816,52048,41798,93846,37017,42369,79389,9,7.5,8.3,53.4,45.9,49.8,48.6,42.4,45.6,8078,6837,14913,940,1451,2400,15953,17016,32966,7914,9013,16921,10986,5933,16923,553,994,1551,1238,1710,2951,12783,8642,21425,92791,89006,181794,18242,15794,34039,56900,57208,114110,46814,41186,88003
LGA12390,21267,22146,43414,9714,6652,16359,2358,5088,7447,700,872,1574,534,418,946,13302,13031,26334,6025,7205,13227,4,3.2,3.6,62.6,58.8,60.7,60.1,56.9,58.5,693,845,1536,216,523,732,1819,3309,5130,1191,2068,3264,5455,3225,8677,192,427,622,301,549,847,5951,4197,10152,19729,20977,40706,3772,3964,7736,12539,13022,25557,9422,10338,19761
LGA12700,3862,3911,7769,1635,859,2488,500,1052,1548,174,185,366,85,72,153,2393,2166,4558,1302,1558,2863,3.4,3.3,3.3,61.9,55.4,58.6,59.8,53.5,56.7,105,123,224,34,87,119,319,529,844,263,467,727,1292,644,1933,30,66,100,59,124,181,1383,838,2219,4015,3982,7996,491,533,1027,2820,2760,5575,1467,1542,3010
LGA12730,3377,3596,6972,1430,876,2310,350,882,1236,120,118,236,77,64,140,1978,1943,3918,1061,1318,2382,4,3.2,3.6,58.6,54,56.2,56.2,52.3,54.2,53,65,117,24,92,115,210,421,634,202,327,531,872,507,1375,27,50,78,43,64,105,946,619,1568,3213,3337,6557,475,491,965,2309,2348,4659,1185,1299,2480
LGA12750,17004,17964,34972,4544,2960,7501,2396,3967,6360,591,644,1241,385,265,646,7918,7832,15744,7782,8832,16614,4.9,3.3,4.1,46.6,43.6,45,44.3,42.1,43.2,543,666,1207,267,538,807,1566,2275,3842,1227,2026,3249,4869,2446,7314,177,326,506,334,553,889,5385,3320,8707,15489,16115,31601,2578,2779,5352,10150,10555,20706,7137,7599,14739
LGA12850,83678,87551,171228,18956,13723,32677,7980,10518,18496,7249,5413,12658,3519,2550,6070,37699,32203,69900,40198,49496,89693,9.3,7.9,8.7,45,36.8,40.8,40.8,33.9,37.3,1585,1801,3386,371,748,1117,8406,9865,18272,5321,7021,12338,10849,6305,17150,619,1115,1735,1074,1625,2697,12540,9043,21583,86348,89025,175368,9415,9598,19015,61763,63924,125692,29227,30084,59309
LGA12870,5374,5505,10875,2105,1102,3210,549,1292,1844,183,227,411,105,85,189,2940,2712,5654,2020,2389,4413,3.6,3.1,3.4,54.7,49.3,52,52.8,47.8,50.2,57,82,145,41,105,143,267,521,786,276,497,776,1618,830,2450,36,102,140,72,104,181,1729,1038,2770,5036,5106,10144,810,819,1624,3492,3523,7015,2082,2166,4249
LGA12900,3702,3767,7469,1680,943,2631,386,878,1272,125,132,254,88,73,164,2282,2034,4312,1101,1416,2507,3.8,3.7,3.7,61.6,54,57.7,59.2,52,55.6,46,89,138,22,74,91,227,475,698,175,322,494,983,525,1508,40,77,118,60,114,184,1085,721,1806,3599,3686,7284,539,574,1115,2543,2574,5116,1379,1444,2825
LGA12930,62451,65558,128007,21349,16424,37777,9046,12942,21989,5787,4921,10699,2231,1641,3874,38409,35929,74332,21026,26257,47285,5.8,4.6,5.2,61.5,54.8,58.1,57.9,52.3,55,6096,5921,12013,902,1535,2434,13803,15448,29250,5985,7497,13483,8572,4216,12788,395,703,1103,1042,1666,2702,10005,6581,16594,59938,62314,122248,11230,10776,22009,40436,43011,83447,27290,27008,54298
LGA12950,1697,1778,3472,716,385,1096,136,425,562,52,76,129,49,42,90,959,927,1883,530,647,1177,5,4.4,4.7,56.4,52.1,54.2,53.6,49.8,51.6,10,28,39,10,19,27,71,238,308,56,149,201,422,260,686,16,26,43,26,37,65,471,326,792,1641,1662,3299,173,215,387,1257,1243,2498,444,539,986
LGA13010,3721,3839,7563,1126,759,1892,435,779,1214,108,125,236,129,98,227,1805,1763,3564,1544,1686,3228,7.1,5.6,6.4,48.4,45.9,47.1,44.9,43.3,44.1,45,63,105,35,74,108,220,400,617,178,349,527,885,559,1442,52,91,141,58,90,142,990,736,1730,3291,3397,6684,507,601,1105,2337,2399,4739,1285,1446,2730
LGA13310,13150,13120,26268,5429,3375,8798,1529,2996,4525,470,554,1024,351,287,641,7785,7204,14988,4496,5086,9585,4.5,4,4.3,59.2,54.9,57.1,56.5,52.7,54.6,337,422,758,152,324,475,955,1534,2490,906,1465,2377,3639,2058,5695,117,224,344,226,368,594,3986,2648,6637,12164,12396,24558,2239,2296,4542,8086,8045,16134,5535,5913,11451
LGA13340,4491,4416,8911,1951,1023,2978,491,1183,1670,176,183,355,90,60,150,2703,2452,5152,1394,1589,2981,3.4,2.5,2.9,60.2,55.5,57.9,58.1,54.1,56.2,78,107,186,33,103,137,299,597,895,263,461,719,1229,680,1910,46,73,122,54,104,154,1334,858,2190,4474,4283,8758,608,649,1266,3164,2981,6139,1655,1706,3365
LGA13450,10908,10917,21827,5712,3188,8895,1205,2859,4070,325,404,729,241,186,423,7481,6634,14114,2459,3389,5847,3.2,2.8,3,68.6,60.7,64.7,66.4,59.1,62.7,234,279,516,68,187,252,887,1347,2237,582,883,1466,2608,1345,3955,73,200,270,137,270,410,2819,1815,4634,10722,10734,21456,1519,1526,3045,7068,7127,14199,4464,4427,8891
LGA13550,4940,5096,10037,2444,1370,3818,471,1208,1679,170,206,377,132,131,259,3219,2918,6134,1241,1751,2988,4,4.5,4.2,65.1,57.2,61.1,62.5,54.7,58.5,76,100,176,29,92,121,313,593,904,208,458,664,1377,821,2197,62,94,151,74,139,211,1508,1055,2565,4861,4903,9760,863,928,1793,3197,3165,6360,2154,2320,4473
LGA13660,2003,2041,4047,814,427,1236,167,442,607,54,59,107,50,39,85,1080,959,2041,736,896,1632,4.5,3.9,4.2,53.8,47.1,50.4,51.4,45.3,48.3,24,31,55,9,31,39,102,234,338,81,183,265,442,264,712,25,35,58,36,41,76,504,339,846,1933,1944,3880,238,256,492,1424,1449,2878,660,665,1315
LGA13800,26791,27572,54359,11565,7097,18658,3818,6673,10495,1996,2216,4210,614,498,1109,17991,16479,34476,7462,9811,17279,3.4,3,3.2,67.2,59.8,63.4,64.9,58,61.4,770,1162,1936,259,661,918,2069,3694,5764,2021,3392,5408,8928,4094,13024,203,558,755,438,797,1237,9574,5444,15017,27526,27752,55269,3977,4129,8107,18902,19058,37963,10781,11145,21926
LGA13850,1211,1205,2417,524,269,793,117,289,407,41,46,84,29,18,54,713,621,1337,336,445,778,4.3,3.2,3.8,59,51.8,55.4,56.4,50.1,53.3,5,16,22,3,26,29,62,87,147,58,99,158,276,164,443,8,22,31,9,9,23,294,199,498,1082,1078,2160,156,169,326,800,790,1589,378,391,766
LGA13910,7579,8033,15611,3072,1719,4793,811,1866,2680,263,318,582,202,173,370,4348,4075,8424,2583,3331,5912,4.6,4.2,4.4,57.4,50.7,54,54.7,48.6,51.6,138,160,299,36,123,159,459,917,1369,398,768,1164,1944,1113,3055,81,153,235,125,200,322,2140,1470,3615,7507,7796,15297,1058,1114,2173,5218,5372,10594,2845,3100,5945
LGA14000,59362,63592,122954,26942,18305,45247,8357,14457,22812,3031,3722,6744,1740,1463,3210,40071,37943,78017,17418,23425,40843,4.4,3.9,4.1,67.5,59.7,63.5,64.6,57.4,60.8,8804,8001,16802,1497,2406,3898,15601,18077,33678,5469,7281,12755,7967,3939,11905,377,633,1008,1018,1756,2774,9351,6333,15685,62519,65237,127757,9135,9297,18430,43060,44962,88022,25250,26336,51583
LGA14100,5372,5870,11237,2228,1440,3665,762,1186,1948,289,328,611,106,113,217,3383,3057,6439,1680,2360,4042,3.1,3.6,3.3,62.9,52.1,57.3,61,50.2,55.4,770,714,1483,124,236,360,1578,1633,3211,407,681,1090,485,241,725,26,52,79,81,139,222,597,438,1028,5458,5626,11086,723,770,1493,3845,4083,7932,2118,2077,4195
LGA14170,75515,80601,156117,35096,30520,65611,10933,16111,27039,4379,5175,9555,2497,2125,4623,52905,53925,106832,18679,23063,41745,4.7,3.9,4.3,70.1,66.9,68.4,66.7,64.3,65.5,9782,12287,22071,2070,3513,5577,21873,25787,47658,6517,7714,14231,8047,4127,12178,461,663,1117,1050,1423,2470,9557,6210,15767,67026,70596,137623,17048,18245,35294,41179,44334,85516,38974,40895,79865
LGA14220,7042,7390,14430,2625,1631,4251,742,1602,2340,220,258,470,260,209,469,3839,3693,7534,2491,3034,5524,6.8,5.6,6.2,54.6,50,52.2,50.9,47.2,49,60,100,162,44,123,164,383,747,1130,348,621,966,1804,1170,2975,81,159,234,87,195,278,1970,1523,3487,6556,6802,13363,1212,1272,2488,4569,4696,9265,2741,2979,5723
LGA14300,3128,2236,5363,1077,529,1608,193,525,721,81,100,180,75,42,112,1424,1195,2629,1543,904,2445,5,3.6,4.4,45.6,53.6,49,43.3,51.7,46.8,20,43,63,19,48,63,126,256,384,124,199,325,632,376,1010,36,44,78,36,64,96,701,486,1191,2246,2214,4456,373,329,700,1541,1536,3076,939,869,1808
LGA14350,12864,12745,25614,3268,2210,5479,1579,2732,4311,407,474,881,490,343,827,5738,5760,11495,6177,5972,12151,8.5,5.9,7.2,44.6,45.2,44.9,40.8,42.5,41.7,136,216,356,100,224,320,684,1251,1940,609,1193,1804,3609,2048,5655,139,264,407,191,370,562,3940,2678,6621,11607,12027,23636,1696,1760,3451,7991,8116,16108,4613,5037,9650
