LGA_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA11300,0,11,64,61,81,144,321,439,264,1400,5,31,137,68,80,83,126,130,128,788,52,334,614,303,221,205,216,237,257,2436,780,4977,8781,4997,4498,4099,3021,1958,1173,34271
LGA11350,8,0,16,27,25,76,127,115,68,464,0,0,9,12,8,14,8,0,7,59,148,188,587,581,514,503,421,174,106,3218,697,1483,4870,5146,5199,5196,4482,1634,584,29294
LGA11400,8,0,8,12,23,77,146,109,78,464,0,0,0,4,0,3,13,4,0,30,60,58,81,121,144,140,138,137,71,959,357,622,1139,1539,1832,1987,1677,963,332,10443
LGA11450,17,18,86,136,222,439,667,492,242,2314,6,8,59,77,84,138,146,103,48,666,199,258,673,654,416,352,345,297,210,3407,3306,6980,19442,18825,14264,10317,7192,3433,1220,84972
LGA11500,39,50,228,347,559,1047,1399,919,368,4954,14,26,126,150,218,344,325,218,102,1533,631,685,1621,1625,1174,1065,1043,903,450,9198,4937,11252,25555,26536,20242,19473,14793,6680,1948,131420
LGA11520,3,6,27,35,63,175,555,844,590,2299,0,14,83,43,44,68,142,216,156,775,113,310,802,545,376,361,423,396,418,3741,1520,5381,14869,13671,11723,10231,8056,4733,2219,72406
LGA11570,38,83,614,1092,1740,3017,4319,4151,2093,17143,20,115,651,696,1094,1875,2005,1724,989,9176,1329,1836,4629,3982,3014,2722,2326,1948,1664,23453,9916,24996,55294,50930,45529,41777,29650,17473,8359,283925
LGA11600,0,0,3,4,12,20,31,23,10,110,0,0,0,0,0,6,4,3,0,22,15,20,52,35,56,52,37,20,4,302,72,160,466,337,371,390,251,126,56,2229
LGA11650,107,58,264,341,651,1487,2580,2371,1505,9370,16,34,82,106,129,174,200,182,131,1045,877,900,2086,2046,2081,2119,2631,2874,2257,17883,8981,18460,38103,41337,44166,44860,40675,25674,10540,272788
LGA11700,10,6,12,3,15,29,30,25,12,139,0,0,0,0,0,0,4,4,0,18,24,33,50,36,41,60,50,19,6,313,79,106,217,181,225,240,222,105,22,1393
LGA11720,37,31,92,97,161,426,803,422,264,2337,5,7,25,19,26,39,28,24,7,178,185,346,889,762,630,494,515,429,242,4491,1923,3844,9105,7889,7741,7636,6572,3081,1167,48959
LGA11730,26,11,58,68,160,311,592,577,381,2181,3,4,10,17,18,17,27,25,19,142,207,308,821,731,648,657,653,511,296,4825,1264,2369,5201,5395,6518,8405,8351,4718,1757,43974
LGA11750,3,4,9,8,11,29,66,41,22,198,0,0,0,0,0,0,3,0,0,11,42,38,89,92,71,76,64,52,11,539,135,224,592,508,444,552,390,211,75,3131
LGA11800,29,42,153,248,192,394,601,563,379,2597,3,16,129,100,71,87,63,23,24,522,254,229,685,592,579,579,602,653,524,4703,2015,3587,8771,9266,9815,10574,10180,5718,2320,62242
LGA12000,5,0,0,8,9,35,45,47,33,176,0,0,0,0,0,3,0,3,0,12,20,10,27,29,35,40,45,39,29,272,134,179,439,438,533,599,565,335,135,3366
LGA12150,0,3,10,10,17,38,47,52,27,206,0,0,0,5,0,0,7,5,5,21,36,31,60,70,46,69,63,65,22,463,118,184,460,395,436,511,404,233,85,2826
LGA12160,3,0,9,11,28,64,188,153,88,543,0,4,4,0,3,4,9,9,0,45,47,42,99,107,110,135,159,136,52,893,279,493,999,1091,1303,1674,1763,1086,382,9078
LGA12350,0,6,13,24,41,85,214,142,81,609,0,0,0,5,3,7,10,5,4,30,62,76,119,110,141,142,169,124,59,1011,329,647,1286,1204,1556,1763,1869,1105,411,10158
LGA12380,29,123,756,1082,1440,1842,2317,1855,802,10242,24,161,995,1037,1195,1346,1149,845,439,7189,867,1578,3969,3021,2020,1698,1294,953,623,16011,5695,18519,43501,35990,25925,23100,16082,8778,3436,181032
LGA12390,18,15,56,73,155,318,556,413,248,1855,0,4,16,20,14,35,33,15,6,147,296,372,1072,847,679,578,501,409,221,4969,1507,3081,8319,6666,6267,6421,5169,3131,1182,41751
LGA12700,6,4,4,9,8,60,87,81,50,310,0,0,3,0,0,4,3,3,0,16,26,13,41,63,49,70,69,64,11,419,271,394,864,1119,1242,1529,1254,658,184,7519
LGA12730,0,7,6,13,35,73,132,100,58,425,0,0,3,0,3,8,5,11,6,35,45,44,109,96,101,121,103,89,34,734,227,398,868,846,1022,1262,1136,676,286,6714
LGA12750,20,14,32,61,94,202,459,373,201,1447,3,8,5,10,7,20,30,26,7,101,162,128,266,315,395,541,630,447,237,3129,879,1339,3172,3545,4760,6930,7824,3998,1491,33934
LGA12850,60,193,892,1727,2344,3507,3550,2550,1279,16113,26,192,955,1218,2186,3430,2738,1720,1068,13525,818,796,1794,1743,1716,1802,1539,1149,789,12151,6245,14533,26942,24857,27061,27836,20312,10139,4436,162355
LGA12870,8,0,14,22,29,69,182,173,114,611,0,0,4,3,0,6,12,8,3,38,37,52,101,84,112,145,199,155,80,961,307,531,1135,1153,1525,1956,2165,1284,468,10522
LGA12900,8,0,9,18,24,65,122,105,54,405,0,0,0,0,0,9,7,3,5,30,46,47,88,89,88,117,108,122,50,752,267,480,1003,1003,1074,1215,1126,748,284,7196
LGA12930,10,22,93,129,274,602,1320,1378,797,4626,9,33,176,149,177,283,407,397,294,1927,279,565,1387,937,729,741,721,784,871,7016,3327,11545,23628,20665,19031,18601,13868,8201,4227,123097
LGA12950,0,0,5,7,12,29,67,62,34,221,0,0,0,0,4,0,8,3,0,10,28,21,63,60,65,73,64,55,25,464,107,160,444,435,531,650,555,353,129,3358
LGA13010,0,0,13,11,26,77,127,143,69,472,0,0,8,0,9,5,3,8,3,32,57,50,137,115,135,146,159,118,55,961,247,355,849,840,1072,1416,1375,855,303,7314
LGA13310,16,3,46,64,85,171,353,310,164,1213,0,3,13,16,16,23,12,26,9,120,126,154,434,367,343,317,307,253,190,2491,897,1701,4093,3738,3982,4281,3741,2116,825,25371
LGA13340,0,0,13,23,26,66,130,105,53,410,0,0,0,0,0,0,0,5,0,13,62,37,54,116,138,161,154,103,40,862,322,430,934,1253,1376,1669,1479,743,229,8432
LGA13450,7,12,53,77,129,196,347,344,197,1359,0,7,41,25,50,45,47,57,46,318,112,132,328,257,288,266,254,213,174,2024,785,1553,4005,3389,3415,3214,2370,1431,692,20855
LGA13550,10,7,17,10,29,81,128,125,63,482,0,0,3,5,8,5,7,7,4,42,55,68,178,135,113,137,142,114,77,1024,345,686,1742,1509,1394,1575,1264,851,332,9705
LGA13660,0,0,4,7,21,42,92,97,49,308,0,0,0,0,0,0,3,3,3,23,15,15,38,55,55,69,78,65,27,417,82,169,393,501,616,758,742,477,173,3917
LGA13800,15,24,77,69,123,301,527,412,253,1803,0,10,19,15,17,29,44,52,32,214,186,192,420,378,391,396,367,377,245,2960,2147,4245,8834,7912,9180,8646,6361,3560,1215,52098
LGA13850,3,0,0,5,5,23,36,43,30,155,0,0,0,0,0,4,9,3,0,17,18,24,40,43,38,62,49,39,21,323,70,168,310,261,333,520,331,255,90,2343
LGA13910,6,5,27,39,63,124,244,202,133,834,0,0,3,11,10,14,18,19,4,79,66,62,171,154,199,253,245,184,75,1407,517,878,1969,1974,2290,2743,2583,1504,541,14995
LGA14000,11,4,48,40,122,236,428,448,340,1672,5,3,76,102,118,128,142,142,101,812,186,206,472,600,527,458,569,721,845,4579,3452,8341,14394,22229,21989,18716,14215,8887,4307,116533
LGA14100,6,0,3,3,0,25,38,51,59,188,0,0,4,0,4,3,6,7,5,31,29,25,54,70,75,63,82,153,276,825,339,704,996,1536,2020,1710,1498,1009,735,10547
LGA14170,8,17,74,120,209,501,1173,1720,1055,4872,3,16,118,99,140,250,378,560,400,1962,252,587,1784,1282,1031,947,903,817,630,8243,2848,11266,35221,30511,26092,19817,14201,7894,3567,151422
LGA14220,11,9,31,43,65,130,264,226,120,897,0,0,3,5,6,20,18,14,0,71,97,76,208,200,248,225,234,192,82,1560,555,910,1971,1828,2167,2362,2168,1424,471,13863
LGA14300,0,3,12,17,16,37,63,60,30,239,0,0,11,0,0,0,0,0,0,20,30,115,284,263,189,120,87,60,11,1161,156,371,890,840,844,868,719,391,125,5204
LGA14350,22,11,43,46,96,239,477,367,190,1499,3,5,0,5,16,20,12,26,10,85,162,224,570,501,364,402,367,300,192,3085,829,1445,3054,3010,3560,4767,4740,2445,863,24724
LGA14400,0,0,0,4,20,41,106,135,100,413,4,0,0,5,0,10,9,3,3,33,37,44,92,84,115,133,209,183,98,996,552,954,1992,2485,2763,3433,3594,1988,777,18537
LGA14500,3,7,12,22,42,89,207,216,193,778,0,7,36,65,52,67,73,51,59,414,154,155,274,361,384,358,404,458,498,3043,2795,6957,9322,16437,18824,15219,11698,8142,4143,93539
LGA14550,3,0,9,19,24,58,98,100,67,384,0,0,0,0,0,6,3,3,5,26,45,28,76,99,104,195,133,74,27,784,230,312,713,906,1167,1804,1588,672,228,7618
LGA14600,4,0,9,8,11,36,85,66,37,250,0,0,0,0,4,0,11,11,4,34,29,36,96,94,97,105,80,61,39,629,159,267,710,678,708,818,687,412,199,4636
LGA14650,82,62,198,273,388,916,1573,1394,1028,5915,11,10,52,49,82,110,120,80,59,575,397,445,1035,996,929,1051,1301,1483,989,8636,5559,11645,24157,25794,26757,27270,25142,15611,6298,168236
LGA14700,3,0,5,12,18,26,58,76,45,236,0,0,0,16,12,16,22,25,21,114,42,58,283,277,134,120,132,120,152,1323,638,1960,6433,6953,5239,3989,3103,1820,721,30860
LGA14750,9,4,18,16,31,91,111,114,76,462,4,0,9,16,6,11,6,8,9,70,51,68,136,120,126,125,105,90,56,873,359,619,1359,1252,1383,1447,1058,707,284,8477
LGA14850,16,18,45,75,108,176,315,337,240,1325,4,11,6,11,21,20,20,6,14,112,204,190,404,414,422,451,421,265,180,2945,1239,2286,4752,5199,5976,6637,5537,2619,1079,35318
LGA14870,4,5,19,31,61,152,256,192,107,836,0,0,3,5,7,9,8,11,0,48,79,103,287,237,229,216,285,211,78,1728,560,1010,2269,2145,2611,3162,2910,1666,534,16871
LGA14900,71,84,449,864,1174,1801,2391,1752,793,9382,22,99,477,637,862,1329,1129,750,367,5660,876,1011,2353,2283,1662,1594,1230,1012,652,12678,7213,16382,33374,33908,29534,25105,15944,8038,2935,172433
LGA14920,4,0,10,8,24,75,117,78,47,369,0,0,0,0,4,3,4,3,0,18,51,39,85,93,121,123,143,102,39,793,219,328,707,786,961,1136,1070,600,187,5985
LGA14950,0,0,0,0,7,29,54,25,28,147,0,0,0,0,0,0,0,4,0,11,18,13,15,30,36,45,45,33,22,253,104,136,265,309,388,527,433,248,125,2538
LGA15050,42,34,104,108,205,412,679,535,332,2457,0,6,22,28,47,50,45,29,16,242,192,219,574,516,383,400,411,379,238,3318,2603,5466,12938,12036,10983,9928,8172,4332,1491,67950
LGA15240,40,30,111,159,252,647,1239,1034,672,4183,0,5,17,13,25,33,42,45,38,216,334,288,626,669,762,1041,1412,1274,785,7182,2286,3442,7594,8377,10909,15417,17644,10528,3886,80082
LGA15270,12,4,22,34,58,151,305,219,130,936,0,0,4,5,0,8,13,23,6,59,103,75,208,254,256,285,272,226,89,1774,696,1092,2943,2981,3332,3497,2935,1782,598,19847
LGA15300,15,5,16,12,49,81,139,109,34,455,0,4,5,3,9,7,15,12,0,54,147,193,359,369,352,366,266,154,48,2253,415,795,1699,1499,1606,1723,1233,690,199,9854
LGA15350,0,0,7,4,8,9,18,39,40,121,0,0,8,7,9,12,5,7,10,51,51,43,103,125,136,141,111,159,108,984,530,1341,2935,3644,4237,3727,3073,2213,917,22617
LGA15520,7,3,21,25,33,70,174,209,101,630,0,0,3,4,3,3,4,8,6,37,38,32,120,106,112,159,157,171,86,985,265,449,1188,1277,1533,1926,2034,1223,401,10296
LGA15560,0,0,4,7,10,34,39,36,24,159,0,0,0,0,3,0,0,0,4,9,12,18,41,33,43,50,63,37,15,312,88,171,406,353,418,545,436,214,76,2700
LGA15650,9,8,35,56,50,111,169,140,76,653,0,0,0,0,4,8,9,7,0,38,74,75,247,213,188,138,136,89,42,1198,498,870,2309,2111,2116,1977,1451,742,256,12335
LGA15700,9,6,20,20,52,141,261,208,148,873,0,0,5,0,9,7,8,13,9,52,97,79,173,163,184,296,280,187,85,1536,492,703,1671,1825,2311,3461,3469,1953,714,16604
LGA15750,0,3,15,25,52,97,168,119,63,544,0,0,0,4,3,13,11,0,10,40,71,81,161,151,202,246,168,105,62,1241,334,710,1562,1388,1547,1822,1345,787,304,9803
LGA15800,0,3,4,16,17,48,91,75,69,320,0,0,0,0,0,0,3,0,0,10,38,26,55,78,64,65,83,56,28,497,146,252,549,615,670,822,685,437,203,4378
LGA15850,7,0,4,12,16,39,97,61,20,259,0,0,4,5,4,0,7,11,3,26,41,36,100,107,80,105,93,87,61,719,177,301,715,687,700,849,749,473,173,4811
LGA15900,36,60,167,203,286,572,929,956,820,4028,4,16,73,101,102,135,99,102,90,725,522,832,1304,971,878,892,943,1030,1014,8389,4738,14411,26920,21831,20653,19260,15260,8961,4415,136449
LGA15950,0,0,20,28,15,30,82,80,57,323,0,8,18,14,18,29,30,17,18,153,76,127,629,517,344,350,337,314,194,2889,786,3360,14651,12331,8796,7436,6410,3845,1228,58837
LGA15990,16,23,64,141,168,338,687,907,645,2995,6,15,53,111,161,142,138,156,139,923,396,435,1224,1215,1204,1024,1054,1279,1186,9015,5712,13721,28865,35488,39979,32464,24193,16486,7238,204156
LGA16100,0,0,3,12,15,38,67,64,15,206,0,0,0,4,0,0,8,3,0,24,33,50,83,105,82,76,115,77,10,644,147,254,536,609,734,828,846,429,107,4501
LGA16150,27,19,62,82,122,213,368,303,208,1401,0,0,18,26,30,21,44,25,10,179,128,156,359,313,277,281,322,256,185,2276,1108,2409,5892,5466,5103,4778,4255,2510,1048,32563
LGA16200,7,6,16,25,46,112,192,140,105,633,0,0,0,4,5,5,6,10,6,40,83,58,138,135,119,162,115,123,90,1034,407,788,1631,1562,1672,1915,1545,991,438,10953
LGA16260,17,33,189,276,423,659,1143,997,577,4315,7,57,329,313,258,416,416,312,218,2324,420,1063,3512,2670,1403,1154,989,789,520,12525,4524,16952,49888,45489,29060,24723,18130,9926,4061,202761
LGA16350,58,50,247,324,541,1145,1892,1252,531,6051,10,18,109,159,199,217,253,219,93,1286,712,994,2454,2134,1590,1240,1175,1018,699,12013,6394,14767,32953,31753,26832,23311,17400,8157,2713,164293
LGA16380,23,11,56,92,152,343,830,794,574,2879,0,3,12,17,19,32,33,27,23,168,214,213,418,441,460,568,740,724,520,4292,2136,3861,7641,8649,10445,12070,13175,8685,3412,70065
LGA16400,27,24,99,100,172,369,737,584,291,2390,4,10,17,21,31,29,33,25,14,190,188,185,391,388,461,545,768,727,343,3998,2001,3586,7049,7880,9267,10757,11057,6562,1860,60014
LGA16490,18,6,59,50,107,215,391,391,174,1409,0,5,16,25,18,25,39,46,36,207,142,163,551,462,410,449,370,206,86,2833,1382,3401,9344,9002,9198,8023,5278,2476,777,48881
LGA16550,8,13,61,56,110,246,589,839,553,2480,0,22,57,54,60,99,125,178,155,750,281,619,1673,1278,995,768,810,817,823,8069,2914,9487,24555,20342,17453,14066,10647,6892,3366,109712
LGA16610,6,7,31,42,67,166,326,322,199,1163,0,0,8,8,3,7,11,16,10,56,138,139,244,287,277,300,300,257,146,2088,706,1210,2290,2331,2813,3330,3290,1853,765,18582
LGA16700,8,13,54,97,132,321,667,731,525,2527,7,25,148,118,110,192,177,210,170,1151,164,362,1117,886,569,592,485,467,482,5120,2382,8602,23699,21245,15214,13967,10467,5831,3106,104523
LGA16900,23,25,71,97,141,433,895,715,364,2763,5,9,21,24,42,56,73,104,62,395,186,190,438,430,358,386,442,523,428,3385,2242,4582,9586,9336,9674,9662,7818,4448,1691,59038
LGA16950,40,26,97,130,227,580,1295,985,645,4022,4,10,14,31,36,47,62,61,40,304,406,398,1042,946,937,975,1086,978,516,7282,2538,4754,11031,11121,12291,16083,17079,9824,3504,88218
LGA17000,8,11,34,29,57,110,195,150,98,701,3,0,3,13,4,13,6,9,3,59,146,139,206,171,190,197,159,88,26,1316,951,1547,3218,3030,3337,3076,2155,1033,353,18697
LGA17040,5,0,24,16,36,90,174,166,81,602,0,0,5,0,5,6,17,18,11,66,90,100,324,243,249,255,206,144,74,1682,548,1149,2803,2475,3013,3181,2449,1349,483,17455
LGA17080,0,0,14,25,57,98,177,158,101,626,0,5,5,0,4,4,16,9,0,47,58,60,164,187,174,176,166,180,79,1245,366,659,1468,1689,1835,2209,1915,1143,399,11684
LGA17100,4,9,37,54,82,136,211,262,130,922,0,23,87,44,49,86,86,82,70,530,103,316,756,408,200,200,159,136,93,2375,876,4585,11068,6631,4525,4378,2962,1715,826,37580
LGA17150,20,9,54,93,170,357,913,1065,776,3461,6,18,47,74,68,99,143,164,105,716,307,335,971,975,922,783,876,1052,1127,7354,5641,12946,26413,30574,31890,28547,22917,13848,6432,179199
LGA17200,11,47,220,196,203,390,585,488,240,2374,6,74,374,234,135,182,194,150,120,1473,369,1709,4957,2697,1661,1397,1140,813,406,15163,3347,21536,68041,39433,22829,17927,12370,5968,2034,193490
LGA17310,28,19,111,104,168,343,594,567,320,2252,3,4,33,22,25,43,39,31,11,215,306,252,616,565,526,511,508,497,261,4025,1863,3310,7982,7343,7447,7639,6768,4174,1579,48110
LGA17350,4,0,0,13,14,26,68,69,52,248,0,0,0,0,3,0,4,5,0,18,21,23,30,33,32,63,64,60,35,355,180,286,520,562,712,862,866,530,236,4759
LGA17400,3,3,4,14,25,54,108,88,47,343,0,0,0,3,4,0,8,5,4,23,24,29,54,74,100,116,139,82,33,653,152,243,479,569,824,1194,1391,633,211,5691
LGA17420,18,15,39,73,133,284,721,676,381,2334,8,11,54,78,93,131,154,126,117,774,245,273,617,810,601,496,546,517,407,4500,4903,11431,19314,30821,27104,20980,16814,8705,2821,142902
LGA17550,15,18,73,114,171,373,781,932,649,3119,7,3,7,13,26,39,44,48,30,224,323,301,707,836,859,924,930,953,854,6696,2266,4094,8862,11160,12110,14011,13608,8469,3843,78428
LGA17620,8,4,8,23,27,92,164,133,78,538,4,5,0,4,10,9,10,10,9,61,37,39,123,105,113,147,135,129,100,935,341,671,1654,1708,1784,1934,1651,942,406,11082
LGA17640,3,0,8,9,19,48,96,86,45,317,0,0,0,0,4,8,5,4,3,23,28,21,55,60,85,134,132,78,33,625,205,330,720,837,1123,1506,1229,667,229,6853
LGA17650,4,7,6,7,19,35,66,75,22,236,0,0,6,0,0,0,3,0,0,16,21,15,41,38,69,72,54,35,21,358,140,241,547,599,821,952,845,422,118,4696
LGA17750,36,43,128,174,175,284,445,464,308,2047,0,12,84,101,69,60,49,26,15,419,284,361,540,448,436,406,430,339,275,3520,2339,5157,9685,8224,7549,7394,6098,3522,1567,51526
LGA17850,0,0,3,0,7,18,48,40,14,140,0,0,0,0,0,0,6,3,0,8,16,18,33,21,36,52,53,42,15,279,77,117,271,265,361,461,486,324,81,2439
LGA17900,5,4,11,10,19,50,84,65,12,256,0,0,0,0,0,0,12,11,3,34,83,61,163,151,168,211,177,97,26,1138,173,228,629,520,645,834,710,353,83,4168
LGA17950,0,0,3,6,5,18,31,21,13,101,0,0,3,0,0,0,0,0,0,11,7,11,19,23,35,26,56,39,31,263,64,121,271,244,302,387,303,212,87,1980
LGA18020,0,0,6,11,35,86,143,136,53,477,0,0,3,0,3,4,6,4,3,23,65,45,112,114,156,193,231,170,86,1180,225,325,857,815,1099,1408,1425,869,345,7369
LGA18050,0,9,40,32,26,49,92,182,165,594,0,5,12,13,16,20,24,33,34,155,120,205,1151,703,410,316,313,375,378,3975,987,3319,16105,11613,8857,6126,4620,2845,1383,55844
LGA18100,0,3,0,9,12,23,57,34,17,151,0,0,0,0,0,0,0,0,6,9,12,11,18,26,28,53,39,51,19,254,76,119,290,340,439,587,588,354,143,2925
LGA18200,7,3,7,12,21,54,113,93,41,355,0,0,0,0,0,6,3,3,0,12,68,42,123,122,130,124,115,59,27,816,204,353,804,825,964,1099,942,461,136,5798
LGA18250,0,8,26,27,55,100,247,284,207,954,0,0,62,58,46,58,90,93,65,485,100,126,435,460,322,236,314,248,230,2474,1338,3943,9366,12723,10814,8145,6513,3604,1954,58401
LGA18350,13,10,23,46,63,151,304,243,141,994,8,7,13,23,13,23,23,17,10,128,109,129,221,274,337,362,429,449,370,2675,1217,2153,4745,5332,6751,7232,7778,5167,1763,42132
LGA18400,22,13,49,57,95,220,408,289,118,1274,0,3,15,16,21,15,31,20,15,128,167,128,288,323,326,268,304,297,223,2322,1790,3191,6530,6896,7346,6309,5002,2462,771,40293
LGA18450,47,50,191,297,401,950,1928,2153,1344,7351,12,25,91,124,139,158,300,353,285,1489,577,731,1371,1135,1082,1009,1150,1326,1068,9459,6073,15756,28402,26747,26822,26050,20876,13301,5754,169783
LGA18500,0,5,12,12,12,26,57,84,80,292,0,0,15,8,14,12,11,18,17,92,138,160,413,333,302,256,265,367,442,2666,852,2910,8406,7215,6989,6167,5566,3874,1726,43708
LGA18710,4,5,8,19,32,52,89,78,62,345,0,0,7,4,7,5,11,4,3,40,29,44,75,94,120,110,125,97,54,744,426,779,1591,2181,2704,2300,1897,933,338,13146
LGA19399,0,0,0,0,3,6,5,0,3,20,0,0,0,0,0,0,0,0,0,4,3,0,9,10,6,16,17,15,0,87,19,24,119,150,136,164,135,55,20,821
LGA19499,12,7,37,52,60,50,73,33,0,318,0,3,9,15,7,14,10,5,4,75,176,272,752,787,651,467,208,66,18,3408,409,824,2186,1856,1677,1649,1055,277,49,9981
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
