SED_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SED10011,17,241,845,987,1014,1011,512,105,50,4784,3,99,612,816,830,741,317,61,4,3479,0,39,502,760,870,779,196,28,6,3186,0,16,330,672,803,584,125,13,7,2542,0,11,318,904,1084,900,173,30,11,3434,0,8,65,307,427,360,81,32,16,1295,317,183,381,507,573,663,698,528,424,4281,4374,3319,6555,8936,10154,10944,8679,3827,1545,58322
SED10012,21,443,1353,950,991,709,174,35,3,4674,4,156,827,555,580,404,84,10,3,2624,0,57,552,465,396,260,55,4,3,1793,0,19,268,307,227,173,31,5,3,1035,0,10,264,324,278,163,33,4,0,1081,3,14,64,102,114,64,29,7,0,388,443,396,697,619,715,625,379,305,183,4358,6059,6538,11177,9992,11501,10540,5994,3219,1407,66428
SED10013,36,570,2032,1564,1356,917,317,61,24,6873,5,263,1648,1336,1009,671,163,31,7,5122,3,107,1266,1286,997,547,125,15,4,4341,3,40,785,1010,806,414,89,12,0,3175,3,37,785,1512,1153,564,93,21,7,4178,3,8,150,511,483,256,60,25,5,1508,446,404,782,774,677,519,538,431,424,5004,6021,5555,12993,13296,11231,8518,5909,2704,1199,67436
SED10014,20,485,1544,1220,1107,882,310,53,15,5645,6,173,1038,874,765,612,143,8,3,3623,4,59,652,706,616,499,94,11,4,2634,0,28,340,453,398,331,48,4,0,1597,3,16,324,533,523,392,60,6,0,1855,6,12,66,152,167,129,37,16,4,590,562,481,879,758,668,666,638,311,175,5142,5553,6013,11495,10183,9468,9092,6662,2659,799,61936
SED10015,7,365,1876,1389,1296,784,233,76,23,6052,6,146,1135,1028,904,508,122,25,10,3879,3,58,815,890,739,364,95,20,5,2976,3,21,476,611,547,293,59,11,3,2023,0,9,529,971,792,370,71,13,3,2761,0,8,151,433,391,162,61,15,14,1241,406,448,1053,912,844,673,569,442,260,5608,5087,5997,14304,12550,12091,9366,6720,4656,1857,72622
SED10016,18,472,1092,1111,1088,881,439,114,29,5242,4,217,919,949,946,653,304,61,13,4063,3,85,756,1095,1044,744,222,46,5,4001,0,25,520,899,875,579,158,28,8,3086,3,27,702,1979,1706,983,221,29,8,5649,3,7,228,1307,1428,701,176,33,14,3904,314,213,395,489,538,389,364,179,86,2962,6107,4928,8068,12129,11783,9120,6357,2668,974,62144
SED10017,17,312,1177,1080,1018,771,230,60,20,4697,7,100,775,738,619,477,98,12,3,2824,0,64,540,655,555,373,66,11,4,2263,0,35,346,470,395,281,44,8,4,1584,3,37,528,746,641,399,68,3,3,2431,3,15,132,247,244,160,66,16,4,897,476,490,1066,908,857,817,852,561,376,6404,4755,4620,10161,9901,9584,9470,7282,3329,1424,60520
SED10018,5,307,1160,1006,1079,864,377,117,39,4950,3,115,798,767,756,603,174,55,14,3281,0,34,677,794,759,547,114,30,12,2965,0,15,422,653,594,376,73,23,9,2164,0,12,549,1072,941,575,106,27,11,3291,7,9,155,491,508,301,85,35,11,1589,257,197,422,428,515,482,494,437,362,3595,4362,4073,8417,9330,9629,8684,7119,4546,2032,58181
SED10019,13,159,566,677,847,841,386,156,57,3706,0,57,313,457,496,431,148,52,11,1974,4,17,199,371,412,361,92,26,14,1493,0,11,117,248,312,268,37,10,3,1010,0,7,121,282,289,246,64,18,10,1042,3,5,54,102,126,119,73,34,19,535,653,316,618,801,887,1021,1041,808,442,6597,4467,3165,6139,7623,9647,11650,10215,5664,2258,60827
SED10020,13,195,764,892,1047,851,382,106,62,4313,7,79,551,604,663,523,207,39,16,2694,4,30,348,464,536,447,108,24,10,1981,0,12,194,375,401,335,57,17,7,1401,0,10,197,440,482,339,77,24,6,1578,0,7,76,210,204,176,75,34,13,795,443,345,656,603,796,920,823,777,658,6027,4331,3688,7649,8219,9633,10689,8512,4793,2070,59595
SED10021,15,487,2254,1018,807,636,400,126,62,5792,10,229,2248,1000,768,545,283,78,45,5199,7,102,1974,1245,819,533,216,72,41,5013,3,36,1384,1074,693,408,152,55,25,3825,4,44,2200,2357,1383,754,255,72,39,7119,5,37,993,2913,2202,883,270,73,48,7423,355,666,2037,1378,1052,739,632,614,634,8101,3263,5288,18145,14396,10641,7456,5451,3235,2009,69886
SED10022,19,247,725,782,855,827,398,169,42,4059,3,88,426,514,556,432,145,51,13,2230,0,48,289,416,494,407,115,28,19,1807,0,13,163,283,326,271,83,26,14,1183,0,8,194,331,381,298,82,34,10,1343,11,10,71,162,224,213,117,51,19,876,640,417,880,974,990,1118,1122,878,485,7516,4158,3425,6733,7802,9296,10131,9102,5295,2270,58213
SED10023,8,456,1351,932,1013,945,497,165,78,5452,11,223,1217,806,872,723,298,86,35,4281,0,77,1040,910,871,712,248,75,27,3960,3,40,630,728,743,582,176,57,18,2962,4,25,819,1462,1334,921,239,72,45,4921,3,16,342,1199,1191,809,265,75,32,3928,278,280,716,641,579,592,439,358,232,4120,4378,4259,9319,9989,10203,9508,6675,3889,1893,60112
SED10024,14,340,798,693,852,702,565,324,138,4427,7,149,604,665,729,558,458,192,71,3444,3,59,553,689,814,613,370,183,79,3358,0,14,375,649,677,469,278,125,50,2637,0,11,567,1638,1611,943,459,190,81,5499,3,14,277,2207,3072,1543,553,206,96,7969,271,181,289,436,533,426,440,515,581,3680,5827,4168,5878,10296,12183,8784,7491,4884,2461,61968
SED10025,19,433,1844,997,889,783,467,114,56,5603,3,187,1459,890,769,554,306,70,27,4265,7,74,1297,1052,843,620,229,69,15,4214,0,33,872,927,713,461,178,42,11,3243,3,32,1419,2033,1361,902,257,70,25,6101,0,16,604,1864,1560,762,270,79,42,5190,269,339,1052,845,670,602,554,365,321,5016,3633,5301,14138,12268,10475,8754,6602,3845,1946,66955
SED10026,15,333,1090,906,1056,860,347,116,38,4765,6,132,727,655,655,514,152,29,24,2882,3,64,533,572,641,432,120,34,8,2402,0,37,334,521,507,365,76,21,3,1874,3,33,501,679,693,459,86,22,4,2476,9,10,171,264,298,208,100,36,14,1111,671,573,1218,992,1067,1096,979,664,305,7561,4602,4412,9717,8907,9911,9608,7516,4221,1650,60563
SED10027,13,370,1384,1238,1114,959,291,66,33,5472,10,167,969,921,820,559,156,22,5,3626,0,67,741,792,695,494,106,11,7,2904,0,27,480,614,536,334,48,9,7,2049,3,11,483,982,801,455,69,9,7,2819,4,14,131,370,306,196,50,17,4,1091,352,345,611,582,597,524,466,433,452,4363,4926,5157,10038,10454,10030,9114,6242,3870,2125,61955
SED10028,12,504,1169,815,969,853,463,201,98,5086,3,209,899,748,824,672,282,108,55,3805,0,85,798,854,837,663,277,88,39,3646,0,27,491,776,780,592,184,48,34,2938,0,19,691,1676,1763,1169,291,68,27,5703,0,3,208,1236,1585,917,202,46,21,4210,226,202,340,369,392,304,331,510,841,3504,5869,5705,8549,10291,11619,10091,6479,4259,2749,65597
SED10029,17,403,1349,996,976,661,142,49,15,4605,6,158,839,612,555,354,70,11,4,2608,0,64,525,416,390,235,41,7,3,1682,0,25,272,270,224,152,25,3,0,972,0,12,238,304,246,125,32,7,0,959,0,5,72,99,77,55,15,18,3,341,502,446,964,747,815,684,521,403,252,5343,6025,6609,12431,11061,11538,10025,6269,3819,1726,69487
SED10030,18,300,1071,951,1009,914,405,128,63,4863,3,106,758,711,785,541,192,31,23,3147,4,41,594,646,670,467,120,25,24,2586,0,10,301,506,512,347,90,20,14,1791,0,9,306,755,768,469,131,43,6,2490,7,17,76,300,355,238,76,42,19,1126,408,347,634,669,745,741,800,675,579,5597,4026,4047,8405,9133,10069,9822,8561,4967,2479,61505
SED10031,26,311,955,977,1110,978,529,143,49,5072,6,127,607,694,813,657,268,51,15,3246,0,48,483,735,804,626,239,57,19,3004,0,16,301,561,575,471,123,26,14,2084,8,22,288,821,986,618,198,59,10,3009,3,16,62,311,464,373,174,72,16,1489,629,372,790,869,965,945,984,750,515,6812,4602,3565,7504,8925,10824,10720,9281,4566,1755,61744
SED10032,21,436,2092,1359,1011,641,218,35,30,5847,0,185,1351,979,684,421,102,13,9,3750,5,80,913,858,506,316,50,9,3,2726,0,26,535,597,316,202,42,9,0,1727,0,33,612,869,495,255,36,3,3,2295,3,12,125,258,209,81,22,9,5,720,442,614,1438,972,744,652,478,308,158,5818,5097,6901,18111,13270,10138,8358,5503,3174,1391,71932
SED10033,29,494,1278,1046,1295,945,416,99,15,5615,3,221,926,880,977,657,203,35,18,3917,5,89,717,839,919,584,145,31,4,3331,0,48,357,593,703,426,104,19,3,2260,4,24,403,832,940,609,164,23,4,3002,3,17,83,359,511,334,108,33,11,1459,542,398,664,646,909,703,634,363,197,5051,5291,4921,8826,9247,11035,9082,6583,3061,1128,59170
SED10034,12,471,1325,1177,1196,1050,471,97,25,5829,6,228,1127,1042,930,737,275,33,13,4390,0,88,1026,1175,1017,681,138,19,6,4153,0,42,588,920,859,547,110,16,3,3074,0,15,780,1495,1420,835,126,13,3,4691,0,9,144,648,782,395,76,10,14,2089,296,198,406,458,503,441,421,412,472,3604,4807,4435,9035,10919,10747,9256,6791,3173,1606,60767
SED10035,85,979,3426,1442,961,658,232,85,15,7875,29,473,2870,1350,840,490,168,37,10,6269,20,236,2697,1439,809,425,120,31,12,5793,17,95,1875,1264,641,319,96,14,11,4339,11,111,2872,2538,1170,487,119,32,8,7353,14,31,840,1498,992,390,107,31,5,3918,541,1204,2619,1331,899,708,531,349,144,8334,6528,15210,28292,15667,10437,7460,4958,2989,1064,92602
SED10036,18,501,1598,1405,1392,854,239,41,16,6062,14,246,1194,1094,970,529,122,20,8,4200,3,81,920,986,830,444,89,10,0,3367,0,26,518,774,721,330,59,10,0,2435,4,16,549,1047,853,424,67,4,3,2969,7,4,120,401,393,212,36,11,4,1182,448,428,834,751,718,578,445,329,235,4762,6157,5830,11541,12362,11384,8462,5506,2716,1211,65161
SED10037,6,384,1174,1111,1122,880,500,146,58,5378,0,148,874,979,917,732,306,85,37,4064,0,63,726,976,987,676,238,62,11,3744,3,20,491,844,798,593,149,28,11,2933,3,13,641,1932,1616,971,201,45,16,5431,3,0,163,993,1270,638,155,41,14,3271,264,210,423,539,528,429,330,295,243,3268,5095,4517,8536,11902,11784,9551,6874,3525,1397,63185
SED10038,12,292,1041,1063,1042,888,428,152,55,4973,3,142,842,836,839,603,223,51,18,3554,0,61,732,910,887,573,133,28,15,3332,0,27,443,762,741,530,79,17,6,2607,0,21,533,1337,1147,674,128,26,9,3878,3,11,148,625,661,386,104,35,14,1979,322,274,528,501,528,526,523,481,299,3981,5046,5119,8752,10464,10502,9510,7205,4562,2162,63315
SED10039,9,295,951,866,989,999,430,126,50,4709,7,169,649,651,686,636,243,67,19,3126,0,65,500,612,684,575,155,49,7,2650,0,17,321,507,570,448,92,22,9,1994,0,15,300,704,767,593,114,27,12,2527,9,5,84,279,335,308,107,37,9,1167,414,388,752,692,785,759,777,590,467,5614,4431,3951,7420,8101,9270,10360,8426,4502,2044,58513
SED10040,17,447,2334,1435,1082,808,268,74,27,6499,6,159,1385,1027,838,502,162,29,15,4112,3,67,1012,903,768,434,104,12,13,3323,0,28,563,697,475,306,70,21,5,2163,0,28,719,1052,800,390,77,26,7,3101,0,7,188,421,399,193,46,23,14,1295,345,416,1079,678,631,596,460,566,599,5374,5240,7704,18413,12151,11104,9695,6521,4201,2176,77202
SED10041,13,329,1028,733,813,653,545,251,144,4502,6,164,903,701,668,534,384,212,90,3672,3,84,756,772,734,584,320,162,99,3514,0,17,511,788,709,488,241,100,52,2909,6,11,838,1926,1655,1007,474,189,92,6184,3,6,282,2057,2834,1390,487,214,120,7400,416,247,419,493,535,401,419,459,728,4121,6010,4343,7844,11145,11910,8723,6767,4561,2887,64187
SED10042,12,268,998,872,987,932,464,128,46,4718,3,94,677,599,696,617,212,42,15,2956,4,45,495,580,652,513,124,30,19,2454,0,12,266,431,509,370,86,24,3,1701,0,22,318,550,652,506,108,28,8,2193,3,8,90,220,310,279,90,27,10,1039,275,228,418,396,526,624,741,652,656,4517,4359,3969,7448,7879,9312,9961,8843,4865,2273,58914
SED10043,13,373,1579,1147,878,567,145,48,20,4781,6,148,931,696,497,319,62,14,4,2689,5,53,579,539,401,267,52,6,4,1904,0,26,344,364,283,131,20,7,4,1183,0,20,335,417,340,185,19,5,0,1319,7,12,79,170,105,65,25,11,9,474,564,540,1267,942,828,697,535,452,305,6137,5952,6913,15225,12157,10574,8984,5779,3683,1668,70941
SED10044,12,449,1597,972,867,738,517,174,82,5405,0,219,1438,927,736,615,336,94,51,4418,8,72,1300,1068,760,586,278,104,48,4219,0,28,957,951,714,479,220,75,29,3460,5,29,1496,2064,1460,956,361,120,31,6533,4,13,577,2358,2497,1270,502,137,68,7427,316,280,925,798,642,548,481,451,598,5033,4731,4451,12254,12670,11200,8717,6553,3871,2405,66850
SED10045,9,177,673,830,1028,964,356,125,46,4200,4,51,368,497,595,554,135,31,8,2235,0,15,219,402,484,412,89,21,6,1656,0,8,117,265,347,284,58,16,6,1098,0,9,121,303,380,310,78,29,10,1231,4,5,36,113,155,150,76,21,21,595,640,412,669,731,1020,1302,928,667,487,6844,4519,3579,6730,8316,10497,12320,8584,4352,2065,60968
SED10046,23,475,1661,1400,1224,750,115,22,12,5679,6,184,1039,959,766,407,66,10,0,3436,3,53,622,726,583,304,39,5,0,2336,4,27,350,465,396,204,23,3,0,1469,0,16,339,528,419,196,31,3,0,1532,5,8,83,154,158,60,25,10,4,502,723,626,1448,1335,1158,975,710,479,170,7616,6705,6790,13677,13041,12119,9495,5192,2841,801,70672
SED10047,46,598,2087,1614,1293,971,248,38,4,6908,13,234,1289,1077,774,563,110,20,7,4086,4,109,849,870,663,397,82,10,3,2987,0,44,463,539,429,276,45,4,0,1796,0,26,440,644,465,263,48,6,4,1899,11,24,98,171,161,106,34,11,0,626,717,790,1633,1333,1083,932,795,513,177,7971,6016,6932,14838,12500,10787,9368,6865,3067,820,71191
SED10048,23,499,1793,1448,1425,1141,266,36,17,6641,4,191,1195,1105,895,686,140,14,0,4225,4,84,852,885,720,538,104,8,9,3201,0,31,402,543,531,350,49,5,0,1921,0,14,434,692,579,431,56,3,0,2218,15,5,64,198,182,168,45,11,5,703,478,449,920,738,731,638,542,364,274,5137,5776,6065,13077,12091,11174,10283,5938,2337,941,67692
SED10049,19,383,1368,1058,1032,776,267,53,22,4990,7,145,896,851,783,511,125,17,8,3347,5,83,690,756,700,499,84,11,3,2835,0,36,465,605,560,355,43,14,5,2079,0,42,625,984,898,487,67,19,9,3132,3,8,147,384,386,240,67,17,3,1264,340,300,655,599,611,562,536,451,225,4283,4939,4800,10564,10165,9952,8835,6526,3233,1271,60289
SED10050,14,393,1709,979,904,729,485,161,94,5465,0,158,1424,921,771,537,324,101,42,4285,3,66,1214,1082,800,587,288,97,29,4171,0,25,870,878,671,460,189,55,18,3175,3,23,1527,2127,1488,818,280,94,44,6397,0,9,752,3089,2782,1164,338,105,41,8279,323,314,1061,1013,773,589,505,335,355,5276,3944,3875,12569,13828,11738,8175,5778,2909,1583,64405
SED10051,12,462,1529,1183,1078,847,388,112,52,5664,9,221,1193,953,824,564,242,57,26,4094,4,99,1009,989,880,532,160,37,14,3718,5,34,612,863,686,397,90,29,10,2729,0,33,819,1565,1218,619,136,48,23,4456,7,16,280,1176,1002,408,109,39,19,3050,417,677,1454,1336,1081,858,824,614,473,7719,4599,6057,11915,12190,11098,8777,6860,4207,2026,67729
SED10052,18,431,1204,1052,1095,965,441,148,66,5412,10,173,1012,895,832,648,269,68,17,3932,3,81,876,968,841,714,219,55,23,3770,3,19,544,759,695,477,129,33,12,2663,3,17,665,1428,1226,770,213,41,16,4384,7,13,193,883,864,520,180,34,19,2712,247,201,477,495,493,516,467,521,661,4071,4215,4168,8510,10275,10128,9151,6987,4218,2520,60172
SED10053,31,454,1364,1060,1280,1000,429,105,29,5756,8,217,1115,1006,1076,787,218,49,13,4490,3,86,873,1040,1057,673,172,33,10,3940,0,28,477,746,803,479,115,18,6,2676,0,19,608,1407,1605,790,141,32,9,4629,7,10,138,505,845,443,103,29,10,2089,553,396,956,909,1021,861,755,448,298,6200,4690,4301,9884,10307,11971,9829,6509,2999,1139,61638
SED10054,26,507,1836,1603,1495,960,177,21,13,6634,9,203,1073,1083,937,574,106,7,3,3995,3,67,682,816,660,394,47,0,0,2677,0,19,382,525,413,228,37,7,7,1615,0,7,287,598,450,224,34,0,0,1594,8,8,53,119,123,68,12,9,0,405,629,458,899,834,784,637,494,250,104,5077,6947,6640,13099,12208,11435,8996,5364,2134,933,67753
SED10055,39,613,1827,1402,1452,1068,248,33,8,6693,5,246,1326,1176,1074,772,158,28,0,4770,3,120,1027,1061,1019,644,104,17,8,4003,0,33,584,815,734,466,68,3,3,2709,0,18,626,1020,918,586,95,9,0,3275,0,5,144,381,387,254,48,19,3,1248,423,390,742,735,675,606,395,193,84,4249,6156,5872,11758,11483,11372,9610,4916,1854,506,63519
SED10056,36,362,1125,997,1160,1112,403,142,59,5395,6,145,691,682,763,608,178,62,15,3150,3,38,455,555,576,454,140,28,10,2257,5,12,230,422,469,297,88,22,14,1551,3,15,229,473,506,351,103,35,23,1740,8,8,75,201,246,256,110,54,16,966,757,509,1038,960,1182,1384,1341,1054,553,8785,5119,4233,9248,9196,10789,11450,9133,5550,2187,66906
SED10057,9,119,497,599,803,800,431,189,64,3510,3,50,306,409,470,451,209,55,24,1969,0,21,210,277,376,347,128,36,14,1409,0,9,105,219,262,306,68,16,10,1004,0,3,93,227,264,281,92,25,7,997,3,14,40,105,135,167,102,41,17,621,525,248,435,498,748,939,1156,979,731,6248,3885,2818,5545,6573,8890,11230,11517,6496,2812,59773
SED10058,15,435,1656,932,870,791,350,134,44,5223,0,198,1337,800,647,610,171,45,22,3827,3,84,1095,754,690,481,156,36,16,3320,0,42,647,605,574,404,91,15,6,2396,0,31,857,1066,954,640,136,37,18,3740,6,20,219,602,701,530,145,55,26,2300,249,402,878,582,774,812,708,553,536,5493,3339,5810,12188,9238,9483,9240,6419,3508,1790,61027
SED10059,40,728,3137,1072,755,490,211,45,16,6480,21,394,2712,1054,690,400,134,16,7,5428,6,159,2439,1196,756,407,105,22,0,5091,11,66,1525,1061,686,334,71,12,0,3758,11,63,2308,2315,1408,695,126,13,6,6931,12,34,797,1723,1255,504,112,14,3,4450,420,1217,2955,1526,1092,848,614,419,155,9241,3637,10878,24691,13614,9689,6699,4192,2356,784,76543
SED10060,8,464,1797,769,624,590,568,246,103,5169,9,281,1866,766,562,528,455,205,66,4738,3,115,1890,1006,670,541,426,175,70,4904,0,47,1387,945,570,489,301,107,58,3901,3,41,2717,2446,1407,1016,632,223,76,8555,5,21,1184,3003,2939,1959,1003,328,132,10578,234,403,1511,1128,831,747,676,406,334,6271,2869,3885,15965,12895,10009,8530,7322,3562,1732,66774
SED10061,22,261,936,859,998,929,396,156,48,4598,5,98,556,503,648,512,195,72,15,2604,3,33,379,487,565,423,136,34,14,2078,0,14,207,350,404,314,104,23,17,1439,0,15,191,434,558,384,143,37,10,1769,9,11,61,168,269,253,97,61,15,957,792,602,925,923,1103,1164,1106,801,388,7803,5449,5319,8531,8634,10252,10454,8740,4875,1786,64047
