SED_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
SED10067,345,39,58,0,0,445,98,11,16,0,0,121,80,14,23,0,0,121,98,9,25,0,0,133,153,10,32,0,0,199,428,53,121,0,0,606,413,56,144,5,3,620,831,95,310,11,0,1245,727,92,244,4,0,1070,1390,132,256,5,4,1789,1981,119,110,0,7,2221,352,24,54,0,3,428,6898,650,1400,19,22,8985
SED10068,335,36,20,0,5,398,153,25,20,4,0,201,155,24,6,3,0,181,227,21,25,3,0,276,390,34,25,4,0,459,986,100,54,7,7,1156,1245,126,66,0,3,1440,1619,62,29,3,3,1721,620,17,9,0,3,652,397,13,6,0,0,421,193,12,11,0,0,216,275,30,10,0,4,325,6606,507,274,27,29,7444
SED10069,339,31,7,7,3,386,179,16,3,3,0,197,149,28,4,0,0,180,278,23,9,4,0,311,382,41,9,0,0,431,1147,119,17,6,3,1297,1432,106,16,6,3,1560,1702,75,17,3,7,1801,678,30,7,0,0,712,506,14,3,3,0,521,236,11,7,0,0,252,336,28,4,0,3,369,7361,516,88,39,21,8021
SED10070,317,68,13,6,0,403,127,21,7,0,0,157,84,19,3,0,0,114,148,33,8,3,0,189,210,39,8,7,0,260,695,164,37,3,0,902,793,285,80,4,0,1168,1618,466,129,14,4,2233,1118,257,38,8,4,1425,1133,151,18,5,5,1313,486,51,13,6,4,565,293,67,12,4,0,376,7029,1632,352,59,29,9100
SED10071,330,139,13,0,3,482,93,44,8,0,0,149,70,35,4,0,0,113,134,52,6,0,0,194,200,96,5,0,0,303,636,292,23,3,5,953,843,416,79,4,0,1348,2021,943,99,4,10,3086,1929,747,56,7,8,2741,2323,695,19,3,4,3054,981,265,12,0,0,1261,400,133,7,3,3,542,9956,3867,327,32,40,14221
SED10072,249,61,154,0,0,474,59,21,48,0,0,134,55,7,25,0,0,90,87,24,76,0,3,197,110,23,108,0,0,244,361,106,335,3,4,812,320,115,516,5,0,956,658,211,879,3,0,1758,483,159,550,4,0,1203,794,237,322,0,7,1350,804,156,135,0,0,1094,251,66,134,0,3,447,4239,1202,3279,20,15,8757
SED10073,410,101,144,0,0,657,93,30,30,0,0,154,83,32,35,0,0,154,96,43,52,3,0,188,152,53,95,0,3,298,417,119,278,0,0,819,346,126,406,3,3,878,746,330,691,3,4,1774,525,250,376,0,0,1147,919,257,278,0,3,1453,999,145,111,0,7,1261,275,70,72,0,0,419,5043,1558,2558,14,22,9199
SED10074,385,50,28,0,0,466,131,9,8,0,0,147,116,15,6,0,0,143,186,14,19,0,0,219,213,46,17,0,0,275,746,108,83,0,3,935,920,164,151,0,0,1242,1831,309,307,6,5,2455,1296,215,137,3,0,1652,1306,151,72,0,3,1537,596,69,27,0,0,689,321,36,30,0,0,387,8040,1197,883,9,13,10146
SED10075,366,27,3,0,3,396,210,16,5,0,0,237,139,10,3,3,0,155,287,36,3,3,0,335,438,35,4,0,3,481,1242,109,30,0,0,1385,1743,141,22,7,0,1922,2400,152,25,3,12,2595,1130,51,3,0,3,1189,761,30,3,0,0,794,330,15,5,0,3,350,340,24,0,4,0,375,9394,642,119,27,26,10206
SED10076,454,9,0,3,0,468,214,3,0,0,0,221,189,3,0,4,3,203,344,12,3,4,0,354,495,10,8,3,0,507,1289,30,18,7,9,1340,1337,24,7,3,5,1377,1270,11,5,0,3,1286,436,9,0,0,0,442,254,3,0,0,3,259,139,4,0,3,0,146,333,8,0,0,0,344,6745,113,37,23,26,6948
SED10077,298,65,191,3,0,557,54,25,33,0,0,113,50,13,47,0,0,115,61,14,57,0,0,137,109,46,100,0,0,256,309,95,319,5,0,727,239,104,425,3,5,772,511,200,848,4,9,1577,330,156,438,7,4,936,624,217,302,9,7,1163,993,177,133,3,3,1318,231,43,98,0,0,371,3813,1172,2985,44,30,8047
SED10078,215,63,141,7,0,423,48,10,36,0,0,100,39,15,35,0,0,88,61,27,81,0,0,172,88,33,99,0,3,217,249,96,345,4,0,693,235,127,446,3,0,808,471,228,776,14,0,1493,334,170,420,3,0,935,610,323,336,11,3,1279,756,262,138,8,3,1165,162,60,58,3,0,276,3265,1410,2910,54,18,7653
SED10079,404,20,12,0,0,438,180,12,8,0,0,202,173,11,3,0,0,184,330,17,9,0,0,353,434,11,8,0,0,447,1329,43,30,5,0,1400,1761,39,27,3,0,1830,2080,46,20,0,3,2146,804,13,7,0,0,833,565,5,0,3,0,577,271,3,0,0,0,279,359,10,5,0,0,378,8691,223,121,22,11,9068
SED10080,14,118,318,3,0,443,0,17,78,0,0,100,0,11,46,0,0,66,3,27,87,0,0,119,4,27,128,0,0,163,3,101,454,3,0,561,5,81,506,0,4,595,8,190,887,0,3,1090,6,132,633,3,0,772,17,284,861,7,4,1165,38,815,1010,6,8,1886,4,80,168,0,0,254,104,1889,5175,23,20,7215
SED10081,416,5,3,7,6,439,202,4,0,3,0,210,217,6,0,0,0,226,435,7,4,6,0,451,648,13,3,9,3,681,1769,29,6,13,10,1827,1673,20,0,8,3,1708,1489,7,6,4,8,1514,557,0,0,5,3,567,336,0,0,0,4,338,181,0,0,0,3,195,401,4,0,5,0,408,8331,103,26,58,45,8557
SED10082,412,23,19,0,4,453,172,6,7,0,0,189,133,29,10,0,0,174,249,12,12,0,0,274,332,14,7,0,0,352,914,41,38,0,0,992,1281,63,48,0,4,1393,2140,60,61,0,3,2264,1346,24,35,0,0,1405,1191,19,24,0,0,1231,668,6,3,0,0,682,359,10,6,0,0,379,9209,293,272,10,12,9791
SED10083,364,33,11,3,3,419,166,28,5,4,0,206,134,17,3,0,0,155,259,36,14,0,0,302,369,53,21,6,3,452,1132,118,46,0,0,1296,1672,156,41,11,3,1892,2379,133,18,11,7,2555,937,27,9,3,3,977,590,23,3,3,0,620,257,9,8,4,0,276,337,25,9,5,0,377,8605,663,192,57,14,9529
SED10084,336,72,30,3,0,436,146,43,21,0,3,216,117,27,11,0,0,160,221,69,27,10,0,326,305,84,33,6,0,427,839,210,111,4,4,1169,972,294,78,5,5,1352,1607,201,62,6,3,1882,869,60,21,0,4,960,587,31,6,4,0,633,287,15,4,0,0,310,309,50,23,0,0,378,6603,1146,426,41,24,8236
SED10085,373,0,0,3,3,383,180,3,3,0,0,185,204,3,0,0,4,206,348,4,0,0,0,353,487,8,7,3,3,513,1417,39,16,8,4,1479,1549,27,11,3,4,1599,1806,21,3,3,6,1847,852,10,0,6,3,867,715,4,0,4,3,724,322,0,0,4,4,331,405,5,0,0,5,415,8665,123,42,33,40,8911
SED10086,246,86,218,0,3,557,11,18,54,0,0,83,22,5,42,0,0,69,15,17,57,0,0,91,22,25,70,0,0,115,90,61,229,0,0,375,57,59,271,0,0,396,146,125,569,3,3,850,79,82,445,3,3,612,195,182,736,4,4,1124,1138,592,727,0,12,2474,199,87,174,0,3,465,2231,1338,3590,22,30,7207
SED10087,386,8,7,3,3,404,187,0,3,0,0,192,166,0,4,0,0,174,396,0,24,0,4,425,662,3,16,3,0,693,1878,22,45,7,0,1956,1950,18,24,10,10,2002,1631,4,8,14,8,1663,538,0,3,4,0,547,397,3,4,0,0,400,206,0,3,0,4,214,373,8,8,3,4,393,8780,76,143,44,33,9071
SED10088,347,16,81,0,0,447,104,7,26,0,0,137,86,5,31,0,0,115,114,8,57,0,0,180,145,7,66,0,0,216,461,35,207,0,3,713,531,35,315,7,4,897,933,54,562,0,3,1555,791,66,380,0,3,1240,1556,94,331,0,4,1990,1943,69,122,0,3,2145,343,21,68,0,0,426,7357,424,2250,15,16,10056
SED10089,440,23,6,0,0,470,197,9,0,0,0,206,186,11,5,0,0,202,310,17,6,0,0,330,472,28,8,0,0,509,1367,101,32,3,0,1499,1882,122,24,3,0,2039,2420,78,12,3,4,2516,999,8,3,0,0,1015,610,9,3,0,0,616,291,5,0,0,0,303,361,12,0,0,0,372,9538,420,107,12,10,10086
SED10090,427,72,180,0,0,679,70,18,43,0,0,126,64,20,26,0,0,103,62,24,63,0,0,147,86,21,85,0,0,191,243,65,220,0,3,534,209,65,270,0,0,541,442,143,537,3,0,1118,320,106,385,0,0,805,705,249,517,0,0,1471,1950,378,365,0,8,2699,233,54,91,0,0,378,4808,1211,2773,7,12,8808
SED10091,400,7,0,0,0,412,181,6,0,0,0,186,151,3,0,0,0,152,257,8,0,0,0,267,385,12,0,0,0,398,1081,22,6,0,3,1112,1466,26,7,4,3,1506,2457,29,5,4,7,2507,1481,13,0,3,0,1503,1278,8,4,6,3,1302,731,4,0,0,3,737,503,8,0,4,4,512,10368,144,30,29,32,10599
SED10092,248,23,56,3,0,336,139,10,19,0,0,166,105,7,16,3,0,133,212,34,37,0,0,289,263,30,70,0,0,364,742,76,174,3,0,1002,1062,132,243,3,7,1443,1392,116,248,6,3,1767,652,51,88,0,0,790,510,25,81,0,0,621,255,15,48,0,4,321,213,9,35,0,3,266,5793,539,1129,18,20,7498
SED10093,344,15,19,0,0,372,154,15,5,0,0,170,127,9,6,0,0,150,263,23,4,0,4,292,408,18,10,0,0,444,1337,74,31,0,0,1443,1885,62,30,4,0,1988,2387,34,12,0,0,2436,896,6,0,0,0,908,509,8,0,0,0,518,235,3,0,0,0,241,365,7,7,0,0,388,8921,278,132,11,7,9345
SED19494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
