SA4_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
113,1531,1363,2901,4618,4382,9003,1913,1881,3795,393,342,738,6930,6605,13537,3155,3062,6214,1429,1515,2942,517,522,1033,5102,5096,10196,190,189,383,123,220,339,614,433,1048,491,881,1378,22,20,39,1447,1736,3184,612,1264,1871,254,433,688,102,260,361,449,951,1403,6,8,12,1418,2919,4339,179,124,305,151,313,465,9,11,18,339,445,791,7749,6751,14494,24513,24926,49437
114,1381,1241,2616,4365,4165,8536,689,631,1321,619,639,1258,5675,5433,11114,2648,2576,5220,994,994,1984,649,886,1537,4286,4461,8750,125,145,267,80,173,254,525,306,833,335,677,1009,17,18,31,1079,1318,2403,343,578,919,172,357,533,80,158,241,389,805,1193,4,18,22,988,1919,2904,80,132,207,149,391,538,7,6,15,233,524,759,6431,6099,12528,20083,21002,41081
115,2434,2201,4631,7992,7511,15511,2046,1927,3971,1586,1466,3050,11627,10905,22534,4899,4599,9501,2362,2360,4720,2334,2137,4472,9600,9096,18693,292,294,586,152,368,518,963,373,1339,482,851,1334,8,18,27,1905,1899,3806,3537,3915,7445,602,804,1405,618,546,1165,1008,1362,2371,22,38,61,5785,6671,12453,232,323,554,350,595,943,6,13,18,584,930,1521,4462,4882,9337,36387,36586,72975
116,3389,3071,6455,11973,10964,22933,3544,3523,7064,1823,1647,3473,17336,16132,33465,7269,7101,14362,3779,3542,7321,1426,1462,2885,12466,12098,24567,663,619,1284,495,907,1399,1020,568,1589,901,1616,2518,36,43,87,3115,3755,6877,4066,4486,8556,1229,1513,2740,653,732,1384,1208,1711,2920,44,47,93,7199,8491,15689,649,714,1360,626,1086,1715,22,28,45,1296,1825,3116,10696,9995,20690,55499,55372,110874
117,1486,1366,2851,3989,3767,7755,1207,1224,2438,615,527,1137,5812,5520,11332,2071,2021,4091,1098,1395,2496,918,779,1696,4090,4199,8282,772,853,1626,1124,1514,2637,529,410,937,1268,1577,2843,28,33,61,3723,4381,8101,9070,11905,20978,4373,4433,8808,591,796,1385,2939,3520,6459,49,66,110,17017,20725,37745,1808,2431,4238,1558,2052,3608,25,49,70,3387,4527,7913,18945,16055,34999,54462,56765,111224
118,2330,2109,4442,4518,4379,8898,1759,1785,3552,2488,2331,4823,8769,8499,17266,1382,1389,2770,1754,1772,3530,3185,3177,6362,6320,6338,12656,241,299,541,319,499,817,406,253,656,802,1084,1886,16,16,34,1793,2155,3948,7363,7605,14971,2470,2406,4873,509,542,1051,1726,2592,4311,47,50,97,12114,13182,25297,390,525,918,802,1203,2004,15,20,33,1205,1745,2958,12929,12094,25025,45457,46123,91587
119,4766,4279,9045,15066,13705,28769,5166,5128,10294,2943,3047,5985,23180,21873,45055,10658,10549,21209,5019,4598,9616,2608,2644,5247,18281,17794,36075,1138,1086,2229,1150,1909,3060,1631,658,2297,1605,2390,3996,63,53,110,5588,6100,11693,10468,10736,21197,4431,4007,8435,1097,1136,2232,2151,2657,4804,105,100,207,18244,18638,36877,1448,1776,3226,1425,2438,3859,54,61,120,2924,4278,7199,17872,18196,36071,90866,91148,182012
120,2292,2126,4418,6283,6145,12430,2488,2393,4881,1088,1085,2174,9860,9622,19481,3174,3292,6468,2417,2276,4693,1736,1685,3420,7322,7258,14579,543,493,1034,578,821,1395,479,263,734,817,1217,2036,15,16,32,2427,2804,5227,6197,6711,12916,2688,2754,5442,635,615,1251,1900,2653,4554,44,67,107,11471,12798,24265,733,807,1541,785,1221,2006,17,27,41,1533,2056,3585,9603,9740,19346,44505,46409,90909
121,4064,3766,7831,12110,11623,23730,2536,2321,4862,3202,2862,6062,17843,16810,34653,5350,5396,10741,3187,3031,6216,5714,5219,10936,14253,13646,27896,375,408,781,411,754,1168,640,331,970,1009,1879,2890,9,24,37,2450,3396,5843,6569,7328,13901,1798,2322,4115,877,848,1724,2590,3727,6313,47,54,99,11880,14278,26153,392,542,931,805,1508,2314,9,20,20,1208,2067,3272,9981,10912,20885,61676,64869,126547
122,2774,2488,5264,8620,8292,16917,1749,1614,3363,1566,1424,2991,11935,11330,23271,4125,4192,8316,2542,2201,4742,2250,2082,4331,8917,8471,17387,236,229,470,253,374,629,826,391,1217,733,1150,1886,12,16,26,2068,2156,4223,2539,2867,5407,625,884,1513,466,487,953,1110,1719,2828,17,28,48,4758,5984,10742,206,243,445,525,946,1468,6,12,18,733,1199,1930,6650,7425,14077,37844,39058,76898
123,2665,2495,5161,9587,8921,18507,2053,2080,4133,1448,1355,2806,13094,12352,25445,5868,5832,11693,2501,2328,4831,1168,1170,2333,9533,9325,18861,374,407,787,228,460,688,1224,546,1772,634,1134,1770,24,28,52,2487,2578,5066,2243,2944,5185,695,988,1679,354,470,822,765,1389,2154,22,36,58,4081,5822,9898,252,396,647,327,842,1167,12,13,26,587,1251,1838,7582,8337,15920,40030,42160,82193
124,3221,2936,6153,9697,9197,18893,2683,2723,5410,1553,1496,3048,13938,13413,27351,5634,5767,11404,3144,2948,6095,1624,1504,3126,10411,10218,20630,362,504,868,267,592,862,1495,732,2229,900,1559,2467,24,28,50,3058,3415,6476,2350,2947,5298,787,1104,1886,409,632,1035,1100,2171,3270,27,30,58,4667,6882,11544,237,354,592,379,935,1315,15,24,33,631,1311,1941,9386,9492,18880,45306,47664,92966
125,3873,3562,7439,12889,11852,24745,3953,4028,7981,1615,1570,3186,18463,17454,35910,8383,7927,16307,3436,3531,6967,1702,1429,3127,13515,12892,26408,912,794,1706,998,1555,2553,1035,489,1518,1359,2004,3362,57,41,106,4361,4890,9246,7472,7433,14904,3489,3225,6711,884,858,1738,1840,2279,4116,62,60,121,13751,13853,27602,1239,1330,2568,1116,1871,2984,40,31,72,2391,3233,5625,16885,14992,31874,73238,70873,144108
126,1555,1508,3061,5053,4808,9863,1405,1379,2779,653,536,1189,7112,6719,13832,3041,2924,5965,2002,1482,3484,1039,944,1984,6086,5344,11434,273,328,602,363,539,907,373,153,525,544,947,1483,8,11,26,1565,1980,3546,4858,5045,9900,1706,1782,3496,449,484,930,1040,1331,2367,27,23,53,8087,8663,16749,248,284,535,348,636,980,4,7,12,599,930,1526,3888,4065,7957,28889,29211,58105
127,3276,2960,6241,12465,11475,23936,3897,3969,7861,1981,1939,3921,18344,17382,35724,10274,9702,19976,3680,3772,7449,1708,1857,3563,15655,15331,30989,942,871,1816,750,1372,2125,1357,576,1930,1018,1657,2671,73,63,141,4141,4540,8678,5477,6889,12373,1114,1421,2540,770,887,1657,986,1579,2569,41,48,88,8394,10821,19213,915,1237,2158,791,1586,2372,42,57,95,1753,2876,4631,13859,14120,27978,65425,68026,133446
128,2372,2070,4448,7008,6465,13474,2223,2184,4409,531,492,1023,9772,9135,18907,4521,4336,8855,2075,2089,4163,784,886,1666,7376,7312,14680,211,302,513,121,203,322,1101,396,1496,577,850,1428,16,16,32,2028,1763,3790,2243,2849,5089,471,580,1050,371,480,849,906,1555,2465,21,27,48,4011,5498,9502,121,155,275,315,623,941,3,15,19,441,791,1234,4570,4838,9410,30568,31410,61971
197,0,0,0,3,7,10,0,0,0,0,0,0,4,7,10,4,10,9,0,4,3,0,0,0,3,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,3,3,7,21,33,46,29,62,93
199,32,19,49,85,106,191,8,10,21,14,15,36,107,131,243,63,32,97,5,10,16,10,19,25,75,55,134,15,20,43,17,30,44,29,15,44,31,53,78,5,0,9,97,120,217,110,123,228,64,76,139,10,10,17,31,42,71,0,4,7,209,254,461,26,38,60,37,33,65,0,0,4,60,69,129,2231,1127,3360,2819,1779,4593
