SA4_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
111,520,375,894,1159,1321,2477,41,43,83,9,9,15,97,76,175,59618,53393,113012,3335,3953,7289,1276,30,1311,989,153,1142,1306,396,1698,435,202,641,2006,2111,4120,70797,62068,132863,124,84,211,0,0,0,3,0,4,190,128,317,37,34,66,57,7,67,415,249,664,11,17,31,0,0,0,61,103,164,69,106,178,27,23,46,169,249,424,725,337,1062,1309,838,2153,104,77,185,21,37,60,33,10,44,158,124,285,2343,3603,5942,6703,11232,17936,662,601,1262,81974,78471,160447
112,42,27,72,359,272,631,15,4,23,11,5,12,49,52,106,33315,31358,64682,1985,2434,4423,1113,41,1157,537,58,594,688,313,1003,463,238,703,1632,1630,3265,40219,36435,76654,7,9,18,0,0,0,0,0,0,43,27,75,3,0,3,7,4,6,60,39,102,0,0,0,3,3,6,12,17,28,29,43,69,14,10,17,51,72,124,376,205,584,496,315,809,21,11,33,18,11,24,30,3,34,71,28,99,3382,4110,7500,3777,6262,10042,703,623,1326,48656,47777,96427
113,27,12,39,122,93,216,8,4,13,3,0,8,51,61,116,25915,22210,48127,2096,2017,4109,720,17,740,277,39,320,279,63,338,450,149,600,1727,1541,3267,31674,26203,57881,0,3,3,0,0,0,0,0,0,9,4,13,0,0,0,0,0,0,13,8,21,0,0,0,0,0,0,10,5,14,4,3,10,0,0,4,10,13,30,239,106,343,260,122,390,3,0,6,4,3,6,25,8,30,34,13,44,2146,2033,4178,2175,3863,6040,487,426,917,36781,32671,69453
114,205,155,360,115,99,209,5,4,8,4,7,12,30,41,68,20425,17906,38330,1287,1406,2700,805,13,825,251,18,263,254,64,318,259,108,372,950,850,1799,24588,20666,45257,16,20,38,0,0,0,0,0,0,121,78,199,18,15,32,11,0,13,165,115,279,0,0,0,0,0,0,4,6,11,8,17,26,4,3,6,21,28,45,194,95,292,386,237,619,32,19,49,0,3,0,8,6,14,40,24,64,1635,2315,3948,2429,3855,6281,369,346,719,29453,27445,56899
115,869,736,1606,5551,4692,10239,3,3,9,10,5,17,62,27,84,39663,32627,72291,1629,2483,4115,1424,18,1447,421,31,458,193,22,213,323,193,511,786,740,1524,50932,41585,92512,706,536,1243,3,0,3,0,3,4,867,596,1463,73,137,203,19,7,17,1668,1271,2939,0,0,4,0,0,0,590,474,1072,78,212,289,35,15,49,709,705,1416,386,208,594,2764,2180,4946,303,240,543,34,22,63,18,6,26,350,272,627,3047,4322,7370,3202,5827,9031,436,399,830,60733,54590,115320
116,7259,6891,14152,2619,2787,5402,9,3,14,16,5,25,230,67,293,54085,38483,92564,3266,4436,7701,1464,18,1482,579,41,620,238,50,291,446,208,654,781,950,1732,70994,53934,124928,1988,2329,4313,8,4,8,23,26,46,1666,1242,2905,340,700,1037,114,46,162,4132,4346,8482,3,0,6,0,4,4,246,191,434,86,184,270,17,15,37,347,392,737,540,270,813,5020,5012,10029,638,721,1358,14,19,31,24,8,29,671,750,1416,1437,2457,3892,4118,6700,10820,920,677,1599,83150,69529,152682
117,16633,15345,31974,8506,10533,19043,44,33,78,400,423,818,665,542,1214,26673,18671,45342,1659,2796,4458,373,5,376,1744,345,2087,3547,1384,4935,1000,514,1513,16409,14637,31050,77662,65230,142892,3066,3167,6232,54,32,88,159,178,342,331,253,584,114,181,300,385,251,634,4115,4064,8173,9,15,30,75,95,170,126,174,303,61,173,238,170,179,349,444,639,1083,481,269,748,5037,4977,10009,570,485,1055,53,67,122,35,23,58,662,569,1234,3346,3394,6739,4907,7158,12060,836,686,1522,92445,82018,174465
118,3736,3642,7384,9076,11769,20844,671,397,1065,19,17,36,354,288,644,30285,23963,54256,1619,2995,4609,526,7,534,2025,426,2455,2038,666,2701,531,358,892,4080,5374,9456,54969,49906,104873,3858,4200,8061,68,34,99,6,4,14,283,215,502,108,156,268,127,77,208,4457,4687,9141,47,29,73,35,45,82,204,263,465,88,154,246,154,118,276,535,615,1143,514,316,828,5500,5619,11117,423,363,785,68,59,129,37,21,54,529,437,966,3364,4596,7959,3483,6309,9794,604,576,1172,68442,67441,135879
119,22913,22513,45424,1662,2842,4500,23,14,36,45,53,95,447,121,562,78964,51107,130069,3935,6446,10383,2227,31,2263,889,82,973,576,99,671,890,413,1299,2783,3462,6240,115346,87171,202518,3662,4205,7866,46,28,71,171,162,334,2029,1716,3748,462,866,1327,236,121,355,6603,7092,13697,3,0,4,3,8,10,132,120,252,61,195,255,26,25,48,224,348,565,782,416,1191,7607,7855,15458,765,812,1576,24,17,47,27,9,36,817,849,1664,2831,4445,7280,7005,10714,17718,1634,1134,2775,135242,112165,247411
120,13332,12597,25928,5006,6769,11776,906,762,1668,705,716,1413,243,190,431,35738,27399,63132,1511,3143,4654,714,16,730,1117,171,1281,1533,437,1970,546,324,870,2549,3173,5724,63888,55690,119581,2760,3059,5820,105,76,178,175,134,305,631,480,1117,175,361,542,197,92,287,4046,4205,8255,127,121,248,77,85,161,151,216,365,56,161,218,89,70,154,495,641,1137,553,402,953,5094,5247,10344,538,486,1018,67,67,130,36,19,50,637,566,1205,2807,3786,6594,4060,7094,11155,697,545,1248,77193,72924,150117
121,18183,15744,33926,8940,9470,18412,748,489,1234,31,24,49,332,230,565,45777,38067,83848,1901,4081,5979,523,16,541,1325,137,1457,1349,225,1569,669,426,1098,5333,6081,11412,85110,74984,160092,2830,2779,5608,177,160,340,31,20,52,2116,1464,3585,434,683,1122,309,118,424,5893,5232,11126,184,138,329,0,0,4,244,183,420,84,150,236,107,97,206,621,568,1195,602,397,998,7119,6196,13312,756,627,1378,72,48,116,53,23,76,877,697,1575,6244,7378,13620,5515,10379,15901,646,586,1232,105508,100210,205722
122,164,130,298,7135,7399,14540,1557,1161,2719,8,7,20,156,90,248,38106,32601,70703,1776,2685,4463,952,13,966,1425,183,1610,1045,264,1311,452,250,700,2058,2318,4378,54846,47119,101958,728,669,1394,326,344,675,0,0,0,222,124,340,27,56,76,10,5,12,1311,1187,2500,347,271,614,0,0,0,398,366,764,152,249,399,84,63,145,984,947,1928,869,396,1272,3167,2532,5699,417,340,764,108,81,184,41,16,51,563,437,996,3903,5349,9255,3822,6880,10704,538,527,1068,66843,62839,129685
123,4573,4198,8770,373,562,938,3,3,4,6,8,11,96,35,134,44488,35293,79785,2665,2952,5617,1622,28,1649,414,29,439,147,34,181,303,132,438,694,720,1415,55384,43993,99381,876,871,1746,10,4,16,18,12,26,1531,1247,2779,236,421,657,80,26,109,2744,2587,5329,0,0,0,0,3,3,10,31,43,47,73,125,5,4,14,64,113,180,383,193,580,3197,2893,6082,378,359,738,7,9,16,15,4,21,396,378,781,1304,2501,3799,4019,6499,10516,692,549,1243,64990,56812,121806
124,4449,4248,8701,367,595,962,15,3,16,8,6,17,100,76,179,52522,43922,96440,3161,3457,6616,2398,33,2430,646,60,704,341,60,401,394,211,599,1298,1308,2605,65689,53978,119670,889,849,1739,0,0,4,27,4,35,1428,1304,2727,231,386,611,155,49,198,2727,2593,5314,0,0,0,0,0,0,37,31,72,37,69,104,15,9,26,87,108,195,586,238,822,3394,2936,6336,404,379,780,3,3,6,19,7,28,428,388,813,2255,3640,5895,4906,8552,13458,635,530,1165,77312,70022,147331
125,15157,12230,27387,3191,3944,7132,86,58,144,29,27,59,313,93,407,63594,39281,102873,3455,5179,8628,1609,28,1644,679,62,736,522,121,640,678,317,995,2648,2762,5413,91954,64093,156050,3716,3662,7374,33,15,53,87,69,152,1614,1060,2676,365,645,1006,176,82,259,5989,5530,11517,5,11,15,0,3,3,275,240,520,92,213,304,40,18,57,416,482,898,661,303,965,7057,6321,13381,768,807,1578,21,23,40,27,0,30,820,826,1648,2109,3445,5554,5205,7488,12696,1304,814,2121,108452,82998,191445
126,6385,5914,12298,3428,3835,7261,248,170,418,8,8,15,86,64,148,24351,18869,43217,901,2066,2972,398,11,409,542,48,589,420,58,477,224,152,369,1507,1511,3019,38483,32700,71185,1254,1319,2575,29,13,46,28,29,51,548,344,890,133,280,413,81,40,116,2066,2028,4091,32,12,48,4,0,6,167,174,339,38,120,158,27,16,49,273,331,599,293,201,489,2633,2557,5182,288,236,523,26,20,43,18,8,19,331,257,584,1830,2332,4159,2503,4343,6844,354,281,637,46131,42468,88601
127,5437,5499,10938,1010,1469,2484,10,6,14,11,6,19,126,55,187,61287,42401,103688,3823,5215,9038,2499,37,2543,405,38,445,267,32,305,512,232,744,1308,1575,2885,76709,56570,133282,1287,1476,2763,6,0,6,25,14,41,1977,1482,3463,279,661,939,61,28,85,3626,3665,7292,10,0,10,0,0,0,87,115,201,63,146,209,16,16,36,176,285,456,655,363,1018,4451,4318,8771,501,557,1061,9,10,23,15,5,18,535,574,1107,1622,2961,4584,3984,6385,10365,1207,901,2112,88508,71706,160218
128,6503,6412,12918,239,291,529,8,5,18,5,8,10,60,61,121,37085,30900,67980,1552,2092,3639,1010,12,1025,436,23,459,349,74,419,297,149,447,982,1427,2407,48521,41459,89978,649,609,1259,10,9,26,23,23,41,1522,1321,2841,178,388,571,103,38,145,2492,2391,4884,0,0,0,0,0,4,17,30,47,14,26,41,3,9,15,38,61,106,371,192,564,2900,2646,5547,251,240,492,0,5,5,16,3,21,271,249,519,1948,3141,5084,3814,6681,10496,438,377,814,57892,54544,112434
197,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,14,15,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,50,79,5,3,7,59,72,130
199,152,122,272,78,98,174,8,0,8,4,0,5,4,3,12,914,440,1355,125,98,221,36,0,36,13,4,21,33,6,39,68,34,106,190,164,352,1624,975,2603,57,38,95,0,0,0,0,0,0,11,7,18,0,10,11,4,0,4,79,49,128,0,0,3,0,0,0,0,0,0,3,0,4,0,0,4,8,3,11,19,6,21,101,55,158,15,11,24,0,0,0,0,0,0,18,7,25,60,51,112,190,163,360,46,29,74,2042,1291,3331
