UCL_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
UCL112002,153,765,180,297,10,1702,228,128,760,424,741,58,2336,11,4,45,22,41,3,129,16,8,61,61,327,3,473,18,0,39,35,160,55,309,877,438,2989,1648,5103,307,11366
UCL112003,170,657,167,172,25,1768,321,154,749,340,419,36,2021,58,21,92,45,65,6,288,30,10,83,62,171,3,354,20,4,68,53,111,46,307,1620,582,3177,1634,3014,248,10275
UCL112004,101,387,98,119,18,969,243,79,503,247,236,44,1354,16,10,35,28,32,5,126,14,6,40,47,144,6,258,34,7,65,53,72,23,259,1001,352,2369,1271,2335,260,7579
UCL112005,37,164,51,138,7,433,33,24,181,194,520,30,983,0,0,9,17,34,3,63,0,3,16,45,221,4,286,3,0,13,21,99,25,167,135,98,708,787,3360,185,5265
UCL112006,130,656,183,314,25,1495,427,153,1115,543,852,92,3186,11,4,40,27,95,8,189,19,3,39,67,364,21,515,33,8,48,35,191,67,384,1181,459,3301,1779,5331,451,12498
UCL112007,31,118,21,24,0,215,37,44,110,68,89,8,353,0,0,4,3,19,0,30,0,0,10,19,44,0,77,0,0,8,14,27,8,54,92,92,468,292,826,58,1830
UCL112008,45,234,65,114,8,516,84,46,313,209,475,70,1200,0,0,13,6,35,3,63,3,4,12,28,152,6,204,4,6,21,26,76,32,167,212,146,919,756,2202,246,4486
UCL112009,73,284,102,132,3,693,126,87,422,304,495,34,1474,8,0,12,5,32,0,52,8,0,23,39,228,10,311,8,0,13,28,128,31,209,405,280,1312,1173,3394,229,6786
UCL112010,54,297,68,106,7,597,87,48,344,213,283,28,1011,3,0,11,10,23,0,49,3,0,21,43,198,4,269,10,0,44,27,120,63,272,406,156,1548,923,2741,320,6091
UCL112011,45,148,60,115,0,405,27,36,239,218,574,31,1135,0,0,5,7,20,0,33,0,0,7,39,239,4,293,4,0,13,13,143,33,208,112,119,745,762,3518,168,5425
UCL112012,130,509,131,210,9,1171,221,134,770,414,769,46,2358,6,0,34,10,35,0,86,13,3,52,58,252,6,383,14,4,41,32,113,39,250,615,367,2170,1197,3588,238,8182
UCL112013,12,43,19,22,6,114,12,7,45,32,38,4,136,0,0,0,0,7,0,8,0,0,3,5,23,0,33,4,0,4,4,20,7,32,30,23,166,154,356,28,763
UCL112014,47,303,83,120,17,731,106,66,418,282,521,47,1447,6,0,12,17,31,0,62,19,3,53,44,224,8,347,13,4,29,27,122,38,228,448,195,1295,1013,3104,188,6243
UCL112015,89,272,111,199,10,792,184,108,599,379,805,71,2141,5,0,23,6,52,0,93,5,5,33,72,285,12,406,12,6,43,36,157,53,301,534,301,1739,1463,4506,328,8879
UCL112016,131,731,194,273,29,1580,455,171,1157,540,912,68,3316,3,3,24,16,33,0,84,17,7,73,86,391,12,587,10,7,48,34,165,65,325,1173,492,3596,1984,5444,365,13055
UCL112017,157,853,245,300,28,1883,464,173,1342,599,1151,101,3827,14,3,36,30,65,0,151,24,12,61,102,383,11,588,16,3,55,59,178,75,382,1188,548,3843,2360,5860,446,14239
UCL112018,114,487,169,215,15,1148,262,125,792,423,781,61,2443,0,0,19,10,46,3,85,9,8,35,61,341,21,474,14,0,20,29,163,48,283,661,351,2301,1418,4565,399,9705
UCL112019,210,955,263,398,38,2225,419,226,1366,628,1032,99,3774,8,0,38,21,42,3,107,18,15,93,116,524,13,782,17,6,70,45,273,73,495,1218,661,4201,2268,6896,509,15753
UCL113001,73,284,68,112,11,630,148,57,416,214,392,35,1263,11,6,13,7,24,4,62,3,6,33,41,136,6,231,0,5,26,15,66,22,136,350,200,1340,794,2168,191,5035
UCL113002,39,72,31,45,12,232,47,26,134,98,244,28,578,4,0,10,3,11,0,32,4,4,5,24,93,0,129,3,0,15,4,58,27,106,136,103,453,453,1474,148,2759
UCL113003,49,220,59,118,13,529,91,80,335,224,444,34,1201,0,0,3,10,28,0,47,0,0,8,26,155,10,201,0,0,17,9,68,32,123,217,188,801,644,2370,181,4402
UCL113004,31,155,40,35,9,343,121,31,262,91,68,16,595,5,0,32,16,22,3,89,11,4,32,23,62,9,137,16,4,123,30,51,40,270,448,127,1602,681,986,184,4024
UCL113005,48,182,74,121,12,472,60,52,235,183,442,23,994,3,0,11,4,34,4,54,12,0,12,19,152,6,206,3,0,12,17,81,22,134,156,132,729,594,2286,142,4039
UCL113006,18,76,32,77,5,223,20,24,127,115,281,31,597,0,0,3,0,7,0,13,0,0,8,8,64,0,84,0,0,3,6,41,25,80,46,54,328,290,1133,120,1965
UCL113007,89,332,87,88,7,777,142,72,375,158,158,9,920,0,4,15,11,15,0,51,3,4,19,34,91,0,153,14,4,36,22,50,16,135,537,272,1538,861,1649,116,4972
UCL113008,27,91,27,63,5,244,24,26,130,76,176,23,452,0,0,8,4,23,4,38,0,0,14,11,93,5,122,0,0,9,15,51,15,87,120,86,470,394,1501,102,2672
UCL113009,25,123,41,62,3,289,28,30,156,132,236,14,589,0,0,7,0,13,3,25,0,0,12,13,131,0,158,0,0,14,20,56,19,109,149,100,588,664,1807,90,3389
UCL113010,40,200,37,69,11,402,49,31,164,100,179,19,535,0,0,10,3,18,0,38,4,0,15,28,135,3,180,3,0,11,8,54,17,84,194,103,779,504,1969,129,3673
UCL113011,27,112,25,60,4,259,15,23,85,73,154,16,369,0,0,3,0,11,0,24,0,0,5,16,121,5,149,3,0,8,9,64,17,103,94,76,429,391,1861,113,2971
UCL113012,39,163,61,73,8,409,62,32,181,145,217,29,664,4,5,13,10,25,0,56,3,0,18,30,102,3,161,5,0,19,26,66,12,131,288,141,877,784,1703,150,3936
UCL113013,24,108,50,89,3,312,27,29,132,142,332,15,674,0,0,4,10,19,0,31,7,0,16,24,146,0,192,0,0,9,10,72,26,120,113,72,464,575,2078,138,3442
UCL113014,27,145,47,93,7,352,28,22,131,108,256,12,557,0,0,5,3,21,0,27,4,3,17,22,168,5,217,5,0,10,13,95,28,143,190,96,724,598,2668,143,4412
UCL113015,24,89,41,52,0,240,25,16,138,106,236,26,541,0,0,8,6,11,0,27,0,0,3,15,109,5,128,0,0,8,6,51,9,79,98,64,383,420,1491,105,2556
UCL113016,33,145,52,108,6,383,103,48,301,214,493,58,1219,0,0,0,0,16,3,25,10,0,13,26,148,3,204,5,0,6,17,62,28,124,176,111,645,563,2097,179,3775
UCL113017,56,195,48,77,11,452,53,37,190,118,190,14,605,0,0,8,11,15,0,39,7,0,23,21,112,5,161,0,0,13,24,65,21,116,228,142,809,562,1810,149,3703
UCL113018,4,25,4,4,0,49,3,0,31,34,38,0,108,0,0,0,0,6,0,4,0,0,0,4,21,0,26,0,0,0,0,16,3,24,15,17,90,100,341,31,588
UCL114001,26,107,22,33,0,223,40,19,127,73,131,12,408,0,0,6,4,9,0,18,3,0,6,12,47,4,74,0,4,6,5,16,11,43,109,69,397,250,612,52,1492
UCL114002,10,77,23,58,4,189,17,12,94,60,142,16,336,0,0,4,3,3,0,7,0,0,3,7,56,0,73,0,5,3,3,24,13,52,64,44,270,206,830,69,1481
UCL114003,6,78,33,73,5,205,16,12,78,61,246,24,441,0,0,5,0,13,0,22,5,0,0,13,69,3,94,3,0,0,6,46,19,73,53,33,285,227,1238,110,1947
UCL114004,31,78,31,44,5,217,25,21,82,42,90,4,270,0,0,6,6,8,3,18,4,0,8,8,55,0,71,0,0,4,9,29,11,66,154,75,452,313,878,75,1938
UCL114005,9,61,24,29,3,142,6,13,47,55,115,20,261,0,0,0,6,6,0,13,0,3,3,8,36,6,52,0,0,3,3,35,13,50,31,38,191,194,702,72,1232
UCL114006,21,64,16,32,0,147,10,18,53,51,103,3,240,0,0,0,6,8,0,8,0,0,7,14,54,0,77,0,5,6,8,31,7,51,44,51,225,209,799,43,1378
UCL114007,20,102,32,58,3,241,13,20,91,89,185,25,419,0,0,5,0,3,4,14,0,0,3,5,72,6,92,0,0,0,4,44,13,56,58,56,317,264,1053,136,1890
UCL114008,25,100,21,41,3,200,28,18,101,81,125,20,378,0,0,8,3,3,0,16,0,0,8,12,51,0,76,3,0,10,3,25,17,50,77,70,350,265,851,84,1697
UCL114009,42,190,36,74,7,435,58,50,288,102,124,10,634,0,0,3,5,7,0,12,5,0,11,18,45,4,80,0,0,9,12,28,9,58,255,127,879,377,934,73,2654
UCL114010,14,130,30,59,9,282,14,18,80,64,129,13,317,0,0,0,0,4,0,12,4,0,10,6,89,0,107,3,0,7,6,31,15,52,76,54,374,240,963,86,1794
UCL114011,22,44,19,24,0,127,28,5,57,32,93,9,224,3,0,3,3,4,0,12,3,0,6,6,52,0,67,0,0,3,6,30,11,51,59,33,202,151,591,57,1093
UCL114012,20,113,32,29,0,220,44,35,168,53,26,7,342,4,0,4,0,8,0,19,7,0,7,9,51,0,72,3,0,21,5,28,12,72,377,169,878,553,760,61,2789
UCL114013,27,110,29,76,6,279,14,15,71,71,149,8,335,0,0,0,0,12,0,12,0,0,20,13,106,0,138,0,0,5,9,34,7,56,103,61,416,285,1266,82,2210
UCL114014,30,139,29,42,3,316,43,21,123,70,94,5,364,8,3,9,8,14,0,43,9,4,13,18,91,0,139,3,0,12,14,45,12,84,223,106,661,450,1024,67,2529
UCL114015,26,131,34,67,5,280,27,19,100,72,246,13,462,0,0,0,0,6,4,12,3,0,7,15,110,3,133,0,0,4,3,50,10,72,81,56,415,284,1274,92,2198
UCL114016,33,150,35,72,9,322,12,3,78,43,114,5,261,0,0,0,0,9,0,7,0,0,8,11,64,0,89,3,0,4,11,38,11,70,85,60,430,258,1049,80,1963
UCL114017,39,220,44,59,4,460,103,39,280,87,91,10,597,6,4,18,7,22,4,58,3,3,22,22,55,0,106,11,3,32,15,24,22,96,313,128,1095,477,886,92,2990
UCL114018,35,107,34,35,7,248,46,29,186,90,137,10,506,0,0,10,8,13,0,36,3,0,8,19,56,0,88,3,0,13,8,38,8,69,153,116,623,374,1043,76,2380
UCL114019,20,130,25,37,3,239,26,7,83,45,79,9,253,0,0,3,0,8,0,14,0,0,8,13,69,0,98,4,0,3,7,33,13,64,79,53,443,255,769,86,1690
UCL114020,41,137,44,42,3,348,60,26,187,73,114,14,468,5,0,11,6,5,0,37,6,4,15,22,94,0,140,4,0,7,19,40,7,71,282,111,725,462,1158,79,2817
UCL114021,37,152,29,72,6,336,42,21,162,120,197,25,569,6,0,20,6,23,0,58,4,0,9,15,100,3,133,0,0,15,15,41,17,93,139,93,601,398,1268,107,2600
UCL114022,18,63,17,34,6,148,13,15,74,59,121,11,291,0,0,0,8,0,0,9,0,0,6,13,41,3,63,0,0,5,3,28,10,47,58,49,212,206,651,67,1240
UCL114023,8,85,21,18,6,160,12,7,59,60,112,7,255,5,0,13,0,10,0,26,7,0,8,8,51,6,77,0,0,3,6,29,14,53,79,39,321,195,792,79,1508
UCL114024,31,160,38,63,5,312,29,26,100,66,177,15,412,0,0,0,5,7,0,16,0,0,13,16,104,3,132,0,0,9,9,45,13,69,127,82,527,363,1413,99,2611
UCL114025,29,156,33,50,6,328,53,28,150,93,132,15,473,0,3,14,7,12,0,33,0,0,12,14,58,0,83,0,0,20,16,19,9,69,164,88,645,379,858,51,2187
UCL114026,15,92,44,38,0,246,30,13,68,48,92,11,255,0,0,5,5,13,0,25,0,0,9,16,56,0,78,7,0,7,9,43,0,59,141,47,374,326,802,42,1728
UCL114027,12,57,21,23,3,135,11,6,64,45,86,8,230,0,0,3,6,11,0,21,0,0,6,9,50,0,67,3,0,14,3,29,7,53,82,35,312,250,656,44,1380
UCL114028,9,100,25,38,9,196,17,4,49,37,61,5,181,0,3,0,6,27,0,42,0,4,3,7,50,0,73,0,0,6,0,13,9,35,71,36,332,226,791,74,1521
UCL114029,11,85,38,49,5,229,18,14,73,44,73,9,228,0,0,3,3,9,0,11,0,0,3,8,89,3,108,0,0,9,6,50,7,80,79,48,295,305,1053,53,1836
UCL114030,21,74,18,30,0,152,16,7,71,43,91,3,233,0,0,3,6,6,0,17,0,0,0,9,40,0,46,0,0,0,4,16,7,33,50,40,265,187,644,54,1238
UCL114031,8,60,16,42,0,140,11,13,78,68,179,11,360,0,0,3,0,7,0,12,0,0,6,7,74,4,94,0,0,7,8,42,9,63,48,37,261,275,1113,63,1794
UCL114032,4,52,28,32,0,163,20,15,59,60,89,5,249,0,0,0,3,6,0,8,0,0,0,9,51,0,60,0,0,3,9,42,6,60,73,26,225,252,863,47,1487
UCL114033,25,97,24,37,3,197,11,17,72,66,120,8,294,3,0,7,8,11,0,30,3,0,6,8,57,0,68,0,0,6,0,43,16,67,72,63,358,217,948,66,1718
UCL114034,16,78,40,52,3,194,16,14,97,96,259,16,495,0,0,8,3,9,0,23,4,5,6,17,100,3,133,0,0,4,9,44,10,65,38,52,280,323,1240,80,2007
UCL114035,11,79,25,22,5,160,28,17,81,74,83,13,285,0,0,4,0,0,0,9,4,0,7,15,51,3,82,0,5,5,5,22,8,50,105,53,406,295,582,63,1508
UCL114036,25,83,30,22,0,180,23,13,95,60,80,11,280,0,0,3,3,7,0,15,3,0,0,9,38,6,57,6,3,12,5,15,11,50,101,61,389,248,661,69,1517
UCL114037,20,106,25,34,3,215,21,13,90,52,116,11,303,0,0,11,3,8,0,27,5,0,5,13,59,3,84,4,0,6,4,25,12,47,135,83,465,294,834,59,1872
UCL114038,21,99,33,41,0,225,32,7,94,74,153,14,370,0,0,0,3,6,0,6,4,0,0,12,70,6,91,4,0,3,9,29,16,53,104,43,355,277,957,75,1809
UCL115001,9,17,5,12,5,42,5,0,13,13,29,0,61,0,0,0,6,0,0,3,0,0,0,0,28,0,34,0,0,3,0,9,0,12,9,16,51,52,339,10,472
UCL115002,20,65,25,34,0,166,20,11,72,48,75,3,224,0,0,6,0,11,0,17,0,3,6,12,40,4,65,3,0,3,5,26,6,44,88,40,278,257,716,45,1418
UCL115003,10,69,17,27,0,138,10,3,34,26,37,6,124,0,0,0,0,0,0,3,0,0,3,4,33,0,39,0,0,3,5,24,5,33,36,20,189,160,512,26,941
UCL115004,3,37,12,12,0,76,7,5,37,13,24,3,88,0,0,0,3,3,0,3,0,0,0,4,10,0,12,0,0,8,0,9,0,13,26,19,157,86,187,33,514
UCL115005,0,21,4,8,0,33,3,0,16,13,10,3,45,0,0,0,0,0,0,0,0,0,0,0,9,0,11,0,0,0,3,0,0,8,11,4,45,38,121,15,233
UCL115006,15,38,8,8,3,101,29,23,49,18,19,0,135,0,0,10,0,0,0,21,5,0,6,10,12,0,30,5,0,15,8,6,8,45,85,59,305,130,193,33,800
UCL115007,8,48,9,21,3,108,8,11,34,38,66,7,165,0,0,5,0,3,0,7,0,0,0,0,36,0,40,0,0,0,4,30,0,37,37,28,154,165,585,36,999
UCL115008,4,26,0,6,0,38,3,0,15,3,10,0,36,0,0,0,0,0,0,3,0,0,0,0,11,0,10,0,0,0,0,7,4,10,7,6,54,37,116,13,238
UCL115009,13,27,4,4,4,47,3,3,17,19,35,7,84,0,0,0,0,3,0,3,0,0,0,3,11,0,22,0,0,4,0,7,4,14,9,26,92,89,238,17,475
UCL115010,0,13,6,3,0,24,3,0,12,7,25,0,49,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,4,5,3,5,40,22,85,10,168
UCL115011,5,15,5,14,0,38,7,0,31,17,44,0,105,0,0,0,0,0,0,0,0,0,0,3,15,0,17,0,0,0,0,12,5,12,14,11,69,73,253,10,439
UCL115012,3,3,6,4,0,17,0,0,8,8,22,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,11,5,4,38,37,112,9,199
UCL115013,7,39,7,24,0,100,32,16,94,32,109,14,295,0,0,0,0,0,0,3,6,0,5,10,46,0,60,5,0,9,0,16,6,37,84,37,250,122,526,42,1062
UCL115014,28,66,16,11,0,143,24,18,108,59,60,8,282,5,0,9,0,0,0,20,0,0,4,8,10,0,29,0,0,9,4,9,0,28,100,58,320,167,311,26,984
UCL115015,4,20,12,8,0,44,7,5,16,13,16,0,63,0,0,0,3,3,0,11,0,0,0,4,17,0,18,0,0,5,0,13,10,30,31,24,84,76,209,21,450
UCL115016,11,10,11,12,0,48,0,6,7,10,9,0,40,0,0,0,0,11,0,13,0,0,0,0,10,0,10,0,0,0,3,6,0,11,20,22,61,48,180,7,346
UCL115017,3,33,7,3,0,79,26,4,51,22,22,3,119,0,0,0,7,4,0,15,3,0,6,6,17,0,38,0,0,3,4,7,0,20,90,22,216,126,211,19,682
UCL115018,0,10,8,0,0,20,3,0,5,13,21,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,7,8,4,28,27,87,12,162
UCL115019,23,78,20,20,4,234,61,12,107,51,51,8,281,13,6,23,10,11,0,64,5,0,5,10,23,0,48,0,0,11,4,13,3,43,274,74,505,228,379,35,1489
UCL115020,14,33,9,27,0,90,7,7,32,37,65,8,159,3,0,0,0,8,0,13,0,0,4,6,29,0,40,0,0,0,3,15,0,17,25,23,107,103,498,22,788
UCL115021,7,13,4,12,0,36,0,0,8,13,4,0,31,0,0,0,0,3,0,3,0,0,0,0,6,0,6,0,0,0,0,6,0,15,13,9,51,33,164,12,280
UCL115022,19,78,24,31,0,173,16,12,53,31,71,10,196,0,0,4,0,6,0,6,0,0,4,4,20,0,26,0,0,3,5,13,4,21,51,36,214,156,408,36,895
UCL115023,0,25,0,8,0,50,7,0,11,12,22,0,50,0,0,0,0,0,0,0,0,0,0,0,6,0,11,5,0,0,0,6,3,12,15,6,72,47,164,21,322
UCL115024,3,43,5,15,3,80,0,0,25,11,24,5,68,0,0,3,0,0,0,4,0,0,0,0,9,0,5,4,0,5,4,6,6,11,26,12,108,79,137,22,378
UCL115025,12,31,12,11,0,99,10,6,27,19,27,0,89,0,0,0,0,0,0,7,0,0,0,0,20,0,27,0,0,4,3,8,0,20,54,21,134,102,265,20,588
UCL115026,13,17,8,11,0,55,4,9,14,5,14,0,41,4,0,7,4,0,0,14,0,0,0,0,6,0,12,4,3,0,4,5,0,11,53,33,118,58,153,7,415
UCL115027,11,42,15,20,0,85,6,13,41,33,42,3,130,0,0,0,0,3,0,3,0,0,0,9,54,0,64,0,0,4,0,14,5,27,20,25,152,146,587,20,956
UCL115028,19,68,15,13,0,133,24,22,73,27,47,0,190,0,0,6,0,9,0,16,0,0,3,8,22,0,30,3,0,7,6,10,7,32,75,50,263,118,280,16,805
UCL115029,0,34,8,6,0,56,15,6,40,12,13,0,93,4,0,6,0,3,0,8,0,0,0,4,10,0,17,0,0,9,0,7,0,22,56,16,196,83,177,16,543
UCL115030,3,13,5,10,0,30,0,0,5,6,16,0,31,0,0,0,0,3,0,3,0,0,0,0,8,0,7,0,0,0,0,3,5,4,4,7,23,33,117,15,199
UCL115031,10,35,11,10,0,86,21,11,51,23,30,5,140,3,0,6,0,0,0,10,5,0,7,8,18,5,38,8,0,5,0,8,8,26,91,43,207,111,279,29,761
UCL115032,6,33,12,17,0,101,25,3,36,21,27,0,115,0,0,3,8,3,6,18,0,0,4,0,13,0,23,6,0,4,5,9,0,28,104,31,207,120,242,13,717
UCL115033,7,68,25,24,4,157,17,19,55,24,37,5,154,6,0,5,6,6,0,19,4,0,12,10,47,0,79,0,0,6,7,17,3,33,225,82,381,341,555,40,1621
UCL115034,4,18,6,11,0,57,3,6,19,18,33,5,85,0,0,5,0,0,0,3,0,0,0,3,21,4,31,0,0,0,4,26,8,32,21,18,62,82,341,26,553
UCL115035,16,111,30,45,0,235,25,14,85,61,93,11,289,0,0,0,6,8,0,11,5,0,4,11,41,0,63,0,0,3,3,13,0,25,87,46,306,249,688,26,1399
UCL115036,14,29,14,19,0,93,11,16,57,35,47,3,170,0,0,3,0,0,0,8,0,0,4,6,19,0,32,0,0,0,4,13,6,22,59,44,187,148,400,22,864
UCL115037,16,33,7,9,0,79,11,4,30,18,16,0,82,3,0,0,0,0,0,9,0,0,0,3,7,0,16,0,0,0,0,3,0,9,47,31,121,82,169,7,458
UCL115038,3,15,3,7,0,32,3,0,33,17,28,0,83,0,0,0,0,0,0,0,0,0,4,5,14,0,17,0,0,0,0,9,0,12,12,6,74,41,173,15,326
UCL115039,0,52,13,10,0,99,8,0,34,10,22,0,75,0,0,0,0,0,0,0,0,0,5,4,29,0,46,0,0,0,0,21,3,26,36,17,182,110,519,45,909
UCL115040,9,30,13,13,0,63,4,5,18,18,26,7,78,0,0,5,0,0,0,3,4,0,0,7,37,0,48,0,0,0,4,15,0,21,23,17,86,91,319,16,555
UCL115041,9,41,12,18,3,96,7,0,20,11,29,5,85,0,0,0,0,3,0,3,0,0,0,7,17,0,30,5,0,3,6,18,6,36,32,16,109,70,291,41,566
UCL115042,6,31,8,12,0,77,3,3,34,21,39,0,101,0,0,0,0,0,0,0,3,0,0,3,7,0,12,0,0,0,0,13,5,15,32,23,109,70,229,19,494
UCL115043,9,29,13,16,0,78,8,0,34,19,33,0,102,0,0,3,0,0,0,10,3,0,7,5,13,4,20,0,0,0,0,7,4,12,27,8,98,74,254,20,480
UCL115044,5,41,7,24,3,90,0,4,28,17,39,3,95,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,3,0,12,4,19,22,11,105,60,226,24,448
UCL115045,0,11,6,6,0,27,0,0,17,13,33,5,69,0,0,0,0,0,0,0,0,0,0,0,12,0,17,0,0,4,0,10,0,12,3,9,32,35,136,14,228
UCL115046,9,31,8,12,0,68,7,4,38,21,32,8,100,0,0,3,0,0,0,3,0,0,0,6,13,0,19,0,0,0,4,4,9,15,27,20,121,89,231,38,528
UCL115047,10,22,6,10,0,57,4,0,26,25,52,0,106,0,0,0,0,0,0,4,0,0,0,5,27,0,36,0,0,0,0,7,0,10,16,15,80,79,270,19,481
UCL115048,22,46,21,21,5,127,15,12,55,37,60,9,185,0,0,0,0,6,0,12,0,0,3,4,19,0,33,0,0,5,0,19,0,28,69,48,190,166,474,18,960
UCL115049,3,18,5,10,0,36,0,3,11,12,22,10,53,0,0,0,0,0,0,0,0,0,0,0,10,0,13,0,0,0,0,8,0,9,12,3,50,39,138,10,249
UCL115050,3,60,13,21,0,116,18,15,66,36,32,0,170,0,0,0,3,0,0,6,0,0,9,6,31,0,38,0,0,6,3,14,3,25,50,31,233,124,297,26,763
UCL115051,5,25,11,7,0,55,4,9,42,22,46,0,121,0,0,5,6,7,0,18,0,0,0,0,17,0,15,0,0,5,3,7,0,19,28,20,127,75,224,13,480
UCL115052,0,24,0,13,0,48,3,0,0,13,28,0,49,0,0,0,0,3,0,0,0,0,0,0,19,3,24,0,0,0,0,8,6,12,18,6,49,60,290,23,445
UCL115053,8,5,9,9,0,31,3,3,18,9,15,0,51,0,0,0,3,6,0,8,0,0,0,4,10,0,13,0,0,0,0,6,5,11,12,16,46,31,118,13,233
UCL115054,3,15,7,10,0,51,0,3,17,12,13,0,41,0,0,0,0,0,0,0,0,0,4,0,17,0,24,0,0,0,3,14,0,16,19,17,68,71,185,10,363
UCL115055,7,25,8,15,0,71,0,0,20,20,48,9,91,0,0,4,0,0,0,0,0,0,4,0,35,0,37,0,0,0,4,6,0,10,18,14,81,74,326,23,533
UCL115056,13,15,11,13,4,63,4,4,31,21,58,3,123,0,0,3,0,3,0,11,0,0,0,8,38,0,42,0,0,0,5,21,4,29,24,17,112,109,395,31,689
UCL115057,3,83,25,25,0,146,12,10,42,27,55,6,150,0,0,0,0,10,0,10,0,0,0,0,16,0,21,0,0,3,0,8,0,16,38,21,196,109,344,27,746
UCL115058,8,21,0,10,0,39,0,0,8,16,21,0,49,0,0,4,0,0,0,4,0,0,0,3,10,0,18,0,0,0,4,3,3,10,19,14,67,54,158,18,323
