UCL_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
UCL112002,29,86,67,40,158,128,35,100,3,645,24,71,43,29,92,95,37,63,98,558,775,2323,1905,1312,3863,3183,1072,2145,228,16804
UCL112003,91,92,41,30,66,79,15,33,5,444,50,79,45,23,49,80,16,48,59,443,1544,2365,1697,1039,2309,2228,664,1257,131,13231
UCL112004,20,67,44,31,57,73,20,34,0,351,29,57,40,25,55,66,23,62,48,395,540,1843,1369,799,1660,1914,622,1346,142,10240
UCL112005,34,65,40,33,88,80,21,26,5,382,20,35,28,23,62,56,16,29,81,360,725,1355,969,701,1704,1575,458,893,164,8542
UCL112006,19,96,71,53,183,147,47,79,7,703,30,65,42,24,137,112,29,71,171,687,750,2167,1806,1332,4645,3892,1154,2320,353,18426
UCL112007,4,25,17,13,20,12,9,14,5,114,8,20,5,8,14,16,5,7,20,104,192,479,343,246,500,531,163,365,55,2873
UCL112008,9,52,38,35,51,43,12,32,0,274,19,46,28,14,38,29,12,16,78,283,339,1266,1015,672,1278,1088,324,585,175,6745
UCL112009,17,46,50,36,106,96,18,55,4,431,18,42,25,22,74,74,17,49,91,402,521,1347,1202,796,2534,2013,613,1337,202,10564
UCL112010,11,44,42,24,85,88,28,43,6,363,16,52,45,32,190,93,18,42,117,616,302,1232,1021,833,2916,2069,671,1178,233,10459
UCL112011,24,57,46,33,99,73,22,39,5,397,21,33,19,24,98,91,16,41,57,411,571,1132,1039,728,1991,1723,506,893,134,8714
UCL112012,19,78,61,37,149,120,27,46,6,541,26,74,38,43,88,82,8,26,73,449,530,1867,1724,1275,2898,2157,606,1011,205,12278
UCL112013,4,8,0,3,5,4,4,4,0,42,4,5,3,3,16,17,4,4,3,56,60,144,91,81,247,261,66,165,16,1128
UCL112014,50,84,51,32,85,84,19,36,3,440,24,44,33,27,72,48,14,37,84,381,726,1413,1099,754,1822,1685,463,901,159,9017
UCL112015,26,104,57,35,128,82,20,51,4,513,27,52,37,25,114,92,26,30,121,525,692,2127,1618,1105,2949,2464,669,1155,245,13026
UCL112016,34,90,99,43,151,151,56,121,5,761,21,64,46,19,123,109,23,58,128,599,802,2475,1977,1294,4131,3637,1331,2781,271,18698
UCL112017,33,140,90,69,159,144,38,63,11,753,27,108,42,41,107,97,15,46,132,614,955,3577,2481,1982,4152,3706,1018,1941,290,20108
UCL112018,25,77,82,52,179,130,39,64,6,649,33,51,40,32,110,96,22,57,117,557,640,1966,1655,1229,3617,3327,919,1729,259,15329
UCL112019,31,135,119,90,248,242,64,127,10,1067,27,92,75,49,192,173,39,84,165,895,915,3186,2614,1853,5681,4740,1503,2755,346,23590
UCL113001,16,52,37,28,67,45,15,29,4,294,10,36,24,20,36,49,10,8,60,253,394,1265,1049,748,1484,1178,348,665,145,7279
UCL113002,10,21,19,26,38,44,10,20,0,186,7,30,17,15,30,35,4,10,45,194,249,775,584,415,908,699,190,394,98,4320
UCL113003,7,56,25,17,70,54,12,40,0,284,16,26,12,13,30,42,3,28,72,241,402,966,692,498,1544,1348,370,1114,165,7100
UCL113004,13,50,39,20,16,28,0,13,0,177,7,54,57,20,68,53,11,26,65,357,324,1354,841,524,722,826,165,412,132,5300
UCL113005,7,38,26,21,70,55,15,25,4,259,7,34,25,10,54,45,12,15,77,277,287,969,789,614,1539,1033,334,641,145,6345
UCL113006,4,14,12,9,37,11,8,19,3,116,3,16,11,3,27,28,4,8,42,131,175,503,441,324,729,523,125,299,98,3222
UCL113007,21,38,29,20,26,31,10,14,0,184,11,19,22,15,32,30,4,14,30,186,515,1104,786,459,1164,1229,378,665,70,6370
UCL113008,10,38,19,10,30,29,13,14,6,170,9,19,15,9,31,26,8,17,39,173,308,622,504,321,913,820,229,387,88,4188
UCL113009,12,34,17,18,49,46,17,14,4,210,12,22,10,18,24,26,8,27,33,171,314,726,532,371,1070,1051,291,502,76,4940
UCL113010,7,43,27,13,52,40,12,44,4,240,4,27,12,5,19,27,6,21,42,160,293,727,613,391,953,1024,392,932,98,5436
UCL113011,8,31,24,11,45,47,21,33,0,220,10,19,4,9,29,27,8,21,53,184,225,634,495,298,930,883,377,821,101,4759
UCL113012,15,32,29,16,38,40,10,9,5,204,6,43,20,13,31,26,6,19,49,222,465,1134,782,454,1045,964,295,544,101,5784
UCL113013,22,36,30,21,69,52,20,25,3,270,9,27,19,16,68,40,16,25,76,301,383,803,693,445,1350,1046,345,546,144,5755
UCL113014,12,30,47,20,61,73,19,45,4,310,13,26,14,14,44,51,18,36,58,275,371,904,739,403,1191,1211,545,1277,117,6766
UCL113015,14,23,24,12,48,38,9,12,0,173,16,15,8,11,27,22,6,10,32,153,280,609,537,349,868,679,165,349,86,3918
UCL113016,3,45,32,25,68,59,17,21,0,272,11,27,23,17,39,42,5,9,57,230,287,959,864,657,1301,1047,274,557,139,6080
UCL113017,10,42,30,17,26,40,13,14,3,206,20,36,4,14,16,25,4,12,59,190,330,1153,811,484,945,880,220,489,121,5439
UCL113018,3,8,8,0,3,6,10,3,0,36,9,0,0,5,7,3,0,5,11,42,59,144,92,84,180,192,43,124,17,940
UCL114001,5,5,13,9,22,18,5,8,0,89,0,11,9,4,13,9,0,7,16,70,135,363,301,224,422,326,80,211,30,2083
UCL114002,5,12,16,11,18,17,0,8,0,91,12,12,10,4,16,12,4,3,15,83,120,413,332,211,409,328,107,215,46,2175
UCL114003,8,4,9,14,52,26,7,16,3,138,12,14,13,10,54,36,3,15,26,183,187,418,436,426,868,550,145,327,88,3448
UCL114004,7,10,6,6,20,28,3,17,0,99,5,12,5,3,18,18,5,21,26,103,117,375,309,245,663,545,156,409,56,2875
UCL114005,0,8,13,5,5,26,3,4,4,71,0,8,11,8,13,12,5,6,34,90,90,267,241,159,398,377,121,226,62,1931
UCL114006,3,9,15,9,12,25,7,15,0,96,8,8,6,0,20,25,9,6,16,103,135,331,276,190,427,552,113,242,33,2301
UCL114007,5,16,16,9,33,25,6,20,0,136,3,14,16,12,22,27,6,16,22,144,124,464,389,281,703,594,174,392,55,3178
UCL114008,4,15,17,4,23,22,12,11,0,114,7,10,11,6,25,20,10,3,30,121,117,390,315,215,605,492,187,331,64,2716
UCL114009,7,12,11,17,25,25,4,13,0,113,3,8,7,6,15,31,0,13,18,108,184,587,362,248,854,767,219,398,50,3672
UCL114010,3,10,15,9,25,44,10,19,4,141,3,15,4,5,28,18,9,13,26,125,103,367,304,245,621,575,194,421,63,2900
UCL114011,4,12,19,4,26,22,6,14,0,104,5,10,11,6,17,11,0,8,22,95,92,294,240,150,358,292,64,205,39,1738
UCL114012,8,3,11,5,27,27,3,12,0,93,6,4,3,3,17,25,8,7,15,99,222,240,271,215,930,954,290,462,41,3621
UCL114013,9,26,10,7,46,41,12,28,0,186,8,7,12,4,21,13,9,19,30,119,162,416,347,259,668,568,287,768,64,3543
UCL114014,51,33,9,4,28,32,5,10,4,182,17,11,12,6,16,23,5,12,15,109,373,492,379,253,622,710,172,334,27,3362
UCL114015,4,18,24,14,51,30,13,14,0,173,6,21,15,11,29,27,4,9,27,158,139,506,378,339,945,643,221,355,79,3614
UCL114016,0,20,14,10,10,32,12,29,0,133,8,14,13,10,26,26,13,13,29,153,112,396,341,215,693,778,251,424,54,3274
UCL114017,7,26,28,7,22,17,0,9,0,121,4,18,21,7,23,27,4,14,20,136,219,730,579,392,624,734,181,412,47,3913
UCL114018,3,23,9,16,20,18,3,9,0,112,4,17,13,0,19,15,7,8,16,115,166,613,484,319,643,605,159,344,52,3383
UCL114019,4,18,12,6,33,32,7,19,0,131,13,15,13,4,24,13,7,26,29,150,115,263,281,196,567,588,206,527,72,2807
UCL114020,10,30,22,14,25,36,9,19,0,170,3,13,10,3,24,32,7,12,24,136,239,648,472,327,826,760,226,494,66,4066
UCL114021,11,27,24,7,31,23,16,30,4,181,5,33,23,6,29,21,3,11,30,161,174,712,589,407,764,599,177,417,77,3911
UCL114022,0,14,12,5,19,13,10,4,0,80,8,17,8,5,12,3,0,4,32,96,101,403,287,212,399,260,68,141,60,1929
UCL114023,0,8,13,3,27,28,5,22,4,114,5,13,9,7,26,27,6,19,21,122,100,264,237,173,569,454,186,439,65,2482
UCL114024,9,21,21,8,45,40,13,26,0,183,5,26,9,12,29,22,3,17,27,159,165,521,438,341,932,768,315,688,56,4233
UCL114025,5,23,13,11,19,12,3,9,0,102,5,22,16,8,15,14,0,12,24,115,158,543,446,315,515,529,131,323,48,3010
UCL114026,23,20,8,7,18,23,0,10,0,107,8,16,7,7,17,15,3,11,21,105,278,343,238,145,529,513,134,267,49,2493
UCL114027,5,17,14,5,10,24,0,8,0,86,3,14,4,5,14,9,6,6,8,70,160,441,269,157,369,345,97,175,23,2043
UCL114028,0,13,16,7,20,15,8,15,0,91,5,9,4,0,13,12,8,5,20,76,96,318,235,146,567,436,188,380,32,2400
UCL114029,29,19,8,6,24,33,12,17,0,141,18,16,6,0,18,29,12,19,18,135,321,370,257,165,533,603,164,355,48,2823
UCL114030,0,18,11,4,8,11,4,4,0,62,3,8,6,0,10,11,4,0,15,66,122,354,236,153,348,305,78,166,33,1797
UCL114031,25,11,14,7,19,19,7,12,0,118,7,11,12,3,20,14,5,10,21,100,279,368,375,213,564,488,132,262,31,2712
UCL114032,15,13,5,0,14,19,10,11,5,86,7,8,8,9,19,23,7,11,12,106,236,275,260,146,488,433,124,265,33,2271
UCL114033,5,7,10,5,22,17,8,16,0,86,3,20,7,7,21,15,7,17,23,119,117,418,322,229,611,467,165,414,52,2801
UCL114034,11,19,19,10,42,44,10,14,0,179,0,18,8,10,30,15,8,11,24,115,138,458,375,321,731,544,142,302,48,3068
UCL114035,6,27,15,8,27,15,0,8,0,105,4,14,8,4,15,14,0,12,28,99,97,353,355,225,529,396,111,232,58,2368
UCL114036,6,8,18,3,14,18,13,11,4,81,8,10,3,3,11,7,5,11,23,90,129,402,318,225,397,365,98,233,46,2217
UCL114037,4,13,15,12,23,28,8,5,0,105,0,6,3,5,15,18,0,6,17,83,116,369,310,193,592,584,169,328,48,2706
UCL114038,7,19,20,4,43,22,7,12,0,136,8,20,4,6,32,27,10,10,36,143,135,445,348,240,662,576,193,340,70,3018
UCL115001,0,3,0,0,12,12,3,5,0,44,0,5,0,0,0,4,4,3,9,27,49,102,90,64,178,151,56,142,19,843
UCL115002,7,24,11,9,12,9,0,10,0,79,6,3,7,6,16,11,3,6,12,69,173,361,252,157,355,374,112,190,24,1995
UCL115003,14,5,4,0,5,19,0,6,0,52,4,3,3,0,15,11,3,3,12,62,170,176,123,88,277,285,74,192,18,1405
UCL115004,0,6,4,0,10,0,0,0,0,16,0,5,0,0,4,0,0,3,6,31,29,146,100,77,160,131,27,65,20,753
UCL115005,0,0,0,0,4,10,3,0,0,16,0,3,0,0,0,0,0,9,0,15,14,52,44,40,80,80,38,69,8,437
UCL115006,0,3,10,9,4,10,0,0,0,33,4,19,14,6,4,13,4,0,6,63,49,221,166,112,137,194,42,111,18,1055
UCL115007,8,6,11,0,13,14,5,4,0,57,5,3,8,0,16,9,0,8,12,63,144,234,162,97,303,311,82,185,21,1538
UCL115008,0,0,0,0,0,4,0,6,0,15,0,3,3,3,7,0,3,3,8,30,28,75,46,31,64,79,20,55,7,404
UCL115009,3,3,7,3,3,8,6,3,3,32,0,3,3,4,3,4,3,0,8,22,47,128,99,61,137,150,54,103,18,795
UCL115010,0,0,0,0,0,3,0,4,0,9,0,3,0,0,3,10,0,0,0,17,12,50,38,17,56,70,8,33,3,288
UCL115011,4,3,4,0,10,0,0,0,0,29,0,4,0,0,4,5,0,0,5,20,39,99,81,60,136,123,34,62,5,642
UCL115012,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,4,0,0,7,22,21,45,38,42,89,72,12,52,9,379
UCL115013,7,13,8,0,14,25,0,12,0,83,4,7,3,8,5,3,0,3,16,61,89,289,253,164,356,322,90,136,40,1740
UCL115014,0,6,0,6,5,8,0,3,0,34,0,9,5,6,9,5,0,3,4,43,60,291,234,140,230,171,56,96,17,1303
UCL115015,4,6,3,0,6,0,0,0,0,17,4,7,4,4,10,3,0,0,10,44,40,132,105,64,123,76,21,52,21,638
UCL115016,0,5,3,0,0,3,0,0,0,11,0,0,4,0,0,10,0,0,3,18,30,63,77,37,93,103,22,59,3,494
UCL115017,0,10,9,0,12,5,0,9,0,40,0,15,0,0,0,5,0,4,0,32,42,174,115,64,142,162,50,122,4,883
UCL115018,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,10,11,46,58,27,67,48,7,23,9,287
UCL115019,9,7,4,3,8,9,0,0,0,51,8,7,9,0,13,6,0,3,16,61,262,317,253,160,298,298,66,189,29,1870
UCL115020,4,8,10,6,19,13,0,7,0,56,0,6,8,0,6,11,3,7,13,48,62,160,159,87,292,229,87,202,20,1294
UCL115021,0,0,0,0,0,3,0,0,0,10,0,0,0,0,3,3,4,7,0,27,20,64,55,42,87,85,42,95,12,500
UCL115022,3,12,6,5,6,8,3,3,0,38,0,4,4,4,7,7,0,6,0,35,70,214,154,129,255,236,73,119,9,1262
UCL115023,0,4,7,0,3,0,0,0,0,15,0,4,5,0,8,7,0,3,10,28,27,67,65,38,74,109,24,71,17,495
UCL115024,0,0,0,0,4,3,3,0,0,13,0,5,0,0,12,0,4,0,10,32,25,51,32,41,148,141,36,100,20,602
UCL115025,3,6,0,4,9,4,0,6,0,29,0,5,0,3,4,4,0,3,6,28,88,112,74,53,175,170,42,86,12,816
UCL115026,0,0,0,0,0,0,0,0,0,11,0,0,3,0,0,6,0,3,8,20,29,84,72,58,77,108,45,99,20,600
UCL115027,4,7,0,7,22,17,11,12,0,82,4,5,0,0,16,10,3,3,14,59,85,174,133,94,270,280,127,237,21,1425
UCL115028,0,9,6,3,10,4,0,7,0,35,4,10,4,3,9,11,0,0,7,43,58,197,141,99,192,210,49,99,19,1063
UCL115029,0,9,6,3,0,8,0,3,0,24,7,8,4,3,5,5,0,4,0,36,41,162,131,79,116,127,28,71,14,768
UCL115030,0,3,0,0,0,0,0,3,0,10,4,0,0,4,0,7,0,0,10,21,24,78,44,28,58,62,12,46,11,380
UCL115031,6,10,0,5,8,8,4,5,0,42,8,9,6,0,0,8,4,3,9,48,78,195,157,79,141,184,60,120,16,1035
UCL115032,6,0,6,0,6,3,0,0,0,28,4,6,0,0,3,10,0,3,0,40,121,162,114,60,129,190,47,87,8,913
UCL115033,0,21,9,5,21,18,8,22,0,107,0,4,0,4,12,14,8,7,11,59,102,234,222,136,466,528,176,324,25,2219
UCL115034,10,0,0,0,7,0,0,10,0,40,3,4,4,3,8,8,3,5,13,46,92,120,84,82,172,192,41,99,22,899
UCL115035,0,10,8,3,21,19,4,12,0,86,0,0,3,3,16,10,7,0,8,53,85,235,195,148,478,401,149,287,18,2002
UCL115036,4,3,10,0,4,7,0,4,0,34,0,3,4,0,6,7,0,0,9,39,73,224,127,109,229,225,71,132,20,1213
UCL115037,0,3,4,4,0,9,0,3,0,17,0,0,0,0,0,0,0,0,0,7,33,106,88,51,93,132,34,69,0,609
UCL115038,0,4,5,0,5,0,0,7,0,22,0,5,0,4,5,3,0,0,5,33,19,87,74,54,81,105,25,82,9,529
UCL115039,3,6,3,4,5,13,4,15,0,52,5,5,4,0,9,9,3,13,11,54,89,139,139,76,192,245,121,444,32,1486
UCL115040,0,12,4,3,10,10,0,11,0,54,6,0,3,3,8,3,0,0,0,32,48,128,102,58,145,169,57,79,5,799
UCL115041,0,5,3,7,3,17,0,6,0,45,3,13,9,11,10,10,5,4,8,69,35,121,107,93,146,200,68,165,24,955
UCL115042,0,0,4,3,4,10,0,0,0,22,0,0,6,0,4,4,0,4,10,29,26,87,80,66,192,142,37,95,11,747
UCL115043,0,0,0,0,10,9,0,0,0,21,4,4,0,3,6,0,0,3,5,35,24,134,101,79,169,113,37,90,22,767
UCL115044,5,6,0,4,5,8,0,3,0,24,3,12,6,3,10,9,0,0,13,47,38,95,73,87,156,161,46,90,24,768
UCL115045,5,0,0,0,5,0,0,3,0,16,0,3,4,0,0,4,0,3,3,16,28,61,41,45,88,62,24,33,10,392
UCL115046,0,0,8,0,7,4,0,8,0,23,6,7,8,8,6,7,0,3,3,33,33,103,115,83,174,151,31,80,9,784
UCL115047,0,3,3,4,14,11,0,0,0,47,0,0,0,0,4,10,3,0,4,23,40,131,101,54,177,175,41,94,12,825
UCL115048,0,7,6,5,7,9,4,7,0,38,4,10,3,3,7,5,0,4,5,51,106,219,172,135,249,253,70,139,25,1376
UCL115049,3,5,0,0,3,6,4,3,0,21,0,0,0,0,3,4,0,3,3,16,29,50,47,29,79,70,33,44,6,396
UCL115050,3,11,6,4,9,12,6,4,0,52,0,6,0,0,7,7,0,4,8,39,60,171,133,106,196,183,45,133,22,1055
UCL115051,0,3,3,0,10,5,0,0,0,25,0,3,9,5,6,6,0,3,7,30,22,130,112,65,123,128,29,52,29,690
UCL115052,0,3,5,5,3,4,0,3,0,26,4,5,0,4,0,3,4,0,3,21,40,95,85,45,114,138,56,104,7,686
UCL115053,0,0,0,0,3,4,0,5,0,21,3,3,0,0,0,4,0,0,7,17,17,72,54,42,59,45,13,46,7,357
UCL115054,12,0,5,0,0,0,5,4,0,27,3,3,0,5,6,8,0,0,4,26,60,66,63,42,107,101,31,64,18,547
UCL115055,0,9,12,4,10,15,0,4,0,54,4,9,0,4,9,0,6,5,4,31,43,142,109,93,169,147,34,87,19,848
UCL115056,7,8,3,4,12,8,0,8,0,56,3,8,13,5,9,9,3,7,14,67,70,192,180,88,214,150,46,147,40,1127
UCL115057,4,0,3,0,3,3,0,0,0,24,0,4,3,6,0,7,6,9,3,39,58,183,128,130,222,175,48,120,22,1098
UCL115058,3,6,4,0,3,0,0,0,0,20,0,3,4,0,0,4,0,4,3,17,52,108,82,41,81,76,25,27,5,506
UCL115059,0,0,0,4,3,3,7,4,0,22,5,5,0,0,0,8,4,0,12,33,26,122,62,58,113,111,48,95,23,665
UCL115060,0,9,14,5,9,18,4,5,0,65,5,4,4,5,13,6,4,4,19,68,48,137,119,94,346,341,154,248,45,1523
UCL115061,0,0,0,0,0,0,4,0,0,10,0,0,0,0,6,0,0,0,7,16,14,52,55,38,111,66,20,27,10,397
UCL115062,4,0,9,0,5,11,0,5,0,47,4,5,0,0,4,10,0,6,3,33,70,95,87,53,119,139,46,88,12,706
UCL115063,5,6,3,0,4,4,0,3,0,20,0,3,0,0,0,5,0,9,3,22,55,97,62,34,103,133,28,88,5,603
UCL115064,3,12,7,4,14,12,4,7,0,54,0,11,0,7,4,8,3,11,10,49,156,387,255,163,350,404,116,232,21,2083
UCL115065,0,3,0,4,5,10,0,7,0,40,0,7,5,4,10,8,0,3,12,45,53,128,88,82,166,168,33,111,22,856
UCL115066,18,13,14,0,14,18,4,16,4,93,9,4,3,0,4,12,0,8,13,56,145,196,140,84,256,261,74,141,43,1326
UCL115067,3,8,8,0,8,6,5,4,0,41,0,4,8,0,6,5,0,3,18,50,41,128,123,81,164,143,38,84,37,840
UCL115068,0,0,0,0,0,0,0,0,0,8,5,0,0,6,0,3,0,5,0,24,35,61,75,43,94,76,19,47,13,459
UCL115069,0,3,5,0,0,5,0,5,0,18,0,5,5,0,7,9,0,0,5,32,33,104,100,46,105,153,52,91,11,691
UCL115070,11,11,12,7,24,19,5,15,0,95,6,0,5,4,15,19,0,13,5,63,119,197,190,124,327,296,86,261,32,1632
UCL115071,0,7,0,0,9,7,0,3,0,42,0,10,0,5,7,3,0,3,8,31,43,119,85,59,153,148,61,156,21,835
UCL115072,0,4,0,0,4,8,0,0,0,24,0,7,0,0,0,0,0,0,9,21,41,126,105,76,135,125,28,88,11,730
UCL115073,0,7,6,5,6,4,0,3,0,28,0,5,4,8,3,7,0,7,3,34,49,127,105,73,169,128,54,87,13,813
UCL115074,0,5,6,4,6,4,0,0,0,26,5,3,3,4,3,0,5,6,10,32,35,111,85,63,206,139,34,85,19,775
UCL115075,0,0,0,0,0,4,0,0,0,11,0,3,0,0,3,0,0,3,0,16,17,61,48,33,60,64,13,35,10,336
UCL115076,0,7,5,0,3,11,0,4,0,29,0,5,0,0,3,6,0,9,5,36,27,83,72,63,129,131,36,93,19,656
UCL115077,0,3,3,3,3,6,0,4,0,27,4,6,0,3,7,8,0,0,8,32,50,162,118,76,155,120,35,88,18,829
UCL115078,0,3,0,0,4,0,0,0,0,11,3,6,3,0,7,3,4,0,4,34,35,79,63,39,87,72,21,41,19,455
UCL115079,0,3,0,0,4,9,0,10,4,36,6,9,3,3,9,7,4,6,14,60,38,140,86,88,167,171,44,174,30,931
UCL115080,0,10,10,9,18,18,6,3,0,68,0,0,8,3,9,9,0,10,25,67,66,137,127,106,245,228,82,134,35,1162
UCL115081,0,0,0,4,0,3,0,3,0,18,0,3,0,0,3,8,3,9,4,37,17,55,51,25,98,105,57,127,12,556
UCL115082,0,0,0,0,3,0,0,0,0,9,4,0,0,0,4,0,0,0,6,19,30,71,52,47,80,71,23,54,13,438
UCL115083,0,10,0,0,10,8,0,4,0,37,3,6,7,5,13,12,3,6,0,56,64,171,139,84,210,225,60,136,14,1111
UCL115084,0,8,6,0,0,4,0,0,0,10,7,3,0,0,9,5,0,4,4,23,22,96,71,36,69,73,19,56,8,451
UCL115085,5,0,0,0,5,3,4,3,0,19,0,3,0,0,0,0,0,0,0,10,59,98,67,44,98,113,32,72,5,585
UCL115086,3,7,4,0,7,0,0,10,0,46,0,11,7,9,6,6,0,0,12,58,63,245,234,146,276,225,94,180,23,1490
UCL115087,0,0,0,4,8,9,0,4,0,32,0,3,0,3,6,5,0,0,7,27,34,82,76,51,153,136,35,53,8,627
UCL115088,0,0,9,5,6,4,3,4,0,24,0,0,0,0,0,5,0,0,8,17,33,75,83,45,136,116,24,64,14,587
UCL115089,0,6,3,3,9,5,6,8,7,47,3,11,0,4,12,8,9,8,7,56,80,212,182,126,395,365,108,199,38,1714
UCL115090,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,4,0,0,0,10,10,53,57,37,39,48,20,34,10,298
UCL115091,5,0,4,5,0,3,0,0,0,15,3,0,0,0,4,7,0,3,5,23,41,73,51,39,85,92,21,54,10,462
UCL115092,0,4,5,5,7,8,3,8,0,36,5,0,3,0,5,9,0,3,3,27,52,121,68,73,190,159,37,91,11,792
UCL115093,0,0,0,5,4,4,0,0,0,21,6,4,3,0,4,10,0,4,0,29,47,80,66,40,106,94,37,80,0,559
UCL115094,5,12,0,8,12,9,0,0,0,41,4,7,4,4,4,3,0,4,12,48,37,145,115,97,193,135,43,112,18,905
UCL115095,0,3,3,0,0,3,3,3,0,20,0,0,0,0,4,4,3,5,0,22,31,61,39,39,53,76,34,89,12,435
UCL115096,0,15,11,6,13,12,5,6,0,66,3,8,0,0,7,13,0,0,20,56,82,254,197,160,320,270,89,160,39,1560
UCL115097,7,4,3,0,11,4,0,0,0,37,6,3,5,6,7,5,0,4,8,41,71,156,123,75,203,147,49,89,11,928
UCL115098,0,0,0,0,6,0,5,0,0,9,5,0,0,0,0,4,0,0,3,13,25,60,63,28,82,58,19,56,10,408
UCL115099,3,7,3,0,7,8,4,3,0,41,6,8,10,0,7,9,4,0,17,50,49,178,144,102,206,143,45,87,28,978
UCL115100,0,11,0,4,9,5,0,0,0,34,4,7,5,0,4,9,0,0,10,41,42,156,131,70,171,139,32,86,18,856
UCL115101,4,5,3,5,4,8,3,3,0,37,3,8,0,0,6,3,0,3,7,33,69,149,116,88,169,134,46,98,32,899
UCL115102,0,0,4,5,11,4,0,4,0,25,0,0,3,0,0,6,0,4,10,29,28,115,83,52,128,106,37,93,12,663
UCL115103,0,0,3,0,5,0,3,0,0,16,0,4,5,0,0,0,0,0,11,15,11,63,35,22,57,71,29,56,16,362
UCL115104,0,0,8,0,4,3,0,4,0,23,0,0,0,0,0,4,0,0,4,16,36,123,91,52,67,96,28,60,17,568
UCL115105,3,0,0,0,0,4,6,4,0,19,0,6,3,4,11,5,6,0,3,30,34,101,80,55,145,120,47,83,15,675
UCL115106,0,9,4,6,11,6,0,4,0,33,3,9,3,3,8,9,6,0,6,46,48,160,134,116,218,170,45,78,16,992
UCL115107,9,11,0,7,8,14,0,5,0,52,5,20,12,8,12,12,3,8,13,98,85,405,265,186,229,205,68,103,27,1559
UCL115108,4,3,3,3,11,4,6,6,0,42,0,9,3,0,7,5,5,0,3,37,50,140,108,88,256,314,87,153,6,1205
UCL115109,0,9,8,5,11,4,0,0,6,47,4,5,8,0,3,6,0,0,12,37,72,221,171,87,208,178,47,99,30,1119
UCL115110,3,12,11,3,13,4,6,13,4,66,3,6,0,5,6,12,0,4,8,51,53,208,188,96,285,304,63,185,31,1406
UCL115111,0,3,0,3,15,12,10,12,4,64,0,8,0,0,16,14,0,11,13,70,59,134,153,105,288,251,80,191,36,1298
UCL115112,3,6,3,4,19,12,6,5,0,43,0,4,5,0,8,7,4,5,12,45,88,123,122,66,271,230,78,194,23,1182
