UCL_CODE_2021,M_AgriForestFish_0,M_AgriForestFish_1_19,M_AgriForestFish_20_29,M_AgriForestFish_30_34,M_AgriForestFish_35_39,M_AgriForestFish_40_44,M_AgriForestFish_45_49,M_AgriForestFish_50_over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_19,M_Min_20_29,M_Min_30_34,M_Min_35_39,M_Min_40_44,M_Min_45_49,M_Min_50_over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_19,M_Mnfg_20_29,M_Mnfg_30_34,M_Mnfg_35_39,M_Mnfg_40_44,M_Mnfg_45_49,M_Mnfg_50_over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_19,M_EGW_WS_20_29,M_EGW_WS_30_34,M_EGW_WS_35_39,M_EGW_WS_40_44,M_EGW_WS_45_49,M_EGW_WS_50_over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_19,M_Cnstn_20_29,M_Cnstn_30_34,M_Cnstn_35_39,M_Cnstn_40_44,M_Cnstn_45_49,M_Cnstn_50_over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_19,M_WTrade_20_29,M_WTrade_30_34,M_WTrade_35_39,M_WTrade_40_44,M_WTrade_45_49,M_WTrade_50_over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_19,M_RTrade_20_29,M_RTrade_30_34,M_RTrade_35_39,M_RTrade_40_44,M_RTrade_45_49,M_RTrade_50_over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_19,M_AccomFoodS_20_29,M_AccomFoodS_30_34,M_AccomFoodS_35_39,M_AccomFoodS_40_44,M_AccomFoodS_45_49,M_AccomFoodS_50_over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_19,M_TransPostWhse_20_29,M_TransPostWhse_30_34,M_TransPostWhse_35_39,M_TransPostWhse_40_44,M_TransPostWhse_45_49,M_TransPostWhse_50_over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_19,M_InfoMedTelecom_20_29,M_InfoMedTelecom_30_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40_44,M_InfoMedTelecom_45_49,M_InfoMedTelecom_50_over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_19,M_FinInsurS_20_29,M_FinInsurS_30_34,M_FinInsurS_35_39,M_FinInsurS_40_44,M_FinInsurS_45_49,M_FinInsurS_50_over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_19,M_RentHirREserv_20_29,M_RentHirREserv_30_34,M_RentHirREserv_35_39,M_RentHirREserv_40_44,M_RentHirREserv_45_49,M_RentHirREserv_50_over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_19,M_ProScieTechServ_20_29,M_ProScieTechServ_30_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40_44,M_ProScieTechServ_45_49,M_ProScieTechServ_50_over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_19,M_AdminSupServ_20_29,M_AdminSupServ_30_34,M_AdminSupServ_35_39,M_AdminSupServ_40_44,M_AdminSupServ_45_49,M_AdminSupServ_50_over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_19,M_PubAdmiSafety_20_29,M_PubAdmiSafety_30_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40_44,M_PubAdmiSafety_45_49,M_PubAdmiSafety_50_over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_19,M_EducTrain_20_29,M_EducTrain_30_34,M_EducTrain_35_39,M_EducTrain_40_44,M_EducTrain_44_49,M_EducTrain_50_over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_19,M_HealthCareSocA_20_29,M_HealthCareSocA_30_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40_44,M_HealthCareSocA_45_49,M_HealthCareSocA_50_over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_19,M_ArtRecServ_20_29,M_ArtRecServ_30_34,M_ArtRecServ_35_39,M_ArtRecServ_40_44,M_ArtRecServ_45_49,M_ArtRecServ_50_over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_19,M_OthServ_20_29,M_OthServ_30_34,M_OthServ_35_39,M_OthServ_40_44,M_OthServ_45_49,M_OthServ_50_over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot
UCL112002,3,16,10,7,32,40,5,60,5,188,16,7,11,0,19,62,33,127,0,271,48,37,55,33,223,250,121,200,4,969,7,4,0,4,45,37,17,37,0,159,28,53,41,49,233,401,148,297,12,1260,5,9,12,6,37,56,22,53,3,197,27,157,101,57,171,103,50,73,7,742,26,198,89,26,83,64,27,40,10,562,23,38,42,32,69,77,34,146,6,471,3,13,7,3,49,25,5,7,0,114,4,0,3,3,28,41,7,23,0,112,0,8,4,9,18,24,12,19,0,84,0,20,24,16,60,71,23,68,0,280,12,36,33,14,48,36,11,23,0,212,46,27,26,16,337,212,67,87,3,827,15,65,47,37,151,116,37,89,0,551,25,51,75,68,183,129,33,56,8,630,5,29,13,9,22,14,7,10,0,100,10,24,19,17,87,86,31,76,0,347,8,28,22,17,61,81,31,53,66,353
UCL112003,4,5,13,7,11,8,0,5,0,54,0,0,0,0,11,13,0,10,0,39,20,33,28,17,82,94,22,61,0,371,0,8,0,0,31,36,14,17,0,108,109,111,75,47,105,212,41,110,8,815,9,17,14,12,46,38,24,22,0,180,43,111,85,51,70,69,13,40,0,488,190,121,56,19,40,32,9,20,7,491,39,37,40,23,70,81,31,52,3,367,6,18,13,6,22,23,13,23,0,126,5,0,8,3,27,48,8,30,4,140,0,15,0,6,9,28,11,13,0,84,15,81,48,39,82,156,37,102,7,567,34,61,23,12,25,23,6,26,0,205,43,20,28,25,238,131,63,44,4,606,29,108,55,34,138,124,54,96,3,645,29,98,79,69,122,128,29,47,0,605,25,27,19,13,38,28,3,16,0,174,20,42,20,12,50,66,11,25,0,236,25,40,26,7,27,57,15,37,32,262
UCL112004,0,17,12,4,12,24,8,18,4,94,4,6,0,0,17,9,7,21,0,65,11,26,12,19,97,130,50,104,3,448,3,3,3,3,11,13,8,7,0,45,37,47,55,40,129,274,63,141,12,798,10,9,9,14,41,56,19,57,0,209,29,94,62,27,61,60,20,41,3,387,43,149,65,26,52,36,15,40,4,449,19,31,19,22,33,52,17,57,10,253,3,12,3,3,18,17,6,20,0,80,0,22,11,14,18,51,14,47,0,176,0,16,11,7,12,24,12,28,0,108,9,69,41,33,53,115,44,123,3,495,3,54,30,21,30,38,12,20,3,213,14,8,5,9,82,63,25,32,0,241,8,49,26,11,40,70,28,68,3,301,15,35,54,40,76,73,28,49,5,354,9,11,12,6,14,13,5,18,0,86,10,23,14,16,32,52,10,28,0,180,15,35,12,10,31,41,14,44,25,241
UCL112005,0,3,8,8,18,7,3,7,0,50,36,7,15,7,129,153,68,194,5,624,23,34,19,28,115,130,47,44,0,437,0,0,9,7,25,26,4,14,0,91,20,22,29,31,112,181,47,98,11,553,0,10,3,0,37,34,9,44,0,142,13,59,47,27,72,52,15,31,0,320,68,103,47,29,46,38,9,22,10,366,24,28,29,8,46,58,16,61,4,279,0,0,0,0,7,3,4,3,0,23,4,0,0,3,8,12,3,0,5,36,3,0,4,0,13,11,9,15,0,53,5,6,4,6,17,29,5,19,0,91,13,33,22,13,41,34,11,32,0,197,15,20,7,8,69,80,32,30,0,269,5,19,6,8,9,20,3,13,0,94,8,29,36,28,55,30,6,16,0,206,11,12,5,5,13,5,0,5,3,55,9,12,12,23,55,69,16,21,0,213,6,20,14,9,50,48,16,20,47,238
UCL112006,6,23,6,8,28,70,22,89,5,263,8,3,4,0,12,39,25,138,3,235,14,38,24,14,182,305,82,109,7,771,13,5,3,3,48,55,14,32,0,170,30,44,37,38,264,424,167,371,28,1405,9,14,8,6,80,90,38,82,6,342,22,133,85,59,240,150,65,92,3,854,19,167,79,46,122,88,29,59,9,613,18,42,32,23,79,108,40,176,12,527,4,8,3,0,24,21,7,7,0,75,3,6,3,3,31,44,4,32,0,137,0,4,7,5,22,20,6,26,3,100,7,17,21,15,88,80,30,71,0,337,4,31,37,16,50,54,13,33,5,240,43,22,22,23,333,177,67,78,9,768,12,52,28,31,118,77,44,52,3,420,24,60,59,84,303,271,54,95,11,965,6,20,10,0,43,30,5,16,0,134,10,32,19,12,113,105,34,69,8,392,16,28,18,6,89,89,23,57,95,417
UCL112007,4,3,0,3,4,21,13,25,0,75,0,0,0,0,0,0,0,9,0,12,4,8,3,4,33,40,20,44,0,161,0,0,3,3,6,6,0,3,0,22,8,9,11,16,62,109,31,65,8,322,0,0,0,6,8,16,4,16,0,54,11,21,8,3,22,22,0,14,0,101,14,56,20,18,12,16,0,13,4,156,0,0,8,6,3,10,5,25,0,59,6,3,0,0,3,0,0,0,0,11,0,0,0,0,4,8,0,3,0,18,0,0,0,0,5,3,0,6,0,16,3,9,0,0,11,13,6,9,0,45,5,5,3,0,9,7,0,0,0,34,7,0,4,0,34,34,3,7,0,94,0,10,8,5,11,3,12,8,0,55,5,8,5,10,17,20,6,9,0,74,0,5,0,3,11,8,0,0,0,29,0,4,4,0,5,7,10,14,0,49,3,3,4,0,7,17,7,7,12,71
UCL112008,0,8,14,8,19,13,8,27,0,95,6,0,0,0,0,4,3,20,3,42,0,4,4,8,30,34,19,20,3,125,0,4,4,0,16,18,7,13,0,58,15,33,34,40,105,205,46,79,14,577,0,3,0,0,8,14,0,6,0,48,11,92,48,24,66,59,18,36,3,355,20,116,70,37,61,57,10,31,7,408,9,15,11,16,18,26,8,25,0,128,0,3,0,0,0,5,0,3,0,20,4,7,0,0,3,12,10,3,0,43,4,15,0,0,11,13,4,6,0,53,8,24,7,4,12,25,12,37,0,131,9,35,22,16,14,13,0,5,0,122,13,5,8,6,83,35,15,9,0,176,8,19,11,19,21,24,8,29,0,140,6,39,51,39,68,79,20,21,8,333,0,3,3,3,19,7,0,0,0,53,3,15,4,13,24,41,12,23,0,134,10,19,12,4,30,19,10,11,41,156
UCL112009,3,16,11,10,25,35,5,29,0,135,0,4,0,3,20,21,14,53,0,121,12,28,18,8,151,121,54,97,7,499,6,6,6,8,21,29,14,28,0,114,25,39,31,34,164,293,97,241,17,934,0,8,3,10,32,44,12,21,3,136,20,64,64,32,116,72,27,49,8,458,9,134,57,29,70,31,7,26,3,364,30,27,25,18,63,80,18,135,3,400,0,0,8,0,10,4,0,12,0,38,0,5,0,5,8,11,4,8,0,40,3,3,3,0,10,13,7,16,0,50,4,11,9,5,40,53,8,31,8,166,10,22,26,10,33,19,16,20,0,153,39,21,13,15,264,166,65,69,9,642,11,32,19,15,48,40,18,32,0,213,12,29,42,43,101,71,10,37,0,353,6,11,4,5,6,16,7,8,4,60,3,12,18,12,58,70,13,44,0,235,12,24,12,7,51,55,13,42,50,257
UCL112010,11,36,67,59,195,141,69,159,19,750,0,0,0,0,0,0,5,3,0,15,19,54,23,41,531,340,115,172,21,1318,0,5,0,5,46,25,9,15,0,114,12,18,15,23,125,206,73,147,6,631,0,4,5,6,52,57,30,45,7,202,12,93,33,25,86,96,25,45,0,413,4,57,30,11,51,31,7,26,0,206,3,22,10,15,37,49,14,60,3,215,0,6,0,0,6,8,0,10,0,27,0,0,5,0,10,8,4,12,0,29,0,0,0,4,15,14,4,7,0,46,0,18,4,7,29,46,19,27,0,155,0,19,13,9,33,26,6,8,4,125,9,3,8,3,105,42,27,21,5,219,0,12,5,13,37,33,24,32,0,152,4,18,16,25,71,53,17,26,0,228,0,3,0,0,10,9,0,5,5,38,0,11,15,0,51,67,18,38,0,198,9,27,19,15,122,70,17,37,72,379
UCL112011,0,5,0,7,20,7,4,3,0,53,27,9,25,3,88,136,57,154,4,499,14,20,17,22,168,148,86,65,3,543,3,0,6,5,26,29,9,25,0,97,24,35,31,36,144,265,63,128,7,733,5,4,7,5,32,47,27,32,0,164,21,61,36,18,75,52,21,23,3,310,36,95,32,18,30,24,8,10,0,250,15,12,21,13,48,76,16,90,8,299,0,3,0,0,3,4,0,0,0,18,3,0,0,4,11,10,3,7,0,36,0,3,4,3,16,16,4,3,0,51,4,0,4,15,38,52,12,22,0,141,11,26,32,8,46,39,5,31,4,199,17,14,5,3,63,59,27,17,0,208,11,12,5,4,30,18,6,15,0,92,10,23,31,29,48,53,14,13,0,217,3,0,8,0,3,4,0,3,0,26,3,13,13,13,70,56,17,36,5,222,13,10,14,15,69,77,12,43,35,281
