UCL_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
UCL112002,436,392,829,1000,869,1874,515,507,1025,83,89,167,1601,1474,3074,814,674,1490,254,426,683,257,222,471,1324,1320,2641,42,59,106,27,82,109,178,146,323,166,298,469,0,0,7,417,595,1013,247,413,663,71,117,191,61,82,139,162,289,453,0,6,6,551,901,1446,968,1493,2463,27,22,50,49,77,131,3,3,10,77,109,184,1624,901,2524,6028,5692,11723
UCL112003,266,268,536,785,742,1531,113,130,240,214,183,396,1116,1056,2168,555,559,1114,162,151,320,250,220,463,972,932,1906,52,58,112,44,82,121,114,65,182,119,274,391,0,0,0,326,483,813,151,183,329,72,168,241,38,52,86,184,364,546,0,3,5,443,761,1209,775,1248,2021,37,48,85,55,84,138,0,0,0,92,131,217,625,643,1273,3846,4277,8123
UCL112004,223,217,441,513,416,929,165,161,321,210,233,444,889,804,1697,236,174,409,214,239,452,248,390,638,696,799,1498,21,35,56,33,36,63,84,55,141,77,181,257,0,0,0,210,307,516,105,156,260,42,73,116,21,33,54,83,129,217,0,3,3,254,390,646,467,700,1162,22,20,42,31,50,77,4,0,4,50,72,123,525,622,1143,2851,3218,6072
UCL112005,278,230,512,709,667,1378,131,122,252,92,89,180,934,875,1809,486,507,995,93,81,174,94,106,197,673,700,1367,25,40,66,19,47,70,123,76,202,77,186,263,0,0,0,250,349,601,47,108,157,26,60,86,14,36,52,34,115,151,0,0,0,117,329,444,368,675,1042,22,22,44,14,40,59,0,0,0,40,65,104,2064,633,2700,4348,3183,7534
UCL112006,512,524,1031,1046,1005,2059,430,498,931,222,198,422,1701,1709,3410,653,637,1288,302,320,621,163,189,357,1114,1146,2262,42,68,110,48,75,125,186,150,332,180,327,506,0,0,0,454,620,1076,52,128,178,74,117,189,25,56,82,121,308,431,0,0,3,268,613,887,728,1235,1964,54,46,98,82,90,173,0,3,5,138,140,278,1653,1643,3290,5850,6397,12242
UCL112007,65,68,135,112,115,225,88,107,197,57,51,100,254,271,521,66,59,125,80,110,189,40,45,81,185,210,393,10,3,15,7,6,16,20,8,32,14,33,43,0,0,0,48,54,102,4,32,41,4,4,9,4,0,4,5,29,33,0,0,0,18,69,91,75,125,193,0,3,3,7,13,17,0,0,0,7,16,25,213,218,434,792,906,1697
UCL112008,153,135,290,444,447,899,96,98,189,17,17,36,559,568,1127,411,386,796,42,38,74,23,27,47,472,449,921,19,27,47,12,30,43,66,57,119,38,135,173,4,0,6,144,246,388,23,46,66,12,27,39,7,15,25,29,54,80,0,0,0,68,147,217,214,394,603,4,6,17,10,28,40,0,0,0,20,39,58,671,873,1537,2078,2458,4535
UCL112009,267,237,506,730,713,1445,206,211,416,22,16,38,957,952,1905,524,491,1016,133,135,269,23,12,36,682,638,1320,44,33,73,29,28,53,107,94,203,120,197,318,0,3,6,303,353,650,73,86,162,63,78,133,13,36,50,75,170,244,0,0,0,216,372,586,516,731,1239,26,29,61,35,63,97,0,0,0,64,91,156,1160,684,1841,3645,3324,6969
UCL112010,239,219,454,662,597,1261,178,214,393,25,28,56,873,840,1712,365,345,705,251,277,528,16,22,36,633,644,1280,18,19,43,20,37,56,102,61,163,77,157,237,3,0,5,228,272,504,56,72,124,22,54,76,20,27,51,55,94,148,0,0,0,161,251,407,380,530,908,33,31,57,26,58,83,3,0,4,59,86,148,750,728,1474,2938,3045,5983
UCL112011,268,254,524,665,688,1353,177,151,328,49,49,94,893,887,1778,486,459,945,79,86,163,66,43,114,629,588,1224,38,41,73,17,53,70,96,90,185,98,171,268,3,0,3,247,349,605,44,83,126,21,48,69,14,35,50,41,113,159,0,0,0,123,278,400,375,638,1004,15,18,35,47,50,91,0,0,0,61,66,133,531,478,1010,2752,2914,5663
UCL112012,301,249,547,667,638,1305,219,223,442,187,151,343,1071,1012,2090,500,493,998,271,255,524,109,71,179,880,819,1701,51,65,117,52,91,139,119,82,199,139,226,364,4,0,5,361,464,822,112,174,285,96,133,232,37,69,111,148,271,428,0,0,0,401,657,1058,759,1119,1886,24,23,56,47,68,120,0,0,0,74,96,173,919,965,1884,4005,4268,8271
UCL112013,47,28,73,98,76,176,12,11,24,12,7,16,113,98,212,49,50,98,33,19,57,4,3,12,87,77,165,4,4,8,4,3,10,9,5,16,10,11,19,0,0,0,30,29,53,5,7,7,0,5,0,0,3,8,11,11,19,0,0,0,15,30,41,37,52,94,0,0,0,6,7,17,0,0,0,4,10,18,100,92,187,390,356,747
UCL112014,227,234,463,489,477,964,108,89,198,283,315,599,879,891,1768,313,306,622,70,75,145,214,198,415,608,577,1181,34,32,67,24,44,62,110,62,173,79,170,247,0,0,0,247,307,554,129,190,316,66,74,137,22,23,51,77,158,228,0,0,0,295,449,742,535,761,1296,21,27,49,28,49,80,0,0,0,48,78,125,434,491,925,2733,3028,5759
UCL112015,427,384,814,1016,1030,2040,196,189,385,165,162,329,1381,1386,2765,673,605,1276,172,169,340,114,144,261,961,922,1884,41,50,91,32,66,102,133,108,240,137,310,442,6,6,5,350,535,884,76,139,217,70,117,191,23,42,65,88,171,258,0,0,6,261,472,736,608,1008,1616,40,28,63,43,89,130,4,0,5,86,120,203,1957,1205,3164,5422,5024,10446
UCL112016,542,463,1006,1295,1224,2518,373,373,743,251,236,487,1927,1833,3757,741,690,1434,352,369,721,358,335,690,1451,1402,2848,36,53,91,45,88,129,190,153,340,222,362,582,0,0,0,493,657,1152,125,247,368,96,151,250,38,64,98,213,333,541,0,0,0,474,790,1260,967,1449,2417,33,40,76,47,91,140,0,3,3,80,136,215,1135,1181,2317,6109,6460,12565
UCL112017,443,409,851,946,866,1815,535,530,1062,299,295,595,1787,1697,3479,543,502,1046,722,708,1428,285,259,538,1548,1473,3019,82,58,147,53,107,155,160,112,264,196,367,560,0,6,8,487,644,1133,279,559,832,114,182,297,33,74,108,179,337,515,0,6,5,606,1155,1758,1098,1801,2897,34,34,67,61,121,181,3,0,4,96,160,258,1134,1229,2365,6104,6762,12873
UCL112018,399,332,734,1061,1065,2128,361,332,686,112,111,223,1532,1512,3037,811,676,1482,198,231,422,133,185,318,1136,1092,2228,42,70,113,25,100,129,143,128,272,150,316,475,0,0,6,362,614,977,49,122,175,55,98,148,28,56,85,107,199,304,0,3,3,236,475,711,606,1091,1695,24,26,53,49,77,128,3,4,9,78,106,182,1413,1496,2905,5162,5626,10786
UCL112019,618,535,1150,1323,1129,2458,627,675,1298,258,232,494,2210,2037,4248,803,857,1662,559,592,1154,285,271,556,1645,1724,3365,72,83,152,94,136,228,293,189,477,274,434,711,4,0,4,737,840,1578,192,457,650,106,199,310,50,113,167,222,426,647,0,0,0,575,1200,1774,1317,2042,3357,58,55,116,77,133,209,0,0,0,137,193,327,1335,1375,2704,7258,7906,15162
UCL113001,175,138,311,300,266,568,169,158,323,89,70,155,552,495,1052,258,229,486,129,142,273,52,61,111,440,439,871,22,28,50,20,38,59,69,45,110,86,122,212,3,4,6,199,240,437,20,65,92,34,58,91,23,27,51,51,113,165,0,0,0,127,268,397,322,507,827,12,9,20,29,50,77,6,0,6,41,61,100,589,697,1290,2111,2340,4453
UCL113002,94,85,175,271,256,526,81,103,180,24,24,41,375,378,748,214,203,415,51,79,129,25,24,52,285,312,598,15,7,23,12,19,36,47,39,86,52,84,131,4,0,3,124,157,276,13,26,36,7,31,44,7,4,13,16,52,68,0,0,0,44,116,156,167,273,440,8,3,9,12,28,40,0,0,0,17,33,49,477,451,924,1415,1522,2932
UCL113003,164,159,321,555,535,1088,75,73,153,5,7,11,634,615,1248,431,451,879,0,0,0,4,8,14,436,456,898,25,15,38,16,34,53,69,52,118,72,144,223,0,0,5,185,250,436,11,28,37,18,49,68,10,18,21,46,124,176,0,0,0,84,212,299,278,461,741,11,15,23,20,39,55,0,0,5,30,54,82,777,810,1591,2317,2559,4873
UCL113004,73,64,139,202,200,398,67,65,133,43,50,100,315,316,633,129,131,258,54,45,98,39,57,96,226,230,461,9,10,21,38,54,96,32,27,56,86,120,207,0,0,0,168,215,380,22,43,69,28,66,99,12,12,25,35,99,136,0,0,0,102,225,321,271,438,705,7,16,30,44,61,102,0,0,0,47,84,133,452,469,921,1391,1597,2989
UCL113005,170,178,346,597,510,1108,75,88,167,71,48,116,738,646,1392,436,379,815,98,67,166,49,35,84,587,486,1073,21,26,43,19,50,68,60,50,104,71,120,193,0,0,0,168,244,410,24,42,63,15,46,64,17,27,39,42,111,159,0,0,0,84,233,317,256,480,730,17,10,26,23,38,59,0,0,0,35,49,89,603,609,1213,2391,2450,4843
UCL113006,100,110,210,283,333,612,60,67,131,61,55,113,401,452,858,214,198,409,56,73,130,47,39,84,318,306,624,10,26,37,10,17,25,39,29,71,36,90,123,0,0,5,95,163,262,4,14,22,9,18,28,4,14,13,16,44,56,0,0,0,36,89,124,128,254,387,3,9,11,3,20,26,0,0,0,7,28,37,1254,627,1875,2213,1781,3991
UCL113007,201,152,352,439,439,877,114,96,208,22,25,54,574,561,1136,285,280,567,86,94,185,53,71,124,426,449,877,21,25,47,12,11,18,89,33,124,56,108,165,0,0,0,182,172,360,85,118,202,22,49,71,19,22,43,59,110,168,0,0,0,182,295,481,361,474,838,10,9,21,24,26,51,4,5,4,40,39,77,341,370,707,1948,2040,3985
UCL113008,97,88,187,320,305,625,76,72,148,18,20,37,409,400,805,218,200,413,61,60,125,24,26,52,310,279,593,12,19,35,10,23,33,44,34,75,43,93,137,0,0,0,111,168,281,22,28,54,14,22,40,7,14,20,29,56,82,0,0,0,71,123,192,185,291,472,8,8,16,11,17,25,0,0,4,16,30,42,430,355,785,1444,1439,2881
UCL113009,148,126,280,464,416,880,28,40,64,77,70,150,569,524,1090,260,250,507,96,84,182,58,63,122,416,399,814,14,20,34,12,21,33,61,30,92,30,103,136,0,0,0,117,175,295,44,76,120,11,38,52,3,16,24,46,83,127,0,0,0,109,207,322,228,392,614,13,8,22,12,23,34,0,0,0,24,36,57,144,137,286,1530,1608,3138
UCL113010,156,129,287,389,373,759,143,144,284,4,0,7,539,518,1056,216,233,451,107,108,214,3,5,13,328,351,678,19,14,34,9,12,24,66,44,112,69,125,193,0,0,0,165,199,359,6,32,35,11,37,48,9,12,17,44,83,120,0,0,0,63,161,224,232,355,586,10,10,21,25,32,61,0,0,0,33,44,79,325,339,662,1605,1737,3343
UCL113011,147,139,284,394,361,752,135,82,215,42,48,93,573,493,1069,277,253,531,83,87,173,19,27,44,385,360,740,11,16,25,9,26,39,69,53,121,36,86,125,0,0,0,125,180,307,9,23,40,13,26,32,8,16,22,26,54,84,0,0,0,53,121,178,184,308,492,5,0,10,17,42,55,0,0,0,27,47,70,386,339,726,1689,1684,3377
UCL113012,108,124,227,309,291,602,82,86,167,86,89,173,473,464,941,287,316,600,47,47,92,88,90,188,422,459,881,17,8,24,14,23,39,62,26,92,45,90,141,0,0,0,142,153,294,50,79,127,31,36,63,9,18,24,38,91,135,0,3,3,123,228,355,265,378,645,10,3,9,13,25,36,0,0,0,25,30,52,364,396,761,1659,1849,3508
UCL113013,157,150,308,494,441,940,126,113,244,37,31,62,656,586,1248,408,384,793,57,66,129,28,29,52,498,477,980,22,22,39,12,18,34,59,42,100,53,91,147,0,4,4,139,178,314,47,57,106,19,52,68,11,22,33,32,73,108,5,0,8,111,208,322,255,385,637,14,11,21,18,27,45,6,7,11,35,44,82,447,433,887,2056,2073,4133
UCL113014,173,181,356,461,478,939,169,164,328,53,59,112,687,700,1389,314,310,619,107,90,200,57,49,108,480,448,930,12,17,28,16,23,42,90,50,144,79,133,212,5,0,5,201,223,422,36,57,92,16,41,60,12,19,34,33,92,124,0,0,0,100,211,315,300,434,732,18,13,30,31,48,78,0,0,0,52,62,117,364,325,695,2056,2154,4209
UCL113015,124,91,209,339,310,648,15,14,33,19,15,26,371,345,711,243,234,479,30,39,64,26,21,44,292,298,588,6,22,27,9,14,30,40,28,71,40,83,119,0,0,0,98,145,240,12,33,41,10,36,44,5,8,9,14,38,57,0,0,0,44,111,152,140,255,395,11,6,18,9,21,31,0,0,5,24,29,48,361,344,711,1311,1357,2673
UCL113016,163,180,340,507,471,981,114,92,207,107,102,203,725,669,1390,325,351,682,89,82,173,70,91,162,491,528,1018,25,40,65,14,45,56,67,72,138,52,144,192,0,0,0,151,300,451,23,40,66,19,43,65,9,18,28,33,66,96,0,0,0,87,171,254,236,470,704,11,4,19,15,29,42,0,0,3,26,38,60,758,811,1568,2401,2691,5092
UCL113017,156,127,286,442,425,869,32,35,70,0,9,8,482,470,951,373,364,738,12,13,24,11,16,26,402,387,785,15,13,23,6,21,31,62,22,84,34,80,111,0,0,0,121,138,260,18,41,59,16,34,47,4,6,7,18,77,99,0,0,0,60,165,224,181,307,485,5,11,8,12,26,36,0,0,0,15,36,52,428,429,853,1668,1743,3412
UCL113018,26,18,41,51,68,119,25,19,41,0,0,0,77,85,158,37,33,70,15,30,42,0,0,4,50,68,119,0,4,4,0,0,0,9,5,11,3,7,18,0,0,0,15,13,33,6,12,20,0,3,3,0,0,0,3,0,5,0,0,0,3,20,28,21,32,57,0,0,3,3,7,6,0,0,0,3,6,9,96,107,201,277,312,594
UCL114001,36,48,80,123,125,249,45,48,92,24,39,66,196,212,406,99,78,172,34,40,76,21,22,42,153,138,296,9,0,10,7,13,15,12,12,28,22,32,48,0,0,0,45,60,111,17,17,31,8,22,29,11,6,14,12,42,51,0,0,0,45,83,130,90,143,241,4,4,5,9,17,23,0,0,0,8,15,28,101,111,214,596,668,1267
UCL114002,36,27,62,135,156,289,40,35,75,4,9,12,181,195,374,109,107,210,31,25,56,15,8,20,148,138,285,4,6,19,9,4,14,27,11,39,15,37,56,0,0,0,52,66,120,11,18,25,6,19,27,0,7,9,5,18,31,0,0,0,20,67,86,77,133,211,3,5,8,3,14,15,0,0,0,9,13,24,214,202,413,661,709,1371
UCL114003,99,93,196,273,254,533,129,128,253,19,21,40,424,404,825,168,166,332,62,60,120,19,31,44,246,250,497,10,29,39,7,34,41,39,41,75,35,86,119,0,0,0,91,195,281,15,17,39,8,24,24,5,16,17,14,36,57,0,0,0,38,99,138,132,286,418,0,0,5,12,19,34,0,4,4,18,22,43,511,509,1021,1426,1575,2997
UCL114004,77,75,149,172,132,300,56,55,109,22,21,43,254,205,458,127,91,222,27,30,53,11,18,33,166,136,306,5,11,12,0,14,12,26,27,59,31,67,104,0,0,0,62,120,181,9,19,32,5,17,24,5,4,6,25,50,78,0,0,0,51,93,143,114,211,326,6,15,21,7,14,26,0,0,0,15,27,50,386,172,560,1018,828,1847
UCL114005,64,49,113,153,133,282,58,54,110,0,0,3,212,187,401,118,92,210,50,65,116,5,3,12,173,159,336,4,9,17,8,5,11,23,14,35,13,31,45,0,0,0,51,62,109,3,17,19,0,8,6,0,3,3,3,17,23,0,0,0,8,42,54,59,104,162,0,5,9,3,3,10,0,0,0,5,11,14,183,171,350,699,683,1380
UCL114006,36,45,79,132,109,242,44,36,78,0,0,0,180,147,326,106,134,238,14,25,39,10,12,22,132,166,305,0,11,12,7,4,10,23,14,35,16,51,62,0,0,0,41,78,123,14,11,23,0,11,7,0,9,7,4,24,23,0,0,0,15,48,64,58,125,188,6,6,7,6,13,13,0,0,0,4,19,25,148,145,296,570,647,1214
UCL114007,90,93,180,247,226,468,57,68,128,13,5,16,316,301,621,176,168,346,40,63,109,21,11,39,244,247,489,7,12,19,3,9,11,38,31,71,30,73,100,0,0,0,86,120,204,11,13,21,0,7,15,3,13,16,8,34,47,0,0,0,27,70,95,111,193,307,7,5,8,8,10,18,0,0,0,13,14,28,300,288,587,1076,1133,2209
UCL114008,53,46,100,162,144,309,50,52,102,7,13,18,217,208,425,151,142,292,3,20,27,12,19,35,166,178,347,5,9,14,4,7,11,28,25,54,22,47,72,0,0,0,62,90,156,4,12,20,0,10,11,0,17,15,14,31,42,0,0,0,23,70,98,86,162,251,0,4,3,4,14,16,3,0,3,5,22,23,323,315,634,854,937,1792
UCL114009,119,124,238,181,179,357,74,79,151,43,48,96,297,303,605,84,78,161,45,54,98,47,50,99,171,176,354,21,14,34,10,7,15,22,22,44,50,54,107,0,0,0,102,92,195,195,472,669,56,89,142,21,34,54,61,94,151,0,0,0,329,689,1013,432,781,1213,16,5,18,19,15,36,0,0,0,37,19,54,134,185,317,1194,1588,2782
UCL114010,84,65,146,178,193,375,93,96,189,11,10,21,286,303,588,83,92,174,92,113,207,6,9,17,178,215,392,9,4,11,3,11,11,32,29,62,15,58,83,0,0,0,62,108,171,9,16,27,0,10,11,4,24,31,14,41,56,0,0,0,33,91,126,100,194,296,4,3,7,8,19,25,0,5,5,17,21,38,327,316,642,981,1115,2099
UCL114011,37,34,73,168,129,292,32,42,68,4,0,6,204,169,371,126,112,241,4,0,4,0,0,5,131,112,245,0,4,6,4,5,12,9,23,30,21,44,68,0,0,0,41,75,116,4,6,10,5,9,17,8,3,11,4,29,30,0,0,0,18,54,71,59,128,186,4,7,8,0,13,11,0,0,0,7,13,16,288,315,603,722,778,1501
UCL114012,154,119,273,170,151,325,126,115,236,66,101,166,371,358,726,76,88,160,61,69,131,45,32,77,179,190,368,4,8,8,8,0,12,27,14,35,31,53,82,0,0,0,68,72,138,28,29,55,24,28,49,8,13,23,81,90,165,0,0,0,133,157,290,196,228,424,13,10,21,28,30,62,0,0,0,43,37,83,109,108,215,1052,1042,2093
