UCL_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
UCL114003,3280,7937,308,473,40,87,348,554,210,307,0,4,0,0,0,0,12,19,225,332,35,55,17,23,5,3,17,27,66,104,5,9,3930,8935,290,..,4221,8935
UCL114004,2315,5300,132,209,30,53,166,263,102,147,0,5,0,0,0,0,8,18,121,174,0,0,3,3,0,0,23,55,26,60,7,9,2634,5806,427,..,3059,5806
UCL114005,2213,4932,183,241,17,32,202,273,0,4,13,12,0,0,0,0,0,0,15,18,3,4,0,4,0,0,11,16,20,24,3,9,2450,5250,277,..,2729,5250
UCL114006,1955,4383,358,492,0,0,358,492,4,4,0,0,0,0,0,0,0,0,3,8,0,0,19,23,3,3,10,15,29,40,8,24,2361,4946,324,..,2681,4946
UCL114007,3045,7042,231,308,29,46,260,348,80,112,7,14,0,0,0,0,3,0,91,126,3,0,0,5,0,3,3,11,8,17,8,18,3409,7547,338,..,3751,7547
UCL114008,2319,5168,272,371,13,11,279,385,16,34,0,0,0,0,0,0,0,0,16,34,7,5,0,4,0,4,5,12,13,16,13,29,2646,5637,376,..,3016,5637
UCL114009,1910,5623,157,262,8,20,164,281,49,61,0,0,0,0,0,0,5,11,55,70,0,0,0,0,0,0,0,0,0,0,3,10,2140,5988,119,..,2259,5988
UCL114010,2392,5673,142,234,13,14,154,245,158,196,0,3,0,0,0,0,4,0,162,201,11,18,19,24,0,0,17,37,42,75,0,9,2752,6203,302,..,3052,6203
UCL114011,1939,4163,148,204,3,7,153,210,70,84,0,0,0,0,0,0,0,0,70,84,12,23,6,10,3,4,8,19,21,61,3,4,2181,4517,236,..,2427,4517
UCL114012,1796,5748,14,32,96,203,107,230,0,3,12,32,0,0,0,0,0,0,16,37,0,0,0,0,0,0,0,0,0,0,0,0,1929,6011,105,..,2030,6011
UCL114013,2720,6777,309,493,42,65,352,563,75,99,0,0,5,6,0,0,4,6,82,110,9,10,3,6,0,0,5,5,15,17,3,7,3177,7477,397,..,3571,7477
UCL114014,1741,5295,23,45,38,109,61,152,224,498,67,126,0,0,0,0,12,40,300,658,0,0,0,0,0,0,12,40,12,40,8,20,2116,6162,81,..,2200,6162
UCL114015,3216,7758,392,601,72,105,463,702,47,65,0,0,0,0,0,0,3,3,51,64,17,17,7,15,0,0,8,21,38,56,27,29,3789,8617,326,..,4115,8617
UCL114016,2246,5768,103,174,13,18,111,194,319,498,0,0,0,0,0,0,0,0,319,498,0,0,21,32,0,0,18,45,38,83,11,24,2734,6568,269,..,2999,6568
UCL114017,1913,5414,290,663,297,669,588,1336,95,218,10,17,0,0,0,0,18,26,119,266,3,11,0,9,0,0,0,6,13,24,4,13,2639,7054,293,..,2930,7054
UCL114018,2482,5669,279,414,285,501,568,913,452,713,28,46,3,9,0,0,5,14,487,776,4,0,7,14,0,0,0,5,13,21,33,69,3577,7443,933,..,4508,7443
UCL114019,1980,5012,273,417,64,105,342,520,69,97,0,0,0,0,0,0,0,0,67,100,10,15,5,4,0,0,11,13,23,35,5,14,2419,5683,491,..,2912,5683
UCL114020,2968,7600,267,402,27,51,293,447,101,166,0,0,0,0,0,0,5,14,107,182,16,21,46,52,0,0,12,23,76,95,3,6,3448,8335,257,..,3705,8335
UCL114021,2979,7740,162,275,64,122,230,400,443,625,48,77,15,24,0,0,9,23,510,738,16,28,0,0,0,0,14,38,31,71,10,14,3757,8967,273,..,4030,8967
UCL114022,2131,4662,244,386,134,212,380,596,193,326,96,151,28,38,0,0,8,21,328,532,20,27,32,47,0,0,20,42,75,123,34,51,2946,5957,325,..,3277,5957
UCL114023,1806,4429,284,399,25,42,309,440,24,30,0,0,0,0,0,0,0,0,22,33,6,7,10,10,0,0,0,7,12,25,0,5,2152,4930,335,..,2483,4930
UCL114024,3322,8251,139,246,17,13,156,259,269,367,6,12,0,0,0,0,3,7,277,388,12,11,8,9,0,0,9,21,22,43,22,47,3805,8987,498,..,4306,8987
UCL114025,1912,5444,214,430,234,512,447,941,58,96,36,57,0,0,0,0,13,17,104,171,8,14,31,58,0,0,4,13,45,85,0,3,2508,6644,223,..,2729,6644
UCL114026,1599,4266,240,440,183,387,424,816,30,35,0,0,0,0,0,0,3,14,37,54,0,0,0,0,0,0,0,6,0,6,11,21,2069,5165,107,..,2172,5165
UCL114027,1506,3596,307,504,268,543,577,1043,67,112,72,135,85,139,0,0,7,11,235,387,0,3,77,122,0,0,3,3,81,134,32,62,2437,5218,642,..,3079,5218
UCL114028,1682,4171,280,490,27,39,305,529,32,43,0,0,0,0,0,0,0,0,32,43,9,18,0,0,0,0,0,8,10,28,7,9,2034,4772,191,..,2229,4772
UCL114029,1669,5148,13,20,0,0,13,20,0,0,0,0,0,0,0,0,5,4,5,4,0,0,0,0,0,0,0,0,0,0,3,11,1689,5187,70,..,1763,5187
UCL114030,1939,4373,92,162,23,46,116,206,240,386,34,49,0,0,0,0,4,3,272,437,15,26,3,0,0,0,5,6,19,33,5,9,2353,5058,639,..,2994,5058
UCL114031,2390,5992,25,44,12,26,33,67,37,60,0,0,0,0,0,0,8,21,44,79,0,0,6,4,4,4,0,6,9,7,0,14,2472,6165,358,..,2829,6165
UCL114032,1602,4483,136,233,17,32,152,266,0,0,0,0,0,0,0,0,12,36,12,36,0,0,0,0,0,0,0,0,0,3,4,10,1774,4793,108,..,1882,4793
UCL114033,2186,5384,305,443,7,13,308,455,44,56,6,5,0,0,0,0,5,5,50,70,0,0,0,0,0,4,4,8,3,12,4,3,2558,5924,241,..,2795,5924
UCL114034,2641,6743,297,549,35,55,334,598,35,53,0,0,0,0,0,0,7,12,43,65,4,3,4,10,0,0,11,14,20,29,6,6,3037,7440,190,..,3226,7440
UCL114035,1805,4570,155,319,155,322,304,641,44,69,28,81,0,0,0,0,7,17,79,161,8,11,6,0,0,0,0,0,11,14,14,28,2214,5416,212,..,2429,5416
UCL114036,2069,4614,325,520,149,283,474,805,64,115,69,119,12,16,0,0,10,21,161,275,13,28,9,5,0,3,21,37,44,73,13,27,2763,5793,857,..,3614,5793
UCL114037,1902,4882,175,271,15,38,193,309,80,100,0,0,0,0,0,0,0,0,79,101,3,7,0,0,0,0,0,4,3,7,11,15,2197,5319,186,..,2382,5319
UCL114038,2596,6298,359,555,13,23,374,574,108,150,0,0,0,0,0,0,0,7,115,151,0,6,8,11,0,0,9,20,15,34,15,23,3103,7084,302,..,3413,7084
UCL115001,679,1645,42,59,0,0,42,59,0,14,0,0,0,0,0,0,0,0,0,14,0,0,39,49,0,0,0,0,39,49,0,0,759,1770,60,..,821,1770
UCL115002,1281,3458,76,159,161,383,239,537,0,0,0,0,0,0,0,0,0,8,5,8,0,8,0,0,0,0,0,8,8,10,6,3,1539,4022,348,..,1890,4022
UCL115003,841,2739,8,22,3,11,13,35,4,3,0,0,0,0,0,0,5,10,3,12,0,0,0,0,0,0,9,13,9,13,4,0,871,2799,26,..,890,2799
UCL115004,633,1488,8,21,4,18,12,35,9,23,0,0,0,0,0,0,0,4,13,28,44,146,21,41,0,0,0,0,65,193,7,9,729,1753,88,..,822,1753
UCL115005,369,844,25,34,0,0,25,34,3,5,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,4,0,3,3,8,3,3,411,893,134,..,538,893
UCL115006,708,1952,7,14,7,25,20,38,8,14,0,0,0,0,0,0,15,25,18,39,0,0,0,0,0,0,5,8,5,8,0,0,758,2035,70,..,825,2035
UCL115007,1023,2963,92,143,0,0,92,143,19,18,0,0,0,0,0,0,4,10,19,25,0,0,43,48,0,0,0,0,44,51,0,3,1185,3189,40,..,1230,3189
UCL115008,415,848,66,84,0,6,73,87,16,16,0,0,0,0,0,0,0,0,16,16,0,0,3,7,0,0,5,14,12,26,4,3,515,982,127,..,640,982
UCL115009,621,1484,62,85,0,0,62,85,18,17,0,0,0,0,0,0,0,0,18,17,3,4,0,0,0,0,0,0,5,7,0,4,704,1602,95,..,801,1602
UCL115010,482,890,12,14,0,0,12,14,10,11,0,0,0,0,0,0,0,0,10,11,0,8,3,0,0,0,0,6,5,8,0,0,506,922,118,..,621,922
UCL115011,573,1403,23,52,0,5,26,52,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,5,0,602,1463,105,..,707,1463
UCL115012,397,887,16,14,0,0,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,8,10,0,4,418,908,62,..,480,908
UCL115013,1516,3624,153,207,23,37,180,249,49,58,0,0,0,0,0,0,7,10,47,63,0,0,3,9,0,0,3,14,9,21,3,13,1762,3972,176,..,1939,3972
UCL115014,1131,2785,62,82,15,23,75,105,6,10,0,0,0,0,0,0,4,3,11,17,5,3,0,0,0,0,3,4,5,9,7,17,1227,2931,92,..,1317,2931
UCL115015,620,1353,40,57,36,69,78,127,53,83,0,0,0,0,0,0,3,3,53,86,0,0,11,15,0,0,9,10,21,30,0,0,773,1604,302,..,1070,1604
UCL115016,348,824,11,27,23,40,39,62,7,25,0,0,0,0,0,0,0,3,7,27,0,0,0,0,0,0,0,6,0,9,3,9,407,929,120,..,529,929
UCL115017,830,1963,89,130,81,123,172,259,0,0,0,0,0,0,0,0,8,18,9,19,0,0,0,0,0,0,10,14,7,23,5,3,1021,2265,95,..,1115,2265
UCL115018,442,874,14,24,0,0,14,24,0,0,0,0,0,0,0,0,0,0,0,0,11,20,0,0,0,0,0,0,11,20,0,5,471,923,87,..,558,923
UCL115019,1971,4030,28,59,11,14,43,72,17,16,0,0,0,0,0,0,13,26,30,39,0,0,0,0,0,0,7,10,11,12,3,6,2055,4155,620,..,2677,4155
UCL115020,1080,2681,68,84,7,12,72,94,17,27,0,0,0,0,0,0,0,0,17,27,4,4,0,0,0,0,3,14,9,16,3,7,1185,2831,112,..,1296,2831
UCL115021,443,964,12,19,0,0,12,19,5,11,0,0,0,0,0,0,0,0,5,11,3,3,0,0,0,0,0,0,3,3,6,8,468,1003,73,..,542,1003
UCL115022,1068,2629,10,15,5,10,14,27,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,4,3,8,4,9,1090,2676,100,..,1194,2676
UCL115023,494,1112,25,35,0,0,25,35,4,3,0,0,0,0,0,0,0,0,4,3,5,9,0,0,0,0,4,7,9,11,8,13,539,1178,58,..,593,1178
UCL115024,469,1180,9,10,0,3,10,9,14,14,0,0,0,0,0,0,0,0,14,14,0,0,0,3,0,0,0,0,3,9,6,14,495,1220,210,..,706,1220
UCL115025,493,1425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,1425,20,..,514,1425
UCL115026,494,1097,56,101,3,7,58,106,3,6,0,0,0,0,0,0,0,0,3,6,0,4,0,0,0,0,11,16,9,15,0,3,576,1234,94,..,668,1234
UCL115027,888,2435,129,253,19,29,147,281,3,8,0,0,0,0,0,0,0,3,6,10,6,0,0,0,0,0,0,7,3,3,0,0,1046,2731,80,..,1124,2731
UCL115028,804,1955,135,206,23,59,162,271,16,29,0,0,0,0,0,0,0,3,19,33,0,0,0,5,0,0,0,13,3,18,4,4,993,2280,672,..,1665,2280
UCL115029,429,1057,38,67,11,21,47,91,133,195,9,14,0,0,0,0,15,33,152,238,9,18,46,68,0,0,32,59,82,143,5,7,719,1540,160,..,881,1540
UCL115030,446,1002,7,13,0,0,7,13,7,17,0,0,0,0,0,0,0,0,7,17,11,18,3,3,0,0,3,3,14,26,0,0,473,1052,57,..,528,1052
UCL115031,1095,2369,17,28,0,0,17,28,14,17,0,0,0,0,0,0,5,8,21,26,0,0,0,0,0,0,6,9,6,9,0,0,1138,2437,164,..,1304,2437
UCL115032,765,1907,0,7,3,5,4,6,6,11,0,0,0,0,0,0,10,24,13,38,0,0,0,0,0,0,8,24,8,24,0,0,795,1974,140,..,936,1974
UCL115033,1216,3568,34,69,21,46,56,115,20,43,0,0,0,0,0,0,0,5,24,55,0,0,0,0,0,0,5,12,5,12,3,0,1303,3754,70,..,1367,3754
UCL115034,573,1658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,572,1668,25,..,597,1668
UCL115035,1341,3633,49,89,0,4,53,95,3,6,0,0,0,0,0,0,0,4,6,9,0,0,0,0,0,0,0,0,0,0,0,7,1402,3743,63,..,1463,3743
UCL115036,1188,2782,12,20,22,55,35,71,0,4,0,0,0,0,0,0,9,11,7,15,7,10,7,9,0,0,0,0,10,19,0,0,1250,2885,1159,..,2407,2885
UCL115037,405,1145,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,411,1163,19,..,424,1163
UCL115038,564,1222,25,44,0,9,24,48,12,16,0,0,0,0,0,0,0,0,12,16,0,0,0,0,0,0,0,5,0,5,0,3,603,1296,78,..,685,1296
UCL115039,1052,2519,39,69,3,6,44,74,68,88,0,0,0,0,0,0,0,0,68,88,7,11,3,0,0,0,7,24,15,37,7,14,1188,2731,444,..,1630,2731
UCL115040,527,1470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,4,11,6,14,0,0,533,1492,37,..,567,1492
UCL115041,900,2118,32,43,0,5,37,46,11,18,0,0,0,0,0,0,0,0,11,18,0,0,0,0,0,4,0,4,4,7,0,5,950,2202,244,..,1194,2202
UCL115042,642,1567,16,25,0,4,19,25,9,8,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,3,0,5,4,6,0,0,670,1612,57,..,728,1612
UCL115043,805,1824,4,8,0,3,6,4,58,78,0,0,0,0,0,0,0,0,58,78,4,0,0,4,0,0,0,6,7,6,7,0,878,1918,116,..,995,1918
UCL115044,772,1852,26,45,0,6,22,47,44,60,0,0,0,0,0,0,0,0,44,60,0,0,0,0,0,0,5,13,5,13,0,0,843,1969,192,..,1034,1969
UCL115045,371,916,6,10,6,6,9,21,4,6,0,0,0,0,0,0,0,0,4,6,0,4,0,0,0,0,0,7,4,14,0,3,398,957,29,..,421,957
UCL115046,570,1564,4,4,4,4,7,7,0,3,0,0,0,0,0,0,0,0,0,3,9,8,0,0,0,0,0,0,7,7,3,5,581,1587,58,..,644,1587
UCL115047,831,1838,44,56,5,9,48,61,6,6,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,4,12,6,14,4,7,891,1931,122,..,1006,1931
UCL115048,1381,3130,94,150,21,38,115,191,14,26,0,0,0,0,0,0,5,4,18,31,0,0,0,3,0,0,12,31,12,33,0,5,1527,3383,971,..,2505,3383
UCL115049,429,1010,12,18,0,0,16,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,4,448,1040,57,..,505,1040
UCL115050,600,1826,32,71,9,30,40,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643,1932,20,..,666,1932
UCL115051,766,1687,4,10,6,10,10,22,67,110,0,0,0,0,0,0,0,0,67,110,0,3,0,0,0,0,0,0,0,3,0,0,843,1827,246,..,1090,1827
UCL115052,521,1279,71,116,0,0,71,116,25,31,0,0,0,0,0,0,0,0,25,31,0,3,0,0,0,0,9,9,6,9,3,6,623,1435,79,..,697,1435
UCL115053,446,910,11,25,0,0,16,25,6,10,0,0,0,0,0,0,0,0,10,10,0,0,5,3,0,0,3,6,7,9,0,0,482,955,70,..,549,955
