SA2_MAINCODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
101061543,25,35,13,29,19,12,0,6,0,150,32,34,11,52,31,13,9,9,3,192,165,54,403,144,104,92,87,144,16,1203,9,8,0,14,12,20,0,10,0,71,21,7,6,19,17,18,4,17,0,115,3,3,0,4,10,3,0,8,0,31,14,7,17,4,17,19,14,26,4,125,369,511,471,308,263,180,125,243,27,2491
101061544,75,15,10,19,24,7,4,13,0,164,42,20,20,32,20,3,0,23,0,161,155,28,214,73,54,31,66,110,16,747,16,0,8,6,8,9,3,19,0,69,21,0,8,5,20,7,3,18,0,79,13,7,3,0,0,0,0,3,0,25,26,6,13,18,9,4,14,25,4,120,514,299,280,183,180,68,88,230,25,1864
102011028,36,85,24,42,24,14,3,3,0,237,47,66,24,54,46,18,5,13,3,275,99,56,311,92,86,41,31,54,11,779,10,0,0,3,6,12,0,0,0,38,16,8,13,21,23,9,3,3,0,94,6,7,0,8,4,3,4,0,0,31,9,13,8,9,11,3,6,3,8,61,409,985,405,291,270,135,49,95,33,2673
102011029,50,80,21,35,45,21,4,11,0,266,64,75,22,68,69,24,4,9,3,341,141,64,477,122,125,74,44,85,12,1153,7,3,3,11,19,3,0,7,0,59,11,14,14,16,41,13,3,17,3,131,7,6,3,3,16,3,0,3,0,43,10,10,22,12,14,10,7,13,3,109,486,988,606,348,436,185,75,165,48,3323
102011030,27,27,7,19,24,9,3,7,3,123,36,20,19,18,29,8,4,7,0,136,109,13,191,45,48,30,37,52,11,538,8,6,0,3,6,3,6,3,0,39,12,6,11,12,11,9,5,13,0,83,5,0,0,0,0,0,0,0,0,14,21,4,11,6,11,5,3,9,7,74,316,293,254,120,169,80,61,106,26,1436
102011031,54,99,27,42,64,27,4,6,5,335,78,68,39,75,76,29,7,8,5,399,158,87,410,146,152,93,52,102,13,1208,11,6,3,6,20,10,3,13,0,70,18,13,8,25,44,28,8,9,0,136,4,9,3,0,10,5,3,7,0,40,10,18,6,16,15,6,3,3,8,87,589,1220,537,401,512,242,80,170,50,3805
102011032,54,107,37,72,69,28,17,13,11,404,84,148,66,141,129,60,12,29,4,675,199,152,577,276,235,168,96,158,17,1881,9,13,6,11,23,29,5,21,3,134,22,24,12,36,41,33,16,17,0,207,12,36,8,6,17,13,3,3,0,99,10,17,17,17,19,22,9,24,18,153,655,1980,818,727,748,438,168,327,83,5941
102011033,33,44,15,30,26,7,5,14,5,177,39,46,24,60,45,19,4,7,3,255,75,46,296,99,121,46,64,75,16,839,11,6,0,9,12,5,3,10,0,57,7,7,17,13,23,10,3,6,0,83,4,5,3,7,12,8,0,0,0,31,11,9,3,5,9,4,8,8,4,47,257,447,395,267,317,120,100,128,33,2065
102011034,23,40,10,23,22,10,4,3,0,132,27,33,25,56,45,18,3,3,3,210,91,41,302,104,89,51,45,51,12,790,3,3,3,3,14,6,3,3,0,48,5,12,3,15,11,9,3,12,3,76,5,0,3,3,12,3,0,3,0,33,12,6,5,5,9,6,0,6,3,55,241,523,373,268,243,125,69,92,27,1960
102011035,14,47,17,21,19,9,4,3,5,138,31,55,25,61,50,9,3,8,8,250,95,76,299,116,102,58,66,74,13,885,3,3,0,7,12,14,8,8,0,55,4,11,6,15,24,10,3,4,0,79,3,3,0,6,4,3,4,0,0,23,4,3,4,6,7,7,3,9,9,66,230,622,379,275,287,134,90,130,60,2205
102011036,27,52,14,34,33,11,3,8,0,180,43,58,31,58,62,21,12,15,0,300,103,58,379,129,129,64,63,88,5,1017,7,3,3,3,13,5,3,8,0,49,4,9,3,22,25,6,5,7,0,85,3,7,3,3,10,3,0,0,3,25,11,5,10,7,17,3,6,12,12,73,329,738,469,304,354,132,89,154,35,2599
102011037,30,56,5,37,33,21,3,4,4,193,27,43,28,40,41,21,0,4,3,205,62,57,204,84,76,40,37,47,15,621,5,0,0,3,15,3,0,4,0,31,6,8,4,17,27,10,0,0,0,70,0,10,3,0,0,0,0,3,0,18,5,8,3,4,14,0,7,10,7,58,253,651,271,235,274,123,53,73,34,1962
102011038,26,43,13,24,18,16,4,3,0,151,47,42,20,56,60,20,4,5,4,273,99,35,380,95,110,52,38,75,5,899,3,0,5,5,13,10,4,3,0,43,13,3,4,25,26,11,9,9,0,93,4,3,0,0,4,0,0,0,0,12,6,7,4,8,6,10,8,3,7,65,297,560,451,253,287,144,63,113,25,2208
102011039,92,106,30,58,71,24,4,12,3,411,70,96,28,90,84,33,5,18,8,424,204,78,509,160,148,98,46,78,17,1343,9,9,0,9,19,11,0,4,0,70,16,22,9,25,44,25,3,7,3,156,8,14,4,7,12,0,4,0,0,52,10,22,13,10,18,16,0,13,11,113,757,1704,646,473,552,261,83,149,68,4700
102011040,65,119,39,68,80,25,3,14,5,417,71,121,65,163,123,47,17,20,6,631,214,169,843,364,264,153,146,207,36,2395,7,8,19,26,34,26,8,18,0,146,32,37,18,53,58,29,19,36,3,271,16,14,11,9,21,9,4,10,0,92,11,28,22,34,35,14,25,37,27,245,648,1431,1079,839,772,356,237,386,98,5843
102011041,60,79,18,30,43,15,7,0,3,262,59,70,35,68,60,26,3,11,3,332,165,63,410,135,117,69,40,67,16,1076,4,9,0,8,12,6,0,0,0,43,16,18,11,21,35,11,3,12,0,115,0,5,4,4,5,8,0,5,0,45,14,15,9,18,16,17,3,7,3,96,512,1147,523,352,392,190,60,116,42,3340
102011042,42,55,24,54,43,13,4,7,0,243,54,67,38,75,64,30,9,11,5,342,117,90,479,175,141,109,84,125,19,1341,5,7,7,27,20,5,3,11,0,93,5,9,12,21,35,17,11,13,3,122,4,10,5,3,9,3,3,4,4,52,11,10,9,16,17,10,8,15,23,125,414,833,616,451,448,231,122,222,69,3409
102011043,24,62,24,43,41,13,5,11,3,220,39,70,28,83,72,28,10,21,4,357,107,74,409,173,157,81,96,98,15,1204,6,7,5,10,27,7,8,15,0,89,4,13,16,33,28,7,8,12,0,114,6,16,5,3,9,0,0,9,0,51,5,8,13,14,14,10,3,12,12,99,289,809,541,439,431,181,132,186,45,3061
102021044,66,100,28,76,53,23,7,13,8,370,102,108,57,193,99,39,7,31,14,645,255,133,1043,331,296,195,166,276,38,2725,9,10,14,15,27,34,9,18,0,131,20,27,23,59,62,29,18,31,6,257,3,8,10,7,17,13,4,3,0,69,16,18,24,31,24,27,21,31,21,206,656,1350,1247,824,687,417,238,415,95,5919
102021045,15,35,7,29,28,9,4,0,0,123,23,37,20,101,34,27,11,9,10,273,129,78,437,230,140,85,125,147,32,1403,10,0,11,14,11,17,3,16,0,77,14,4,10,34,20,10,11,22,0,117,5,3,3,4,3,0,0,9,0,33,8,11,10,19,9,17,10,23,13,118,249,365,501,464,269,184,180,230,51,2497
102021046,29,30,13,30,19,14,0,3,0,133,35,29,26,69,47,19,12,14,0,252,74,68,441,150,117,80,101,110,17,1158,11,6,3,16,16,16,0,10,0,72,13,9,4,25,19,14,9,6,3,91,0,7,0,3,3,0,0,7,0,16,8,6,8,8,10,8,11,31,6,100,198,403,508,335,269,162,136,187,34,2229
102021047,46,74,16,52,60,18,4,16,0,297,96,91,44,127,106,44,9,16,3,538,207,114,780,247,235,138,127,190,37,2075,12,8,5,12,28,28,4,14,0,111,18,16,19,51,55,22,13,22,3,210,8,8,6,6,15,0,5,11,0,55,12,12,24,23,20,11,6,18,17,132,562,1034,918,584,617,304,181,298,79,4583
102021048,38,77,21,51,50,16,12,9,0,275,54,70,59,182,91,45,11,21,7,536,203,135,867,364,236,150,195,247,37,2441,8,12,14,19,38,27,10,15,3,155,11,19,9,51,42,33,20,23,5,208,5,6,3,10,11,3,3,8,0,46,12,28,25,27,21,26,18,48,19,231,437,892,1029,803,547,331,293,400,79,4809
102021049,27,36,4,17,16,9,3,3,3,111,20,18,16,19,21,6,3,3,0,101,63,19,178,30,40,20,27,29,4,402,3,3,0,3,6,4,0,0,0,17,13,4,4,6,17,6,3,0,3,59,0,0,0,3,3,0,3,0,0,13,10,3,3,0,3,3,0,3,3,38,208,295,224,99,131,51,43,49,20,1108
102021050,25,54,14,19,19,8,3,3,4,147,34,38,23,78,32,23,3,10,0,236,79,72,471,172,121,88,119,133,20,1272,5,0,3,13,15,17,0,18,0,78,14,8,3,23,20,16,11,7,0,98,0,3,3,0,9,3,0,4,0,30,7,5,17,12,19,11,13,22,14,108,220,434,552,367,265,172,155,200,39,2411
102021051,27,47,11,19,24,8,3,3,0,125,35,39,17,32,35,15,8,10,3,193,69,34,198,79,78,44,39,46,12,590,0,0,0,3,10,3,3,4,0,25,6,8,8,14,25,3,3,3,0,66,0,6,3,0,3,0,3,0,0,16,5,7,12,8,13,4,8,5,0,65,230,494,259,190,240,94,70,77,13,1669
102021052,21,17,4,13,10,3,0,6,0,79,21,19,16,44,16,15,3,9,3,144,56,36,294,99,69,55,68,94,11,779,3,3,4,6,5,8,4,5,0,37,8,0,3,14,19,13,15,6,0,78,0,3,3,0,3,0,0,3,0,15,5,6,6,5,8,5,5,3,3,49,135,233,333,210,163,99,96,120,24,1413
102021053,42,70,25,50,42,17,5,8,3,260,61,64,32,99,65,35,13,9,10,387,168,99,570,225,174,105,86,123,15,1563,14,6,5,18,18,18,6,12,0,99,21,7,13,24,39,34,7,18,0,163,3,12,5,3,6,4,3,8,3,51,14,17,22,19,24,20,4,31,16,163,429,902,704,525,436,265,130,231,71,3690
102021054,23,37,17,27,13,13,5,3,4,140,32,46,22,55,42,26,7,13,7,241,86,62,397,153,108,82,69,114,10,1084,3,0,3,11,10,15,3,12,0,50,7,5,5,20,12,5,10,13,0,75,3,0,5,3,8,7,0,0,0,32,3,9,13,8,11,11,7,15,8,80,214,473,478,302,244,170,107,166,30,2196
102021055,13,19,9,24,17,11,3,3,0,103,31,23,22,39,27,15,3,4,3,172,57,32,200,76,79,46,54,49,4,592,3,0,3,4,10,10,3,6,0,40,3,3,3,10,19,4,3,13,0,56,0,3,0,0,5,0,0,0,0,9,0,4,3,7,3,4,8,6,3,39,194,364,262,204,204,109,72,91,20,1524
102021056,49,53,32,74,37,17,5,10,0,273,99,91,46,151,95,39,13,17,8,559,184,121,597,244,262,124,153,128,37,1844,7,3,8,16,24,33,12,15,3,113,7,13,11,31,42,23,18,17,3,177,3,11,0,4,17,3,3,3,0,43,21,8,10,18,12,8,14,12,12,123,509,929,738,628,566,273,224,213,69,4159
102021057,19,27,7,25,28,3,3,10,3,121,29,21,22,51,35,14,5,9,3,201,78,57,280,150,107,69,50,110,23,927,4,0,4,6,13,8,0,15,0,52,3,3,6,25,22,9,3,12,0,90,4,4,3,3,3,0,3,7,0,29,6,7,16,12,16,8,7,24,11,102,196,367,355,313,272,127,85,196,47,1952
103011058,61,107,31,75,58,28,8,18,3,395,90,120,67,178,93,44,23,27,10,640,263,122,868,402,280,177,202,251,32,2603,14,6,18,30,51,30,11,26,0,190,19,20,22,32,65,35,9,41,6,253,10,14,5,14,10,13,3,8,0,85,19,12,25,27,19,16,7,43,17,179,833,1960,1132,968,780,414,289,475,91,6950
103011059,19,58,11,55,37,7,7,3,4,192,50,48,38,90,48,17,6,17,4,311,144,67,499,205,156,88,123,155,9,1447,11,10,8,13,32,14,3,9,0,104,9,5,4,16,35,25,9,16,3,122,0,8,0,6,9,3,3,5,0,37,8,7,15,15,13,6,11,19,6,99,370,784,606,493,402,187,164,236,41,3280
103011060,34,46,14,22,29,3,4,4,5,163,18,24,19,37,30,13,9,15,3,162,140,37,318,88,77,35,69,80,17,862,12,8,8,3,21,8,3,7,0,57,20,10,3,18,25,14,6,7,0,103,3,7,3,3,9,3,0,3,0,33,26,6,12,3,12,7,10,19,7,104,409,514,412,216,268,93,100,147,37,2188
103011061,16,23,6,19,4,3,0,4,3,70,12,13,8,14,16,7,6,3,0,81,81,15,176,39,31,17,87,47,14,514,15,0,4,10,9,6,4,9,0,53,7,0,4,13,7,7,12,10,0,66,0,0,0,0,0,0,0,0,0,3,21,7,0,3,3,4,7,11,5,59,211,177,204,109,95,43,124,96,23,1084
103021062,34,33,0,17,17,3,3,4,0,114,25,9,8,28,23,4,4,6,0,115,165,19,170,62,40,33,53,65,6,605,13,0,4,7,12,7,5,3,0,53,31,3,8,11,6,4,4,5,0,64,4,3,0,0,4,0,3,0,0,13,35,5,13,5,16,3,12,18,11,118,398,294,213,163,128,67,84,98,25,1463
103021063,24,42,10,22,14,6,3,10,0,127,23,23,9,49,26,14,4,7,0,144,106,57,316,128,88,78,63,113,21,957,10,3,3,9,18,18,3,14,0,70,7,11,6,25,15,9,3,17,0,99,3,0,3,3,3,3,3,4,0,19,14,10,10,18,6,16,10,12,10,114,234,446,367,293,197,156,87,179,31,1991
103021064,31,25,4,20,8,7,4,5,0,109,39,23,12,31,14,4,3,10,3,140,159,18,150,59,40,27,49,71,11,591,11,0,0,4,10,5,3,6,0,41,23,5,0,12,17,4,3,4,0,70,3,3,0,0,5,0,0,0,0,18,24,3,8,5,3,3,3,12,7,72,377,262,192,163,130,60,67,130,17,1410
103021065,52,42,13,32,16,8,3,8,0,175,51,29,12,58,32,7,3,8,7,207,178,56,365,106,118,76,95,113,18,1131,13,0,11,8,11,17,0,12,3,75,19,11,4,17,34,12,14,16,0,129,3,3,3,6,8,0,4,4,3,35,31,5,20,18,13,16,12,15,16,146,494,545,435,273,266,147,133,200,48,2541
103021066,23,20,0,3,15,3,0,3,0,78,26,3,3,15,8,0,3,5,0,72,101,15,82,37,31,16,26,39,5,343,10,0,4,4,8,0,0,6,0,33,22,0,0,0,5,0,3,3,0,42,7,0,0,3,0,0,0,0,0,11,20,3,9,5,0,8,0,11,0,46,266,168,104,81,86,26,37,72,7,843
103021067,24,47,11,29,17,3,6,0,0,131,45,36,27,52,44,13,14,3,0,235,143,65,447,168,138,77,186,100,19,1341,12,3,7,13,30,18,8,12,0,100,13,8,9,19,30,14,10,16,3,117,5,4,7,3,4,3,0,0,0,28,10,15,7,21,17,19,18,9,9,128,343,612,538,346,328,159,241,148,52,2764
103021068,25,13,3,6,0,0,5,5,0,58,16,13,4,12,14,5,0,3,0,72,124,14,81,41,25,10,40,30,4,374,4,0,0,3,6,0,3,7,0,25,11,0,3,11,6,3,3,0,0,46,3,0,0,0,0,0,0,0,0,6,16,0,4,3,3,6,3,8,0,49,271,159,95,84,70,27,59,64,13,834
