SUA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
1010,14,192,732,843,983,783,363,103,61,4068,7,79,525,574,617,501,196,40,16,2551,4,34,333,422,513,419,100,24,10,1864,0,6,191,352,378,317,60,17,7,1324,0,10,195,425,448,318,75,24,6,1497,0,7,68,194,188,165,72,28,13,743,410,322,617,546,727,822,768,746,644,5601,4046,3498,7259,7683,8898,9925,8051,4609,2031,56007
1011,15,197,668,521,552,412,161,48,15,2583,3,71,458,361,333,252,56,16,12,1561,0,36,303,323,339,230,48,10,6,1287,0,19,195,279,232,191,34,11,0,955,0,9,201,305,342,215,39,6,3,1119,3,3,61,94,129,90,39,18,7,454,246,223,470,367,370,354,343,279,145,2798,2274,2366,5214,4347,4431,4135,2972,1901,798,28440
1012,0,31,128,139,204,221,140,67,35,959,3,19,73,95,108,112,82,20,11,514,0,3,51,71,97,98,42,15,14,392,0,0,29,60,69,79,16,4,5,269,0,0,27,68,79,96,30,14,7,309,0,3,9,33,44,49,33,20,7,203,125,61,129,144,172,258,401,428,367,2086,989,683,1448,1696,2205,3113,3879,2580,1231,17828
1013,4,98,388,292,306,281,94,33,15,1524,0,49,202,205,229,178,59,4,6,931,0,15,162,216,178,167,36,11,8,798,0,9,95,162,159,138,14,0,3,579,0,10,106,177,203,136,24,8,0,664,0,0,18,36,44,48,21,9,3,184,156,197,417,352,299,231,273,297,211,2435,1364,1400,2997,2756,2959,2855,2346,1395,667,18737
1014,3,38,177,181,200,177,86,37,21,922,0,22,105,133,111,88,31,5,0,499,3,8,68,98,103,86,21,12,3,402,0,4,45,75,89,69,17,0,0,305,0,3,40,80,84,77,18,0,7,310,0,0,10,32,36,32,14,7,3,143,144,118,246,224,207,187,225,229,197,1787,1151,967,1998,2078,2256,2445,2138,1435,725,15191
1015,8,94,348,226,243,227,77,20,17,1264,0,29,206,172,173,137,36,13,3,770,0,11,125,147,125,95,43,11,4,556,0,4,71,90,99,71,17,9,0,360,3,6,75,119,127,72,24,4,11,439,0,4,17,57,58,50,15,11,3,216,159,139,300,250,240,257,241,259,248,2104,1170,1194,2826,2315,2338,2125,1497,1155,596,15205
1016,0,34,138,139,153,104,51,13,7,648,0,11,63,66,83,52,14,7,0,298,0,3,38,46,47,45,11,0,3,192,0,3,16,46,53,34,3,0,0,157,0,0,17,39,42,24,4,0,0,142,0,3,16,7,16,16,7,6,0,71,167,172,389,281,257,286,224,232,225,2229,925,833,1640,1556,1784,2009,1713,929,480,11870
1017,3,96,355,362,398,347,106,50,23,1736,4,29,200,219,235,200,40,8,4,941,0,8,120,167,189,138,28,12,3,661,0,3,52,101,139,108,12,8,0,419,0,5,56,124,126,122,28,10,3,465,0,0,11,30,46,44,26,5,10,182,193,240,328,255,302,360,276,220,164,2334,1789,1947,3335,3306,3711,3831,2753,1703,970,23341
1018,7,59,137,108,135,140,62,26,8,673,0,28,94,79,122,82,17,7,0,428,0,13,60,52,75,81,17,4,0,300,0,4,36,38,69,47,6,6,0,211,0,12,80,104,118,81,9,0,0,403,0,0,25,35,56,39,21,4,3,182,106,129,294,225,186,178,196,144,75,1532,725,741,1530,1405,1595,1735,1594,965,381,10670
1019,8,84,301,262,343,296,155,57,17,1517,3,34,205,180,215,193,49,18,6,901,0,12,147,180,193,138,45,13,8,742,0,5,81,128,166,101,37,7,0,520,0,3,89,143,199,163,32,9,0,645,0,4,28,50,89,65,23,14,4,268,93,79,152,141,183,243,293,260,262,1700,1443,1360,2363,2459,2985,3198,2975,1988,919,19686
1020,0,56,148,124,140,95,37,28,7,644,0,16,114,86,74,70,21,3,5,398,0,14,79,81,81,53,12,10,0,332,0,6,70,87,82,47,9,3,3,315,0,21,164,164,123,73,15,3,0,563,0,4,76,80,64,41,19,4,4,298,101,60,151,130,145,143,126,101,40,984,656,643,1612,1437,1509,1258,1034,690,304,9135
1021,6,60,145,104,123,80,33,10,3,564,0,47,123,95,94,59,17,4,0,443,0,10,115,88,98,53,18,0,0,384,0,13,98,70,97,48,6,3,0,328,0,14,171,183,227,117,10,0,0,724,0,3,43,64,67,41,8,0,0,225,84,72,245,188,171,138,111,83,42,1128,714,771,1874,1527,1663,1307,876,439,138,9305
1022,11,69,230,313,350,323,240,78,37,1650,0,20,178,195,259,211,107,21,12,1000,0,10,120,209,201,168,72,21,5,800,0,0,56,142,184,113,48,16,3,565,0,5,57,183,263,159,51,22,5,756,0,4,20,97,109,102,66,30,13,442,156,99,153,181,269,309,502,468,345,2478,1483,1137,2014,2743,3412,3870,4474,2530,1002,22658
1023,83,2211,8041,6327,6372,5285,2032,567,211,31128,29,835,5607,4680,4502,3480,972,207,71,20382,13,356,4333,4381,4280,3068,688,138,55,17321,3,156,2590,3481,3312,2236,383,95,38,12292,7,156,3362,5416,4981,3131,540,138,56,17792,25,76,869,2399,2540,1794,523,178,82,8489,1946,1960,3963,3439,3793,3743,3768,3336,2887,28841,28066,31734,61151,58095,59743,57093,44652,24621,11417,376562
1024,5,153,477,371,434,369,140,55,23,2021,3,88,345,277,279,221,73,29,5,1323,0,22,236,239,238,179,47,10,10,974,0,6,135,188,195,160,30,4,0,717,0,9,100,225,232,160,33,5,3,774,4,7,41,68,96,91,21,17,4,351,292,339,607,519,483,427,440,358,279,3747,2164,2339,4465,4033,4328,4604,3931,2161,904,28934
1025,8,186,661,541,504,419,171,58,14,2569,3,94,471,386,363,273,91,22,7,1710,0,47,369,395,303,260,63,20,5,1464,0,20,228,298,319,194,38,13,4,1125,0,19,295,467,395,237,53,12,4,1481,0,5,51,190,176,110,61,16,5,612,273,177,389,378,399,338,335,312,166,2767,2506,2233,5248,4912,4733,4373,3456,2131,903,30504
1026,0,63,123,120,124,117,40,22,5,609,0,29,105,90,123,67,20,9,3,445,0,15,87,87,64,66,14,3,0,328,0,7,65,73,66,45,11,4,0,271,0,0,69,90,102,49,5,0,3,322,0,0,16,25,40,21,13,3,0,117,98,55,109,116,147,132,163,148,90,1056,777,648,1280,1200,1347,1335,1030,727,344,8692
1027,10,117,495,560,587,479,306,133,54,2748,0,52,338,384,393,346,146,38,13,1717,0,21,250,347,392,259,74,19,12,1359,0,5,137,271,318,195,50,20,7,1006,0,4,150,341,348,236,62,22,15,1180,3,0,48,168,191,140,76,27,10,661,212,148,327,284,388,437,650,619,601,3669,2544,1889,4271,4834,5659,5997,6459,4167,1972,37799
1028,19,105,232,145,192,111,44,19,8,877,7,55,157,127,128,96,17,6,0,606,0,30,170,123,144,94,16,6,3,582,0,29,135,118,136,84,13,0,0,517,0,18,265,342,300,177,18,4,0,1128,3,3,75,143,137,91,14,0,3,471,107,72,186,163,159,134,106,71,46,1036,1204,1143,2253,2151,2233,1721,1051,597,292,12640
1029,4,41,174,181,207,202,119,26,12,967,3,25,128,114,121,114,43,10,4,573,0,3,79,122,120,106,25,7,3,470,0,5,47,76,109,70,13,10,0,331,0,3,31,108,94,79,28,9,0,347,0,0,19,35,36,37,18,14,10,167,97,71,113,120,203,177,281,256,222,1532,959,742,1520,1858,2182,2742,2999,1681,619,15301
1030,1047,25052,93817,63450,56110,43182,18584,5531,2266,309038,343,11018,70947,51427,42600,29904,11419,2948,1115,221726,186,4448,57713,50185,40490,27297,8849,2399,1002,192581,112,1637,36273,40559,31934,20518,5984,1565,663,139248,110,1303,50731,75851,55591,32522,9241,2419,959,228717,245,723,17806,56275,53390,28177,9579,3006,1356,170560,20537,25523,61124,46591,39766,33063,27937,21372,17974,293897,265224,319848,733560,650182,576942,475167,331099,180234,85000,3617260
1031,14,171,757,563,561,504,219,65,41,2898,0,84,472,364,325,283,77,19,3,1629,3,45,273,278,314,236,46,16,3,1212,0,12,148,210,245,188,41,3,6,860,0,9,173,296,317,222,42,27,3,1083,3,4,60,78,140,96,32,23,12,444,345,257,510,459,426,491,405,335,177,3408,2637,2535,5538,4719,4976,4889,3832,2413,1043,32592
1032,4,57,220,228,284,259,107,58,23,1245,0,19,133,159,159,127,44,19,4,674,0,6,83,79,122,116,23,8,0,443,0,6,30,66,79,77,13,9,3,282,0,5,31,56,66,74,11,4,0,243,0,5,11,27,36,44,35,8,3,176,198,115,178,178,279,299,358,336,293,2224,1583,1343,2425,2497,3213,3592,3361,2171,1054,21236
1033,0,19,136,149,147,191,132,54,11,839,0,9,76,86,98,94,45,18,4,433,0,3,43,67,79,83,28,14,6,319,0,0,25,40,71,55,18,11,6,216,0,4,15,69,48,72,23,16,3,252,3,0,13,30,22,35,17,8,6,138,94,39,88,98,136,196,274,236,165,1328,765,467,1166,1449,1836,2519,2579,1546,595,12925
1034,25,323,1034,810,771,698,233,90,34,4012,6,133,742,579,556,474,139,36,17,2674,0,60,544,512,488,320,85,22,13,2032,0,16,292,440,406,288,58,18,3,1517,0,9,271,516,503,327,75,17,9,1730,7,16,60,176,221,184,64,25,12,771,339,332,510,431,434,459,460,365,220,3542,3786,4410,7566,6558,6465,6188,4465,2719,1304,43454
1035,48,1289,4314,3773,3809,3083,1224,425,125,18090,15,553,3286,2851,2824,2062,603,127,46,12374,10,249,2554,2775,2755,1897,379,94,29,10746,0,94,1510,2313,2287,1552,240,63,12,8066,12,75,1717,3566,3373,1991,340,90,25,11185,23,49,432,1449,1548,969,278,97,30,4858,1346,1289,2254,2023,2248,2353,2375,2058,1237,17180,18495,20492,35262,35947,37489,34962,27026,16532,7063,233270
