SUA_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
1010,4,3,12,68,64,137,5,0,7,0,0,0,8,17,29,9991,9490,19477,734,1003,1737,305,9,311,166,21,192,176,51,226,93,71,170,407,406,818,11970,11150,23119,3,7,3,0,0,0,0,0,0,7,5,5,3,0,3,0,0,0,11,10,17,0,0,0,0,0,0,5,8,6,10,8,18,3,0,4,17,16,34,119,51,168,145,71,217,0,0,3,3,0,3,10,0,10,12,0,16,573,807,1382,1025,1659,2679,153,144,295,13879,13826,27704
1011,3,0,4,33,35,66,3,0,4,0,0,0,21,26,46,6354,5934,12286,481,647,1125,176,0,177,98,13,111,68,22,91,38,28,69,260,238,500,7530,6947,14471,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,3,0,3,0,3,3,0,0,3,3,3,12,62,37,98,70,41,118,5,0,3,0,0,0,4,0,4,13,3,10,170,262,433,512,940,1451,79,81,157,8372,8275,16647
1012,5,0,5,14,12,32,0,0,0,0,0,0,3,3,10,2058,2044,4099,162,218,381,63,0,65,20,3,22,52,17,66,25,7,30,122,159,280,2520,2472,4991,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,12,43,33,15,46,0,0,0,0,0,0,0,3,3,0,3,4,114,151,270,299,487,790,55,50,109,3032,3179,6214
1013,8,9,15,37,13,53,0,0,0,0,0,0,18,19,36,3666,3235,6897,339,333,674,112,6,117,43,0,43,19,8,26,28,14,39,176,154,332,4450,3789,8238,0,0,3,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,5,5,42,15,58,42,30,71,0,0,0,0,0,0,4,0,4,4,0,5,95,163,256,420,612,1033,61,44,108,5073,4640,9708
1014,3,3,5,9,11,22,0,0,0,0,0,0,7,9,11,2289,2144,4432,183,195,379,81,3,85,33,3,37,85,38,120,14,5,21,162,151,315,2872,2562,5431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,3,4,22,14,39,25,17,42,0,0,0,0,0,3,0,0,0,0,0,3,78,142,226,286,448,730,37,28,68,3302,3195,6499
1015,3,3,8,3,7,15,0,0,0,0,0,0,10,13,20,3491,2818,6308,365,419,784,69,0,69,31,3,32,38,9,44,30,11,36,123,89,213,4155,3371,7523,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,4,3,7,46,15,58,50,14,63,0,0,0,0,0,0,0,0,0,0,0,0,61,114,172,214,391,611,56,67,121,4537,3961,8499
1016,0,0,0,3,9,19,0,0,0,0,0,0,0,3,4,1622,1500,3118,140,158,299,83,3,91,22,3,25,12,4,13,12,5,21,66,59,123,1958,1746,3705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,16,5,26,18,7,25,0,0,0,0,0,0,0,0,0,0,0,0,56,103,160,174,296,470,54,46,103,2264,2199,4467
1017,0,3,3,32,25,61,0,4,3,0,0,0,6,19,25,4167,4031,8192,297,444,736,119,5,121,80,7,86,64,21,89,49,20,71,228,220,446,5035,4800,9831,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,6,8,10,3,0,4,7,8,11,54,27,79,55,38,93,0,0,0,0,0,0,3,0,3,5,0,9,147,236,380,367,720,1084,65,37,105,5680,5824,11502
1018,22,18,41,6,7,12,0,0,0,0,0,0,3,12,15,1668,1459,3127,99,128,224,38,0,45,6,3,7,20,4,25,13,5,21,141,97,240,2029,1731,3757,3,0,5,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,7,4,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,16,9,22,27,11,35,3,3,7,0,0,0,0,0,0,3,3,7,45,79,122,212,329,537,32,30,61,2346,2177,4523
1019,87,72,163,14,9,25,0,0,0,3,0,3,3,0,3,3331,3050,6380,209,184,391,186,7,190,39,3,40,18,3,25,40,12,55,85,58,146,4015,3407,7419,21,18,37,0,0,0,0,0,0,33,30,67,3,10,10,4,0,4,70,54,118,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,5,44,16,62,115,74,190,17,18,38,0,0,0,0,0,0,23,18,43,194,304,495,395,618,1012,54,50,104,4784,4468,9259
1020,0,0,0,0,3,6,0,0,0,0,0,0,0,6,6,1922,1540,3460,212,160,370,55,4,64,13,4,18,20,5,22,10,3,14,96,132,222,2330,1863,4192,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,16,43,26,20,45,0,0,0,0,0,0,3,0,3,3,0,3,55,112,173,234,321,555,40,34,71,2699,2349,5040
1021,3,3,9,3,4,13,4,0,4,0,0,0,4,0,4,2071,1551,3621,128,119,251,33,3,35,35,0,39,13,4,13,13,3,14,61,63,122,2365,1750,4118,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,6,9,9,24,16,15,33,0,0,0,0,0,0,0,0,0,0,0,0,34,94,128,269,272,534,32,20,47,2716,2151,4860
1022,5,9,12,47,61,108,0,3,3,0,0,0,4,6,4,3697,3265,6966,219,287,511,87,0,87,45,0,45,38,9,43,43,19,62,153,174,330,4332,3827,8161,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,4,7,14,44,32,81,54,40,96,0,0,0,0,0,5,3,0,7,4,6,8,259,371,631,460,694,1152,50,50,103,5158,4987,10151
1023,545,396,943,1295,1437,2731,49,47,97,9,8,18,118,103,223,77342,68516,145858,4595,5032,9628,1587,41,1633,1175,164,1343,1403,410,1815,527,270,799,2345,2500,4843,90993,78931,169928,142,127,266,0,0,0,3,0,4,200,123,320,38,36,71,65,12,75,441,294,737,14,17,32,0,0,0,72,113,179,82,124,205,33,26,55,199,275,468,966,434,1402,1609,998,2603,123,106,231,25,42,63,43,18,56,188,163,348,2711,4352,7069,8811,14306,23120,855,779,1630,105171,99532,204697
1024,23,23,38,22,24,44,0,0,0,0,0,0,11,12,21,5037,4508,9549,377,392,774,125,0,131,109,4,112,114,22,132,68,25,92,225,199,420,6112,5206,11319,0,5,5,0,0,0,0,0,0,8,8,19,0,3,3,0,0,0,10,16,30,0,0,0,0,0,0,4,0,4,0,3,5,3,0,0,7,4,13,49,31,81,66,53,122,3,3,9,0,0,0,5,0,5,13,3,17,184,306,484,589,918,1512,91,70,159,7059,6545,13603
1025,5,8,18,38,35,69,9,0,9,3,0,3,16,37,54,6328,5922,12247,518,562,1081,148,4,150,60,5,65,75,12,90,43,18,61,293,258,549,7542,6855,14400,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,3,10,62,31,95,68,36,107,0,3,3,3,0,3,3,0,10,6,9,13,223,364,588,659,1030,1690,80,76,152,8571,8376,16944
1026,0,0,0,13,3,13,0,0,0,0,0,0,15,5,25,1599,1425,3027,163,129,297,51,0,51,11,3,17,13,0,17,14,7,25,108,99,202,1988,1674,3664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,7,0,7,14,3,23,26,3,25,0,0,0,0,0,0,0,0,0,0,0,0,66,104,175,210,258,463,26,20,44,2314,2065,4376
1027,6,3,8,36,42,77,3,0,4,0,3,3,16,17,36,6326,6210,12537,423,591,1016,132,4,139,145,16,161,105,23,125,70,35,109,251,295,549,7517,7242,14757,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,8,0,0,0,0,0,0,3,3,5,0,5,4,0,0,0,4,7,13,68,39,109,80,48,125,5,0,5,0,0,4,3,3,5,7,4,12,366,467,832,689,1068,1759,68,74,140,8727,8905,17633
1028,6,0,6,14,8,24,0,0,0,0,0,0,4,4,12,3146,2320,5462,207,160,374,70,3,74,35,5,45,20,4,26,103,17,118,223,80,304,3823,2603,6433,0,0,0,0,0,0,0,0,0,8,3,9,0,0,0,0,0,0,7,3,12,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,53,13,66,66,18,76,0,0,0,0,0,0,4,0,4,4,0,3,70,111,185,389,433,819,27,26,55,4375,3191,7570
1029,7,7,12,14,10,21,0,0,0,0,0,0,3,3,5,2307,2035,4335,143,169,310,83,0,81,26,4,32,33,8,42,44,10,51,62,67,131,2717,2303,5023,0,0,0,0,0,0,0,0,0,3,8,13,0,0,0,0,0,0,6,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,4,26,11,31,33,18,54,0,0,3,0,0,0,0,0,0,0,0,7,107,187,293,249,462,708,46,42,84,3152,3019,6170
1030,125344,115913,241260,57069,66923,123997,4329,3104,7427,1293,1307,2603,3256,1935,5191,623857,466169,1090025,32406,49638,82045,17192,266,17455,12581,1672,14254,12526,3518,16043,7193,3839,11027,42971,45831,88800,940028,760107,1700133,28245,29699,57940,869,730,1600,750,688,1440,16551,12702,29254,3128,5886,9016,2044,968,3014,51584,50668,102256,771,604,1378,206,242,450,2680,2614,5292,947,2116,3071,800,644,1447,5401,6228,11633,7594,4131,11721,64578,61030,125610,6964,6622,13591,509,459,969,367,139,509,7842,7224,15066,37479,52827,90302,59605,99452,159055,10797,8460,19261,1120325,989108,2109429
1031,8,3,7,36,33,71,6,0,6,0,0,0,20,16,34,6720,6116,12831,554,584,1135,232,5,232,119,13,127,68,13,77,59,32,85,314,272,581,8132,7078,15205,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,7,3,8,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,10,3,15,74,33,110,90,39,131,0,0,0,0,0,3,0,0,3,4,3,5,217,377,597,579,1007,1591,93,84,170,9116,8586,17701
1032,5,0,3,22,16,43,0,0,0,0,0,0,5,10,18,3056,2888,5941,249,289,542,124,0,124,49,4,54,44,3,46,26,14,42,140,143,282,3716,3377,7097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,4,3,0,3,4,0,11,23,18,38,32,21,55,0,0,0,0,0,3,0,0,0,0,3,3,113,155,267,379,575,952,56,65,122,4298,4196,8499
1033,0,8,6,13,4,17,0,0,0,0,0,0,3,11,8,1883,1710,3590,114,145,256,74,0,74,25,0,29,27,3,28,15,11,25,91,105,199,2251,1991,4238,0,0,3,0,0,0,0,0,0,7,0,6,0,3,4,0,0,0,10,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,22,22,10,37,0,0,0,0,0,0,0,0,0,0,0,0,132,208,348,251,372,627,44,43,84,2714,2625,5336
1034,3,5,10,52,48,98,3,0,6,4,0,5,32,36,72,9871,8870,18746,750,822,1574,175,3,184,112,14,130,130,29,160,193,64,256,460,543,1003,11806,10441,22243,0,0,0,0,0,0,0,0,0,8,3,12,0,0,0,0,0,0,11,3,10,0,0,0,0,0,0,3,3,8,0,3,3,0,0,4,8,10,13,83,35,121,94,50,139,4,0,0,0,3,3,5,3,8,5,5,13,266,452,722,786,1542,2327,129,113,247,13090,12599,25687
1035,1986,1451,3442,827,1022,1850,14,5,12,9,5,15,70,72,142,45535,38908,84443,2776,3218,5990,1001,14,1020,508,47,556,541,131,669,352,190,541,1500,1677,3184,55119,46738,101863,190,165,349,0,0,0,8,0,9,780,440,1218,93,132,224,93,18,111,1170,754,1921,0,0,0,0,0,0,33,48,77,41,69,108,25,16,45,97,130,226,472,238,714,1733,1125,2855,127,109,233,12,15,30,26,5,27,161,129,293,1627,2629,4258,5262,8236,13496,600,488,1083,64507,59339,123844
