SED_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SED10055,347,209,143,66,285,333,73,148,17,1622,168,214,181,85,427,443,96,159,328,2103,5236,5341,4142,2569,9462,8872,2118,4210,750,42703
SED10056,49,207,150,94,244,290,99,215,15,1365,80,200,145,109,393,327,94,183,394,1913,1556,5176,4096,2933,8073,7701,2515,6564,920,39535
SED10057,41,168,138,93,210,204,50,113,15,1035,73,159,117,80,172,147,31,85,276,1132,1434,4577,3826,2717,5181,4550,1271,2747,684,26980
SED10058,75,233,190,123,234,214,61,118,8,1250,68,174,113,74,242,260,61,122,216,1334,2438,6347,5018,3384,8422,8518,2457,4689,474,41746
SED10059,263,237,131,73,276,194,77,117,14,1379,109,189,171,89,330,481,108,251,253,1980,4087,5664,4170,2462,9405,11533,3247,6843,528,47940
SED10060,166,193,116,47,121,160,54,91,15,965,86,185,151,89,281,473,98,300,207,1871,2721,4773,3622,2196,7593,11647,3418,8418,483,44858
SED10061,39,175,152,82,271,239,73,152,23,1210,78,163,106,67,188,181,43,157,274,1260,1423,4713,3708,2615,6762,5671,1896,5497,731,33007
SED10062,262,180,107,65,225,205,71,117,12,1254,157,178,133,63,323,317,53,118,245,1580,4905,4761,3918,2258,7402,7518,1725,3645,552,36677
SED10063,47,178,172,99,294,328,123,251,16,1508,45,150,92,67,236,232,54,160,269,1302,1538,4884,4072,2684,7396,7110,2594,6414,625,37327
SED10064,46,164,145,83,256,190,67,121,18,1080,66,196,122,70,193,177,38,110,289,1249,1422,5026,4074,2863,5536,4621,1258,3121,692,28600
SED10065,296,214,143,72,316,282,47,96,22,1488,236,272,254,144,592,534,73,122,520,2746,5768,6275,5398,2792,12714,13136,2132,3752,1045,53013
SED10066,315,173,126,64,281,252,68,138,9,1423,140,204,139,93,379,332,53,148,303,1784,4406,4909,3939,2485,8956,8146,2149,4032,660,39674
SED10067,271,234,160,70,173,238,47,163,9,1372,113,244,190,109,220,381,82,216,195,1751,3302,6275,4401,2557,4950,7858,1978,5082,420,36819
SED10068,46,230,151,113,274,252,71,113,13,1256,60,168,79,59,173,162,26,87,219,1033,1653,5700,4116,3155,6608,5831,1630,3286,506,32484
SED10069,100,208,169,112,268,273,66,115,20,1338,86,160,93,80,234,190,48,136,269,1301,2248,5216,3842,2476,6069,5590,1689,3176,606,30912
SED10070,253,157,110,38,220,186,47,62,16,1094,196,178,173,90,496,371,56,99,379,2031,4568,4043,3420,1946,8811,7244,1414,2398,770,34610
SED10071,385,218,157,62,404,316,79,113,18,1764,231,251,215,124,657,676,110,168,491,2927,6412,6340,5317,3248,15581,15745,2748,4681,1030,61102
SED10072,322,204,160,74,282,237,35,83,14,1416,171,258,271,105,458,401,63,129,458,2308,4582,5803,5359,2725,9907,9544,2052,3954,934,44863
SED10073,280,250,165,74,265,225,47,89,21,1421,163,245,206,95,504,531,84,123,444,2392,4613,6459,4949,2666,11812,12003,2396,4229,805,49942
SED10074,251,176,115,57,236,193,63,89,16,1186,161,193,150,92,428,391,48,119,330,1906,4704,4692,3766,2418,9313,9313,1858,3169,693,39924
SED10075,354,176,103,74,294,302,66,125,25,1528,150,177,132,61,275,256,50,116,252,1485,4245,5683,4461,2937,8359,7438,2112,3458,613,39301
SED10076,75,175,154,77,230,213,52,92,15,1083,83,151,72,71,167,169,43,78,247,1081,1773,5130,3911,2530,5695,5179,1359,2834,584,28984
SED10077,284,211,143,72,249,187,43,87,9,1286,239,317,354,134,494,470,58,112,633,2814,5039,7044,6459,3036,10624,10830,2130,4079,1144,50390
SED10078,241,204,163,83,283,214,58,84,10,1338,124,189,170,105,327,379,78,147,258,1771,3896,5065,4454,2758,9381,9809,2686,4983,542,43566
SED10079,181,219,147,76,244,243,75,101,20,1298,85,152,87,68,221,214,52,97,200,1174,2593,4794,3891,2630,6288,6017,1564,2920,441,31136
SED10080,339,183,130,62,202,200,55,121,16,1298,139,297,289,110,357,570,137,360,418,2666,4676,6426,5501,2553,9326,12998,3592,9786,830,55695
SED10081,55,194,162,98,379,307,88,206,8,1493,68,135,92,77,241,218,59,164,297,1350,1551,4632,3816,2808,7528,7225,2290,6064,654,36558
SED10082,275,241,128,61,215,172,42,101,19,1257,109,204,138,73,186,249,50,123,181,1311,3725,6131,4252,2606,5683,6848,1767,3813,423,35250
SED10083,326,216,134,68,235,207,57,92,23,1355,113,157,126,65,238,244,52,106,228,1318,3632,5422,4067,2531,6826,6125,1707,2865,515,33688
SED10084,117,234,185,122,239,219,58,114,20,1297,110,267,159,95,239,231,43,133,293,1576,2137,6070,4838,3326,6213,5786,1579,3649,683,34278
SED10085,59,201,163,88,286,325,104,213,20,1457,84,167,106,74,198,232,71,172,332,1435,1874,4774,3961,2448,6187,6925,2542,6736,830,36276
SED10086,221,233,138,69,130,159,35,95,14,1100,110,300,231,130,248,543,143,424,370,2506,2917,5539,4234,2332,5660,10429,2881,8330,723,43053
SED10087,51,188,190,136,356,371,98,212,15,1617,56,159,125,88,294,299,71,167,315,1569,1588,5347,4244,2993,8863,7863,2525,5591,700,39727
SED10088,378,264,162,99,252,268,75,114,10,1622,113,202,189,127,370,461,101,203,246,2019,3886,6348,4842,2884,7709,9521,2513,5237,501,43441
SED10089,88,260,198,120,353,324,84,142,8,1585,58,185,117,90,306,273,72,114,265,1476,2503,6891,5283,3614,8860,8082,2260,3847,561,41902
SED10090,240,231,130,67,201,171,41,94,6,1189,112,196,144,82,294,438,109,247,220,1845,3276,5532,4266,2373,7381,10875,2821,7197,463,44189
SED10091,229,279,143,101,293,318,105,187,23,1679,138,219,149,79,301,328,86,208,260,1764,3481,6049,4397,2685,7104,7691,2229,5109,693,39430
SED10092,329,211,142,69,258,267,42,117,6,1440,126,166,131,80,248,304,56,109,287,1507,4066,5799,4319,2595,8032,7093,1924,3405,580,37816
SED10093,331,194,113,64,306,216,67,100,17,1420,136,156,120,89,299,251,37,129,287,1496,3981,5119,3807,2640,7595,6236,1575,3249,672,34873
SED19494,4,7,14,5,12,11,0,15,3,68,14,29,16,8,19,17,9,11,47,166,284,414,316,184,406,405,111,314,87,2511
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
