SED_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SED10011,272,144,412,8,23,31,3,0,3,0,0,0,4,21,29,7459,5689,13144,322,414,736,255,6,257,77,9,85,58,12,70,67,68,137,298,262,557,8821,6643,15466,28,25,50,0,0,0,0,0,0,43,16,54,12,9,23,26,5,30,108,49,157,0,0,0,0,0,0,0,4,9,0,0,4,0,0,0,0,12,11,93,25,117,200,91,292,9,12,25,0,0,3,7,3,6,18,15,28,5452,6536,11996,2199,3212,5414,72,62,133,16764,16563,33326
SED10012,245,257,506,67,117,181,0,0,0,4,0,4,7,14,21,8186,5188,13374,429,859,1287,224,5,229,31,4,37,29,9,36,58,50,106,156,233,380,9430,6737,16171,100,107,206,0,0,0,0,5,3,60,47,107,16,26,43,4,4,7,180,189,368,0,0,0,0,0,0,0,15,19,3,19,22,0,0,0,6,35,36,105,84,184,289,299,592,32,44,81,5,0,3,3,0,7,40,50,90,2503,3493,5993,2234,2030,4269,100,67,164,14598,12675,27279
SED10013,346,255,599,54,89,140,4,3,12,0,0,3,20,12,35,18622,12194,30812,849,919,1777,766,10,781,147,12,161,56,13,77,142,126,268,254,228,474,21261,13866,35122,60,89,149,0,0,0,0,0,0,171,88,262,17,30,48,0,0,5,256,215,472,0,0,0,0,0,0,9,9,21,9,13,20,0,0,4,24,24,48,179,69,250,461,307,765,48,55,103,6,0,8,5,3,7,55,59,119,7524,11150,18672,4098,5732,9833,143,117,261,33548,31231,64777
SED10014,354,288,641,79,109,192,0,0,0,0,0,0,32,31,62,8966,6474,15440,626,878,1504,247,3,249,107,3,115,23,3,26,94,69,156,144,213,359,10656,8078,18737,138,133,270,0,0,0,0,3,5,75,52,136,22,24,49,12,11,24,256,226,479,0,0,0,0,0,0,7,5,9,11,10,19,7,9,14,17,22,41,75,52,129,346,299,648,45,52,94,5,4,9,3,3,4,53,55,110,3400,4546,7947,3173,2885,6062,100,64,168,17734,15930,33667
SED10015,770,719,1488,159,298,456,0,0,3,3,7,12,23,25,52,6974,4595,11567,331,676,1009,147,3,154,146,19,161,89,18,112,109,85,194,240,403,640,9000,6855,15854,251,371,626,0,3,0,8,14,22,59,38,94,15,30,43,24,13,33,354,469,822,0,0,0,6,3,5,10,8,18,3,28,31,4,5,13,19,44,61,84,53,132,458,568,1022,57,107,165,7,8,12,4,3,8,67,116,180,6431,7807,14241,3791,3429,7222,134,103,241,19883,18878,38759
SED10016,293,247,546,163,190,358,0,0,0,5,5,10,14,7,26,10858,7616,18473,472,712,1187,286,3,288,87,3,87,36,10,47,126,86,218,180,235,419,12530,9114,21650,152,140,287,0,0,0,8,5,8,91,58,150,8,15,29,12,6,15,264,223,487,0,0,0,3,3,4,21,17,40,6,27,33,13,4,17,46,48,94,100,57,158,409,333,745,63,61,124,10,3,9,7,0,7,69,60,133,11659,12159,23817,2636,3947,6580,74,68,144,27378,25681,53062
SED10017,12,8,16,39,61,103,8,8,15,0,0,0,13,8,20,13525,10571,24093,647,699,1353,403,18,415,119,14,133,49,3,54,84,59,148,235,246,478,15125,11697,26826,7,5,14,0,0,0,0,0,0,7,3,8,5,0,3,0,0,0,24,7,27,0,0,0,0,0,0,0,8,8,12,14,26,4,0,4,13,22,40,135,56,188,167,87,252,5,0,3,0,0,0,3,0,6,15,4,14,1988,3467,5452,2588,3835,6423,96,74,168,19974,19160,39140
SED10018,20,10,35,89,122,212,0,0,0,0,0,0,25,20,42,10659,8779,19439,566,721,1292,220,10,230,126,17,144,122,35,158,55,57,114,216,237,451,12111,10013,22121,6,6,9,0,0,0,0,0,0,3,4,9,0,0,3,0,0,0,19,6,25,0,0,0,0,0,0,9,9,14,10,14,26,0,8,6,21,26,47,101,56,150,135,84,222,5,6,8,3,7,8,0,0,3,8,12,18,3747,4885,8632,2263,3440,5703,66,61,126,18325,18498,36827
SED10019,5,0,5,40,36,67,7,0,4,0,0,0,13,14,26,9611,9072,18689,703,674,1376,361,15,372,108,9,118,168,64,232,74,55,129,546,501,1051,11647,10427,22072,0,0,0,0,0,0,0,0,0,4,4,7,0,0,0,0,0,0,4,4,7,0,0,0,0,0,0,9,0,8,6,0,5,0,0,0,15,0,20,134,61,193,147,70,221,0,0,0,0,5,3,5,0,6,6,4,8,1286,1692,2980,1375,1978,3348,151,117,266,14609,14287,28895
SED10020,9,3,10,100,117,211,4,0,4,0,0,0,15,28,47,11422,11055,22480,852,1017,1865,278,8,285,173,27,198,169,42,208,92,42,136,380,413,788,13494,12752,26244,0,6,6,0,0,0,0,0,0,8,4,4,0,0,0,4,0,4,7,7,18,0,0,0,0,0,0,6,4,11,5,12,19,0,0,0,9,18,29,111,70,180,126,93,223,0,0,0,0,4,6,7,0,7,14,4,14,1548,2097,3643,1431,2281,3715,106,107,212,16718,17336,34050
SED10021,282,200,484,573,833,1402,4,0,6,71,45,115,50,63,115,5907,3831,9733,247,425,669,163,7,165,362,96,455,376,167,545,98,85,190,786,1458,2240,8920,7197,16119,203,200,402,0,0,5,23,15,36,19,12,27,4,4,10,12,6,21,259,242,502,0,0,3,15,28,44,23,6,32,6,18,22,22,29,51,66,86,152,100,41,138,423,367,791,47,42,91,6,3,18,0,3,3,56,52,109,11142,13249,24388,1789,2969,4756,105,79,184,22434,23914,46347
SED10022,4,0,6,144,43,187,8,0,6,0,0,0,3,10,14,10210,9133,19344,857,717,1579,432,22,455,91,14,100,48,10,66,167,58,231,801,748,1549,12774,10766,23536,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,17,0,18,0,0,0,0,0,0,17,10,24,125,34,164,148,43,187,0,0,0,0,0,0,12,0,12,12,0,12,1756,1880,3637,923,1608,2530,169,131,297,15777,14427,30204
SED10023,349,277,626,21,29,47,0,0,4,0,0,0,5,16,25,9917,6577,16491,390,548,936,283,5,289,127,9,137,110,29,141,81,85,167,248,420,671,11530,7997,19528,32,28,61,0,0,0,0,0,6,54,16,65,16,14,23,12,4,14,113,66,175,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,8,10,87,44,124,197,109,307,16,16,27,0,0,0,6,0,4,20,15,34,6649,8622,15271,2258,3503,5762,53,49,102,20710,20294,41003
SED10024,302,297,602,155,148,300,0,0,0,0,0,0,13,17,24,5835,4626,10459,314,468,779,111,0,114,74,14,89,62,13,72,97,57,154,200,230,432,7168,5866,13025,58,78,137,0,0,0,3,0,5,53,36,85,7,15,25,9,9,17,125,136,266,0,0,0,3,0,3,18,7,25,8,8,16,0,0,3,24,23,51,48,26,77,200,189,388,21,20,48,9,0,12,0,0,0,38,24,60,10374,9687,20061,1657,2741,4394,50,46,94,19477,18549,38027
SED10025,363,439,803,228,319,555,62,36,97,3,5,6,21,23,42,7663,4920,12583,268,596,861,154,6,164,135,11,147,123,35,157,109,67,178,332,444,772,9466,6896,16359,110,150,265,3,4,3,9,10,16,37,22,56,4,24,32,12,11,21,177,215,392,10,8,15,6,3,8,14,15,22,6,18,32,5,10,15,41,47,89,67,51,114,285,314,598,38,30,66,6,8,11,10,3,8,52,37,88,9282,10914,20193,1904,2930,4833,86,72,156,21073,21160,42229
SED10026,7,0,7,78,50,128,0,5,5,0,0,0,27,55,84,13564,12112,25670,1048,1138,2185,405,3,411,142,20,165,101,18,123,104,57,162,585,544,1135,16062,14003,30071,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,5,4,10,3,0,7,0,6,6,7,11,21,164,95,263,174,112,288,3,0,8,3,0,6,13,3,23,20,5,31,1532,2018,3547,1418,2262,3675,142,134,275,19341,18539,37884
SED10027,415,434,848,53,81,133,0,0,0,0,0,0,28,21,45,7157,5019,12182,333,587,926,213,7,217,46,4,51,44,13,55,106,59,169,165,194,359,8565,6412,14982,95,115,207,0,0,0,3,8,12,56,38,89,10,14,30,14,6,20,183,184,364,0,0,0,0,0,0,0,7,8,7,16,21,3,0,3,12,23,34,63,49,115,260,255,510,39,22,66,4,0,4,3,0,3,44,28,70,5346,6930,12281,3151,2865,6013,97,51,150,17462,16537,34001
SED10028,585,569,1153,152,150,304,0,0,0,6,0,6,13,8,20,6107,4903,11018,236,602,838,98,0,102,74,10,82,38,10,47,76,67,147,204,241,443,7584,6562,14146,182,199,384,0,0,0,5,5,11,74,49,126,16,38,57,25,15,37,300,308,610,0,0,0,0,0,0,20,4,24,10,10,15,6,3,5,32,15,49,57,37,99,391,364,757,62,69,133,4,0,9,3,0,3,70,69,139,11315,10374,21688,2117,2872,4990,60,62,125,21542,20305,41845
SED10029,309,362,670,69,87,158,0,0,0,0,0,0,28,20,46,7432,4745,12178,394,744,1142,239,3,247,52,9,56,40,4,47,98,77,168,148,170,317,8805,6234,15037,111,126,234,0,0,0,0,0,6,64,44,109,12,18,30,14,8,17,192,199,394,0,0,0,0,0,0,5,3,6,4,12,15,3,3,8,6,24,30,86,67,160,292,288,578,43,56,98,0,7,9,3,0,3,45,59,105,2489,3435,5921,2126,1919,4046,96,83,178,13862,12010,25868
SED10030,362,234,598,115,185,305,10,0,10,0,0,0,19,23,40,8401,6540,14943,448,633,1080,205,6,215,103,9,114,70,29,99,89,69,154,347,395,743,10173,8135,18311,117,99,214,0,0,3,0,0,0,108,39,142,11,11,21,19,11,32,259,161,413,0,9,7,0,0,0,0,5,11,5,21,24,8,12,12,19,39,58,106,44,150,386,245,625,39,28,64,7,3,11,3,0,7,49,31,87,4670,5472,10140,2057,3135,5196,114,79,193,17450,17103,34554
SED10031,30,7,36,81,54,131,3,0,3,0,5,5,21,23,44,12594,10958,23552,783,905,1693,548,29,580,109,15,128,46,16,67,141,53,188,670,628,1299,15030,12695,27722,0,4,3,3,0,3,0,0,0,4,6,4,0,0,0,0,0,0,10,8,16,0,0,0,0,0,0,4,13,19,3,14,17,0,0,5,6,30,36,136,81,220,159,120,273,4,3,5,0,5,5,11,0,16,23,9,27,2796,3167,5961,1525,2421,3947,146,131,275,19671,18536,38211
SED10032,1060,1082,2143,153,225,384,4,0,3,0,0,0,42,42,90,8524,4840,13369,437,919,1351,213,0,217,104,10,109,49,10,61,151,89,234,252,334,587,10992,7545,18544,401,539,943,0,0,0,11,15,23,82,34,116,26,52,80,14,17,33,542,655,1201,0,0,0,0,0,0,10,7,8,9,24,33,4,5,12,25,34,57,102,69,165,663,759,1424,94,117,209,0,9,8,0,0,5,97,124,222,6096,6120,12215,2973,2565,5541,186,91,282,21012,17213,38222
SED10033,125,92,217,17,21,44,6,0,6,0,0,3,7,9,20,11490,7767,19261,562,555,1119,865,16,877,109,13,127,49,10,58,91,66,157,391,300,690,13717,8852,22570,26,25,43,0,0,0,0,0,0,43,42,88,9,8,15,3,4,10,82,76,162,0,0,0,0,0,0,3,4,7,3,5,9,4,7,8,13,11,23,149,49,195,250,138,390,11,12,26,3,0,0,0,5,3,13,19,30,3942,6275,10215,2305,3155,5460,100,74,168,20328,18512,38843
SED10034,497,343,837,25,26,45,4,5,10,0,0,0,11,18,29,9585,6638,16223,391,445,833,269,4,272,71,5,79,48,12,60,86,57,142,250,319,571,11230,7879,19105,73,57,136,3,0,8,3,7,15,90,49,139,17,21,36,19,3,24,211,145,351,0,0,0,0,0,0,3,6,6,3,3,4,4,0,8,10,11,15,64,32,92,281,186,464,22,16,43,0,0,0,0,0,0,22,19,42,6378,8108,14482,2285,3639,5920,51,40,90,20238,19868,40103
SED10035,1209,1031,2245,958,1150,2110,0,5,5,117,94,210,85,114,200,9325,5248,14576,467,957,1420,167,4,173,574,88,663,653,260,911,223,158,385,1534,1489,3029,15332,10591,25924,442,444,887,0,6,4,47,30,72,56,19,71,12,22,38,49,21,72,608,544,1149,3,0,7,41,42,89,34,14,45,19,54,75,38,49,84,141,159,297,172,77,246,917,776,1696,120,128,246,27,22,44,4,7,14,150,154,306,15859,16374,32227,3449,4323,7774,132,99,232,35835,32318,68160
SED10036,245,249,496,62,102,162,3,0,4,0,6,0,36,12,48,9104,6242,15345,445,709,1158,239,4,240,82,8,85,80,9,87,124,85,203,325,179,506,10733,7601,18337,79,74,154,0,0,0,0,0,3,80,64,150,6,26,32,7,3,9,183,166,355,0,0,0,0,0,0,7,9,13,5,17,19,5,5,6,20,21,43,77,53,127,281,246,521,42,38,83,0,6,4,5,0,6,51,43,92,5264,6906,12170,3292,2917,6203,103,67,171,19710,17781,37493
SED10037,638,653,1296,52,61,120,0,0,3,0,0,5,16,10,30,7663,5999,13667,307,611,922,220,4,224,114,9,120,41,15,62,91,66,158,463,553,1017,9611,7990,17604,169,183,356,0,0,0,8,0,8,116,61,179,23,45,73,17,10,24,330,307,638,0,0,0,0,0,0,13,3,15,6,4,12,0,0,4,21,13,30,76,53,126,425,373,802,59,44,103,0,3,3,6,0,6,65,43,109,9392,9206,18601,2098,3132,5234,63,56,117,21657,20806,42467
SED10038,167,86,249,84,142,224,0,0,0,0,4,0,15,12,23,10026,7177,17201,419,577,996,226,4,226,112,5,119,157,42,198,73,50,124,223,267,491,11496,8364,19861,11,15,26,0,0,0,0,0,0,55,29,85,4,3,8,6,9,16,76,56,132,0,0,0,0,0,0,3,3,12,7,11,18,7,0,8,17,18,38,100,45,148,194,116,315,15,10,23,5,8,10,0,0,0,15,18,32,5162,6577,11735,2369,3688,6054,51,48,101,19287,18810,38097
SED10039,49,23,74,25,29,56,3,4,6,0,0,0,3,7,11,11338,9103,20445,533,610,1145,315,6,320,119,8,127,95,25,120,101,62,160,375,354,725,12959,10235,23199,4,4,13,0,0,0,0,0,0,20,3,26,3,6,5,3,0,4,35,17,52,0,0,0,0,0,0,4,0,7,5,9,18,0,0,3,11,13,28,117,49,167,163,83,239,6,0,10,0,0,0,4,0,6,11,5,13,2849,3946,6799,1980,2973,4959,81,76,162,18043,17324,35364
SED10040,1915,1903,3817,132,243,379,3,0,3,7,0,5,36,35,72,8168,4751,12917,346,877,1218,149,3,159,172,18,189,56,10,62,120,86,206,567,896,1465,11664,8822,20485,506,708,1210,6,0,6,18,38,52,88,53,136,27,65,92,25,20,46,663,875,1546,0,0,0,0,0,4,5,4,12,8,36,47,4,8,13,19,50,71,82,47,135,771,976,1747,83,129,214,0,7,7,0,0,0,83,139,216,6395,7216,13610,3144,3344,6490,133,90,224,22190,20580,42772
SED10041,697,661,1356,44,70,109,0,0,0,0,0,0,5,10,22,5803,4621,10425,236,555,787,87,3,89,78,5,76,55,16,69,82,73,149,322,455,781,7406,6471,13876,85,129,212,0,0,0,7,3,13,75,58,129,19,26,50,20,12,34,206,233,439,0,0,0,0,0,0,6,7,11,7,5,15,0,0,5,17,16,30,55,37,95,272,288,564,30,42,66,0,5,5,5,0,3,30,44,68,11605,10584,22189,1810,2839,4645,69,56,124,21192,20274,41465
SED10042,59,42,105,41,61,102,3,0,4,0,0,0,9,8,15,10946,8674,19623,564,602,1167,342,9,351,117,18,138,50,9,58,67,33,102,217,183,400,12414,9644,22060,17,15,33,0,0,0,0,0,0,7,8,12,6,0,11,4,0,4,39,22,66,0,0,0,0,0,0,8,6,11,5,13,21,0,0,0,11,19,26,99,47,145,153,93,239,8,14,27,4,3,5,4,0,5,17,23,38,2778,3980,6760,2146,3233,5380,82,67,148,17594,17036,34626
SED10043,676,466,1143,85,95,182,0,0,0,0,0,4,48,26,80,7850,4170,12020,367,735,1104,192,0,193,129,13,139,36,7,42,128,71,202,254,280,530,9769,5869,15635,167,202,370,0,0,3,3,10,11,83,31,110,12,36,45,16,7,23,286,277,562,0,0,0,0,0,0,10,9,19,3,13,14,8,0,10,14,24,40,102,44,140,399,340,747,58,56,110,0,4,5,0,3,3,65,57,119,3579,4136,7715,2853,2279,5138,161,90,258,16825,12785,29610
SED10044,259,291,551,486,534,1016,33,26,58,0,0,5,21,33,48,7210,5024,12234,284,612,899,131,3,132,158,19,185,140,30,168,103,78,176,591,660,1252,9422,7302,16727,128,163,291,4,3,8,3,4,7,20,13,36,10,9,19,15,3,18,174,193,365,0,6,4,11,8,17,27,14,42,13,20,37,15,14,25,66,60,133,62,46,113,301,306,610,29,29,60,7,6,17,3,0,3,39,36,76,12087,12456,24544,2075,3108,5188,76,71,144,24010,23285,47291
