SED_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SED10011,407,645,1049,4381,5231,9616,0,3,9,723,820,1541,135,138,271,5556,6618,12174,29,34,60,260,260,520,114,154,267,64,70,134,98,120,218,13,13,30,112,138,243,342,373,722,716,880,1595,59,78,135,44,74,121,640,885,1526,987,1102,2089,35,56,86,14314,17049,31362,149,126,270,101,116,216,82,94,171,8,12,23,13,20,36,207,301,507,227,329,562,17348,16598,33946,227,164,391,113,194,302,17680,16959,34639,2006,1995,4003,34967,37305,72271
SED10012,10830,12706,23538,936,1048,1984,1171,1294,2469,428,476,902,0,4,3,10276,10856,21130,3,10,13,1751,1703,3451,100,144,245,158,145,305,36,23,60,195,203,397,126,168,294,210,238,444,137,160,300,12,19,34,93,89,180,190,197,389,1411,1476,2889,18,24,44,17248,18270,35515,250,214,466,1711,1538,3248,13,7,15,0,0,0,28,25,49,318,347,662,348,368,716,8077,6796,14872,31,22,59,18,14,37,8132,6837,14967,3028,2932,5956,41549,42874,84426
SED10013,937,1223,2161,8146,9548,17696,321,296,617,710,778,1481,87,90,177,20345,21717,42063,16,29,45,1702,1740,3445,194,242,434,219,185,402,97,115,212,362,333,699,264,301,559,772,895,1664,645,763,1406,46,90,129,159,192,352,735,962,1701,1827,1990,3817,60,78,138,36696,40345,77038,2468,2350,4819,3426,3443,6871,37,30,67,0,4,5,653,575,1228,218,256,474,874,832,1702,16781,15124,31898,113,98,216,44,74,117,16935,15299,32235,3304,3058,6367,64679,66578,131265
SED10014,965,1228,2191,4687,5636,10324,29,24,53,572,621,1192,141,131,276,9545,10613,20162,48,58,104,704,738,1438,162,193,355,374,406,780,57,64,123,196,192,388,260,232,496,570,677,1247,594,661,1250,63,84,145,179,202,381,512,631,1149,1278,1449,2725,65,60,122,20037,22673,42706,1288,1283,2567,3519,3382,6905,24,12,38,7,10,23,258,230,497,168,219,388,443,460,902,11313,10292,21603,106,65,171,50,70,120,11468,10424,21895,3350,3325,6668,41085,42794,83881
SED10015,2688,3179,5868,1322,1479,2802,8,6,21,327,388,717,3,3,6,10778,11583,22360,14,13,28,6631,6876,13504,118,151,264,45,47,93,25,53,70,243,253,501,165,197,361,245,270,515,494,571,1070,34,49,82,56,71,125,409,511,920,1030,1185,2219,15,18,26,21967,23717,45688,2246,1788,4032,3590,3164,6749,56,65,120,3,4,8,126,112,239,152,145,294,277,264,540,12508,11069,23576,121,95,218,46,87,135,12678,11248,23923,3632,3511,7143,47136,46931,94065
SED10016,1301,1696,3000,5227,6104,11331,20,27,40,751,855,1608,144,136,279,13376,14437,27812,62,74,133,887,897,1782,119,138,259,151,178,327,70,92,165,355,364,715,251,264,515,1060,1250,2310,981,1040,2017,48,45,92,242,297,539,888,1029,1920,1418,1538,2958,44,57,103,26083,28825,54906,3890,3899,7787,2662,2678,5343,51,51,99,0,0,0,824,794,1618,330,361,690,1153,1155,2310,13807,12368,26174,116,117,234,36,47,81,13964,12527,26497,2063,1897,3954,51175,52724,103905
SED10017,210,374,587,7382,8739,16116,0,0,0,508,560,1069,36,39,70,7341,8241,15582,19,32,50,156,154,307,121,171,294,76,90,159,44,74,114,24,12,38,192,241,435,318,346,663,900,1045,1940,120,163,281,210,254,459,1375,1866,3244,758,870,1627,34,33,66,19605,22919,42524,297,266,562,191,179,372,9,17,32,9,14,26,61,51,113,74,141,214,146,205,345,19043,17271,36313,138,107,247,56,79,132,19240,17454,36692,4108,2528,6638,43812,43938,87750
SED10018,238,346,584,4861,5918,10770,0,0,0,558,642,1202,19,16,34,6676,8025,14700,20,26,40,480,479,965,104,120,228,61,71,132,54,78,136,14,13,24,172,201,367,472,536,1011,704,905,1604,67,88,154,104,128,232,1144,1750,2898,832,960,1790,32,47,75,16354,19990,36346,246,210,454,142,135,274,22,31,56,4,12,13,63,48,106,64,122,185,134,177,311,17643,16096,33741,161,113,269,56,92,147,17856,16299,34157,1967,1837,3805,36967,39025,75991
SED10019,177,304,480,6844,7807,14655,0,0,0,432,474,905,8,4,11,6642,7582,14232,9,7,18,51,61,108,208,236,444,29,35,64,57,71,128,4,3,7,81,82,168,216,338,554,1687,1874,3565,121,134,252,93,140,234,1046,1301,2346,739,858,1604,48,54,99,18332,21052,39385,74,77,151,51,55,109,16,18,36,16,15,22,48,53,109,103,153,254,166,217,388,15009,13490,28500,106,88,190,49,79,125,15164,13658,28822,4711,3609,8314,38691,38996,77685
SED10020,337,489,827,5125,6176,11302,0,0,0,630,702,1331,5,9,13,6163,7319,13482,22,29,51,92,88,175,242,297,540,26,38,64,83,109,189,18,21,39,159,198,351,580,708,1293,1007,1176,2184,57,98,153,110,147,253,764,1053,1817,816,1092,1914,17,25,47,15922,19282,35202,176,159,335,238,190,428,32,35,65,17,16,38,952,896,1845,330,425,756,1299,1332,2628,16713,15993,32705,136,108,242,68,128,200,16927,16223,33148,3077,3035,6116,38010,40746,78759
SED10021,421,743,1166,3050,3765,6815,17,20,33,99,131,233,0,0,0,9306,10840,20149,0,3,8,1216,1485,2696,36,52,86,17,17,33,69,87,162,40,53,95,109,100,208,119,178,296,392,428,821,8,11,20,9,14,22,293,347,644,400,506,912,11,21,29,15193,18062,33253,300,276,576,301,248,550,2174,2439,4610,0,4,3,22,25,45,79,104,182,103,129,233,17578,17996,35575,198,159,355,60,156,219,17838,18310,36151,3009,3108,6117,39337,43308,82648
SED10022,124,135,258,7478,8285,15761,0,0,0,329,393,723,130,137,264,9469,10195,19661,9,10,15,81,93,169,119,157,274,49,49,98,226,294,523,12,12,23,97,63,159,193,233,423,1236,1288,2521,83,112,191,52,72,118,1511,1631,3142,568,642,1209,19,16,34,21658,23667,45324,103,95,193,322,308,633,6,8,18,17,19,36,35,27,72,57,89,144,113,134,245,9874,8753,18629,49,48,100,33,44,68,9955,8841,18800,4023,2941,6964,36314,36124,72435
SED10023,236,428,663,6241,7270,13511,0,0,0,470,536,1004,0,0,0,10611,11660,22270,21,24,46,1281,1339,2620,53,74,124,14,17,29,68,85,152,85,83,167,105,117,227,310,354,667,581,715,1293,36,56,92,8,18,27,764,1024,1782,621,685,1298,28,21,50,21285,24077,45369,107,89,198,170,178,348,68,58,122,0,0,0,24,17,40,47,69,117,69,89,155,14596,12982,27575,125,84,209,40,87,126,14760,13158,27917,1837,1767,3610,38544,39843,78388
SED10024,865,1328,2190,5588,6548,12130,15,14,34,396,437,834,0,0,0,6865,7758,14621,35,32,64,492,547,1040,17,53,71,21,30,51,102,138,237,326,373,697,160,188,344,301,359,663,843,953,1801,27,27,50,30,41,67,1083,1409,2492,808,968,1772,32,29,63,17145,19894,37042,635,629,1270,293,306,601,1234,1184,2419,0,0,0,119,109,231,174,195,367,298,310,599,17090,16081,33165,154,118,270,40,64,106,17280,16255,33538,1645,1771,3412,39384,41685,81071
SED10025,918,1501,2425,2428,2984,5408,25,37,59,277,329,606,4,3,6,13478,15087,28561,5,12,17,1800,1962,3764,76,100,172,22,26,52,57,72,128,243,261,502,109,144,253,195,256,450,845,1044,1889,16,19,35,32,34,67,423,583,1009,658,783,1442,22,21,43,20709,23752,44460,1037,1043,2079,810,823,1632,82,91,174,3,0,3,72,63,142,128,143,269,206,207,415,13040,12863,25911,117,130,249,47,80,126,13209,13073,26283,2130,2247,4379,39098,42735,81835
SED10026,194,289,483,7350,8474,15825,0,0,3,573,612,1188,3,3,5,9811,10833,20639,14,12,29,94,99,194,85,111,198,28,23,50,79,97,181,18,13,26,92,88,178,276,310,587,1156,1281,2437,75,107,182,115,124,241,1383,1707,3095,773,907,1685,16,14,27,21932,24832,46763,701,639,1339,309,262,575,24,15,39,33,23,55,187,165,352,59,92,150,275,283,557,12525,11167,23696,90,66,163,33,46,77,12651,11282,23938,4902,3932,8836,40985,41535,82525
SED10027,1785,2275,4063,3166,3770,6940,5,5,11,616,795,1411,0,3,0,10101,10935,21036,12,19,34,3317,3475,6797,57,86,140,66,74,142,46,67,107,599,620,1217,186,236,422,279,345,625,460,539,997,39,51,95,44,41,88,469,653,1125,1067,1139,2203,79,90,169,20619,22945,43561,679,671,1347,5767,5502,11262,19,17,35,0,0,0,219,215,440,143,170,309,365,387,753,8849,7652,16499,68,43,108,25,37,61,8940,7727,16668,2690,2645,5332,40860,42156,83017
SED10028,1884,2416,4294,3927,4689,8618,5,0,10,1170,1374,2548,133,151,287,6435,7428,13861,48,51,104,402,408,809,25,32,59,50,62,110,80,86,169,141,139,285,276,314,592,468,541,1002,1603,1871,3473,29,27,54,94,118,207,932,1283,2218,1076,1260,2340,17,39,59,16906,19889,36794,3657,3629,7292,1173,1141,2318,37,35,73,0,0,0,248,241,487,221,248,466,464,488,952,16445,15688,32135,127,100,226,47,61,109,16615,15846,32465,2095,2160,4252,42836,45608,88444
SED10029,7041,8677,15710,1161,1281,2441,2349,2567,4920,537,558,1092,4,0,6,12637,13315,25949,5,10,11,1443,1420,2864,113,152,265,186,193,379,29,28,54,429,430,862,174,185,354,220,265,488,207,216,422,11,19,29,113,119,235,270,287,556,1920,2002,3915,31,25,53,21836,23063,44900,362,315,680,5499,4984,10483,11,12,24,3,0,3,54,40,90,347,392,737,400,432,832,7108,5788,12895,42,45,88,29,43,70,7180,5875,13055,3911,3808,7715,46236,47166,93405
SED10030,432,680,1111,5290,6621,11905,0,3,3,514,604,1121,28,43,77,7391,8613,16002,28,40,69,335,372,700,79,132,208,86,92,178,82,103,187,44,39,83,277,311,590,343,421,760,764,864,1632,46,76,123,109,127,237,802,1040,1843,820,958,1779,32,42,74,17068,20494,37561,489,426,915,268,239,508,62,53,113,28,13,41,123,90,211,86,152,236,230,257,488,16589,15338,31928,153,132,286,71,120,192,16813,15597,32408,2747,2687,5438,38109,40427,78537
SED10031,239,338,579,7726,8718,16441,4,0,4,379,412,789,123,113,230,9290,9953,19245,18,18,34,277,246,522,122,163,289,25,37,67,112,121,227,13,15,24,92,112,205,203,230,432,751,781,1534,70,95,169,67,85,151,1219,1433,2650,728,807,1535,31,42,80,21250,23384,44634,293,267,559,198,147,341,33,50,84,3,5,4,56,45,105,100,167,272,163,216,381,14500,13403,27893,119,89,210,58,79,134,14673,13571,28241,3856,3095,6950,40699,41070,81771
SED10032,1307,1741,3050,1501,1739,3242,37,50,88,410,420,831,9,5,15,11908,12847,24757,29,34,63,1489,1538,3024,84,118,202,96,103,206,23,25,48,262,298,552,218,196,408,372,450,822,375,412,788,18,29,46,100,115,218,475,511,992,1193,1284,2478,46,49,98,18652,20230,38877,8345,6979,15320,11842,10459,22302,15,10,21,3,0,5,659,479,1140,305,338,641,967,820,1786,6920,5917,12840,64,45,111,43,47,79,7025,6004,13029,5182,4492,9678,53334,50732,104062
SED10033,199,325,518,6880,7966,14852,3,6,3,555,642,1194,109,128,234,10414,10615,21029,36,46,81,408,385,799,148,187,331,90,76,168,81,98,180,24,25,50,98,131,224,373,442,812,630,657,1291,41,49,91,105,108,216,933,1161,2088,834,927,1757,29,23,51,21782,23663,45448,241,212,457,224,204,429,35,40,69,0,5,4,172,169,337,98,137,237,276,308,580,13696,12045,25736,103,100,198,40,66,111,13834,12205,26045,2405,2063,4477,39002,39019,78025
SED10034,274,438,713,6016,7078,13096,0,0,3,650,742,1387,85,87,171,9595,10824,20419,54,72,131,986,1000,1979,35,54,92,49,61,111,60,86,141,79,80,160,152,157,316,361,429,790,678,767,1441,66,83,156,21,27,51,778,975,1750,803,889,1686,32,29,57,20496,23441,43936,295,278,575,225,229,456,39,52,92,0,4,4,23,12,34,60,96,157,83,110,195,14839,13148,27991,133,122,247,43,81,121,15016,13346,28364,1645,1711,3360,38080,39617,77692
SED10035,2398,3150,5544,2553,2610,5164,62,67,124,334,356,693,4,5,7,11207,11885,23090,18,15,32,2798,3032,5826,52,81,139,53,39,95,63,66,135,144,140,285,216,214,435,413,531,943,693,691,1384,16,15,29,56,70,129,434,455,885,1222,1399,2625,33,24,56,20371,21695,42072,1403,1195,2596,2206,1824,4028,780,810,1586,14,10,25,86,75,157,190,190,382,294,274,567,27740,23990,51728,366,252,619,100,118,216,28205,24361,52562,4535,3865,8400,60189,57176,117359
SED10036,1322,1760,3083,3292,3689,6986,58,64,119,631,671,1304,20,24,45,10720,11545,22262,28,41,70,2725,2828,5555,69,111,181,136,147,279,51,59,114,878,850,1729,205,229,426,575,651,1221,405,455,865,46,36,82,74,92,168,382,443,829,1430,1554,2977,84,90,177,21802,23583,45388,2158,2243,4403,6735,6540,13279,20,18,31,0,0,0,249,212,468,1261,1256,2522,1515,1473,2989,7970,6642,14609,68,57,120,35,42,78,8068,6738,14810,3234,3075,6308,44865,45434,90295
SED10037,922,1329,2255,5028,5606,10639,8,7,10,824,983,1808,6,5,9,8000,8674,16676,51,45,97,389,441,827,95,102,196,53,63,119,102,125,221,79,79,159,178,215,393,362,374,732,714,832,1546,42,56,89,247,303,551,1098,1379,2475,1139,1289,2426,37,46,81,18451,20601,39055,1960,1999,3953,707,666,1377,133,177,307,4,0,0,173,151,320,147,190,336,319,338,661,16803,15174,31971,162,150,315,57,107,159,17020,15428,32454,1833,1719,3551,41351,42260,83609
SED10038,362,568,926,4714,5825,10535,0,3,4,291,341,631,87,93,178,8805,10171,18977,28,43,71,1266,1262,2525,130,183,313,50,61,115,95,140,230,66,38,101,146,159,302,224,287,515,702,802,1508,77,103,186,43,52,92,987,1345,2337,884,985,1872,25,34,60,18624,21929,40554,437,276,710,761,732,1494,35,46,81,0,6,10,45,40,86,111,166,280,163,210,374,17327,15917,33250,169,136,311,69,126,197,17568,16181,33751,2189,2197,4382,40139,42141,82275
SED10039,174,277,452,6422,7419,13841,0,0,0,403,455,860,4,0,8,7652,8790,16441,43,47,90,369,335,707,143,195,334,37,50,87,99,119,222,36,26,59,90,96,182,294,341,634,840,1024,1864,61,63,126,35,44,79,1131,1445,2576,840,921,1766,14,21,34,18504,21385,39887,140,151,294,147,134,287,44,42,87,8,10,18,21,14,34,79,142,218,109,162,271,16574,15356,31934,114,88,205,59,80,136,16749,15528,32277,3221,2294,5516,39088,39973,79058
SED10040,2248,3224,5477,1812,2142,3955,10,3,12,452,510,966,8,6,8,7566,8458,16022,36,39,72,4956,5202,10161,80,86,171,41,44,89,27,23,56,393,395,785,193,249,450,221,268,491,453,560,1013,20,46,67,32,60,93,333,409,741,1261,1472,2735,17,24,41,17910,19998,37906,5148,4048,9192,3736,3275,7013,63,58,119,0,0,0,68,61,124,110,127,237,176,187,363,14125,13179,27304,91,51,146,62,84,144,14271,13322,27594,3034,3012,6048,46596,47129,93723
SED10041,1051,1592,2647,5605,6797,12407,5,0,8,515,708,1224,5,3,4,6899,7963,14867,39,43,76,383,408,793,33,47,82,26,26,52,78,118,192,115,99,221,190,222,405,285,357,641,992,1121,2111,17,20,40,197,256,447,1399,1917,3313,877,1064,1939,27,39,70,17687,21197,38886,2199,2201,4401,640,670,1306,336,367,699,0,0,0,252,233,484,167,189,360,423,416,836,17314,16262,33571,128,125,258,41,75,115,17482,16462,33947,1983,2118,4096,41803,45021,86822
SED10042,235,372,604,5631,6809,12444,0,0,0,674,772,1450,12,8,20,6318,7411,13735,3,19,26,207,178,381,188,246,434,60,56,121,68,99,166,8,16,25,171,220,384,415,486,900,733,822,1559,133,169,300,1326,1558,2883,1358,1871,3225,1079,1244,2322,163,179,342,18558,22158,40715,155,138,298,113,76,193,16,20,38,10,13,21,21,28,51,84,129,217,120,165,287,17089,15213,32307,141,120,259,73,125,193,17308,15455,32767,2471,2334,4811,38981,40725,79707
SED10043,1660,2205,3866,901,1057,1955,7,8,11,331,361,692,0,0,0,8254,8952,17203,35,33,64,2914,2942,5859,87,105,188,63,63,124,21,29,52,301,289,586,187,195,389,261,324,587,318,396,714,14,17,38,50,71,124,320,358,682,849,927,1778,14,18,31,14931,16148,31074,814,753,1561,21516,18400,39913,17,14,33,0,0,4,76,58,131,113,137,254,194,197,384,5685,5011,10693,63,27,97,34,40,74,5779,5087,10867,4330,3978,8307,49236,46773,96008
SED10044,944,1470,2416,3932,4580,8521,9,15,22,316,387,701,4,3,5,11767,12921,24685,21,32,53,1292,1396,2690,35,57,98,14,11,32,85,104,189,283,309,593,155,166,322,260,354,619,693,862,1559,13,11,23,41,57,98,604,799,1404,721,902,1620,23,39,60,20273,23018,43289,1446,1366,2809,816,792,1608,294,310,603,0,3,3,118,133,254,197,227,414,314,364,678,16661,15603,32266,152,143,296,53,97,158,16876,15848,32722,2429,2636,5071,43397,45799,89194
SED10045,364,523,886,4410,5106,9518,0,0,0,247,298,545,5,8,9,6229,7069,13295,19,32,50,77,77,157,150,188,343,37,48,82,54,70,129,3,9,10,84,85,168,319,384,702,1246,1365,2611,67,81,149,326,350,679,1194,1451,2643,902,1068,1968,100,103,204,15475,17782,33256,311,290,600,89,84,172,41,39,79,22,18,40,125,133,261,213,371,586,359,519,878,16537,15480,32022,169,146,311,123,183,301,16827,15805,32633,4203,4045,8248,37661,39095,76751
