SED_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
SED10069,8484,6837,2798,186,18309,5027,548,23883,533,170,218,17,943,1158,52,2153,608,278,276,11,1173,642,49,1861,1139,447,492,26,2108,1802,105,4015,71,22,30,3,133,214,16,354,71,10,17,0,95,128,10,236,170,22,37,4,228,202,17,444,0,0,0,0,0,0,0,0,16,7,10,3,40,19,0,54,324,60,94,13,496,557,42,1091,31,0,9,0,44,99,6,156,71,21,25,6,125,127,19,269,0,0,0,0,0,5,0,9,8,7,7,0,24,16,4,47,117,28,43,7,197,254,29,473,27,11,4,0,40,58,3,102,10088,7388,3433,232,21148,7697,720,29562
SED10070,4367,9654,2685,279,16987,2817,321,20126,257,658,218,15,1156,505,41,1707,416,1390,323,38,2175,558,90,2822,682,2048,542,58,3332,1061,138,4531,136,243,57,15,452,281,36,770,152,241,85,15,491,202,30,727,219,413,79,21,737,225,51,1005,0,0,0,0,0,0,0,0,64,124,25,3,220,77,12,309,569,1024,247,56,1897,781,129,2811,3,0,0,0,10,49,4,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,5,0,0,9,4,10,5,0,19,50,4,69,13,21,0,0,28,5,4,44,5632,12758,3479,398,22260,4726,589,27582
SED10071,5482,18220,2949,245,26892,2589,524,30008,283,436,124,16,862,310,33,1200,469,1517,351,37,2373,360,63,2802,751,1955,478,54,3234,667,98,4004,21,64,18,3,108,30,4,145,8,14,7,0,35,22,0,53,515,454,205,27,1205,589,111,1906,0,0,0,0,0,0,0,0,13,32,6,3,58,19,3,75,564,566,242,32,1399,661,114,2181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,18,4,0,23,4,0,27,3,18,4,0,23,4,0,32,26,59,6,0,90,10,3,105,6824,20814,3675,331,31637,3939,739,36320
SED10072,3221,5804,1611,172,10806,2057,351,13216,593,605,269,35,1502,822,87,2409,439,597,188,20,1241,315,44,1600,1031,1196,456,59,2742,1137,130,4009,203,129,78,22,436,535,83,1048,607,528,335,63,1542,1142,156,2834,1937,1429,629,124,4125,2392,565,7081,2293,1141,297,158,3892,1609,869,6374,39,31,9,0,81,46,5,133,5080,3260,1355,377,10072,5721,1680,17475,4,0,3,4,13,52,3,68,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,38,23,22,4,94,71,15,186,45,23,27,11,107,122,25,255,27,12,7,6,43,44,11,105,9403,10297,3450,621,23771,9083,2196,35055
SED10073,3512,6810,1471,178,11971,2041,503,14506,471,741,218,22,1451,576,50,2070,843,1301,380,52,2573,982,145,3709,1308,2043,603,73,4023,1554,193,5777,228,137,68,9,446,534,38,1015,1177,966,412,119,2670,2197,347,5214,1888,1517,446,122,3972,2142,419,6532,1634,837,287,102,2866,1429,330,4623,21,28,18,0,67,50,11,132,4946,3485,1236,350,10014,6352,1147,17519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,18,10,5,61,40,8,109,33,20,10,5,63,40,8,110,14,9,6,0,26,42,15,77,9804,12356,3319,612,26091,10031,1864,37988
SED10074,4840,9074,2265,239,16421,3084,510,20013,193,279,134,15,625,492,36,1157,525,1043,446,34,2051,657,124,2827,723,1318,585,51,2677,1153,156,3985,222,49,33,12,315,676,15,1012,260,334,123,25,740,399,84,1230,654,816,160,56,1685,638,159,2484,214,361,62,6,640,124,55,819,43,52,10,3,110,56,10,175,1390,1620,383,106,3493,1894,334,5722,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,5,0,5,0,0,6,10,4,16,0,5,0,0,9,13,4,26,8,13,5,0,22,26,0,45,6963,12030,3232,390,22622,6165,1005,29787
SED10075,7527,9685,3786,251,21252,4406,514,26175,502,199,294,33,1021,1077,62,2163,512,437,355,22,1331,779,79,2190,1015,644,650,56,2355,1858,137,4355,184,93,154,12,444,685,33,1159,57,4,10,0,66,51,0,123,37,6,0,0,42,51,4,98,0,0,0,0,0,0,0,0,27,22,12,0,54,38,0,95,306,123,172,13,611,819,42,1477,62,4,20,0,83,186,9,271,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,5,5,0,19,17,4,40,73,11,22,5,104,201,10,318,7,5,8,0,20,20,0,34,8922,10464,4643,325,24351,7310,703,32360
SED10076,9552,6415,3118,230,19317,6841,726,26883,484,103,138,15,735,874,61,1673,135,51,82,9,274,300,19,599,618,156,218,23,1014,1177,75,2270,97,38,42,3,176,330,26,537,9,3,0,0,12,20,0,32,0,0,0,0,4,3,0,11,0,0,0,0,0,0,0,0,19,10,11,0,38,37,3,82,126,49,55,6,236,388,32,659,21,5,4,0,23,66,5,93,155,14,19,4,197,262,11,467,0,0,0,0,0,5,0,3,7,9,0,0,21,18,4,42,186,23,30,4,241,347,18,607,32,12,5,0,46,122,3,169,10518,6656,3418,264,20857,8881,858,30594
SED10077,2900,5654,1392,171,10122,1822,463,12408,293,432,120,21,864,337,58,1254,589,1081,327,40,2029,488,128,2654,878,1510,442,64,2895,825,190,3906,539,495,233,71,1333,1055,257,2643,1289,1190,408,199,3090,1379,642,5115,2025,1654,516,225,4423,1824,1056,7307,1351,814,324,133,2624,963,731,4313,16,17,11,0,42,26,0,71,5221,4164,1497,631,11513,5245,2687,19443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,41,14,3,104,83,43,230,44,41,14,3,104,83,43,230,36,14,3,6,55,86,16,161,9085,11382,3345,878,24689,8053,3403,36143
SED10078,2541,4390,1257,142,8332,1669,552,10562,726,913,285,32,1960,583,179,2727,341,432,113,19,901,239,105,1238,1061,1343,397,51,2854,823,287,3964,1082,613,440,80,2219,2438,490,5141,1728,892,538,125,3282,2939,543,6773,1506,728,315,62,2614,1743,368,4731,329,120,32,8,491,271,74,844,28,16,13,0,66,57,6,124,4675,2375,1341,273,8672,7454,1488,17608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,70,48,10,243,196,55,496,114,70,48,10,243,196,55,496,13,9,0,0,25,25,5,59,8409,8183,3045,487,20125,10168,2388,32688
SED10079,7918,7451,3330,234,18933,5784,591,25308,368,90,166,13,638,788,40,1467,125,49,102,6,284,219,13,511,492,137,273,24,929,1008,47,1988,190,43,130,12,374,747,17,1138,27,0,14,0,41,74,3,116,90,9,13,0,116,125,9,245,6,0,0,0,7,14,0,23,24,5,12,0,48,45,4,90,334,65,178,14,586,997,29,1620,32,8,14,0,48,56,4,106,32,0,7,0,40,63,0,102,3,0,0,0,3,0,0,6,12,8,10,0,30,20,8,56,73,11,27,0,122,144,12,271,17,9,0,0,24,19,0,46,8836,7671,3805,268,20587,7952,686,29225
SED10080,193,211,47,8,455,150,41,652,232,114,46,6,394,252,82,736,1908,1365,522,65,3858,1905,826,6595,2140,1479,567,71,4254,2159,910,7324,290,62,59,14,426,682,136,1245,708,126,101,15,951,1779,217,2947,2889,711,388,93,4075,5909,583,10577,6627,1756,720,374,9479,8387,2435,20304,5,0,0,0,9,6,0,11,10520,2656,1267,490,14935,16761,3376,35081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,19,5,4,73,85,33,186,47,19,5,4,73,85,33,190,45,14,3,3,66,120,23,213,12945,4373,1897,575,19788,19275,4389,43451
SED10081,7981,7784,3516,322,19598,6518,758,26875,357,154,179,29,717,1324,85,2130,60,40,33,8,136,229,27,396,413,195,216,35,861,1559,112,2524,52,38,29,9,127,344,18,488,8,0,0,0,7,17,0,22,4,5,0,0,7,16,0,27,0,0,0,0,0,0,0,0,3,4,0,0,11,13,0,23,64,49,38,9,158,383,18,557,14,0,0,0,18,60,4,79,8,0,4,0,19,34,4,51,0,0,0,0,6,3,0,3,5,3,0,0,11,10,0,30,36,8,4,0,50,109,3,164,32,15,11,3,49,74,6,131,8518,8049,3777,366,20715,8635,900,30249
SED10082,7076,8969,2436,132,18611,4549,473,23638,487,70,107,13,675,914,25,1616,299,142,159,11,609,340,33,982,787,209,271,17,1278,1255,62,2596,449,209,177,5,840,652,46,1540,104,28,31,0,168,152,25,347,54,6,13,0,77,59,5,137,0,0,0,0,0,0,0,0,33,24,17,0,67,31,0,107,644,270,230,13,1156,897,80,2130,32,0,10,0,43,81,8,132,3,0,0,0,3,8,0,11,0,0,0,0,0,0,0,3,8,0,6,0,18,7,4,25,45,4,16,0,64,96,8,169,7,8,4,0,23,14,0,34,8561,9457,2958,164,21134,6806,621,28567
SED10083,5834,7784,3098,194,16904,3948,562,21417,658,158,272,32,1116,1620,63,2803,471,314,361,24,1170,876,74,2116,1127,472,636,48,2290,2499,137,4921,132,64,107,10,318,504,28,856,94,27,55,3,181,191,20,393,165,50,73,10,301,330,22,646,58,9,11,0,75,64,7,146,33,12,9,0,45,21,3,70,476,160,261,23,922,1105,81,2104,13,5,9,0,19,60,7,86,8,0,10,0,17,22,0,40,0,0,0,0,0,0,0,0,10,8,5,0,20,20,3,37,29,11,16,0,60,102,7,171,5,6,7,0,17,28,0,50,7475,8430,4020,268,20194,7681,792,28659
SED10084,6234,6563,2210,173,15176,3904,609,19694,1117,494,516,50,2177,1791,158,4128,717,491,460,31,1697,931,129,2751,1825,986,973,80,3879,2717,287,6878,332,120,197,17,664,835,85,1586,421,141,170,9,743,703,88,1532,243,40,38,4,314,268,23,609,211,37,23,3,278,221,23,525,14,11,7,0,33,27,0,62,1221,340,427,40,2034,2067,222,4319,40,5,3,0,51,48,3,101,153,5,20,5,187,321,12,521,0,0,0,0,0,0,0,0,9,3,3,0,9,5,0,20,206,20,23,4,254,376,15,642,18,10,5,0,40,44,0,82,9507,7928,3646,298,21378,9103,1140,31615
SED10085,8273,8325,2846,208,19652,6135,580,26366,217,139,137,8,508,830,54,1389,60,18,58,7,138,235,26,401,277,158,189,18,644,1068,73,1790,58,29,32,4,116,252,8,381,5,7,5,0,4,8,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,7,63,32,36,4,129,259,15,401,22,0,3,0,32,59,5,94,31,3,8,0,42,53,3,94,5,0,0,0,0,6,0,11,16,10,6,0,30,18,5,58,65,14,17,8,109,131,15,255,21,16,5,6,49,37,10,90,8699,8547,3095,238,20583,7631,690,28908
SED10086,1733,3560,554,55,5906,790,126,6820,291,588,118,13,1008,308,104,1426,545,1037,197,16,1797,366,77,2231,839,1628,317,28,2809,676,175,3656,1061,775,313,49,2191,1329,471,3999,2950,1426,721,107,5200,3592,1147,9938,1800,754,330,49,2928,2322,551,5805,443,186,83,12,723,680,111,1515,24,17,9,0,55,30,5,88,6282,3156,1455,220,11107,7949,2291,21344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,41,11,4,119,114,12,246,68,41,11,4,119,114,12,246,18,15,0,0,38,41,4,79,8936,8401,2333,297,19972,9561,2616,32150
SED10087,7550,8436,3252,261,19499,5935,845,26284,257,92,88,9,447,803,44,1294,47,24,21,6,92,118,22,231,304,114,108,15,540,918,70,1521,286,180,159,23,650,1396,115,2157,19,5,0,0,22,97,3,118,11,0,0,0,12,30,0,40,0,0,0,0,3,0,0,3,7,3,0,0,13,13,0,24,320,189,165,23,693,1531,122,2348,9,0,0,0,9,20,0,22,0,0,0,0,8,8,0,11,0,0,0,0,3,5,0,7,15,16,0,0,34,30,12,78,27,14,3,0,45,59,18,120,12,19,4,0,41,40,3,87,8210,8772,3536,297,20816,8484,1053,30350
SED10088,3944,9380,1733,142,15195,2055,311,17560,67,50,32,3,153,210,13,376,373,453,143,9,976,630,32,1641,438,501,179,13,1133,836,46,2014,363,283,117,17,786,792,73,1648,1271,889,432,56,2645,1480,265,4390,834,480,265,36,1621,999,139,2759,164,100,57,3,317,175,16,507,64,69,22,3,159,47,7,216,2697,1814,893,120,5524,3497,502,9525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,4,4,39,16,13,69,15,18,4,4,39,16,13,69,9,13,0,0,27,18,0,48,7104,11730,2810,280,21927,6420,866,29211
SED10089,6819,8725,3372,328,19245,5486,1351,26074,527,246,332,31,1136,1344,139,2614,341,260,220,40,860,621,254,1731,864,503,549,66,1990,1966,387,4346,162,89,78,16,340,650,63,1055,66,41,34,6,145,224,22,386,7,3,4,0,17,28,4,45,0,0,0,0,0,0,0,0,40,32,22,0,98,82,26,201,271,162,136,24,596,984,113,1691,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,8,4,0,25,21,9,54,10,8,3,0,31,21,9,58,7,7,4,0,22,22,0,41,7975,9406,4074,421,21881,8475,1856,32217
SED10090,3234,6743,1189,124,11286,1728,270,13290,354,560,138,17,1065,356,53,1478,536,805,200,23,1564,416,55,2040,895,1361,344,31,2637,765,111,3512,731,527,217,39,1521,1119,161,2793,1147,871,372,55,2450,1733,279,4459,1201,899,353,63,2512,1720,241,4471,1113,1099,417,80,2705,1243,203,4149,11,23,5,0,40,17,7,63,4201,3420,1361,234,9222,5833,891,15943,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,29,14,14,0,65,40,13,113,29,14,14,0,65,47,13,119,12,5,4,0,15,22,0,44,8373,11545,2904,399,23220,8401,1283,32909
SED10091,8025,10252,2716,187,21185,4786,447,26411,357,72,81,7,510,676,20,1209,122,41,39,6,206,160,10,376,479,106,123,8,722,835,28,1582,59,39,27,0,129,215,14,354,4,0,0,0,7,13,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,26,11,0,68,38,4,109,93,63,35,0,195,269,17,484,0,0,0,0,0,0,0,5,15,0,0,0,13,75,0,92,0,0,0,0,0,10,4,14,5,9,5,0,20,27,0,54,19,9,6,0,40,104,5,156,14,13,11,0,39,31,0,72,8634,10449,2895,203,22179,6027,505,28707
SED10092,4999,6522,2637,212,14370,4105,780,19256,211,141,131,15,502,540,49,1096,460,399,314,29,1195,747,198,2148,670,536,452,43,1700,1295,249,3238,572,280,274,51,1169,1645,253,3063,463,174,193,30,866,1183,327,2375,1165,341,234,52,1794,1415,353,3565,775,217,94,14,1105,746,224,2075,32,23,22,0,74,36,11,123,3003,1044,807,149,5011,5029,1165,11199,0,0,0,0,0,0,0,0,48,9,13,10,78,140,7,221,0,0,0,0,0,0,0,0,39,23,12,3,71,80,20,172,81,31,29,10,152,224,22,397,11,5,8,0,22,35,3,58,8766,8139,3925,415,21252,10679,2227,34152
SED10093,6727,8485,4146,283,19645,5197,780,25620,293,123,247,19,678,781,50,1512,132,104,147,9,395,322,27,742,426,232,393,24,1072,1100,84,2256,262,74,181,19,541,910,49,1504,6,10,17,0,29,35,4,72,17,3,13,0,28,61,7,96,0,0,0,0,0,0,0,0,16,9,13,0,37,27,4,70,300,93,223,26,636,1039,61,1742,3,0,0,0,11,26,5,39,4,0,7,0,9,29,3,46,0,0,0,0,0,0,0,0,4,3,3,0,9,8,5,17,14,7,7,0,29,66,11,106,11,10,3,0,28,21,0,42,7480,8824,4770,337,21412,7425,932,29764
SED19494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
